,boxscore
1795,2018-11-18-16-oklahoma-state
931,2018-11-18-16-seattle
2618,2018-11-18-16-west-virginia
2231,2018-11-18-17-cleveland-state
3493,2018-11-18-17-fordham
4195,2018-11-18-17-missouri
5004,2018-11-18-17-pepperdine
2804,2018-11-18-18-davidson
4726,2018-11-18-18-loyola-marymount
3014,2018-11-18-18-michigan-state
2155,2018-11-18-18-northern-kentucky
476,2018-11-18-18-san-jose-state
5163,2018-11-18-18-western-kentucky
4082,2018-11-18-19-kansas-state
388,2018-11-18-20-cal-state-bakersfield
3702,2018-11-18-20-georgia-southern
2813,2018-11-18-20-purdue
4835,2018-11-18-20-washington
3162,2018-11-18-21-central-connecticut-state
905,2018-11-18-22-hawaii
1144,2018-11-19-11-clemson
1142,2018-11-19-11-tulane
5205,2018-11-19-13-california-irvine
2194,2018-11-19-13-eastern-kentucky
4556,2018-11-19-13-illinois-state
827,2018-11-19-14-utah-valley
5576,2018-11-19-15-northern-iowa
530,2018-11-19-16-san-diego-state
2644,2018-11-19-17-georgia-state
2523,2018-11-19-17-hampton
2542,2018-11-19-17-iona
482,2018-11-19-17-louisiana-lafayette
4092,2018-11-19-17-pennsylvania
600,2018-11-19-18-air-force
2580,2018-11-19-18-richmond
409,2018-11-19-19-california
2939,2018-11-19-19-charlotte
3864,2018-11-19-19-cincinnati
4028,2018-11-19-19-colgate
513,2018-11-19-19-creighton
3637,2018-11-19-19-detroit-mercy
948,2018-11-19-19-east-carolina
4174,2018-11-19-19-florida-state
1858,2018-11-19-19-kansas-state
2040,2018-11-19-19-marshall
1191,2018-11-19-19-massachusetts
2050,2018-11-19-19-north-carolina-greensboro
2098,2018-11-19-19-rider
180,2018-11-19-19-rutgers
5161,2018-11-19-19-stetson
1225,2018-11-19-19-toledo
4912,2018-11-19-20-houston
2825,2018-11-19-20-north-carolina
4206,2018-11-19-20-south-alabama
3587,2018-11-19-20-south-dakota
1070,2018-11-19-20-tulsa
1276,2018-11-19-20-utah-state
559,2018-11-19-21-boston-college
30,2018-11-19-21-iowa-state
2390,2018-11-19-21-virginia-commonwealth
367,2018-11-19-21-washington-state
1006,2018-11-19-22-nevada
4409,2018-11-19-23-illinois
2954,2018-11-19-23-ucla
1148,2018-11-20-11-illinois-state
5204,2018-11-20-11-south-dakota-state
1442,2018-11-20-12-jacksonville-state
1664,2018-11-20-13-clemson
1209,2018-11-20-13-florida-gulf-coast
3903,2018-11-20-14-san-diego-state
2382,2018-11-20-15-southern-mississippi
4416,2018-11-20-16-illinois
2649,2018-11-20-17-boise-state
2412,2018-11-20-17-california-irvine
2522,2018-11-20-17-loyola-md
412,2018-11-20-17-temple
150,2018-11-20-18-southern-methodist
4064,2018-11-20-19-albany-ny
706,2018-11-20-19-bethune-cookman
3549,2018-11-20-19-connecticut
4073,2018-11-20-19-creighton
2653,2018-11-20-19-detroit-mercy
3764,2018-11-20-19-george-mason
3151,2018-11-20-19-indiana
2267,2018-11-20-19-ipfw
3787,2018-11-20-19-james-madison
2920,2018-11-20-19-kent-state
3098,2018-11-20-19-louisiana-lafayette
3936,2018-11-20-19-mississippi
1335,2018-11-20-19-missouri-state
3570,2018-11-20-19-new-hampshire
2717,2018-11-20-19-notre-dame
1644,2018-11-20-19-ohio-state
4989,2018-11-20-19-wagner
3188,2018-11-20-19-william-mary
1906,2018-11-20-20-duke
4275,2018-11-20-20-milwaukee
4940,2018-11-20-20-penn-state
4332,2018-11-20-20-stephen-f-austin
3960,2018-11-20-20-texas-christian
4834,2018-11-20-21-minnesota
5442,2018-11-20-22-cal-state-northridge
3909,2018-11-20-22-gonzaga
343,2018-11-20-22-nevada-las-vegas
5081,2018-11-20-22-oregon
5114,2018-11-20-22-san-diego
1891,2018-11-20-23-washington
2650,2018-11-21-11-st-bonaventure
1216,2018-11-21-11-texas-san-antonio
285,2018-11-21-12-florida
2634,2018-11-21-12-pittsburgh
1444,2018-11-21-12-western-carolina
485,2018-11-21-13-colorado-state
520,2018-11-21-13-illinois-state
837,2018-11-21-14-iona
534,2018-11-21-14-iowa-state
5128,2018-11-21-14-wisconsin
3606,2018-11-21-15-drexel
4604,2018-11-21-15-jacksonville-state
3063,2018-11-21-16-tennessee-martin
1662,2018-11-21-17-georgia
2902,2018-11-21-17-gonzaga
390,2018-11-21-17-long-beach-state
2405,2018-11-21-17-tulane
2579,2018-11-21-17-wyoming
2897,2018-11-21-18-minnesota
4158,2018-11-21-18-siena
4930,2018-11-21-18-southern-methodist
1085,2018-11-21-19-boston-college
4243,2018-11-21-19-butler
354,2018-11-21-19-cal-poly
1303,2018-11-21-19-california-irvine
784,2018-11-21-19-clemson
2058,2018-11-21-19-east-carolina
940,2018-11-21-19-georgia-tech
4754,2018-11-21-19-hofstra
4724,2018-11-21-19-kansas
877,2018-11-21-19-missouri-kansas-city
4594,2018-11-21-19-princeton
3163,2018-11-21-19-south-florida
4865,2018-11-21-19-syracuse
1944,2018-11-21-19-vermont
2080,2018-11-21-19-wofford
1196,2018-11-21-20-arkansas
4448,2018-11-21-20-bradley
1317,2018-11-21-20-iowa
1280,2018-11-21-20-mississippi-state
2991,2018-11-21-20-valparaiso
2373,2018-11-21-21-brigham-young
4405,2018-11-21-21-illinois
2871,2018-11-21-22-loyola-marymount
1498,2018-11-21-22-portland
3907,2018-11-21-23-arizona
4173,2018-11-22-13-canisius
3358,2018-11-22-13-oklahoma
3219,2018-11-22-13-southern-illinois
647,2018-11-22-14-miami-fl
2700,2018-11-22-15-dayton
1773,2018-11-22-15-memphis
1370,2018-11-22-15-pacific
301,2018-11-22-16-fresno-state
1120,2018-11-22-16-nevada
5127,2018-11-22-19-florida
1787,2018-11-22-19-louisiana-state
3305,2018-11-22-21-butler
5340,2018-11-22-21-florida-state
815,2018-11-22-21-grand-canyon
3855,2018-11-22-22-ucla
1166,2018-11-22-23-utah
2709,2018-11-23-11-oklahoma
73,2018-11-23-11-oklahoma-state
107,2018-11-23-12-oral-roberts
3762,2018-11-23-12-western-michigan
4185,2018-11-23-13-memphis
5162,2018-11-23-13-stetson
1009,2018-11-23-14-arkansas-pine-bluff
1,2018-11-23-14-fresno-state
5297,2018-11-23-14-liberty
3772,2018-11-23-14-north-carolina-central
3782,2018-11-23-14-oakland
3246,2018-11-23-14-purdue
3605,2018-11-23-14-rutgers
758,2018-11-23-14-wake-forest
3424,2018-11-23-14-wisconsin
2081,2018-11-23-15-charleston-southern
959,2018-11-23-15-seattle
4511,2018-11-23-16-arkansas-little-rock
5355,2018-11-23-16-florida-state
2054,2018-11-23-16-georgia-tech
4342,2018-11-23-16-niagara
660,2018-11-23-16-northwestern
3850,2018-11-23-16-ucla
1382,2018-11-23-17-gardner-webb
1941,2018-11-23-17-vanderbilt
4388,2018-11-23-18-longwood
3293,2018-11-23-18-maryland
263,2018-11-23-18-michigan-state
5347,2018-11-23-19-alabama-birmingham
4763,2018-11-23-19-california-santa-barbara
2478,2018-11-23-19-cincinnati
2063,2018-11-23-19-delaware
4792,2018-11-23-19-indiana
2161,2018-11-23-19-ipfw
4124,2018-11-23-19-iupui
3278,2018-11-23-19-marquette
2972,2018-11-23-19-north-carolina-wilmington
1275,2018-11-23-19-old-dominion
1487,2018-11-23-19-south-carolina-upstate
3313,2018-11-23-19-stanford
1743,2018-11-23-19-tennessee-tech
3131,2018-11-23-19-texas-am
3143,2018-11-23-20-arkansas
4067,2018-11-23-20-milwaukee
2244,2018-11-23-20-ohio-state
4879,2018-11-23-20-texas-pan-american
274,2018-11-23-21-florida
1918,2018-11-23-21-kansas
58,2018-11-23-21-mississippi
818,2018-11-23-21-utah
1086,2018-11-23-22-nevada
5255,2018-11-23-22-nevada-las-vegas
373,2018-11-23-22-portland
1459,2018-11-23-23-california-riverside
321,2018-11-23-23-hawaii
1132,2018-11-23-23-southern-illinois
3757,2018-11-24-11-southern
3571,2018-11-24-12-connecticut
734,2018-11-24-12-georgetown
5100,2018-11-24-12-james-madison
4711,2018-11-24-12-notre-dame
2021,2018-11-24-12-troy
2805,2018-11-24-13-davidson
3577,2018-11-24-13-maryland-baltimore-county
2823,2018-11-24-13-virginia-tech
3872,2018-11-24-13-western-michigan
5317,2018-11-24-14-alcorn-state
3104,2018-11-24-14-ball-state
4978,2018-11-24-14-binghamton
996,2018-11-24-14-bradley
4333,2018-11-24-14-buffalo
174,2018-11-24-14-eastern-michigan
1008,2018-11-24-14-howard
5165,2018-11-24-14-indiana-state
4277,2018-11-24-14-long-island-university
3681,2018-11-24-14-miami-oh
1206,2018-11-24-14-nebraska-omaha
94,2018-11-24-14-oakland
2985,2018-11-24-14-ohio
2560,2018-11-24-14-rhode-island
4157,2018-11-24-14-siena
3844,2018-11-24-14-south-florida
4997,2018-11-24-14-wagner
3262,2018-11-24-14-west-virginia
3230,2018-11-24-14-western-carolina
2940,2018-11-24-15-longwood
4532,2018-11-24-15-monmouth
1065,2018-11-24-16-arkansas-little-rock
2479,2018-11-24-16-baylor
1987,2018-11-24-16-east-tennessee-state
4288,2018-11-24-16-george-washington
1684,2018-11-24-16-iupui
669,2018-11-24-16-kansas-state
2196,2018-11-24-16-kennesaw-state
4365,2018-11-24-16-north-texas
2544,2018-11-24-16-providence
4223,2018-11-24-16-saint-louis
2619,2018-11-24-16-william-mary
2958,2018-11-24-17-arkansas-state
1492,2018-11-24-17-cal-poly
2438,2018-11-24-17-east-carolina
1775,2018-11-24-17-louisiana-tech
3525,2018-11-24-17-san-francisco
607,2018-11-24-18-air-force
1108,2018-11-24-18-brigham-young
3826,2018-11-24-18-central-florida
469,2018-11-24-18-san-jose-state
4384,2018-11-24-18-seattle
882,2018-11-24-18-utah-valley
1517,2018-11-24-19-gardner-webb
1829,2018-11-24-19-mississippi
4353,2018-11-24-19-niagara
2529,2018-11-24-19-virginia-commonwealth
4799,2018-11-24-20-portland
5230,2018-11-24-21-california-santa-barbara
1278,2018-11-24-21-saint-marys-ca
3154,2018-11-24-22-loyola-marymount
4755,2018-11-24-22-sacramento-state
4145,2018-11-24-22-san-diego
3482,2018-11-24-22-washington-state
1465,2018-11-24-23-pacific
3791,2018-11-25-12-james-madison
4005,2018-11-25-13-duquesne
3436,2018-11-25-13-florida-state
4954,2018-11-25-13-morgan-state
5529,2018-11-25-13-north-carolina-wilmington
2279,2018-11-25-14-fordham
2906,2018-11-25-14-liberty
2228,2018-11-25-14-morehead-state
3998,2018-11-25-14-quinnipiac
1161,2018-11-25-14-utah
5381,2018-11-25-14-vermont
1383,2018-11-25-15-arkansas-state
5407,2018-11-25-15-bowling-green-state
5485,2018-11-25-15-fairleigh-dickinson
1218,2018-11-25-15-florida-atlantic
5032,2018-11-25-15-oakland
1718,2018-11-25-15-southern-illinois-edwardsville
2358,2018-11-25-15-wichita-state
320,2018-11-25-16-hawaii
5360,2018-11-25-16-louisiana-state
1401,2018-11-25-16-north-carolina-asheville
2249,2018-11-25-17-cleveland-state
404,2018-11-25-17-long-beach-state
4640,2018-11-25-18-brown
1771,2018-11-25-18-college-of-charleston
2581,2018-11-25-18-richmond
2934,2018-11-25-18-seattle
3647,2018-11-25-18-towson
2252,2018-11-25-19-samford
167,2018-11-25-19-southern-california
665,2018-11-25-20-grand-canyon
2761,2018-11-25-22-seton-hall
5146,2018-11-26-19-bethune-cookman
1781,2018-11-26-19-delaware
1842,2018-11-26-19-south-carolina
634,2018-11-26-20-houston-baptist
5431,2018-11-26-20-iowa-state
5298,2018-11-26-20-mississippi-state
171,2018-11-26-20-texas-christian
5187,2018-11-26-20-texas-pan-american
4467,2018-11-26-21-boston-college
4830,2018-11-26-21-california
1990,2018-11-26-21-gonzaga
848,2018-11-26-22-pepperdine
3369,2018-11-26-23-oregon
838,2018-11-27-18-sacred-heart
2735,2018-11-27-18-st-johns-ny
1174,2018-11-27-19-cincinnati
2125,2018-11-27-19-citadel
4015,2018-11-27-19-connecticut
201,2018-11-27-19-davidson
3463,2018-11-27-19-delaware-state
4600,2018-11-27-19-florida
2191,2018-11-27-19-georgia
1961,2018-11-27-19-georgia-southern
5386,2018-11-27-19-louisville
2215,2018-11-27-19-morehead-state
1975,2018-11-27-19-norfolk-state
2445,2018-11-27-19-north-carolina-wilmington
4911,2018-11-27-19-northwestern-state
4407,2018-11-27-19-notre-dame
2546,2018-11-27-19-ohio
3423,2018-11-27-19-penn-state
1589,2018-11-27-19-virginia-military-institute
1451,2018-11-27-19-wake-forest
1341,2018-11-27-20-baylor
522,2018-11-27-20-drake
1072,2018-11-27-20-loyola-il
1507,2018-11-27-20-marquette
5587,2018-11-27-20-oklahoma
5491,2018-11-27-20-providence
4876,2018-11-27-20-southern-methodist
3152,2018-11-27-20-tulsa
2919,2018-11-27-20-vanderbilt
490,2018-11-27-21-colorado-state
2330,2018-11-27-21-duke
807,2018-11-27-21-iowa
1862,2018-11-27-21-missouri
888,2018-11-27-21-montana-state
4864,2018-11-27-21-washington
4149,2018-11-27-22-san-diego-state
1033,2018-11-27-23-washington-state
2406,2018-11-28-13-tulane
3072,2018-11-28-18-tennessee
2592,2018-11-28-18-west-virginia
5000,2018-11-28-18-xavier
1322,2018-11-28-19-akron
4039,2018-11-28-19-army
4641,2018-11-28-19-bryant
227,2018-11-28-19-bucknell
2271,2018-11-28-19-college-of-charleston
4628,2018-11-28-19-detroit-mercy
5418,2018-11-28-19-drexel
546,2018-11-28-19-evansville
1226,2018-11-28-19-florida-gulf-coast
3325,2018-11-28-19-george-mason
2494,2018-11-28-19-george-washington
2578,2018-11-28-19-georgetown
3651,2018-11-28-19-harvard
4162,2018-11-28-19-hofstra
3036,2018-11-28-19-iupui
3454,2018-11-28-19-lafayette
3982,2018-11-28-19-maine
3193,2018-11-28-19-marshall
4316,2018-11-28-19-massachusetts
2770,2018-11-28-19-miami-fl
5469,2018-11-28-19-mississippi
3610,2018-11-28-19-navy
3566,2018-11-28-19-new-hampshire
4469,2018-11-28-19-ohio-state
3413,2018-11-28-19-old-dominion
2957,2018-11-28-19-presbyterian
3509,2018-11-28-19-rhode-island
4668,2018-11-28-19-robert-morris
3185,2018-11-28-19-saint-josephs
120,2018-11-28-19-sam-houston-state
1474,2018-11-28-19-south-carolina-upstate
5144,2018-11-28-19-south-florida
4172,2018-11-28-19-st-bonaventure
3010,2018-11-28-19-tennessee-tech
2033,2018-11-28-19-toledo
4361,2018-11-28-20-auburn
1068,2018-11-28-20-central-arkansas
3704,2018-11-28-20-creighton
2233,2018-11-28-20-depaul
5532,2018-11-28-20-eastern-illinois
5094,2018-11-28-20-green-bay
939,2018-11-28-20-houston
1118,2018-11-28-20-illinois-state
3920,2018-11-28-20-new-orleans
868,2018-11-28-20-south-dakota-state
3136,2018-11-28-20-southern-mississippi
2360,2018-11-28-20-texas-state
3000,2018-11-28-20-western-illinois
1323,2018-11-28-21-air-force
5425,2018-11-28-21-arizona-state
4818,2018-11-28-21-colorado
962,2018-11-28-21-denver
2816,2018-11-28-21-florida-state
3345,2018-11-28-21-michigan
618,2018-11-28-21-northwestern
5054,2018-11-28-21-texas-el-paso
323,2018-11-28-21-ucla
1258,2018-11-28-21-utah-state
333,2018-11-28-22-fresno-state
585,2018-11-28-22-nevada-las-vegas
1284,2018-11-28-22-saint-marys-ca
462,2018-11-28-22-san-jose-state
4775,2018-11-28-22-stanford
403,2018-11-28-23-southern-california
3534,2018-11-29-11-marist
4069,2018-11-29-14-albany-ny
4982,2018-11-29-19-boston-college
1799,2018-11-29-19-central-florida
2094,2018-11-29-19-james-madison
2526,2018-11-29-19-norfolk-state
2878,2018-11-29-19-north-carolina-at
1645,2018-11-29-19-samford
2304,2018-11-29-20-alabama-am
3167,2018-11-29-20-north-florida
4889,2018-11-29-20-southern-methodist
3726,2018-11-29-20-troy
1964,2018-11-29-21-arizona
919,2018-11-29-22-california-davis
1377,2018-11-29-22-california-riverside
5273,2018-11-29-22-california-santa-barbara
4148,2018-11-29-22-santa-clara
3819,2018-11-30-05-buffalo
682,2018-11-30-08-san-francisco
4061,2018-11-30-12-albany-ny
4276,2018-11-30-14-long-island-university
4490,2018-11-30-18-rutgers
4519,2018-11-30-19-american
2706,2018-11-30-19-dayton
2322,2018-11-30-19-east-carolina
2749,2018-11-30-19-maryland-eastern-shore
3581,2018-11-30-19-northern-kentucky
2722,2018-11-30-19-pittsburgh
4354,2018-11-30-19-saint-francis-pa
2146,2018-11-30-19-south-carolina
257,2018-11-30-19-texas
188,2018-11-30-19-texas-christian
3386,2018-11-30-19-towson
4426,2018-11-30-20-iowa
4870,2018-11-30-20-south-florida
81,2018-11-30-22-minnesota
3816,2018-12-01-08-stephen-f-austin
4846,2018-12-01-10-san-francisco
616,2018-12-01-12-georgia-tech
2141,2018-12-01-12-seton-hall
5017,2018-12-01-12-xavier
4390,2018-12-01-13-army
3576,2018-12-01-13-bryant
1552,2018-12-01-13-citadel
5490,2018-12-01-13-holy-cross
315,2018-12-01-13-indiana
4115,2018-12-01-13-iupui
1632,2018-12-01-13-kentucky
4947,2018-12-01-13-loyola-md
2023,2018-12-01-13-north-alabama
4536,2018-12-01-14-bucknell
3030,2018-12-01-14-chattanooga
3249,2018-12-01-14-drexel
1463,2018-12-01-14-elon
5566,2018-12-01-14-green-bay
2654,2018-12-01-14-hartford
2126,2018-12-01-14-high-point
4934,2018-12-01-14-indiana-state
2164,2018-12-01-14-ipfw
2195,2018-12-01-14-kennesaw-state
2970,2018-12-01-14-lehigh
5042,2018-12-01-14-marquette
5322,2018-12-01-14-massachusetts-lowell
1769,2018-12-01-14-memphis
1737,2018-12-01-14-mississippi
2251,2018-12-01-14-toledo
3884,2018-12-01-14-western-michigan
5544,2018-12-01-15-chicago-state
491,2018-12-01-15-colorado
351,2018-12-01-15-fresno-state
2905,2018-12-01-15-gardner-webb
4563,2018-12-01-15-illinois-state
659,2018-12-01-15-la-salle
1592,2018-12-01-15-longwood
2815,2018-12-01-15-michigan
175,2018-12-01-15-northeastern
3296,2018-12-01-15-ohio
3984,2018-12-01-15-saint-peters
3965,2018-12-01-15-siena
2993,2018-12-01-15-southern-illinois-edwardsville
3146,2018-12-01-15-texas-arlington
118,2018-12-01-16-arkansas-little-rock
721,2018-12-01-16-bethune-cookman
210,2018-12-01-16-college-of-charleston
1427,2018-12-01-16-furman
3176,2018-12-01-16-illinois-chicago
1985,2018-12-01-16-kent-state
3619,2018-12-01-16-navy
2039,2018-12-01-16-north-carolina-at
4907,2018-12-01-16-north-carolina-central
889,2018-12-01-16-north-dakota
2506,2018-12-01-16-princeton
168,2018-12-01-16-south-dakota
122,2018-12-01-16-southern-california
3464,2018-12-01-16-st-bonaventure
5202,2018-12-01-16-texas-san-antonio
2418,2018-12-01-16-tulane
4653,2018-12-01-16-west-virginia
3190,2018-12-01-16-william-mary
4629,2018-12-01-17-akron
1512,2018-12-01-17-charleston-southern
5136,2018-12-01-17-kansas
1679,2018-12-01-17-louisiana-state
635,2018-12-01-17-louisiana-tech
4445,2018-12-01-17-maryland
1939,2018-12-01-17-north-carolina-state
2565,2018-12-01-17-providence
2367,2018-12-01-17-rice
2617,2018-12-01-17-saint-josephs
4242,2018-12-01-17-saint-louis
1131,2018-12-01-17-utah
2869,2018-12-01-17-virginia-tech
2270,2018-12-01-18-jacksonville
4078,2018-12-01-18-liberty
3315,2018-12-01-18-middle-tennessee
584,2018-12-01-18-nevada-las-vegas
1996,2018-12-01-18-north-dakota-state
550,2018-12-01-18-wyoming
2297,2018-12-01-19-alabama-am
5142,2018-12-01-19-duke
4289,2018-12-01-19-manhattan
2768,2018-12-01-19-miami-fl
1519,2018-12-01-19-north-carolina-wilmington
3792,2018-12-01-19-old-dominion
1338,2018-12-01-19-oregon-state
746,2018-12-01-19-richmond
917,2018-12-01-19-santa-clara
4216,2018-12-01-19-southeast-missouri-state
4306,2018-12-01-19-stony-brook
