,Home_Win,boxscore,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage
3029,1,2018-11-13-19-savannah-state,0.4428571428571429,0.5,0.5107913669064749,0.0,0.4435797665369649,0.425,0.5443037974683544,0.3333333333333333
995,1,2018-11-13-20-illinois-state,0.3957055214723926,0.4181818181818181,0.5727699530516432,0.0,0.5426356589147286,0.4809160305343512,0.5920000000000001,0.5
108,0,2018-11-13-20-oral-roberts,0.422680412371134,0.4807692307692308,0.5449438202247191,0.3333333333333333,0.5970149253731343,0.6190476190476191,0.5,1.0
2018,1,2018-11-13-20-saint-louis,0.4507575757575758,0.4859154929577465,0.5517241379310345,0.5,0.4818181818181818,0.553030303030303,0.4642857142857143,1.0
4928,1,2018-11-13-21-brigham-young,0.5338983050847458,0.5163398692810458,0.4233576642335766,0.5,0.4496124031007752,0.4764705882352941,0.4042553191489361,0.5
2545,1,2018-11-13-21-new-mexico,0.4912280701754386,0.4393939393939394,0.4568965517241379,1.0,0.625,0.5074626865671642,0.5069444444444444,1.0
1359,1,2018-11-13-22-nevada-las-vegas,0.4951923076923077,0.4782608695652174,0.5211864406779662,0.0,0.4313725490196079,0.5344827586206896,0.425,0.0
4121,1,2018-11-14-11-richmond,0.5258620689655172,0.5562913907284768,0.3935185185185185,0.5,0.4333333333333333,0.4242424242424242,0.5288461538461539,0.0
4066,0,2018-11-14-19-albany-ny,0.4568965517241379,0.5606060606060606,0.4912280701754386,0.0,0.5523560209424084,0.5522388059701493,0.453804347826087,0.6666666666666666
2849,0,2018-11-14-19-boston-college,0.4622641509433962,0.5555555555555556,0.4310344827586207,1.0,0.4424778761061947,0.4929577464788733,0.4831932773109244,0.5
114,1,2018-11-14-19-clemson,0.5072815533980582,0.5662100456621004,0.4408284023668639,0.6666666666666666,0.6081081081081081,0.5416666666666666,0.4513274336283186,1.0
172,1,2018-11-14-19-duke,0.5686813186813187,0.5781990521327014,0.4696969696969697,1.0,0.6059602649006622,0.5555555555555556,0.4525547445255474,1.0
4948,1,2018-11-14-19-marshall,0.4230769230769231,0.3959731543624161,0.5760869565217391,0.0,0.5398550724637681,0.4875,0.4071428571428571,1.0
1740,1,2018-11-14-19-michigan-state,0.5203488372093024,0.515,0.4304812834224599,0.6666666666666666,0.5661764705882353,0.5862068965517241,0.5190839694656488,0.5
764,0,2018-11-14-19-notre-dame,0.462406015037594,0.5986842105263158,0.4414414414414414,1.0,0.625,0.5798319327731093,0.5042372881355932,1.0
5052,1,2018-11-14-20-arizona,0.5642201834862385,0.4520547945205479,0.4542253521126761,0.5,0.531496062992126,0.58,0.4069767441860465,1.0
2180,1,2018-11-14-20-bradley,0.4217391304347826,0.5234375,0.5565217391304348,0.0,0.4866071428571429,0.5597014925373134,0.4234234234234234,1.0
4343,1,2018-11-14-20-loyola-il,0.4919354838709678,0.5285714285714286,0.5147058823529411,1.0,0.5093457943925234,0.5642857142857143,0.3928571428571429,0.5
5209,1,2018-11-14-20-oklahoma-state,0.4489795918367347,0.5128205128205128,0.5223880597014925,0.0,0.5,0.4285714285714285,0.5108695652173914,0.0
2056,1,2018-11-14-20-texas-pan-american,0.5588235294117647,0.4426229508196721,0.5694444444444444,0.5,0.4752475247524752,0.430622009569378,0.5140449438202247,0.6666666666666666
5375,1,2018-11-14-22-san-diego-state,0.4413265306122449,0.4130434782608696,0.5382653061224489,0.3333333333333333,0.5357142857142857,0.5,0.4285714285714285,1.0
5550,1,2018-11-14-22-seattle,0.5571428571428572,0.4861111111111111,0.4848484848484849,1.0,0.5364583333333334,0.5329949238578681,0.4608433734939759,0.6666666666666666
2785,1,2018-11-15-11-virginia-tech,0.5641025641025641,0.4890510948905109,0.4595588235294117,0.5,0.5873015873015873,0.5686274509803921,0.5333333333333333,1.0
4744,0,2018-11-15-13-cal-state-fullerton,0.5845070422535211,0.4588235294117647,0.4256756756756757,0.5,0.5260869565217391,0.5069444444444444,0.4742647058823529,0.5
1811,1,2018-11-15-14-northeastern,0.4916666666666666,0.581081081081081,0.490566037735849,1.0,0.5735294117647058,0.4909090909090909,0.5772727272727273,0.5
169,1,2018-11-15-18-central-michigan,0.575,0.5371900826446281,0.5194174757281553,0.5,0.5869565217391305,0.5652173913043478,0.4256198347107438,1.0
3548,0,2018-11-15-19-cornell,0.4894736842105264,0.5318181818181819,0.4326424870466321,0.6666666666666666,0.5409836065573771,0.4907407407407408,0.4077669902912621,0.6666666666666666
5336,0,2018-11-15-19-lipscomb,0.5604838709677419,0.5851851851851851,0.4703389830508475,1.0,0.6029411764705882,0.4928571428571429,0.5182481751824818,1.0
4241,1,2018-11-15-19-pittsburgh,0.532258064516129,0.6084905660377359,0.4263157894736842,0.6666666666666666,0.6137724550898204,0.5572139303482587,0.3677248677248677,1.0
3727,0,2018-11-15-19-troy,0.4832402234636872,0.4866310160427808,0.5122699386503068,0.3333333333333333,0.5902255639097744,0.6013513513513513,0.45703125,1.0
4538,1,2018-11-15-19-west-virginia,0.4431137724550898,0.4070351758793969,0.5382513661202186,0.0,0.5227272727272727,0.4943820224719101,0.46875,0.0
2667,0,2018-11-15-19-wichita-state,0.5219298245614035,0.459016393442623,0.5227272727272727,0.5,0.5072992700729927,0.6,0.5891089108910891,1.0
3199,1,2018-11-15-20-illinois-chicago,0.5491071428571429,0.5076923076923077,0.5537190082644629,0.5,0.5497237569060773,0.4075829383886256,0.4873096446700508,0.0
466,0,2018-11-15-20-san-jose-state,0.4864864864864865,0.5846153846153846,0.5042735042735043,0.5,0.5802919708029197,0.5369127516778524,0.4224806201550387,0.5
106,1,2018-11-15-21-brigham-young,0.4455645161290322,0.5017921146953405,0.5081632653061224,0.25,0.4760638297872341,0.5061728395061729,0.3902439024390244,0.6666666666666666
4437,1,2018-11-15-21-depaul,0.5123966942148761,0.4776119402985074,0.4426229508196721,1.0,0.56,0.6106870229007634,0.4180327868852459,1.0
847,0,2018-11-15-21-idaho-state,0.4921875,0.4173228346456693,0.5606060606060606,0.5,0.5426829268292683,0.569060773480663,0.5091463414634146,0.6666666666666666
0,1,2018-11-15-21-texas-christian,0.5737704918032787,0.4533333333333333,0.4,1.0,0.5327102803738317,0.5714285714285714,0.4214876033057851,1.0
4832,0,2018-11-15-22-santa-clara,0.4385964912280701,0.5797101449275363,0.5689655172413793,0.0,0.6081871345029239,0.6146341463414634,0.4406779661016949,1.0
1887,1,2018-11-15-23-gonzaga,0.4625850340136055,0.5764705882352941,0.5036496350364964,0.5,0.6099290780141844,0.6170212765957447,0.4464285714285714,1.0
4760,0,2018-11-16-11-cal-state-fullerton,0.5279187817258884,0.4401709401709401,0.4375,0.3333333333333333,0.5373831775700935,0.5811965811965812,0.5991735537190083,0.5
2879,0,2018-11-16-11-central-connecticut-state,0.5689655172413793,0.521505376344086,0.5285714285714286,0.6666666666666666,0.5105263157894737,0.5529953917050692,0.4943181818181818,0.3333333333333333
1698,1,2018-11-16-11-montana,0.4617486338797814,0.4849785407725322,0.4343220338983051,0.75,0.5409090909090909,0.5,0.4349593495934959,1.0
2802,0,2018-11-16-11-northeastern,0.5902777777777778,0.4904458598726114,0.5217391304347826,0.6666666666666666,0.5515873015873016,0.5272727272727272,0.5206185567010311,1.0
3933,1,2018-11-16-12-baylor,0.5238095238095238,0.4548872180451128,0.5194805194805194,0.5,0.56353591160221,0.5608465608465608,0.5189873417721519,0.6666666666666666
2786,1,2018-11-16-13-alabama,0.5473372781065089,0.4948979591836735,0.4773869346733669,0.3333333333333333,0.4649122807017544,0.5641025641025641,0.5304054054054054,0.6666666666666666
2616,1,2018-11-16-13-central-florida,0.5570652173913043,0.5561497326203209,0.4910179640718562,1.0,0.5057142857142857,0.5384615384615384,0.4476439790575916,0.6666666666666666
5578,1,2018-11-16-13-oregon-state,0.4533898305084746,0.5401459854014599,0.4318181818181818,0.5,0.5450819672131147,0.5873015873015873,0.4692982456140351,1.0
