,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-GULF-COAST_homegame,FLORIDA-GULF-COAST_homegame2,FLORIDA-GULF-COAST_home,FLORIDA-GULF-COAST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-04-19-florida-international,52.6,10,18.5,5,89.9,73.2,30,0.316,68,0.27899999999999997,19,0.20600000000000002,14,0.7140000000000001,10,9,200,67.1,38.3,18,12,53,,8.9,7,0.485,33,0.152,5,54.5,48,0.355,23.7,23,35,0.4,14,0.182,2,"December 4, 2019",79.2,19,22.9,8,67.1,61.7,29,0.455,66,0.364,24,0.28800000000000003,19,0.579,11,3,200,89.9,26.8,11,15,71,,13.9,11,0.591,39,0.308,12,45.5,40,0.473,15.8,14,27,0.444,12,0.667,6,"FIU Arena, Miami, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,78.8,Home,FLORIDA-INTERNATIONAL,Florida International,Florida Gulf Coast,atlantic-sun,10,False,False,False,Away,False,5,14,68,48,88,12,12,66,0,1,73,138,565,0.4380530973451328,315,670,0.4701492537313433,70,180,589,0.4838709677419355,0.2
11,2019-12-07-19-florida-gulf-coast,60.0,12,4.5,1,89.4,75.8,25,0.462,52,0.385,20,0.442,23,0.696,16,8,200,97.0,23.3,7,14,64,,7.6,5,0.385,20,0.4,8,50.8,32,0.509,16.2,12,32,0.375,12,0.273,3,"December 7, 2019",77.3,17,18.8,6,97.0,76.7,23,0.456,57,0.386,22,0.158,9,0.778,7,10,200,89.4,24.2,8,21,59,,6.1,4,0.614,35,0.22899999999999998,8,49.2,31,0.48100000000000004,15.3,11,22,0.636,14,0.16699999999999998,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,66.1,Away,ROBERT-MORRIS,Robert Morris,Florida Gulf Coast,atlantic-sun,11,False,True,True,Home,False,8,14,57,31,63,8,12,52,0,1,78,152,633,0.4249605055292259,363,758,0.4788918205804749,82,192,655,0.4809160305343512,0.18181818181818185
12,2019-12-18-20-south-dakota-state,50.0,11,14.7,5,119.0,57.1,16,0.46399999999999997,56,0.39299999999999996,22,0.14300000000000002,8,0.5,4,11,200,88.9,30.6,11,19,56,,11.1,7,0.46399999999999997,26,0.308,8,42.2,27,0.46799999999999997,17.9,13,30,0.467,14,0.154,2,"December 18, 2019",63.0,17,3.3,1,88.9,69.4,25,0.564,55,0.491,27,0.29100000000000004,16,0.813,13,6,200,119.0,42.9,12,7,75,,9.5,6,0.382,21,0.381,8,57.8,37,0.599,18.4,14,34,0.5589999999999999,19,0.5710000000000001,8,"Frost Arena, Brookings, South Dakota",FLORIDA-GULF-COAST,Florida Gulf Coast,63.2,Home,SOUTH-DAKOTA-STATE,South Dakota State,Florida Gulf Coast,atlantic-sun,12,False,False,False,Away,False,8,14,56,27,64,8,19,55,0,1,86,166,690,0.427536231884058,394,821,0.4799025578562728,90,204,707,0.4794908062234795,0.16666666666666666
13,2019-12-21-19-florida-gulf-coast,25.0,5,5.9,2,106.3,68.6,24,0.377,61,0.32799999999999996,20,0.377,23,0.696,16,0,200,78.5,22.9,8,20,62,,7.6,6,0.44299999999999995,27,0.222,6,45.7,32,0.431,21.1,19,34,0.41200000000000003,14,0.0,0,"December 21, 2019",72.4,21,17.6,6,78.5,77.1,27,0.5579999999999999,60,0.483,29,0.433,26,0.654,17,11,200,106.3,31.4,11,18,84,,7.6,6,0.433,26,0.34600000000000003,9,54.3,38,0.581,15.4,13,34,0.588,20,0.214,3,"Alico Arena, Fort Myers, Florida","St. Thomas (FL)
			","St. Thomas (FL)
			",78.6,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun,13,True,False,True,Home,True,9,20,60,38,70,6,14,61,1,0,94,180,746,0.4302949061662199,421,885,0.4757062146892656,98,223,762,0.4855643044619423,0.15384615384615385
14,2019-12-29-22-southern-california,66.7,16,0.0,0,102.9,67.9,19,0.483,59,0.40700000000000003,24,0.102,6,0.16699999999999998,1,12,200,84.1,27.0,10,17,58,,20.3,14,0.475,28,0.321,9,44.6,29,0.469,20.6,16,31,0.484,15,0.2,3,"December 29, 2019",70.8,17,9.7,3,84.1,73.0,27,0.529,52,0.462,24,0.442,23,0.696,16,2,200,102.9,32.1,9,6,71,,15.9,11,0.442,23,0.304,7,55.4,36,0.564,21.5,17,29,0.586,17,0.846,11,"Galen Center, Los Angeles, California",FLORIDA-GULF-COAST,Florida Gulf Coast,69.4,Home,SOUTHERN-CALIFORNIA,USC,Florida Gulf Coast,atlantic-sun,14,False,False,False,Away,False,9,15,59,29,65,7,17,52,0,1,103,200,806,0.43982630272952855,459,955,0.4806282722513089,104,237,823,0.4775212636695018,0.21428571428571427
15,2020-01-02-17-florida-gulf-coast,60.0,15,14.3,3,82.1,77.3,17,0.585,47,0.532,25,0.191,9,0.444,4,1,200,105.4,18.2,4,12,59,,21.4,12,0.34,16,0.313,5,47.7,21,0.575,13.6,8,31,0.645,20,0.938,15,"January 2, 2020",62.5,10,12.9,4,105.4,81.8,18,0.46299999999999997,40,0.4,16,0.275,11,0.818,9,13,200,82.1,22.7,5,10,46,,7.1,4,0.475,19,0.263,5,52.3,23,0.509,27.5,17,21,0.524,11,0.188,3,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,56.3,Away,LIBERTY,Liberty,Florida Gulf Coast,atlantic-sun,15,False,True,True,Home,False,5,11,40,23,44,5,20,47,0,1,112,215,865,0.4427745664739885,488,1020,0.4784313725490196,111,254,875,0.4805714285714286,0.2
16,2020-01-04-19-florida-gulf-coast,54.2,13,10.7,3,100.0,72.0,18,0.444,63,0.381,24,0.159,10,0.5,5,9,200,89.7,28.9,11,13,61,,11.8,8,0.429,27,0.29600000000000004,8,46.0,29,0.45,16.2,13,36,0.444,16,0.4,6,"January 4, 2020",53.8,14,8.3,3,89.7,71.1,27,0.635,48,0.542,26,0.271,13,0.5379999999999999,7,13,200,100.0,28.0,7,13,68,,7.4,5,0.41700000000000004,20,0.45,9,54.0,34,0.628,26.1,19,28,0.607,17,0.235,4,"Alico Arena, Fort Myers, Florida",LIPSCOMB,Lipscomb,68.0,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun,16,True,False,True,Home,True,9,17,48,34,63,8,16,63,1,0,117,226,905,0.44364640883977896,511,1064,0.4802631578947368,116,274,922,0.4859002169197397,0.1875
17,2020-01-09-19-north-florida,55.2,16,10.3,3,127.1,73.3,22,0.516,62,0.46799999999999997,29,0.226,14,0.7140000000000001,10,14,200,105.7,29.4,10,17,74,,7.1,5,0.226,14,0.429,6,50.0,32,0.539,13.9,11,48,0.479,23,0.222,4,"January 9, 2020",56.7,17,2.1,1,105.7,70.6,24,0.633,60,0.5,30,0.3,18,0.722,13,8,200,127.1,26.7,8,14,89,,7.1,5,0.517,31,0.516,16,50.0,32,0.649,11.7,9,29,0.483,14,0.556,10,"UNF Arena , Jacksonville, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,69.6,Home,NORTH-FLORIDA,North Florida,Florida Gulf Coast,atlantic-sun,17,False,False,False,Away,False,6,23,62,32,64,16,14,60,0,1,126,243,953,0.453305351521511,545,1127,0.4835847382431233,124,290,985,0.483248730964467,0.2352941176470588
18,2020-01-11-16-stetson,57.1,12,7.7,3,98.4,73.3,22,0.5,48,0.43799999999999994,21,0.41700000000000004,20,0.9,18,14,225,104.8,24.0,6,16,66,,6.3,4,0.396,19,0.316,6,50.9,28,0.574,16.2,11,29,0.517,15,0.263,5,"January 11, 2020",40.0,10,17.2,5,104.8,76.0,19,0.519,54,0.46299999999999997,25,0.185,10,0.6,6,11,225,98.4,26.7,8,18,62,,7.9,5,0.278,15,0.4,6,49.1,27,0.528,18.2,13,39,0.48700000000000004,19,0.389,7,"Edmunds Center, DeLand, Florida",STETSON,Stetson,56.1,Away,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun,18,False,False,False,Away,True,6,15,48,28,55,6,19,54,1,0,132,266,1015,0.4571428571428571,577,1191,0.4844668345927792,140,304,1045,0.491866028708134,0.2222222222222222
19,2020-01-16-19-florida-gulf-coast,35.7,5,4.5,2,94.8,56.8,21,0.239,67,0.209,14,0.32799999999999996,22,0.8640000000000001,19,16,200,66.2,26.5,13,19,51,,16.9,13,0.313,21,0.19,4,39.5,34,0.32899999999999996,14.5,13,46,0.217,10,0.059000000000000004,1,"January 16, 2020",51.7,15,21.7,10,66.2,73.5,36,0.4920000000000001,64,0.45299999999999996,29,0.297,19,0.526,10,14,200,94.8,43.2,16,17,73,,6.5,5,0.313,20,0.25,5,60.5,52,0.5,20.8,19,44,0.545,24,0.3,6,"Alico Arena, Fort Myers, Florida",KENNESAW-STATE,Kennesaw State,76.7,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun,19,True,False,True,Home,True,5,24,64,52,86,4,10,67,1,0,138,281,1063,0.4590780809031044,605,1246,0.485553772070626,146,323,1099,0.4931756141947225,0.2631578947368421
20,2020-01-18-16-north-alabama,38.5,10,3.8,1,100.0,88.9,16,0.536,55,0.473,26,0.2,11,0.545,6,15,200,92.9,23.1,6,20,65,,5.7,4,0.364,20,0.35,7,50.0,22,0.54,23.1,18,35,0.5429999999999999,19,0.28600000000000003,6,"January 18, 2020",52.4,11,11.4,4,92.9,76.9,20,0.613,40,0.525,21,0.625,25,0.84,21,11,200,100.0,11.1,2,15,70,,8.6,6,0.35,14,0.5,7,50.0,22,0.675,26.1,18,26,0.5379999999999999,14,0.42100000000000004,8,"Flowers Hall, Florence, Alabama",FLORIDA-GULF-COAST,Florida Gulf Coast,70.1,Home,NORTH-ALABAMA,North Alabama,Florida Gulf Coast,atlantic-sun,20,False,False,False,Away,False,7,19,55,22,44,7,14,40,0,1,143,305,1127,0.4609582963620231,657,1332,0.4932432432432433,150,333,1166,0.4785591766723842,0.3
21,2020-01-25-19-florida-gulf-coast,50.0,11,6.7,2,98.2,87.5,21,0.552,48,0.45799999999999996,22,0.125,6,0.5,3,13,200,101.8,28.0,7,14,56,,5.5,3,0.521,25,0.36,9,57.1,28,0.551,20.4,13,23,0.565,13,0.35,7,"January 25, 2020",52.4,11,0.0,0,101.8,72.0,18,0.544,45,0.467,21,0.156,7,0.7140000000000001,5,16,200,98.2,12.5,3,9,54,,10.9,6,0.33299999999999996,15,0.467,7,42.9,21,0.5589999999999999,14.3,8,30,0.467,14,0.273,6,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,55.1,Away,NJIT,NJIT,Florida Gulf Coast,atlantic-sun,21,False,True,True,Home,False,7,14,45,21,49,9,13,48,0,1,150,324,1182,0.4644670050761421,679,1376,0.4934593023255814,157,347,1206,0.4830016583747927,0.2857142857142857
22,2020-01-30-19-jacksonville,39.1,9,11.1,4,96.8,80.6,25,0.475,59,0.39,23,0.153,9,0.778,7,16,200,100.0,25.7,9,12,63,,6.3,4,0.475,28,0.35700000000000004,10,51.5,34,0.498,8.7,6,31,0.419,13,0.304,7,"January 30, 2020",69.6,16,6.5,2,100.0,74.3,26,0.474,57,0.40399999999999997,23,0.228,13,0.5379999999999999,7,13,200,96.8,19.4,6,12,61,,4.8,3,0.368,21,0.381,8,48.5,32,0.483,12.5,9,36,0.41700000000000004,15,0.435,10,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,63.2,Away,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun,22,False,False,False,Away,True,10,13,59,34,66,8,15,57,1,0,157,338,1227,0.467400162999185,700,1425,0.4912280701754386,166,360,1254,0.4856459330143541,0.2727272727272727
23,2020-02-01-19-liberty,16.7,3,3.8,1,107.0,88.9,16,0.444,45,0.4,18,0.133,6,1.0,6,17,200,80.7,26.9,7,10,46,,12.3,7,0.42200000000000004,19,0.21100000000000002,4,52.3,23,0.48100000000000004,23.9,15,26,0.5379999999999999,14,0.292,7,"February 1, 2020",40.0,10,11.5,3,80.7,73.1,19,0.633,45,0.556,25,0.133,6,0.667,4,3,200,107.0,11.1,2,8,61,,19.3,11,0.42200000000000004,19,0.368,7,47.7,21,0.637,20.1,12,26,0.6920000000000001,18,0.875,21,"Vines Center, Lynchburg, Virginia",FLORIDA-GULF-COAST,Florida Gulf Coast,56.9,Home,LIBERTY,Liberty,Florida Gulf Coast,atlantic-sun,23,False,False,False,Away,False,4,14,45,23,44,7,18,45,0,1,167,351,1286,0.4677293934681182,734,1491,0.4922870556673374,174,375,1311,0.4851258581235698,0.3043478260869565
24,2020-02-06-19-florida-gulf-coast,36.4,8,4.2,1,108.8,67.7,21,0.49,52,0.423,22,0.34600000000000003,18,0.778,14,12,200,114.0,31.0,9,13,65,,7.0,4,0.308,16,0.43799999999999994,7,50.0,30,0.537,9.1,6,36,0.41700000000000004,15,0.52,13,"February 6, 2020",71.4,15,16.7,6,114.0,69.0,20,0.5,50,0.42,21,0.38,19,0.632,12,18,200,108.8,32.3,10,15,62,,3.5,2,0.52,26,0.308,8,50.0,30,0.525,10.7,7,24,0.542,13,0.28,7,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,56.8,Away,STETSON,Stetson,Florida Gulf Coast,atlantic-sun,24,False,True,True,Home,False,8,13,50,30,60,7,15,52,0,1,171,365,1331,0.4669421487603306,757,1535,0.4931596091205212,181,393,1356,0.4900442477876106,0.2916666666666667
25,2020-02-08-19-florida-gulf-coast,44.0,11,6.5,3,92.3,66.7,24,0.536,56,0.446,25,0.179,10,0.9,9,10,200,106.2,21.4,6,13,69,,7.7,5,0.5,28,0.35700000000000004,10,46.9,30,0.568,16.6,12,28,0.536,15,0.615,16,"February 8, 2020",55.6,15,10.7,3,106.2,78.6,22,0.444,63,0.429,27,0.095,6,0.667,4,19,200,92.3,33.3,12,14,60,,6.2,4,0.27,17,0.11800000000000001,2,53.1,34,0.456,13.2,10,46,0.5429999999999999,25,0.26899999999999996,7,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,65.3,Away,NORTH-FLORIDA,North Florida,Florida Gulf Coast,atlantic-sun,25,False,True,True,Home,False,2,25,63,34,64,10,15,56,0,1,179,378,1381,0.4681390296886314,787,1595,0.4934169278996865,188,408,1408,0.4900568181818182,0.28
