,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOFSTRA_homegame,HOFSTRA_homegame2,HOFSTRA_home,HOFSTRA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-hofstra,41.7,10,13.5,5,92.2,71.4,35,0.483,58,0.414,24,0.121,7,1.0,7,4,200,81.8,20.6,7,16,63,,6.5,5,0.431,25,0.32,8,50.6,42,0.514,26.5,22,33,0.485,16,0.636,7,"December 10, 2019",59.1,13,3.0,1,81.8,79.4,27,0.389,72,0.306,22,0.23600000000000002,17,0.882,15,4,200,92.2,28.6,14,9,71,,10.4,8,0.486,35,0.34299999999999997,12,49.4,41,0.44299999999999995,12.2,11,37,0.27,10,0.636,7,"Mack Sports Complex, Hempstead, New York",STONY-BROOK,Stony Brook,76.7,Home,HOFSTRA,Hofstra,Hofstra,colonial,10,True,False,True,Home,True,12,10,72,41,83,8,16,58,1,0,73,198,620,0.4959677419354839,341,673,0.5066864784546805,70,204,622,0.4967845659163987,0.6
11,2019-12-19-19-princeton,40.0,12,17.1,7,97.3,71.0,22,0.5329999999999999,61,0.4920000000000001,30,0.44299999999999995,27,0.815,22,4,200,117.6,38.2,13,19,87,,10.8,8,0.27899999999999997,17,0.294,5,53.8,35,0.589,13.1,11,44,0.568,25,0.667,8,"December 19, 2019",53.8,14,0.0,0,117.6,61.8,21,0.47600000000000003,62,0.419,26,0.29,18,0.722,13,8,200,97.3,29.0,9,22,72,,8.1,6,0.33899999999999997,21,0.33299999999999996,7,46.2,30,0.51,17.7,15,41,0.46299999999999997,19,0.273,3,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,74.2,Away,HOFSTRA,Hofstra,Hofstra,colonial,11,False,False,False,Away,True,5,25,61,35,65,7,19,62,1,0,85,208,692,0.4848265895953757,382,756,0.5052910052910053,78,220,680,0.4955882352941177,0.6363636363636364
12,2019-12-22-12-hofstra,59.1,13,3.8,1,92.6,80.8,21,0.446,56,0.39299999999999996,22,0.08900000000000001,5,0.2,1,5,200,75.0,17.1,6,17,51,,10.3,7,0.268,15,0.4,6,44.3,27,0.4370000000000001,19.4,14,41,0.39,16,0.444,4,"December 22, 2019",59.1,13,7.3,3,75.0,82.9,29,0.5,51,0.431,22,0.275,14,0.857,12,4,200,92.6,19.2,5,11,63,,11.8,8,0.49,25,0.28,7,55.7,34,0.546,22.9,17,26,0.5770000000000001,15,0.6920000000000001,9,"Mack Sports Complex, Hempstead, New York",MANHATTAN,Manhattan,68.0,Home,HOFSTRA,Hofstra,Hofstra,colonial,12,True,False,True,Home,True,7,15,51,34,61,6,16,56,1,0,90,233,753,0.4887118193891102,417,821,0.5079171741778319,85,239,742,0.4939353099730458,0.6666666666666666
13,2019-12-28-16-james-madison,40.0,10,4.9,2,104.1,73.8,31,0.509,56,0.446,25,0.5710000000000001,32,0.7809999999999999,25,4,200,112.3,21.9,7,19,82,,4.1,3,0.5,28,0.25,7,51.4,38,0.5760000000000001,11.4,9,28,0.643,18,0.7140000000000001,10,"December 28, 2019",41.9,13,0.0,0,112.3,78.1,25,0.531,65,0.47700000000000004,31,0.33799999999999997,22,0.318,7,5,200,104.1,26.2,11,23,76,,8.2,6,0.369,24,0.292,7,48.6,36,0.504,10.8,9,41,0.585,24,0.583,7,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,73.3,Away,HOFSTRA,Hofstra,Hofstra,colonial,13,False,False,False,Away,True,7,18,56,38,74,7,24,65,1,0,97,248,804,0.4894278606965174,451,882,0.5113378684807256,91,255,798,0.4906015037593985,0.6923076923076923
14,2019-12-30-14-towson,52.0,13,4.4,2,94.4,75.0,27,0.509,57,0.439,25,0.456,26,0.654,17,4,200,105.6,16.7,6,14,75,,8.5,6,0.35100000000000003,20,0.4,8,45.8,33,0.541,8.1,6,37,0.45899999999999996,17,0.733,11,"December 30, 2019",37.0,10,10.8,4,105.6,83.3,30,0.469,64,0.42200000000000004,27,0.156,10,0.7,7,8,200,94.4,25.0,9,20,67,,4.2,3,0.297,19,0.316,6,54.2,39,0.48700000000000004,14.9,12,45,0.467,21,0.429,6,"SECU Arena, Towson, Maryland",TOWSON,Towson,70.6,Away,HOFSTRA,Hofstra,Hofstra,colonial,14,False,False,False,Away,True,8,17,57,33,72,6,21,64,1,0,104,266,860,0.4906976744186046,489,956,0.5115062761506276,98,279,863,0.4936268829663963,0.7142857142857143
15,2020-01-02-19-hofstra,42.9,15,7.1,3,84.7,63.8,30,0.688,56,0.625,35,0.214,12,0.917,11,5,200,122.2,21.1,4,21,88,,8.3,6,0.33899999999999997,19,0.368,7,51.5,34,0.713,17.5,13,37,0.757,28,0.667,10,"January 2, 2020",34.8,8,0.0,0,122.2,78.9,15,0.373,67,0.34299999999999997,23,0.34299999999999997,23,0.478,11,5,200,84.7,36.2,17,12,61,,6.9,5,0.373,25,0.16,4,48.5,32,0.391,14.4,13,42,0.452,19,0.688,11,"Mack Sports Complex, Hempstead, New York",HOFSTRA,Hofstra,72.3,Away,WILLIAM-MARY,William & Mary,Hofstra,colonial,15,False,True,True,Home,False,4,19,67,32,66,7,28,56,0,1,112,283,917,0.4918211559432933,522,1028,0.5077821011673151,104,300,927,0.4919093851132686,0.7333333333333333
16,2020-01-04-16-hofstra,74.1,20,0.0,0,141.7,77.8,14,0.54,62,0.435,27,0.177,11,0.727,8,12,200,104.2,28.1,9,19,75,,13.9,10,0.613,38,0.342,13,46.0,23,0.5579999999999999,16.3,13,24,0.583,14,0.25,4,"January 4, 2020",48.6,17,4.2,1,104.2,71.9,23,0.769,54,0.648,35,0.389,21,0.905,19,5,200,141.7,22.2,4,14,102,,9.7,7,0.48100000000000004,26,0.5,13,54.0,27,0.797,15.9,12,28,0.7859999999999999,22,0.706,12,"Mack Sports Complex, Hempstead, New York",ELON,Elon,71.6,Home,HOFSTRA,Hofstra,Hofstra,colonial,16,True,False,True,Home,True,13,22,54,27,50,13,14,62,1,0,116,302,984,0.48373983739837395,554,1094,0.5063985374771479,111,328,983,0.5030518819938963,0.6875
17,2020-01-09-20-northeastern,23.3,7,0.0,0,107.5,68.0,17,0.593,54,0.556,30,0.24100000000000002,13,0.769,10,5,200,110.4,23.1,6,11,74,,13.4,9,0.24100000000000002,13,0.308,4,45.1,23,0.615,17.9,13,41,0.634,26,0.722,13,"January 9, 2020",64.3,18,0.0,0,110.4,76.9,20,0.57,57,0.491,28,0.14,8,0.875,7,8,200,107.5,32.0,8,17,72,,11.9,8,0.35100000000000003,20,0.45,9,54.9,28,0.5920000000000001,18.8,14,37,0.514,19,0.529,9,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,67.0,Away,HOFSTRA,Hofstra,Hofstra,colonial,17,False,False,False,Away,True,4,26,54,23,51,9,19,57,1,0,129,324,1038,0.4985549132947977,581,1144,0.5078671328671329,124,342,1045,0.5052631578947369,0.7058823529411765
18,2020-01-16-19-north-carolina-wilmington,37.5,9,4.4,2,98.4,65.7,23,0.5379999999999999,52,0.462,24,0.192,10,0.7,7,5,200,101.6,22.2,6,12,63,,4.8,3,0.40399999999999997,21,0.381,8,46.8,29,0.555,18.7,13,31,0.516,16,0.737,14,"January 16, 2020",37.5,9,6.5,2,101.6,77.8,21,0.4320000000000001,59,0.40700000000000003,24,0.237,14,0.7140000000000001,10,15,200,98.4,34.3,12,13,61,,14.5,9,0.237,14,0.214,3,53.2,33,0.465,9.7,7,45,0.467,21,0.25,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,62.2,Away,HOFSTRA,Hofstra,Hofstra,colonial,18,False,False,False,Away,True,8,16,52,29,62,3,21,59,1,0,133,350,1092,0.5032051282051282,604,1195,0.5054393305439331,133,361,1102,0.5086206896551724,0.7222222222222222
19,2020-01-18-16-college-of-charleston,48.0,12,9.1,3,109.5,68.8,22,0.5770000000000001,52,0.48100000000000004,25,0.135,7,1.0,7,6,200,106.3,13.0,3,13,67,,6.3,4,0.365,19,0.526,10,45.5,25,0.606,15.4,10,33,0.455,15,0.7,14,"January 18, 2020",48.0,12,9.1,3,106.3,87.0,20,0.4920000000000001,59,0.424,25,0.22,13,0.846,11,8,200,109.5,31.3,10,12,69,,9.5,6,0.441,26,0.308,8,54.5,30,0.529,12.2,9,33,0.515,17,0.6,12,"TD Arena, Charleston, South Carolina",HOFSTRA,Hofstra,63.3,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Hofstra,colonial,19,False,False,False,Away,False,10,15,52,25,55,8,17,59,0,1,141,366,1144,0.5048076923076923,633,1257,0.5035799522673031,136,382,1161,0.5047372954349698,0.7368421052631579
20,2020-01-23-18-hofstra,46.7,14,8.2,4,95.9,73.7,28,0.485,65,0.462,30,0.2,13,0.769,10,7,200,98.6,31.3,10,18,73,,5.4,4,0.308,20,0.15,3,54.3,38,0.513,16.5,14,45,0.6,27,0.667,14,"January 23, 2020",50.0,12,2.2,1,98.6,68.8,22,0.402,66,0.364,24,0.303,20,0.9,18,7,200,95.9,26.3,10,17,71,,6.8,5,0.258,17,0.294,5,45.7,32,0.47,9.7,8,49,0.38799999999999996,19,0.667,14,"Mack Sports Complex, Hempstead, New York",HOFSTRA,Hofstra,74.3,Away,DELAWARE,Delaware,Hofstra,colonial,20,False,True,True,Home,False,5,19,66,32,70,3,27,65,0,1,151,381,1196,0.507943143812709,658,1312,0.5015243902439024,144,399,1220,0.5040983606557377,0.7
21,2020-01-25-16-hofstra,43.5,10,2.1,1,114.3,61.3,19,0.49,50,0.46,23,0.26,13,0.769,10,10,200,93.7,30.8,8,16,59,,6.3,4,0.32,16,0.188,3,47.4,27,0.525,21.2,15,34,0.588,20,0.545,12,"January 25, 2020",32.1,9,5.9,2,93.7,69.2,18,0.508,61,0.45899999999999996,28,0.23,14,0.7140000000000001,10,7,200,114.3,38.7,12,13,72,,12.7,8,0.213,13,0.462,6,52.6,30,0.532,9.4,7,48,0.45799999999999996,22,0.682,15,"Mack Sports Complex, Hempstead, New York",DREXEL,Drexel,62.9,Home,HOFSTRA,Hofstra,Hofstra,colonial,21,True,False,True,Home,True,6,22,61,30,57,3,20,50,1,0,156,400,1262,0.5023771790808241,690,1382,0.4992764109985528,147,426,1285,0.5031128404669261,0.6666666666666666
22,2020-01-30-19-elon,73.3,22,0.0,0,92.6,73.1,19,0.6579999999999999,57,0.526,30,0.21100000000000002,12,0.917,11,7,200,126.5,33.3,8,19,86,,11.8,8,0.544,31,0.484,15,54.0,27,0.6859999999999999,17.3,13,26,0.5770000000000001,15,0.696,16,"January 30, 2020",38.1,8,3.8,1,126.5,66.7,16,0.461,51,0.41200000000000003,21,0.392,20,0.8,16,17,200,92.6,26.9,7,16,63,,8.8,6,0.431,22,0.22699999999999998,5,46.0,23,0.521,19.0,14,29,0.552,16,0.261,6,"Schar Center, Elon, North Carolina",ELON,Elon,67.6,Away,HOFSTRA,Hofstra,Hofstra,colonial,22,False,False,False,Away,True,15,15,57,27,50,5,16,51,1,0,162,422,1323,0.5026455026455027,720,1439,0.5003474635163307,150,446,1335,0.5026217228464419,0.6818181818181818
23,2020-02-01-16-william-mary,43.8,14,10.5,4,90.9,68.8,22,0.636,59,0.542,32,0.203,12,0.667,8,7,200,125.8,19.2,5,12,83,,9.1,6,0.39,23,0.478,11,46.6,27,0.6409999999999999,9.8,7,36,0.583,21,0.708,17,"February 1, 2020",63.6,14,16.7,6,125.8,80.8,21,0.441,59,0.373,22,0.153,9,0.889,8,8,200,90.9,31.3,10,14,60,,6.1,4,0.35600000000000004,21,0.381,8,53.4,31,0.474,17.1,13,38,0.368,14,0.667,16,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",WILLIAM-MARY,William & Mary,66.5,Away,HOFSTRA,Hofstra,Hofstra,colonial,23,False,False,False,Away,True,11,21,59,27,58,8,14,59,1,0,177,437,1380,0.5090579710144928,747,1489,0.5016789791806582,155,462,1386,0.5010822510822511,0.6956521739130435
24,2020-02-08-16-hofstra,50.0,13,6.1,2,100.0,78.1,25,0.509,57,0.456,26,0.263,15,0.867,13,13,200,94.7,26.7,8,25,71,,6.7,5,0.35100000000000003,20,0.3,6,53.2,33,0.5539999999999999,22.1,18,37,0.541,20,0.45799999999999996,11,"February 8, 2020",45.5,10,8.1,3,94.7,73.3,22,0.46399999999999997,55,0.4,22,0.527,29,0.828,24,7,200,100.0,21.9,7,18,75,,10.7,8,0.4,22,0.318,7,46.8,29,0.545,17.1,14,33,0.455,15,0.72,18,"Mack Sports Complex, Hempstead, New York",NORTHEASTERN,Northeastern,75.0,Home,HOFSTRA,Hofstra,Hofstra,colonial,24,True,False,True,Home,True,7,15,55,29,62,6,20,57,1,0,188,458,1439,0.5142460041695622,774,1547,0.5003232062055591,163,476,1445,0.4986159169550173,0.7083333333333334
25,2020-02-13-19-hofstra,61.5,16,2.9,1,110.1,75.0,18,0.518,55,0.473,26,0.182,10,0.6,6,11,200,91.3,12.9,4,14,63,,15.9,11,0.364,20,0.25,5,40.0,22,0.527,18.0,13,35,0.6,21,0.5770000000000001,15,"February 13, 2020",48.3,14,5.7,2,91.3,87.1,27,0.613,53,0.547,29,0.226,12,0.917,11,7,200,110.1,25.0,6,14,76,,11.6,8,0.34,18,0.389,7,60.0,33,0.647,22.6,17,35,0.629,22,0.731,19,"Mack Sports Complex, Hempstead, New York",COLLEGE-OF-CHARLESTON,College of Charleston,69.2,Home,HOFSTRA,Hofstra,Hofstra,colonial,25,True,False,True,Home,True,7,22,53,33,55,5,21,55,1,0,195,473,1494,0.5123828647925034,803,1609,0.4990677439403356,169,496,1502,0.4990013315579228,0.72
26,2020-02-15-16-hofstra,57.1,12,4.2,1,120.0,71.4,20,0.48,50,0.42,21,0.38,19,0.8420000000000001,16,20,200,98.5,13.3,4,26,64,,9.2,6,0.34,17,0.353,6,41.4,24,0.542,13.4,9,33,0.455,15,0.28600000000000003,8,"February 15, 2020",56.5,13,6.1,2,98.5,86.7,26,0.54,50,0.46,23,0.64,32,0.75,24,7,200,120.0,28.6,8,13,78,,6.2,4,0.52,26,0.308,8,58.6,34,0.598,11.1,8,24,0.625,15,0.741,20,"Mack Sports Complex, Hempstead, New York",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,64.6,Home,HOFSTRA,Hofstra,Hofstra,colonial,26,True,False,True,Home,True,8,15,50,34,58,6,15,50,1,0,202,495,1547,0.5158371040723982,836,1664,0.5024038461538461,174,517,1557,0.4996788696210662,0.7307692307692307
