,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALBANY-NY_homegame,ALBANY-NY_homegame2,ALBANY-NY_home,ALBANY-NY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-boston-college,52.9,9,6.3,2,102.9,70.7,29,0.408,49,0.34700000000000003,17,0.429,21,0.524,11,6,200,72.9,25.0,9,21,51,,5.7,4,0.51,25,0.24,6,49.4,38,0.4320000000000001,22.6,17,24,0.45799999999999996,11,0.455,5,"December 10, 2019",77.3,17,0.0,0,72.9,75.0,27,0.42200000000000004,64,0.344,22,0.469,30,0.6,18,5,200,102.9,29.3,12,19,72,,20.0,14,0.5,32,0.313,10,50.6,39,0.46,7.2,6,32,0.375,12,0.545,6,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",ALBANY-NY,Albany (NY),69.6,Home,BOSTON-COLLEGE,Boston College,Albany (NY),america-east,10,False,False,False,Away,False,6,11,49,38,77,10,12,64,0,1,70,162,551,0.484573502722323,337,658,0.5121580547112462,70,160,585,0.45299145299145294,0.5
11,2019-12-14-19-albany-ny,50.0,14,3.2,1,125.4,73.7,14,0.588,57,0.491,28,0.24600000000000002,14,0.929,13,6,200,119.4,14.3,4,23,80,,9.0,6,0.439,25,0.44,11,38.3,18,0.628,11.2,8,32,0.531,17,0.25,2,"December 14, 2019",67.9,19,6.3,2,119.4,85.7,24,0.65,50,0.56,28,0.46,23,0.826,19,6,200,125.4,26.3,5,13,84,,1.5,1,0.38,19,0.474,9,61.7,29,0.6890000000000001,15.5,11,31,0.613,19,0.5,6,"SEFCU Arena, Albany, New York",NIAGARA,Niagara,67.3,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,11,True,False,True,Home,True,9,19,50,29,47,11,17,57,1,0,76,173,600,0.4783333333333333,375,735,0.5102040816326531,80,172,649,0.44992295839753466,0.4545454545454545
12,2019-12-18-20-st-johns-ny,55.0,11,2.0,1,107.6,57.1,20,0.41100000000000003,56,0.35700000000000004,20,0.28600000000000003,16,0.688,11,7,200,72.2,20.6,7,13,57,,10.1,8,0.48200000000000004,27,0.222,6,39.1,27,0.44799999999999995,25.0,21,29,0.483,14,0.462,6,"December 18, 2019",50.0,18,37.9,11,72.2,79.4,27,0.5489999999999999,71,0.507,36,0.183,13,0.5379999999999999,7,2,200,107.6,42.9,15,19,85,,19.0,15,0.29600000000000004,21,0.28600000000000003,6,60.9,42,0.551,19.8,19,50,0.6,30,0.833,10,"Carnesecca Arena, Jamaica, New York",ALBANY-NY,Albany (NY),79.4,Home,ST-JOHNS-NY,St. John's (NY),Albany (NY),america-east,12,False,False,False,Away,False,6,14,56,27,69,6,30,71,0,1,85,192,650,0.4915384615384616,404,782,0.5166240409207161,91,189,706,0.4610481586402266,0.5
13,2019-12-21-14-monmouth,44.0,11,9.1,4,101.4,66.7,28,0.5479999999999999,52,0.48100000000000004,25,0.462,24,0.542,13,8,200,98.6,23.3,7,21,70,,4.2,3,0.385,20,0.35,7,48.6,35,0.552,19.3,15,32,0.563,18,0.429,6,"December 21, 2019",37.5,9,9.4,3,98.6,76.7,23,0.418,67,0.358,24,0.284,19,0.8420000000000001,16,5,200,101.4,33.3,14,21,72,,9.9,7,0.34299999999999997,23,0.348,8,51.4,37,0.474,10.7,9,44,0.364,16,0.545,6,"Multipurpose Activity Center, West Long Branch, New Jersey",ALBANY-NY,Albany (NY),71.2,Home,MONMOUTH,Monmouth,Albany (NY),america-east,13,False,False,False,Away,False,7,18,52,35,72,8,16,67,0,1,91,206,706,0.485127478753541,431,851,0.5064629847238543,97,219,777,0.4691119691119691,0.4615384615384616
14,2019-12-30-19-columbia,40.0,10,0.0,0,98.5,71.4,25,0.5429999999999999,58,0.431,25,0.121,7,0.5710000000000001,4,8,200,100.0,17.1,6,20,67,,4.5,3,0.466,27,0.48100000000000004,13,44.3,31,0.546,16.4,12,31,0.387,12,0.467,7,"December 30, 2019",31.8,7,12.9,4,100.0,82.9,29,0.446,56,0.39299999999999996,22,0.375,21,0.762,16,10,200,98.5,28.6,10,13,66,,9.0,6,0.35700000000000004,20,0.3,6,55.7,39,0.5,14.4,11,36,0.444,16,0.28600000000000003,4,"Levien Gym, New York, New York",COLUMBIA,Columbia,67.2,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east,14,False,False,False,Away,True,13,12,58,31,70,6,16,56,1,0,98,224,758,0.4894459102902375,466,923,0.5048754062838571,105,235,844,0.4650473933649289,0.42857142857142855
15,2020-01-04-16-binghamton,46.2,12,6.5,2,83.8,83.3,30,0.545,56,0.46399999999999997,26,0.321,18,0.722,13,8,200,100.0,17.9,5,17,74,,8.1,6,0.35700000000000004,20,0.45,9,54.7,35,0.573,18.0,14,36,0.47200000000000003,17,0.5,8,"January 4, 2020",19.0,4,8.3,3,100.0,82.1,23,0.40299999999999997,62,0.33899999999999997,21,0.242,15,0.8,12,8,200,83.8,16.7,6,16,62,,9.5,7,0.5,31,0.258,8,45.3,29,0.44799999999999995,14.9,12,31,0.419,13,0.429,6,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,74.3,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east,15,False,False,False,Away,True,9,17,56,35,64,8,13,62,1,0,111,236,816,0.4932598039215687,497,993,0.500503524672709,111,251,900,0.4638888888888889,0.4666666666666667
16,2020-01-11-15-albany-ny,65.2,15,18.2,4,107.0,71.0,22,0.4920000000000001,59,0.39,23,0.305,18,0.667,12,13,200,98.6,30.6,11,35,70,,5.6,4,0.61,36,0.33299999999999996,12,49.3,33,0.518,19.3,16,23,0.478,11,0.235,4,"January 11, 2020",58.8,10,4.3,1,98.6,69.4,25,0.435,46,0.37,17,1.022,47,0.7659999999999999,36,8,200,107.0,29.0,9,20,76,,14.1,10,0.522,24,0.25,6,50.7,34,0.556,14.2,11,22,0.5,11,0.529,9,"SEFCU Arena, Albany, New York",MAINE,Maine,71.4,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,16,True,False,True,Home,True,6,11,46,34,67,12,11,59,1,0,120,253,872,0.4965596330275229,532,1057,0.5033112582781457,119,264,962,0.45997920997921005,0.5
17,2020-01-15-19-new-hampshire,29.2,7,5.3,2,93.6,76.9,30,0.528,54,0.444,24,0.46299999999999997,25,0.76,19,8,225,97.4,12.5,4,20,76,,6.4,5,0.315,17,0.529,9,47.9,34,0.5770000000000001,19.8,16,37,0.405,15,0.556,10,"January 15, 2020",25.0,6,5.4,2,97.4,87.5,28,0.452,62,0.387,24,0.387,24,0.708,17,9,225,93.6,23.1,9,23,73,,11.5,9,0.387,24,0.33299999999999996,8,52.1,37,0.4970000000000001,16.2,14,38,0.42100000000000004,16,0.47100000000000003,8,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,69.5,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east,17,False,False,False,Away,True,9,15,54,34,71,8,16,62,1,0,126,264,918,0.4934640522875817,566,1124,0.5035587188612101,131,275,1021,0.4618021547502448,0.5294117647058824
18,2020-01-18-19-stony-brook,59.1,13,6.1,2,95.9,79.2,19,0.441,59,0.373,22,0.254,15,0.667,10,9,200,84.9,23.7,9,19,62,,9.6,7,0.4920000000000001,29,0.276,8,45.2,28,0.469,19.6,16,30,0.467,14,0.526,10,"January 18, 2020",40.7,11,13.3,4,84.9,76.3,29,0.633,49,0.551,27,0.34700000000000003,17,0.47100000000000003,8,7,200,95.9,20.8,5,18,70,,12.3,9,0.327,16,0.5,8,54.8,34,0.613,26.2,20,33,0.5760000000000001,19,0.65,13,"Island Federal Credit Union, Stony Brook, New York",ALBANY-NY,Albany (NY),72.6,Home,STONY-BROOK,Stony Brook,Albany (NY),america-east,18,False,False,False,Away,False,8,14,59,28,62,8,19,49,0,1,135,279,972,0.4953703703703704,600,1195,0.502092050209205,139,291,1083,0.4612188365650969,0.5555555555555556
19,2020-01-22-19-albany-ny,55.2,16,4.9,2,132.9,62.1,18,0.568,59,0.4920000000000001,29,0.271,16,0.5,8,12,200,98.7,18.2,6,20,75,,7.9,6,0.35600000000000004,21,0.429,9,38.7,24,0.563,17.5,14,38,0.526,20,0.4,8,"January 22, 2020",52.8,19,5.3,2,98.7,81.8,27,0.625,68,0.529,36,0.27899999999999997,19,0.8420000000000001,16,9,200,132.9,37.9,11,17,101,,11.8,9,0.397,27,0.48100000000000004,13,61.3,38,0.6559999999999999,13.6,12,41,0.561,23,0.55,11,"SEFCU Arena, Albany, New York",MASSACHUSETTS-LOWELL,UMass-Lowell,76.3,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,19,True,False,True,Home,True,13,23,68,38,62,9,20,59,1,0,143,293,1031,0.4922405431619787,628,1257,0.4996022275258552,147,310,1132,0.4686395759717314,0.5263157894736842
20,2020-01-25-15-albany-ny,72.0,18,19.4,6,66.7,74.4,29,0.5,57,0.439,25,0.158,9,0.556,5,10,200,86.1,9.4,3,16,62,,18.1,13,0.368,21,0.33299999999999996,7,45.1,32,0.506,16.4,12,36,0.5,18,0.524,11,"January 25, 2020",64.3,9,5.6,2,86.1,90.6,29,0.28600000000000003,56,0.25,14,0.304,17,0.941,16,10,200,66.7,25.6,10,17,48,,5.6,4,0.446,25,0.16,4,54.9,39,0.375,23.0,19,31,0.32299999999999995,10,0.524,11,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),71.7,Away,HARTFORD,Hartford,Albany (NY),america-east,20,False,True,True,Home,False,4,10,56,39,71,7,18,57,0,1,156,316,1099,0.5004549590536852,666,1319,0.5049279757391963,156,330,1191,0.4735516372795971,0.55
21,2020-01-29-19-maryland-baltimore-county,54.5,12,8.6,3,95.5,64.5,20,0.491,56,0.39299999999999996,22,0.268,15,0.8,12,10,200,101.5,30.0,9,19,67,,10.6,7,0.536,30,0.3670000000000001,11,47.5,29,0.531,16.1,12,26,0.423,11,0.545,12,"January 29, 2020",54.2,13,23.1,6,101.5,70.0,21,0.509,53,0.45299999999999996,24,0.321,17,0.529,9,13,200,95.5,35.5,11,17,63,,9.1,6,0.34,18,0.33299999999999996,6,52.5,32,0.516,19.9,15,35,0.514,18,0.409,9,"UMBC Event Center, Baltimore, Maryland",MARYLAND-BALTIMORE-COUNTY,UMBC,65.6,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east,21,False,False,False,Away,True,11,11,56,29,61,6,18,53,1,0,160,326,1155,0.4900432900432901,705,1390,0.5071942446043165,163,348,1248,0.4747596153846154,0.5238095238095238
22,2020-02-01-19-albany-ny,64.5,20,16.0,4,110.3,74.2,23,0.59,61,0.508,31,0.311,19,0.737,14,6,200,126.5,40.0,12,18,86,,8.8,6,0.311,19,0.526,10,57.4,35,0.614,13.7,11,42,0.5,21,0.7390000000000001,17,"February 1, 2020",69.6,16,7.1,3,126.5,60.0,18,0.569,51,0.451,23,0.51,26,0.654,17,11,200,110.3,25.8,8,17,75,,10.3,7,0.51,26,0.462,12,42.6,26,0.5920000000000001,16.1,12,25,0.44,11,0.522,12,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),68.2,Away,VERMONT,Vermont,Albany (NY),america-east,22,False,True,True,Home,False,12,11,51,26,61,10,21,61,0,1,171,337,1211,0.4900908340214698,734,1451,0.5058580289455548,169,366,1301,0.4761721752498078,0.5454545454545454
23,2020-02-05-19-albany-ny,58.8,10,21.7,5,92.5,77.8,28,0.36,57,0.298,17,0.298,17,0.47100000000000003,8,14,200,73.1,13.2,5,18,49,,10.4,7,0.509,29,0.24100000000000002,7,44.6,33,0.376,11.0,8,28,0.35700000000000004,10,0.364,8,"February 5, 2020",75.0,15,14.3,4,73.1,86.8,33,0.46399999999999997,55,0.364,20,0.4,22,0.5,11,11,200,92.5,22.2,8,12,62,,4.5,3,0.5820000000000001,32,0.344,11,55.4,41,0.474,12.2,9,23,0.391,9,0.542,13,"SEFCU Arena, Albany, New York",BINGHAMTON,Binghamton,67.3,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,23,True,False,True,Home,True,11,9,55,41,74,7,10,57,1,0,183,348,1262,0.4932646592709984,760,1512,0.5026455026455027,179,387,1362,0.4812775330396476,0.5217391304347826
24,2020-02-12-19-hartford,52.2,12,13.9,5,91.7,88.2,30,0.402,66,0.348,23,0.242,16,0.43799999999999994,7,12,200,83.3,29.8,14,17,60,,8.3,6,0.379,25,0.28,7,54.3,44,0.408,13.1,11,41,0.39,16,0.52,13,"February 12, 2020",71.4,15,4.9,2,83.3,70.2,33,0.44799999999999995,58,0.36200000000000004,21,0.276,16,0.875,14,12,200,91.7,11.8,4,16,66,,12.5,9,0.379,22,0.455,10,45.7,37,0.503,14.5,11,36,0.306,11,0.5379999999999999,14,"Chase Family Arena, Hartford, Connecticut",ALBANY-NY,Albany (NY),71.6,Home,HARTFORD,Hartford,Albany (NY),america-east,24,False,False,False,Away,False,7,16,66,44,81,10,11,58,0,1,194,357,1317,0.4920273348519362,801,1586,0.5050441361916772,186,397,1419,0.4763918252290345,0.5416666666666666
25,2020-02-16-13-maine,65.2,15,6.1,2,89.6,71.1,27,0.569,51,0.451,23,0.17600000000000002,9,0.889,8,12,200,98.5,24.0,6,13,66,,6.0,4,0.6859999999999999,35,0.34299999999999997,12,52.4,33,0.597,23.6,17,16,0.688,11,0.5379999999999999,14,"February 16, 2020",63.6,14,25.0,4,98.5,76.0,19,0.413,63,0.349,22,0.19,12,0.667,8,19,200,89.6,28.9,11,13,60,,16.4,11,0.47600000000000003,30,0.267,8,47.6,30,0.4370000000000001,12.8,10,33,0.424,14,0.26899999999999996,7,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,67.0,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east,25,False,False,False,Away,True,12,11,51,33,63,8,14,63,1,0,201,373,1383,0.487707881417209,845,1667,0.5068986202759448,196,408,1477,0.4752877454299255,0.52
26,2020-02-20-19-albany-ny,50.0,14,8.3,2,72.5,80.6,29,0.5,61,0.45899999999999996,28,0.14800000000000002,9,0.889,8,14,200,100.0,27.3,9,16,69,,13.0,9,0.262,16,0.313,5,55.1,38,0.529,15.6,12,45,0.511,23,0.48100000000000004,13,"February 20, 2020",50.0,8,13.3,6,100.0,72.7,24,0.35600000000000004,52,0.308,16,0.327,17,0.765,13,13,200,72.5,19.4,7,11,50,,11.6,8,0.5379999999999999,28,0.179,5,44.9,31,0.41600000000000004,22.2,17,24,0.45799999999999996,11,0.519,14,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),69.2,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,Albany (NY),america-east,26,False,True,True,Home,False,5,11,52,31,69,5,23,61,0,1,213,384,1434,0.4905857740585774,878,1730,0.507514450867052,204,422,1540,0.4727272727272727,0.5384615384615384
