,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOSTON-UNIVERSITY_homegame,BOSTON-UNIVERSITY_homegame2,BOSTON-UNIVERSITY_home,BOSTON-UNIVERSITY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-13-boston-university,34.5,10,6.7,2,116.4,81.0,17,0.485,65,0.446,29,0.27699999999999997,18,0.722,13,5,200,113.4,34.3,12,25,76,,7.5,5,0.32299999999999995,21,0.23800000000000002,5,51.8,29,0.517,8.8,7,44,0.545,24,0.545,6,"December 14, 2019",51.9,14,9.1,4,113.4,65.7,23,0.6629999999999999,46,0.5870000000000001,27,0.609,28,0.607,17,7,200,116.4,19.0,4,17,78,,1.5,1,0.348,16,0.43799999999999994,7,48.2,27,0.6579999999999999,15.9,11,30,0.667,20,0.364,4,"Case Gym, Boston, Massachusetts",DARTMOUTH,Dartmouth,67.4,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,10,True,False,True,Home,True,7,20,46,27,56,5,24,65,1,0,65,195,606,0.4826732673267327,329,659,0.4992412746585736,65,200,583,0.5102915951972555,0.3
11,2019-12-21-13-massachusetts-lowell,41.4,12,4.3,2,83.8,75.6,34,0.4920000000000001,64,0.45299999999999996,29,0.21899999999999997,14,0.7859999999999999,11,7,200,100.0,26.5,9,17,74,,5.4,4,0.313,20,0.25,5,54.4,43,0.524,15.6,13,44,0.545,24,0.41700000000000004,5,"December 21, 2019",52.4,11,9.1,4,100.0,73.5,25,0.35100000000000003,67,0.313,21,0.32799999999999996,22,0.682,15,7,200,83.8,24.4,11,14,62,,10.8,8,0.313,21,0.23800000000000002,5,45.6,36,0.4,8.4,7,46,0.348,16,0.462,6,"Tsongas Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,74.1,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,11,False,False,False,Away,True,5,24,64,43,79,5,16,67,1,0,72,215,652,0.495398773006135,356,715,0.4979020979020979,70,224,648,0.5077160493827161,0.3636363636363637
12,2019-12-29-18-merrimack,53.6,15,10.5,4,109.8,81.5,22,0.653,49,0.5710000000000001,28,0.265,13,0.385,5,7,200,113.1,26.9,7,15,69,,6.6,4,0.34700000000000003,17,0.47100000000000003,8,54.7,29,0.625,18.0,12,32,0.625,20,0.462,6,"December 29, 2019",44.0,11,0.0,0,113.1,73.1,19,0.537,54,0.46299999999999997,25,0.204,11,0.818,9,7,200,109.8,18.5,5,16,67,,11.5,7,0.29600000000000004,16,0.5,8,45.3,24,0.5660000000000001,10.6,7,38,0.447,17,0.462,6,"Hammel Court, North Andover, Massachusetts",MERRIMACK,Merrimack,60.7,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,12,False,False,False,Away,True,8,20,49,29,53,8,17,54,1,0,77,239,716,0.4951117318435754,399,794,0.5025188916876574,75,240,715,0.493006993006993,0.4166666666666667
13,2020-01-02-19-boston-university,72.0,18,2.7,1,107.4,76.5,26,0.59,50,0.5,25,0.34,17,0.765,13,4,200,105.9,7.4,2,13,72,,7.4,5,0.42,21,0.429,9,45.9,28,0.62,17.3,12,29,0.552,16,0.667,8,"January 2, 2020",41.4,12,0.0,0,105.9,92.6,25,0.541,61,0.475,29,0.19699999999999998,12,0.583,7,7,200,107.4,23.5,8,14,73,,10.3,7,0.39299999999999996,24,0.33299999999999996,8,54.1,33,0.547,12.0,9,37,0.568,21,0.5,7,"Case Gym, Boston, Massachusetts",LAFAYETTE,Lafayette,67.9,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,13,True,False,True,Home,True,8,21,61,33,61,9,16,50,1,0,85,259,765,0.5052287581699346,428,847,0.5053128689492326,83,257,769,0.4960988296488947,0.4615384615384616
14,2020-01-05-15-american,22.7,5,8.0,2,97.1,74.2,23,0.426,54,0.40700000000000003,22,0.5,27,0.63,17,8,200,91.3,22.9,8,18,63,,13.0,9,0.24100000000000002,13,0.154,2,47.0,31,0.47100000000000003,15.4,12,41,0.488,20,0.467,7,"January 5, 2020",69.6,16,4.9,2,91.3,77.1,27,0.5379999999999999,52,0.442,23,0.327,17,0.647,11,8,200,97.1,25.8,8,20,67,,8.7,6,0.519,27,0.37,10,53.0,35,0.5579999999999999,20.1,15,25,0.52,13,0.385,5,"Bender Arena, Washington, District of Columbia",BOSTON-UNIVERSITY,Boston University,69.0,Home,AMERICAN,American,Boston University,patriot,14,False,False,False,Away,False,2,20,54,31,66,10,13,52,0,1,93,280,826,0.5078692493946732,461,908,0.5077092511013216,92,273,819,0.5018315018315018,0.5
15,2020-01-08-19-boston-university,34.6,9,5.3,2,115.1,73.7,28,0.475,61,0.426,26,0.19699999999999998,12,0.75,9,11,200,91.8,12.9,4,18,67,,9.6,7,0.32799999999999996,20,0.3,6,46.4,32,0.502,10.8,8,41,0.488,20,0.267,4,"January 8, 2020",53.3,16,7.3,3,91.8,87.1,27,0.515,65,0.462,30,0.4,26,0.654,17,8,200,115.1,26.3,10,11,84,,6.8,5,0.415,27,0.259,7,53.6,37,0.5429999999999999,9.5,8,38,0.605,23,0.5,8,"Case Gym, Boston, Massachusetts",LEHIGH,Lehigh,73.0,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,15,True,False,True,Home,True,7,23,65,37,69,6,20,61,1,0,95,300,880,0.5028409090909091,492,974,0.5051334702258727,102,286,871,0.5040183696900115,0.4666666666666667
16,2020-01-11-13-boston-university,45.5,10,2.4,1,124.6,64.0,16,0.455,56,0.39299999999999996,22,0.25,14,0.5710000000000001,8,10,200,90.8,15.2,5,11,59,,10.8,7,0.39299999999999996,22,0.318,7,36.2,21,0.47100000000000003,11.4,8,34,0.441,15,0.33299999999999996,5,"January 11, 2020",52.9,18,5.9,2,90.8,84.8,28,0.679,56,0.607,34,0.161,9,0.556,5,8,200,124.6,36.0,9,15,81,,6.2,4,0.268,15,0.5329999999999999,8,63.8,37,0.672,18.9,14,41,0.634,26,0.529,9,"Case Gym, Boston, Massachusetts",ARMY,Army,65.5,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,16,True,False,True,Home,True,8,26,56,37,58,7,15,56,1,0,102,323,945,0.5037037037037037,529,1043,0.5071907957813998,108,306,932,0.5021459227467812,0.5
17,2020-01-13-19-loyola-md,54.5,18,2.8,1,71.6,83.3,30,0.581,62,0.532,33,0.29,18,0.722,13,8,200,114.9,28.6,8,18,85,,10.8,8,0.33899999999999997,21,0.28600000000000003,6,59.4,38,0.602,15.7,13,41,0.659,27,0.556,10,"January 13, 2020",42.9,9,7.3,3,114.9,71.4,20,0.40399999999999997,57,0.368,21,0.298,17,0.41200000000000003,7,9,200,71.6,16.7,6,18,53,,12.2,9,0.368,21,0.19,4,40.6,26,0.40700000000000003,17.8,14,36,0.47200000000000003,17,0.5,9,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),74.3,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,17,False,False,False,Away,True,6,27,62,38,64,4,17,57,1,0,110,349,1001,0.5134865134865135,566,1101,0.5140781108083561,115,321,988,0.4994939271255061,0.5294117647058824
18,2020-01-18-14-colgate,44.4,12,6.7,2,121.5,72.2,26,0.46399999999999997,70,0.386,27,0.1,7,0.7140000000000001,5,9,200,107.7,29.3,12,17,70,,3.1,2,0.414,29,0.379,11,49.4,38,0.47700000000000004,5.2,4,41,0.39,16,0.526,10,"January 18, 2020",60.7,17,12.2,5,107.7,70.7,29,0.5670000000000001,60,0.467,28,0.3,18,0.611,11,5,200,121.5,27.8,10,11,79,,3.1,2,0.5,30,0.4,12,50.6,39,0.5760000000000001,9.3,7,30,0.5329999999999999,16,0.737,14,"Cotterell Court, Hamilton, New York",BOSTON-UNIVERSITY,Boston University,65.4,Home,COLGATE,Colgate,Boston University,patriot,18,False,False,False,Away,False,11,16,70,38,77,12,16,60,0,1,116,376,1063,0.5174035747883349,604,1165,0.5184549356223176,119,338,1045,0.4942583732057416,0.5555555555555556
19,2020-01-22-19-boston-university,28.6,6,0.0,0,87.9,79.4,27,0.511,44,0.47700000000000004,21,0.545,24,0.625,15,7,225,90.9,15.4,4,15,60,,9.1,6,0.341,15,0.2,3,51.7,31,0.542,22.7,16,29,0.621,18,0.611,11,"January 22, 2020",40.9,9,0.0,0,90.9,84.6,22,0.456,57,0.386,22,0.158,9,0.667,6,10,225,87.9,20.6,7,18,58,,12.1,8,0.42100000000000004,24,0.33299999999999996,8,48.3,29,0.473,15.3,11,33,0.424,14,0.5,10,"Case Gym, Boston, Massachusetts",BOSTON-UNIVERSITY,Boston University,59.0,Away,NAVY,Navy,Boston University,patriot,19,False,True,True,Home,False,8,14,57,29,60,3,18,44,0,1,127,392,1133,0.5141218005295676,642,1242,0.5169082125603864,131,354,1105,0.4981900452488688,0.5263157894736842
20,2020-01-25-14-holy-cross,58.1,18,8.6,3,94.1,86.5,32,0.5479999999999999,62,0.5,31,0.242,15,0.733,11,10,200,116.2,28.1,9,10,79,,4.4,3,0.258,16,0.375,6,59.4,41,0.5710000000000001,13.8,11,46,0.5429999999999999,25,0.524,11,"January 25, 2020",48.0,12,15.2,7,116.2,71.9,23,0.484,61,0.41,25,0.14800000000000002,9,0.556,5,18,200,94.1,13.5,5,15,64,,7.4,5,0.426,26,0.34600000000000003,9,40.6,28,0.49,7.1,5,35,0.457,16,0.14300000000000002,3,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.2,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,20,False,False,False,Away,True,6,25,62,41,69,9,16,61,1,0,135,406,1190,0.511344537815126,671,1302,0.5153609831029186,134,372,1149,0.4986945169712794,0.5
21,2020-01-29-19-boston-university,63.0,17,10.0,4,129.6,62.1,18,0.5660000000000001,53,0.509,27,0.434,23,0.7390000000000001,17,13,200,108.5,29.6,8,23,77,,9.9,7,0.377,20,0.3,6,46.4,26,0.602,18.2,14,33,0.636,21,0.409,9,"January 29, 2020",48.4,15,6.1,2,108.5,70.4,19,0.595,58,0.534,31,0.534,31,0.742,23,10,200,129.6,37.9,11,16,92,,11.3,8,0.31,18,0.389,7,53.6,30,0.633,12.2,10,40,0.6,24,0.545,12,"Case Gym, Boston, Massachusetts",LOYOLA-MD,Loyola (MD),70.8,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,21,True,False,True,Home,True,7,24,58,30,56,6,21,53,1,0,141,431,1252,0.5131789137380192,712,1371,0.5193289569657185,143,388,1210,0.4979338842975207,0.5238095238095238
22,2020-02-01-14-bucknell,48.5,16,5.9,2,86.4,75.0,24,0.61,59,0.5589999999999999,33,0.11900000000000001,7,0.7140000000000001,5,10,200,116.7,30.8,8,11,77,,15.2,10,0.22,13,0.462,6,55.2,32,0.618,15.1,11,46,0.5870000000000001,27,0.565,13,"February 1, 2020",50.0,11,6.5,3,116.7,69.2,18,0.48100000000000004,54,0.40700000000000003,22,0.16699999999999998,9,0.556,5,14,200,86.4,25.0,8,14,57,,12.1,8,0.37,20,0.4,8,44.8,26,0.489,21.6,16,34,0.41200000000000003,14,0.391,9,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,65.8,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,22,False,False,False,Away,True,6,27,59,32,58,8,14,54,1,0,148,455,1310,0.516793893129771,742,1427,0.5199719691660827,149,409,1263,0.5007917656373714,0.5454545454545454
23,2020-02-05-19-army,57.1,16,2.4,1,100.0,73.3,22,0.6,55,0.509,28,0.364,20,0.7,14,10,200,121.2,18.5,5,15,80,,9.1,6,0.473,26,0.385,10,47.4,27,0.62,9.9,7,29,0.621,18,0.583,14,"February 5, 2020",42.9,12,3.4,1,121.2,81.5,22,0.5,59,0.475,28,0.153,9,0.778,7,11,200,100.0,26.7,8,17,66,,6.1,4,0.28800000000000003,17,0.17600000000000002,3,52.6,30,0.522,14.9,11,42,0.595,25,0.5,11,"Christl Arena, West Point, New York",ARMY,Army,66.4,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,23,False,False,False,Away,True,10,18,55,27,57,3,25,59,1,0,154,482,1369,0.5208181154127101,774,1485,0.5212121212121212,157,423,1317,0.5,0.5652173913043478
24,2020-02-08-13-boston-university,42.3,11,8.6,3,122.2,64.3,18,0.526,57,0.456,26,0.193,11,0.727,8,22,200,107.9,29.0,9,21,68,,9.5,6,0.40399999999999997,23,0.348,8,45.8,27,0.546,11.5,8,34,0.529,18,0.12,3,"February 8, 2020",40.7,11,8.8,3,107.9,71.0,22,0.556,54,0.5,27,0.5,27,0.63,17,10,200,122.2,35.7,10,14,77,,7.9,5,0.35200000000000004,19,0.316,6,54.2,32,0.5760000000000001,10.8,8,35,0.6,21,0.6,15,"Case Gym, Boston, Massachusetts",HOLY-CROSS,Holy Cross,63.0,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,24,True,False,True,Home,True,6,21,54,32,59,8,18,57,1,0,164,500,1424,0.523876404494382,801,1542,0.519455252918288,160,448,1376,0.5,0.5833333333333334
25,2020-02-10-19-boston-university,39.3,11,12.8,5,94.0,67.7,21,0.551,59,0.475,28,0.254,15,0.9329999999999999,14,6,200,117.9,32.1,9,10,79,,16.4,11,0.305,18,0.5,9,50.8,30,0.597,13.2,10,41,0.46299999999999997,19,0.769,20,"February 10, 2020",38.5,10,14.6,6,117.9,67.9,19,0.467,60,0.433,26,0.11699999999999999,7,1.0,7,11,200,94.0,32.3,10,16,63,,7.5,5,0.35,21,0.19,4,49.2,29,0.4970000000000001,18.2,14,39,0.564,22,0.5770000000000001,15,"Case Gym, Boston, Massachusetts",BOSTON-UNIVERSITY,Boston University,67.2,Away,COLGATE,Colgate,Boston University,patriot,25,False,True,True,Home,False,4,22,60,29,59,9,19,59,0,1,170,521,1478,0.5250338294993234,833,1601,0.5202998126171143,168,466,1433,0.5010467550593162,0.6
26,2020-02-15-16-navy,54.8,17,7.3,3,88.5,79.4,27,0.627,55,0.564,31,0.218,12,0.667,8,11,200,126.2,43.5,10,20,77,,1.6,1,0.309,17,0.41200000000000003,7,64.9,37,0.634,14.2,10,38,0.632,24,0.593,16,"February 15, 2020",70.0,14,2.6,1,126.2,56.5,13,0.415,53,0.377,20,0.302,16,0.625,10,12,200,88.5,20.6,7,12,54,,6.6,4,0.226,12,0.33299999999999996,4,35.1,20,0.446,10.4,7,41,0.39,16,0.52,13,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,60.7,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot,26,False,False,False,Away,True,7,24,55,37,57,4,16,53,1,0,174,543,1538,0.5227568270481144,862,1660,0.519277108433735,177,485,1492,0.5030160857908847,0.5769230769230769
