,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-SANTA-BARBARA_homegame,CALIFORNIA-SANTA-BARBARA_homegame2,CALIFORNIA-SANTA-BARBARA_home,CALIFORNIA-SANTA-BARBARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-16-21-idaho-state,30.8,8,3.7,1,97.1,79.4,27,0.5,61,0.426,26,0.295,18,0.722,13,4,225,105.7,34.2,13,22,74,,7.1,5,0.32799999999999996,20,0.45,9,55.6,40,0.532,15.9,13,41,0.415,17,0.636,7,"December 16, 2019",33.3,8,9.8,4,105.7,65.8,25,0.5479999999999999,52,0.462,24,0.423,22,0.5,11,5,225,97.1,20.6,7,19,68,,10.0,7,0.48100000000000004,25,0.36,9,44.4,32,0.544,19.6,15,27,0.556,15,0.375,3,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,62.2,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,10,False,False,False,Away,True,9,17,61,40,72,9,15,52,1,0,64,192,552,0.5217391304347826,325,609,0.5336617405582923,67,177,542,0.5119926199261993,0.6
11,2019-12-20-22-california-santa-barbara,56.0,14,5.6,2,126.2,57.7,15,0.537,54,0.46299999999999997,25,0.222,12,0.833,10,10,200,111.5,33.3,8,21,68,,3.3,2,0.444,24,0.33299999999999996,8,46.0,23,0.57,15.7,11,30,0.5670000000000001,17,0.231,3,"December 20, 2019",72.0,18,13.3,4,111.5,66.7,16,0.569,51,0.49,25,0.47100000000000003,24,0.792,19,4,200,126.2,42.3,11,13,77,,3.3,2,0.294,15,0.5329999999999999,8,54.0,27,0.617,11.5,8,36,0.47200000000000003,17,0.667,8,"The Thunderdome, Santa Barbara, California",SOUTHERN,Southern,61.1,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,11,True,False,True,Home,True,8,17,51,27,50,8,17,54,1,0,73,209,613,0.5195758564437194,365,681,0.5359765051395007,76,192,594,0.5151515151515151,0.6363636363636364
12,2019-12-22-17-california-santa-barbara,55.6,10,2.6,1,103.0,69.2,18,0.40399999999999997,52,0.34600000000000003,18,0.212,11,0.727,8,6,200,75.8,23.3,7,17,50,,12.1,8,0.48100000000000004,25,0.24,6,44.6,25,0.4370000000000001,20.9,15,27,0.444,12,0.5,6,"December 22, 2019",84.0,21,11.1,3,75.8,76.7,23,0.54,50,0.5,25,0.38,19,0.737,14,4,200,103.0,30.8,8,15,68,,9.1,6,0.22,11,0.364,4,55.4,31,0.5760000000000001,21.5,16,39,0.5379999999999999,21,0.6920000000000001,9,"The Thunderdome, Santa Barbara, California",MERRIMACK,Merrimack,66.1,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,12,True,False,True,Home,True,4,21,50,31,56,6,12,52,1,0,81,226,664,0.5233433734939759,392,731,0.5362517099863201,84,209,648,0.5169753086419753,0.6666666666666666
13,2019-12-29-18-louisiana-lafayette,34.5,10,11.4,4,106.9,92.0,23,0.563,56,0.518,29,0.536,30,0.733,22,4,200,118.1,41.4,12,21,85,,6.9,5,0.33899999999999997,19,0.263,5,64.8,35,0.605,15.8,13,37,0.649,24,0.7140000000000001,10,"December 29, 2019",50.0,13,8.1,3,118.1,58.6,17,0.555,55,0.473,26,0.345,19,0.8420000000000001,16,8,200,106.9,8.0,2,23,77,,9.7,7,0.364,20,0.45,9,35.2,19,0.601,14.8,11,35,0.486,17,0.385,5,"Cajundome, Lafayette, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,72.1,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,13,False,False,False,Away,True,5,24,56,35,54,9,17,55,1,0,85,247,714,0.5245098039215687,423,787,0.5374841168996188,90,221,700,0.5085714285714286,0.6923076923076923
14,2020-01-02-22-california-santa-barbara,65.4,17,4.4,2,120.8,71.4,20,0.47700000000000004,64,0.406,26,0.109,7,0.7140000000000001,5,0,200,91.7,18.9,7,19,66,,6.9,5,0.375,24,0.375,9,41.5,27,0.49,14.1,11,40,0.425,17,0.0,0,"January 2, 2020",64.7,22,7.5,3,91.7,81.1,30,0.5870000000000001,63,0.54,34,0.254,16,0.813,13,4,200,120.8,28.6,8,16,87,,5.6,4,0.28600000000000003,18,0.33299999999999996,6,58.5,38,0.616,12.5,10,45,0.622,28,0.733,11,"The Thunderdome, Santa Barbara, California","Westmont
			","Westmont
			",72.0,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,14,True,False,True,Home,True,6,28,63,38,65,9,17,64,1,0,90,271,770,0.5272727272727272,458,841,0.544589774078478,99,238,755,0.5119205298013245,0.7142857142857143
15,2020-01-08-22-cal-poly,47.8,11,18.5,5,76.3,75.8,25,0.589,45,0.511,23,0.33299999999999996,15,0.667,10,4,200,106.8,18.2,4,14,63,,15.3,9,0.311,14,0.5,7,52.7,29,0.604,16.2,10,31,0.516,16,0.75,12,"January 8, 2020",53.8,7,0.0,0,106.8,81.8,18,0.337,46,0.28300000000000003,13,0.391,18,0.778,14,12,200,76.3,24.2,8,14,45,,10.2,6,0.413,19,0.263,5,47.3,26,0.41200000000000003,20.6,14,27,0.29600000000000004,8,0.2,3,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,59.3,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,15,False,False,False,Away,True,7,16,45,29,55,5,8,46,1,0,96,299,833,0.531812725090036,496,906,0.5474613686534217,108,255,819,0.5091575091575091,0.7333333333333333
16,2020-01-11-22-california-santa-barbara,52.0,13,13.8,4,82.5,64.7,22,0.54,50,0.5,25,0.06,3,0.33299999999999996,1,12,200,87.3,20.0,5,19,55,,4.8,3,0.26,13,0.308,4,45.8,27,0.535,26.0,18,37,0.568,21,0.33299999999999996,6,"January 11, 2020",75.0,12,5.4,2,87.3,80.0,20,0.39,50,0.32,16,0.38,19,0.684,13,5,200,82.5,35.3,12,15,52,,12.7,8,0.42,21,0.33299999999999996,7,54.2,32,0.44,20.4,15,29,0.31,9,0.706,12,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SANTA-BARBARA,UCSB,63.2,Away,LONG-BEACH-STATE,Long Beach State,UC Santa Barbara,big-west,16,False,True,True,Home,False,7,9,50,32,59,4,21,50,0,1,103,315,878,0.534738041002278,525,961,0.5463059313215399,113,263,865,0.5,0.75
17,2020-01-18-23-hawaii,14.3,3,3.0,1,109.4,70.4,19,0.46799999999999997,47,0.447,21,0.46799999999999997,22,0.8640000000000001,19,6,200,98.4,8.7,2,19,63,,9.4,6,0.319,15,0.133,2,42.0,21,0.5479999999999999,12.4,8,32,0.594,19,0.667,12,"January 18, 2020",65.4,17,0.0,0,98.4,91.3,21,0.557,53,0.491,26,0.358,19,0.579,11,6,200,109.4,29.6,8,19,70,,6.3,4,0.377,20,0.35,7,58.0,29,0.564,15.2,11,33,0.5760000000000001,19,0.667,12,"Stan Sheriff Center, Honolulu, Hawaii",CALIFORNIA-SANTA-BARBARA,UCSB,64.2,Home,HAWAII,Hawaii,UC Santa Barbara,big-west,17,False,False,False,Away,False,2,19,47,21,50,7,19,53,0,1,110,324,928,0.5269396551724138,557,1020,0.546078431372549,117,284,915,0.5021857923497268,0.7058823529411765
18,2020-01-22-22-california-santa-barbara,58.1,18,8.0,2,119.0,58.3,14,0.602,59,0.525,31,0.237,14,0.857,12,13,200,131.7,25.9,7,19,83,,6.3,4,0.271,16,0.563,9,41.2,21,0.632,5.8,4,43,0.512,22,0.381,8,"January 22, 2020",66.7,16,0.0,0,131.7,74.1,20,0.5479999999999999,52,0.462,24,0.40399999999999997,21,0.857,18,7,200,119.0,41.7,10,14,75,,1.6,1,0.519,27,0.33299999999999996,9,58.8,30,0.605,15.2,11,25,0.6,15,0.632,12,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SANTA-BARBARA,UCSB,62.8,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,UC Santa Barbara,big-west,18,False,True,True,Home,False,9,15,52,30,51,9,22,59,0,1,112,343,975,0.5241025641025641,578,1070,0.5401869158878505,124,303,968,0.5051652892561983,0.6666666666666666
19,2020-01-25-22-california-santa-barbara,32.0,8,2.5,1,106.6,80.8,21,0.617,47,0.532,25,0.191,9,0.556,5,9,200,103.3,13.6,3,17,63,,3.3,2,0.532,25,0.32,8,50.0,24,0.614,19.1,12,22,0.773,17,0.591,13,"January 25, 2020",50.0,14,4.5,1,103.3,86.4,19,0.575,53,0.528,28,0.151,8,0.5,4,7,200,106.6,19.2,5,13,65,,4.9,3,0.245,13,0.385,5,50.0,24,0.5720000000000001,13.7,9,40,0.575,23,0.65,13,"The Thunderdome, Santa Barbara, California",CALIFORNIA-RIVERSIDE,UC-Riverside,60.5,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,19,True,False,True,Home,True,5,23,53,24,48,8,17,47,1,0,121,358,1027,0.5253164556962026,608,1121,0.5423728813559322,133,325,1027,0.5107108081791626,0.631578947368421
20,2020-01-30-23-cal-state-northridge,33.3,7,2.6,1,114.5,87.0,20,0.5429999999999999,47,0.447,21,0.46799999999999997,22,0.727,16,8,200,97.1,21.4,6,18,67,,7.2,5,0.447,21,0.429,9,51.0,26,0.583,23.1,17,26,0.462,12,0.619,13,"January 30, 2020",45.2,14,19.2,5,97.1,78.6,22,0.648,54,0.574,31,0.204,11,0.818,9,14,200,114.5,13.0,3,20,79,,4.3,3,0.29600000000000004,16,0.5,8,49.0,25,0.667,18.1,13,38,0.605,23,0.391,9,"The Matadome, Northridge, California",CALIFORNIA-SANTA-BARBARA,UCSB,68.8,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,UC Santa Barbara,big-west,20,False,False,False,Away,False,9,12,47,26,51,8,23,54,0,1,126,381,1080,0.5277777777777778,632,1169,0.5406330196749358,141,342,1074,0.5153631284916201,0.65
21,2020-02-01-19-long-beach-state,78.6,22,0.0,0,86.1,81.8,27,0.532,62,0.452,28,0.387,24,0.875,21,8,200,120.8,31.3,10,20,87,,8.3,6,0.355,22,0.455,10,56.9,37,0.593,8.8,7,40,0.45,18,0.636,14,"February 1, 2020",42.9,9,10.0,4,120.8,68.8,22,0.397,58,0.36200000000000004,21,0.379,22,0.727,16,16,200,86.1,18.2,6,22,62,,2.8,2,0.259,15,0.267,4,43.1,28,0.45299999999999996,14.0,11,43,0.395,17,0.304,7,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,71.9,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,21,False,False,False,Away,True,10,18,62,37,65,4,17,58,1,0,135,393,1127,0.5283939662821651,658,1220,0.5393442622950819,149,365,1128,0.5217198581560284,0.6190476190476191
22,2020-02-06-22-california-santa-barbara,58.3,14,2.6,1,116.9,52.4,11,0.519,53,0.45299999999999996,24,0.28300000000000003,15,0.733,11,7,200,101.5,29.0,9,20,66,,9.2,6,0.377,20,0.35,7,38.5,20,0.5489999999999999,20.1,15,33,0.515,17,0.667,14,"February 6, 2020",48.3,14,6.1,2,101.5,71.0,22,0.5870000000000001,52,0.5579999999999999,29,0.308,16,0.938,15,8,200,116.9,47.6,10,19,76,,4.6,3,0.26899999999999996,14,0.214,3,61.5,32,0.638,20.3,15,38,0.684,26,0.652,15,"The Thunderdome, Santa Barbara, California",HAWAII,Hawaii,65.4,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,22,True,False,True,Home,True,3,26,52,32,52,7,17,53,1,0,145,411,1189,0.5285954583683767,695,1285,0.5408560311284046,153,382,1186,0.5155986509274874,0.6363636363636364
23,2020-02-08-22-california-santa-barbara,36.0,9,0.0,0,106.7,73.1,19,0.45799999999999996,59,0.424,25,0.136,8,0.875,7,10,200,101.7,45.5,15,20,61,,6.7,4,0.237,14,0.28600000000000003,4,57.6,34,0.486,16.1,12,45,0.467,21,0.6,15,"February 8, 2020",55.0,11,4.4,2,101.7,54.5,18,0.467,46,0.435,20,0.5429999999999999,25,0.84,21,8,200,106.7,26.9,7,12,64,,5.0,3,0.239,11,0.273,3,42.4,25,0.5529999999999999,14.9,10,35,0.486,17,0.667,16,"The Thunderdome, Santa Barbara, California",CALIFORNIA-IRVINE,UC-Irvine,60.3,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,23,True,False,True,Home,True,3,17,46,25,59,4,21,59,1,0,148,437,1241,0.5310233682514102,727,1337,0.543754674644727,160,399,1239,0.5157384987893463,0.6521739130434783
24,2020-02-13-22-california-davis,53.6,15,5.7,2,121.7,77.3,17,0.557,61,0.45899999999999996,28,0.262,16,0.43799999999999994,7,9,200,108.7,25.0,9,23,75,,10.1,7,0.525,32,0.375,12,44.8,26,0.547,11.7,9,29,0.552,16,0.64,16,"February 13, 2020",21.4,6,3.4,1,108.7,75.0,27,0.63,50,0.56,28,0.48,24,0.875,21,15,200,121.7,22.7,5,19,84,,8.7,6,0.3,15,0.467,7,55.2,32,0.684,16.5,12,35,0.6,21,0.423,11,"The Pavilion, Davis, California",CALIFORNIA-SANTA-BARBARA,UCSB,68.5,Home,CALIFORNIA-DAVIS,UC-Davis,UC Santa Barbara,big-west,24,False,False,False,Away,False,12,16,61,26,58,7,21,50,0,1,151,454,1287,0.5287490287490287,752,1396,0.5386819484240688,164,420,1298,0.5130970724191063,0.6666666666666666
25,2020-02-20-22-cal-state-fullerton,65.4,17,14.9,7,100.0,73.3,22,0.509,57,0.456,26,0.40399999999999997,23,0.7390000000000001,17,9,200,113.6,25.0,7,13,75,,9.1,6,0.281,16,0.375,6,50.0,29,0.552,6.9,5,41,0.488,20,0.654,17,"February 20, 2020",46.4,13,12.2,5,113.6,75.0,21,0.5,61,0.45899999999999996,28,0.131,8,0.625,5,17,200,100.0,26.7,8,20,66,,3.0,2,0.23,14,0.35700000000000004,5,50.0,29,0.509,13.4,10,47,0.489,23,0.37,10,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,66.4,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,25,False,False,False,Away,True,6,20,57,29,58,5,23,61,1,0,163,470,1348,0.5300445103857567,778,1454,0.5350756533700137,171,441,1348,0.517433234421365,0.64
