,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MIAMI-OH_homegame,MIAMI-OH_homegame2,MIAMI-OH_home,MIAMI-OH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-20-louisville,61.1,11,2.8,1,101.4,67.4,29,0.318,66,0.273,18,0.091,6,0.667,4,6,200,66.7,15.2,7,19,46,,4.3,3,0.5,33,0.182,6,40.4,36,0.33399999999999996,11.6,9,33,0.364,12,0.455,5,"December 18, 2019",44.0,11,15.2,5,66.7,84.8,39,0.46799999999999997,63,0.397,25,0.27,17,0.647,11,1,200,101.4,32.6,14,13,70,3.0,2.9,2,0.429,27,0.33299999999999996,9,59.6,53,0.4920000000000001,12.4,10,36,0.444,16,0.917,11,"KFC Yum! Center, Louisville, Kentucky",MIAMI-OH,Miami (OH),69.0,Home,LOUISVILLE,Louisville,Miami (OH),mac,10,False,False,False,Away,False,6,12,66,36,89,9,16,63,0,1,87,186,631,0.5015847860538827,341,695,0.4906474820143885,73,191,587,0.5119250425894378,0.5
11,2019-12-21-14-miami-oh,33.3,6,9.7,3,107.6,80.6,29,0.382,55,0.327,18,0.473,26,0.5,13,4,200,83.3,30.2,13,19,55,,1.5,1,0.309,17,0.353,6,53.2,42,0.408,15.3,12,38,0.316,12,0.667,8,"December 21, 2019",56.5,13,7.9,3,83.3,69.8,30,0.483,59,0.39,23,0.28800000000000003,17,0.8240000000000001,14,6,200,107.6,19.4,7,23,71,,9.1,6,0.475,28,0.39299999999999996,11,46.8,37,0.529,8.3,6,31,0.387,12,0.5,6,"Millett Hall, Oxford, Ohio",BRADLEY,Bradley,66.2,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,11,True,False,True,Home,True,11,12,59,37,79,6,12,55,1,0,93,198,697,0.4842180774748924,377,784,0.4808673469387755,82,207,650,0.5076923076923077,0.4545454545454545
12,2019-12-30-14-miami-oh,22.7,5,0.0,0,156.6,50.0,12,0.34299999999999997,70,0.314,22,0.129,9,0.444,4,0,200,68.4,26.1,12,16,52,,7.9,6,0.2,14,0.28600000000000003,4,34.3,24,0.35,14.9,13,56,0.321,18,0.0,0,"December 30, 2019",57.4,27,14.3,8,68.4,73.9,34,0.75,70,0.6709999999999999,47,0.271,19,0.737,14,6,200,156.6,50.0,12,14,119,,13.2,10,0.34299999999999997,24,0.45799999999999996,11,65.7,46,0.753,11.3,10,46,0.7829999999999999,36,0.5379999999999999,7,"Millett Hall, Oxford, Ohio","Wilberforce
			","Wilberforce
			",76.2,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,12,True,False,True,Home,True,11,36,70,46,70,4,18,70,1,0,104,210,756,0.4841269841269841,414,863,0.4797219003476246,88,219,705,0.4978723404255319,0.5
13,2020-01-04-14-central-michigan,32.3,10,8.1,3,127.4,61.3,19,0.615,61,0.508,31,0.131,8,0.875,7,7,200,112.3,31.0,9,16,82,,6.8,5,0.41,25,0.52,13,46.7,28,0.633,20.9,17,36,0.5,18,0.5,7,"January 4, 2020",31.3,10,8.3,3,112.3,69.0,20,0.598,66,0.485,32,0.28800000000000003,19,0.737,14,6,200,127.4,38.7,12,10,93,,15.1,11,0.439,29,0.517,15,53.3,32,0.62,11.9,10,37,0.45899999999999996,17,0.5710000000000001,8,"McGuirk Arena, Mt. Pleasant, Michigan",MIAMI-OH,Miami (OH),72.9,Home,CENTRAL-MICHIGAN,Central Michigan,Miami (OH),mac,13,False,False,False,Away,False,13,18,61,28,60,15,17,66,0,1,115,246,826,0.5066585956416465,460,933,0.4930332261521972,92,237,775,0.4838709677419355,0.5384615384615384
14,2020-01-07-19-bowling-green-state,37.5,9,0.0,0,108.3,67.6,25,0.414,70,0.34299999999999997,24,0.4,28,0.643,18,8,200,105.6,34.8,16,16,76,,4.2,3,0.4,28,0.35700000000000004,10,49.4,41,0.456,6.8,6,42,0.33299999999999996,14,0.467,7,"January 7, 2020",37.0,10,9.5,4,105.6,65.2,30,0.47700000000000004,64,0.42200000000000004,27,0.297,19,0.895,17,5,200,108.3,32.4,12,21,78,,4.2,3,0.359,23,0.304,7,50.6,42,0.534,11.1,9,41,0.488,20,0.667,10,"Stroh Center, Bowling Green, Ohio",MIAMI-OH,Miami (OH),71.7,Home,BOWLING-GREEN-STATE,Bowling Green State,Miami (OH),mac,14,False,False,False,Away,False,10,14,70,41,83,7,20,64,0,1,128,264,887,0.5140924464487034,488,993,0.4914400805639476,107,254,841,0.4928656361474435,0.5
15,2020-01-10-19-miami-oh,50.0,15,14.3,6,98.7,78.9,30,0.531,64,0.469,30,0.375,24,0.625,15,6,200,105.1,21.1,8,24,83,,10.1,8,0.281,18,0.444,8,50.0,38,0.55,12.9,11,46,0.478,22,0.625,10,"January 10, 2020",44.4,12,6.5,3,105.1,78.9,30,0.47700000000000004,64,0.42200000000000004,27,0.391,25,0.68,17,9,200,98.7,21.1,8,22,78,,6.3,5,0.344,22,0.318,7,50.0,38,0.514,13.8,12,42,0.47600000000000003,20,0.43799999999999994,7,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),79.1,Away,BUFFALO,Buffalo,Miami (OH),mac,15,False,True,True,Home,False,7,20,64,38,76,8,22,64,0,1,138,278,957,0.5067920585161965,529,1076,0.491635687732342,114,274,905,0.4917127071823205,0.4666666666666667
16,2020-01-14-19-miami-oh,57.7,15,10.7,3,106.9,81.5,22,0.6,55,0.473,26,0.273,15,0.5329999999999999,8,4,200,102.8,17.2,5,26,74,,6.9,5,0.545,30,0.467,14,48.2,27,0.596,21.6,17,25,0.48,12,0.765,13,"January 14, 2020",47.8,11,8.0,2,102.8,82.8,24,0.5870000000000001,46,0.5,23,0.7609999999999999,35,0.657,23,9,200,106.9,18.5,5,18,77,,6.9,5,0.391,18,0.444,8,51.8,29,0.615,16.3,12,28,0.536,15,0.47100000000000003,8,"Millett Hall, Oxford, Ohio",KENT-STATE,Kent State,71.9,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,16,True,False,True,Home,True,8,15,46,29,56,14,12,55,1,0,145,298,1021,0.5048971596474046,567,1152,0.4921875,122,296,969,0.4943240454076368,0.4375
17,2020-01-18-13-ball-state,45.8,11,4.8,1,110.9,76.9,20,0.578,51,0.47100000000000003,24,0.078,4,0.75,3,10,200,96.9,8.0,2,21,62,,6.3,4,0.373,19,0.579,11,43.1,22,0.586,19.8,13,32,0.406,13,0.444,8,"January 18, 2020",72.7,16,15.6,5,96.9,92.0,23,0.55,50,0.44,22,0.44,22,0.727,16,7,200,110.9,23.1,6,9,71,,9.4,6,0.58,29,0.379,11,56.9,29,0.5870000000000001,14.4,10,21,0.524,11,0.611,11,"Worthen Arena, Muncie, Indiana",MIAMI-OH,Miami (OH),64.2,Home,BALL-STATE,Ball State,Miami (OH),mac,17,False,False,False,Away,False,11,13,51,22,51,11,11,50,0,1,153,313,1067,0.5084348641049672,596,1208,0.4933774834437086,136,308,1024,0.5,0.4705882352941176
18,2020-01-21-19-miami-oh,53.3,16,8.3,3,88.2,82.8,24,0.649,57,0.526,30,0.175,10,0.7,7,4,200,119.1,29.2,7,18,81,,7.4,5,0.42100000000000004,24,0.583,14,58.5,31,0.6559999999999999,17.5,13,33,0.485,16,0.789,15,"January 21, 2020",47.6,10,6.1,2,119.1,70.8,17,0.47100000000000003,52,0.40399999999999997,21,0.28800000000000003,15,0.733,11,11,200,88.2,17.2,5,15,60,,5.9,4,0.308,16,0.43799999999999994,7,41.5,22,0.507,19.3,14,36,0.389,14,0.42100000000000004,8,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),67.9,Away,AKRON,Akron,Miami (OH),mac,18,False,True,True,Home,False,7,14,52,22,53,14,16,57,0,1,164,326,1118,0.5116279069767442,618,1259,0.4908657664813344,147,319,1074,0.5023277467411545,0.4444444444444444
19,2020-01-25-14-miami-oh,47.6,10,21.9,7,112.3,73.1,19,0.522,46,0.457,21,0.565,26,0.769,20,10,200,104.6,25.9,7,14,68,,10.8,7,0.457,21,0.28600000000000003,6,49.1,26,0.583,19.6,14,25,0.6,15,0.5,10,"January 25, 2020",67.9,19,8.0,2,104.6,74.1,20,0.56,58,0.483,28,0.138,8,1.0,8,11,200,112.3,26.9,7,16,73,,12.3,8,0.44799999999999995,26,0.34600000000000003,9,50.9,27,0.591,14.0,10,32,0.594,19,0.45,9,"Millett Hall, Oxford, Ohio",EASTERN-MICHIGAN,Eastern Michigan,65.1,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,19,True,False,True,Home,True,9,19,58,27,53,6,15,46,1,0,171,340,1170,0.5098290598290598,640,1312,0.4878048780487805,161,335,1131,0.5097259062776304,0.42105263157894735
20,2020-02-01-16-northern-illinois,45.0,9,2.9,1,102.9,71.0,22,0.405,58,0.345,20,0.207,12,0.667,8,12,200,80.9,21.6,8,19,55,,4.4,3,0.44799999999999995,26,0.26899999999999996,7,44.1,30,0.4320000000000001,14.8,11,32,0.406,13,0.429,9,"February 1, 2020",48.0,12,6.3,2,80.9,78.4,29,0.528,54,0.46299999999999997,25,0.33299999999999996,18,0.722,13,9,200,102.9,29.0,9,17,70,,5.9,4,0.37,20,0.35,7,55.9,38,0.56,19.5,15,34,0.529,18,0.591,13,"Convocation Center, DeKalb, Illinois",MIAMI-OH,Miami (OH),67.6,Home,NORTHERN-ILLINOIS,Northern Illinois,Miami (OH),mac,20,False,False,False,Away,False,7,13,58,30,68,7,18,54,0,1,180,359,1228,0.5122149837133549,667,1365,0.4886446886446886,167,350,1177,0.510195412064571,0.45
21,2020-02-04-19-miami-oh,31.6,6,5.4,2,89.6,75.0,30,0.512,41,0.46299999999999997,19,0.732,30,0.733,22,12,200,95.5,16.0,4,22,64,,3.0,2,0.293,12,0.33299999999999996,4,52.3,34,0.579,22.8,16,29,0.517,15,0.455,10,"February 4, 2020",50.0,11,10.3,3,95.5,84.0,21,0.426,61,0.361,22,0.311,19,0.42100000000000004,8,13,200,89.6,25.0,10,21,60,,9.0,6,0.39299999999999996,24,0.33299999999999996,8,47.7,31,0.428,9.2,7,37,0.37799999999999995,14,0.409,9,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),67.1,Away,WESTERN-MICHIGAN,Western Michigan,Miami (OH),mac,21,False,True,True,Home,False,8,14,61,31,65,4,15,41,0,1,187,372,1286,0.5073872472783826,697,1433,0.4863921842288905,174,368,1231,0.5109666937449229,0.42857142857142855
22,2020-02-08-15-ohio,33.3,5,3.4,1,106.9,82.1,23,0.298,57,0.263,15,0.281,16,0.75,12,14,200,63.9,20.0,8,19,46,,9.7,7,0.35100000000000003,20,0.2,4,45.6,31,0.35600000000000004,20.0,16,37,0.297,11,0.391,9,"February 8, 2020",65.4,17,10.8,4,63.9,80.0,32,0.574,54,0.48100000000000004,26,0.29600000000000004,16,0.938,15,12,200,106.9,17.9,5,14,77,,9.7,7,0.46299999999999997,25,0.4,10,54.4,37,0.625,19.7,15,29,0.552,16,0.478,11,"Convocation Center, Athens, Ohio",MIAMI-OH,Miami (OH),72.1,Home,OHIO,Ohio,Miami (OH),mac,22,False,False,False,Away,False,4,11,57,31,68,10,16,54,0,1,195,386,1347,0.5037119524870082,728,1498,0.485981308411215,178,383,1272,0.5110062893081762,0.4090909090909091
23,2020-02-11-19-toledo,38.1,8,0.0,0,103.2,65.6,21,0.44,58,0.36200000000000004,21,0.276,16,0.375,6,15,200,90.5,20.9,9,25,57,,9.5,6,0.534,31,0.29,9,40.0,30,0.434,9.7,7,27,0.444,12,0.375,9,"February 11, 2020",59.1,13,7.4,2,90.5,79.1,34,0.5,50,0.44,22,0.5,25,0.6,15,13,200,103.2,34.4,11,18,65,,4.8,3,0.42,21,0.28600000000000003,6,60.0,45,0.525,16.4,12,29,0.552,16,0.48,12,"John F. Savage Hall, Toledo, Ohio",MIAMI-OH,Miami (OH),63.2,Home,TOLEDO,Toledo,Miami (OH),mac,23,False,False,False,Away,False,9,12,58,30,75,6,16,50,0,1,199,397,1404,0.4953703703703704,759,1566,0.4846743295019157,188,399,1326,0.5135746606334841,0.39130434782608703
24,2020-02-15-15-miami-oh,23.8,5,13.3,4,104.8,86.2,25,0.44299999999999995,53,0.396,21,0.358,19,0.684,13,11,200,96.8,29.4,10,16,60,,6.5,4,0.302,16,0.313,5,55.6,35,0.484,12.8,9,37,0.4320000000000001,16,0.5770000000000001,15,"February 15, 2020",43.5,10,5.4,2,96.8,70.6,24,0.51,50,0.46,23,0.4,20,0.7,14,15,200,104.8,13.8,4,16,65,,6.5,4,0.4,20,0.25,5,44.4,28,0.546,10.6,7,30,0.6,18,0.4,10,"Millett Hall, Oxford, Ohio",NORTHERN-ILLINOIS,Northern Illinois,61.8,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,24,True,False,True,Home,True,5,18,50,28,63,5,16,53,1,0,208,409,1462,0.4931600547195623,789,1641,0.4808043875685558,194,415,1376,0.5130813953488372,0.375
25,2020-02-22-16-akron,40.0,10,4.0,1,111.9,78.1,25,0.413,69,0.36200000000000004,25,0.203,14,0.5710000000000001,8,16,200,97.0,27.3,12,20,65,,3.0,2,0.391,27,0.259,7,48.7,37,0.43,6.2,5,42,0.429,18,0.385,10,"February 22, 2020",65.2,15,16.7,7,97.0,72.7,32,0.519,53,0.434,23,0.528,28,0.7140000000000001,20,6,200,111.9,21.9,7,17,75,,1.5,1,0.528,28,0.321,9,51.3,39,0.5660000000000001,8.4,6,25,0.56,14,0.778,21,"James A. Rhodes Arena, Akron, Ohio",MIAMI-OH,Miami (OH),67.0,Home,AKRON,Akron,Miami (OH),mac,25,False,False,False,Away,False,7,18,69,37,76,9,14,53,0,1,213,427,1512,0.4937169312169312,817,1704,0.4794600938967136,199,431,1429,0.5104968509447166,0.4
26,2020-02-25-19-kent-state,60.9,14,2.9,1,112.1,64.7,11,0.5820000000000001,49,0.469,23,0.14300000000000002,7,0.5710000000000001,4,17,200,92.4,16.7,4,11,61,,9.1,6,0.51,25,0.44,11,36.6,15,0.583,23.5,16,24,0.5,12,0.37,10,"February 25, 2020",54.8,17,12.5,3,92.4,83.3,20,0.63,54,0.574,31,0.14800000000000002,8,0.75,6,10,200,112.1,35.3,6,15,74,,12.1,8,0.37,20,0.3,6,63.4,26,0.64,20.7,15,34,0.735,25,0.643,18,"Memorial Athletic & Convocation Center, Kent, Ohio",MIAMI-OH,Miami (OH),65.6,Home,KENT-STATE,Kent State,Miami (OH),mac,26,False,False,False,Away,False,11,12,49,15,41,6,25,54,0,1,220,445,1581,0.4901960784313725,854,1780,0.4797752808988764,208,445,1482,0.5107962213225371,0.38461538461538464
