,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-STATE_homegame,FLORIDA-STATE_homegame2,FLORIDA-STATE_home,FLORIDA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-20-florida-state,61.5,16,3.8,2,128.9,60.0,18,0.58,56,0.46399999999999997,26,0.33899999999999997,19,0.8420000000000001,16,6,200,106.6,23.3,7,14,81,,5.3,4,0.607,34,0.382,13,41.7,25,0.623,19.9,16,22,0.591,13,0.5379999999999999,7,"December 17, 2019",48.8,20,18.2,4,106.6,76.7,23,0.611,72,0.569,41,0.19399999999999998,14,0.7140000000000001,10,2,200,128.9,40.0,12,13,98,19.0,14.5,11,0.264,19,0.316,6,58.3,35,0.623,12.3,11,53,0.66,35,0.818,9,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-FLORIDA,North Florida,75.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,10,True,False,True,Home,True,6,35,72,35,60,13,13,56,1,0,72,185,565,0.5185840707964602,326,620,0.5258064516129032,65,133,528,0.4365530303030303,0.8
11,2019-12-21-12-south-florida,72.7,16,24.4,10,82.2,73.9,17,0.46399999999999997,55,0.4,22,0.345,19,0.789,15,2,200,90.4,27.6,8,17,66,19.0,17.8,13,0.491,27,0.259,7,48.1,25,0.515,17.0,13,28,0.536,15,0.833,10,"December 21, 2019",20.8,5,3.6,1,90.4,72.4,21,0.455,56,0.429,24,0.268,15,0.6,9,6,200,82.2,26.1,6,17,60,,11.0,8,0.268,15,0.2,3,51.9,27,0.475,24.2,20,41,0.512,21,0.5,6,"BB&T Center, Sunrise, Florida",SOUTH-FLORIDA,South Florida,73.1,Away,FLORIDA-STATE,Florida State,Florida State,acc,11,False,False,False,Away,True,7,15,55,25,52,3,21,56,1,0,78,220,637,0.5290423861852434,361,680,0.5308823529411765,78,146,584,0.4503424657534247,0.8181818181818182
12,2019-12-28-14-florida-state,41.7,10,7.0,3,118.9,71.4,20,0.5579999999999999,52,0.462,24,0.34600000000000003,18,0.722,13,8,200,95.9,23.1,6,17,71,,5.4,4,0.385,20,0.5,10,48.1,26,0.586,23.1,18,32,0.43799999999999994,14,0.385,5,"December 28, 2019",53.1,17,18.8,6,95.9,76.9,20,0.555,64,0.5,32,0.266,17,1.0,17,2,200,118.9,28.6,8,15,88,17.0,12.2,9,0.32799999999999996,21,0.33299999999999996,7,51.9,28,0.61,14.4,12,43,0.581,25,0.846,11,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-ALABAMA,North Alabama,74.3,Home,FLORIDA-STATE,Florida State,Florida State,acc,12,True,False,True,Home,True,7,25,64,28,54,10,14,52,1,0,85,235,692,0.5238439306358381,386,732,0.5273224043715847,81,167,640,0.45078125,0.8333333333333334
13,2019-12-31-12-florida-state,68.2,15,6.5,3,95.9,69.0,20,0.473,55,0.4,22,0.145,8,0.75,6,7,200,79.5,15.4,4,11,58,,9.6,7,0.4,22,0.364,8,43.6,24,0.493,25.5,20,33,0.424,14,0.462,6,"December 31, 2019",55.2,16,27.3,9,79.5,84.6,22,0.508,63,0.46,29,0.14300000000000002,9,0.667,6,2,200,95.9,31.0,9,12,70,18.0,15.1,11,0.27,17,0.353,6,56.4,31,0.52,15.2,12,46,0.5,23,0.857,12,"Donald L. Tucker Center, Tallahassee, Florida",GEORGIA-TECH,Georgia Tech,72.5,Home,FLORIDA-STATE,Florida State,Florida State,acc,13,True,False,True,Home,True,6,23,63,31,55,8,14,55,1,0,92,260,756,0.5264550264550265,414,786,0.5267175572519084,91,181,692,0.4588150289017341,0.8461538461538461
14,2020-01-04-14-louisville,46.9,15,14.0,6,97.0,57.9,22,0.647,58,0.552,32,0.086,5,0.6,3,2,200,116.4,34.6,9,15,78,18.0,9.0,6,0.397,23,0.478,11,48.4,31,0.6459999999999999,17.8,13,35,0.6,21,0.867,13,"January 4, 2020",50.0,12,14.3,5,116.4,65.4,17,0.452,62,0.387,24,0.226,14,0.643,9,3,200,97.0,42.1,16,13,65,7.0,7.5,5,0.306,19,0.42100000000000004,8,51.6,33,0.473,19.0,16,43,0.3720000000000001,16,0.7859999999999999,11,"KFC Yum! Center, Louisville, Kentucky",LOUISVILLE,Louisville,66.5,Away,FLORIDA-STATE,Florida State,Florida State,acc,14,False,False,False,Away,True,11,21,58,31,64,8,16,62,1,0,98,283,819,0.525030525030525,445,841,0.5291319857312723,99,195,747,0.4598393574297189,0.8571428571428571
15,2020-01-08-19-wake-forest,37.0,10,16.7,5,94.4,73.1,19,0.484,62,0.435,27,0.387,24,0.75,18,2,200,108.3,33.3,11,22,78,10.0,13.9,10,0.371,23,0.261,6,50.8,30,0.531,12.1,10,39,0.5379999999999999,21,0.875,14,"January 8, 2020",36.8,7,5.1,2,108.3,66.7,22,0.45799999999999996,48,0.396,19,0.667,32,0.75,24,6,200,94.4,26.9,7,22,68,,1.4,1,0.375,18,0.33299999999999996,6,49.2,29,0.5379999999999999,20.5,16,30,0.433,13,0.5710000000000001,8,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,72.3,Away,FLORIDA-STATE,Florida State,Florida State,acc,15,False,False,False,Away,True,6,21,62,30,59,6,13,48,1,0,109,304,877,0.5330672748004561,476,905,0.5259668508287293,107,211,809,0.4592088998763906,0.8666666666666667
16,2020-01-15-19-florida-state,47.6,10,6.3,2,84.4,66.7,20,0.489,46,0.457,21,0.174,8,0.625,5,5,200,78.1,14.3,3,12,50,,9.4,6,0.326,15,0.2,3,45.1,23,0.502,26.7,18,31,0.581,18,0.688,11,"January 15, 2020",55.0,11,16.1,5,78.1,85.7,18,0.444,54,0.37,20,0.14800000000000002,8,0.75,6,2,200,84.4,33.3,10,10,54,9.0,15.6,10,0.40700000000000003,22,0.364,8,54.9,28,0.467,21.8,16,32,0.375,12,0.882,15,"Donald L. Tucker Center, Tallahassee, Florida",VIRGINIA,Virginia,64.3,Home,FLORIDA-STATE,Florida State,Florida State,acc,16,True,False,True,Home,True,8,12,54,28,51,3,18,46,1,0,115,325,939,0.5298189563365282,506,964,0.524896265560166,113,224,857,0.4591598599766628,0.875
17,2020-01-18-13-miami-fl,72.4,21,26.3,10,96.3,70.0,21,0.493,69,0.42,29,0.261,18,0.833,15,2,225,101.2,31.3,10,20,83,9.0,18.3,15,0.406,28,0.35700000000000004,10,50.0,31,0.535,16.3,15,41,0.46299999999999997,19,0.889,16,"January 18, 2020",44.8,13,9.8,4,101.2,68.8,22,0.556,62,0.46799999999999997,29,0.27399999999999997,17,0.588,10,7,225,96.3,30.0,9,18,79,,8.5,7,0.387,24,0.45799999999999996,11,50.0,31,0.564,23.2,21,38,0.474,18,0.588,10,"BankUnited Center, Coral Gables, Florida",MIAMI-FL,Miami (FL),73.2,Away,FLORIDA-STATE,Florida State,Florida State,acc,17,False,False,False,Away,True,10,19,69,31,62,11,18,62,1,0,123,337,993,0.5251762336354482,534,1015,0.5261083743842364,116,242,903,0.460686600221484,0.8823529411764706
18,2020-01-25-20-florida-state,46.2,12,4.3,2,109.0,63.6,21,0.525,59,0.441,26,0.45799999999999996,27,0.815,22,8,200,107.7,30.0,9,14,84,,10.3,8,0.45799999999999996,27,0.37,10,47.6,30,0.585,17.5,15,32,0.5,16,0.579,11,"January 25, 2020",50.0,15,6.3,2,107.7,70.0,21,0.5539999999999999,65,0.462,30,0.215,14,0.929,13,2,200,109.0,36.4,12,21,85,5.0,11.5,9,0.27699999999999997,18,0.667,12,52.4,33,0.593,20.2,18,47,0.38299999999999995,18,0.895,17,"Donald L. Tucker Center, Tallahassee, Florida",NOTRE-DAME,Notre Dame,77.7,Home,FLORIDA-STATE,Florida State,Florida State,acc,18,True,False,True,Home,True,12,18,65,33,63,10,16,59,1,0,133,356,1062,0.5230696798493408,565,1077,0.5246053853296193,127,260,965,0.46683937823834204,0.8888888888888888
19,2020-01-28-19-virginia,42.9,9,17.2,5,96.8,81.0,17,0.45399999999999996,54,0.389,21,0.204,11,0.636,7,3,200,88.9,14.7,5,20,56,5.0,14.3,9,0.37,20,0.35,7,40.0,22,0.473,10.6,7,34,0.41200000000000003,14,0.85,17,"January 28, 2020",61.1,11,11.8,4,88.9,85.3,29,0.5,41,0.439,18,0.561,23,0.87,20,6,200,96.8,19.0,4,15,61,,1.6,1,0.293,12,0.41700000000000004,5,60.0,33,0.5870000000000001,23.8,16,29,0.44799999999999995,13,0.7,14,"John Paul Jones Arena, Charlottesville, Virginia",FLORIDA-STATE,Florida State,62.6,Home,VIRGINIA,Virginia,Florida State,acc,19,False,False,False,Away,False,7,14,54,22,55,5,13,41,0,1,145,374,1127,0.5248447204968945,598,1140,0.5245614035087719,137,276,1024,0.47021484375,0.8947368421052632
20,2020-02-01-16-virginia-tech,57.1,16,17.9,5,94.0,85.2,23,0.579,57,0.491,28,0.193,11,0.727,8,3,200,110.4,15.4,4,8,74,5.0,6.0,4,0.386,22,0.455,10,50.9,27,0.595,11.5,8,35,0.514,18,0.857,18,"February 1, 2020",48.0,12,5.7,2,110.4,84.6,22,0.491,58,0.431,25,0.10300000000000001,6,1.0,6,8,200,94.0,14.8,4,12,63,,6.0,4,0.517,30,0.233,7,49.1,26,0.518,14.2,10,28,0.643,18,0.636,14,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,66.5,Away,FLORIDA-STATE,Florida State,Florida State,acc,20,False,False,False,Away,True,10,18,57,27,53,7,18,58,1,0,152,388,1181,0.5215918712955123,620,1195,0.5188284518828452,142,289,1065,0.4713615023474178,0.85
21,2020-02-03-19-florida-state,47.6,10,5.0,2,90.3,69.0,20,0.353,68,0.309,21,0.25,17,0.647,11,12,200,81.9,26.1,12,18,59,,9.7,7,0.27899999999999997,19,0.316,6,42.7,32,0.38799999999999996,10.7,9,49,0.306,15,0.455,10,"February 3, 2020",39.1,9,20.4,10,81.9,73.9,34,0.455,55,0.418,23,0.309,17,0.882,15,3,200,90.3,31.0,9,19,65,8.0,4.2,3,0.273,15,0.267,4,57.3,43,0.515,20.4,16,40,0.475,19,0.8640000000000001,19,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-CAROLINA,UNC,71.6,Home,FLORIDA-STATE,Florida State,Florida State,acc,21,True,False,True,Home,True,4,19,55,43,75,6,15,68,1,0,162,406,1238,0.524232633279483,647,1248,0.5184294871794872,149,307,1123,0.4723953695458593,0.8571428571428571
22,2020-02-08-12-florida-state,30.8,8,2.5,1,125.3,44.8,13,0.469,64,0.406,26,0.391,25,0.84,21,12,200,102.5,21.1,8,17,81,,7.6,6,0.375,24,0.33299999999999996,8,31.3,21,0.534,14.8,13,40,0.45,18,0.478,11,"February 8, 2020",51.4,18,10.0,4,102.5,78.9,30,0.629,66,0.53,35,0.258,17,0.941,16,3,200,125.3,55.2,16,20,99,8.0,6.3,5,0.39399999999999996,26,0.5,13,68.7,46,0.6679999999999999,20.5,19,40,0.55,22,0.87,20,"Donald L. Tucker Center, Tallahassee, Florida",MIAMI-FL,Miami (FL),79.0,Home,FLORIDA-STATE,Florida State,Florida State,acc,22,True,False,True,Home,True,13,22,66,46,67,8,18,64,1,0,166,425,1293,0.5212683681361175,690,1323,0.5215419501133787,155,322,1191,0.4655751469353485,0.8636363636363636
23,2020-02-10-19-duke,28.0,7,20.6,7,95.9,65.4,17,0.402,66,0.379,25,0.303,20,0.6,12,4,200,89.0,35.7,15,18,65,8.0,21.9,16,0.273,18,0.16699999999999998,3,47.1,32,0.43,13.8,12,48,0.45799999999999996,22,0.833,20,"February 10, 2020",56.5,13,10.4,5,89.0,64.3,27,0.52,51,0.451,23,0.431,22,0.773,17,3,200,95.9,34.6,9,17,70,7.0,8.2,6,0.33299999999999996,17,0.41200000000000003,7,52.9,36,0.57,25.7,21,34,0.47100000000000003,16,0.875,21,"Cameron Indoor Stadium, Durham, North Carolina",FLORIDA-STATE,Florida State,73.0,Home,DUKE,Duke,Florida State,acc,23,False,False,False,Away,False,3,22,66,32,68,7,16,51,0,1,179,447,1359,0.5264900662251656,736,1390,0.5294964028776978,163,340,1255,0.4657370517928287,0.8695652173913043
24,2020-02-15-12-florida-state,39.3,11,17.5,7,109.6,50.0,18,0.5,63,0.444,28,0.28600000000000003,18,0.778,14,11,200,105.5,27.3,9,20,77,,6.8,5,0.397,25,0.28,7,39.1,27,0.5379999999999999,13.4,11,38,0.5529999999999999,21,0.56,14,"February 15, 2020",60.7,17,7.9,3,105.5,72.7,24,0.515,65,0.431,28,0.262,17,0.765,13,4,200,109.6,50.0,18,22,80,8.0,9.6,7,0.385,25,0.44,11,60.9,42,0.547,19.0,17,40,0.425,17,0.84,21,"Donald L. Tucker Center, Tallahassee, Florida",SYRACUSE,Syracuse,72.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,24,True,False,True,Home,True,11,17,65,42,69,7,21,63,1,0,182,469,1425,0.5207017543859649,768,1458,0.5267489711934157,170,356,1306,0.4678407350689127,0.8333333333333334
25,2020-02-18-20-florida-state,61.9,13,2.4,1,113.9,50.0,14,0.41100000000000003,56,0.375,21,0.46399999999999997,26,0.8079999999999999,21,12,200,93.1,30.3,10,13,67,,18.1,13,0.39299999999999996,22,0.182,4,39.3,24,0.49,17.2,14,34,0.5,17,0.556,15,"February 18, 2020",62.5,20,17.6,6,93.1,69.7,23,0.57,64,0.5,32,0.188,12,0.75,9,4,200,113.9,50.0,14,21,82,8.0,8.3,6,0.344,22,0.409,9,60.7,37,0.588,18.8,16,42,0.5479999999999999,23,0.846,22,"Donald L. Tucker Center, Tallahassee, Florida",PITTSBURGH,Pitt,72.0,Home,FLORIDA-STATE,Florida State,Florida State,acc,25,True,False,True,Home,True,9,23,64,37,61,4,17,56,1,0,193,486,1490,0.5204697986577181,810,1527,0.5304518664047151,177,377,1369,0.4693206720233747,0.84
26,2020-02-22-16-north-carolina-state,36.4,8,10.8,4,98.4,71.9,23,0.45399999999999996,54,0.40700000000000003,22,0.537,29,0.621,18,4,200,108.1,41.7,15,15,67,8.0,9.7,6,0.35200000000000004,19,0.263,5,55.9,38,0.494,10.7,8,35,0.486,17,0.852,23,"February 22, 2020",39.1,9,11.4,4,108.1,58.3,21,0.46399999999999997,56,0.41100000000000003,23,0.23199999999999998,13,0.6920000000000001,9,10,200,98.4,28.1,9,20,61,,8.1,5,0.33899999999999997,19,0.316,6,44.1,30,0.491,13.9,10,37,0.45899999999999996,17,0.63,17,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,62.0,Away,FLORIDA-STATE,Florida State,Florida State,acc,26,False,False,False,Away,True,5,17,54,38,68,6,17,56,1,0,202,509,1554,0.5225225225225225,847,1588,0.533375314861461,181,394,1425,0.4670175438596491,0.8461538461538461
