,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOWLING-GREEN-STATE_homegame,BOWLING-GREEN-STATE_homegame2,BOWLING-GREEN-STATE_home,BOWLING-GREEN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
14,2020-01-07-19-bowling-green-state,37.5,9,0.0,0,108.3,67.6,25,0.414,70,0.34299999999999997,24,0.4,28,0.643,18,8,200,105.6,34.8,16,16,76,,4.2,3,0.4,28,0.35700000000000004,10,49.4,41,0.456,6.8,6,42,0.33299999999999996,14,0.467,7,"January 7, 2020",37.0,10,9.5,4,105.6,65.2,30,0.47700000000000004,64,0.42200000000000004,27,0.297,19,0.895,17,5,200,108.3,32.4,12,21,78,,4.2,3,0.359,23,0.304,7,50.6,42,0.534,11.1,9,41,0.488,20,0.667,10,"Stroh Center, Bowling Green, Ohio",MIAMI-OH,Miami (OH),71.7,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,14,True,False,True,Home,True,7,20,64,42,83,10,14,70,1,0,108,274,912,0.4780701754385965,527,1029,0.5121477162293488,118,225,839,0.4791418355184744,0.6428571428571429
15,2020-01-11-13-ohio,37.5,12,9.4,3,110.4,71.4,20,0.547,64,0.5,32,0.32799999999999996,21,0.619,13,5,200,123.9,43.3,13,16,83,,6.0,4,0.281,18,0.33299999999999996,6,56.9,33,0.561,8.7,7,46,0.565,26,0.688,11,"January 11, 2020",34.6,9,8.7,4,123.9,56.7,17,0.5539999999999999,56,0.46399999999999997,26,0.28600000000000003,16,0.75,12,7,200,110.4,28.6,8,16,74,,6.0,4,0.429,24,0.41700000000000004,10,43.1,25,0.5820000000000001,13.7,10,32,0.5,16,0.562,9,"Convocation Center, Athens, Ohio",OHIO,Ohio,66.8,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,15,False,False,False,Away,True,6,26,64,33,58,10,16,56,1,0,115,294,976,0.4779713114754098,569,1112,0.5116906474820144,128,239,909,0.4741474147414742,0.6666666666666666
16,2020-01-14-19-western-michigan,41.2,14,2.3,1,110.8,80.6,25,0.597,67,0.507,34,0.10400000000000001,7,0.7140000000000001,5,5,200,114.9,26.5,9,17,85,,8.1,6,0.418,28,0.429,12,52.3,34,0.604,12.5,10,39,0.564,22,0.706,12,"January 14, 2020",38.7,12,5.1,2,114.9,73.5,25,0.54,63,0.4920000000000001,31,0.302,19,0.737,14,9,200,110.8,19.4,6,14,82,,6.8,5,0.302,19,0.316,6,47.7,31,0.569,13.4,11,44,0.568,25,0.47100000000000003,8,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,74.2,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,16,False,False,False,Away,True,12,22,67,34,65,6,25,63,1,0,121,320,1040,0.4822115384615385,602,1170,0.5145299145299145,138,255,965,0.4787564766839378,0.6875
17,2020-01-18-16-bowling-green-state,30.4,7,0.0,0,100.0,62.2,23,0.456,57,0.40399999999999997,23,0.24600000000000002,14,0.857,12,9,200,97.0,21.2,7,20,64,,12.1,8,0.35100000000000003,20,0.3,6,42.9,30,0.503,13.7,10,37,0.45899999999999996,17,0.5,9,"January 18, 2020",36.8,7,2.7,1,97.0,78.8,26,0.38799999999999996,58,0.32799999999999996,19,0.414,24,0.875,21,5,200,100.0,37.8,14,12,66,,4.5,3,0.431,25,0.28,7,57.1,40,0.47600000000000003,12.7,10,33,0.364,12,0.722,13,"Stroh Center, Bowling Green, Ohio",NORTHERN-ILLINOIS,Northern Illinois,66.0,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,17,True,False,True,Home,True,7,12,58,40,70,6,17,57,1,0,133,342,1107,0.489159891598916,636,1235,0.5149797570850202,144,280,1028,0.4824902723735409,0.7058823529411765
18,2020-01-21-19-bowling-green-state,13.6,3,11.4,4,83.8,82.1,32,0.469,49,0.449,22,0.408,20,0.65,13,9,200,79.7,13.8,4,15,59,,12.2,9,0.327,16,0.125,2,52.9,36,0.504,24.7,19,33,0.606,20,0.526,10,"January 21, 2020",52.2,12,9.1,3,79.7,86.2,25,0.429,63,0.365,23,0.20600000000000002,13,0.615,8,5,200,83.8,17.9,7,17,62,,10.8,8,0.444,28,0.28600000000000003,8,47.1,32,0.44799999999999995,14.9,12,35,0.429,15,0.737,14,"Stroh Center, Bowling Green, Ohio",EASTERN-MICHIGAN,Eastern Michigan,73.8,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,18,True,False,True,Home,True,8,15,63,32,68,2,20,49,1,0,140,354,1165,0.4841201716738198,676,1305,0.5180076628352489,150,297,1085,0.4811059907834102,0.7222222222222222
19,2020-01-25-19-toledo,50.0,14,3.0,1,111.3,81.8,27,0.568,59,0.475,28,0.441,26,0.6920000000000001,18,5,200,119.7,24.2,8,19,85,,2.8,2,0.35600000000000004,21,0.524,11,53.0,35,0.596,10.2,8,38,0.447,17,0.75,15,"January 25, 2020",52.0,13,7.9,3,119.7,75.8,25,0.4920000000000001,61,0.41,25,0.377,23,0.826,19,9,200,111.3,18.2,6,17,79,,2.8,2,0.45899999999999996,28,0.35700000000000004,10,47.0,31,0.5489999999999999,5.3,4,33,0.455,15,0.55,11,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,70.6,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,19,False,False,False,Away,True,11,17,59,35,66,10,15,61,1,0,148,369,1228,0.4812703583061889,708,1373,0.515659140568099,152,317,1134,0.4805996472663139,0.7368421052631579
20,2020-01-28-19-bowling-green-state,34.8,8,10.5,4,93.1,79.4,27,0.386,66,0.348,23,0.303,20,0.5,10,9,200,84.7,22.2,10,19,61,,5.6,4,0.409,27,0.185,5,46.8,37,0.40399999999999997,8.6,7,39,0.462,18,0.55,11,"January 28, 2020",54.5,12,7.7,3,84.7,77.8,35,0.433,60,0.3670000000000001,22,0.317,19,0.789,15,5,200,93.1,20.6,7,15,67,,9.7,7,0.3670000000000001,22,0.364,8,53.2,42,0.485,12.8,10,38,0.368,14,0.762,16,"Stroh Center, Bowling Green, Ohio",BALL-STATE,Ball State,72.3,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,20,True,False,True,Home,True,8,14,60,42,79,5,18,66,1,0,159,386,1287,0.4852369852369852,743,1439,0.5163307852675469,162,332,1195,0.4811715481171548,0.75
21,2020-01-31-19-buffalo,30.0,9,6.5,4,100.0,55.3,26,0.47100000000000003,69,0.435,30,0.24600000000000002,17,0.765,13,5,200,101.3,30.0,12,17,78,,10.4,8,0.24600000000000002,17,0.294,5,43.7,38,0.506,12.6,11,52,0.48100000000000004,25,0.773,17,"January 31, 2020",30.3,10,25.0,13,101.3,70.0,28,0.449,79,0.418,33,0.165,13,0.462,6,8,200,100.0,44.7,21,14,77,,7.8,6,0.215,17,0.294,5,56.3,49,0.452,13.3,13,62,0.452,28,0.636,14,"Alumni Arena, Buffalo, New York",BUFFALO,Buffalo,76.6,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,21,False,False,False,Away,True,5,25,69,38,87,5,28,79,1,0,167,400,1347,0.4829250185597624,785,1518,0.5171277997364954,167,350,1261,0.4762093576526566,0.7619047619047619
22,2020-02-04-19-central-michigan,36.7,11,0.0,0,129.6,71.4,20,0.5579999999999999,60,0.5,30,0.28300000000000003,17,0.882,15,6,200,115.5,24.1,7,20,82,,5.6,4,0.267,16,0.43799999999999994,7,47.4,27,0.602,14.0,11,44,0.523,23,0.7390000000000001,17,"February 4, 2020",25.0,7,4.5,2,115.5,75.9,22,0.5760000000000001,59,0.475,28,0.441,26,0.9229999999999999,24,8,200,129.6,28.6,8,15,92,,7.0,5,0.39,23,0.522,12,52.6,30,0.645,9.0,7,36,0.444,16,0.619,13,"McGuirk Arena, Mt. Pleasant, Michigan",BOWLING-GREEN-STATE,Bowling Green State,71.2,Home,CENTRAL-MICHIGAN,Central Michigan,Bowling Green State,mac,22,False,False,False,Away,False,7,23,60,27,57,12,16,59,0,1,172,425,1416,0.4823446327683616,823,1605,0.5127725856697819,172,378,1340,0.4746268656716418,0.7727272727272727
23,2020-02-08-16-bowling-green-state,34.6,9,0.0,0,118.1,78.8,26,0.594,53,0.491,26,0.547,29,0.69,20,13,200,115.3,21.4,6,18,83,,2.8,2,0.415,22,0.5,11,52.5,32,0.621,13.2,10,31,0.484,15,0.45799999999999996,11,"February 8, 2020",43.3,13,3.2,1,115.3,78.6,22,0.556,62,0.484,30,0.387,24,0.667,16,6,200,118.1,21.2,7,20,85,,6.9,5,0.355,22,0.409,9,47.5,29,0.579,7.6,6,40,0.525,21,0.75,18,"Stroh Center, Bowling Green, Ohio",TOLEDO,Toledo,71.6,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,23,True,False,True,Home,True,9,21,62,29,61,11,15,53,1,0,179,448,1476,0.4854336043360434,850,1662,0.5114320096269555,184,394,1399,0.4789135096497498,0.7391304347826086
24,2020-02-11-19-akron,41.7,10,8.6,3,100.0,81.5,22,0.40299999999999997,67,0.358,24,0.16399999999999998,11,0.455,5,7,200,79.7,20.5,8,19,59,,6.8,5,0.373,25,0.24,6,45.5,30,0.408,14.3,12,42,0.429,18,0.72,18,"February 11, 2020",20.8,5,2.4,1,79.7,79.5,31,0.51,52,0.462,24,0.519,27,0.778,21,6,200,100.0,18.5,5,17,74,,8.1,6,0.327,17,0.294,5,54.5,36,0.5710000000000001,15.8,12,35,0.5429999999999999,19,0.75,18,"James A. Rhodes Arena, Akron, Ohio",BOWLING-GREEN-STATE,Bowling Green State,74.0,Home,AKRON,Akron,Bowling Green State,mac,24,False,False,False,Away,False,6,18,67,30,66,5,19,52,0,1,188,469,1538,0.4882964889466839,879,1723,0.51015670342426,195,409,1452,0.4831267217630854,0.75
25,2020-02-15-13-ball-state,28.6,8,5.7,2,93.4,80.0,28,0.462,65,0.431,28,0.33799999999999997,22,0.773,17,7,200,101.3,32.4,12,16,77,,5.3,4,0.185,12,0.33299999999999996,4,55.6,40,0.51,13.8,12,53,0.45299999999999996,24,0.731,19,"February 15, 2020",34.6,9,9.4,5,101.3,67.6,25,0.469,64,0.406,26,0.23399999999999999,15,0.733,11,11,200,93.4,20.0,7,20,71,,9.2,7,0.45299999999999996,29,0.276,8,44.4,32,0.499,15.6,13,35,0.514,18,0.56,14,"Worthen Arena, Muncie, Indiana",BALL-STATE,Ball State,76.3,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,25,False,False,False,Away,True,4,24,65,40,72,8,18,64,1,0,194,487,1605,0.4847352024922119,909,1789,0.5081050866405813,200,428,1504,0.4840425531914894,0.72
