,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-CENTRAL_homegame,NORTH-CAROLINA-CENTRAL_homegame2,NORTH-CAROLINA-CENTRAL_home,NORTH-CAROLINA-CENTRAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-11-19-north-carolina-central,54.5,6,3.0,2,128.2,55.2,16,0.28300000000000003,46,0.239,11,0.109,5,0.4,2,0,200,32.9,17.6,6,7,28,,7.1,6,0.391,18,0.222,4,34.9,22,0.289,47.1,43,28,0.25,7,0.0,0,"December 11, 2019",48.0,24,25.0,7,32.9,82.4,28,0.638,80,0.625,50,0.1,8,0.875,7,8,200,128.2,44.8,13,13,109,,30.6,26,0.175,14,0.14300000000000002,2,65.1,41,0.65,13.5,13,66,0.727,48,0.273,3,"McLendon-McDougald Gym, Durham, North Carolina","Christendom
			","Christendom
			",84.6,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,10,True,False,True,Home,True,2,48,80,41,63,4,7,46,1,0,61,149,541,0.44454713493530496,286,630,0.453968253968254,76,175,561,0.5151515151515151,0.2
11,2019-12-14-14-coastal-carolina,42.3,11,0.0,0,128.2,60.0,15,0.484,61,0.426,26,0.311,19,0.632,12,9,200,100.0,47.2,17,23,71,,14.1,10,0.41,25,0.28,7,52.5,32,0.507,21.5,19,36,0.528,19,0.25,3,"December 14, 2019",59.4,19,13.9,5,100.0,52.8,19,0.652,56,0.5710000000000001,32,0.33899999999999997,19,0.9470000000000001,18,4,200,128.2,40.0,10,19,91,,14.1,10,0.321,18,0.5,9,47.5,29,0.7,18.9,15,38,0.605,23,0.636,7,"The HTC Center, Conway, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,71.0,Home,COASTAL-CAROLINA,Coastal Carolina,North Carolina Central,meac,11,False,False,False,Away,False,7,19,61,32,61,9,23,56,0,1,63,197,621,0.4694041867954911,327,693,0.4718614718614719,80,182,607,0.4975288303130148,0.2727272727272727
12,2019-12-17-19-louisiana-tech,52.2,12,12.5,3,115.0,57.1,16,0.643,42,0.5479999999999999,23,0.214,9,0.667,6,10,200,100.0,27.8,5,19,60,,6.7,4,0.381,16,0.5,8,45.7,21,0.648,29.2,19,26,0.5770000000000001,15,0.231,3,"December 17, 2019",59.1,13,0.0,0,100.0,72.2,13,0.52,50,0.44,22,0.42,21,0.81,17,3,200,115.0,42.9,12,9,69,,15.0,9,0.52,26,0.308,8,54.3,25,0.575,16.8,12,24,0.583,14,0.727,8,"Thomas Assembly Center, Ruston, Louisiana",NORTH-CAROLINA-CENTRAL,North Carolina Central,60.1,Home,LOUISIANA-TECH,Louisiana Tech,North Carolina Central,meac,12,False,False,False,Away,False,8,15,42,21,46,8,14,50,0,1,70,216,682,0.4706744868035191,359,754,0.4761273209549072,89,205,663,0.5105580693815988,0.25
13,2019-12-30-19-north-carolina-central,50.0,10,3.6,2,128.6,58.6,17,0.441,59,0.33899999999999997,20,0.28800000000000003,17,0.647,11,0,200,75.0,18.4,7,14,63,,7.1,6,0.508,30,0.4,12,35.8,24,0.47,24.9,22,29,0.276,8,0.0,0,"December 30, 2019",64.4,29,20.7,6,75.0,81.6,31,0.618,76,0.5920000000000001,45,0.276,21,0.667,14,10,200,128.6,41.4,12,18,108,,15.5,13,0.276,21,0.19,4,64.2,43,0.628,12.3,12,55,0.745,41,0.28600000000000003,4,"McLendon-McDougald Gym, Durham, North Carolina","Mid-Atlantic Christian
			","Mid-Atlantic Christian
			",84.0,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,13,True,False,True,Home,True,4,41,76,43,67,12,8,59,1,0,78,231,724,0.4806629834254144,380,800,0.475,97,219,713,0.5112201963534362,0.2307692307692308
14,2020-01-04-16-north-carolina-central,31.6,6,8.3,3,92.4,81.5,22,0.40399999999999997,52,0.365,19,0.135,7,0.429,3,10,200,68.2,43.8,14,12,45,,9.1,6,0.308,16,0.25,4,61.0,36,0.40700000000000003,29.5,23,36,0.41700000000000004,15,0.16699999999999998,2,"January 4, 2020",47.8,11,2.8,1,68.2,56.3,18,0.48100000000000004,52,0.442,23,0.25,13,0.846,11,10,200,92.4,18.5,5,14,61,,16.7,11,0.308,16,0.25,4,39.0,23,0.524,19.5,14,36,0.528,19,0.33299999999999996,5,"McLendon-McDougald Gym, Durham, North Carolina",FLORIDA-AM,Florida A&M,65.8,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,14,True,False,True,Home,True,4,19,52,23,59,4,15,52,1,0,82,272,800,0.49375,423,867,0.4878892733564014,109,227,772,0.5058290155440415,0.2857142857142857
15,2020-01-11-14-delaware-state,47.8,11,5.6,2,88.3,72.7,24,0.48,51,0.451,23,0.451,23,0.7390000000000001,17,11,200,85.7,33.3,9,30,66,,7.8,6,0.314,16,0.188,3,55.0,33,0.5329999999999999,26.5,22,35,0.5710000000000001,20,0.312,5,"January 11, 2020",47.8,11,2.9,1,85.7,66.7,18,0.455,56,0.41100000000000003,23,0.518,29,0.586,17,14,200,88.3,27.3,9,20,68,,13.0,10,0.35700000000000004,20,0.25,5,45.0,27,0.48700000000000004,20.7,18,36,0.5,18,0.125,2,"Memorial Hall, Dover, Delaware",NORTH-CAROLINA-CENTRAL,North Carolina Central,76.9,Home,DELAWARE-STATE,Delaware State,North Carolina Central,meac,15,False,False,False,Away,False,3,20,51,33,60,5,18,56,0,1,86,291,852,0.4929577464788733,446,926,0.4816414686825054,113,242,824,0.4993932038834951,0.3333333333333333
16,2020-01-13-19-maryland-eastern-shore,56.0,14,12.5,4,91.4,54.5,18,0.51,52,0.48100000000000004,25,0.615,32,0.5,16,11,225,98.6,27.8,10,26,69,,14.3,10,0.385,20,0.15,3,40.6,28,0.513,15.4,12,32,0.688,22,0.353,6,"January 13, 2020",52.4,11,9.4,3,98.6,72.2,26,0.4270000000000001,55,0.382,21,0.545,30,0.5670000000000001,17,16,225,91.4,45.5,15,25,64,,7.1,5,0.418,23,0.217,5,59.4,41,0.462,20.0,17,32,0.5,16,0.111,2,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,62.4,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,16,False,False,False,Away,True,3,22,52,28,69,5,16,55,1,0,89,311,903,0.4922480620155039,479,986,0.4858012170385396,118,260,880,0.4965909090909091,0.3125
17,2020-01-18-16-bethune-cookman,45.2,14,9.1,3,81.9,79.4,27,0.644,52,0.596,31,0.5579999999999999,29,0.655,19,11,200,119.4,23.1,6,16,86,,13.9,10,0.28800000000000003,15,0.33299999999999996,5,55.0,33,0.654,13.4,10,37,0.703,26,0.389,7,"January 18, 2020",47.6,10,0.0,0,119.4,76.9,20,0.405,58,0.36200000000000004,21,0.276,16,0.75,12,10,200,81.9,20.6,7,18,59,,4.2,3,0.431,25,0.2,5,45.0,27,0.45,19.7,16,33,0.485,16,0.474,9,"Moore Gymnasium, Daytona Beach, Florida",BETHUNE-COOKMAN,Bethune-Cookman,72.2,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,17,False,False,False,Away,True,5,26,52,33,60,5,16,58,1,0,92,333,955,0.4931937172774869,507,1055,0.4805687203791469,123,276,935,0.4925133689839572,0.35294117647058826
18,2020-01-20-16-florida-am,42.9,9,6.8,3,95.7,59.5,22,0.47,50,0.42,21,0.3,15,0.667,10,12,200,82.6,25.0,7,22,57,,8.7,6,0.32,16,0.313,5,44.6,29,0.499,23.1,17,34,0.47100000000000003,16,0.368,7,"January 20, 2020",21.7,5,2.9,1,82.6,75.0,21,0.41,61,0.377,23,0.426,26,0.615,16,12,200,95.7,40.5,15,16,66,,11.6,8,0.27899999999999997,17,0.235,4,55.4,36,0.45,14.2,12,44,0.4320000000000001,19,0.294,5,"Al Lawson Center, Tallahassee, Florida",NORTH-CAROLINA-CENTRAL,North Carolina Central,68.7,Home,FLORIDA-AM,Florida A&M,North Carolina Central,meac,18,False,False,False,Away,False,5,16,50,29,65,4,19,61,0,1,97,359,1007,0.5009930486593843,540,1115,0.4843049327354261,128,292,993,0.4874118831822759,0.3888888888888889
19,2020-01-25-16-north-carolina-central,52.9,9,12.9,4,96.0,68.8,22,0.303,61,0.27899999999999997,17,0.213,13,0.615,8,16,200,60.0,32.5,13,26,45,,12.0,9,0.377,23,0.13,3,48.6,35,0.335,25.6,23,38,0.368,14,0.111,2,"January 25, 2020",70.8,17,5.3,2,60.0,67.5,27,0.52,51,0.47100000000000003,24,0.588,30,0.633,19,12,200,96.0,31.3,10,16,72,,16.0,12,0.392,20,0.25,5,51.4,37,0.552,21.9,18,31,0.613,19,0.4,8,"McLendon-McDougald Gym, Durham, North Carolina",DELAWARE-STATE,Delaware State,75.2,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,19,True,False,True,Home,True,5,19,51,37,72,3,14,61,1,0,102,375,1057,0.4995269631031221,569,1180,0.4822033898305085,132,311,1054,0.4829222011385199,0.3684210526315789
20,2020-02-01-16-north-carolina-central,61.1,11,2.9,1,121.7,70.0,21,0.426,47,0.38299999999999995,18,0.46799999999999997,22,0.727,16,11,200,93.3,30.0,9,15,56,,5.0,3,0.298,14,0.28600000000000003,4,50.0,30,0.48700000000000004,16.3,11,33,0.424,14,0.45,9,"February 1, 2020",58.6,17,6.1,2,93.3,70.0,21,0.589,56,0.518,29,0.28600000000000003,16,0.43799999999999994,7,12,200,121.7,30.0,9,19,73,,10.0,6,0.39299999999999996,22,0.364,8,50.0,30,0.574,8.7,6,34,0.618,21,0.429,9,"McLendon-McDougald Gym, Durham, North Carolina",SOUTH-CAROLINA-STATE,South Carolina State,60.0,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,20,True,False,True,Home,True,8,21,56,30,60,4,14,47,1,0,107,394,1108,0.5004512635379061,606,1252,0.4840255591054313,135,325,1115,0.4730941704035874,0.4
21,2020-02-03-19-north-carolina-central,62.5,15,10.7,3,101.5,85.2,23,0.5379999999999999,52,0.462,24,0.231,12,0.583,7,13,200,92.6,17.9,5,20,63,,4.4,3,0.423,22,0.364,8,50.9,28,0.546,20.8,15,30,0.5329999999999999,16,0.435,10,"February 3, 2020",48.0,12,6.7,2,92.6,82.1,23,0.57,50,0.5,25,0.32,16,0.75,12,12,200,101.5,14.8,4,18,69,,7.4,5,0.44,22,0.318,7,49.1,27,0.599,20.8,15,28,0.643,18,0.455,10,"McLendon-McDougald Gym, Durham, North Carolina",NORFOLK-STATE,Norfolk State,68.2,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,21,True,False,True,Home,True,7,18,50,27,55,8,16,52,1,0,115,415,1164,0.5047250859106529,636,1312,0.4847560975609756,139,339,1162,0.4711703958691911,0.42857142857142855
22,2020-02-08-16-coppin-state,64.0,16,0.0,0,91.3,71.9,23,0.517,58,0.431,25,0.22399999999999998,13,0.615,8,12,200,98.6,26.5,9,15,68,,8.7,6,0.379,22,0.455,10,48.5,32,0.53,15.8,12,36,0.41700000000000004,15,0.478,11,"February 8, 2020",56.5,13,25.0,9,98.6,73.5,25,0.473,55,0.418,23,0.273,15,0.733,11,18,200,91.3,28.1,9,12,63,,7.2,5,0.527,29,0.207,6,51.5,34,0.507,22.6,18,26,0.654,17,0.28,7,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,69.2,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,22,False,False,False,Away,True,10,15,58,32,66,6,17,55,1,0,122,433,1214,0.5074135090609555,663,1367,0.485003657644477,147,355,1214,0.4740527182866557,0.4545454545454545
23,2020-02-10-19-morgan-state,60.0,12,22.6,7,85.1,72.4,21,0.45799999999999996,48,0.41700000000000004,20,0.43799999999999994,21,0.667,14,12,200,86.6,15.4,4,16,58,,7.5,5,0.313,15,0.267,4,45.5,25,0.5,18.5,13,33,0.485,16,0.5,12,"February 10, 2020",35.0,7,18.2,6,86.6,84.6,22,0.452,52,0.385,20,0.25,13,0.769,10,13,200,85.1,27.6,8,18,57,,4.5,3,0.40399999999999997,21,0.33299999999999996,7,54.5,30,0.49,21.7,16,31,0.419,13,0.5,13,"Hill Field House, Baltimore, Maryland",MORGAN-STATE,Morgan State,66.6,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,23,False,False,False,Away,True,4,16,48,25,55,7,13,52,1,0,132,448,1272,0.5078616352201258,695,1433,0.484996510816469,153,372,1269,0.4739952718676123,0.4782608695652174
24,2020-02-17-19-north-carolina-at,47.6,10,5.0,2,104.1,66.7,22,0.47100000000000003,52,0.40399999999999997,21,0.327,17,0.647,11,13,200,81.1,18.8,6,24,60,,12.2,9,0.48100000000000004,25,0.28,7,43.1,28,0.499,24.2,19,27,0.519,14,0.48,12,"February 17, 2020",63.3,19,11.1,3,81.1,81.3,26,0.551,59,0.508,30,0.373,22,0.545,12,14,200,104.1,33.3,11,18,77,,10.8,8,0.322,19,0.263,5,56.9,37,0.5539999999999999,18.9,16,40,0.625,25,0.48100000000000004,13,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,73.8,Home,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina Central,meac,24,False,False,False,Away,False,7,14,52,28,65,5,25,59,0,1,136,464,1320,0.5060606060606061,720,1488,0.4838709677419355,160,385,1321,0.4731264193792582,0.5
25,2020-02-22-16-north-carolina-central,57.9,11,2.3,1,113.8,54.5,18,0.39399999999999996,52,0.365,19,0.34600000000000003,18,0.778,14,22,200,84.6,23.5,8,16,55,,9.2,6,0.365,19,0.158,3,38.8,26,0.45399999999999996,14.3,10,33,0.485,16,0.185,5,"February 22, 2020",48.3,14,6.1,2,84.6,76.5,26,0.5,63,0.46,29,0.23800000000000002,15,0.733,11,13,200,113.8,45.5,15,16,74,,10.8,7,0.302,19,0.263,5,61.2,41,0.528,14.7,12,44,0.545,24,0.5,13,"McLendon-McDougald Gym, Durham, North Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,64.8,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,25,True,False,True,Home,True,5,24,63,41,67,3,16,52,1,0,143,478,1372,0.5047376093294461,748,1553,0.4816484224082421,165,410,1380,0.4764492753623189,0.48
