,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MINNESOTA_homegame,MINNESOTA_homegame2,MINNESOTA_home,MINNESOTA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-17-oklahoma-state,53.1,17,6.8,3,93.0,69.7,23,0.6729999999999999,55,0.5820000000000001,32,0.23600000000000002,13,0.9229999999999999,12,5,200,121.1,31.8,7,16,86,,5.6,4,0.382,21,0.47600000000000003,10,54.5,30,0.703,20.9,16,34,0.647,22,0.545,6,"December 21, 2019",40.0,10,5.9,2,121.1,68.2,15,0.467,60,0.41700000000000004,25,0.25,15,0.667,10,3,200,93.0,30.3,10,16,66,,11.3,8,0.267,16,0.375,6,45.5,25,0.4920000000000001,17.4,14,44,0.4320000000000001,19,0.727,8,"BOK Center, Tulsa, Oklahoma",OKLAHOMA-STATE,Oklahoma State,70.7,Away,MINNESOTA,Minnesota,Minnesota,big-ten,10,False,False,False,Away,True,10,22,55,30,55,6,19,60,1,0,90,174,598,0.5167224080267558,337,654,0.5152905198776758,57,176,574,0.4555749128919861,0.5
11,2019-12-28-16-minnesota,41.7,10,18.6,8,107.2,63.2,24,0.39399999999999996,66,0.364,24,0.22699999999999998,15,0.667,10,4,200,74.7,14.6,6,24,62,,8.4,7,0.28800000000000003,19,0.21100000000000002,4,38.0,30,0.424,19.0,17,47,0.426,20,0.6920000000000001,9,"December 28, 2019",65.4,17,10.6,5,74.7,85.4,35,0.44799999999999995,67,0.38799999999999996,26,0.44799999999999995,30,0.9670000000000001,29,5,200,107.2,36.8,14,16,89,,12.0,10,0.358,24,0.33299999999999996,8,62.0,49,0.5479999999999999,14.9,14,43,0.419,18,0.583,7,"Williams Arena, Minneapolis, Minnesota",FLORIDA-INTERNATIONAL,Florida International,82.7,Home,MINNESOTA,Minnesota,Minnesota,big-ten,11,True,False,True,Home,True,8,18,67,49,79,4,20,66,1,0,100,196,653,0.5298621745788668,367,709,0.5176304654442877,63,195,634,0.4566246056782334,0.5454545454545454
12,2020-01-02-19-purdue,48.1,13,11.6,5,101.2,66.7,28,0.426,74,0.365,27,0.257,19,0.789,15,6,250,95.1,38.1,16,23,78,,9.8,8,0.35100000000000003,26,0.34600000000000003,9,52.4,44,0.47,17.9,18,48,0.375,18,0.5379999999999999,7,"January 2, 2020",69.0,20,6.3,3,95.1,61.9,26,0.507,68,0.426,29,0.33799999999999997,23,0.609,14,5,250,101.2,33.3,14,20,83,,7.3,6,0.368,25,0.44,11,47.6,40,0.526,16.1,15,43,0.419,18,0.643,9,"Mackey Arena, West Lafayette, Indiana",MINNESOTA,Minnesota,66.0,Home,PURDUE,Purdue,Minnesota,big-ten,12,False,False,False,Away,False,9,18,74,44,84,11,18,68,0,1,108,214,720,0.5222222222222223,416,788,0.5279187817258884,67,215,700,0.4507142857142857,0.5833333333333334
13,2020-01-05-19-minnesota,65.4,17,3.1,1,113.2,60.0,21,0.483,59,0.441,26,0.237,14,0.7859999999999999,11,8,200,100.0,12.9,4,15,68,,7.4,5,0.22,13,0.385,5,37.9,25,0.518,10.9,8,46,0.457,21,0.385,5,"January 5, 2020",76.0,19,17.4,8,100.0,87.1,27,0.475,61,0.41,25,0.311,19,1.0,19,6,200,113.2,40.0,14,14,77,,7.4,5,0.475,29,0.276,8,62.1,41,0.55,13.7,11,32,0.531,17,0.5710000000000001,8,"Williams Arena, Minneapolis, Minnesota",NORTHWESTERN,Northwestern,68.3,Home,MINNESOTA,Minnesota,Minnesota,big-ten,13,True,False,True,Home,True,8,17,61,41,66,5,21,59,1,0,117,232,794,0.5132241813602015,460,872,0.5275229357798165,78,233,768,0.4557291666666667,0.5384615384615384
14,2020-01-09-21-michigan-state,60.9,14,15.6,7,110.4,55.3,21,0.4320000000000001,59,0.39,23,0.136,8,0.875,7,7,200,86.6,20.0,7,19,58,,4.5,3,0.33899999999999997,20,0.25,5,38.4,28,0.462,15.0,11,39,0.462,18,0.5329999999999999,8,"January 9, 2020",71.4,20,15.4,6,86.6,80.0,28,0.47700000000000004,65,0.431,28,0.24600000000000002,16,0.75,12,3,200,110.4,44.7,17,12,74,8.0,11.9,8,0.308,20,0.3,6,61.6,45,0.51,14.3,12,45,0.489,22,0.812,13,"Breslin Events Center, East Lansing, Michigan",MINNESOTA,Minnesota,67.2,Home,MICHIGAN-STATE,Michigan State,Minnesota,big-ten,14,False,False,False,Away,False,5,18,59,28,73,6,22,65,0,1,125,249,855,0.5105263157894737,501,938,0.5341151385927505,83,254,827,0.4576783555018138,0.5714285714285714
15,2020-01-12-13-minnesota,53.8,14,5.7,2,115.4,76.9,20,0.5,62,0.419,26,0.09699999999999999,6,0.833,5,5,200,103.1,18.2,6,19,67,19.0,6.2,4,0.452,28,0.35700000000000004,10,44.1,26,0.517,11.0,8,34,0.47100000000000003,16,0.688,11,"January 12, 2020",57.1,16,2.9,1,103.1,81.8,27,0.588,51,0.5489999999999999,28,0.529,27,0.556,15,7,200,115.4,23.1,6,7,75,,6.2,4,0.314,16,0.25,4,55.9,33,0.588,7.4,5,35,0.6859999999999999,24,0.562,9,"Williams Arena, Minneapolis, Minnesota",MICHIGAN,Michigan,64.8,Home,MINNESOTA,Minnesota,Minnesota,big-ten,15,True,False,True,Home,True,4,24,51,33,59,10,16,62,1,0,130,267,914,0.5054704595185996,529,1011,0.52324431256182,89,276,892,0.4590807174887893,0.5333333333333333
16,2020-01-15-21-minnesota,48.0,12,13.9,5,113.6,54.3,19,0.475,59,0.424,25,0.33899999999999997,20,0.65,13,5,200,104.5,23.7,9,22,69,,7.6,5,0.33899999999999997,20,0.3,6,38.4,28,0.504,8.1,6,39,0.48700000000000004,19,0.706,12,"January 15, 2020",60.9,14,10.3,4,104.5,76.3,29,0.433,60,0.38299999999999995,23,0.483,29,0.7929999999999999,23,7,200,113.6,45.7,16,18,75,,4.5,3,0.4,24,0.25,6,61.6,45,0.508,11.0,9,36,0.47200000000000003,17,0.588,10,"Williams Arena, Minneapolis, Minnesota",PENN-STATE,Penn State,66.1,Home,MINNESOTA,Minnesota,Minnesota,big-ten,16,True,False,True,Home,True,6,17,60,45,73,6,19,59,1,0,134,291,965,0.5098445595854922,562,1070,0.525233644859813,99,292,954,0.4617400419287212,0.5625
17,2020-01-19-13-rutgers,57.9,11,8.3,4,110.3,54.1,20,0.44299999999999995,53,0.358,19,0.28300000000000003,15,0.6,9,8,200,96.6,28.6,10,15,56,,6.9,4,0.528,28,0.321,9,41.7,30,0.466,10.5,7,25,0.4,10,0.556,10,"January 19, 2020",41.7,10,4.0,1,96.6,71.4,25,0.44299999999999995,61,0.39299999999999996,24,0.27899999999999997,17,0.588,10,4,200,110.3,45.9,17,12,64,,8.6,5,0.213,13,0.462,6,58.3,42,0.46299999999999997,8.1,6,48,0.375,18,0.778,14,"Rutgers Athletic Center, New Brunswick, New Jersey",MINNESOTA,Minnesota,57.6,Home,RUTGERS,Rutgers,Minnesota,big-ten,17,False,False,False,Away,False,9,10,53,30,72,6,18,61,0,1,140,308,1025,0.5053658536585366,607,1143,0.5310586176727911,105,311,1013,0.4624876604146101,0.5882352941176471
18,2020-01-23-18-ohio-state,34.8,8,3.0,1,93.7,79.4,27,0.491,54,0.426,23,0.315,17,0.529,9,8,200,98.4,10.0,3,18,62,,3.2,2,0.389,21,0.33299999999999996,7,46.9,30,0.499,6.1,4,33,0.485,16,0.579,11,"January 23, 2020",42.9,9,6.1,2,98.4,90.0,27,0.48,49,0.429,21,0.3670000000000001,18,0.667,12,7,200,93.7,20.6,7,17,59,,3.2,2,0.327,16,0.313,5,53.1,34,0.513,17.4,12,33,0.485,16,0.632,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,62.8,Away,MINNESOTA,Minnesota,Minnesota,big-ten,18,False,False,False,Away,True,7,16,54,30,64,5,16,49,1,0,149,318,1078,0.5023191094619666,637,1215,0.5242798353909465,111,329,1074,0.4613594040968343,0.5555555555555556
19,2020-01-26-15-minnesota,69.2,18,10.3,3,80.0,74.4,29,0.536,55,0.473,26,0.23600000000000002,13,0.846,11,5,200,107.7,25.0,7,19,70,11.0,9.2,6,0.309,17,0.41200000000000003,7,53.7,36,0.5720000000000001,12.9,9,38,0.5,19,0.75,15,"January 26, 2020",81.3,13,5.3,2,107.7,75.0,21,0.325,57,0.281,16,0.35100000000000003,20,0.75,15,9,200,80.0,25.6,10,15,52,,7.7,5,0.491,28,0.179,5,46.3,31,0.391,14.3,11,29,0.379,11,0.55,11,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,65.3,Away,MICHIGAN-STATE,Michigan State,Minnesota,big-ten,19,False,True,True,Home,False,5,11,57,31,67,7,19,55,0,1,156,334,1132,0.5017667844522968,667,1279,0.5215011727912432,116,345,1123,0.4621549421193232,0.5789473684210527
20,2020-01-30-19-illinois,21.1,4,12.5,6,84.3,71.1,27,0.342,60,0.317,19,0.2,12,0.833,10,10,200,72.9,14.3,5,16,51,,4.3,3,0.317,19,0.158,3,43.8,32,0.38799999999999996,14.4,11,41,0.39,16,0.524,11,"January 30, 2020",47.6,10,12.2,5,72.9,85.7,30,0.35700000000000004,63,0.33299999999999996,21,0.254,16,0.875,14,5,200,84.3,28.9,11,17,59,19.0,5.7,4,0.23800000000000002,15,0.2,3,56.2,41,0.418,10.3,8,48,0.375,18,0.762,16,"State Farm Center, Champaign, Illinois",MINNESOTA,Minnesota,69.7,Home,ILLINOIS,Illinois,Minnesota,big-ten,20,False,False,False,Away,False,3,16,60,32,73,3,18,63,0,1,161,345,1189,0.4932716568544996,698,1346,0.5185735512630015,123,364,1178,0.4656196943972835,0.55
21,2020-02-05-21-minnesota,47.4,9,7.7,3,107.7,77.1,27,0.336,67,0.284,19,0.16399999999999998,11,0.636,7,10,200,80.0,28.3,13,15,52,,1.5,1,0.433,29,0.24100000000000002,7,49.4,40,0.36,7.7,6,38,0.316,12,0.565,13,"February 5, 2020",64.0,16,13.2,5,80.0,71.7,33,0.484,61,0.41,25,0.262,16,0.688,11,10,200,107.7,22.9,8,15,70,,7.7,5,0.361,22,0.409,9,50.6,41,0.51,6.8,5,39,0.41,16,0.545,12,"Williams Arena, Minneapolis, Minnesota",WISCONSIN,Wisconsin,65.4,Home,MINNESOTA,Minnesota,Minnesota,big-ten,21,True,False,True,Home,True,9,16,61,41,81,7,12,67,1,0,164,361,1249,0.4859887910328263,730,1419,0.514446793516561,126,382,1241,0.460112812248187,0.5238095238095238
22,2020-02-08-16-penn-state,37.9,11,7.3,3,115.3,75.0,24,0.493,67,0.433,29,0.19399999999999998,13,0.846,11,11,200,106.9,22.2,8,20,77,,4.2,3,0.358,24,0.33299999999999996,8,47.1,32,0.526,7.6,6,43,0.488,21,0.522,12,"February 8, 2020",55.2,16,9.3,4,106.9,77.8,28,0.552,58,0.5,29,0.44799999999999995,26,0.731,19,5,200,115.3,25.0,8,15,83,22.0,4.2,3,0.293,17,0.353,6,52.9,36,0.59,12.6,10,41,0.561,23,0.7829999999999999,18,"Bryce Jordan Center, University Park, Pennsylvania",MINNESOTA,Minnesota,71.8,Home,PENN-STATE,Penn State,Minnesota,big-ten,22,False,False,False,Away,False,8,21,67,32,68,6,23,58,0,1,173,377,1310,0.4858778625954199,771,1500,0.514,133,394,1308,0.4537461773700306,0.5454545454545454
23,2020-02-16-13-minnesota,60.9,14,17.6,6,83.3,74.3,26,0.446,56,0.41100000000000003,23,0.25,14,0.5710000000000001,8,8,200,87.9,24.2,8,16,58,21.0,7.6,5,0.23199999999999998,13,0.308,4,50.0,34,0.46299999999999997,13.9,10,43,0.442,19,0.6920000000000001,18,"February 16, 2020",85.7,18,16.3,7,87.9,75.8,25,0.415,59,0.35600000000000004,21,0.203,12,0.5,6,12,200,83.3,25.7,9,17,55,,4.5,3,0.424,25,0.28,7,50.0,34,0.425,14.6,11,34,0.41200000000000003,14,0.5,12,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,65.7,Away,IOWA,Iowa,Minnesota,big-ten,23,False,True,True,Home,False,7,14,59,34,68,4,19,56,0,1,181,398,1377,0.4862018881626725,803,1568,0.5121173469387755,139,417,1366,0.4579062957540264,0.5217391304347826
24,2020-02-19-21-minnesota,62.5,15,13.9,5,82.4,72.1,31,0.48100000000000004,54,0.444,24,0.40700000000000003,22,0.727,16,9,200,100.0,22.6,7,18,68,,5.9,4,0.259,14,0.28600000000000003,4,51.4,38,0.528,12.4,9,40,0.5,20,0.654,17,"February 19, 2020",85.7,18,10.0,4,100.0,77.4,24,0.377,61,0.344,21,0.311,19,0.526,10,13,200,82.4,27.9,12,20,56,,8.8,6,0.41,25,0.16,4,48.6,36,0.4,14.7,12,36,0.47200000000000003,17,0.48,12,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,68.2,Away,INDIANA,Indiana,Minnesota,big-ten,24,False,True,True,Home,False,4,17,61,36,74,4,20,54,0,1,188,412,1436,0.4832869080779944,837,1636,0.5116136919315404,143,436,1422,0.4574542897327708,0.5
25,2020-02-23-15-northwestern,63.3,19,9.1,4,81.4,89.5,34,0.597,62,0.484,30,0.242,15,0.6,9,13,200,118.6,31.3,10,13,83,,4.3,3,0.484,30,0.467,14,62.9,44,0.6,12.7,10,32,0.5,16,0.5,13,"February 23, 2020",66.7,16,6.3,2,118.6,68.8,22,0.41100000000000003,62,0.387,24,0.21,13,0.462,6,20,200,81.4,10.5,4,14,57,,2.9,2,0.29,18,0.16699999999999998,3,37.1,26,0.418,9.4,7,44,0.47700000000000004,21,0.231,6,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,70.2,Away,MINNESOTA,Minnesota,Minnesota,big-ten,25,False,False,False,Away,True,14,16,62,44,70,3,21,62,1,0,192,429,1497,0.4789579158316633,873,1710,0.5105263157894737,147,456,1476,0.4583333333333333,0.48
26,2020-02-26-21-minnesota,56.0,14,15.2,5,107.4,75.0,24,0.424,66,0.379,25,0.33299999999999996,22,0.818,18,5,200,108.8,43.9,18,18,74,9.0,11.8,8,0.424,28,0.214,6,57.5,42,0.484,8.5,7,38,0.5,19,0.821,23,"February 26, 2020",65.4,17,10.5,4,108.8,56.1,23,0.544,57,0.456,26,0.316,18,0.611,11,14,200,107.4,25.0,8,17,73,,5.9,4,0.42100000000000004,24,0.41700000000000004,10,42.5,31,0.557,15.6,12,33,0.485,16,0.48100000000000004,13,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,67.5,Away,MARYLAND,Maryland,Minnesota,big-ten,26,False,True,True,Home,False,10,16,57,31,73,6,19,66,0,1,206,445,1559,0.4836433611289288,917,1780,0.5151685393258427,150,477,1538,0.4564369310793238,0.5
