,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WRIGHT-STATE_homegame,WRIGHT-STATE_homegame2,WRIGHT-STATE_home,WRIGHT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-12-19-wright-state,20.8,5,4.3,2,111.8,78.6,22,0.361,72,0.33299999999999996,24,0.20800000000000002,15,0.667,10,7,200,81.6,33.3,15,21,62,,6.6,5,0.20800000000000002,15,0.267,4,50.7,37,0.392,13.2,12,57,0.35100000000000003,20,0.3,3,"December 12, 2019",37.9,11,12.3,7,81.6,66.7,30,0.5,60,0.483,29,0.467,28,0.893,25,3,200,111.8,21.4,6,14,85,,9.2,7,0.233,14,0.14300000000000002,2,49.3,36,0.58,10.0,8,46,0.5870000000000001,27,0.727,8,"Ervin J. Nutter Center, Dayton, Ohio",SOUTHERN,Southern,75.7,Home,WRIGHT-STATE,Wright State,Wright State,horizon,10,True,False,True,Home,True,2,27,60,36,73,4,20,72,1,0,80,213,647,0.5146831530139103,374,707,0.5289957567185289,78,196,633,0.4944707740916272,0.7
11,2019-12-17-19-wright-state,40.0,8,2.2,1,110.8,60.0,24,0.28600000000000003,77,0.26,20,0.10400000000000001,8,0.75,6,10,200,60.2,29.6,16,21,50,,8.4,7,0.28600000000000003,22,0.182,4,42.6,40,0.309,16.6,16,55,0.29100000000000004,16,0.0,0,"December 17, 2019",57.1,20,5.5,3,60.2,70.4,38,0.535,72,0.486,35,0.375,27,0.556,15,3,200,110.8,40.0,16,11,92,,4.8,4,0.361,26,0.26899999999999996,7,57.4,54,0.542,16.0,16,46,0.609,28,0.75,9,"Ervin J. Nutter Center, Dayton, Ohio",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,82.8,Home,WRIGHT-STATE,Wright State,Wright State,horizon,11,True,False,True,Home,True,7,28,72,54,94,4,16,77,1,0,82,240,707,0.5134370579915134,410,780,0.5256410256410257,82,216,705,0.4808510638297872,0.7272727272727273
12,2019-12-21-14-toledo,26.9,7,10.5,4,93.5,75.0,33,0.46,62,0.419,26,0.452,28,0.7859999999999999,22,3,200,102.6,22.9,8,17,79,,10.4,8,0.29,18,0.278,5,51.9,41,0.525,12.9,11,44,0.47700000000000004,21,0.769,10,"December 21, 2019",57.7,15,6.8,3,102.6,77.1,27,0.44799999999999995,67,0.38799999999999996,26,0.26899999999999996,18,0.667,12,4,200,93.5,25.0,11,22,72,,10.4,8,0.433,29,0.276,8,48.1,38,0.47700000000000004,12.8,11,38,0.474,18,0.667,8,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,76.9,Away,WRIGHT-STATE,Wright State,Wright State,horizon,12,False,False,False,Away,True,5,21,62,41,79,8,18,67,1,0,89,268,779,0.5154043645699615,464,874,0.5308924485125858,86,232,782,0.4616368286445013,0.75
13,2019-12-28-14-wright-state,41.4,12,5.1,2,115.4,60.5,23,0.531,64,0.45299999999999996,29,0.32799999999999996,21,0.762,16,9,200,107.7,18.2,6,28,84,,9.0,7,0.406,26,0.385,10,40.8,29,0.568,9.8,8,38,0.5,19,0.35700000000000004,5,"December 28, 2019",55.2,16,10.5,4,107.7,81.8,27,0.539,64,0.45299999999999996,29,0.547,35,0.6,21,3,200,115.4,39.5,15,16,90,,2.6,2,0.391,25,0.44,11,59.2,42,0.5579999999999999,15.9,15,39,0.462,18,0.7859999999999999,11,"Ervin J. Nutter Center, Dayton, Ohio",GREEN-BAY,Green Bay,78.3,Home,WRIGHT-STATE,Wright State,Wright State,horizon,13,True,False,True,Home,True,11,18,64,42,71,10,19,64,1,0,94,289,841,0.5112960760998811,505,953,0.5299055613850997,94,250,849,0.4605418138987044,0.7692307692307693
14,2019-12-30-19-wright-state,37.0,10,2.7,1,109.3,72.4,21,0.527,56,0.48200000000000004,27,0.304,17,0.647,11,9,200,93.3,16.7,5,21,70,,12.0,9,0.33899999999999997,19,0.263,5,44.1,26,0.546,20.1,16,37,0.595,22,0.35700000000000004,5,"December 30, 2019",66.7,20,2.7,1,93.3,83.3,25,0.634,56,0.536,30,0.33899999999999997,19,0.579,11,3,200,109.3,27.6,8,16,82,,2.7,2,0.33899999999999997,19,0.579,11,55.9,33,0.631,20.9,17,37,0.514,19,0.8,12,"Ervin J. Nutter Center, Dayton, Ohio",MILWAUKEE,Milwaukee,74.6,Home,WRIGHT-STATE,Wright State,Wright State,horizon,14,True,False,True,Home,True,11,19,56,33,59,5,22,56,1,0,105,307,905,0.5132596685082873,547,1024,0.5341796875,104,269,913,0.4654983570646221,0.7857142857142857
15,2020-01-03-19-oakland,58.3,21,7.1,3,92.0,72.7,24,0.643,63,0.5710000000000001,36,0.317,20,0.75,15,3,200,128.0,44.4,12,17,96,,10.7,8,0.302,19,0.474,9,60.0,36,0.662,15.3,13,44,0.614,27,0.812,13,"January 3, 2020",80.8,21,11.4,5,128.0,55.6,15,0.45799999999999996,60,0.433,26,0.3,18,0.778,14,9,200,92.0,27.3,9,19,69,,13.3,10,0.3,18,0.16699999999999998,3,40.0,24,0.503,19.1,16,42,0.5479999999999999,23,0.4,6,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,74.5,Away,WRIGHT-STATE,Wright State,Wright State,horizon,15,False,False,False,Away,True,9,27,63,36,60,3,23,60,1,0,116,326,961,0.5202913631633714,580,1083,0.5355493998153278,109,291,969,0.4690402476780186,0.8
16,2020-01-05-13-detroit-mercy,52.0,13,13.2,5,100.0,75.0,21,0.406,69,0.36200000000000004,25,0.304,21,0.667,14,3,200,101.4,38.6,17,12,70,,11.6,8,0.24600000000000002,17,0.353,6,52.8,38,0.44299999999999995,9.3,8,52,0.365,19,0.8240000000000001,14,"January 5, 2020",39.3,11,15.4,8,101.4,61.4,27,0.5429999999999999,58,0.483,28,0.172,10,0.6,6,13,200,100.0,25.0,7,16,69,,7.2,5,0.345,20,0.35,7,47.2,34,0.55,16.1,12,38,0.5529999999999999,21,0.188,3,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,68.9,Away,WRIGHT-STATE,Wright State,Wright State,horizon,16,False,False,False,Away,True,6,19,69,38,72,7,21,58,1,0,125,353,1024,0.52783203125,616,1143,0.5389326334208224,112,314,1029,0.4684159378036929,0.8125
17,2020-01-10-19-iupui,62.1,18,23.5,8,89.7,74.4,32,0.486,69,0.42,29,0.46399999999999997,32,0.531,17,3,200,107.7,35.9,14,25,84,,7.7,6,0.33299999999999996,23,0.391,9,56.1,46,0.499,9.8,9,46,0.435,20,0.833,15,"January 10, 2020",47.4,9,4.3,2,107.7,64.1,25,0.377,57,0.33299999999999996,19,0.7020000000000001,40,0.675,27,13,200,89.7,25.6,11,24,70,,6.4,5,0.40399999999999997,23,0.217,5,43.9,36,0.461,13.9,12,34,0.41200000000000003,14,0.278,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,78.1,Away,WRIGHT-STATE,Wright State,Wright State,horizon,17,False,False,False,Away,True,9,20,69,46,82,5,14,57,1,0,131,372,1093,0.5201280878316561,654,1215,0.5382716049382716,119,335,1087,0.4724011039558418,0.8235294117647058
18,2020-01-12-16-illinois-chicago,45.8,11,14.6,7,98.7,65.2,15,0.41700000000000004,66,0.364,24,0.424,28,0.607,17,4,200,93.5,37.8,17,15,72,,15.6,12,0.364,24,0.292,7,47.1,32,0.45399999999999996,14.2,13,42,0.405,17,0.789,15,"January 12, 2020",41.4,12,9.5,4,93.5,62.2,28,0.517,59,0.4920000000000001,29,0.305,18,0.833,15,12,200,98.7,34.8,8,23,76,,9.1,7,0.18600000000000005,11,0.273,3,52.9,36,0.563,22.1,19,48,0.542,26,0.368,7,"UIC Pavilion, Chicago, Illinois",WRIGHT-STATE,Wright State,76.9,Home,ILLINOIS-CHICAGO,UIC,Wright State,horizon,18,False,False,False,Away,False,7,17,66,32,68,3,26,59,0,1,140,392,1162,0.5180722891566265,700,1297,0.5397070161912105,124,349,1144,0.4676573426573426,0.8333333333333334
19,2020-01-16-19-wright-state,34.8,8,4.7,2,104.2,64.1,25,0.408,60,0.38299999999999995,23,0.38299999999999995,23,0.565,13,12,200,86.1,41.0,16,20,62,,9.7,7,0.15,9,0.33299999999999996,3,52.6,41,0.4370000000000001,17.6,15,51,0.392,20,0.368,7,"January 16, 2020",63.0,17,11.8,6,86.1,59.0,23,0.4920000000000001,63,0.429,27,0.381,24,0.542,13,4,200,104.2,35.9,14,22,75,,8.3,6,0.317,20,0.4,8,47.4,37,0.504,16.0,14,43,0.442,19,0.8,16,"Ervin J. Nutter Center, Dayton, Ohio",CLEVELAND-STATE,Cleveland State,72.2,Home,WRIGHT-STATE,Wright State,Wright State,horizon,19,True,False,True,Home,True,8,19,63,37,78,3,20,60,1,0,147,409,1228,0.5126221498371335,732,1365,0.5362637362637362,127,375,1203,0.470074812967581,0.7894736842105263
20,2020-01-18-19-wright-state,53.8,14,1.9,1,108.2,65.9,27,0.406,69,0.377,26,0.261,18,0.889,16,9,200,98.6,38.5,15,22,72,,6.8,5,0.304,21,0.19,4,52.5,42,0.46399999999999997,12.5,11,48,0.45799999999999996,22,0.55,11,"January 18, 2020",44.4,12,14.6,7,98.6,61.5,24,0.447,66,0.409,27,0.455,30,0.667,20,4,200,108.2,34.1,14,14,79,,8.2,6,0.19699999999999998,13,0.385,5,47.5,38,0.4920000000000001,7.0,6,53,0.415,22,0.81,17,"Ervin J. Nutter Center, Dayton, Ohio",YOUNGSTOWN-STATE,Youngstown State,72.9,Home,WRIGHT-STATE,Wright State,Wright State,horizon,20,True,False,True,Home,True,5,22,66,38,80,4,22,69,1,0,155,428,1291,0.5116189000774594,769,1443,0.532917532917533,130,395,1263,0.4671417260490895,0.8
21,2020-01-24-21-wright-state,30.8,8,5.4,2,133.8,60.9,14,0.424,66,0.39399999999999996,26,0.182,12,0.583,7,7,200,88.7,25.0,10,18,63,,11.3,8,0.33299999999999996,22,0.182,4,38.1,24,0.439,11.2,9,44,0.5,22,0.667,14,"January 24, 2020",55.6,20,6.8,3,88.7,75.0,30,0.7120000000000001,59,0.61,36,0.28800000000000003,17,0.647,11,4,200,133.8,39.1,9,15,95,,5.6,4,0.373,22,0.545,12,61.9,39,0.708,17.4,14,37,0.649,24,0.818,18,"Ervin J. Nutter Center, Dayton, Ohio",NORTHERN-KENTUCKY,Northern Kentucky,71.4,Home,WRIGHT-STATE,Wright State,Wright State,horizon,21,True,False,True,Home,True,12,24,59,39,63,4,22,66,1,0,160,450,1357,0.5084745762711864,807,1523,0.5298752462245568,134,417,1332,0.463963963963964,0.8095238095238095
22,2020-01-31-20-milwaukee,22.7,5,4.9,2,81.3,82.9,29,0.41100000000000003,56,0.39299999999999996,22,0.46399999999999997,26,0.731,19,4,200,86.7,25.8,8,18,65,,6.7,5,0.196,11,0.182,2,56.1,37,0.475,19.2,16,45,0.444,20,0.826,19,"January 31, 2020",44.0,11,8.9,4,86.7,74.2,23,0.434,61,0.41,25,0.16399999999999998,10,0.8,8,12,200,81.3,17.1,6,23,61,,4.0,3,0.32799999999999996,20,0.15,3,43.9,29,0.46399999999999997,17.6,14,41,0.537,22,0.455,10,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,75.1,Away,WRIGHT-STATE,Wright State,Wright State,horizon,22,False,False,False,Away,True,2,20,56,37,66,3,22,61,1,0,172,474,1416,0.5169491525423728,846,1586,0.5334174022698613,138,439,1398,0.4620886981402002,0.8181818181818182
23,2020-02-02-14-green-bay,50.0,15,9.3,4,109.5,73.3,22,0.479,71,0.423,30,0.39399999999999996,28,0.75,21,5,200,106.0,38.2,13,27,89,,9.5,8,0.31,22,0.364,8,54.7,35,0.528,13.5,13,49,0.449,22,0.792,19,"February 2, 2020",50.0,15,6.1,3,106.0,61.8,21,0.5820000000000001,55,0.545,30,0.782,43,0.6509999999999999,28,13,200,109.5,26.7,8,22,92,,7.1,6,0.218,12,0.33299999999999996,4,45.3,29,0.61,17.8,16,43,0.605,26,0.45799999999999996,11,"Resch Center, Green Bay, Wisconsin",WRIGHT-STATE,Wright State,83.9,Home,GREEN-BAY,Green Bay,Wright State,horizon,23,False,False,False,Away,False,8,22,71,35,64,4,26,55,0,1,174,494,1472,0.5129076086956522,883,1652,0.5345036319612589,141,461,1459,0.4609321453050034,0.8260869565217391
24,2020-02-06-19-wright-state,46.7,14,0.0,0,128.9,89.7,26,0.5529999999999999,66,0.455,30,0.212,14,0.929,13,18,200,113.2,27.3,9,15,86,,1.3,1,0.455,30,0.433,13,56.5,35,0.5920000000000001,15.3,13,36,0.47200000000000003,17,0.25,6,"February 6, 2020",57.9,22,5.6,2,113.2,72.7,24,0.667,66,0.5760000000000001,38,0.19699999999999998,13,0.769,10,5,200,128.9,10.3,3,15,98,,7.9,6,0.364,24,0.5,12,43.5,27,0.679,8.9,7,42,0.619,26,0.8,20,"Ervin J. Nutter Center, Dayton, Ohio",DETROIT-MERCY,Detroit,76.4,Home,WRIGHT-STATE,Wright State,Wright State,horizon,24,True,False,True,Home,True,12,26,66,27,62,13,17,66,1,0,182,516,1543,0.5113415424497731,918,1716,0.534965034965035,145,487,1514,0.4653236459709379,0.7916666666666666
25,2020-02-08-19-wright-state,40.0,10,9.4,3,113.7,82.6,19,0.442,60,0.41700000000000004,25,0.38299999999999995,23,0.7829999999999999,18,17,200,97.3,21.1,8,23,71,,11.0,8,0.25,15,0.2,3,44.3,27,0.501,12.5,10,45,0.489,22,0.32,8,"February 8, 2020",55.6,15,2.2,1,97.3,78.9,30,0.625,52,0.519,27,0.462,24,0.75,18,5,200,113.7,17.4,4,22,83,,1.4,1,0.385,20,0.55,11,55.7,34,0.655,17.2,13,32,0.5,16,0.8079999999999999,21,"Ervin J. Nutter Center, Dayton, Ohio",OAKLAND,Oakland,72.7,Home,WRIGHT-STATE,Wright State,Wright State,horizon,25,True,False,True,Home,True,11,16,52,34,61,3,22,60,1,0,194,542,1609,0.5177128651336234,945,1778,0.531496062992126,158,504,1580,0.4689873417721519,0.8
26,2020-02-14-21-wright-state,57.1,12,5.7,2,96.2,75.9,22,0.385,61,0.344,21,0.262,16,0.688,11,15,200,74.4,22.0,9,20,58,,14.1,11,0.361,22,0.22699999999999998,5,44.3,31,0.423,20.9,18,39,0.41,16,0.444,12,"February 14, 2020",44.0,11,7.7,3,74.4,78.0,32,0.491,57,0.439,25,0.368,21,0.905,19,5,200,96.2,24.1,7,15,75,,9.0,7,0.386,22,0.273,6,55.7,39,0.56,21.4,18,35,0.5429999999999999,19,0.815,22,"Ervin J. Nutter Center, Dayton, Ohio",ILLINOIS-CHICAGO,UIC,77.8,Home,WRIGHT-STATE,Wright State,Wright State,horizon,26,True,False,True,Home,True,6,19,57,39,70,5,16,61,1,0,205,558,1661,0.5210716435881999,979,1839,0.5323545405111474,161,526,1640,0.4679878048780488,0.8076923076923077
