,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SETON-HALL_homegame,SETON-HALL_homegame2,SETON-HALL_home,SETON-HALL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-19-19-seton-hall,57.1,8,16.1,5,77.6,85.3,29,0.317,52,0.26899999999999996,14,0.385,20,0.75,15,2,200,71.6,24.3,9,18,48,7.0,7.5,5,0.40399999999999997,21,0.23800000000000002,5,53.5,38,0.39,20.8,16,31,0.29,9,0.833,10,"December 19, 2019",68.4,13,48.4,15,71.6,75.7,28,0.42200000000000004,51,0.373,19,0.294,15,0.6,9,4,200,77.6,14.7,5,22,52,,14.9,10,0.392,20,0.25,5,46.5,33,0.447,18.4,13,31,0.452,14,0.636,7,"Prudential Center, Newark, New Jersey",MARYLAND,Maryland,67.3,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,10,True,False,True,Home,True,5,14,51,33,71,5,9,52,1,0,93,182,616,0.5219155844155844,353,688,0.5130813953488372,64,168,579,0.4559585492227979,0.6
11,2019-12-22-16-seton-hall,31.8,7,2.7,1,101.4,66.7,22,0.41100000000000003,56,0.39299999999999996,22,0.268,15,0.6,9,9,200,74.3,31.4,11,26,55,,6.8,5,0.23199999999999998,13,0.154,2,48.5,33,0.436,26.0,22,43,0.465,20,0.25,3,"December 22, 2019",50.0,13,11.6,5,74.3,68.6,24,0.48200000000000004,56,0.46399999999999997,26,0.518,29,0.7240000000000001,21,4,200,101.4,33.3,11,18,75,,14.9,11,0.33899999999999997,19,0.105,2,51.5,35,0.537,17.9,15,37,0.649,24,0.667,8,"Prudential Center, Newark, New Jersey",PRAIRIE-VIEW,Prairie View,74.0,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,11,True,False,True,Home,True,2,24,56,35,68,2,20,56,1,0,98,196,667,0.5142428785607196,386,759,0.5085638998682477,69,177,631,0.4445324881141046,0.6363636363636364
12,2019-12-30-20-depaul,60.9,14,16.3,7,89.2,65.8,25,0.53,50,0.46,23,0.6,30,0.7,21,4,200,100.0,20.0,6,20,74,,12.2,9,0.4,20,0.35,7,45.6,31,0.5760000000000001,20.2,16,30,0.5329999999999999,16,0.6920000000000001,9,"December 30, 2019",31.8,7,20.0,6,100.0,80.0,24,0.38299999999999995,64,0.344,22,0.313,20,0.85,17,2,200,89.2,34.2,13,21,66,,16.2,12,0.32799999999999996,21,0.23800000000000002,5,54.4,37,0.449,15.2,13,43,0.395,17,0.857,12,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,73.9,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,12,False,False,False,Away,True,7,16,50,31,68,5,17,64,1,0,100,220,723,0.5117565698478561,421,827,0.5090689238210399,71,197,687,0.4417758369723435,0.6666666666666666
13,2020-01-03-21-seton-hall,36.0,9,6.1,2,102.6,77.4,24,0.379,70,0.35700000000000004,25,0.22899999999999998,16,0.563,9,5,200,81.6,24.4,11,19,62,,9.2,7,0.243,17,0.17600000000000002,3,46.1,35,0.39899999999999997,12.5,11,53,0.415,22,0.667,10,"January 3, 2020",72.0,18,13.2,7,81.6,75.6,34,0.546,54,0.46299999999999997,25,0.444,24,0.792,19,4,200,102.6,22.6,7,17,78,,10.5,8,0.389,21,0.429,9,53.9,41,0.596,18.9,15,33,0.485,16,0.7140000000000001,10,"Prudential Center, Newark, New Jersey",GEORGETOWN,Georgetown,75.5,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,13,True,False,True,Home,True,9,16,54,41,76,3,22,70,1,0,107,236,773,0.5129366106080206,452,895,0.5050279329608939,76,214,751,0.4367509986684421,0.6923076923076923
14,2020-01-08-20-xavier,61.3,19,22.2,8,100.0,82.8,24,0.586,58,0.534,31,0.32799999999999996,19,0.789,15,4,200,116.9,29.6,8,19,83,,8.5,6,0.31,18,0.33299999999999996,6,57.1,32,0.619,16.4,13,40,0.625,25,0.733,11,"January 8, 2020",66.7,16,10.0,4,116.9,70.4,19,0.519,54,0.444,24,0.33299999999999996,18,0.833,15,4,200,100.0,17.2,5,17,71,,8.5,6,0.33299999999999996,18,0.444,8,42.9,24,0.568,17.4,13,36,0.444,16,0.75,12,"Cintas Center, Cincinnati, Ohio",XAVIER,Xavier,71.3,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,14,False,False,False,Away,True,6,25,58,32,56,8,16,54,1,0,116,252,827,0.5151148730350665,493,971,0.5077239958805355,79,236,821,0.4317904993909866,0.7142857142857143
15,2020-01-11-16-seton-hall,41.2,7,5.7,2,104.5,75.0,27,0.423,52,0.327,17,0.327,17,0.647,11,5,200,83.3,17.6,6,19,55,,4.5,3,0.5770000000000001,30,0.33299999999999996,10,47.1,33,0.45799999999999996,19.1,14,22,0.318,7,0.688,11,"January 11, 2020",52.0,13,13.6,3,83.3,82.4,28,0.491,56,0.446,25,0.46399999999999997,26,0.5379999999999999,14,4,200,104.5,25.0,9,11,69,,9.1,6,0.375,21,0.23800000000000002,5,52.9,37,0.505,6.9,5,35,0.5710000000000001,20,0.75,12,"Prudential Center, Newark, New Jersey",MARQUETTE,Marquette,66.2,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,15,True,False,True,Home,True,5,20,56,37,70,10,7,52,1,0,122,277,885,0.519774011299435,525,1027,0.5111976630963972,87,252,875,0.4371428571428572,0.7333333333333333
16,2020-01-15-18-butler,75.0,18,13.9,5,102.9,73.5,25,0.491,58,0.414,24,0.431,25,0.84,21,4,200,114.7,25.8,8,19,78,18.0,8.8,6,0.534,31,0.29,9,50.8,33,0.5579999999999999,10.4,8,27,0.556,15,0.765,13,"January 15, 2020",58.3,14,7.4,2,114.7,74.2,23,0.474,57,0.42100000000000004,24,0.33299999999999996,19,0.8420000000000001,16,2,200,102.9,26.5,9,21,70,5.0,5.9,4,0.368,21,0.28600000000000003,6,49.2,32,0.53,13.3,10,36,0.5,18,0.882,15,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,68.5,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,16,False,False,False,Away,True,9,15,58,33,65,6,18,57,1,0,127,297,941,0.5180658873538788,562,1097,0.512306289881495,97,259,927,0.43635382955771307,0.75
17,2020-01-18-12-st-johns-ny,40.7,11,16.4,10,97.5,74.4,29,0.4920000000000001,61,0.44299999999999995,27,0.44299999999999995,27,0.815,22,4,200,101.2,39.4,13,18,82,18.0,4.9,4,0.23,14,0.429,6,58.3,42,0.555,20.7,19,47,0.447,21,0.778,14,"January 18, 2020",60.6,20,12.8,6,101.2,60.6,20,0.467,75,0.44,33,0.2,15,0.6,9,7,200,97.5,25.6,10,22,79,,16.0,13,0.187,14,0.28600000000000003,4,41.7,30,0.48100000000000004,10.9,10,61,0.475,29,0.632,12,"Madison Square Garden (IV), New York, New York",ST-JOHNS-NY,St. John's (NY),81.0,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,17,False,False,False,Away,True,6,21,61,42,72,4,29,75,1,0,136,312,999,0.5165165165165165,595,1162,0.5120481927710844,103,277,984,0.4385162601626017,0.7647058823529411
18,2020-01-22-20-seton-hall,43.5,10,6.3,2,114.1,70.0,14,0.391,64,0.359,23,0.25,16,0.875,14,9,200,100.0,47.2,17,20,64,,10.9,7,0.375,24,0.16699999999999998,4,55.4,31,0.447,13.4,11,40,0.475,19,0.55,11,"January 22, 2020",61.5,16,22.5,9,100.0,52.8,19,0.611,45,0.578,26,0.556,25,0.72,18,4,200,114.1,30.0,6,16,73,10.0,6.3,4,0.289,13,0.231,3,44.6,25,0.642,17.6,12,32,0.7190000000000001,23,0.789,15,"Prudential Center, Newark, New Jersey",PROVIDENCE,Providence,64.2,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,18,True,False,True,Home,True,3,23,45,25,56,4,19,64,1,0,142,333,1060,0.5150943396226415,637,1234,0.5162074554294975,107,306,1059,0.4405099150141643,0.7777777777777778
19,2020-01-29-18-seton-hall,31.6,6,3.3,1,86.5,65.0,26,0.368,57,0.33299999999999996,19,0.35100000000000003,20,0.75,15,8,200,77.0,25.0,9,24,57,,10.8,8,0.263,15,0.267,4,46.1,35,0.429,20.5,17,42,0.35700000000000004,15,0.619,13,"January 29, 2020",54.5,12,21.4,9,77.0,75.0,27,0.439,57,0.386,22,0.509,29,0.483,14,4,200,86.5,35.0,14,23,64,10.0,10.8,8,0.474,27,0.222,6,53.9,41,0.452,19.6,17,30,0.5329999999999999,16,0.8,16,"Prudential Center, Newark, New Jersey",DEPAUL,DePaul,74.1,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,19,True,False,True,Home,True,6,16,57,41,76,4,15,57,1,0,145,356,1105,0.5190045248868779,662,1290,0.5131782945736434,111,325,1123,0.4376669634906501,0.7894736842105263
20,2020-02-01-11-seton-hall,26.7,8,12.1,4,87.3,91.4,32,0.591,55,0.545,30,0.364,20,0.45,9,8,200,104.2,46.4,13,18,74,,2.8,2,0.218,12,0.41700000000000004,5,71.4,45,0.574,22.0,18,43,0.581,25,0.636,14,"February 1, 2020",40.9,9,7.0,3,104.2,53.6,15,0.41700000000000004,60,0.3670000000000001,22,0.3,18,0.667,12,5,200,87.3,8.6,3,18,62,10.0,11.3,8,0.45,27,0.222,6,28.6,18,0.452,8.1,6,33,0.485,16,0.762,16,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,70.5,Away,XAVIER,Xavier,Seton Hall,big-east,20,False,True,True,Home,False,6,16,60,18,63,5,25,55,0,1,151,372,1162,0.5150602409638554,703,1366,0.5146412884333821,115,340,1180,0.4343220338983051,0.8
21,2020-02-05-20-georgetown,58.6,17,23.4,11,97.3,69.0,29,0.54,62,0.46799999999999997,29,0.27399999999999997,17,0.647,11,5,200,106.8,38.2,13,21,78,12.0,6.8,5,0.435,27,0.33299999999999996,9,55.3,42,0.557,14.7,12,35,0.5710000000000001,20,0.773,17,"February 5, 2020",56.5,13,0.0,0,106.8,61.8,21,0.368,68,0.33799999999999997,23,0.353,24,0.875,21,10,200,97.3,31.0,13,16,71,,4.1,3,0.309,21,0.19,4,44.7,34,0.447,11.3,10,47,0.40399999999999997,19,0.565,13,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,72.7,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,21,False,False,False,Away,True,9,20,62,42,76,4,19,68,1,0,157,388,1222,0.5102291325695582,721,1429,0.5045486354093772,120,365,1235,0.4412955465587045,0.7619047619047619
22,2020-02-08-14-villanova,41.7,10,20.6,7,92.8,86.1,31,0.491,58,0.414,24,0.259,15,0.867,13,5,200,101.4,30.3,10,17,70,12.0,7.2,5,0.36200000000000004,21,0.429,9,59.4,41,0.537,17.8,14,37,0.405,15,0.7829999999999999,18,"February 8, 2020",68.2,15,2.7,1,101.4,69.7,23,0.434,61,0.361,22,0.23,14,0.7859999999999999,11,6,200,92.8,13.9,5,18,64,10.0,7.2,5,0.44299999999999995,27,0.33299999999999996,9,40.6,28,0.473,9.4,7,34,0.382,13,0.7390000000000001,17,"Wells Fargo Center, Philadelphia, Pennsylvania",VILLANOVA,Villanova,69.4,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,22,False,False,False,Away,True,9,15,58,41,69,9,13,61,1,0,166,408,1284,0.5116822429906542,763,1505,0.5069767441860465,124,384,1303,0.4374520337682272,0.7727272727272727
23,2020-02-12-18-seton-hall,55.2,16,5.3,2,106.5,66.7,26,0.524,63,0.46,29,0.397,25,0.84,21,6,200,113.0,31.4,11,17,87,23.0,9.1,7,0.33299999999999996,21,0.381,8,50.0,37,0.581,12.9,11,42,0.5,21,0.76,19,"February 12, 2020",58.6,17,9.5,4,113.0,68.6,24,0.47100000000000003,69,0.42,29,0.29,20,0.85,17,6,200,106.5,33.3,13,19,82,10.0,5.2,4,0.449,31,0.226,7,50.0,37,0.522,14.3,13,38,0.579,22,0.75,18,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,76.7,Away,CREIGHTON,Creighton,Seton Hall,big-east,23,False,True,True,Home,False,7,22,69,37,74,8,21,63,0,1,175,423,1342,0.5108047690014903,804,1574,0.5108005082592122,133,397,1364,0.437316715542522,0.7826086956521741
24,2020-02-15-20-providence,50.0,10,9.5,4,101.4,55.3,21,0.445,55,0.364,20,0.491,27,0.815,22,7,200,97.3,27.3,9,28,71,10.0,9.6,7,0.509,28,0.321,9,42.3,30,0.523,17.3,14,27,0.40700000000000003,11,0.72,18,"February 15, 2020",42.9,9,7.4,2,97.3,72.7,24,0.415,59,0.35600000000000004,21,0.593,35,0.7140000000000001,25,12,200,101.4,44.7,17,21,74,,8.2,6,0.28800000000000003,17,0.41200000000000003,7,57.7,41,0.489,16.8,15,42,0.33299999999999996,14,0.5379999999999999,14,"Dunkin' Donuts Center, Providence, Rhode Island",SETON-HALL,Seton Hall,73.2,Home,PROVIDENCE,Providence,Seton Hall,big-east,24,False,False,False,Away,False,9,11,55,30,71,7,14,59,0,1,182,445,1411,0.5088589652728561,841,1648,0.5103155339805825,141,418,1427,0.44113524877365096,0.75
25,2020-02-19-18-seton-hall,55.6,15,5.6,2,110.4,72.0,18,0.555,55,0.491,27,0.273,15,0.733,11,8,200,107.5,18.5,5,16,72,21.0,10.4,7,0.382,21,0.33299999999999996,7,44.2,23,0.579,12.7,9,34,0.588,20,0.7040000000000001,19,"February 19, 2020",54.2,13,8.8,3,107.5,81.5,22,0.519,52,0.462,24,0.423,22,0.909,20,7,200,110.4,28.0,7,15,74,16.0,4.5,3,0.308,16,0.375,6,55.8,29,0.5920000000000001,16.3,12,36,0.5,18,0.731,19,"Prudential Center, Newark, New Jersey",BUTLER,Butler,66.8,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,25,True,False,True,Home,True,6,18,52,29,52,7,20,55,1,0,191,456,1466,0.5064802182810368,871,1719,0.5066899360093078,148,432,1486,0.4401076716016151,0.72
26,2020-02-23-14-seton-hall,37.5,9,3.6,1,106.6,70.0,21,0.373,71,0.33799999999999997,24,0.183,13,0.9229999999999999,12,13,200,85.5,34.8,16,18,65,,10.5,8,0.282,20,0.25,5,48.7,37,0.42100000000000004,15.4,14,51,0.373,19,0.519,14,"February 23, 2020",70.4,19,13.7,7,85.5,65.2,30,0.5539999999999999,56,0.48200000000000004,27,0.41100000000000003,23,0.826,19,7,200,106.6,30.0,9,16,81,16.0,13.2,10,0.5,28,0.28600000000000003,8,51.3,39,0.605,21.4,18,28,0.679,19,0.741,20,"Prudential Center, Newark, New Jersey",ST-JOHNS-NY,St. John's (NY),75.6,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,26,True,False,True,Home,True,8,19,56,39,76,5,19,71,1,0,197,474,1518,0.5069169960474308,900,1771,0.5081874647092038,155,452,1541,0.44419208306294616,0.7307692307692307
