,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TOWSON_homegame,TOWSON_homegame2,TOWSON_home,TOWSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-20-17-liberty,47.6,10,3.4,1,104.8,82.8,24,0.5,48,0.43799999999999994,21,0.292,14,0.429,6,6,200,85.7,17.9,5,18,54,,7.9,5,0.41700000000000004,20,0.3,6,50.9,29,0.494,18.1,12,28,0.536,15,0.455,5,"December 20, 2019",56.0,14,3.6,1,85.7,82.1,23,0.528,54,0.46299999999999997,25,0.24100000000000002,13,0.6920000000000001,9,0,200,104.8,17.2,5,14,66,,7.9,5,0.46299999999999997,25,0.28,7,49.1,28,0.5479999999999999,13.1,9,29,0.621,18,1.0,13,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",TOWSON,Towson,62.9,Home,LIBERTY,Liberty,Towson,colonial,10,False,False,False,Away,False,6,15,48,29,57,7,18,54,0,1,67,184,601,0.4733777038269551,344,657,0.5235920852359208,66,158,560,0.4589285714285714,0.5
11,2019-12-21-13-towson,40.0,10,7.1,2,116.2,65.5,19,0.561,57,0.439,25,0.491,28,0.643,18,4,225,110.8,14.3,5,22,82,,2.7,2,0.526,30,0.467,14,37.5,24,0.583,10.3,8,27,0.40700000000000003,11,0.667,8,"December 21, 2019",40.7,11,7.4,2,110.8,85.7,30,0.534,59,0.45799999999999996,27,0.441,26,0.885,23,6,225,116.2,34.5,10,22,86,,2.7,2,0.525,31,0.29,9,62.5,40,0.603,15.6,13,28,0.643,18,0.5,6,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",TULANE,Tulane,65.6,Home,TOWSON,Towson,Towson,colonial,11,True,False,True,Home,True,9,18,59,40,64,14,11,57,1,0,73,199,649,0.475346687211094,373,714,0.5224089635854342,73,176,614,0.4649837133550488,0.4545454545454545
12,2019-12-28-14-towson,40.9,9,2.6,1,66.2,91.2,31,0.47200000000000003,53,0.415,22,0.245,13,0.846,11,6,200,89.7,15.6,5,16,61,,8.8,6,0.377,20,0.3,6,54.5,36,0.515,18.1,13,33,0.485,16,0.5379999999999999,7,"December 28, 2019",47.1,8,9.1,3,89.7,84.4,27,0.35,50,0.34,17,0.3,15,0.667,10,7,200,66.2,8.8,3,14,45,,5.9,4,0.22,11,0.091,1,45.5,30,0.39399999999999996,20.9,15,39,0.41,16,0.462,6,"SECU Arena, Towson, Maryland",TOWSON,Towson,68.2,Away,NORTHEASTERN,Northeastern,Towson,colonial,12,False,True,True,Home,False,1,16,50,30,66,6,16,53,0,1,82,217,708,0.48022598870056504,413,778,0.5308483290488432,87,187,671,0.4731743666169896,0.5
13,2019-12-30-14-towson,52.0,13,4.4,2,94.4,75.0,27,0.509,57,0.439,25,0.456,26,0.654,17,4,200,105.6,16.7,6,14,75,,8.5,6,0.35100000000000003,20,0.4,8,45.8,33,0.541,8.1,6,37,0.45899999999999996,17,0.733,11,"December 30, 2019",37.0,10,10.8,4,105.6,83.3,30,0.469,64,0.42200000000000004,27,0.156,10,0.7,7,8,200,94.4,25.0,9,20,67,,4.2,3,0.297,19,0.316,6,54.2,39,0.48700000000000004,14.9,12,45,0.467,21,0.429,6,"SECU Arena, Towson, Maryland",TOWSON,Towson,70.6,Away,HOFSTRA,Hofstra,Towson,colonial,13,False,True,True,Home,False,6,21,64,39,72,8,17,57,0,1,83,233,758,0.4716358839050132,443,844,0.5248815165876777,93,203,724,0.4730662983425414,0.4615384615384616
14,2020-01-02-19-college-of-charleston,23.8,5,5.6,2,122.7,73.0,27,0.415,59,0.35600000000000004,21,0.39,23,0.87,20,9,200,104.5,29.7,11,20,69,,1.5,1,0.475,28,0.25,7,51.4,38,0.493,10.4,8,31,0.452,14,0.4,6,"January 2, 2020",40.0,10,6.5,2,104.5,70.3,26,0.483,60,0.41700000000000004,25,0.467,28,0.821,23,6,200,122.7,27.0,10,18,81,,0.0,0,0.4,24,0.33299999999999996,8,48.6,36,0.5529999999999999,2.7,2,36,0.47200000000000003,17,0.6,9,"TD Arena, Charleston, South Carolina",TOWSON,Towson,66.1,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Towson,colonial,14,False,False,False,Away,False,7,14,59,38,74,8,17,60,0,1,89,254,822,0.4714111922141119,482,916,0.5262008733624454,101,220,781,0.4756722151088349,0.42857142857142855
15,2020-01-04-19-north-carolina-wilmington,50.0,12,10.3,4,89.6,74.3,26,0.473,56,0.429,24,0.39299999999999996,22,0.636,14,9,200,100.0,41.2,14,11,67,,11.9,8,0.25,14,0.35700000000000004,5,58.0,40,0.504,18.6,15,42,0.452,19,0.43799999999999994,7,"January 4, 2020",39.1,9,16.7,7,100.0,58.8,20,0.426,61,0.377,23,0.131,8,1.0,8,12,200,89.6,25.7,9,19,60,,19.4,13,0.361,22,0.273,6,42.0,29,0.46299999999999997,14.6,11,39,0.436,17,0.294,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,67.1,Away,TOWSON,Towson,Towson,colonial,15,False,False,False,Away,True,5,19,56,40,69,6,17,61,1,0,96,268,881,0.4676503972758229,520,990,0.5252525252525253,109,237,841,0.4762187871581451,0.4
16,2020-01-09-18-towson,53.8,14,2.6,1,127.1,72.0,18,0.517,58,0.44799999999999995,26,0.259,15,0.867,13,8,200,104.3,24.1,7,15,73,,8.6,6,0.36200000000000004,21,0.381,8,46.3,25,0.56,14.6,11,37,0.486,18,0.529,9,"January 9, 2020",51.5,17,5.4,2,104.3,75.9,22,0.629,58,0.569,33,0.32799999999999996,19,0.8420000000000001,16,9,200,127.1,28.0,7,19,89,,12.9,9,0.32799999999999996,19,0.368,7,53.7,29,0.664,13.1,10,39,0.667,26,0.47100000000000003,8,"SECU Arena, Towson, Maryland",DREXEL,Drexel,69.6,Home,TOWSON,Towson,Towson,colonial,16,True,False,True,Home,True,7,26,58,29,54,8,18,58,1,0,101,287,937,0.467982924226254,560,1059,0.5288007554296507,115,254,902,0.4728381374722838,0.4375
17,2020-01-11-14-towson,50.0,12,2.8,1,121.7,64.3,18,0.491,58,0.414,24,0.259,15,0.733,11,6,200,98.6,25.0,8,20,68,,4.3,3,0.431,25,0.36,9,43.3,26,0.522,16.8,13,33,0.455,15,0.667,12,"January 11, 2020",64.3,18,12.1,4,98.6,75.0,24,0.551,59,0.475,28,0.35600000000000004,21,0.905,19,9,200,121.7,35.7,10,16,84,,13.0,9,0.39,23,0.391,9,56.7,34,0.609,10.5,8,36,0.528,19,0.5,9,"SECU Arena, Towson, Maryland",DELAWARE,Delaware,68.6,Home,TOWSON,Towson,Towson,colonial,17,True,False,True,Home,True,9,19,59,34,60,9,15,58,1,0,108,313,995,0.4773869346733669,589,1113,0.5292003593890386,123,272,960,0.4755208333333333,0.4705882352941176
18,2020-01-18-14-towson,59.1,13,5.6,2,98.6,76.7,23,0.379,70,0.314,22,0.2,14,0.5710000000000001,8,10,200,87.1,32.6,15,18,61,,7.1,5,0.429,30,0.3,9,50.0,38,0.39799999999999996,11.6,10,40,0.325,13,0.444,8,"January 18, 2020",47.8,11,5.0,2,87.1,67.4,31,0.45399999999999996,54,0.426,23,0.389,21,0.9520000000000001,20,9,200,98.6,23.3,7,14,69,,5.7,4,0.33299999999999996,18,0.16699999999999998,3,50.0,38,0.539,15.9,12,36,0.556,20,0.526,10,"SECU Arena, Towson, Maryland",JAMES-MADISON,James Madison,70.3,Home,TOWSON,Towson,Towson,colonial,18,True,False,True,Home,True,3,20,54,38,76,9,13,70,1,0,117,332,1054,0.4814990512333966,623,1173,0.5311167945439045,132,287,1018,0.4764243614931238,0.5
19,2020-01-23-19-elon,47.4,9,17.2,5,95.3,61.9,26,0.573,41,0.46299999999999997,19,0.7070000000000001,29,0.862,25,9,200,112.5,27.3,6,23,72,,6.3,4,0.46299999999999997,19,0.474,9,50.0,32,0.657,20.7,14,22,0.455,10,0.55,11,"January 23, 2020",63.2,12,4.5,1,112.5,72.7,16,0.3670000000000001,64,0.297,19,0.297,19,0.737,14,16,200,95.3,38.1,16,20,61,,9.4,6,0.547,35,0.257,9,50.0,32,0.418,10.0,8,29,0.345,10,0.23800000000000002,5,"Schar Center, Elon, North Carolina",ELON,Elon,63.9,Away,TOWSON,Towson,Towson,colonial,19,False,False,False,Away,True,9,10,41,32,64,9,10,64,1,0,120,352,1108,0.48014440433213,661,1249,0.5292233787029623,141,300,1088,0.4701286764705882,0.5263157894736842
20,2020-01-25-16-william-mary,34.6,9,13.8,4,92.1,81.5,22,0.5710000000000001,49,0.531,26,0.38799999999999996,19,0.737,14,9,200,111.1,32.0,8,16,70,,9.5,6,0.204,10,0.4,4,57.7,30,0.603,14.8,10,39,0.564,22,0.5710000000000001,12,"January 25, 2020",45.5,10,7.7,3,111.1,68.0,17,0.48,50,0.44,22,0.28,14,0.7140000000000001,10,7,200,92.1,18.5,5,19,58,,6.3,4,0.42,21,0.19,4,42.3,22,0.512,20.0,14,29,0.621,18,0.682,15,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",WILLIAM-MARY,William & Mary,62.8,Away,TOWSON,Towson,Towson,colonial,20,False,False,False,Away,True,4,22,49,30,52,4,18,50,1,0,129,362,1149,0.4834638816362054,693,1313,0.5277989337395278,150,310,1152,0.4644097222222222,0.55
21,2020-01-30-19-towson,61.9,13,8.8,3,110.0,61.3,19,0.43799999999999994,56,0.375,21,0.375,21,0.81,17,16,200,94.3,19.4,6,23,66,,8.6,6,0.429,24,0.292,7,40.3,25,0.5,14.4,11,32,0.43799999999999994,14,0.304,7,"January 30, 2020",66.7,16,6.3,2,94.3,80.6,25,0.537,54,0.444,24,0.556,30,0.633,19,9,200,110.0,38.7,12,19,77,,4.3,3,0.37,20,0.5,10,59.7,37,0.564,16.2,13,34,0.41200000000000003,14,0.591,13,"SECU Arena, Towson, Maryland",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,70.1,Home,TOWSON,Towson,Towson,colonial,21,True,False,True,Home,True,10,14,54,37,62,7,14,56,1,0,133,384,1198,0.4870617696160267,723,1365,0.5296703296703297,154,328,1202,0.4650582362728785,0.5714285714285714
22,2020-02-01-14-towson,65.2,15,8.3,3,107.7,73.3,22,0.659,44,0.523,23,0.568,25,0.84,21,9,200,121.5,15.0,3,15,79,,7.7,5,0.568,25,0.48,12,50.0,25,0.7070000000000001,16.7,11,19,0.579,11,0.609,14,"February 1, 2020",47.8,11,5.3,1,121.5,85.0,17,0.474,57,0.40399999999999997,23,0.298,17,0.941,16,10,200,107.7,26.7,8,20,70,,10.8,7,0.368,21,0.381,8,50.0,25,0.5379999999999999,12.2,9,36,0.41700000000000004,15,0.565,13,"SECU Arena, Towson, Maryland",TOWSON,Towson,65.0,Away,COLLEGE-OF-CHARLESTON,College of Charleston,Towson,colonial,22,False,True,True,Home,False,8,15,57,25,50,12,11,44,0,1,143,398,1252,0.4892172523961662,760,1427,0.5325858444288718,161,342,1258,0.4638314785373609,0.5909090909090909
23,2020-02-06-19-delaware,40.7,11,5.3,1,125.4,72.0,18,0.579,57,0.474,27,0.263,15,0.8,12,11,200,116.4,25.0,7,24,78,,7.5,5,0.456,26,0.462,12,47.2,25,0.608,14.7,11,31,0.484,15,0.542,13,"February 6, 2020",63.6,14,9.7,3,116.4,75.0,21,0.62,46,0.478,22,0.696,32,0.8440000000000001,27,7,200,125.4,28.0,7,14,84,,4.5,3,0.5870000000000001,27,0.48100000000000004,13,52.8,28,0.6859999999999999,15.5,11,19,0.474,9,0.708,17,"Bob Carpenter Center, Newark, Delaware",TOWSON,Towson,66.7,Home,DELAWARE,Delaware,Towson,colonial,23,False,False,False,Away,False,12,15,57,25,53,13,9,46,0,1,151,413,1309,0.4885408708938121,785,1477,0.5314827352742044,173,353,1302,0.4704301075268818,0.5652173913043478
24,2020-02-08-14-drexel,19.2,5,10.5,4,103.0,80.6,25,0.475,59,0.441,26,0.39,23,0.87,20,11,200,113.4,32.3,10,19,76,,4.5,3,0.153,9,0.444,4,56.5,35,0.5429999999999999,9.2,7,50,0.44,22,0.56,14,"February 8, 2020",44.4,12,4.0,2,113.4,67.7,21,0.508,60,0.45,27,0.2,12,0.667,8,12,200,103.0,19.4,6,21,69,,4.5,3,0.3670000000000001,22,0.318,7,43.5,27,0.525,10.9,8,38,0.526,20,0.52,13,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,67.3,Away,TOWSON,Towson,Towson,colonial,24,False,False,False,Away,True,4,22,59,35,62,7,20,60,1,0,163,428,1366,0.4923133235724744,810,1530,0.5294117647058824,186,362,1348,0.4755192878338279,0.5416666666666666
25,2020-02-12-19-towson,75.0,15,7.1,3,109.2,57.1,20,0.462,52,0.385,20,0.192,10,0.7,7,0,200,84.6,13.3,4,12,55,,10.8,7,0.40399999999999997,21,0.381,8,36.9,24,0.485,16.3,11,31,0.387,12,0.0,0,"February 12, 2020",44.8,13,16.1,5,84.6,86.7,26,0.5,63,0.46,29,0.19,12,0.667,8,11,200,109.2,42.9,15,15,71,,7.7,5,0.33299999999999996,21,0.23800000000000002,5,63.1,41,0.517,14.9,12,42,0.5710000000000001,24,0.5770000000000001,15,"SECU Arena, Towson, Maryland","Regent
			","Regent
			",64.7,Home,TOWSON,Towson,Towson,colonial,25,True,False,True,Home,True,5,24,63,41,65,8,12,52,1,0,167,450,1425,0.491578947368421,845,1592,0.5307788944723618,193,382,1408,0.4769176136363637,0.56
26,2020-02-15-20-james-madison,33.3,8,16.7,6,73.8,81.6,31,0.465,57,0.42100000000000004,24,0.21100000000000002,12,0.833,10,11,200,96.9,39.3,11,13,63,,7.7,5,0.263,15,0.33299999999999996,5,63.6,42,0.502,18.4,14,42,0.452,19,0.593,16,"February 15, 2020",55.0,11,4.8,2,96.9,60.7,17,0.397,58,0.345,20,0.10300000000000001,6,0.33299999999999996,2,16,200,73.8,18.4,7,16,48,,13.8,9,0.379,22,0.273,6,36.4,24,0.39399999999999996,14.2,10,36,0.389,14,0.36,9,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,64.8,Away,TOWSON,Towson,Towson,colonial,26,False,False,False,Away,True,5,19,57,42,66,6,14,58,1,0,172,474,1488,0.4919354838709678,886,1657,0.5347012673506337,201,394,1460,0.4763698630136986,0.5769230769230769
27,2020-02-20-19-towson,52.4,11,8.9,4,79.7,72.5,29,0.46299999999999997,54,0.389,21,0.278,15,0.733,11,10,200,95.3,17.6,6,13,61,,6.3,4,0.46299999999999997,25,0.32,8,47.3,35,0.499,10.4,7,29,0.44799999999999995,13,0.655,19,"February 20, 2020",58.8,10,13.8,4,95.3,82.4,28,0.32299999999999995,62,0.27399999999999997,17,0.21,13,0.846,11,12,200,79.7,27.5,11,17,51,,4.7,3,0.27399999999999997,17,0.353,6,52.7,39,0.374,10.6,8,45,0.244,11,0.5710000000000001,16,"SECU Arena, Towson, Maryland",TOWSON,Towson,63.7,Away,WILLIAM-MARY,William & Mary,Towson,colonial,27,False,True,True,Home,False,6,11,62,39,74,8,13,54,0,1,177,493,1545,0.4909385113268608,928,1723,0.538595473012188,207,408,1518,0.4733201581027668,0.5925925925925926
