,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WAKE-FOREST_homegame,WAKE-FOREST_homegame2,WAKE-FOREST_home,WAKE-FOREST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-16-wake-forest,29.6,8,7.7,3,103.9,89.7,26,0.44799999999999995,67,0.40299999999999997,27,0.40299999999999997,27,0.667,18,2,200,101.3,27.5,11,24,78,23.0,5.2,4,0.32799999999999996,22,0.273,6,53.6,37,0.489,9.2,8,45,0.467,21,0.818,9,"December 14, 2019",42.3,11,6.7,3,101.3,72.5,29,0.536,55,0.473,26,0.491,27,0.778,21,5,200,103.9,10.3,3,22,80,,7.8,6,0.29100000000000004,16,0.43799999999999994,7,46.4,32,0.59,16.3,13,39,0.48700000000000004,19,0.545,6,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",XAVIER,Xavier,77.3,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,10,True,False,True,Home,True,7,19,55,32,69,6,21,67,1,0,58,190,590,0.4694915254237288,369,688,0.5363372093023255,65,196,595,0.4932773109243698,0.5
11,2019-12-21-12-wake-forest,50.0,12,8.1,3,101.3,65.7,23,0.509,55,0.436,24,0.327,18,0.444,8,10,200,85.3,26.5,9,23,64,,10.7,8,0.309,17,0.47100000000000003,8,46.4,32,0.504,24.1,20,38,0.42100000000000004,16,0.231,3,"December 21, 2019",57.7,15,7.9,3,85.3,73.5,25,0.467,61,0.426,26,0.44299999999999995,27,0.7040000000000001,19,5,200,101.3,34.3,12,18,76,,14.7,11,0.39299999999999996,24,0.20800000000000002,5,53.6,37,0.515,16.1,14,37,0.568,21,0.583,7,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,75.2,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,11,True,False,True,Home,True,5,21,61,37,69,8,16,55,1,0,65,209,645,0.4751937984496124,401,757,0.5297225891677675,71,217,662,0.4886706948640484,0.5454545454545454
12,2020-01-04-12-pittsburgh,71.4,15,7.9,3,100.0,75.0,27,0.5670000000000001,45,0.467,21,0.556,25,0.72,18,5,200,106.2,18.5,5,15,69,,4.6,3,0.511,23,0.391,9,50.8,32,0.607,20.0,14,22,0.545,12,0.615,8,"January 4, 2020",60.9,14,9.1,2,106.2,81.5,22,0.449,59,0.39,23,0.271,16,0.75,12,4,200,100.0,25.0,9,19,65,,9.2,6,0.35600000000000004,21,0.33299999999999996,7,49.2,31,0.488,9.6,7,38,0.42100000000000004,16,0.7140000000000001,10,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,65.2,Away,WAKE-FOREST,Wake Forest,Wake Forest,acc,12,False,False,False,Away,True,9,12,45,32,63,7,16,59,1,0,70,230,706,0.4745042492917847,438,826,0.5302663438256658,79,233,717,0.4902370990237099,0.5833333333333334
13,2020-01-08-19-wake-forest,37.0,10,16.7,5,94.4,73.1,19,0.484,62,0.435,27,0.387,24,0.75,18,2,200,108.3,33.3,11,22,78,10.0,13.9,10,0.371,23,0.261,6,50.8,30,0.531,12.1,10,39,0.5379999999999999,21,0.875,14,"January 8, 2020",36.8,7,5.1,2,108.3,66.7,22,0.45799999999999996,48,0.396,19,0.667,32,0.75,24,6,200,94.4,26.9,7,22,68,,1.4,1,0.375,18,0.33299999999999996,6,49.2,29,0.5379999999999999,20.5,16,30,0.433,13,0.5710000000000001,8,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,72.3,Away,FLORIDA-STATE,Florida State,Wake Forest,acc,13,False,True,True,Home,False,6,13,48,29,59,6,21,62,0,1,79,242,751,0.4800266311584554,470,889,0.5286839145106862,86,249,776,0.4871134020618557,0.6153846153846154
14,2020-01-11-20-duke,34.8,8,0.0,0,126.8,61.8,21,0.455,55,0.418,23,0.29100000000000004,16,0.563,9,7,200,83.1,25.0,7,18,59,,8.5,6,0.23600000000000002,13,0.308,4,45.2,28,0.47100000000000003,20.5,16,42,0.452,19,0.5329999999999999,8,"January 11, 2020",60.6,20,19.0,8,83.1,75.0,21,0.621,62,0.532,33,0.40299999999999997,25,0.52,13,1,200,126.8,38.2,13,16,90,2.0,15.5,11,0.371,23,0.478,11,54.8,34,0.609,11.0,9,39,0.564,22,0.938,15,"Cameron Indoor Stadium, Durham, North Carolina",WAKE-FOREST,Wake Forest,70.7,Home,DUKE,Duke,Wake Forest,acc,14,False,False,False,Away,False,4,19,55,28,62,11,22,62,0,1,85,255,799,0.4787234042553192,499,948,0.5263713080168776,92,270,838,0.486873508353222,0.5714285714285714
15,2020-01-14-21-wake-forest,48.1,13,11.4,4,93.3,81.8,27,0.573,55,0.491,27,0.527,29,0.586,17,4,200,106.7,14.7,5,24,80,,14.7,11,0.455,25,0.36,9,47.8,32,0.5820000000000001,10.6,8,30,0.6,18,0.765,13,"January 14, 2020",43.5,10,10.0,3,106.7,85.3,29,0.48200000000000004,55,0.418,23,0.418,23,0.7390000000000001,17,8,200,93.3,18.2,6,27,70,,1.3,1,0.364,20,0.35,7,52.2,35,0.531,21.7,18,35,0.457,16,0.5,8,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,74.9,Away,VIRGINIA-TECH,Virginia Tech,Wake Forest,acc,15,False,True,True,Home,False,7,16,55,35,67,9,18,55,0,1,89,274,854,0.4771662763466042,527,1010,0.5217821782178218,103,292,900,0.4961111111111111,0.5333333333333333
16,2020-01-19-18-wake-forest,41.7,10,6.5,2,111.1,66.7,18,0.429,63,0.381,24,0.23800000000000002,15,0.5329999999999999,8,9,200,86.1,18.4,7,22,62,,9.7,7,0.46,29,0.207,6,38.5,25,0.442,10.3,8,34,0.529,18,0.5,9,"January 19, 2020",61.5,16,5.9,2,86.1,81.6,31,0.574,54,0.48100000000000004,26,0.5,27,0.667,18,8,200,111.1,33.3,9,17,80,,0.0,0,0.426,23,0.435,10,61.5,40,0.599,19.5,16,31,0.516,16,0.529,9,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",BOSTON-COLLEGE,Boston College,72.5,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,16,True,False,True,Home,True,10,16,54,40,65,6,18,63,1,0,96,290,909,0.4774477447744774,562,1077,0.5218198700092851,112,310,955,0.5005235602094241,0.5
17,2020-01-21-20-clemson,24.0,6,3.2,1,109.2,82.9,29,0.5,57,0.439,25,0.263,15,0.733,11,9,200,104.6,16.7,5,18,68,,7.7,5,0.526,30,0.233,7,52.3,34,0.53,9.9,7,27,0.667,18,0.5,9,"January 21, 2020",53.6,15,11.1,3,104.6,83.3,25,0.5710000000000001,56,0.5,28,0.321,18,0.389,7,8,200,109.2,17.1,6,17,71,,7.7,5,0.446,25,0.32,8,47.7,31,0.55,8.6,6,31,0.645,20,0.556,10,"Littlejohn Coliseum, Clemson, South Carolina",WAKE-FOREST,Wake Forest,65.3,Home,CLEMSON,Clemson,Wake Forest,acc,17,False,False,False,Away,False,7,18,57,34,65,8,20,56,0,1,106,306,963,0.4828660436137072,602,1142,0.5271453590192644,118,328,1018,0.4960707269155206,0.5294117647058824
18,2020-01-26-12-wake-forest,52.2,12,8.6,3,92.6,64.9,24,0.429,63,0.365,23,0.302,19,0.579,11,6,225,95.6,38.1,16,19,65,,11.8,8,0.47600000000000003,30,0.267,8,50.6,40,0.451,15.4,13,33,0.455,15,0.684,13,"January 26, 2020",47.1,8,6.1,2,95.6,61.9,26,0.389,54,0.315,17,0.444,24,0.875,21,10,225,92.6,35.1,13,17,63,,11.8,8,0.35200000000000004,19,0.42100000000000004,8,49.4,39,0.48200000000000004,18.9,15,35,0.257,9,0.474,9,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,60.6,Away,VIRGINIA,Virginia,Wake Forest,acc,18,False,True,True,Home,False,8,9,54,39,79,8,15,63,0,1,113,324,1020,0.4838235294117647,636,1207,0.5269262634631318,126,348,1074,0.5,0.5
19,2020-01-29-19-notre-dame,48.3,14,5.0,2,121.6,69.4,25,0.525,60,0.483,29,0.35,21,0.81,17,11,200,108.1,25.8,8,23,80,,5.4,4,0.233,14,0.35700000000000004,5,49.3,33,0.5720000000000001,15.8,13,46,0.522,24,0.45,9,"January 29, 2020",51.7,15,0.0,0,108.1,74.2,23,0.515,66,0.439,29,0.379,25,0.88,22,8,200,121.6,30.6,11,17,90,,8.1,6,0.39399999999999996,26,0.385,10,50.7,34,0.578,8.3,7,40,0.475,19,0.6,12,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",WAKE-FOREST,Wake Forest,74.4,Home,NOTRE-DAME,Notre Dame,Wake Forest,acc,19,False,False,False,Away,False,5,24,60,33,67,10,19,66,0,1,121,333,1074,0.4790502793296089,675,1286,0.5248833592534993,134,363,1137,0.4960422163588391,0.4736842105263158
20,2020-02-01-20-wake-forest,44.4,8,3.3,1,84.8,71.4,25,0.33899999999999997,59,0.305,18,0.102,6,0.667,4,10,200,66.7,20.5,8,18,44,,10.6,7,0.35600000000000004,21,0.19,4,44.6,33,0.35600000000000004,18.5,14,38,0.368,14,0.524,11,"February 1, 2020",63.2,12,5.3,2,66.7,79.5,31,0.409,55,0.345,19,0.29100000000000004,16,0.688,11,11,200,84.8,28.6,10,13,56,,10.6,7,0.455,25,0.28,7,55.4,41,0.447,16.2,12,30,0.4,12,0.47600000000000003,10,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",CLEMSON,Clemson,66.2,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,20,True,False,True,Home,True,7,12,55,41,74,4,14,59,1,0,126,357,1134,0.4814814814814815,708,1353,0.5232815964523282,144,382,1203,0.4970906068162926,0.45
21,2020-02-05-21-louisville,55.6,15,4.5,1,122.9,75.9,22,0.517,60,0.45,27,0.317,19,0.737,14,12,200,108.6,26.5,9,22,76,,8.6,6,0.41700000000000004,25,0.32,8,49.2,31,0.551,13.9,11,35,0.5429999999999999,19,0.455,10,"February 5, 2020",70.8,17,8.6,3,108.6,73.5,25,0.62,50,0.48,24,0.62,31,0.774,24,3,200,122.9,24.1,7,20,86,5.0,5.7,4,0.56,28,0.5,14,50.8,32,0.664,14.7,11,22,0.455,10,0.87,20,"KFC Yum! Center, Louisville, Kentucky",WAKE-FOREST,Wake Forest,69.9,Home,LOUISVILLE,Louisville,Wake Forest,acc,21,False,False,False,Away,False,8,19,60,31,63,14,10,50,0,1,133,369,1189,0.4781328847771236,749,1427,0.5248773651016118,148,396,1262,0.4896988906497623,0.4761904761904762
22,2020-02-08-20-syracuse,65.2,15,8.6,3,98.7,78.8,26,0.426,61,0.377,23,0.44299999999999995,27,0.778,21,13,200,96.1,34.4,11,23,73,,7.9,6,0.44299999999999995,27,0.222,6,56.9,37,0.494,17.1,15,34,0.5,17,0.435,10,"February 8, 2020",50.0,11,26.5,9,96.1,65.6,21,0.455,56,0.39299999999999996,22,0.536,30,0.8,24,9,200,98.7,21.2,7,20,75,,10.5,8,0.375,21,0.33299999999999996,7,43.1,28,0.534,13.7,11,35,0.429,15,0.609,14,"Carrier Dome, Syracuse, New York",WAKE-FOREST,Wake Forest,76.0,Home,SYRACUSE,Syracuse,Wake Forest,acc,22,False,False,False,Away,False,6,17,61,37,65,7,15,56,0,1,141,388,1249,0.4799839871897518,780,1490,0.5234899328859061,162,406,1312,0.4946646341463415,0.4545454545454545
23,2020-02-11-20-wake-forest,42.9,9,9.7,3,105.7,74.2,23,0.341,63,0.33299999999999996,21,0.254,16,0.875,14,14,200,81.4,34.2,13,23,57,,11.4,8,0.254,16,0.063,1,52.2,36,0.40399999999999997,16.7,14,47,0.426,20,0.41700000000000004,10,"February 11, 2020",60.9,14,10.6,5,81.4,65.8,25,0.509,54,0.426,23,0.40700000000000003,22,0.8640000000000001,19,13,200,105.7,25.8,8,16,74,,8.6,6,0.426,23,0.391,9,47.8,33,0.574,15.9,12,31,0.452,14,0.45799999999999996,11,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA,UNC,70.0,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,23,True,False,True,Home,True,9,14,54,33,69,1,20,63,1,0,147,405,1310,0.4774809160305343,817,1555,0.5254019292604502,169,421,1368,0.4930555555555556,0.43478260869565216
24,2020-02-15-14-miami-fl,42.9,9,12.2,5,100.0,77.5,31,0.444,54,0.389,21,0.24100000000000002,13,0.462,6,14,200,76.1,11.1,4,21,54,,2.8,2,0.29600000000000004,16,0.375,6,46.1,35,0.449,19.0,14,38,0.395,15,0.44,11,"February 15, 2020",44.0,11,5.3,2,76.1,88.9,32,0.46799999999999997,62,0.40299999999999997,25,0.33899999999999997,21,0.619,13,12,200,100.0,22.5,9,14,71,,8.5,6,0.33899999999999997,21,0.381,8,53.9,41,0.493,10.1,8,41,0.415,17,0.52,13,"BankUnited Center, Coral Gables, Florida",WAKE-FOREST,Wake Forest,70.6,Home,MIAMI-FL,Miami (FL),Wake Forest,acc,24,False,False,False,Away,False,6,15,54,35,76,8,17,62,0,1,156,419,1364,0.4787390029325514,850,1624,0.5233990147783252,170,441,1431,0.4863731656184486,0.4583333333333333
25,2020-02-19-19-wake-forest,50.0,13,8.6,3,105.3,84.4,27,0.57,50,0.52,26,0.78,39,0.7440000000000001,29,13,200,114.7,18.5,5,25,86,,5.3,4,0.28,14,0.35700000000000004,5,54.2,32,0.628,15.2,12,36,0.583,21,0.5,13,"February 19, 2020",28.0,7,11.1,4,114.7,81.5,22,0.539,51,0.49,25,0.647,33,0.727,24,15,200,105.3,15.6,5,26,79,,5.3,4,0.314,16,0.313,5,45.8,27,0.5920000000000001,15.5,12,35,0.5710000000000001,20,0.423,11,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,74.6,Away,GEORGIA-TECH,Georgia Tech,Wake Forest,acc,25,False,True,True,Home,False,5,20,51,27,59,5,21,50,0,1,162,434,1418,0.4774330042313117,885,1700,0.5205882352941177,178,458,1493,0.4855994641661085,0.44
26,2020-02-25-19-wake-forest,46.9,15,10.5,6,116.5,77.1,27,0.467,75,0.4270000000000001,32,0.45299999999999996,34,0.912,31,5,250,104.1,24.3,9,34,101,7.0,7.2,7,0.307,23,0.261,6,50.0,36,0.5539999999999999,15.1,16,52,0.5,26,0.821,23,"February 25, 2020",40.0,14,7.7,4,104.1,75.7,28,0.5589999999999999,68,0.515,35,0.735,50,0.74,37,15,250,116.5,22.9,8,25,113,,9.3,9,0.162,11,0.545,6,50.0,36,0.616,11.8,12,57,0.509,29,0.444,12,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",DUKE,Duke,77.6,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,26,True,False,True,Home,True,6,29,68,36,72,6,26,75,1,0,167,454,1469,0.4795779441797141,912,1759,0.5184764070494601,183,479,1543,0.4883344134802333,0.4230769230769231
