,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-TECH_homegame,GEORGIA-TECH_homegame2,GEORGIA-TECH_home,GEORGIA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-23-19-georgia-tech,38.5,10,5.1,2,89.4,80.6,25,0.483,58,0.44799999999999995,26,0.32799999999999996,19,0.737,14,3,200,106.1,50.0,16,17,70,,1.5,1,0.259,15,0.267,4,65.1,41,0.522,18.4,15,43,0.512,22,0.75,9,"December 23, 2019",35.0,7,4.7,2,106.1,50.0,16,0.39799999999999996,54,0.37,20,0.40700000000000003,22,0.727,16,6,200,89.4,19.4,6,19,59,,9.1,6,0.278,15,0.2,3,34.9,22,0.45799999999999996,11.2,8,39,0.436,17,0.455,5,"Stan Sheriff Center, Honolulu, Hawaii",GEORGIA-TECH,Georgia Tech,66.2,Away,HOUSTON,Houston,Georgia Tech,acc,10,False,True,True,Home,False,3,17,54,22,63,4,22,58,0,1,52,198,575,0.48,351,689,0.5094339622641509,67,169,619,0.4353796445880452,0.5
11,2019-12-25-18-hawaii,36.0,9,3.4,1,76.8,82.1,23,0.52,50,0.5,25,0.46,23,0.7829999999999999,18,6,200,101.4,19.2,5,22,70,,17.4,12,0.2,10,0.2,2,51.9,28,0.574,17.8,13,40,0.575,23,0.5,6,"December 25, 2019",31.3,5,2.5,1,101.4,80.8,21,0.375,44,0.364,16,0.591,26,0.769,20,5,200,76.8,17.9,5,19,53,,8.7,6,0.341,15,0.067,1,48.1,26,0.47,24.5,18,29,0.517,15,0.615,8,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,69.1,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,11,False,False,False,Away,True,2,23,50,28,54,1,15,44,1,0,55,215,629,0.472972972972973,373,752,0.4960106382978723,71,191,677,0.4394387001477105,0.4545454545454545
12,2019-12-31-12-florida-state,68.2,15,6.5,3,95.9,69.0,20,0.473,55,0.4,22,0.145,8,0.75,6,7,200,79.5,15.4,4,11,58,,9.6,7,0.4,22,0.364,8,43.6,24,0.493,25.5,20,33,0.424,14,0.462,6,"December 31, 2019",55.2,16,27.3,9,79.5,84.6,22,0.508,63,0.46,29,0.14300000000000002,9,0.667,6,2,200,95.9,31.0,9,12,70,18.0,15.1,11,0.27,17,0.353,6,56.4,31,0.52,15.2,12,46,0.5,23,0.857,12,"Donald L. Tucker Center, Tallahassee, Florida",GEORGIA-TECH,Georgia Tech,72.5,Home,FLORIDA-STATE,Florida State,Georgia Tech,acc,12,False,False,False,Away,False,8,14,55,24,55,6,23,63,0,1,57,238,679,0.4764359351988218,401,806,0.4975186104218362,72,206,721,0.435506241331484,0.5
13,2020-01-04-18-north-carolina,52.8,19,8.2,4,109.2,56.3,18,0.639,61,0.59,36,0.39299999999999996,24,0.75,18,7,200,126.3,50.0,11,21,96,,14.5,11,0.23,14,0.429,6,53.7,29,0.6629999999999999,15.4,13,47,0.638,30,0.5,7,"January 4, 2020",63.0,17,4.3,2,126.3,50.0,11,0.47600000000000003,63,0.429,27,0.429,27,0.852,23,6,200,109.2,43.8,14,20,83,,11.8,9,0.222,14,0.429,6,46.3,25,0.547,16.7,15,49,0.429,21,0.5710000000000001,8,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,75.6,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,13,False,False,False,Away,True,6,30,61,29,54,6,21,63,1,0,65,252,734,0.476158038147139,425,861,0.4936120789779326,78,229,784,0.4413265306122449,0.4615384615384616
14,2020-01-08-21-georgia-tech,46.4,13,14.6,7,88.9,60.6,20,0.574,54,0.519,28,0.389,21,0.524,11,1,200,101.4,24.1,7,17,73,2.0,11.1,8,0.222,12,0.5,6,43.5,27,0.5710000000000001,17.1,13,42,0.524,22,0.9329999999999999,14,"January 8, 2020",56.5,13,16.7,7,101.4,75.9,22,0.39799999999999996,64,0.359,23,0.23399999999999999,15,0.867,13,8,200,88.9,39.4,13,18,64,,11.1,8,0.25,16,0.313,5,56.5,35,0.45,17.5,15,48,0.375,18,0.467,7,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,71.6,Away,DUKE,Duke,Georgia Tech,acc,14,False,True,True,Home,False,5,18,64,35,62,6,22,54,0,1,71,282,795,0.4886792452830189,454,915,0.4961748633879781,84,250,847,0.44391971664698937,0.5
15,2020-01-11-18-boston-college,66.7,18,12.8,5,77.6,71.4,30,0.547,53,0.509,27,0.34,18,0.722,13,8,200,106.0,27.6,8,18,71,,6.0,4,0.226,12,0.33299999999999996,4,53.5,38,0.5770000000000001,18.7,14,41,0.561,23,0.5,8,"January 11, 2020",47.1,8,7.3,3,106.0,72.4,21,0.325,57,0.298,17,0.386,22,0.682,15,7,200,77.6,28.6,12,14,52,,13.4,9,0.316,18,0.16699999999999998,3,46.5,33,0.385,13.0,10,39,0.359,14,0.562,9,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,66.5,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,15,False,False,False,Away,True,4,23,53,38,71,3,14,57,1,0,76,300,859,0.4819557625145518,489,977,0.5005117707267144,90,272,901,0.4517203107658158,0.4666666666666667
16,2020-01-15-20-georgia-tech,32.1,9,7.0,3,101.4,81.5,22,0.4920000000000001,65,0.431,28,0.292,19,0.737,14,6,200,106.8,25.0,9,18,78,,8.2,6,0.4,26,0.308,8,49.2,31,0.527,9.8,8,39,0.513,20,0.647,11,"January 15, 2020",50.0,15,5.1,2,106.8,75.0,27,0.552,58,0.517,30,0.259,15,0.667,10,9,200,101.4,18.5,5,17,74,,5.5,4,0.259,15,0.267,4,50.8,32,0.568,15.7,12,43,0.605,26,0.47100000000000003,8,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,72.6,Away,NOTRE-DAME,Notre Dame,Georgia Tech,acc,16,False,True,True,Home,False,4,26,58,32,63,8,20,65,0,1,80,323,912,0.4857456140350877,527,1048,0.5028625954198473,93,286,958,0.4441544885177453,0.5
17,2020-01-18-20-georgia-tech,68.0,17,25.0,9,92.1,69.6,16,0.519,53,0.47200000000000003,25,0.302,16,0.5,8,5,200,100.0,30.3,10,13,63,,12.7,8,0.302,16,0.313,5,46.4,26,0.52,15.5,11,37,0.541,20,0.706,12,"January 18, 2020",64.0,16,2.7,1,100.0,69.7,23,0.55,50,0.5,25,0.18,9,0.33299999999999996,3,10,200,92.1,30.4,7,19,58,,14.3,9,0.28,14,0.35700000000000004,5,53.6,30,0.534,25.0,18,36,0.556,20,0.444,8,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,63.4,Away,VIRGINIA,Virginia,Georgia Tech,acc,17,False,True,True,Home,False,5,20,50,30,56,5,20,53,0,1,84,349,970,0.4896907216494845,559,1111,0.5031503150315032,101,306,1023,0.4472140762463343,0.4705882352941176
18,2020-01-22-19-louisville,50.0,11,10.5,4,103.0,63.9,23,0.51,48,0.45799999999999996,22,0.41700000000000004,20,0.75,15,11,200,97.0,28.0,7,18,64,,6.1,4,0.354,17,0.294,5,49.2,30,0.557,22.0,16,31,0.5479999999999999,17,0.42100000000000004,8,"January 22, 2020",50.0,12,9.7,3,97.0,72.0,18,0.466,58,0.414,24,0.397,23,0.609,14,3,200,103.0,36.1,13,17,68,6.0,13.6,9,0.345,20,0.3,6,50.8,31,0.493,12.8,10,38,0.474,18,0.8420000000000001,16,"KFC Yum! Center, Louisville, Kentucky",GEORGIA-TECH,Georgia Tech,66.2,Home,LOUISVILLE,Louisville,Georgia Tech,acc,18,False,False,False,Away,False,5,17,48,30,61,6,18,58,0,1,89,369,1020,0.4926470588235294,589,1167,0.50471293916024,106,326,1076,0.4507434944237918,0.4444444444444444
19,2020-01-25-16-georgia-tech,59.1,13,0.0,0,92.8,80.0,24,0.42100000000000004,57,0.386,22,0.228,13,0.769,10,6,200,84.1,21.9,7,19,58,,11.6,8,0.316,18,0.222,4,50.0,31,0.45899999999999996,17.2,13,39,0.462,18,0.7,14,"January 25, 2020",47.8,11,12.8,5,84.1,78.1,25,0.47200000000000003,53,0.434,23,0.396,21,0.667,14,11,200,92.8,20.0,6,16,64,,15.9,11,0.302,16,0.25,4,50.0,31,0.508,16.2,12,37,0.514,19,0.45,9,"McCamish Pavilion, Atlanta, Georgia",NORTH-CAROLINA-STATE,NC State,69.1,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,19,True,False,True,Home,True,4,19,53,31,62,4,18,57,1,0,94,386,1068,0.4934456928838951,619,1228,0.504071661237785,112,344,1134,0.4514991181657848,0.42105263157894735
20,2020-01-28-19-georgia-tech,47.6,10,16.3,7,109.3,63.9,23,0.4270000000000001,55,0.382,21,0.23600000000000002,13,0.5379999999999999,7,0,200,72.0,17.1,6,18,54,,8.0,6,0.273,15,0.33299999999999996,5,40.8,29,0.441,23.8,19,40,0.4,16,0.0,0,"January 28, 2020",80.0,24,15.0,6,72.0,82.9,29,0.507,67,0.44799999999999995,30,0.254,17,0.8240000000000001,14,11,200,109.3,36.1,13,16,82,,12.0,9,0.358,24,0.33299999999999996,8,59.2,42,0.546,14.9,13,43,0.512,22,0.47600000000000003,10,"McCamish Pavilion, Atlanta, Georgia","Morehouse
			","Morehouse
			",74.6,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,20,True,False,True,Home,True,8,22,67,42,71,5,16,55,1,0,98,405,1121,0.4924174843889385,650,1290,0.5038759689922481,116,362,1191,0.4500419815281276,0.45
21,2020-02-01-12-notre-dame,30.0,9,14.8,4,119.4,77.8,21,0.4320000000000001,74,0.405,30,0.162,12,0.667,8,12,200,107.5,45.0,18,22,72,,7.5,5,0.243,18,0.222,4,58.2,39,0.452,5.9,5,56,0.46399999999999997,26,0.455,10,"February 1, 2020",54.2,13,3.6,2,107.5,55.0,22,0.5589999999999999,51,0.47100000000000003,24,0.5489999999999999,28,0.821,23,8,200,119.4,22.2,6,9,80,,3.0,2,0.47100000000000003,24,0.375,9,41.8,28,0.622,11.2,8,27,0.556,15,0.619,13,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",GEORGIA-TECH,Georgia Tech,66.5,Home,NOTRE-DAME,Notre Dame,Georgia Tech,acc,21,False,False,False,Away,False,4,26,74,39,67,9,15,51,0,1,106,427,1188,0.4932659932659933,692,1361,0.5084496693607642,121,378,1246,0.44903691813804175,0.4761904761904762
22,2020-02-04-19-georgia-tech,57.1,12,8.1,3,115.2,71.4,20,0.418,55,0.382,21,0.327,18,0.611,11,9,200,86.4,20.6,7,17,57,,6.1,4,0.418,23,0.174,4,43.5,27,0.44799999999999995,11.3,8,32,0.531,17,0.609,14,"February 4, 2020",51.7,15,9.4,3,86.4,79.4,27,0.6,55,0.527,29,0.382,21,0.47600000000000003,10,12,200,115.2,28.6,8,18,76,,6.1,4,0.327,18,0.444,8,56.5,35,0.585,13.5,10,37,0.568,21,0.478,11,"McCamish Pavilion, Atlanta, Georgia",VIRGINIA-TECH,Virginia Tech,65.8,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,22,True,False,True,Home,True,8,21,55,35,62,4,17,55,1,0,110,453,1262,0.4896988906497623,731,1428,0.5119047619047619,130,393,1297,0.4533538936006168,0.4545454545454545
23,2020-02-08-14-pittsburgh,75.0,18,12.2,5,107.4,65.7,23,0.54,50,0.48,24,0.3,15,0.667,10,13,200,94.1,32.0,8,25,64,,1.5,1,0.32,16,0.375,6,51.7,31,0.56,28.0,22,34,0.529,18,0.45799999999999996,11,"February 8, 2020",66.7,16,11.8,4,94.1,68.0,17,0.465,57,0.42100000000000004,24,0.474,27,0.741,20,9,200,107.4,34.3,12,16,73,,17.6,12,0.281,16,0.313,5,48.3,29,0.523,10.4,8,41,0.46299999999999997,19,0.625,15,"Petersen Events Center, Pittsburgh, Pennsylvania",GEORGIA-TECH,Georgia Tech,68.5,Home,PITTSBURGH,Pitt,Georgia Tech,acc,23,False,False,False,Away,False,6,18,50,31,60,5,19,57,0,1,118,474,1317,0.4943052391799545,766,1490,0.5140939597315436,134,410,1352,0.4519230769230769,0.4782608695652174
24,2020-02-12-20-georgia-tech,52.6,10,12.5,4,88.9,81.5,22,0.366,56,0.33899999999999997,19,0.429,24,0.708,17,4,200,80.6,36.4,12,27,58,5.0,9.7,7,0.429,24,0.125,3,56.7,34,0.43,19.4,16,32,0.5,16,0.84,21,"February 12, 2020",60.0,12,12.5,4,80.6,63.6,21,0.478,46,0.435,20,0.609,28,0.7140000000000001,20,13,200,88.9,18.5,5,22,64,,12.5,9,0.304,14,0.28600000000000003,4,43.3,26,0.54,23.6,18,32,0.5,16,0.48,12,"McCamish Pavilion, Atlanta, Georgia",LOUISVILLE,Louisville,71.9,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,24,True,False,True,Home,True,4,16,46,26,60,3,16,56,1,0,124,492,1367,0.4959765910753475,797,1550,0.5141935483870967,139,429,1409,0.4524485450674237,0.4583333333333333
25,2020-02-19-19-wake-forest,50.0,13,8.6,3,105.3,84.4,27,0.57,50,0.52,26,0.78,39,0.7440000000000001,29,13,200,114.7,18.5,5,25,86,,5.3,4,0.28,14,0.35700000000000004,5,54.2,32,0.628,15.2,12,36,0.583,21,0.5,13,"February 19, 2020",28.0,7,11.1,4,114.7,81.5,22,0.539,51,0.49,25,0.647,33,0.727,24,15,200,105.3,15.6,5,26,79,,5.3,4,0.314,16,0.313,5,45.8,27,0.5920000000000001,15.5,12,35,0.5710000000000001,20,0.423,11,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,74.6,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,25,False,False,False,Away,True,5,21,50,32,59,5,20,51,1,0,128,508,1413,0.4953998584571833,823,1610,0.5111801242236025,142,445,1465,0.4491467576791809,0.48
26,2020-02-22-16-syracuse,75.0,18,0.0,0,105.3,87.5,21,0.519,52,0.462,24,0.5,26,0.6920000000000001,18,14,200,96.0,23.3,7,26,72,,5.3,4,0.28800000000000003,15,0.4,6,51.9,28,0.5589999999999999,20.1,16,37,0.486,18,0.48100000000000004,13,"February 22, 2020",52.2,12,8.1,3,96.0,76.7,23,0.5,51,0.451,23,0.706,36,0.778,28,12,200,105.3,12.5,3,20,79,,8.0,6,0.275,14,0.35700000000000004,5,48.1,26,0.58,15.2,12,37,0.486,18,0.556,15,"Carrier Dome, Syracuse, New York",GEORGIA-TECH,Georgia Tech,75.2,Home,SYRACUSE,Syracuse,Georgia Tech,acc,26,False,False,False,Away,False,6,18,52,28,54,5,18,51,0,1,133,529,1463,0.4979494190020506,855,1669,0.5122828040742959,147,465,1516,0.4521767810026385,0.5
