,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WEST-VIRGINIA_homegame,WEST-VIRGINIA_homegame2,WEST-VIRGINIA_home,WEST-VIRGINIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-13-youngstown-state,50.0,15,6.5,2,90.1,64.9,24,0.508,64,0.469,30,0.313,20,0.5,10,1,200,105.6,36.1,13,20,75,25.0,16.9,12,0.266,17,0.294,5,50.7,37,0.51,14.2,12,47,0.532,25,0.909,10,"December 21, 2019",50.0,10,2.1,1,105.6,63.9,23,0.4270000000000001,55,0.364,20,0.436,24,0.708,17,6,200,90.1,35.1,13,22,64,,11.3,8,0.436,24,0.292,7,49.3,36,0.48200000000000004,19.6,16,31,0.419,13,0.5379999999999999,7,"Covelli Centre, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,71.0,Away,WEST-VIRGINIA,West Virginia,West Virginia,big-12,10,False,False,False,Away,True,5,25,64,37,73,7,13,55,1,0,55,212,611,0.4819967266775778,409,721,0.5672676837725381,49,165,591,0.4035532994923858,0.9
11,2019-12-29-12-ohio-state,36.4,8,20.8,5,80.8,67.6,23,0.48100000000000004,54,0.40700000000000003,22,0.46299999999999997,25,0.6,15,1,200,91.8,20.6,7,24,67,22.0,9.6,7,0.37,20,0.4,8,44.1,30,0.509,19.8,16,34,0.41200000000000003,14,0.917,11,"December 29, 2019",66.7,10,5.9,2,91.8,79.4,27,0.396,48,0.313,15,0.604,29,0.7240000000000001,21,2,200,80.8,32.4,11,25,59,2.0,8.2,6,0.5,24,0.33299999999999996,8,55.9,38,0.478,25.7,21,24,0.292,7,0.846,11,"Quicken Loans Arena, Cleveland, Ohio",OHIO-STATE,Ohio State,73.3,Away,WEST-VIRGINIA,West Virginia,West Virginia,big-12,11,False,False,False,Away,True,8,14,54,30,68,8,7,48,1,0,60,237,675,0.4844444444444445,446,794,0.5617128463476071,56,178,646,0.4055727554179567,0.9090909090909092
12,2020-01-04-16-kansas,36.8,7,13.3,4,89.6,74.2,23,0.34700000000000003,59,0.322,19,0.373,22,0.545,12,2,200,79.1,48.6,18,18,53,16.0,7.5,5,0.237,14,0.214,3,60.3,41,0.382,18.9,16,45,0.35600000000000004,16,0.846,11,"January 4, 2020",57.9,11,15.6,7,79.1,51.4,19,0.436,47,0.40399999999999997,19,0.638,30,0.633,19,2,200,89.6,25.8,8,19,60,3.0,14.9,10,0.36200000000000004,17,0.17600000000000002,3,39.7,27,0.49,17.8,13,30,0.5329999999999999,16,0.846,11,"Allen Fieldhouse, Lawrence, Kansas",WEST-VIRGINIA,West Virginia,66.9,Home,KANSAS,Kansas,West Virginia,big-12,12,False,False,False,Away,False,3,16,59,41,68,3,16,47,0,1,68,251,729,0.4842249657064472,476,862,0.5522041763341067,64,185,694,0.4048991354466859,0.9166666666666666
13,2020-01-06-21-oklahoma-state,42.1,8,3.6,1,60.3,74.4,29,0.449,49,0.38799999999999996,19,0.408,20,0.55,11,2,200,80.9,27.6,8,20,55,17.0,13.2,9,0.49,24,0.25,6,54.4,37,0.47,24.7,19,25,0.52,13,0.857,12,"January 6, 2020",21.4,3,12.0,3,80.9,72.4,21,0.302,48,0.292,14,0.41700000000000004,20,0.6,12,5,200,60.3,25.6,10,18,41,,14.7,10,0.41700000000000004,20,0.05,1,45.6,31,0.35700000000000004,24.1,18,28,0.46399999999999997,13,0.643,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,67.5,Away,WEST-VIRGINIA,West Virginia,West Virginia,big-12,13,False,False,False,Away,True,6,13,49,37,68,1,13,48,1,0,71,267,788,0.4739847715736041,517,930,0.5559139784946237,67,201,741,0.4068825910931174,0.8461538461538461
14,2020-01-11-18-west-virginia,57.1,12,9.1,3,90.4,60.7,17,0.324,74,0.284,21,0.095,7,0.857,6,5,200,74.0,32.0,16,24,54,22.0,15.1,11,0.37799999999999995,28,0.214,6,42.3,33,0.349,13.5,12,46,0.326,15,0.667,10,"January 11, 2020",45.0,9,13.0,6,74.0,68.0,34,0.44799999999999995,48,0.41700000000000004,20,0.7290000000000001,35,0.657,23,2,200,90.4,39.3,11,16,66,17.0,9.6,7,0.313,15,0.2,3,57.7,45,0.511,23.1,19,33,0.515,17,0.867,13,"WVU Coliseum, Morgantown, West Virginia",TEXAS-TECH,Texas Tech,73.0,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,14,True,False,True,Home,True,3,17,48,45,78,6,15,74,1,0,77,280,837,0.472520908004779,554,998,0.5551102204408818,68,214,789,0.4005069708491762,0.8571428571428571
15,2020-01-14-21-west-virginia,64.3,9,6.5,2,126.6,50.0,11,0.39799999999999996,44,0.318,14,0.47700000000000004,21,0.667,14,4,200,76.6,25.0,8,22,49,,4.7,3,0.523,23,0.304,7,35.2,19,0.45399999999999996,24.2,17,21,0.33299999999999996,7,0.75,12,"January 14, 2020",66.7,20,19.0,4,76.6,75.0,24,0.644,52,0.5770000000000001,30,0.442,23,0.609,14,2,200,126.6,50.0,11,17,81,12.0,12.5,8,0.40399999999999997,21,0.33299999999999996,7,64.8,35,0.644,17.3,13,31,0.742,23,0.875,14,"WVU Coliseum, Morgantown, West Virginia",TEXAS-CHRISTIAN,TCU,64.0,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,15,True,False,True,Home,True,7,23,52,35,54,7,7,44,1,0,80,297,885,0.4711864406779661,599,1076,0.5566914498141264,74,229,863,0.3939745075318656,0.8666666666666667
16,2020-01-18-14-kansas-state,48.0,12,3.2,1,118.3,70.0,14,0.5,56,0.446,25,0.39299999999999996,22,0.545,12,3,200,95.8,41.9,13,24,68,12.0,12.7,9,0.39299999999999996,22,0.273,6,52.9,27,0.512,21.5,18,34,0.5589999999999999,19,0.8240000000000001,14,"January 18, 2020",62.1,18,2.9,1,95.8,58.1,18,0.684,49,0.5920000000000001,29,0.51,25,0.68,17,9,200,118.3,30.0,6,24,84,,18.3,13,0.3670000000000001,18,0.5,9,47.1,24,0.69,21.1,16,31,0.645,20,0.47100000000000003,8,"Bramlage Coliseum, Manhattan, Kansas",WEST-VIRGINIA,West Virginia,71.2,Home,KANSAS-STATE,Kansas State,West Virginia,big-12,16,False,False,False,Away,False,6,19,56,27,51,9,20,49,0,1,87,320,937,0.4807897545357524,634,1130,0.5610619469026549,81,236,907,0.3941565600882029,0.875
17,2020-01-20-19-west-virginia,47.4,9,5.4,3,132.9,40.5,15,0.44299999999999995,53,0.358,19,0.302,16,0.75,12,6,200,80.8,12.5,4,25,59,,5.5,4,0.547,29,0.31,9,27.5,19,0.48700000000000004,23.1,18,24,0.41700000000000004,10,0.667,12,"January 20, 2020",44.4,16,0.0,0,80.8,87.5,28,0.557,70,0.514,36,0.457,32,0.594,19,3,200,132.9,59.5,22,16,97,14.0,16.4,12,0.2,14,0.429,6,72.5,50,0.569,8.7,8,56,0.536,30,0.833,15,"WVU Coliseum, Morgantown, West Virginia",TEXAS,Texas,72.9,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,17,True,False,True,Home,True,6,30,70,50,69,9,10,53,1,0,93,339,993,0.4818731117824773,661,1181,0.5596951735817104,90,256,956,0.4089958158995816,0.8235294117647058
18,2020-01-25-12-west-virginia,53.3,8,6.0,3,108.8,48.8,20,0.349,53,0.28300000000000003,15,0.34,18,0.778,14,10,200,75.0,25.6,10,21,51,,7.4,5,0.491,26,0.26899999999999996,7,37.5,30,0.414,20.8,16,27,0.29600000000000004,8,0.474,9,"January 25, 2020",48.1,13,14.8,4,75.0,74.4,29,0.446,65,0.415,27,0.431,28,0.5710000000000001,16,3,200,108.8,51.2,21,18,74,14.0,14.7,10,0.231,15,0.267,4,62.5,50,0.473,12.5,11,50,0.46,23,0.8420000000000001,16,"WVU Coliseum, Morgantown, West Virginia",MISSOURI,Missouri,67.9,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,18,True,False,True,Home,True,4,23,65,50,80,7,8,53,1,0,99,369,1063,0.486829727187206,711,1250,0.5688,99,266,1009,0.4108027750247771,0.8333333333333334
19,2020-01-29-20-texas-tech,22.7,5,10.3,3,114.1,64.7,11,0.42100000000000004,57,0.386,22,0.7190000000000001,41,0.805,33,4,200,103.8,26.7,8,26,81,12.0,11.5,9,0.316,18,0.222,4,40.4,19,0.53,12.8,11,39,0.462,18,0.8,16,"January 29, 2020",68.0,17,17.9,7,103.8,73.3,22,0.6629999999999999,46,0.5429999999999999,25,0.696,32,0.875,28,7,200,114.1,35.3,6,28,89,,6.4,5,0.37,17,0.647,11,59.6,28,0.727,26.8,22,29,0.483,14,0.65,13,"United Supermarkets Arena, Lubbock, Texas",WEST-VIRGINIA,West Virginia,78.3,Home,TEXAS-TECH,Texas Tech,West Virginia,big-12,19,False,False,False,Away,False,4,18,57,19,47,11,14,46,0,1,103,392,1128,0.4844858156028369,761,1330,0.5721804511278196,106,274,1062,0.4077212806026365,0.8421052631578947
20,2020-02-01-14-west-virginia,33.3,6,9.7,3,100.0,66.7,20,0.39799999999999996,49,0.3670000000000001,18,0.531,26,0.6920000000000001,18,12,200,86.4,25.0,8,23,57,,10.6,7,0.34700000000000003,17,0.17600000000000002,3,45.2,28,0.465,16.6,12,32,0.469,15,0.429,9,"February 1, 2020",61.9,13,3.1,1,86.4,75.0,24,0.48,50,0.42,21,0.56,28,0.643,18,4,200,100.0,33.3,10,21,66,12.0,7.6,5,0.38,19,0.316,6,54.8,34,0.521,18.3,14,31,0.484,15,0.81,17,"WVU Coliseum, Morgantown, West Virginia",KANSAS-STATE,Kansas State,66.3,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,20,True,False,True,Home,True,6,15,50,34,62,3,15,49,1,0,107,410,1185,0.4814345991561181,780,1377,0.5664488017429193,117,288,1108,0.4183212996389892,0.8
21,2020-02-05-19-west-virginia,47.8,11,8.3,3,105.6,55.9,19,0.44,58,0.397,23,0.259,15,0.667,10,13,200,84.7,23.3,7,19,61,,16.7,12,0.276,16,0.313,5,40.6,26,0.46799999999999997,17.8,14,42,0.429,18,0.409,9,"February 5, 2020",55.2,16,11.9,5,84.7,76.7,23,0.552,58,0.5,29,0.414,24,0.5,12,4,200,105.6,44.1,15,15,76,13.0,6.9,5,0.379,22,0.273,6,59.4,38,0.5479999999999999,20.8,18,36,0.639,23,0.818,18,"WVU Coliseum, Morgantown, West Virginia",IOWA-STATE,Iowa State,72.3,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,21,True,False,True,Home,True,6,23,58,38,64,5,18,58,1,0,113,425,1235,0.4813765182186235,814,1439,0.5656706045865184,120,303,1157,0.4174589455488332,0.8095238095238095
22,2020-02-08-14-oklahoma,33.3,8,2.9,1,98.6,68.0,17,0.355,76,0.316,24,0.105,8,0.625,5,5,200,84.3,38.3,18,18,59,13.0,15.7,11,0.19699999999999998,15,0.4,6,48.6,35,0.37,11.2,10,61,0.295,18,0.7829999999999999,18,"February 8, 2020",50.0,11,8.2,5,84.3,61.7,29,0.52,49,0.449,22,0.429,21,0.857,18,8,200,98.6,32.0,8,13,69,,5.7,4,0.306,15,0.467,7,51.4,37,0.585,22.6,17,34,0.441,15,0.652,15,"Lloyd Noble Center, Norman, Oklahoma",WEST-VIRGINIA,West Virginia,69.9,Home,OKLAHOMA,Oklahoma,West Virginia,big-12,22,False,False,False,Away,False,6,18,76,35,72,7,15,49,0,1,119,448,1293,0.4845320959010054,852,1503,0.5668662674650699,125,321,1215,0.4185185185185185,0.8181818181818182
23,2020-02-12-19-west-virginia,40.0,8,9.3,4,74.2,60.5,23,0.489,45,0.444,20,0.467,21,0.667,14,3,200,87.9,14.8,4,13,58,3.0,19.7,13,0.311,14,0.28600000000000003,4,41.5,27,0.528,18.1,12,31,0.516,16,0.875,21,"February 12, 2020",52.6,10,9.7,3,87.9,85.2,23,0.35,60,0.317,19,0.183,11,0.636,7,6,200,74.2,39.5,15,16,49,14.0,10.6,7,0.28300000000000003,17,0.235,4,58.5,38,0.376,22.7,19,43,0.349,15,0.75,18,"WVU Coliseum, Morgantown, West Virginia",WEST-VIRGINIA,West Virginia,66.1,Away,KANSAS,Kansas,West Virginia,big-12,23,False,True,True,Home,False,4,15,60,38,65,4,16,45,0,1,125,466,1369,0.4773557341124909,887,1575,0.5631746031746032,132,336,1264,0.4224683544303797,0.7826086956521741
24,2020-02-15-16-baylor,36.8,7,5.3,2,94.6,65.5,19,0.4,55,0.345,19,0.4,22,0.682,15,7,200,79.7,32.4,11,18,59,14.0,12.2,9,0.327,18,0.33299999999999996,6,47.6,30,0.451,25.4,22,37,0.35100000000000003,13,0.72,18,"February 15, 2020",72.4,21,8.1,3,79.7,67.6,23,0.5710000000000001,56,0.518,29,0.196,11,0.545,6,1,200,94.6,34.5,10,19,70,1.0,14.9,11,0.321,18,0.33299999999999996,6,52.4,33,0.5720000000000001,24.7,20,38,0.605,23,0.958,23,"Ferrell Center, Waco, Texas",WEST-VIRGINIA,West Virginia,73.8,Home,BAYLOR,Baylor,West Virginia,big-12,24,False,False,False,Away,False,6,13,55,30,63,6,23,56,0,1,129,481,1429,0.4720083974807558,925,1640,0.5640243902439024,136,352,1309,0.4247517188693659,0.75
25,2020-02-18-19-west-virginia,33.3,6,10.5,4,103.2,61.8,21,0.382,51,0.353,18,0.235,12,0.667,8,13,200,74.6,18.8,6,21,47,,6.3,4,0.275,14,0.214,3,40.9,27,0.414,17.6,12,37,0.405,15,0.5,13,"February 18, 2020",43.5,10,16.2,6,74.6,81.3,26,0.444,54,0.426,23,0.48100000000000004,26,0.654,17,7,200,103.2,38.2,13,12,65,17.0,12.7,8,0.29600000000000004,16,0.125,2,59.1,39,0.49,12.1,9,38,0.5529999999999999,21,0.731,19,"WVU Coliseum, Morgantown, West Virginia",OKLAHOMA-STATE,Oklahoma State,62.5,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,25,True,False,True,Home,True,2,21,54,39,66,3,15,51,1,0,135,494,1484,0.4693396226415094,955,1703,0.5607751027598356,142,375,1365,0.4307692307692308,0.72
26,2020-02-22-14-texas-christian,76.0,19,13.9,5,104.7,74.1,20,0.419,62,0.40299999999999997,25,0.242,15,0.5329999999999999,8,8,225,93.8,38.9,14,12,60,17.0,9.4,6,0.27399999999999997,17,0.11800000000000001,2,54.0,34,0.434,11.6,9,45,0.511,23,0.7040000000000001,19,"February 22, 2020",62.5,15,17.8,8,93.8,61.1,22,0.5,54,0.444,24,0.29600000000000004,16,0.813,13,12,225,104.7,25.9,7,17,67,,7.8,5,0.33299999999999996,18,0.33299999999999996,6,46.0,29,0.544,14.1,10,36,0.5,18,0.556,15,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",WEST-VIRGINIA,West Virginia,57.2,Home,TEXAS-CHRISTIAN,TCU,West Virginia,big-12,26,False,False,False,Away,False,2,23,62,34,63,6,18,54,0,1,137,515,1538,0.4684655396618986,994,1769,0.5618993781797625,145,390,1416,0.4290254237288136,0.7307692307692307
