,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LONG-ISLAND-UNIVERSITY_homegame,LONG-ISLAND-UNIVERSITY_homegame2,LONG-ISLAND-UNIVERSITY_home,LONG-ISLAND-UNIVERSITY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-20-19-long-island-university,44.8,13,8.6,3,96.5,85.7,30,0.508,63,0.46,29,0.19,12,0.917,11,3,225,88.2,6.5,2,18,75,,7.1,6,0.23800000000000002,15,0.4,6,48.5,32,0.546,22.7,20,48,0.479,23,0.769,10,"December 20, 2019",54.8,17,4.2,2,88.2,93.5,29,0.539,64,0.484,31,0.359,23,0.565,13,7,225,96.5,14.3,5,16,82,,14.1,12,0.45299999999999996,29,0.24100000000000002,7,51.5,34,0.547,15.9,14,35,0.6859999999999999,24,0.364,4,"Steinberg Wellness Center, Brooklyn, New York",DELAWARE,Delaware,75.8,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,10,True,False,True,Home,True,7,24,64,34,66,6,23,63,1,0,103,159,588,0.5331632653061225,299,695,0.4302158273381295,80,221,683,0.4992679355783309,0.3
11,2019-12-22-12-long-island-university,33.3,9,25.0,9,78.4,76.9,30,0.5,58,0.466,27,0.31,18,0.611,11,5,200,93.2,55.2,16,18,69,,10.8,8,0.207,12,0.33299999999999996,4,67.6,46,0.518,25.9,23,46,0.5,23,0.375,3,"December 22, 2019",85.0,17,17.4,8,93.2,44.8,13,0.4,60,0.33299999999999996,20,0.267,16,0.625,10,8,200,78.4,23.1,9,15,58,,14.9,11,0.4,24,0.33299999999999996,8,32.4,22,0.429,18.3,15,36,0.33299999999999996,12,0.33299999999999996,4,"Barclays Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,73.6,Away,SAINT-PETERS,St. Peter's,Long Island University,northeast,11,False,True,True,Home,False,8,12,60,22,68,4,23,58,0,1,110,183,652,0.5337423312883436,333,761,0.4375821287779238,86,244,746,0.5,0.3636363636363637
12,2019-12-28-16-long-island-university,45.5,15,6.1,2,134.4,71.1,27,0.488,80,0.413,33,0.15,12,0.5,6,0,200,90.3,21.7,10,12,84,,5.4,5,0.363,29,0.414,12,44.0,37,0.49,17.4,18,51,0.41200000000000003,21,0.0,0,"December 28, 2019",83.0,39,7.8,4,90.3,78.3,36,0.6629999999999999,86,0.547,47,0.163,14,0.7859999999999999,11,8,200,134.4,28.9,11,12,125,,12.9,12,0.616,53,0.377,20,56.0,47,0.675,10.7,11,33,0.818,27,0.385,5,"Steinberg Wellness Center, Brooklyn, New York","Centenary (NJ)
			","Centenary (NJ)
			",93.2,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,12,True,False,True,Home,True,20,27,86,47,84,12,21,80,1,0,118,195,712,0.5224719101123596,355,829,0.428226779252111,90,267,804,0.5,0.3333333333333333
13,2020-01-04-14-mount-st-marys,40.0,10,2.4,1,97.6,75.8,25,0.37,73,0.342,25,0.315,23,0.826,19,9,250,86.9,28.9,13,21,73,,8.3,7,0.397,29,0.138,4,48.7,38,0.435,15.3,15,44,0.47700000000000004,21,0.35700000000000004,5,"January 4, 2020",41.4,12,13.6,6,86.9,71.1,32,0.523,64,0.45299999999999996,29,0.359,23,0.652,15,10,250,97.6,24.2,8,23,82,,8.3,7,0.359,23,0.391,9,51.3,40,0.547,17.8,16,41,0.488,20,0.33299999999999996,5,"Knott Arena, Emmitsburg, Maryland",LONG-ISLAND-UNIVERSITY,LIU,67.5,Home,MOUNT-ST-MARYS,Mount St. Mary's,Long Island University,northeast,13,False,False,False,Away,False,4,21,73,38,78,9,20,64,0,1,138,222,798,0.5375939849624061,402,913,0.4403066812705367,102,288,884,0.49886877828054293,0.38461538461538464
14,2020-01-09-19-long-island-university,51.6,16,0.0,0,128.6,88.9,24,0.556,62,0.5,31,0.161,10,0.9,9,15,200,111.4,30.0,9,14,78,,5.7,4,0.355,22,0.318,7,57.9,33,0.584,16.4,13,40,0.6,24,0.062,1,"January 9, 2020",75.9,22,5.0,2,111.4,70.0,21,0.6890000000000001,53,0.547,29,0.415,22,0.773,17,9,200,128.6,11.1,3,7,90,,7.1,5,0.623,33,0.455,15,42.1,24,0.7090000000000001,12.6,9,20,0.7,14,0.4,6,"Steinberg Wellness Center, Brooklyn, New York",CENTRAL-CONNECTICUT-STATE,Central Connecticut,70.1,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,14,True,False,True,Home,True,15,14,53,24,57,7,24,62,1,0,142,243,871,0.5235361653272101,440,991,0.4439959636730575,111,308,948,0.5005274261603375,0.35714285714285715
15,2020-01-11-16-long-island-university,51.9,14,8.6,3,115.1,71.9,23,0.508,60,0.45,27,0.217,13,0.6920000000000001,9,12,200,95.9,24.1,7,15,70,,4.1,3,0.433,26,0.26899999999999996,7,49.2,30,0.529,17.6,14,34,0.588,20,0.2,3,"January 11, 2020",53.1,17,11.8,4,95.9,75.9,22,0.586,64,0.5,32,0.203,13,0.6920000000000001,9,9,200,115.1,28.1,9,15,84,,11.0,8,0.45299999999999996,29,0.379,11,50.8,31,0.599,13.6,11,35,0.6,21,0.43799999999999994,7,"Steinberg Wellness Center, Brooklyn, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,72.7,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,15,True,False,True,Home,True,11,21,64,31,61,7,20,60,1,0,157,257,924,0.533008658008658,464,1048,0.4427480916030535,118,332,1010,0.5039603960396041,0.4
16,2020-01-15-19-st-francis-ny,44.4,12,12.5,6,94.3,62.5,25,0.534,59,0.45799999999999996,27,0.16899999999999998,10,0.6,6,9,200,98.6,16.1,5,12,69,,10.0,7,0.40700000000000003,24,0.375,9,42.3,30,0.541,15.9,12,35,0.514,18,0.47100000000000003,8,"January 15, 2020",57.1,16,17.1,6,98.6,83.9,26,0.4370000000000001,71,0.39399999999999996,28,0.099,7,0.5710000000000001,4,9,200,94.3,37.5,15,10,66,,11.4,8,0.324,23,0.261,6,57.7,41,0.444,11.9,10,48,0.45799999999999996,22,0.43799999999999994,7,"Pope Physical Education Center, Brooklyn Heights, New York",ST-FRANCIS-NY,St. Francis (NY),70.0,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,16,False,False,False,Away,True,9,18,59,30,71,6,22,71,1,0,168,278,988,0.5364372469635628,495,1109,0.4463480613165013,125,352,1070,0.5042056074766356,0.4375
17,2020-01-18-16-bryant,31.8,7,7.4,2,75.0,75.0,30,0.47100000000000003,51,0.431,22,0.667,34,0.765,26,9,200,92.5,23.3,7,17,74,,10.0,8,0.353,18,0.222,4,52.9,37,0.551,21.4,18,33,0.545,18,0.5,9,"January 18, 2020",61.1,11,6.1,2,92.5,76.7,23,0.34700000000000003,62,0.29,18,0.371,23,0.7390000000000001,17,9,200,75.0,25.0,10,26,60,,13.8,11,0.565,35,0.2,7,47.1,33,0.41100000000000003,20.9,19,27,0.40700000000000003,11,0.5,9,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,80.0,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,17,False,False,False,Away,True,4,18,51,37,70,7,11,62,1,0,177,296,1047,0.5362941738299905,525,1180,0.4449152542372881,131,374,1141,0.5,0.4705882352941176
18,2020-01-20-16-wagner,47.6,10,0.0,0,118.0,55.2,16,0.542,48,0.43799999999999994,21,0.396,19,0.632,12,10,200,104.9,18.5,5,18,64,,9.8,6,0.563,27,0.37,10,37.5,21,0.561,15.1,10,21,0.524,11,0.474,9,"January 20, 2020",45.8,11,9.5,2,104.9,81.5,22,0.5489999999999999,51,0.47100000000000003,24,0.451,23,0.696,16,12,200,118.0,44.8,13,18,72,,1.6,1,0.353,18,0.444,8,62.5,35,0.581,16.4,12,33,0.485,16,0.294,5,"Spiro Sports Center, Staten Island, New York",LONG-ISLAND-UNIVERSITY,LIU,61.5,Home,WAGNER,Wagner,Long Island University,northeast,18,False,False,False,Away,False,10,11,48,21,56,8,16,51,0,1,181,314,1098,0.5332422586520947,562,1250,0.4496,138,385,1203,0.4921030756442228,0.5
19,2020-01-23-19-long-island-university,45.2,14,10.0,3,108.9,73.0,27,0.507,67,0.46299999999999997,31,0.239,16,0.813,13,7,200,102.5,27.8,10,18,81,,6.3,5,0.254,17,0.353,6,50.7,37,0.5429999999999999,16.8,15,50,0.5,25,0.632,12,"January 23, 2020",51.7,15,10.0,5,102.5,72.2,26,0.555,64,0.45299999999999996,29,0.344,22,0.682,15,10,200,108.9,27.0,10,16,86,,7.6,6,0.531,34,0.382,13,49.3,36,0.578,16.0,14,30,0.5329999999999999,16,0.5,10,"Steinberg Wellness Center, Brooklyn, New York",SAINT-FRANCIS-PA,Saint Francis (PA),79.0,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,19,True,False,True,Home,True,13,16,64,36,73,6,25,67,1,0,191,325,1146,0.5335951134380453,583,1306,0.4464012251148545,146,401,1254,0.4944178628389155,0.4736842105263158
20,2020-01-25-16-long-island-university,60.0,15,6.1,2,91.7,77.8,28,0.474,58,0.431,25,0.379,22,0.727,16,11,200,98.6,28.6,10,17,71,,6.9,5,0.32799999999999996,19,0.263,5,53.5,38,0.519,16.1,13,39,0.513,20,0.47600000000000003,10,"January 25, 2020",58.3,14,5.1,2,98.6,71.4,25,0.474,58,0.414,24,0.276,16,0.688,11,11,200,91.7,22.2,8,17,66,,5.6,4,0.431,25,0.28,7,46.5,33,0.503,18.7,15,33,0.515,17,0.47600000000000003,10,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,72.0,Away,ROBERT-MORRIS,Robert Morris,Long Island University,northeast,20,False,True,True,Home,False,7,17,58,33,71,5,20,58,0,1,204,341,1210,0.5347107438016528,619,1379,0.4488759970993473,152,426,1321,0.4950794852384557,0.5
21,2020-02-01-16-merrimack,57.1,12,14.8,4,109.4,75.0,21,0.479,47,0.447,21,0.40399999999999997,19,0.737,14,12,200,92.2,33.3,8,18,59,,9.4,6,0.27699999999999997,13,0.231,3,55.8,29,0.527,24.5,18,34,0.529,18,0.455,10,"February 1, 2020",56.0,14,23.5,8,92.2,66.7,16,0.602,49,0.51,25,0.429,21,0.524,11,8,200,109.4,25.0,7,17,70,,14.1,9,0.449,22,0.409,9,44.2,23,0.593,14.7,10,27,0.593,16,0.652,15,"Hammel Court, North Andover, Massachusetts",LONG-ISLAND-UNIVERSITY,LIU,64.0,Home,MERRIMACK,Merrimack,Long Island University,northeast,21,False,False,False,Away,False,3,18,47,29,52,9,16,49,0,1,211,358,1268,0.5319400630914827,652,1450,0.4496551724137931,157,446,1379,0.4941986947063089,0.4761904761904762
22,2020-02-06-19-long-island-university,54.5,12,8.3,2,95.5,78.1,25,0.51,50,0.44,22,0.52,26,0.615,16,13,200,101.5,28.1,9,16,67,,12.1,8,0.42,21,0.33299999999999996,7,53.1,34,0.537,15.2,11,29,0.517,15,0.435,10,"February 6, 2020",45.8,11,3.4,1,101.5,71.9,23,0.4920000000000001,59,0.40700000000000003,24,0.136,8,0.625,5,13,200,95.5,21.9,7,22,63,,7.6,5,0.593,35,0.28600000000000003,10,46.9,30,0.502,16.1,12,24,0.583,14,0.435,10,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,66.1,Away,MOUNT-ST-MARYS,Mount St. Mary's,Long Island University,northeast,22,False,True,True,Home,False,10,14,59,30,64,7,15,50,0,1,214,376,1315,0.5300380228136882,681,1502,0.4533954727030626,166,462,1428,0.4978991596638656,0.4545454545454545
23,2020-02-08-16-long-island-university,46.2,12,8.6,3,94.4,59.4,19,0.455,66,0.39399999999999996,26,0.121,8,0.5,4,9,225,90.1,21.1,8,22,64,,14.1,10,0.273,18,0.444,8,38.6,27,0.45799999999999996,12.6,10,48,0.375,18,0.64,16,"February 8, 2020",61.9,13,16.7,8,90.1,78.9,30,0.444,54,0.389,21,0.5,27,0.7040000000000001,19,13,225,94.4,40.6,13,12,67,,5.6,4,0.35200000000000004,19,0.316,6,61.4,43,0.501,20.5,17,35,0.429,15,0.45799999999999996,11,"Steinberg Wellness Center, Brooklyn, New York",MERRIMACK,Merrimack,63.4,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,23,True,False,True,Home,True,6,15,54,43,70,8,18,66,1,0,224,390,1374,0.5283842794759825,711,1566,0.4540229885057471,173,477,1478,0.4983085250338295,0.43478260869565216
24,2020-02-13-19-central-connecticut-state,60.0,18,10.2,5,97.4,79.1,34,0.64,57,0.526,30,0.35100000000000003,20,0.85,17,13,200,118.4,14.8,4,12,90,,9.2,7,0.439,25,0.52,13,54.3,38,0.677,15.4,12,32,0.531,17,0.48,12,"February 13, 2020",44.8,13,6.3,2,118.4,85.2,23,0.48,74,0.392,29,0.040999999999999995,3,1.0,3,24,200,97.4,20.9,9,16,74,,5.3,4,0.33799999999999997,25,0.52,13,45.7,32,0.491,12.7,11,49,0.327,16,0.077,2,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,76.0,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,24,False,False,False,Away,True,13,17,57,38,70,13,16,74,1,0,230,405,1428,0.5252100840336135,754,1636,0.46088019559902205,181,495,1544,0.4964378238341969,0.4583333333333333
25,2020-02-15-16-long-island-university,67.9,19,14.0,6,101.4,88.6,31,0.5329999999999999,61,0.45899999999999996,28,0.295,18,0.833,15,11,200,112.7,39.4,13,12,80,,2.8,2,0.361,22,0.409,9,64.7,44,0.575,16.9,14,39,0.48700000000000004,19,0.593,16,"February 15, 2020",63.0,17,7.7,3,112.7,60.6,20,0.5,65,0.415,27,0.138,9,0.778,7,14,200,101.4,11.4,4,18,72,,7.0,5,0.33799999999999997,22,0.5,11,35.3,24,0.52,8.0,6,43,0.3720000000000001,16,0.462,12,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,70.9,Away,SACRED-HEART,Sacred Heart,Long Island University,northeast,25,False,True,True,Home,False,11,16,65,24,68,9,19,61,0,1,243,422,1485,0.5296296296296297,792,1706,0.4642438452520516,194,511,1618,0.4956736711990111,0.48
26,2020-02-18-17-long-island-university,50.0,16,17.1,6,93.9,85.4,35,0.556,62,0.516,32,0.435,27,0.667,18,14,200,106.1,27.3,9,23,87,,8.5,7,0.355,22,0.22699999999999998,5,59.5,44,0.581,17.8,16,40,0.675,27,0.462,12,"February 18, 2020",52.0,13,15.0,6,106.1,72.7,24,0.469,65,0.385,25,0.369,24,0.667,16,15,200,93.9,14.6,6,19,77,,11.0,9,0.462,30,0.3670000000000001,11,40.5,30,0.504,12.7,11,35,0.4,14,0.444,12,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,81.6,Away,ST-FRANCIS-NY,St. Francis (NY),Long Island University,northeast,26,False,True,True,Home,False,11,14,65,30,74,5,27,62,0,1,254,438,1550,0.5283870967741936,816,1774,0.4599774520856821,203,530,1679,0.4970220369267421,0.4615384615384616
