,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-INTERNATIONAL_homegame,FLORIDA-INTERNATIONAL_homegame2,FLORIDA-INTERNATIONAL_home,FLORIDA-INTERNATIONAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-19-17-florida-international,32.1,9,2.5,1,110.0,71.8,28,0.426,74,0.37799999999999995,28,0.18899999999999997,14,0.7859999999999999,11,0,200,82.2,38.3,18,17,74,,13.3,12,0.37799999999999995,28,0.25,7,53.5,46,0.45899999999999996,24.5,26,46,0.457,21,0.0,0,"December 19, 2019",50.0,18,17.4,8,82.2,61.7,29,0.56,75,0.48,36,0.307,23,0.652,15,3,200,110.0,28.2,11,13,99,,22.2,20,0.467,35,0.34299999999999997,12,46.5,40,0.5760000000000001,15.8,16,40,0.6,24,0.727,8,"FIU Arena, Miami, Florida","Florida Memorial
			","Florida Memorial
			",89.8,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,10,True,False,True,Home,True,12,24,75,40,86,7,21,74,1,0,100,205,630,0.5634920634920635,345,706,0.4886685552407932,59,187,635,0.4338582677165354,0.7
11,2019-12-22-14-stetson,61.5,16,19.2,10,94.4,54.5,24,0.534,59,0.441,26,0.424,25,0.8,20,3,200,116.9,40.0,12,22,83,,8.5,6,0.508,30,0.3670000000000001,11,48.6,36,0.586,14.6,12,29,0.517,15,0.75,9,"December 22, 2019",43.5,10,0.0,0,116.9,60.0,18,0.33299999999999996,69,0.33299999999999996,23,0.449,31,0.677,21,9,200,94.4,45.5,20,21,67,,14.1,10,0.24600000000000002,17,0.0,0,51.4,38,0.4,8.8,8,52,0.442,23,0.35700000000000004,5,"Edmunds Center, DeLand, Florida",STETSON,Stetson,71.3,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,11,False,False,False,Away,True,11,15,59,36,74,0,23,69,1,0,112,229,705,0.5631205673758866,385,792,0.4861111111111111,66,208,709,0.4330042313117066,0.7272727272727273
12,2019-12-28-16-minnesota,41.7,10,18.6,8,107.2,63.2,24,0.39399999999999996,66,0.364,24,0.22699999999999998,15,0.667,10,4,200,74.7,14.6,6,24,62,,8.4,7,0.28800000000000003,19,0.21100000000000002,4,38.0,30,0.424,19.0,17,47,0.426,20,0.6920000000000001,9,"December 28, 2019",65.4,17,10.6,5,74.7,85.4,35,0.44799999999999995,67,0.38799999999999996,26,0.44799999999999995,30,0.9670000000000001,29,5,200,107.2,36.8,14,16,89,,12.0,10,0.358,24,0.33299999999999996,8,62.0,49,0.5479999999999999,14.9,14,43,0.419,18,0.583,7,"Williams Arena, Minneapolis, Minnesota",FLORIDA-INTERNATIONAL,Florida International,82.7,Home,MINNESOTA,Minnesota,Florida International,cusa,12,False,False,False,Away,False,4,20,66,30,79,8,18,67,0,1,123,244,764,0.5608638743455497,421,866,0.4861431870669746,66,231,778,0.4241645244215938,0.75
13,2020-01-02-12-florida-international,59.3,16,13.9,5,97.2,71.8,28,0.484,62,0.435,27,0.177,11,0.636,7,5,200,94.4,35.1,13,22,67,,8.5,6,0.33899999999999997,21,0.28600000000000003,6,53.9,41,0.498,20.3,17,41,0.512,21,0.643,9,"January 2, 2020",62.5,15,12.2,5,94.4,64.9,24,0.5,57,0.42100000000000004,24,0.40399999999999997,23,0.522,12,4,200,97.2,28.2,11,14,69,,11.3,8,0.368,21,0.429,9,46.1,35,0.508,17.3,14,36,0.41700000000000004,15,0.7140000000000001,10,"FIU Arena, Miami, Florida",TEXAS-EL-PASO,UTEP,71.1,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,13,True,False,True,Home,True,9,15,57,35,76,6,21,62,1,0,127,264,830,0.5475903614457831,451,945,0.4772486772486773,74,249,845,0.4260355029585799,0.6923076923076923
14,2020-01-04-19-florida-international,50.0,15,6.5,2,102.3,82.9,34,0.5,70,0.429,30,0.243,17,0.765,13,9,225,94.3,25.6,10,25,83,,8.0,7,0.529,37,0.27,10,55.0,44,0.532,21.3,21,33,0.606,20,0.4,6,"January 4, 2020",58.6,17,9.1,3,94.3,74.4,29,0.546,65,0.446,29,0.47700000000000004,31,0.613,19,4,225,102.3,17.1,7,19,90,,12.5,11,0.523,34,0.382,13,45.0,36,0.564,15.1,14,31,0.516,16,0.733,11,"FIU Arena, Miami, Florida",TEXAS-SAN-ANTONIO,UTSA,78.1,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,14,True,False,True,Home,True,13,16,65,36,80,10,20,70,1,0,136,279,887,0.5445321307779031,486,1021,0.4760039177277179,80,270,907,0.4299889746416759,0.7142857142857143
15,2020-01-09-20-north-texas,45.0,9,9.4,3,105.7,61.3,19,0.461,51,0.392,20,0.33299999999999996,17,0.529,9,5,200,80.0,23.3,7,12,56,,17.1,12,0.41200000000000003,21,0.33299999999999996,7,42.6,26,0.474,24.5,19,30,0.433,13,0.688,11,"January 9, 2020",55.6,15,16.7,5,80.0,76.7,23,0.552,58,0.466,27,0.207,12,0.833,10,8,200,105.7,38.7,12,12,74,,11.4,8,0.44799999999999995,26,0.385,10,57.4,35,0.581,21.2,17,32,0.531,17,0.5,8,"UNT Coliseum, Denton, Texas",FLORIDA-INTERNATIONAL,Florida International,69.9,Home,NORTH-TEXAS,North Texas,Florida International,cusa,15,False,False,False,Away,False,7,13,51,26,61,10,17,58,0,1,149,295,952,0.5446428571428571,522,1101,0.4741144414168938,90,290,977,0.4350051177072671,0.7333333333333333
16,2020-01-11-15-rice,34.5,10,18.2,6,124.3,78.8,26,0.516,62,0.46799999999999997,29,0.355,22,0.636,14,6,200,105.4,23.5,8,15,78,,6.8,5,0.40299999999999997,25,0.24,6,50.7,34,0.5379999999999999,14.3,12,37,0.622,23,0.647,11,"January 11, 2020",52.8,19,0.0,0,105.4,76.5,26,0.632,68,0.529,36,0.11800000000000001,8,0.75,6,8,200,124.3,21.2,7,19,92,,6.8,5,0.515,35,0.4,14,49.3,33,0.6409999999999999,7.7,6,33,0.667,22,0.529,9,"Tudor Fieldhouse, Houston, Texas",FLORIDA-INTERNATIONAL,Florida International,73.6,Home,RICE,Rice,Florida International,cusa,16,False,False,False,Away,False,6,23,62,34,67,14,22,68,0,1,156,308,1003,0.5403788634097707,548,1162,0.4716006884681584,100,307,1035,0.4415458937198067,0.6875
17,2020-01-16-19-florida-international,48.3,14,6.5,2,134.8,81.0,17,0.46399999999999997,69,0.42,29,0.087,6,0.667,4,7,200,98.6,47.2,17,12,68,,5.8,4,0.23199999999999998,16,0.375,6,59.6,34,0.473,17.3,15,53,0.434,23,0.611,11,"January 16, 2020",52.9,18,17.0,9,98.6,52.8,19,0.778,54,0.63,34,0.204,11,0.818,9,6,200,134.8,19.0,4,10,93,,7.2,5,0.426,23,0.696,16,40.4,23,0.785,16.9,12,31,0.581,18,0.667,12,"FIU Arena, Miami, Florida",ALABAMA-BIRMINGHAM,Alabama-Birmingham,68.5,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,17,True,False,True,Home,True,16,18,54,23,57,6,23,69,1,0,162,331,1065,0.5389671361502347,582,1229,0.4735557363710334,114,329,1103,0.4533091568449682,0.6470588235294118
18,2020-01-18-19-florida-international,45.5,10,16.2,6,106.4,71.1,27,0.44,58,0.379,22,0.466,27,0.667,18,15,200,88.5,24.2,8,17,69,,10.3,8,0.431,25,0.28,7,49.3,35,0.48700000000000004,17.7,15,33,0.455,15,0.21100000000000002,4,"January 18, 2020",55.6,15,21.2,7,88.5,75.8,25,0.5,65,0.415,27,0.354,23,0.7829999999999999,18,6,200,106.4,28.9,11,17,83,,11.5,9,0.431,28,0.39299999999999996,11,50.7,36,0.547,14.8,13,37,0.4320000000000001,16,0.684,13,"FIU Arena, Miami, Florida",MIDDLE-TENNESSEE,Middle Tennessee,77.9,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,18,True,False,True,Home,True,11,16,65,36,71,7,15,58,1,0,178,349,1119,0.5504915102770329,605,1286,0.4704510108864697,120,352,1172,0.4539249146757679,0.6666666666666666
19,2020-01-23-19-old-dominion,74.1,20,12.8,6,114.3,71.4,25,0.575,60,0.45,27,0.33299999999999996,20,0.7,14,6,200,118.6,25.7,9,14,83,,5.7,4,0.5670000000000001,34,0.441,15,48.6,34,0.597,11.6,9,26,0.462,12,0.7,14,"January 23, 2020",53.3,16,3.8,1,118.6,74.3,26,0.5,67,0.44799999999999995,30,0.239,16,0.813,13,13,200,114.3,28.6,10,14,80,,7.1,5,0.299,20,0.35,7,51.4,36,0.536,7.5,6,47,0.489,23,0.35,7,"Ted Constant Convocation Ctr., Norfolk, Virginia",OLD-DOMINION,Old Dominion,70.1,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,19,False,False,False,Away,True,15,12,60,34,70,7,23,67,1,0,189,365,1184,0.5477195945945946,641,1357,0.4723655121591746,127,367,1230,0.4532520325203252,0.6842105263157895
20,2020-01-25-16-charlotte,29.4,5,16.1,5,115.4,72.7,16,0.35600000000000004,52,0.327,17,0.34600000000000003,18,0.667,12,7,200,75.4,13.2,5,17,49,,9.2,6,0.365,19,0.158,3,35.0,21,0.405,13.1,9,33,0.424,14,0.667,14,"January 25, 2020",69.2,18,9.1,3,75.4,86.8,33,0.628,47,0.5529999999999999,26,0.447,21,0.762,16,7,200,115.4,27.3,6,16,75,,9.2,6,0.34,16,0.43799999999999994,7,65.0,39,0.6579999999999999,19.9,14,31,0.613,19,0.632,12,"Dale F. Halton Arena, Charlotte, North Carolina",FLORIDA-INTERNATIONAL,Florida International,64.8,Home,CHARLOTTE,Charlotte,Florida International,cusa,20,False,False,False,Away,False,3,14,52,21,60,7,19,47,0,1,204,377,1244,0.5490353697749196,675,1427,0.4730203223545901,134,390,1297,0.4556669236700077,0.7
21,2020-01-30-19-florida-international,47.1,16,11.6,5,93.7,61.5,24,0.545,67,0.507,34,0.239,16,0.688,11,12,200,106.3,22.2,8,15,84,,12.7,10,0.34299999999999997,23,0.217,5,42.7,32,0.563,13.9,12,44,0.659,29,0.455,10,"January 30, 2020",38.5,10,9.1,4,106.3,77.8,28,0.441,68,0.382,26,0.294,20,0.7,14,8,200,93.7,38.5,15,14,74,,12.7,10,0.368,25,0.32,8,57.3,43,0.47700000000000004,18.1,17,43,0.419,18,0.636,14,"FIU Arena, Miami, Florida",FLORIDA-INTERNATIONAL,Florida International,79.1,Away,MARSHALL,Marshall,Florida International,cusa,21,False,True,True,Home,False,8,18,68,43,75,5,29,67,0,1,207,391,1296,0.5412808641975309,696,1487,0.4680564895763282,141,409,1344,0.4616815476190476,0.6666666666666666
22,2020-02-01-12-florida-international,38.5,10,4.7,2,109.5,65.6,21,0.452,62,0.419,26,0.419,26,0.769,20,8,200,102.7,40.6,13,14,76,,12.2,9,0.242,15,0.267,4,53.1,34,0.511,15.0,13,47,0.46799999999999997,22,0.636,14,"February 1, 2020",45.7,16,12.8,6,102.7,59.4,19,0.5760000000000001,66,0.53,35,0.152,10,0.5,5,8,200,109.5,34.4,11,16,81,,8.1,6,0.348,23,0.261,6,46.9,30,0.5720000000000001,16.6,14,43,0.674,29,0.652,15,"FIU Arena, Miami, Florida",WESTERN-KENTUCKY,Western Kentucky,74.1,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,22,True,False,True,Home,True,6,29,66,30,64,4,22,62,1,0,215,409,1364,0.5362903225806451,739,1562,0.4731113956466069,146,438,1411,0.4656272147413182,0.6363636363636364
23,2020-02-05-19-florida-international,42.1,8,7.9,3,100.0,54.5,18,0.355,55,0.345,19,0.273,15,0.733,11,10,200,72.5,38.7,12,13,50,,17.4,12,0.29100000000000004,16,0.063,1,46.9,30,0.402,26.3,22,39,0.462,18,0.583,14,"February 5, 2020",46.2,12,15.4,6,72.5,61.3,19,0.5,61,0.426,26,0.213,13,0.615,8,8,200,100.0,45.5,15,12,69,,18.8,13,0.377,23,0.391,9,53.1,34,0.514,17.3,14,38,0.447,17,0.667,16,"FIU Arena, Miami, Florida",FLORIDA-ATLANTIC,Florida Atlantic,69.2,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,23,True,False,True,Home,True,9,17,61,34,64,1,18,55,1,0,221,438,1430,0.5381118881118881,769,1626,0.472939729397294,150,460,1473,0.4650373387644263,0.6521739130434783
24,2020-02-08-16-florida-atlantic,25.9,7,9.8,4,84.3,65.0,26,0.5589999999999999,51,0.529,27,0.353,18,0.5,9,8,200,94.3,40.0,12,17,66,,11.4,8,0.255,13,0.231,3,54.3,38,0.5539999999999999,27.2,22,38,0.632,24,0.68,17,"February 8, 2020",36.0,9,2.6,1,94.3,60.0,18,0.408,65,0.385,25,0.138,9,0.667,6,11,200,84.3,35.0,14,19,59,,17.1,12,0.369,24,0.125,3,45.7,32,0.426,17.9,15,41,0.537,22,0.56,14,"FAU Arena, Boca Raton, Florida",FLORIDA-ATLANTIC,Florida Atlantic,69.9,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,24,False,False,False,Away,True,3,24,51,38,70,3,22,65,1,0,230,455,1491,0.5365526492287056,803,1690,0.4751479289940828,151,478,1528,0.4610602094240838,0.6666666666666666
25,2020-02-13-19-louisiana-tech,43.5,10,23.7,9,88.2,64.7,22,0.44799999999999995,58,0.397,23,0.155,9,0.556,5,9,200,83.8,31.3,10,13,57,,8.8,6,0.431,25,0.24,6,48.5,32,0.45799999999999996,20.5,16,33,0.515,17,0.654,17,"February 13, 2020",33.3,8,12.1,4,83.8,68.8,22,0.413,63,0.381,24,0.20600000000000002,13,0.615,8,7,200,88.2,35.3,12,15,60,,11.8,8,0.397,25,0.16,4,51.5,34,0.434,13.8,11,38,0.526,20,0.72,18,"Thomas Assembly Center, Ruston, Louisiana",FLORIDA-INTERNATIONAL,Florida International,68.2,Home,LOUISIANA-TECH,Louisiana Tech,Florida International,cusa,25,False,False,False,Away,False,6,17,58,32,66,4,20,63,0,1,233,479,1542,0.5372892347600519,841,1760,0.4778409090909091,154,500,1593,0.4588826114249843,0.68
26,2020-02-15-15-southern-mississippi,47.8,11,9.7,3,102.7,66.7,18,0.5,58,0.397,23,0.24100000000000002,14,0.643,9,10,200,91.8,13.9,5,19,67,,12.3,9,0.672,39,0.308,12,36.5,23,0.518,18.9,15,19,0.579,11,0.63,17,"February 15, 2020",82.1,23,0.0,0,91.8,86.1,31,0.647,51,0.5489999999999999,28,0.314,16,0.563,9,18,200,102.7,33.3,9,12,75,,8.2,6,0.392,20,0.5,10,63.5,40,0.64,27.5,22,31,0.581,18,0.33299999999999996,9,"Reed Green Coliseum, Hattiesburg, Mississippi",FLORIDA-INTERNATIONAL,Florida International,73.1,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Florida International,cusa,26,False,False,False,Away,False,12,11,58,23,63,10,18,51,0,1,239,496,1600,0.5340625,873,1826,0.4780941949616648,158,520,1656,0.4571256038647343,0.6538461538461539
