,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-STATE_homegame,NORTH-CAROLINA-STATE_homegame2,NORTH-CAROLINA-STATE_home,NORTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-19-21-auburn,44.4,12,8.1,3,98.8,75.7,28,0.484,63,0.429,27,0.317,20,0.6,12,3,200,91.3,30.6,11,28,73,,12.5,10,0.317,20,0.35,7,53.4,39,0.503,20.0,18,43,0.465,20,0.727,8,"December 19, 2019",52.0,13,11.6,5,91.3,69.4,25,0.5,56,0.446,25,0.643,36,0.639,23,0,200,98.8,24.3,9,22,79,12.0,13.8,11,0.33899999999999997,19,0.316,6,46.6,34,0.54,19.1,17,37,0.514,19,1.0,10,"Auburn Arena, Auburn, Alabama",NORTH-CAROLINA-STATE,NC State,80.3,Home,AUBURN,Auburn,NC State,acc,10,False,False,False,Away,False,7,20,63,39,73,6,19,56,0,1,83,220,630,0.5468253968253968,304,623,0.4879614767255217,69,186,582,0.4974226804123712,0.8
11,2019-12-22-18-north-carolina-state,56.5,13,2.5,1,109.2,73.0,27,0.441,68,0.33799999999999997,23,0.11800000000000001,8,0.375,3,6,200,82.9,14.6,6,17,63,,9.2,7,0.662,45,0.311,14,42.3,33,0.439,15.4,13,23,0.391,9,0.5,6,"December 22, 2019",51.6,16,17.4,4,82.9,85.4,35,0.53,66,0.47,31,0.28800000000000003,19,0.684,13,3,200,109.2,27.0,10,11,83,,10.5,8,0.39399999999999996,26,0.308,8,57.7,45,0.5529999999999999,10.8,9,40,0.575,23,0.75,9,"PNC Arena, Raleigh, North Carolina",CITADEL,Citadel,76.4,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,11,True,False,True,Home,True,8,23,66,45,78,14,9,68,1,0,90,240,693,0.5411255411255411,343,696,0.49281609195402293,75,205,638,0.4976489028213166,0.7272727272727273
12,2019-12-29-16-north-carolina-state,45.8,11,2.7,1,101.4,57.9,22,0.4,65,0.369,24,0.24600000000000002,16,0.5,8,5,200,84.5,22.2,10,17,60,,11.3,8,0.33799999999999997,22,0.182,4,38.6,32,0.413,12.2,10,43,0.465,20,0.615,8,"December 29, 2019",42.9,12,16.3,7,84.5,77.8,35,0.4920000000000001,62,0.452,28,0.306,19,0.579,11,3,200,101.4,42.1,16,15,72,,9.9,7,0.40299999999999997,25,0.2,5,61.4,51,0.507,17.6,15,37,0.622,23,0.769,10,"PNC Arena, Raleigh, North Carolina",APPALACHIAN-STATE,Appalachian State,71.3,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,12,True,False,True,Home,True,5,23,62,51,83,4,20,65,1,0,98,263,759,0.5401844532279315,388,774,0.5012919896640827,89,214,706,0.4922096317280453,0.75
13,2020-01-04-12-clemson,42.3,11,14.3,3,117.4,81.0,17,0.483,59,0.441,26,0.322,19,0.684,13,4,200,101.4,24.2,8,22,70,,4.3,3,0.35600000000000004,21,0.23800000000000002,5,46.3,25,0.515,11.8,9,38,0.5529999999999999,21,0.7140000000000001,10,"January 4, 2020",78.3,18,7.9,3,101.4,75.8,25,0.561,49,0.469,23,0.633,31,0.8390000000000001,26,7,200,117.4,19.0,4,16,81,,8.7,6,0.5710000000000001,28,0.321,9,53.7,29,0.636,12.6,9,21,0.667,14,0.5,7,"Littlejohn Coliseum, Clemson, South Carolina",NORTH-CAROLINA-STATE,NC State,68.9,Home,CLEMSON,Clemson,NC State,acc,13,False,False,False,Away,False,5,21,59,25,54,9,14,49,0,1,103,286,821,0.5365408038976858,439,857,0.5122520420070011,93,234,771,0.4844357976653697,0.7692307692307693
14,2020-01-08-19-north-carolina-state,40.7,11,11.1,4,110.6,61.1,22,0.526,57,0.474,27,0.175,10,0.8,8,5,200,103.0,34.6,9,16,68,,7.6,5,0.316,18,0.33299999999999996,6,50.0,31,0.551,18.6,14,39,0.5379999999999999,21,0.667,10,"January 8, 2020",61.5,16,10.3,4,103.0,65.4,17,0.47600000000000003,63,0.413,26,0.27,17,0.765,13,4,200,110.6,38.9,14,14,73,,10.6,7,0.429,27,0.29600000000000004,8,50.0,31,0.514,10.2,8,36,0.5,18,0.733,11,"PNC Arena, Raleigh, North Carolina",NOTRE-DAME,Notre Dame,65.9,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,14,True,False,True,Home,True,8,18,63,31,62,6,21,57,1,0,108,307,880,0.5329545454545455,464,911,0.5093304061470911,102,248,820,0.4890243902439024,0.7142857142857143
15,2020-01-11-14-virginia-tech,68.2,15,13.5,5,100.0,83.3,30,0.36200000000000004,69,0.319,22,0.174,12,0.667,8,5,200,80.6,24.4,10,16,58,,5.6,4,0.435,30,0.2,6,51.9,40,0.38799999999999996,10.8,9,39,0.41,16,0.688,11,"January 11, 2020",59.1,13,7.7,3,80.6,75.6,31,0.449,59,0.373,22,0.35600000000000004,21,0.905,19,4,200,100.0,16.7,6,14,72,,8.3,6,0.373,22,0.409,9,48.1,37,0.522,9.3,7,37,0.35100000000000003,13,0.75,12,"Cassell Coliseum, Blacksburg, Virginia",NORTH-CAROLINA-STATE,NC State,71.8,Home,VIRGINIA-TECH,Virginia Tech,NC State,acc,15,False,False,False,Away,False,6,16,69,40,77,9,13,59,0,1,116,325,943,0.5291622481442205,495,973,0.5087358684480987,108,269,877,0.491448118586089,0.7333333333333333
16,2020-01-15-19-north-carolina-state,15.0,3,4.9,2,117.6,71.0,22,0.391,55,0.364,20,0.455,25,0.8,20,6,200,92.6,40.6,13,16,63,,4.4,3,0.29100000000000004,16,0.188,3,55.6,35,0.47100000000000003,18.5,15,39,0.436,17,0.625,10,"January 15, 2020",48.3,14,17.9,7,92.6,59.4,19,0.5489999999999999,61,0.475,29,0.311,19,0.684,13,5,200,117.6,29.0,9,20,80,,13.2,9,0.32799999999999996,20,0.45,9,44.4,28,0.5710000000000001,9.2,7,41,0.488,20,0.706,12,"PNC Arena, Raleigh, North Carolina",MIAMI-FL,Miami (FL),68.5,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,16,True,False,True,Home,True,9,20,61,28,63,3,17,55,1,0,122,341,1012,0.5177865612648221,535,1050,0.5095238095238095,117,282,936,0.4887820512820513,0.6875
17,2020-01-18-14-north-carolina-state,60.0,12,11.5,3,88.2,81.3,26,0.425,53,0.377,20,0.434,23,0.391,9,8,200,79.4,17.5,7,19,54,,10.3,7,0.377,20,0.25,5,45.8,33,0.42200000000000004,16.0,12,33,0.455,15,0.529,9,"January 18, 2020",60.0,12,12.1,4,79.4,82.5,33,0.451,51,0.392,20,0.41200000000000003,21,0.667,14,5,200,88.2,18.8,6,23,60,,5.9,4,0.49,25,0.24,6,54.2,39,0.4920000000000001,16.6,12,26,0.5379999999999999,14,0.722,13,"PNC Arena, Raleigh, North Carolina",CLEMSON,Clemson,68.0,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,17,True,False,True,Home,True,6,14,51,39,72,5,15,53,1,0,131,361,1073,0.5195712954333644,563,1113,0.5058400718778078,120,299,991,0.4833501513622603,0.7058823529411765
18,2020-01-20-19-virginia,45.0,9,5.3,2,87.9,67.9,19,0.441,51,0.392,20,0.275,14,0.5710000000000001,8,5,200,91.4,12.1,4,17,53,,12.1,7,0.314,16,0.313,5,37.7,23,0.46,8.0,5,35,0.429,15,0.737,14,"January 20, 2020",44.4,8,17.1,6,91.4,87.9,29,0.39,50,0.36,18,0.3,15,0.8,12,6,200,87.9,32.1,9,17,51,,5.2,3,0.24,12,0.25,3,62.3,38,0.446,13.7,9,38,0.395,15,0.667,12,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA,Virginia,57.9,Away,NORTH-CAROLINA-STATE,NC State,NC State,acc,18,False,False,False,Away,True,5,15,51,23,61,3,15,50,1,0,137,375,1124,0.5164590747330959,602,1185,0.5080168776371308,125,314,1044,0.4803639846743295,0.7222222222222222
19,2020-01-25-16-georgia-tech,59.1,13,0.0,0,92.8,80.0,24,0.42100000000000004,57,0.386,22,0.228,13,0.769,10,6,200,84.1,21.9,7,19,58,,11.6,8,0.316,18,0.222,4,50.0,31,0.45899999999999996,17.2,13,39,0.462,18,0.7,14,"January 25, 2020",47.8,11,12.8,5,84.1,78.1,25,0.47200000000000003,53,0.434,23,0.396,21,0.667,14,11,200,92.8,20.0,6,16,64,,15.9,11,0.302,16,0.25,4,50.0,31,0.508,16.2,12,37,0.514,19,0.45,9,"McCamish Pavilion, Atlanta, Georgia",NORTH-CAROLINA-STATE,NC State,69.1,Home,GEORGIA-TECH,Georgia Tech,NC State,acc,19,False,False,False,Away,False,4,18,57,31,62,4,19,53,0,1,142,390,1175,0.5131914893617021,625,1246,0.5016051364365971,128,329,1094,0.4762340036563072,0.7368421052631579
20,2020-01-27-19-north-carolina-state,39.3,11,4.3,2,94.2,75.0,27,0.509,57,0.491,28,0.439,25,0.68,17,10,200,108.7,46.7,14,13,75,,5.8,4,0.158,9,0.222,2,62.1,41,0.544,15.0,12,48,0.542,26,0.5,10,"January 27, 2020",39.3,11,14.6,7,108.7,53.3,16,0.455,66,0.424,28,0.106,7,0.7140000000000001,5,7,200,94.2,25.0,9,21,65,,10.1,7,0.303,20,0.2,4,37.9,25,0.469,12.6,10,46,0.522,24,0.667,14,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,68.6,Away,NORTH-CAROLINA,UNC,NC State,acc,20,False,True,True,Home,False,4,24,66,25,66,2,26,57,0,1,146,408,1232,0.5089285714285714,656,1308,0.5015290519877675,132,348,1147,0.4760244115082825,0.7
21,2020-02-01-14-north-carolina-state,42.9,12,0.0,0,81.4,72.2,26,0.609,55,0.509,28,0.2,11,0.909,10,3,200,110.0,29.2,7,18,77,6.0,1.4,1,0.364,20,0.55,11,55.0,33,0.639,22.1,17,35,0.486,17,0.8640000000000001,19,"February 1, 2020",30.0,6,11.4,4,110.0,70.8,17,0.369,61,0.32799999999999996,20,0.27899999999999997,17,0.706,12,8,200,81.4,27.8,10,15,57,,10.0,7,0.377,23,0.217,5,45.0,27,0.413,13.8,11,38,0.395,15,0.636,14,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,70.2,Away,LOUISVILLE,Louisville,NC State,acc,21,False,True,True,Home,False,5,15,61,27,60,11,17,55,0,1,150,432,1298,0.5061633281972265,681,1374,0.4956331877729258,134,374,1204,0.4775747508305648,0.6666666666666666
22,2020-02-05-20-miami-fl,51.6,16,13.5,5,92.3,71.4,25,0.573,62,0.5,31,0.27399999999999997,17,0.706,12,8,200,106.4,22.6,7,20,83,,10.3,8,0.355,22,0.409,9,48.5,32,0.5920000000000001,18.7,16,40,0.55,22,0.652,15,"February 5, 2020",29.2,7,5.0,2,106.4,77.4,24,0.442,60,0.4,24,0.467,28,0.679,19,11,200,92.3,28.6,10,17,72,,12.8,10,0.38299999999999995,23,0.217,5,51.5,34,0.491,15.2,13,37,0.514,19,0.5,11,"BankUnited Center, Coral Gables, Florida",MIAMI-FL,Miami (FL),77.7,Away,NORTH-CAROLINA-STATE,NC State,NC State,acc,22,False,False,False,Away,True,9,22,62,32,66,5,19,60,1,0,155,447,1359,0.5,708,1434,0.493723849372385,145,391,1259,0.483320095313741,0.6363636363636364
23,2020-02-11-19-syracuse,72.0,18,13.0,6,93.7,71.4,25,0.635,48,0.521,25,0.583,28,0.643,18,8,200,100.0,16.7,4,19,79,,8.9,7,0.521,25,0.44,11,49.2,29,0.644,23.0,18,23,0.609,14,0.667,16,"February 11, 2020",28.0,7,8.7,2,100.0,83.3,20,0.414,64,0.391,25,0.42200000000000004,27,0.778,21,10,200,93.7,28.6,10,21,74,,13.9,11,0.281,18,0.16699999999999998,3,50.8,30,0.48200000000000004,16.5,15,46,0.478,22,0.583,14,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,78.6,Away,NORTH-CAROLINA-STATE,NC State,NC State,acc,23,False,False,False,Away,True,11,14,48,29,59,3,22,64,1,0,164,469,1421,0.5031667839549613,740,1500,0.4933333333333334,150,410,1319,0.4814253222137984,0.6521739130434783
24,2020-02-16-18-boston-college,40.7,11,10.0,4,95.9,85.2,23,0.452,62,0.435,27,0.258,16,0.75,12,9,200,91.9,35.5,11,17,68,,10.8,8,0.306,19,0.105,2,58.6,34,0.489,18.8,16,43,0.581,25,0.64,16,"February 16, 2020",56.0,14,0.0,0,91.9,64.5,20,0.509,55,0.455,25,0.327,18,0.833,15,13,200,95.9,14.8,4,17,71,,13.5,10,0.273,15,0.4,6,41.4,24,0.5589999999999999,18.2,14,40,0.475,19,0.5,13,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",NORTH-CAROLINA-STATE,NC State,74.1,Home,BOSTON-COLLEGE,Boston College,NC State,acc,24,False,False,False,Away,False,2,25,62,34,58,6,19,55,0,1,175,483,1469,0.5074880871341049,769,1559,0.4932649134060295,153,432,1383,0.4783080260303688,0.6666666666666666
25,2020-02-19-21-north-carolina-state,23.1,6,8.6,5,112.8,70.3,26,0.406,69,0.377,26,0.319,22,0.455,10,4,200,84.6,31.9,15,19,66,6.0,5.1,4,0.24600000000000002,17,0.235,4,48.8,41,0.415,14.2,13,52,0.423,22,0.846,22,"February 19, 2020",31.3,10,5.8,3,84.6,68.1,32,0.507,71,0.451,32,0.29600000000000004,21,0.762,16,9,200,112.8,29.7,11,20,88,,9.0,7,0.183,13,0.615,8,51.2,43,0.5429999999999999,10.1,9,58,0.414,24,0.654,17,"PNC Arena, Raleigh, North Carolina",DUKE,Duke,78.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,25,True,False,True,Home,True,8,24,71,43,84,4,22,69,1,0,177,508,1531,0.5052253429131287,803,1617,0.4965986394557823,159,451,1438,0.4794853963838665,0.64
26,2020-02-22-16-north-carolina-state,36.4,8,10.8,4,98.4,71.9,23,0.45399999999999996,54,0.40700000000000003,22,0.537,29,0.621,18,4,200,108.1,41.7,15,15,67,8.0,9.7,6,0.35200000000000004,19,0.263,5,55.9,38,0.494,10.7,8,35,0.486,17,0.852,23,"February 22, 2020",39.1,9,11.4,4,108.1,58.3,21,0.46399999999999997,56,0.41100000000000003,23,0.23199999999999998,13,0.6920000000000001,9,10,200,98.4,28.1,9,20,61,,8.1,5,0.33899999999999997,19,0.316,6,44.1,30,0.491,13.9,10,37,0.45899999999999996,17,0.63,17,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,62.0,Away,FLORIDA-STATE,Florida State,NC State,acc,26,False,True,True,Home,False,6,17,56,30,68,5,17,54,0,1,185,532,1602,0.5053058676654182,846,1701,0.4973544973544973,163,473,1507,0.4761114797611148,0.6538461538461539
