,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DENVER_homegame,DENVER_homegame2,DENVER_home,DENVER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-21-denver,42.9,12,2.3,1,89.3,90.3,28,0.5710000000000001,56,0.5,28,0.25,14,0.5710000000000001,8,5,200,96.0,28.6,8,17,72,,12.0,9,0.39299999999999996,22,0.364,8,61.0,36,0.575,23.4,19,34,0.588,20,0.545,6,"December 10, 2019",46.2,12,5.9,2,96.0,71.4,20,0.5,57,0.456,26,0.263,15,0.667,10,7,200,89.3,9.7,3,19,67,,10.7,8,0.228,13,0.385,5,39.0,23,0.522,19.1,15,44,0.47700000000000004,21,0.364,4,"Magness Arena, Denver, Colorado",DENVER,Denver,74.9,Away,NEW-MEXICO-STATE,New Mexico State,Denver,summit,10,False,True,True,Home,False,5,21,57,23,59,8,20,56,0,1,45,184,537,0.4683426443202979,306,649,0.4714946070878274,72,185,568,0.5158450704225352,0.4
11,2019-12-14-15-denver,68.0,17,8.1,3,108.7,86.7,26,0.583,54,0.46299999999999997,25,0.389,21,0.762,16,6,200,114.5,22.6,7,14,79,,4.3,3,0.5,27,0.48100000000000004,13,54.1,33,0.617,15.9,12,27,0.444,12,0.455,5,"December 14, 2019",58.6,17,3.7,1,114.5,77.4,24,0.585,59,0.4920000000000001,29,0.136,8,0.75,6,8,200,108.7,13.3,4,21,75,,4.3,3,0.373,22,0.5,11,45.9,28,0.597,15.0,11,37,0.486,18,0.33299999999999996,4,"Magness Arena, Denver, Colorado",DENVER,Denver,69.4,Away,AIR-FORCE,Air Force,Denver,summit,11,False,True,True,Home,False,11,18,59,28,61,13,12,54,0,1,50,205,594,0.4713804713804714,329,708,0.4646892655367232,80,205,624,0.5208333333333334,0.3636363636363637
12,2019-12-17-21-northern-colorado,21.7,5,15.4,6,110.3,76.5,26,0.522,46,0.5,23,0.5870000000000001,27,0.593,16,9,200,82.1,20.0,5,24,64,,10.3,8,0.174,8,0.25,2,52.5,31,0.544,30.2,25,38,0.5529999999999999,21,0.308,4,"December 17, 2019",32.1,9,5.3,2,82.1,80.0,20,0.56,58,0.483,28,0.483,28,0.75,21,4,200,110.3,23.5,8,26,86,,10.3,8,0.32799999999999996,19,0.474,9,47.5,28,0.603,15.6,13,39,0.48700000000000004,19,0.6,6,"Bank of Colorado Arena, Greeley, Colorado",DENVER,Denver,77.6,Home,NORTHERN-COLORADO,Northern Colorado,Denver,summit,12,False,False,False,Away,False,2,21,46,31,59,9,19,58,0,1,61,223,653,0.4816232771822359,357,769,0.4642392717815345,93,217,678,0.525811209439528,0.3333333333333333
13,2019-12-21-15-denver,50.0,11,16.7,6,89.2,66.7,28,0.46399999999999997,55,0.4,22,0.509,28,0.75,21,9,225,97.3,11.8,4,22,72,,4.1,3,0.491,27,0.259,7,42.1,32,0.527,12.9,10,28,0.536,15,0.308,4,"December 21, 2019",61.9,13,10.7,3,97.3,88.2,30,0.431,58,0.36200000000000004,21,0.586,34,0.47100000000000003,16,10,225,89.2,33.3,14,25,66,,8.1,6,0.379,22,0.364,8,57.9,44,0.445,16.1,14,36,0.361,13,0.28600000000000003,4,"Magness Arena, Denver, Colorado",DENVER,Denver,66.0,Away,WYOMING,Wyoming,Denver,summit,13,False,True,True,Home,False,8,13,58,44,76,7,15,55,0,1,63,244,699,0.4842632331902718,388,828,0.4685990338164252,102,236,736,0.5285326086956522,0.3076923076923077
14,2019-12-29-17-denver,58.3,14,2.2,1,79.7,85.0,34,0.5489999999999999,51,0.47100000000000003,24,0.255,13,0.769,10,5,200,95.7,10.7,3,14,66,,5.8,4,0.451,23,0.348,8,54.4,37,0.5770000000000001,19.8,14,28,0.5710000000000001,16,0.643,9,"December 29, 2019",42.1,8,7.1,2,95.7,89.3,25,0.364,59,0.322,19,0.254,15,0.8,12,11,200,79.7,15.0,6,12,55,,10.1,7,0.237,14,0.35700000000000004,5,45.6,31,0.41600000000000004,13.2,10,45,0.311,14,0.267,4,"Magness Arena, Denver, Colorado",DENVER,Denver,69.2,Away,NORTH-DAKOTA-STATE,North Dakota State,Denver,summit,14,False,True,True,Home,False,5,14,59,31,68,8,16,51,0,1,71,257,757,0.4801849405548216,432,904,0.4778761061946903,109,251,791,0.5240202275600506,0.2857142857142857
15,2020-01-02-21-denver,52.0,13,0.0,0,93.4,76.9,30,0.5379999999999999,52,0.48100000000000004,25,0.596,31,0.8390000000000001,26,8,200,107.9,26.7,8,19,82,,5.3,4,0.442,23,0.261,6,55.1,38,0.614,19.6,16,29,0.655,19,0.467,7,"January 2, 2020",45.5,10,0.0,0,107.9,73.3,22,0.385,65,0.33799999999999997,22,0.33799999999999997,22,0.955,21,12,200,93.4,23.1,9,23,71,,9.2,7,0.308,20,0.3,6,44.9,31,0.47100000000000003,11.8,10,45,0.35600000000000004,16,0.25,4,"Magness Arena, Denver, Colorado",DENVER,Denver,75.6,Away,NORTH-DAKOTA,North Dakota,Denver,summit,15,False,True,True,Home,False,6,16,65,31,69,6,19,52,0,1,76,271,816,0.4718137254901961,463,972,0.4763374485596708,117,267,842,0.5255344418052257,0.26666666666666666
16,2020-01-05-16-south-dakota,44.4,12,0.0,0,114.3,96.9,31,0.5870000000000001,52,0.519,27,0.462,24,0.708,17,13,200,111.4,12.0,3,23,78,,1.4,1,0.327,17,0.41200000000000003,7,59.6,34,0.615,12.6,9,35,0.5710000000000001,20,0.235,4,"January 5, 2020",41.7,10,11.4,4,111.4,88.0,22,0.546,54,0.444,24,0.48100000000000004,26,0.8079999999999999,21,7,200,114.3,3.1,1,19,80,,4.3,3,0.537,29,0.379,11,40.4,23,0.603,7.1,5,25,0.52,13,0.588,10,"Sanford Coyote Sports Center, Vermillon, South Dakota",DENVER,Denver,69.9,Home,SOUTH-DAKOTA,South Dakota,Denver,summit,16,False,False,False,Away,False,7,20,52,34,57,11,13,54,0,1,82,287,881,0.4653802497162315,494,1041,0.4745437079731028,123,286,894,0.5262863534675615,0.25
17,2020-01-08-21-denver,21.4,6,4.7,2,93.2,76.9,30,0.518,56,0.5,28,0.48200000000000004,27,0.815,22,7,200,109.6,22.6,7,20,80,,4.1,3,0.161,9,0.222,2,52.9,37,0.581,15.0,12,47,0.5529999999999999,26,0.632,12,"January 8, 2020",20.0,5,6.4,3,109.6,77.4,24,0.405,63,0.397,25,0.365,23,0.7390000000000001,17,14,200,93.2,23.1,9,23,68,,4.1,3,0.317,20,0.05,1,47.1,33,0.46,8.7,7,43,0.5579999999999999,24,0.222,4,"Magness Arena, Denver, Colorado",DENVER,Denver,72.9,Away,SOUTH-DAKOTA-STATE,South Dakota State,Denver,summit,17,False,True,True,Home,False,1,24,63,33,70,2,26,56,0,1,89,307,933,0.4721329046087889,528,1098,0.4808743169398907,134,299,948,0.5274261603375527,0.2352941176470588
18,2020-01-11-15-western-illinois,23.3,7,6.3,2,111.7,93.5,29,0.552,58,0.517,30,0.414,24,0.667,16,15,200,103.9,8.0,2,22,80,,2.6,2,0.259,15,0.267,4,55.4,31,0.5760000000000001,12.7,10,43,0.605,26,0.21100000000000002,4,"January 11, 2020",32.1,9,2.3,1,103.9,92.0,23,0.607,56,0.5,28,0.41100000000000003,23,0.7829999999999999,18,10,200,111.7,6.5,2,22,86,,3.9,3,0.429,24,0.5,12,44.6,25,0.643,14.3,11,32,0.5,16,0.33299999999999996,5,"Western Hall, Macomb, Illinois",DENVER,Denver,76.7,Home,WESTERN-ILLINOIS,Western Illinois,Denver,summit,18,False,False,False,Away,False,4,26,58,31,56,12,16,56,0,1,90,331,996,0.4678714859437751,561,1168,0.4803082191780822,136,325,1004,0.5268924302788844,0.2222222222222222
19,2020-01-18-15-denver,32.0,8,11.4,4,128.2,72.0,18,0.42,69,0.36200000000000004,25,0.29,20,0.9,18,10,200,107.0,38.1,16,27,76,,2.8,2,0.406,28,0.28600000000000003,8,50.7,34,0.484,11.4,10,41,0.415,17,0.5,10,"January 18, 2020",56.7,17,7.3,3,107.0,61.9,26,0.645,55,0.545,30,0.473,26,0.769,20,15,200,128.2,28.0,7,18,91,,5.6,4,0.364,20,0.55,11,49.3,33,0.6759999999999999,11.9,9,35,0.5429999999999999,19,0.25,5,,NEBRASKA-OMAHA,Omaha,70.9,Home,DENVER,Denver,Denver,summit,19,True,False,True,Home,True,11,19,55,33,67,8,17,69,1,0,94,357,1054,0.4724857685009488,592,1224,0.4836601307189543,148,341,1060,0.5311320754716982,0.21052631578947367
20,2020-01-23-20-north-dakota,50.0,12,7.7,2,104.0,79.3,23,0.5429999999999999,47,0.511,24,0.511,24,0.833,20,16,200,94.7,4.3,1,26,71,,8.0,6,0.213,10,0.3,3,46.2,24,0.608,23.8,18,37,0.568,21,0.23800000000000002,5,"January 23, 2020",65.0,13,0.0,0,94.7,95.7,22,0.455,55,0.364,20,0.545,30,0.9329999999999999,28,12,200,104.0,20.7,6,22,78,,12.0,9,0.527,29,0.345,10,53.8,28,0.563,13.9,11,26,0.385,10,0.429,9,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",DENVER,Denver,74.8,Home,NORTH-DAKOTA,North Dakota,Denver,summit,20,False,False,False,Away,False,3,21,47,24,52,10,10,55,0,1,105,376,1109,0.4810640216411181,625,1291,0.4841208365608056,156,358,1129,0.5243578387953941,0.25
21,2020-01-25-15-north-dakota-state,41.7,10,9.4,3,120.6,80.0,20,0.491,55,0.436,24,0.364,20,0.8,16,17,200,102.9,24.2,8,24,70,,10.3,7,0.23600000000000002,13,0.462,6,48.3,28,0.5429999999999999,13.6,10,42,0.429,18,0.22699999999999998,5,"January 25, 2020",29.2,7,4.8,2,102.9,75.8,25,0.585,47,0.511,24,0.6809999999999999,32,0.8440000000000001,27,7,200,120.6,20.0,5,17,82,,8.8,6,0.319,15,0.467,7,51.7,30,0.659,16.4,12,32,0.531,17,0.667,14,"Scheels Center, Fargo, North Dakota",DENVER,Denver,67.9,Home,NORTH-DAKOTA-STATE,North Dakota State,Denver,summit,21,False,False,False,Away,False,6,18,55,28,58,7,17,47,0,1,108,397,1156,0.4835640138408305,649,1343,0.4832464631422189,166,368,1184,0.5211148648648649,0.2380952380952381
22,2020-01-30-21-denver,50.0,14,2.6,1,111.5,89.7,26,0.569,58,0.483,28,0.638,37,0.73,27,8,200,119.2,23.5,8,25,93,,5.1,4,0.414,24,0.41700000000000004,10,54.0,34,0.615,12.9,11,34,0.529,18,0.652,15,"January 30, 2020",24.1,7,5.9,2,119.2,76.5,26,0.594,53,0.547,29,0.642,34,0.706,24,18,200,111.5,10.3,3,30,87,,10.3,8,0.264,14,0.35700000000000004,5,46.0,29,0.629,15.0,12,39,0.615,24,0.217,5,"Magness Arena, Denver, Colorado",DENVER,Denver,78.4,Away,SOUTH-DAKOTA,South Dakota,Denver,summit,22,False,True,True,Home,False,5,24,53,29,63,10,18,58,0,1,114,415,1211,0.4838976052848885,677,1401,0.48322626695217696,173,385,1231,0.5235580828594638,0.2272727272727273
23,2020-02-01-20-oral-roberts,33.3,9,2.8,1,114.7,61.1,22,0.527,55,0.491,27,0.455,25,0.76,19,19,200,102.7,14.8,4,21,77,,6.7,5,0.29100000000000004,16,0.25,4,41.3,26,0.5760000000000001,16.5,13,39,0.59,23,0.20800000000000002,5,"February 1, 2020",48.1,13,7.7,3,102.7,85.2,23,0.508,62,0.435,27,0.46799999999999997,29,0.7929999999999999,23,10,200,114.7,38.9,14,22,86,,8.0,6,0.419,26,0.34600000000000003,9,58.7,37,0.5670000000000001,14.8,13,36,0.5,18,0.545,12,"Mabee Center, Tulsa, Oklahoma",DENVER,Denver,75.3,Home,ORAL-ROBERTS,Oral Roberts,Denver,summit,23,False,False,False,Away,False,4,23,55,26,63,9,18,62,0,1,119,439,1264,0.4885284810126582,706,1464,0.4822404371584699,183,403,1289,0.5256012412723041,0.21739130434782608
24,2020-02-08-17-denver,52.2,12,12.5,4,90.0,75.8,25,0.509,55,0.418,23,0.382,21,0.667,14,14,200,100.0,18.8,6,18,70,,17.1,12,0.564,31,0.32299999999999995,10,47.7,31,0.539,13.5,10,24,0.542,13,0.462,12,"February 8, 2020",56.5,13,8.3,2,100.0,81.3,26,0.51,52,0.442,23,0.423,22,0.455,10,20,200,90.0,24.2,8,19,63,,12.9,9,0.385,20,0.35,7,52.3,34,0.504,21.6,17,32,0.5,16,0.2,5,,DENVER,Denver,70.2,Away,IPFW,Purdue-Fort Wayne,Denver,summit,24,False,True,True,Home,False,7,16,52,34,65,10,13,55,0,1,123,462,1319,0.4901440485216073,732,1527,0.4793713163064833,192,421,1351,0.5247964470762398,0.20833333333333331
25,2020-02-14-20-south-dakota-state,39.3,11,4.3,2,116.9,65.8,25,0.4920000000000001,66,0.424,28,0.22699999999999998,15,0.867,13,21,200,101.3,26.5,9,26,78,,5.2,4,0.379,25,0.36,9,47.2,34,0.5329999999999999,17.1,15,41,0.46299999999999997,19,0.192,5,"February 14, 2020",63.3,19,14.6,6,101.3,73.5,25,0.5,65,0.462,30,0.47700000000000004,31,0.8059999999999999,25,8,200,116.9,34.2,13,17,90,,9.1,7,0.27699999999999997,18,0.278,5,52.8,38,0.564,9.2,8,47,0.532,25,0.7040000000000001,19,"Frost Arena, Brookings, South Dakota",DENVER,Denver,76.9,Home,SOUTH-DAKOTA-STATE,South Dakota State,Denver,summit,25,False,False,False,Away,False,9,19,66,34,72,5,25,65,0,1,130,478,1371,0.4908825674690007,766,1592,0.4811557788944724,202,434,1406,0.5241820768136558,0.2
26,2020-02-16-17-nebraska-omaha,48.0,12,7.5,3,123.2,62.5,20,0.5,55,0.455,25,0.218,12,0.583,7,22,200,89.9,19.4,6,11,62,,5.8,4,0.309,17,0.294,5,41.3,26,0.511,19.9,15,38,0.526,20,0.185,5,"February 16, 2020",50.0,17,2.6,1,89.9,80.6,25,0.603,63,0.54,34,0.23800000000000002,15,0.6,9,14,200,123.2,37.5,12,14,85,,8.7,6,0.365,23,0.348,8,58.7,37,0.606,12.6,10,40,0.65,26,0.48100000000000004,13,"Baxter Arena, Omaha, Nebraska",DENVER,Denver,68.9,Home,NEBRASKA-OMAHA,Omaha,Denver,summit,26,False,False,False,Away,False,5,20,55,26,63,8,26,63,0,1,139,497,1437,0.4909533750869868,800,1664,0.4807692307692308,207,459,1471,0.5231135282121007,0.19230769230769232
27,2020-02-20-21-denver,45.7,16,9.1,4,117.6,65.6,21,0.513,78,0.449,35,0.26899999999999996,21,0.762,16,13,225,112.9,32.6,14,23,96,,9.4,8,0.41,32,0.313,10,46.7,35,0.546,10.3,10,46,0.5429999999999999,25,0.519,14,"February 20, 2020",67.6,23,4.3,2,112.9,67.4,29,0.56,67,0.507,34,0.433,29,0.862,25,22,225,117.6,34.4,11,20,100,,3.5,3,0.34299999999999997,23,0.304,7,53.3,40,0.619,16.7,16,44,0.614,27,0.214,6,,ORAL-ROBERTS,Oral Roberts,75.4,Home,DENVER,Denver,Denver,summit,27,True,False,True,Home,True,7,27,67,40,75,10,25,78,1,0,144,517,1492,0.4912868632707775,826,1727,0.4782860451650261,215,485,1534,0.5264015645371578,0.1851851851851852
