,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NOTRE-DAME_homegame,NOTRE-DAME_homegame2,NOTRE-DAME_home,NOTRE-DAME_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-15-notre-dame,40.9,9,16.7,4,108.7,81.6,31,0.405,63,0.349,22,0.317,20,0.5,10,4,200,88.4,31.1,14,18,61,,5.8,4,0.254,16,0.43799999999999994,7,54.2,45,0.42100000000000004,11.1,9,47,0.319,15,0.636,7,"December 14, 2019",62.5,15,10.6,5,88.4,68.9,31,0.5,63,0.381,24,0.27,17,0.706,12,3,200,108.7,18.4,7,14,75,,4.3,3,0.619,39,0.385,15,45.8,38,0.528,7.8,6,24,0.375,9,0.727,8,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",UCLA,UCLA,68.8,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,10,True,False,True,Home,True,15,9,63,38,83,7,15,63,1,0,95,174,637,0.4968602825745682,381,739,0.5155615696887687,79,170,629,0.458664546899841,0.7
11,2019-12-21-12-notre-dame,56.0,14,13.8,4,90.9,76.5,26,0.451,61,0.41,25,0.19699999999999998,12,0.583,7,1,200,93.9,30.3,10,13,62,,7.6,5,0.27899999999999997,17,0.294,5,53.7,36,0.465,14.2,11,44,0.455,20,0.917,11,"December 21, 2019",90.5,19,6.8,3,93.9,69.7,23,0.429,56,0.375,21,0.304,17,0.706,12,4,200,90.9,23.5,8,14,60,,7.6,5,0.48200000000000004,27,0.222,6,46.3,31,0.46799999999999997,12.4,9,29,0.517,15,0.667,8,"Bankers Life Fieldhouse, Indianapolis, Indiana",NOTRE-DAME,Notre Dame,66.4,Away,INDIANA,Indiana,Notre Dame,acc,11,False,True,True,Home,False,6,15,56,31,67,5,20,61,0,1,110,183,700,0.4971428571428572,419,822,0.5097323600973236,86,185,692,0.453757225433526,0.7272727272727273
12,2019-12-29-12-notre-dame,60.9,14,5.6,2,109.3,75.7,28,0.349,76,0.303,23,0.066,5,0.6,3,8,198,74.7,21.3,10,8,56,,8.0,6,0.303,23,0.304,7,45.2,38,0.35700000000000004,10.3,9,53,0.302,16,0.273,3,"December 29, 2019",69.7,23,18.9,10,74.7,78.7,37,0.5720000000000001,69,0.478,33,0.10099999999999999,7,0.429,3,4,198,109.3,24.3,9,4,82,,8.0,6,0.478,33,0.39399999999999996,13,54.8,46,0.5670000000000001,11.1,9,36,0.556,20,0.6920000000000001,9,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ALABAMA-AM,Alabama A&M,75.6,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,12,True,False,True,Home,True,13,20,69,46,84,7,16,76,1,0,116,198,756,0.492063492063492,450,889,0.5061867266591676,91,205,753,0.4535192563081009,0.6666666666666666
13,2020-01-04-16-syracuse,83.9,26,12.1,4,124.3,65.6,21,0.5579999999999999,69,0.449,31,0.217,15,0.733,11,4,200,125.7,38.9,14,11,88,,5.7,4,0.449,31,0.484,15,51.5,35,0.578,9.6,8,38,0.42100000000000004,16,0.7140000000000001,10,"January 4, 2020",64.5,20,15.8,6,125.7,61.1,22,0.602,64,0.484,31,0.203,13,0.769,10,6,200,124.3,34.4,11,13,87,,5.7,4,0.484,31,0.484,15,48.5,33,0.62,13.6,11,33,0.485,16,0.5710000000000001,8,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,70.2,Away,NOTRE-DAME,Notre Dame,Notre Dame,acc,13,False,False,False,Away,True,15,16,69,35,68,15,16,64,1,0,129,218,825,0.4987878787878788,496,973,0.5097636176772867,98,221,829,0.4439083232810615,0.6923076923076923
14,2020-01-08-19-north-carolina-state,40.7,11,11.1,4,110.6,61.1,22,0.526,57,0.474,27,0.175,10,0.8,8,5,200,103.0,34.6,9,16,68,,7.6,5,0.316,18,0.33299999999999996,6,50.0,31,0.551,18.6,14,39,0.5379999999999999,21,0.667,10,"January 8, 2020",61.5,16,10.3,4,103.0,65.4,17,0.47600000000000003,63,0.413,26,0.27,17,0.765,13,4,200,110.6,38.9,14,14,73,,10.6,7,0.429,27,0.29600000000000004,8,50.0,31,0.514,10.2,8,36,0.5,18,0.733,11,"PNC Arena, Raleigh, North Carolina",NOTRE-DAME,Notre Dame,65.9,Home,NORTH-CAROLINA-STATE,NC State,Notre Dame,acc,14,False,False,False,Away,False,6,21,57,31,62,8,18,63,0,1,144,234,894,0.5033557046979866,531,1041,0.5100864553314121,113,237,893,0.4552071668533035,0.7142857142857143
15,2020-01-11-14-notre-dame,50.0,13,2.8,1,94.1,73.7,28,0.4920000000000001,62,0.419,26,0.129,8,0.75,6,3,200,98.5,23.5,8,13,67,13.0,11.8,8,0.32299999999999995,20,0.45,9,50.0,36,0.509,13.2,10,42,0.405,17,0.812,13,"January 11, 2020",65.4,17,14.3,6,98.5,76.5,26,0.47,66,0.39399999999999996,26,0.045,3,0.667,2,6,200,94.1,26.3,10,9,64,,10.3,7,0.455,30,0.33299999999999996,10,50.0,36,0.475,14.0,11,36,0.444,16,0.625,10,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,68.1,Away,LOUISVILLE,Louisville,Notre Dame,acc,15,False,True,True,Home,False,10,16,66,36,72,9,17,62,0,1,150,255,951,0.5047318611987381,562,1103,0.5095194922937444,121,255,956,0.4565899581589958,0.6666666666666666
16,2020-01-15-20-georgia-tech,32.1,9,7.0,3,101.4,81.5,22,0.4920000000000001,65,0.431,28,0.292,19,0.737,14,6,200,106.8,25.0,9,18,78,,8.2,6,0.4,26,0.308,8,49.2,31,0.527,9.8,8,39,0.513,20,0.647,11,"January 15, 2020",50.0,15,5.1,2,106.8,75.0,27,0.552,58,0.517,30,0.259,15,0.667,10,9,200,101.4,18.5,5,17,74,,5.5,4,0.259,15,0.267,4,50.8,32,0.568,15.7,12,43,0.605,26,0.47100000000000003,8,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,72.6,Away,NOTRE-DAME,Notre Dame,Notre Dame,acc,16,False,False,False,Away,True,8,20,65,31,63,4,26,58,1,0,160,271,1017,0.5024582104228122,598,1175,0.5089361702127659,130,272,1018,0.4587426326129666,0.625
17,2020-01-22-19-notre-dame,41.9,13,12.5,4,120.6,69.4,25,0.53,66,0.47,31,0.258,17,0.8240000000000001,14,7,200,123.5,40.6,13,14,84,,8.8,6,0.39399999999999996,26,0.308,8,55.9,38,0.5670000000000001,7.5,6,40,0.575,23,0.632,12,"January 22, 2020",74.2,23,12.5,5,123.5,59.4,19,0.551,68,0.456,31,0.147,10,0.7,7,7,200,120.6,30.6,11,14,82,,4.4,3,0.529,36,0.361,13,44.1,30,0.564,8.8,7,32,0.563,18,0.611,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,67.9,Away,SYRACUSE,Syracuse,Notre Dame,acc,17,False,True,True,Home,False,13,18,68,30,68,8,23,66,0,1,168,291,1082,0.5018484288354899,629,1238,0.5080775444264943,134,298,1076,0.4637546468401487,0.6470588235294118
18,2020-01-25-20-florida-state,46.2,12,4.3,2,109.0,63.6,21,0.525,59,0.441,26,0.45799999999999996,27,0.815,22,8,200,107.7,30.0,9,14,84,,10.3,8,0.45799999999999996,27,0.37,10,47.6,30,0.585,17.5,15,32,0.5,16,0.579,11,"January 25, 2020",50.0,15,6.3,2,107.7,70.0,21,0.5539999999999999,65,0.462,30,0.215,14,0.929,13,2,200,109.0,36.4,12,21,85,5.0,11.5,9,0.27699999999999997,18,0.667,12,52.4,33,0.593,20.2,18,47,0.38299999999999995,18,0.895,17,"Donald L. Tucker Center, Tallahassee, Florida",NOTRE-DAME,Notre Dame,77.7,Home,FLORIDA-STATE,Florida State,Notre Dame,acc,18,False,False,False,Away,False,10,16,59,30,63,12,18,65,0,1,181,309,1150,0.5047826086956522,659,1306,0.5045941807044411,142,321,1142,0.4676007005253941,0.6111111111111112
19,2020-01-29-19-notre-dame,48.3,14,5.0,2,121.6,69.4,25,0.525,60,0.483,29,0.35,21,0.81,17,11,200,108.1,25.8,8,23,80,,5.4,4,0.233,14,0.35700000000000004,5,49.3,33,0.5720000000000001,15.8,13,46,0.522,24,0.45,9,"January 29, 2020",51.7,15,0.0,0,108.1,74.2,23,0.515,66,0.439,29,0.379,25,0.88,22,8,200,121.6,30.6,11,17,90,,8.1,6,0.39399999999999996,26,0.385,10,50.7,34,0.578,8.3,7,40,0.475,19,0.6,12,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",WAKE-FOREST,Wake Forest,74.4,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,19,True,False,True,Home,True,10,19,66,34,67,5,24,60,1,0,191,325,1209,0.5057899090157155,689,1369,0.5032870708546384,154,339,1207,0.4722452361226181,0.5789473684210527
20,2020-02-01-12-notre-dame,30.0,9,14.8,4,119.4,77.8,21,0.4320000000000001,74,0.405,30,0.162,12,0.667,8,12,200,107.5,45.0,18,22,72,,7.5,5,0.243,18,0.222,4,58.2,39,0.452,5.9,5,56,0.46399999999999997,26,0.455,10,"February 1, 2020",54.2,13,3.6,2,107.5,55.0,22,0.5589999999999999,51,0.47100000000000003,24,0.5489999999999999,28,0.821,23,8,200,119.4,22.2,6,9,80,,3.0,2,0.47100000000000003,24,0.375,9,41.8,28,0.622,11.2,8,27,0.556,15,0.619,13,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",GEORGIA-TECH,Georgia Tech,66.5,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,20,True,False,True,Home,True,9,15,51,28,67,4,26,74,1,0,201,344,1275,0.5062745098039215,723,1436,0.5034818941504178,159,363,1267,0.4747434885556432,0.6
21,2020-02-05-18-notre-dame,50.0,13,13.2,5,115.9,62.9,22,0.484,62,0.419,26,0.258,16,0.75,12,9,200,104.3,32.3,10,12,72,,11.6,8,0.306,19,0.42100000000000004,8,48.5,32,0.517,11.5,9,43,0.419,18,0.609,14,"February 5, 2020",63.3,19,11.6,5,104.3,67.7,21,0.5379999999999999,65,0.462,30,0.185,12,0.833,10,8,200,115.9,37.1,13,13,80,,7.2,5,0.415,27,0.37,10,51.5,34,0.5660000000000001,13.5,11,38,0.526,20,0.636,14,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",PITTSBURGH,Pitt,68.7,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,21,True,False,True,Home,True,10,20,65,34,66,8,18,62,1,0,210,359,1326,0.5082956259426847,751,1503,0.4996673320026613,163,389,1341,0.4724086502609993,0.6190476190476191
22,2020-02-09-18-clemson,66.7,14,4.5,1,89.1,84.4,27,0.52,50,0.42,21,0.2,10,0.9,9,8,200,95.3,11.1,3,12,61,,3.1,2,0.56,28,0.35700000000000004,10,50.8,30,0.557,16.8,11,22,0.5,11,0.652,15,"February 9, 2020",60.0,12,13.6,3,95.3,88.9,24,0.43799999999999994,56,0.35700000000000004,20,0.161,9,0.889,8,12,200,89.1,15.6,5,13,57,,9.4,6,0.607,34,0.265,9,49.2,29,0.473,13.1,9,22,0.5,11,0.478,11,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,63.5,Away,NOTRE-DAME,Notre Dame,Notre Dame,acc,22,False,False,False,Away,True,10,11,50,30,59,9,11,56,1,0,220,379,1391,0.509705248023005,785,1569,0.5003186743148502,171,407,1403,0.4729151817533856,0.6363636363636364
23,2020-02-11-21-virginia,55.0,11,9.7,3,75.8,86.2,25,0.377,61,0.32799999999999996,20,0.115,7,0.429,3,9,225,74.2,11.1,4,14,49,,12.1,8,0.426,26,0.231,6,44.6,29,0.381,8.6,6,35,0.4,14,0.625,15,"February 11, 2020",42.1,8,14.3,5,74.2,88.9,32,0.42200000000000004,51,0.373,19,0.21600000000000005,11,0.636,7,7,225,75.8,13.8,4,12,50,,7.6,5,0.392,20,0.25,5,55.4,36,0.445,18.9,13,31,0.452,14,0.696,16,"John Paul Jones Arena, Charlottesville, Virginia",NOTRE-DAME,Notre Dame,58.5,Home,VIRGINIA,Virginia,Notre Dame,acc,23,False,False,False,Away,False,6,14,61,29,65,5,14,51,0,1,230,390,1441,0.5100624566273422,815,1628,0.5006142506142506,180,418,1459,0.4715558601782042,0.6521739130434783
24,2020-02-15-16-duke,60.9,14,4.3,2,123.7,80.8,21,0.405,63,0.365,23,0.19,12,0.75,9,10,200,78.9,17.9,7,11,60,,6.6,5,0.33299999999999996,21,0.23800000000000002,5,43.1,28,0.4370000000000001,17.0,14,42,0.429,18,0.6,15,"February 15, 2020",48.7,19,14.3,6,78.9,82.1,32,0.638,69,0.565,39,0.10099999999999999,7,0.857,6,3,200,123.7,19.2,5,15,94,7.0,14.5,11,0.319,22,0.455,10,56.9,37,0.65,11.1,9,47,0.617,29,0.88,22,"Cameron Indoor Stadium, Durham, North Carolina",NOTRE-DAME,Notre Dame,76.0,Home,DUKE,Duke,Notre Dame,acc,24,False,False,False,Away,False,5,18,63,28,65,10,29,69,0,1,236,404,1502,0.5046604527296937,844,1693,0.4985233313644418,185,432,1510,0.4698675496688742,0.625
25,2020-02-17-19-notre-dame,64.3,18,6.9,2,111.6,73.7,28,0.485,66,0.424,28,0.212,14,0.857,12,16,200,110.1,42.4,14,17,76,,5.8,4,0.303,20,0.4,8,59.2,42,0.523,14.3,12,46,0.435,20,0.385,10,"February 17, 2020",53.6,15,10.9,5,110.1,57.6,19,0.532,63,0.444,28,0.27,17,0.588,10,10,200,111.6,26.3,10,15,77,,5.8,4,0.54,34,0.324,11,40.8,29,0.542,7.8,6,29,0.586,17,0.615,16,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NORTH-CAROLINA,UNC,68.9,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,25,True,False,True,Home,True,11,17,63,29,71,8,20,66,1,0,241,422,1565,0.5006389776357828,872,1758,0.4960182025028441,195,461,1579,0.4772007599746675,0.6
26,2020-02-23-18-notre-dame,31.0,9,8.1,3,120.8,75.0,24,0.45,70,0.414,29,0.14300000000000002,10,0.8,8,13,200,98.6,25.0,10,9,71,,6.9,5,0.314,22,0.22699999999999998,5,47.2,34,0.475,8.6,7,48,0.5,24,0.519,14,"February 23, 2020",65.6,21,14.6,7,98.6,75.0,30,0.574,68,0.47100000000000003,32,0.162,11,0.818,9,10,200,120.8,25.0,8,10,87,,5.6,4,0.456,31,0.452,14,52.8,38,0.594,8.8,7,37,0.486,18,0.63,17,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",MIAMI-FL,Miami (FL),72.0,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,26,True,False,True,Home,True,14,18,68,38,72,5,24,70,1,0,252,439,1628,0.5018427518427518,901,1829,0.4926189174412247,203,481,1645,0.4775075987841945,0.6153846153846154
