,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ORAL-ROBERTS_homegame,ORAL-ROBERTS_homegame2,ORAL-ROBERTS_home,ORAL-ROBERTS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-20-chicago-state,51.6,16,3.4,1,85.5,74.2,23,0.64,57,0.544,31,0.526,30,0.8,24,5,200,140.6,33.3,8,18,97,,14.5,10,0.439,25,0.44,11,56.4,31,0.6809999999999999,10.2,8,32,0.625,20,0.545,6,"December 17, 2019",42.1,8,3.1,1,140.6,66.7,16,0.44,50,0.38,19,0.4,20,0.75,15,8,200,85.5,25.8,8,25,59,,4.3,3,0.42,21,0.28600000000000003,6,43.6,24,0.496,21.4,16,29,0.44799999999999995,13,0.33299999999999996,4,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,69.4,Away,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,10,False,False,False,Away,True,11,20,57,31,55,6,13,50,1,0,80,190,666,0.4654654654654655,410,753,0.5444887118193891,71,176,608,0.4646381578947368,0.5
11,2019-12-21-14-oral-roberts,46.4,13,0.0,0,113.9,66.7,20,0.4920000000000001,65,0.431,28,0.154,10,0.8,8,7,200,100.0,20.0,7,22,72,,8.3,6,0.369,24,0.33299999999999996,8,41.5,27,0.516,12.6,10,41,0.488,20,0.462,6,"December 21, 2019",33.3,9,4.9,2,100.0,80.0,28,0.517,58,0.466,27,0.44799999999999995,26,0.846,22,5,200,113.9,33.3,10,14,82,,4.2,3,0.293,17,0.353,6,58.5,38,0.583,13.7,11,41,0.512,21,0.583,7,"Mabee Center, Tulsa, Oklahoma",MISSOURI-STATE,Missouri State,72.1,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,11,True,False,True,Home,True,6,21,58,38,65,8,20,65,1,0,91,210,723,0.479253112033195,441,808,0.5457920792079208,77,189,658,0.4627659574468085,0.5454545454545454
12,2019-12-28-21-brigham-young,46.7,14,9.7,3,109.7,80.6,29,0.45899999999999996,74,0.405,30,0.095,7,0.7140000000000001,5,6,200,101.4,32.5,13,18,73,,5.6,4,0.365,27,0.29600000000000004,8,55.3,42,0.47200000000000003,11.5,10,47,0.46799999999999997,22,0.5379999999999999,7,"December 28, 2019",75.0,21,8.5,4,101.4,67.5,27,0.5329999999999999,61,0.45899999999999996,28,0.32799999999999996,20,0.7,14,4,200,109.7,19.4,7,10,79,,6.9,5,0.4920000000000001,30,0.3,9,44.7,34,0.56,9.1,7,31,0.613,19,0.733,11,"Marriott Center, Provo, Utah",ORAL-ROBERTS,Oral Roberts,72.4,Home,BRIGHAM-YOUNG,BYU,Oral Roberts,summit,12,False,False,False,Away,False,8,22,74,42,76,9,19,61,0,1,97,231,781,0.4820742637644046,479,873,0.5486827033218786,85,209,723,0.4654218533886584,0.5833333333333334
13,2020-01-02-21-south-dakota-state,53.6,15,2.3,1,139.1,68.0,17,0.532,63,0.444,28,0.28600000000000003,18,0.667,12,7,200,114.5,26.5,9,15,79,,4.3,3,0.397,25,0.44,11,44.1,26,0.552,7.8,6,38,0.447,17,0.5,7,"January 2, 2020",47.5,19,13.2,5,114.5,73.5,25,0.703,64,0.625,40,0.156,10,0.6,6,7,200,139.1,32.0,8,16,96,,4.3,3,0.32799999999999996,21,0.47600000000000003,10,55.9,33,0.698,10.5,8,43,0.698,30,0.588,10,"Frost Arena, Brookings, South Dakota",ORAL-ROBERTS,Oral Roberts,68.7,Home,SOUTH-DAKOTA-STATE,South Dakota State,Oral Roberts,summit,13,False,False,False,Away,False,11,17,63,26,59,10,30,64,0,1,105,253,855,0.4801169590643275,521,949,0.5489989462592202,94,228,784,0.4706632653061225,0.5384615384615384
14,2020-01-04-20-nebraska-omaha,50.0,11,7.3,3,113.8,73.1,19,0.44,58,0.379,22,0.36200000000000004,21,0.762,16,8,200,103.1,47.2,17,14,67,,10.8,7,0.397,23,0.304,7,58.1,36,0.493,16.2,13,35,0.429,15,0.467,7,"January 4, 2020",46.7,14,17.1,6,103.1,52.8,19,0.588,57,0.526,30,0.158,9,0.778,7,8,200,113.8,26.9,7,13,74,,12.3,8,0.281,16,0.43799999999999994,7,41.9,26,0.604,15.3,11,41,0.561,23,0.529,9,"Baxter Arena, Omaha, Nebraska",ORAL-ROBERTS,Oral Roberts,64.6,Home,NEBRASKA-OMAHA,Omaha,Oral Roberts,summit,14,False,False,False,Away,False,7,15,58,36,62,7,23,57,0,1,116,270,918,0.4836601307189543,547,1008,0.5426587301587301,104,258,848,0.4882075471698113,0.5
15,2020-01-09-20-oral-roberts,40.0,10,5.6,2,116.2,78.6,22,0.555,55,0.455,25,0.255,14,0.857,12,6,200,107.4,25.0,7,17,73,,10.3,7,0.527,29,0.379,11,51.8,29,0.5920000000000001,19.7,15,26,0.5379999999999999,14,0.647,11,"January 9, 2020",32.1,9,11.5,3,107.4,75.0,21,0.594,53,0.528,28,0.358,19,0.8420000000000001,16,8,200,116.2,21.4,6,15,79,,11.8,8,0.321,17,0.41200000000000003,7,48.2,27,0.637,15.2,11,36,0.583,21,0.5,8,"Mabee Center, Tulsa, Oklahoma",NORTH-DAKOTA-STATE,North Dakota State,68.3,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,15,True,False,True,Home,True,7,21,53,27,56,11,14,55,1,0,123,285,976,0.4810450819672131,583,1070,0.5448598130841121,111,281,905,0.49447513812154703,0.4666666666666667
16,2020-01-11-20-oral-roberts,48.0,12,2.9,1,127.5,79.2,19,0.527,55,0.455,25,0.4,22,0.682,15,10,200,105.8,25.0,8,15,73,,8.7,6,0.436,24,0.33299999999999996,8,48.2,27,0.5579999999999999,14.5,11,31,0.5479999999999999,17,0.444,8,"January 11, 2020",52.9,18,6.5,2,105.8,75.0,24,0.669,59,0.5760000000000001,34,0.18600000000000005,11,0.818,9,8,200,127.5,20.8,5,19,88,,8.7,6,0.424,25,0.44,11,51.8,29,0.685,14.7,11,34,0.6759999999999999,23,0.529,9,"Mabee Center, Tulsa, Oklahoma",NORTH-DAKOTA,North Dakota,69.3,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,16,True,False,True,Home,True,11,23,59,29,56,8,17,55,1,0,130,306,1029,0.4868804664723032,610,1126,0.5417406749555951,122,295,960,0.4979166666666667,0.5
17,2020-01-16-20-western-illinois,39.4,13,5.1,2,100.0,63.6,21,0.5770000000000001,65,0.508,33,0.231,15,0.8,12,8,200,124.3,24.2,8,13,87,,10.0,7,0.415,27,0.33299999999999996,9,43.9,29,0.603,7.7,6,38,0.632,24,0.556,10,"January 16, 2020",42.3,11,7.9,3,124.3,75.8,25,0.4920000000000001,63,0.413,26,0.127,8,1.0,8,11,200,100.0,36.4,12,16,70,,4.3,3,0.381,24,0.41700000000000004,10,56.1,37,0.524,19.4,16,39,0.41,16,0.312,5,"Western Hall, Macomb, Illinois",WESTERN-ILLINOIS,Western Illinois,70.5,Away,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,17,False,False,False,Away,True,9,24,65,29,66,10,16,63,1,0,141,329,1088,0.4967830882352941,639,1182,0.5406091370558376,130,312,1015,0.4995073891625616,0.5294117647058824
18,2020-01-18-13-ipfw,48.6,18,10.0,3,94.4,78.8,26,0.677,62,0.597,37,0.177,11,0.727,8,8,200,127.8,14.8,4,16,92,,6.9,5,0.387,24,0.41700000000000004,10,50.0,30,0.684,10.7,8,38,0.711,27,0.579,11,"January 18, 2020",58.3,14,7.9,3,127.8,85.2,23,0.4920000000000001,59,0.40700000000000003,24,0.22,13,0.769,10,11,200,94.4,21.2,7,13,68,,4.2,3,0.4920000000000001,29,0.345,10,50.0,30,0.522,17.8,14,30,0.467,14,0.45,9,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,71.7,Away,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,18,False,False,False,Away,True,10,27,62,30,60,10,14,59,1,0,150,353,1153,0.5013009540329575,668,1248,0.5352564102564102,140,328,1078,0.4990723562152133,0.5555555555555556
19,2020-01-25-16-south-dakota,20.0,6,3.7,1,126.4,79.2,19,0.485,66,0.455,30,0.242,16,1.0,16,9,200,111.1,26.5,9,25,80,,4.2,3,0.28800000000000003,19,0.21100000000000002,4,48.3,28,0.5429999999999999,11.0,9,47,0.5529999999999999,26,0.55,11,"January 25, 2020",50.0,14,6.4,3,111.1,73.5,25,0.635,52,0.5379999999999999,28,0.5579999999999999,29,0.862,25,8,200,126.4,20.8,5,17,91,,4.2,3,0.48100000000000004,25,0.4,10,51.7,30,0.6920000000000001,13.4,10,27,0.667,18,0.636,14,"Sanford Coyote Sports Center, Vermillon, South Dakota",ORAL-ROBERTS,Oral Roberts,72.2,Home,SOUTH-DAKOTA,South Dakota,Oral Roberts,summit,19,False,False,False,Away,False,4,26,66,28,58,10,18,52,0,1,160,380,1215,0.5102880658436214,698,1308,0.5336391437308868,150,342,1137,0.4986807387862797,0.5789473684210527
20,2020-01-29-20-oral-roberts,54.8,17,11.9,5,92.4,60.9,28,0.625,56,0.5539999999999999,31,0.179,10,0.6,6,8,200,115.2,33.3,8,17,76,,7.6,5,0.35700000000000004,20,0.4,8,51.4,36,0.626,19.9,15,36,0.639,23,0.667,16,"January 29, 2020",36.4,8,5.6,2,115.2,66.7,16,0.373,67,0.32799999999999996,22,0.254,17,0.647,11,10,200,92.4,39.1,18,13,61,,9.1,6,0.373,25,0.24,6,48.6,34,0.406,9.7,8,42,0.381,16,0.524,11,"Mabee Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,66.4,Away,SOUTH-DAKOTA-STATE,South Dakota State,Oral Roberts,summit,20,False,True,True,Home,False,6,16,67,34,70,8,23,56,0,1,164,406,1281,0.5089773614363778,726,1366,0.5314787701317716,160,360,1189,0.5046257359125316,0.55
21,2020-02-01-20-oral-roberts,33.3,9,2.8,1,114.7,61.1,22,0.527,55,0.491,27,0.455,25,0.76,19,19,200,102.7,14.8,4,21,77,,6.7,5,0.29100000000000004,16,0.25,4,41.3,26,0.5760000000000001,16.5,13,39,0.59,23,0.20800000000000002,5,"February 1, 2020",48.1,13,7.7,3,102.7,85.2,23,0.508,62,0.435,27,0.46799999999999997,29,0.7929999999999999,23,10,200,114.7,38.9,14,22,86,,8.0,6,0.419,26,0.34600000000000003,9,58.7,37,0.5670000000000001,14.8,13,36,0.5,18,0.545,12,"Mabee Center, Tulsa, Oklahoma",DENVER,Denver,75.3,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,21,True,False,True,Home,True,9,18,62,37,63,4,23,55,1,0,170,422,1348,0.5022255192878339,760,1436,0.5292479108635098,168,383,1245,0.5100401606425703,0.5238095238095238
22,2020-02-06-20-north-dakota,28.6,8,24.0,6,102.8,92.3,24,0.526,57,0.491,28,0.175,10,0.8,8,11,200,94.4,17.9,5,18,68,,8.3,6,0.263,15,0.267,4,53.7,29,0.551,18.6,14,42,0.5710000000000001,24,0.522,12,"February 6, 2020",48.0,12,4.8,2,94.4,82.1,23,0.5870000000000001,52,0.48100000000000004,25,0.385,20,0.65,13,13,200,102.8,7.7,2,11,74,,6.9,5,0.519,27,0.40700000000000003,11,46.3,25,0.602,18.7,14,25,0.56,14,0.45799999999999996,11,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",ORAL-ROBERTS,Oral Roberts,72.1,Home,NORTH-DAKOTA,North Dakota,Oral Roberts,summit,22,False,False,False,Away,False,4,24,57,29,54,11,14,52,0,1,179,440,1410,0.5024822695035461,797,1499,0.5316877918612408,172,406,1300,0.5107692307692308,0.5454545454545454
23,2020-02-08-14-north-dakota-state,30.4,7,3.4,1,120.3,70.8,17,0.473,55,0.418,23,0.527,29,0.828,24,12,200,110.1,21.9,7,20,76,,11.6,8,0.273,15,0.4,6,42.9,24,0.5529999999999999,9.4,7,40,0.425,17,0.5,12,"February 8, 2020",48.1,13,10.0,4,110.1,78.1,25,0.608,51,0.529,27,0.49,25,0.84,21,7,200,120.3,29.2,7,20,83,,4.3,3,0.431,22,0.364,8,57.1,32,0.66,18.4,14,29,0.655,19,0.72,18,"Scheels Center, Fargo, North Dakota",ORAL-ROBERTS,Oral Roberts,69.3,Home,NORTH-DAKOTA-STATE,North Dakota State,Oral Roberts,summit,23,False,False,False,Away,False,6,17,55,24,56,8,19,51,0,1,183,464,1467,0.5034083162917519,826,1553,0.531873792659369,183,420,1352,0.5136834319526628,0.5217391304347826
24,2020-02-12-20-oral-roberts,56.3,18,15.7,8,103.8,75.6,31,0.461,77,0.41600000000000004,32,0.11699999999999999,9,0.778,7,14,225,100.0,36.8,14,14,78,,2.6,2,0.28600000000000003,22,0.318,7,57.0,45,0.48,12.9,12,55,0.455,25,0.462,12,"February 12, 2020",56.7,17,7.3,4,100.0,63.2,24,0.452,73,0.41100000000000003,30,0.247,18,0.833,15,12,225,103.8,24.4,10,11,81,,9.0,7,0.301,22,0.273,6,43.0,34,0.4970000000000001,5.8,5,51,0.47100000000000003,24,0.52,13,"Mabee Center, Tulsa, Oklahoma",NEBRASKA-OMAHA,Omaha,69.3,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,24,True,False,True,Home,True,6,24,73,34,79,7,25,77,1,0,189,481,1522,0.5022996057818659,850,1609,0.5282784338098198,191,439,1403,0.5171062009978618,0.5
25,2020-02-15-20-oral-roberts,38.5,10,6.1,3,117.5,83.8,31,0.518,55,0.473,26,0.655,36,0.639,23,9,200,100.0,9.7,3,24,80,,2.5,2,0.327,18,0.278,5,50.0,34,0.555,14.5,12,37,0.568,21,0.679,19,"February 15, 2020",48.5,16,8.1,3,100.0,90.3,28,0.535,71,0.465,33,0.33799999999999997,24,0.75,18,12,200,117.5,16.2,6,23,94,,7.5,6,0.31,22,0.455,10,50.0,34,0.57,3.5,3,49,0.469,23,0.5379999999999999,14,"Mabee Center, Tulsa, Oklahoma",SOUTH-DAKOTA,South Dakota,80.3,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,25,True,False,True,Home,True,10,23,71,34,68,5,21,55,1,0,195,505,1595,0.5,884,1688,0.523696682464455,198,464,1480,0.5141891891891892,0.52
