,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SYRACUSE_homegame,SYRACUSE_homegame2,SYRACUSE_home,SYRACUSE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
13,2020-01-04-16-syracuse,83.9,26,12.1,4,124.3,65.6,21,0.5579999999999999,69,0.449,31,0.217,15,0.733,11,4,200,125.7,38.9,14,11,88,,5.7,4,0.449,31,0.484,15,51.5,35,0.578,9.6,8,38,0.42100000000000004,16,0.7140000000000001,10,"January 4, 2020",64.5,20,15.8,6,125.7,61.1,22,0.602,64,0.484,31,0.203,13,0.769,10,6,200,124.3,34.4,11,13,87,,5.7,4,0.484,31,0.484,15,48.5,33,0.62,13.6,11,33,0.485,16,0.5710000000000001,8,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,70.2,Away,NOTRE-DAME,Notre Dame,Syracuse,acc,13,False,True,True,Home,False,15,16,64,33,68,15,16,69,0,1,123,198,728,0.5254120879120879,410,830,0.4939759036144578,110,174,742,0.4568733153638814,0.6153846153846154
14,2020-01-07-21-syracuse,95.2,20,0.0,0,100.0,70.0,21,0.52,50,0.42,21,0.42,21,0.7140000000000001,15,4,200,106.3,23.3,7,18,67,,9.5,6,0.72,36,0.278,10,46.7,28,0.5589999999999999,15.7,11,14,0.7859999999999999,11,0.733,11,"January 7, 2020",26.1,6,7.1,1,106.3,76.7,23,0.491,53,0.434,23,0.321,17,0.647,11,7,200,100.0,30.0,9,17,63,,9.5,6,0.321,17,0.353,6,53.3,32,0.516,13.0,9,36,0.47200000000000003,17,0.5329999999999999,8,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,62.5,Away,VIRGINIA-TECH,Virginia Tech,Syracuse,acc,14,False,True,True,Home,False,6,17,53,32,60,10,11,50,0,1,138,214,792,0.5315656565656566,443,898,0.4933184855233853,125,190,811,0.4654747225647349,0.5714285714285714
15,2020-01-11-16-virginia,55.0,11,5.6,2,77.5,66.7,28,0.433,60,0.33299999999999996,20,0.25,15,0.733,11,7,225,88.7,26.8,11,17,63,,9.9,7,0.483,29,0.414,12,47.0,39,0.469,15.3,12,31,0.258,8,0.562,9,"January 11, 2020",71.4,15,9.7,3,88.7,73.2,30,0.366,67,0.313,21,0.16399999999999998,11,0.545,6,4,225,77.5,33.3,14,18,55,18.0,8.5,6,0.46299999999999997,31,0.226,7,53.0,44,0.381,17.3,15,36,0.389,14,0.733,11,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA,Virginia,62.8,Away,SYRACUSE,Syracuse,Syracuse,acc,15,False,False,False,Away,True,12,8,60,39,83,7,14,67,1,0,144,231,845,0.5289940828402366,475,958,0.4958246346555323,135,201,861,0.4686411149825784,0.5333333333333333
16,2020-01-15-18-syracuse,75.0,15,11.1,4,113.4,68.2,15,0.377,61,0.32799999999999996,20,0.131,8,0.5,4,8,200,74.6,21.6,8,14,50,,10.4,7,0.4920000000000001,30,0.2,6,39.0,23,0.386,13.4,10,31,0.452,14,0.529,9,"January 15, 2020",50.0,14,19.4,6,74.6,78.4,29,0.593,54,0.519,28,0.222,12,1.0,12,7,200,113.4,31.8,7,11,76,,10.4,7,0.33299999999999996,18,0.444,8,61.0,36,0.637,19.1,14,36,0.556,20,0.588,10,"Carrier Dome, Syracuse, New York",BOSTON-COLLEGE,Boston College,66.8,Home,SYRACUSE,Syracuse,Syracuse,acc,16,True,False,True,Home,True,8,20,54,36,59,6,14,61,1,0,156,239,905,0.5226519337016574,514,1041,0.4937560038424592,142,215,928,0.4612068965517242,0.5625
17,2020-01-18-12-virginia-tech,34.5,10,9.1,2,107.8,85.7,30,0.5329999999999999,60,0.483,29,0.16699999999999998,10,0.7,7,7,200,110.9,17.9,5,14,71,,9.4,6,0.4,24,0.25,6,55.6,35,0.5479999999999999,5.8,4,36,0.639,23,0.611,11,"January 18, 2020",88.0,22,2.8,1,110.9,82.1,23,0.551,59,0.424,25,0.136,8,0.5,4,5,200,107.8,14.3,5,14,69,,1.6,1,0.627,37,0.405,15,44.4,28,0.5489999999999999,10.1,7,22,0.455,10,0.722,13,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,64.3,Away,SYRACUSE,Syracuse,Syracuse,acc,17,False,False,False,Away,True,6,23,60,35,63,15,10,59,1,0,164,259,959,0.5265901981230449,550,1100,0.5,148,229,989,0.4560161779575329,0.5882352941176471
18,2020-01-22-19-notre-dame,41.9,13,12.5,4,120.6,69.4,25,0.53,66,0.47,31,0.258,17,0.8240000000000001,14,7,200,123.5,40.6,13,14,84,,8.8,6,0.39399999999999996,26,0.308,8,55.9,38,0.5670000000000001,7.5,6,40,0.575,23,0.632,12,"January 22, 2020",74.2,23,12.5,5,123.5,59.4,19,0.551,68,0.456,31,0.147,10,0.7,7,7,200,120.6,30.6,11,14,82,,4.4,3,0.529,36,0.361,13,44.1,30,0.564,8.8,7,32,0.563,18,0.611,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,67.9,Away,SYRACUSE,Syracuse,Syracuse,acc,18,False,False,False,Away,True,8,23,66,38,68,13,18,68,1,0,170,282,1019,0.5269872423945045,585,1163,0.5030094582975064,163,239,1048,0.4613549618320611,0.6111111111111112
19,2020-01-25-12-syracuse,66.7,14,11.8,4,103.0,72.7,24,0.435,54,0.389,21,0.37,20,0.7,14,7,200,91.0,22.9,8,20,61,,11.9,8,0.389,21,0.23800000000000002,5,47.1,32,0.48,12.5,9,33,0.485,16,0.65,13,"January 25, 2020",54.2,13,18.2,6,91.0,77.1,27,0.48200000000000004,55,0.436,24,0.418,23,0.696,16,7,200,103.0,27.3,9,15,69,,9.0,6,0.382,21,0.23800000000000002,5,52.9,36,0.523,16.6,13,34,0.5589999999999999,19,0.65,13,"Carrier Dome, Syracuse, New York",PITTSBURGH,Pitt,67.2,Home,SYRACUSE,Syracuse,Syracuse,acc,19,True,False,True,Home,True,5,19,55,36,68,5,16,54,1,0,178,305,1085,0.5271889400921659,623,1231,0.5060926076360682,176,257,1116,0.4668458781362007,0.631578947368421
20,2020-01-28-19-clemson,16.7,4,11.5,3,109.2,59.3,16,0.491,57,0.42100000000000004,24,0.263,15,0.9329999999999999,14,8,200,107.7,20.7,6,16,70,,15.4,10,0.474,27,0.29600000000000004,8,39.3,22,0.546,11.2,8,30,0.5329999999999999,16,0.619,13,"January 28, 2020",65.4,17,6.7,2,107.7,79.3,23,0.565,54,0.48100000000000004,26,0.222,12,0.833,10,9,200,109.2,40.7,11,13,71,,7.7,5,0.519,28,0.321,9,60.7,34,0.595,20.2,15,26,0.654,17,0.55,11,"Littlejohn Coliseum, Clemson, South Carolina",SYRACUSE,Syracuse,64.9,Home,CLEMSON,Clemson,Syracuse,acc,20,False,False,False,Away,False,8,16,57,22,56,9,17,54,0,1,183,324,1140,0.525,659,1299,0.5073133179368745,181,273,1170,0.4653846153846154,0.65
21,2020-02-01-20-syracuse,61.3,19,11.4,5,110.0,63.4,26,0.63,54,0.574,31,0.611,33,0.879,29,3,200,121.3,43.5,10,29,97,9.0,7.5,6,0.315,17,0.353,6,56.3,36,0.696,20.8,18,37,0.6759999999999999,25,0.857,18,"February 1, 2020",48.1,13,10.8,4,121.3,56.5,13,0.429,70,0.386,27,0.529,37,0.757,28,9,200,110.0,36.6,15,25,88,,10.0,8,0.371,26,0.231,6,43.8,28,0.502,10.4,10,44,0.47700000000000004,21,0.591,13,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,80.1,Away,DUKE,Duke,Syracuse,acc,21,False,True,True,Home,False,6,21,70,28,64,6,25,54,0,1,191,340,1197,0.5233918128654971,681,1355,0.5025830258302583,190,290,1224,0.4697712418300654,0.6190476190476191
22,2020-02-08-20-syracuse,65.2,15,8.6,3,98.7,78.8,26,0.426,61,0.377,23,0.44299999999999995,27,0.778,21,13,200,96.1,34.4,11,23,73,,7.9,6,0.44299999999999995,27,0.222,6,56.9,37,0.494,17.1,15,34,0.5,17,0.435,10,"February 8, 2020",50.0,11,26.5,9,96.1,65.6,21,0.455,56,0.39299999999999996,22,0.536,30,0.8,24,9,200,98.7,21.2,7,20,75,,10.5,8,0.375,21,0.33299999999999996,7,43.1,28,0.534,13.7,11,35,0.429,15,0.609,14,"Carrier Dome, Syracuse, New York",WAKE-FOREST,Wake Forest,76.0,Home,SYRACUSE,Syracuse,Syracuse,acc,22,True,False,True,Home,True,7,15,56,28,65,6,17,61,1,0,197,361,1267,0.5181531176006314,709,1419,0.4996476391825229,196,315,1278,0.4765258215962441,0.5909090909090909
23,2020-02-11-19-syracuse,72.0,18,13.0,6,93.7,71.4,25,0.635,48,0.521,25,0.583,28,0.643,18,8,200,100.0,16.7,4,19,79,,8.9,7,0.521,25,0.44,11,49.2,29,0.644,23.0,18,23,0.609,14,0.667,16,"February 11, 2020",28.0,7,8.7,2,100.0,83.3,20,0.414,64,0.391,25,0.42200000000000004,27,0.778,21,10,200,93.7,28.6,10,21,74,,13.9,11,0.281,18,0.16699999999999998,3,50.8,30,0.48200000000000004,16.5,15,46,0.478,22,0.583,14,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,78.6,Away,NORTH-CAROLINA-STATE,NC State,Syracuse,acc,23,False,True,True,Home,False,3,22,64,30,59,11,14,48,0,1,204,376,1323,0.5154950869236583,737,1484,0.4966307277628033,202,332,1339,0.4742345033607169,0.6086956521739131
24,2020-02-15-12-florida-state,39.3,11,17.5,7,109.6,50.0,18,0.5,63,0.444,28,0.28600000000000003,18,0.778,14,11,200,105.5,27.3,9,20,77,,6.8,5,0.397,25,0.28,7,39.1,27,0.5379999999999999,13.4,11,38,0.5529999999999999,21,0.56,14,"February 15, 2020",60.7,17,7.9,3,105.5,72.7,24,0.515,65,0.431,28,0.262,17,0.765,13,4,200,109.6,50.0,18,22,80,8.0,9.6,7,0.385,25,0.44,11,60.9,42,0.547,19.0,17,40,0.425,17,0.84,21,"Donald L. Tucker Center, Tallahassee, Florida",SYRACUSE,Syracuse,72.8,Home,FLORIDA-STATE,Florida State,Syracuse,acc,24,False,False,False,Away,False,7,21,63,27,69,11,17,65,0,1,207,398,1387,0.510814708002884,767,1543,0.4970836033700583,213,346,1387,0.4798125450612834,0.5833333333333334
25,2020-02-19-19-louisville,47.8,11,12.5,5,120.0,69.2,27,0.442,60,0.38299999999999995,23,0.3,18,0.722,13,12,200,88.0,20.0,8,19,66,,6.7,5,0.433,26,0.26899999999999996,7,44.3,35,0.48100000000000004,16.1,13,34,0.47100000000000003,16,0.5379999999999999,14,"February 19, 2020",76.7,23,2.9,1,88.0,80.0,32,0.547,64,0.469,30,0.45299999999999996,29,0.69,20,5,200,120.0,30.8,12,16,90,11.0,9.3,7,0.375,24,0.41700000000000004,10,55.7,44,0.579,11.5,10,40,0.5,20,0.815,22,"KFC Yum! Center, Louisville, Kentucky",SYRACUSE,Syracuse,74.7,Home,LOUISVILLE,Louisville,Syracuse,acc,25,False,False,False,Away,False,7,16,60,35,79,10,20,64,0,1,214,419,1450,0.5103448275862069,794,1612,0.4925558312655087,224,363,1452,0.481404958677686,0.56
26,2020-02-22-16-syracuse,75.0,18,0.0,0,105.3,87.5,21,0.519,52,0.462,24,0.5,26,0.6920000000000001,18,14,200,96.0,23.3,7,26,72,,5.3,4,0.28800000000000003,15,0.4,6,51.9,28,0.5589999999999999,20.1,16,37,0.486,18,0.48100000000000004,13,"February 22, 2020",52.2,12,8.1,3,96.0,76.7,23,0.5,51,0.451,23,0.706,36,0.778,28,12,200,105.3,12.5,3,20,79,,8.0,6,0.275,14,0.35700000000000004,5,48.1,26,0.58,15.2,12,37,0.486,18,0.556,15,"Carrier Dome, Syracuse, New York",GEORGIA-TECH,Georgia Tech,75.2,Home,SYRACUSE,Syracuse,Syracuse,acc,26,True,False,True,Home,True,5,18,51,26,54,6,18,52,1,0,221,435,1510,0.5076158940397351,829,1691,0.4902424600827913,234,383,1516,0.4841688654353562,0.5384615384615384
27,2020-02-26-19-pittsburgh,61.5,16,17.2,5,70.0,79.5,31,0.536,56,0.46399999999999997,26,0.33899999999999997,19,0.632,12,12,200,102.9,28.1,9,13,72,,12.9,9,0.39299999999999996,22,0.364,8,56.3,40,0.5539999999999999,18.9,15,34,0.529,18,0.5710000000000001,16,"February 26, 2020",62.5,10,5.9,2,102.9,71.9,23,0.345,55,0.29100000000000004,16,0.255,14,0.7859999999999999,11,14,200,70.0,20.5,8,17,49,,11.4,8,0.473,26,0.231,6,43.7,31,0.397,20.7,16,29,0.345,10,0.517,15,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,70.3,Away,SYRACUSE,Syracuse,Syracuse,acc,27,False,False,False,Away,True,8,18,56,40,71,6,10,55,1,0,226,453,1561,0.507367072389494,855,1745,0.4899713467048711,240,401,1568,0.4853316326530612,0.5555555555555556
