,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KANSAS-STATE_homegame,KANSAS-STATE_homegame2,KANSAS-STATE_home,KANSAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-19-kansas-state,60.9,14,8.3,2,95.5,89.5,17,0.5670000000000001,45,0.511,23,0.556,25,0.6,15,2,200,100.0,22.2,6,16,66,,16.7,11,0.311,14,0.35700000000000004,5,50.0,23,0.58,21.1,15,31,0.581,18,0.833,10,"December 21, 2019",77.8,14,0.0,0,100.0,77.8,21,0.5379999999999999,40,0.45,18,0.575,23,0.87,20,5,200,95.5,10.5,2,18,63,,9.1,6,0.4,16,0.43799999999999994,7,50.0,23,0.619,26.4,18,24,0.45799999999999996,11,0.545,6,"Sprint Center, Kansas City, Missouri",KANSAS-STATE,Kansas State,66.4,Away,SAINT-LOUIS,Saint Louis,Kansas State,big-12,10,False,True,True,Home,False,7,11,40,23,46,5,18,45,0,1,70,169,561,0.4884135472370766,323,643,0.5023328149300156,61,149,531,0.4529190207156309,0.6
11,2019-12-29-18-kansas-state,50.0,12,3.6,1,95.8,73.5,25,0.491,56,0.429,24,0.35700000000000004,20,0.6,12,5,200,93.1,19.4,6,18,67,,9.7,7,0.35700000000000004,20,0.35,7,47.7,31,0.511,15.6,12,36,0.47200000000000003,17,0.615,8,"December 29, 2019",65.2,15,19.4,7,93.1,80.6,25,0.475,60,0.38299999999999995,23,0.33299999999999996,20,0.6,12,5,200,95.8,26.5,9,17,69,,13.9,10,0.5329999999999999,32,0.344,11,52.3,34,0.496,13.8,11,28,0.429,12,0.583,7,"Bramlage Coliseum, Manhattan, Kansas",TULSA,Tulsa,71.5,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,11,True,False,True,Home,True,11,12,60,34,65,7,17,56,1,0,77,180,601,0.4916805324459234,346,689,0.5021770682148039,66,167,576,0.4618055555555556,0.5454545454545454
12,2020-01-04-13-oklahoma,40.9,9,10.7,3,97.1,76.5,26,0.444,63,0.349,22,0.14300000000000002,9,0.556,5,6,200,89.7,23.1,9,23,61,,5.9,4,0.5870000000000001,37,0.324,12,47.9,35,0.45299999999999996,14.1,11,26,0.385,10,0.5379999999999999,7,"January 4, 2020",36.8,7,7.7,2,89.7,76.9,30,0.42200000000000004,51,0.373,19,0.569,29,0.7929999999999999,23,3,200,97.1,23.5,8,13,66,,10.3,7,0.451,23,0.217,5,52.1,38,0.509,13.6,10,28,0.5,14,0.769,10,"Lloyd Noble Center, Norman, Oklahoma",KANSAS-STATE,Kansas State,68.0,Home,OKLAHOMA,Oklahoma,Kansas State,big-12,12,False,False,False,Away,False,12,10,63,35,73,5,14,51,0,1,88,192,661,0.4901664145234493,380,754,0.5039787798408488,73,184,632,0.4643987341772152,0.5833333333333334
13,2020-01-07-21-kansas-state,60.0,12,20.7,6,85.1,81.3,26,0.424,59,0.33899999999999997,20,0.28800000000000003,17,0.529,9,3,200,88.1,28.6,10,17,59,,7.5,5,0.45799999999999996,27,0.37,10,53.7,36,0.44,14.2,11,32,0.313,10,0.7859999999999999,11,"January 7, 2020",57.1,12,12.5,4,88.1,71.4,25,0.469,49,0.429,21,0.38799999999999996,19,0.579,11,7,200,85.1,18.8,6,18,57,,6.0,4,0.408,20,0.2,4,46.3,31,0.491,19.6,14,29,0.586,17,0.5,7,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,67.1,Away,TEXAS-CHRISTIAN,TCU,Kansas State,big-12,13,False,True,True,Home,False,4,17,49,31,67,10,10,59,0,1,100,202,724,0.4861878453038674,415,827,0.501813784764208,78,198,683,0.4612005856515373,0.5384615384615384
14,2020-01-11-20-texas,45.0,9,3.8,1,100.0,65.2,15,0.41700000000000004,54,0.37,20,0.16699999999999998,9,0.556,5,8,200,78.1,34.5,10,15,50,,17.2,11,0.278,15,0.33299999999999996,5,48.1,25,0.429,20.6,15,39,0.385,15,0.467,7,"January 11, 2020",66.7,16,25.6,10,78.1,65.5,19,0.5920000000000001,49,0.49,24,0.245,12,0.5,6,4,200,100.0,34.8,8,14,64,,12.5,8,0.469,23,0.435,10,51.9,27,0.585,25.9,19,26,0.5379999999999999,14,0.733,11,"Frank Erwin Center, Austin, Texas",KANSAS-STATE,Kansas State,64.5,Home,TEXAS,Texas,Kansas State,big-12,14,False,False,False,Away,False,5,15,54,25,52,10,14,49,0,1,104,219,773,0.4851228978007762,446,894,0.4988814317673378,88,208,742,0.4582210242587601,0.5
15,2020-01-14-20-kansas-state,52.0,13,9.1,2,92.6,81.0,17,0.5379999999999999,53,0.47200000000000003,25,0.491,26,0.769,20,5,200,113.2,40.7,11,24,77,23.0,14.7,10,0.34,18,0.389,7,58.3,28,0.589,16.8,13,35,0.514,18,0.688,11,"January 14, 2020",29.4,5,2.9,1,113.2,59.3,16,0.528,36,0.47200000000000003,17,0.9440000000000001,34,0.735,25,9,200,92.6,19.0,4,22,63,,7.4,5,0.389,14,0.28600000000000003,4,41.7,20,0.604,28.2,20,22,0.591,13,0.43799999999999994,7,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,67.8,Away,TEXAS-TECH,Texas Tech,Kansas State,big-12,15,False,True,True,Home,False,4,13,36,20,48,7,18,53,0,1,109,234,827,0.4806529625151149,471,946,0.4978858350951374,98,222,791,0.4664981036662453,0.4666666666666667
16,2020-01-18-14-kansas-state,48.0,12,3.2,1,118.3,70.0,14,0.5,56,0.446,25,0.39299999999999996,22,0.545,12,3,200,95.8,41.9,13,24,68,12.0,12.7,9,0.39299999999999996,22,0.273,6,52.9,27,0.512,21.5,18,34,0.5589999999999999,19,0.8240000000000001,14,"January 18, 2020",62.1,18,2.9,1,95.8,58.1,18,0.684,49,0.5920000000000001,29,0.51,25,0.68,17,9,200,118.3,30.0,6,24,84,,18.3,13,0.3670000000000001,18,0.5,9,47.1,24,0.69,21.1,16,31,0.645,20,0.47100000000000003,8,"Bramlage Coliseum, Manhattan, Kansas",WEST-VIRGINIA,West Virginia,71.2,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,16,True,False,True,Home,True,9,20,49,24,51,6,19,56,1,0,113,247,863,0.4826187717265353,491,994,0.4939637826961771,105,240,844,0.4709715639810427,0.4375
17,2020-01-21-19-kansas,43.5,10,7.7,3,120.9,55.6,20,0.466,58,0.397,23,0.22399999999999998,13,0.462,6,10,200,89.6,28.6,10,18,60,,9.0,6,0.379,22,0.364,8,42.3,30,0.467,16.9,13,36,0.41700000000000004,15,0.444,8,"January 21, 2020",43.3,13,25.0,9,89.6,71.4,25,0.531,65,0.462,30,0.262,17,0.706,12,3,200,120.9,44.4,16,15,81,3.0,14.9,10,0.4,26,0.34600000000000003,9,57.7,41,0.5539999999999999,12.1,10,39,0.5379999999999999,21,0.833,15,"Allen Fieldhouse, Lawrence, Kansas",KANSAS-STATE,Kansas State,67.1,Home,KANSAS,Kansas,Kansas State,big-12,17,False,False,False,Away,False,8,15,58,30,71,9,21,65,0,1,122,267,912,0.4934210526315789,515,1045,0.492822966507177,111,259,900,0.4727777777777778,0.4705882352941176
18,2020-01-25-18-alabama,61.5,16,9.5,2,102.7,91.3,21,0.419,74,0.35100000000000003,26,0.257,19,0.632,12,11,200,98.7,42.6,20,28,74,,6.7,5,0.392,29,0.345,10,58.6,41,0.446,12.7,12,45,0.35600000000000004,16,0.42100000000000004,8,"January 25, 2020",42.9,9,17.8,8,98.7,57.4,27,0.581,43,0.488,21,0.86,37,0.73,27,7,200,102.7,8.7,2,17,77,,12.0,9,0.512,22,0.364,8,41.4,29,0.636,21.3,16,21,0.619,13,0.632,12,"Coleman Coliseum , Tuscaloosa, Alabama",KANSAS-STATE,Kansas State,74.8,Home,ALABAMA,Alabama,Kansas State,big-12,18,False,False,False,Away,False,10,16,74,41,70,8,13,43,0,1,130,282,970,0.4917525773195876,545,1116,0.4883512544802867,120,280,965,0.4766839378238342,0.4444444444444444
19,2020-01-29-20-kansas-state,55.6,10,15.4,6,84.7,85.7,30,0.392,51,0.353,18,0.33299999999999996,17,0.765,13,7,200,73.6,20.6,7,16,53,,9.7,7,0.41200000000000003,21,0.19,4,53.6,37,0.449,24.5,19,30,0.467,14,0.65,13,"January 29, 2020",47.8,11,0.0,0,73.6,79.4,27,0.419,62,0.371,23,0.242,15,0.6,9,11,200,84.7,14.3,5,11,61,,16.7,12,0.371,23,0.261,6,46.4,32,0.441,10.4,8,39,0.436,17,0.45,9,"Bramlage Coliseum, Manhattan, Kansas",OKLAHOMA,Oklahoma,71.6,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,19,True,False,True,Home,True,6,17,62,32,69,4,14,51,1,0,140,298,1044,0.4865900383141762,586,1186,0.4940978077571669,128,293,1008,0.4811507936507937,0.42105263157894735
20,2020-02-01-14-west-virginia,33.3,6,9.7,3,100.0,66.7,20,0.39799999999999996,49,0.3670000000000001,18,0.531,26,0.6920000000000001,18,12,200,86.4,25.0,8,23,57,,10.6,7,0.34700000000000003,17,0.17600000000000002,3,45.2,28,0.465,16.6,12,32,0.469,15,0.429,9,"February 1, 2020",61.9,13,3.1,1,86.4,75.0,24,0.48,50,0.42,21,0.56,28,0.643,18,4,200,100.0,33.3,10,21,66,12.0,7.6,5,0.38,19,0.316,6,54.8,34,0.521,18.3,14,31,0.484,15,0.81,17,"WVU Coliseum, Morgantown, West Virginia",KANSAS-STATE,Kansas State,66.3,Home,WEST-VIRGINIA,West Virginia,Kansas State,big-12,20,False,False,False,Away,False,3,15,49,28,62,6,15,50,0,1,146,315,1106,0.4828209764918626,618,1255,0.4924302788844622,132,307,1059,0.4768649669499528,0.45
21,2020-02-03-21-kansas-state,70.8,17,3.7,1,98.5,77.8,21,0.594,48,0.5,24,0.604,29,0.552,16,1,200,107.4,20.7,6,18,73,1.0,16.2,11,0.45799999999999996,22,0.409,9,48.2,27,0.591,18.7,14,26,0.5770000000000001,15,0.9520000000000001,20,"February 3, 2020",63.6,14,3.8,1,107.4,79.3,23,0.542,48,0.45799999999999996,22,0.396,19,0.789,15,13,200,98.5,22.2,6,24,67,,7.4,5,0.43799999999999994,21,0.381,8,51.8,29,0.5870000000000001,22.1,16,27,0.519,14,0.409,9,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,68.4,Away,BAYLOR,Baylor,Kansas State,big-12,21,False,True,True,Home,False,8,14,48,29,56,9,15,48,0,1,149,330,1155,0.4792207792207792,646,1317,0.4905087319665907,138,322,1109,0.4770063119927863,0.42857142857142855
22,2020-02-08-20-iowa-state,50.0,11,10.0,3,100.0,72.0,18,0.457,58,0.379,22,0.31,18,0.556,10,14,200,86.3,25.0,9,17,63,,15.1,11,0.534,31,0.29,9,44.3,27,0.473,19.5,16,27,0.48100000000000004,13,0.391,9,"February 8, 2020",50.0,12,33.3,9,86.3,75.0,27,0.509,53,0.45299999999999996,24,0.377,20,0.95,19,13,200,100.0,28.0,7,14,73,,15.1,11,0.434,23,0.261,6,55.7,34,0.584,20.6,16,30,0.6,18,0.435,10,"James H. Hilton Coliseum , Ames, Iowa",KANSAS-STATE,Kansas State,72.5,Home,IOWA-STATE,Iowa State,Kansas State,big-12,22,False,False,False,Away,False,9,13,58,27,61,6,18,53,0,1,157,344,1203,0.4817123857024106,675,1373,0.4916241806263657,147,337,1157,0.4818496110630942,0.4090909090909091
23,2020-02-11-21-kansas-state,45.5,10,5.9,2,88.1,78.0,32,0.535,43,0.512,22,0.628,27,0.667,18,12,200,95.5,23.8,5,18,64,,4.5,3,0.18600000000000005,8,0.25,2,59.7,37,0.573,21.5,15,35,0.5710000000000001,20,0.5,12,"February 11, 2020",60.0,12,2.9,1,95.5,76.2,16,0.42,56,0.35700000000000004,20,0.39299999999999996,22,0.545,12,15,200,88.1,22.0,9,22,59,,13.4,9,0.39299999999999996,22,0.318,7,40.3,25,0.444,14.3,11,34,0.382,13,0.375,9,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,67.1,Away,OKLAHOMA-STATE,Oklahoma State,Kansas State,big-12,23,False,True,True,Home,False,7,13,56,25,62,2,20,43,0,1,166,357,1261,0.4805709754163362,702,1434,0.4895397489539749,153,355,1210,0.4830578512396694,0.39130434782608703
24,2020-02-15-17-texas-christian,39.1,9,26.3,5,109.7,76.9,20,0.444,54,0.426,23,0.29600000000000004,16,0.563,9,16,200,91.9,24.2,8,15,57,,12.9,8,0.222,12,0.16699999999999998,2,47.5,28,0.46299999999999997,11.6,8,42,0.5,21,0.36,9,"February 15, 2020",82.6,19,16.7,7,91.9,75.8,25,0.5870000000000001,52,0.442,23,0.17300000000000001,9,0.778,7,11,200,109.7,23.1,6,16,68,,3.2,2,0.635,33,0.455,15,52.5,31,0.604,18.9,13,19,0.42100000000000004,8,0.56,14,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",KANSAS-STATE,Kansas State,62.4,Home,TEXAS-CHRISTIAN,TCU,Kansas State,big-12,24,False,False,False,Away,False,2,21,54,28,59,15,8,52,0,1,173,370,1317,0.4779802581624905,727,1496,0.4859625668449198,155,375,1253,0.4848363926576217,0.375
25,2020-02-19-21-texas-tech,39.1,9,0.0,0,106.2,71.4,15,0.521,48,0.479,23,0.396,19,0.632,12,17,200,95.4,28.6,8,21,62,,18.5,12,0.354,17,0.235,4,46.9,23,0.544,22.1,16,31,0.613,19,0.34600000000000003,9,"February 19, 2020",78.3,18,9.7,3,95.4,71.4,20,0.5870000000000001,46,0.5,23,0.37,17,0.882,15,9,200,106.2,28.6,6,16,69,,15.4,10,0.457,21,0.381,8,53.1,26,0.638,24.1,17,25,0.6,15,0.654,17,"United Supermarkets Arena, Lubbock, Texas",KANSAS-STATE,Kansas State,65.1,Home,TEXAS-TECH,Texas Tech,Kansas State,big-12,25,False,False,False,Away,False,4,19,48,23,49,8,15,46,0,1,175,391,1371,0.4766593727206418,755,1555,0.4855305466237942,170,383,1305,0.4888888888888889,0.36
26,2020-02-22-14-kansas-state,39.1,9,15.9,7,81.9,58.8,20,0.614,44,0.523,23,0.47700000000000004,21,0.762,16,11,200,97.2,12.5,3,25,70,,15.3,11,0.4320000000000001,19,0.42100000000000004,8,39.7,23,0.648,25.3,18,25,0.6,15,0.593,16,"February 22, 2020",50.0,10,0.0,0,97.2,87.5,21,0.371,58,0.345,20,0.5,29,0.552,16,18,200,81.9,41.2,14,20,59,,12.5,9,0.24100000000000002,14,0.214,3,60.3,35,0.41100000000000003,19.4,17,44,0.386,17,0.33299999999999996,9,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,71.9,Away,TEXAS,Texas,Kansas State,big-12,26,False,True,True,Home,False,3,17,58,35,58,8,15,44,0,1,179,410,1419,0.47815362931641997,778,1604,0.4850374064837905,178,398,1351,0.4922279792746114,0.3461538461538461
