,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BAYLOR_homegame,BAYLOR_homegame2,BAYLOR_home,BAYLOR_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-30-15-baylor,40.0,8,6.1,2,113.7,64.5,20,0.375,60,0.33299999999999996,20,0.28300000000000003,17,0.706,12,10,200,78.1,30.0,12,22,57,,9.6,7,0.217,13,0.385,5,45.1,32,0.419,21.1,18,47,0.319,15,0.231,3,"December 30, 2019",59.3,16,6.4,3,78.1,70.0,28,0.593,54,0.5,27,0.519,28,0.679,19,1,200,113.7,35.5,11,14,83,6.0,13.7,10,0.389,21,0.47600000000000003,10,54.9,39,0.617,18.4,15,33,0.515,17,0.909,10,"Ferrell Center, Waco, Texas",JACKSON-STATE,Jackson State,72.7,Home,BAYLOR,Baylor,Baylor,big-12,10,True,False,True,Home,True,10,17,54,39,71,5,15,60,1,0,87,187,622,0.5104501607717041,352,639,0.5508607198748043,61,153,554,0.44133574007220217,0.9
11,2020-01-04-20-baylor,50.0,9,8.5,4,95.2,57.5,23,0.375,52,0.34600000000000003,18,0.28800000000000003,15,0.33299999999999996,5,3,200,71.0,22.9,8,17,44,,3.2,2,0.308,16,0.188,3,41.3,31,0.3720000000000001,14.6,10,36,0.41700000000000004,15,0.769,10,"January 4, 2020",30.0,6,22.2,8,71.0,77.1,27,0.35200000000000004,64,0.313,20,0.25,16,0.875,14,1,200,95.2,42.5,17,16,59,6.0,8.1,5,0.266,17,0.294,5,58.7,44,0.41200000000000003,10.1,8,47,0.319,15,0.917,11,"Ferrell Center, Waco, Texas",TEXAS,Texas,61.9,Home,BAYLOR,Baylor,Baylor,big-12,11,True,False,True,Home,True,5,15,64,44,75,3,15,52,1,0,97,204,676,0.5170118343195266,391,710,0.5507042253521127,66,168,614,0.43485342019543977,0.9090909090909092
12,2020-01-07-21-texas-tech,27.3,6,6.5,2,82.5,74.3,26,0.47100000000000003,51,0.431,22,0.33299999999999996,17,0.529,9,1,200,90.5,48.3,14,21,57,4.0,9.5,6,0.255,13,0.308,4,62.5,40,0.48200000000000004,23.5,18,38,0.474,18,0.9229999999999999,12,"January 7, 2020",65.0,13,18.4,7,90.5,51.7,15,0.435,54,0.37,20,0.222,12,0.41700000000000004,5,4,200,82.5,25.7,9,18,52,22.0,12.7,8,0.426,23,0.304,7,37.5,24,0.436,16.8,12,31,0.419,13,0.7140000000000001,10,"United Supermarkets Arena, Lubbock, Texas",TEXAS-TECH,Texas Tech,62.9,Away,BAYLOR,Baylor,Baylor,big-12,12,False,False,False,Away,True,4,18,51,40,64,7,13,54,1,0,102,219,740,0.5027027027027027,435,785,0.554140127388535,69,183,666,0.43018018018018017,0.9166666666666666
13,2020-01-11-13-kansas,48.1,13,5.6,2,87.3,70.0,21,0.517,60,0.45,27,0.11699999999999999,7,0.7140000000000001,5,1,200,106.3,17.9,5,16,67,4.0,14.3,9,0.317,19,0.42100000000000004,8,44.8,26,0.529,7.3,5,41,0.46299999999999997,19,0.929,13,"January 11, 2020",45.0,9,24.4,10,106.3,82.1,23,0.431,51,0.392,20,0.275,14,0.7859999999999999,11,3,200,87.3,30.0,9,10,55,3.0,4.8,3,0.294,15,0.267,4,55.2,32,0.47700000000000004,19.7,14,36,0.444,16,0.8,12,"Allen Fieldhouse, Lawrence, Kansas",KANSAS,Kansas,63.0,Away,BAYLOR,Baylor,Baylor,big-12,13,False,False,False,Away,True,8,19,60,26,58,4,16,51,1,0,106,237,791,0.5006321112515802,475,849,0.5594817432273262,76,196,720,0.4305555555555556,0.9230769230769232
14,2020-01-15-20-baylor,73.9,17,14.3,6,101.5,60.5,23,0.44799999999999995,58,0.397,23,0.10300000000000001,6,0.5,3,8,200,82.1,22.6,7,20,55,,7.5,5,0.397,23,0.261,6,43.5,30,0.452,16.5,12,35,0.486,17,0.5,8,"January 15, 2020",52.0,13,11.4,4,82.1,77.4,24,0.444,62,0.40299999999999997,25,0.355,22,0.591,13,1,200,101.5,39.5,15,13,68,2.0,9.0,6,0.32299999999999995,20,0.25,5,56.5,39,0.469,13.3,11,42,0.47600000000000003,20,0.9329999999999999,14,"Ferrell Center, Waco, Texas",IOWA-STATE,Iowa State,67.2,Home,BAYLOR,Baylor,Baylor,big-12,14,True,False,True,Home,True,5,20,62,39,69,6,17,58,1,0,114,256,851,0.5017626321974148,501,907,0.5523704520396913,80,212,771,0.43060959792477305,0.9285714285714286
15,2020-01-18-12-oklahoma-state,58.3,14,12.5,4,98.6,66.7,18,0.509,55,0.436,24,0.418,23,0.826,19,1,200,108.7,24.1,7,15,75,2.0,10.1,7,0.418,23,0.348,8,44.6,25,0.569,12.1,9,32,0.5,16,0.938,15,"January 18, 2020",56.5,13,6.3,2,108.7,75.9,22,0.5,56,0.41100000000000003,23,0.268,15,0.8,12,8,200,98.6,33.3,9,19,68,,8.7,6,0.429,24,0.41700000000000004,10,55.4,31,0.539,19.3,15,32,0.406,13,0.529,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,68.5,Away,BAYLOR,Baylor,Baylor,big-12,15,False,False,False,Away,True,8,16,55,25,56,10,13,56,1,0,119,276,913,0.4978094194961665,540,976,0.5532786885245902,86,229,829,0.43184559710494574,0.9333333333333332
16,2020-01-20-21-baylor,61.9,13,16.2,6,95.3,60.0,24,0.425,60,0.35,21,0.16699999999999998,10,0.6,6,6,200,89.1,27.0,10,15,57,,14.1,9,0.41700000000000004,25,0.36,9,44.2,34,0.44,11.0,8,35,0.34299999999999997,12,0.667,12,"January 20, 2020",50.0,11,14.3,5,89.1,73.0,27,0.397,63,0.349,22,0.23800000000000002,15,0.733,11,1,200,95.3,40.0,16,12,61,1.0,6.3,4,0.413,26,0.231,6,55.8,43,0.435,13.6,11,37,0.4320000000000001,16,0.941,16,"Ferrell Center, Waco, Texas",OKLAHOMA,Oklahoma,63.9,Home,BAYLOR,Baylor,Baylor,big-12,16,True,False,True,Home,True,6,16,63,43,77,9,12,60,1,0,127,292,968,0.4984504132231405,565,1032,0.5474806201550387,96,242,885,0.43615819209039547,0.9375
17,2020-01-25-20-florida,54.2,13,8.6,3,95.3,82.1,23,0.518,55,0.436,24,0.29100000000000004,16,0.938,15,1,200,112.5,33.3,8,19,72,1.0,4.7,3,0.345,19,0.474,9,59.6,31,0.575,16.2,12,36,0.41700000000000004,15,0.9440000000000001,17,"January 25, 2020",47.8,11,16.7,6,112.5,66.7,16,0.48100000000000004,52,0.442,23,0.308,16,0.688,11,7,200,95.3,17.9,5,17,61,,7.8,5,0.327,17,0.235,4,40.4,21,0.512,10.6,7,35,0.5429999999999999,19,0.632,12,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,64.1,Away,BAYLOR,Baylor,Baylor,big-12,17,False,False,False,Away,True,9,15,55,31,52,4,19,52,1,0,133,308,1031,0.4922405431619787,608,1109,0.5482416591523895,105,254,945,0.4354497354497355,0.9411764705882352
18,2020-01-29-21-iowa-state,50.0,14,15.2,5,81.5,77.4,24,0.484,62,0.452,28,0.145,9,0.778,7,1,200,103.1,40.6,13,15,67,1.0,13.8,9,0.32299999999999995,20,0.2,4,58.7,37,0.505,13.2,10,42,0.5710000000000001,24,0.9470000000000001,18,"January 29, 2020",38.9,7,4.8,2,103.1,59.4,19,0.4,50,0.36,18,0.3,15,0.867,13,11,200,81.5,22.6,7,13,53,,7.7,5,0.34,17,0.235,4,41.3,26,0.46399999999999997,22.0,16,33,0.424,14,0.45,9,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,64.7,Away,BAYLOR,Baylor,Baylor,big-12,18,False,False,False,Away,True,4,24,62,37,63,4,14,50,1,0,142,323,1086,0.4935543278084714,639,1161,0.5503875968992248,109,273,997,0.4378134403209629,0.9444444444444444
19,2020-02-01-16-baylor,68.4,13,19.4,7,106.3,64.3,18,0.415,53,0.358,19,0.245,13,0.615,8,8,200,81.3,28.6,10,16,52,,7.8,5,0.396,21,0.28600000000000003,6,44.4,28,0.439,20.3,15,32,0.406,13,0.619,13,"February 1, 2020",65.2,15,25.0,8,81.3,71.4,25,0.5,55,0.418,23,0.309,17,0.765,13,1,200,106.3,35.7,10,14,68,1.0,10.9,7,0.345,19,0.474,9,55.6,35,0.539,15.0,11,36,0.389,14,0.95,19,"Ferrell Center, Waco, Texas",TEXAS-CHRISTIAN,TCU,64.1,Home,BAYLOR,Baylor,Baylor,big-12,19,True,False,True,Home,True,9,14,55,35,63,6,13,53,1,0,146,347,1148,0.4930313588850174,676,1224,0.5522875816993464,113,287,1047,0.436007640878701,0.9473684210526316
20,2020-02-03-21-kansas-state,70.8,17,3.7,1,98.5,77.8,21,0.594,48,0.5,24,0.604,29,0.552,16,1,200,107.4,20.7,6,18,73,1.0,16.2,11,0.45799999999999996,22,0.409,9,48.2,27,0.591,18.7,14,26,0.5770000000000001,15,0.9520000000000001,20,"February 3, 2020",63.6,14,3.8,1,107.4,79.3,23,0.542,48,0.45799999999999996,22,0.396,19,0.789,15,13,200,98.5,22.2,6,24,67,,7.4,5,0.43799999999999994,21,0.381,8,51.8,29,0.5870000000000001,22.1,16,27,0.519,14,0.409,9,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,68.4,Away,BAYLOR,Baylor,Baylor,big-12,20,False,False,False,Away,True,9,15,48,27,56,8,14,48,1,0,155,361,1203,0.4933499584372402,711,1287,0.5524475524475524,119,300,1100,0.435,0.95
21,2020-02-08-18-baylor,45.8,11,9.1,3,114.7,60.5,23,0.52,51,0.47100000000000003,24,0.431,22,0.773,17,12,200,102.9,39.1,9,29,70,,5.9,4,0.33299999999999996,17,0.294,5,52.5,32,0.57,19.8,15,34,0.5589999999999999,19,0.478,11,"February 8, 2020",60.0,15,8.8,3,102.9,60.9,14,0.4920000000000001,59,0.424,25,0.5589999999999999,33,0.606,20,1,200,114.7,39.5,15,20,78,1.0,7.4,5,0.441,26,0.308,8,47.5,29,0.522,10.9,9,33,0.515,17,0.955,21,"Ferrell Center, Waco, Texas",OKLAHOMA-STATE,Oklahoma State,68.1,Home,BAYLOR,Baylor,Baylor,big-12,21,True,False,True,Home,True,8,17,59,29,61,5,19,51,1,0,164,376,1251,0.4972022382094324,738,1343,0.5495160089352197,127,314,1148,0.4394599303135889,0.9523809523809524
22,2020-02-10-21-texas,52.9,9,14.3,6,71.4,69.2,27,0.4,50,0.34,17,0.32,16,0.75,12,1,200,82.5,29.4,10,17,52,1.0,7.9,5,0.32,16,0.375,6,50.7,37,0.451,18.6,13,34,0.324,11,0.9570000000000001,22,"February 10, 2020",44.4,8,17.6,6,82.5,70.6,24,0.331,59,0.305,18,0.18600000000000005,11,0.545,6,10,200,71.4,30.8,12,19,45,,7.9,5,0.28800000000000003,17,0.17600000000000002,3,49.3,36,0.35,16.9,13,42,0.35700000000000004,15,0.583,14,"Frank Erwin Center, Austin, Texas",TEXAS,Texas,62.9,Away,BAYLOR,Baylor,Baylor,big-12,22,False,False,False,Away,True,6,11,50,37,73,3,15,59,1,0,172,393,1310,0.4969465648854962,767,1404,0.5462962962962963,132,333,1199,0.44286905754795663,0.9545454545454546
23,2020-02-15-16-baylor,36.8,7,5.3,2,94.6,65.5,19,0.4,55,0.345,19,0.4,22,0.682,15,7,200,79.7,32.4,11,18,59,14.0,12.2,9,0.327,18,0.33299999999999996,6,47.6,30,0.451,25.4,22,37,0.35100000000000003,13,0.72,18,"February 15, 2020",72.4,21,8.1,3,79.7,67.6,23,0.5710000000000001,56,0.518,29,0.196,11,0.545,6,1,200,94.6,34.5,10,19,70,1.0,14.9,11,0.321,18,0.33299999999999996,6,52.4,33,0.5720000000000001,24.7,20,38,0.605,23,0.958,23,"Ferrell Center, Waco, Texas",WEST-VIRGINIA,West Virginia,73.8,Home,BAYLOR,Baylor,Baylor,big-12,23,True,False,True,Home,True,6,23,56,33,63,6,13,55,1,0,178,404,1360,0.4933823529411765,804,1477,0.5443466486120515,135,348,1258,0.4375993640699523,0.9565217391304348
24,2020-02-18-21-oklahoma,34.6,9,12.9,4,84.4,81.3,26,0.484,62,0.419,26,0.113,7,0.7140000000000001,5,1,200,101.6,29.4,10,18,65,1.0,12.5,8,0.40299999999999997,25,0.32,8,54.5,36,0.498,9.7,7,37,0.486,18,0.96,24,"February 18, 2020",36.8,7,18.9,7,101.6,70.6,24,0.413,52,0.365,19,0.28800000000000003,15,0.733,11,10,200,84.4,18.8,6,13,54,,4.7,3,0.40399999999999997,21,0.23800000000000002,5,45.5,30,0.457,17.0,12,31,0.452,14,0.615,16,"Lloyd Noble Center, Norman, Oklahoma",OKLAHOMA,Oklahoma,63.7,Away,BAYLOR,Baylor,Baylor,big-12,24,False,False,False,Away,True,8,18,62,36,66,5,14,52,1,0,184,427,1416,0.4964689265536723,837,1540,0.5435064935064935,141,361,1313,0.43602437166793606,0.9583333333333334
25,2020-02-22-12-baylor,48.1,13,10.5,4,96.8,72.2,26,0.5379999999999999,53,0.509,27,0.18899999999999997,10,0.7,7,3,200,101.6,26.9,7,19,64,3.0,7.9,5,0.245,13,0.231,3,53.2,33,0.5539999999999999,17.3,12,40,0.6,24,0.889,24,"February 22, 2020",60.9,14,12.5,5,101.6,73.1,19,0.457,58,0.397,23,0.259,15,0.5329999999999999,8,2,200,96.8,27.8,10,16,61,1.0,14.3,9,0.345,20,0.35,7,46.8,29,0.46799999999999997,11.0,8,38,0.42100000000000004,16,0.9229999999999999,24,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,62.9,Away,KANSAS,Kansas,Baylor,big-12,25,False,True,True,Home,False,7,16,58,29,62,3,24,53,0,1,192,445,1478,0.4959404600811908,873,1606,0.5435865504358655,146,375,1365,0.4351648351648352,0.96
26,2020-02-25-20-baylor,50.0,11,20.7,6,123.2,74.2,23,0.52,49,0.449,22,0.38799999999999996,19,0.789,15,19,200,95.7,24.1,7,22,66,,10.1,7,0.34700000000000003,17,0.41200000000000003,7,50.0,30,0.569,23.9,18,32,0.469,15,0.321,9,"February 25, 2020",67.9,19,12.5,4,95.7,75.9,22,0.605,57,0.491,28,0.316,18,0.889,16,2,200,123.2,25.8,8,17,85,2.0,11.6,8,0.491,28,0.46399999999999997,13,50.0,30,0.648,14.5,11,29,0.517,15,0.9259999999999999,25,"Ferrell Center, Waco, Texas",KANSAS-STATE,Kansas State,68.8,Home,BAYLOR,Baylor,Baylor,big-12,26,True,False,True,Home,True,13,15,57,30,60,7,15,49,1,0,199,461,1536,0.4944661458333333,902,1668,0.5407673860911271,149,399,1418,0.4389985895627645,0.9230769230769232
