,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAM-HOUSTON-STATE_homegame,SAM-HOUSTON-STATE_homegame2,SAM-HOUSTON-STATE_home,SAM-HOUSTON-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-sam-houston-state,42.3,11,2.6,1,119.5,65.7,23,0.557,53,0.491,26,0.547,29,0.69,20,7,200,102.6,25.8,8,19,79,,10.4,8,0.47200000000000003,25,0.28,7,47.0,31,0.5920000000000001,22.4,19,28,0.679,19,0.222,2,"December 18, 2019",69.0,20,3.6,1,102.6,74.2,23,0.5379999999999999,65,0.446,29,0.369,24,0.917,22,4,200,119.5,34.3,12,22,92,,9.1,7,0.415,27,0.444,12,53.0,35,0.602,13.7,12,38,0.447,17,0.636,7,"Johnson Coliseum, Huntsville, Texas",NORTHWESTERN-STATE,Northwestern State,77.1,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,10,True,False,True,Home,True,12,17,65,35,66,7,19,53,1,0,83,213,672,0.5022321428571429,374,715,0.5230769230769231,77,150,589,0.4507640067911714,0.6
11,2019-12-21-15-sam-houston-state,50.0,13,5.6,2,116.0,70.4,19,0.546,54,0.48100000000000004,26,0.40700000000000003,22,0.909,20,7,200,105.3,34.6,9,22,79,,8.0,6,0.33299999999999996,18,0.389,7,52.8,28,0.613,24.8,21,36,0.528,19,0.364,4,"December 21, 2019",74.2,23,11.1,4,105.3,65.4,17,0.608,60,0.517,31,0.28300000000000003,17,0.8240000000000001,14,4,200,116.0,29.6,8,21,87,,14.7,11,0.4,24,0.45799999999999996,11,47.2,25,0.639,16.2,13,36,0.556,20,0.667,8,"Johnson Coliseum, Huntsville, Texas",NEW-ORLEANS,New Orleans,74.8,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,11,True,False,True,Home,True,11,20,60,25,53,7,19,54,1,0,95,230,737,0.505427408412483,409,781,0.5236875800256082,84,169,642,0.4595015576323988,0.6363636363636364
12,2019-12-29-15-rice,53.3,16,0.0,0,84.7,76.9,30,0.5589999999999999,59,0.508,30,0.16899999999999998,10,0.9,9,4,200,104.2,23.1,6,19,75,,11.1,8,0.28800000000000003,17,0.353,6,55.4,36,0.588,17.0,13,42,0.5710000000000001,24,0.6920000000000001,9,"December 29, 2019",65.0,13,4.8,2,104.2,76.9,20,0.39799999999999996,59,0.33899999999999997,20,0.33899999999999997,20,0.7,14,5,200,84.7,23.1,9,9,61,,11.1,8,0.525,31,0.226,7,44.6,29,0.445,17.1,14,28,0.46399999999999997,13,0.615,8,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,72.1,Away,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,12,False,False,False,Away,True,6,24,59,36,65,7,13,59,1,0,106,250,797,0.5131744040150564,434,834,0.5203836930455635,91,188,696,0.4662356321839081,0.6666666666666666
13,2020-01-02-19-mcneese-state,55.6,20,11.5,3,100.0,66.7,16,0.69,63,0.5710000000000001,36,0.159,10,0.7,7,4,200,125.3,17.9,5,19,94,,16.0,12,0.444,28,0.536,15,40.4,21,0.6940000000000001,16.2,13,35,0.6,21,0.7140000000000001,10,"January 2, 2020",52.0,13,8.6,3,125.3,82.1,23,0.5589999999999999,51,0.49,25,0.451,23,0.7829999999999999,18,8,200,100.0,33.3,8,11,75,,10.7,8,0.49,25,0.28,7,59.6,31,0.606,25.6,21,26,0.6920000000000001,18,0.385,5,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,75.3,Away,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,13,False,False,False,Away,True,15,21,63,21,52,7,18,51,1,0,112,274,856,0.5163551401869159,470,899,0.5228031145717463,98,201,755,0.4609271523178808,0.6923076923076923
14,2020-01-04-18-sam-houston-state,60.0,15,6.3,2,90.6,78.8,26,0.534,59,0.424,25,0.153,9,0.778,7,6,200,109.4,31.3,10,18,70,,9.4,6,0.542,32,0.406,13,55.4,36,0.5529999999999999,14.9,11,27,0.444,12,0.6,9,"January 4, 2020",57.1,12,0.0,0,109.4,68.8,22,0.441,51,0.41200000000000003,21,0.41200000000000003,21,0.619,13,5,200,90.6,21.2,7,15,58,,10.9,7,0.373,19,0.158,3,44.6,29,0.47600000000000003,14.2,10,32,0.563,18,0.667,10,"Johnson Coliseum, Huntsville, Texas",SAM-HOUSTON-STATE,Sam Houston State,64.1,Away,NICHOLLS-STATE,Nicholls State,Sam Houston State,southland,14,False,True,True,Home,False,3,18,51,29,65,13,12,59,0,1,127,295,919,0.5282916213275299,491,951,0.5162986330178759,105,219,806,0.46712158808933,0.7142857142857143
15,2020-01-08-19-sam-houston-state,68.2,15,4.8,2,91.8,70.6,24,0.519,54,0.40700000000000003,22,0.185,10,0.6,6,11,200,84.9,25.0,7,20,62,,13.7,10,0.426,23,0.522,12,50.0,31,0.528,26.4,21,31,0.32299999999999995,10,0.267,4,"January 8, 2020",63.0,17,22.6,7,84.9,75.0,21,0.46,62,0.435,27,0.226,14,0.7140000000000001,10,5,200,91.8,29.4,10,15,67,,12.3,9,0.32299999999999995,20,0.15,3,50.0,31,0.488,18.0,15,42,0.5710000000000001,24,0.688,11,"Johnson Coliseum, Huntsville, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,73.2,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,15,True,False,True,Home,True,3,24,62,31,62,12,10,54,1,0,130,313,970,0.5237113402061856,520,1016,0.5118110236220472,118,231,865,0.4716763005780346,0.6666666666666666
16,2020-01-11-16-central-arkansas,35.7,10,3.8,1,111.3,55.6,15,0.486,69,0.406,28,0.319,22,0.682,15,6,200,102.5,17.1,6,27,82,,17.5,14,0.42,29,0.379,11,33.9,21,0.516,9.2,8,40,0.425,17,0.647,11,"January 11, 2020",52.2,12,7.5,3,102.5,82.9,29,0.5379999999999999,52,0.442,23,0.731,38,0.868,33,12,200,111.3,44.4,12,19,89,,2.5,2,0.5,26,0.385,10,66.1,41,0.635,23.4,21,26,0.5,13,0.294,5,"Jeff Farris Center, Conway, Arkansas",SAM-HOUSTON-STATE,Sam Houston State,80.3,Home,CENTRAL-ARKANSAS,Central Arkansas,Sam Houston State,southland,16,False,False,False,Away,False,11,17,69,21,62,10,13,52,0,1,133,337,1032,0.5198643410852714,551,1078,0.5111317254174397,130,241,919,0.4744287268770402,0.6875
17,2020-01-15-20-lamar,63.3,19,7.7,3,87.2,75.0,30,0.583,60,0.5,30,0.28300000000000003,17,0.588,10,6,225,93.0,20.0,6,24,80,,11.6,10,0.41700000000000004,25,0.4,10,51.4,36,0.588,27.0,25,35,0.5710000000000001,20,0.667,12,"January 15, 2020",60.0,15,8.6,3,93.0,80.0,24,0.431,65,0.385,25,0.462,30,0.633,19,9,225,87.2,25.0,10,18,75,,17.4,15,0.4,26,0.231,6,48.6,34,0.473,17.0,16,39,0.48700000000000004,19,0.5,9,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,76.6,Away,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,17,False,False,False,Away,True,10,20,60,36,70,6,19,65,1,0,144,354,1101,0.5177111716621253,572,1140,0.5017543859649123,140,254,971,0.4778578784757981,0.6470588235294118
18,2020-01-18-20-houston-baptist,48.5,16,5.6,2,92.6,72.7,24,0.608,60,0.55,33,0.467,28,0.7859999999999999,22,6,200,117.3,20.0,5,22,95,,12.3,10,0.28300000000000003,17,0.41200000000000003,7,50.0,29,0.648,15.2,13,43,0.605,26,0.684,13,"January 18, 2020",26.1,6,7.0,3,117.3,80.0,20,0.446,56,0.41100000000000003,23,0.5539999999999999,31,0.8059999999999999,25,14,200,92.6,27.3,9,25,75,,7.4,6,0.35700000000000004,20,0.2,4,50.0,29,0.53,21.4,19,36,0.528,19,0.067,1,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,81.0,Away,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,18,False,False,False,Away,True,7,26,60,29,58,4,19,56,1,0,154,374,1161,0.5211024978466839,608,1210,0.5024793388429752,146,273,1036,0.4749034749034749,0.6666666666666666
19,2020-01-22-20-sam-houston-state,65.2,15,7.9,3,106.5,81.8,27,0.473,56,0.41100000000000003,23,0.518,29,0.7929999999999999,23,8,225,98.7,38.7,12,25,76,,5.2,4,0.429,24,0.292,7,60.9,39,0.545,20.7,18,32,0.5,16,0.556,10,"January 22, 2020",56.0,14,9.4,3,98.7,61.3,19,0.5,56,0.446,25,0.589,33,0.7879999999999999,26,6,225,106.5,18.2,6,21,82,,10.4,8,0.321,18,0.33299999999999996,6,39.1,25,0.5720000000000001,15.6,13,38,0.5,19,0.7,14,"Johnson Coliseum, Huntsville, Texas",ABILENE-CHRISTIAN,Abilene Christian,68.6,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,19,True,False,True,Home,True,6,19,56,25,64,7,16,56,1,0,161,400,1221,0.5253890253890254,637,1268,0.5023659305993691,150,292,1092,0.4734432234432234,0.6842105263157895
20,2020-01-29-19-sam-houston-state,47.6,10,5.4,2,112.7,77.8,28,0.435,54,0.389,21,0.37,20,0.7,14,13,200,85.9,21.9,7,21,61,,1.4,1,0.37,20,0.25,5,51.5,35,0.48,19.3,15,34,0.47100000000000003,16,0.409,9,"January 29, 2020",80.8,21,11.8,4,85.9,78.1,25,0.483,60,0.433,26,0.433,26,0.846,22,6,200,112.7,22.2,8,19,80,,9.9,7,0.38299999999999995,23,0.261,6,48.5,33,0.5529999999999999,7.7,6,37,0.541,20,0.7140000000000001,15,"Johnson Coliseum, Huntsville, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.9,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,20,True,False,True,Home,True,6,20,60,33,68,5,16,54,1,0,167,419,1277,0.524275646045419,662,1332,0.496996996996997,157,308,1148,0.473432055749129,0.7
21,2020-02-01-18-sam-houston-state,60.0,15,14.7,5,110.1,70.4,19,0.561,49,0.51,25,0.6729999999999999,33,0.7879999999999999,26,3,200,117.4,39.3,11,12,81,,11.6,8,0.265,13,0.385,5,54.5,30,0.626,18.1,14,36,0.556,20,0.8640000000000001,19,"February 1, 2020",64.3,18,13.9,5,117.4,60.7,17,0.5579999999999999,60,0.467,28,0.15,9,1.0,9,7,200,110.1,29.6,8,23,76,,11.6,8,0.433,26,0.423,11,45.5,25,0.591,19.0,15,34,0.5,17,0.682,15,"Johnson Coliseum, Huntsville, Texas",SAM-HOUSTON-STATE,Sam Houston State,69.5,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Sam Houston State,southland,21,False,True,True,Home,False,11,17,60,25,55,5,20,49,0,1,173,439,1337,0.5224382946896036,695,1400,0.4964285714285714,162,324,1202,0.4717138103161398,0.7142857142857143
22,2020-02-05-20-incarnate-word,35.7,10,10.3,3,93.5,67.7,21,0.447,66,0.424,28,0.273,18,0.667,12,8,225,92.2,32.4,12,18,71,,13.0,10,0.303,20,0.15,3,48.5,33,0.47600000000000003,16.9,15,46,0.5429999999999999,25,0.652,15,"February 5, 2020",70.8,17,8.7,4,92.2,67.6,25,0.491,58,0.414,24,0.379,22,0.682,15,16,225,93.5,32.3,10,16,72,,10.4,8,0.5,29,0.31,9,51.5,35,0.526,20.1,17,29,0.517,15,0.273,6,"McDermott Center, San Antonio, Texas",SAM-HOUSTON-STATE,Sam Houston State,68.0,Home,INCARNATE-WORD,Incarnate Word,Sam Houston State,southland,22,False,False,False,Away,False,3,25,66,33,68,9,15,58,0,1,184,456,1397,0.5239799570508232,720,1455,0.4948453608247423,167,344,1251,0.4752198241406875,0.6818181818181818
23,2020-02-08-16-nicholls-state,34.6,9,4.3,1,117.3,73.9,17,0.5379999999999999,53,0.491,26,0.623,33,0.758,25,9,200,109.3,26.9,7,26,82,,8.0,6,0.28300000000000003,15,0.33299999999999996,5,49.0,24,0.597,15.1,12,38,0.5529999999999999,21,0.625,15,"February 8, 2020",45.8,11,2.6,1,109.3,73.1,19,0.604,48,0.5,24,0.75,36,0.833,30,9,200,117.3,26.1,6,27,88,,6.7,5,0.521,25,0.4,10,51.0,25,0.6759999999999999,21.0,17,23,0.609,14,0.625,15,"David Stopher Gymnasium, Thibodaux, Louisiana",SAM-HOUSTON-STATE,Sam Houston State,74.9,Home,NICHOLLS-STATE,Nicholls State,Sam Houston State,southland,23,False,False,False,Away,False,5,21,53,24,49,10,14,48,0,1,187,481,1463,0.5205058099794941,753,1523,0.4944189100459619,176,359,1309,0.4759358288770054,0.6521739130434783
24,2020-02-12-20-southeastern-louisiana,72.4,21,0.0,0,95.9,71.4,25,0.611,54,0.537,29,0.35200000000000004,19,0.684,13,9,200,108.2,25.9,7,18,79,,12.3,9,0.29600000000000004,16,0.5,8,51.6,32,0.627,21.4,17,38,0.5529999999999999,21,0.64,16,"February 12, 2020",47.8,11,5.3,2,108.2,74.1,20,0.48200000000000004,55,0.418,23,0.473,26,0.654,17,19,200,95.9,28.6,10,20,70,,15.1,11,0.491,27,0.259,7,48.4,30,0.52,19.4,16,28,0.5710000000000001,16,0.24,6,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,73.2,Away,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,24,False,False,False,Away,True,8,21,54,32,62,7,16,55,1,0,192,502,1516,0.521108179419525,777,1572,0.4942748091603054,186,373,1357,0.4804716285924834,0.625
25,2020-02-15-16-sam-houston-state,65.2,15,10.6,5,101.2,71.8,28,0.46399999999999997,56,0.41100000000000003,23,0.41100000000000003,23,0.652,15,17,200,82.7,27.6,8,22,67,,3.7,3,0.429,24,0.25,6,52.9,36,0.501,26.6,24,32,0.531,17,0.34600000000000003,9,"February 15, 2020",56.7,17,9.4,3,82.7,72.4,21,0.47100000000000003,70,0.429,30,0.32899999999999996,23,0.696,16,9,200,101.2,28.2,11,22,82,,12.3,10,0.32899999999999996,23,0.261,6,47.1,32,0.507,10.1,9,47,0.511,24,0.654,17,"Johnson Coliseum, Huntsville, Texas",CENTRAL-ARKANSAS,Central Arkansas,80.9,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,25,True,False,True,Home,True,6,24,70,32,68,6,17,56,1,0,200,523,1570,0.5242038216560511,809,1634,0.4951040391676866,193,389,1412,0.4805240793201133,0.64
