,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEVADA_homegame,NEVADA_homegame2,NEVADA_home,NEVADA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
13,2020-01-01-22-nevada,61.9,13,0.0,0,89.3,83.3,25,0.41200000000000003,57,0.368,21,0.298,17,0.706,12,7,200,81.3,14.7,5,12,59,,4.0,3,0.263,15,0.33299999999999996,5,46.9,30,0.469,19.9,16,42,0.381,16,0.562,9,"January 1, 2020",60.0,15,19.0,8,81.3,85.3,29,0.4920000000000001,60,0.41700000000000004,25,0.15,9,0.889,8,5,200,89.3,16.7,5,19,67,,6.7,5,0.433,26,0.34600000000000003,9,53.1,34,0.521,18.0,14,34,0.47100000000000003,16,0.643,9,"Lawlor Events Center, Reno, Nevada",COLORADO-STATE,Colorado State,74.7,Home,NEVADA,Nevada,Nevada,mwc,13,True,False,True,Home,True,9,16,60,34,64,5,16,57,1,0,124,220,778,0.5218508997429306,464,895,0.5184357541899441,86,236,801,0.4556803995006242,0.6153846153846154
14,2020-01-04-18-nevada,23.8,5,3.3,1,125.8,65.2,15,0.405,58,0.36200000000000004,21,0.397,23,0.826,19,6,200,100.0,23.7,9,13,66,,7.6,5,0.44799999999999995,26,0.192,5,39.3,24,0.479,8.1,6,32,0.5,16,0.625,10,"January 4, 2020",63.6,21,9.4,3,100.0,76.3,29,0.6779999999999999,59,0.5589999999999999,33,0.102,6,0.5,3,5,200,125.8,34.8,8,20,83,,1.5,1,0.4920000000000001,29,0.483,14,60.7,37,0.6709999999999999,17.4,13,30,0.633,19,0.667,10,"Lawlor Events Center, Reno, Nevada",BOISE-STATE,Boise State,66.4,Home,NEVADA,Nevada,Nevada,mwc,14,True,False,True,Home,True,14,19,59,37,61,5,16,58,1,0,133,236,838,0.5196897374701671,498,959,0.5192909280500522,91,252,858,0.4527972027972028,0.6428571428571429
15,2020-01-08-22-san-jose-state,65.2,15,19.0,4,94.6,81.1,30,0.467,60,0.38299999999999995,23,0.317,19,0.632,12,6,200,91.9,15.8,6,23,68,,9.5,7,0.41700000000000004,25,0.4,10,48.0,36,0.493,13.9,11,35,0.371,13,0.625,10,"January 8, 2020",57.9,11,14.3,5,91.9,84.2,32,0.426,54,0.35200000000000004,19,0.574,31,0.774,24,11,200,94.6,18.9,7,18,70,,8.1,6,0.611,33,0.242,8,52.0,39,0.509,15.1,12,21,0.524,11,0.353,6,"San Jose State Event Center, San Jose, California",NEVADA,Nevada,73.9,Home,SAN-JOSE-STATE,San Jose State,Nevada,mwc,15,False,False,False,Away,False,10,13,60,36,75,8,11,54,0,1,147,255,897,0.5301003344481605,535,1020,0.5245098039215687,96,268,916,0.4497816593886463,0.6666666666666666
16,2020-01-11-20-utah-state,52.2,12,13.3,4,112.7,66.7,20,0.475,59,0.39,23,0.33899999999999997,20,0.7,14,7,200,98.6,14.3,5,25,70,,9.9,7,0.39,23,0.435,10,38.5,25,0.511,10.6,8,36,0.361,13,0.588,10,"January 11, 2020",80.0,20,5.6,2,98.6,85.7,30,0.528,54,0.46299999999999997,25,0.556,30,0.767,23,5,200,112.7,33.3,10,15,80,,2.8,2,0.444,24,0.292,7,61.5,40,0.586,16.2,13,30,0.6,18,0.737,14,"Dee Glen Smith Spectrum, Logan, Utah",NEVADA,Nevada,71.4,Home,UTAH-STATE,Utah State,Nevada,mwc,16,False,False,False,Away,False,10,13,59,25,65,7,18,54,0,1,157,268,957,0.5261233019853709,571,1095,0.5214611872146119,104,279,970,0.4484536082474227,0.625
17,2020-01-14-22-nevada,65.2,15,11.4,4,98.6,74.2,23,0.5,54,0.426,23,0.29600000000000004,16,0.813,13,14,200,97.1,15.2,5,13,67,,8.7,6,0.46299999999999997,25,0.32,8,43.8,28,0.544,15.3,11,29,0.517,15,0.263,5,"January 14, 2020",44.0,11,6.9,2,97.1,84.8,28,0.467,60,0.41700000000000004,25,0.217,13,0.9229999999999999,12,7,200,98.6,25.8,8,15,68,,7.2,5,0.41700000000000004,25,0.24,6,56.3,36,0.514,15.4,12,35,0.5429999999999999,19,0.611,11,"Lawlor Events Center, Reno, Nevada",WYOMING,Wyoming,68.9,Home,NEVADA,Nevada,Nevada,mwc,17,True,False,True,Home,True,6,19,60,36,64,8,15,54,1,0,167,281,1016,0.5231299212598425,596,1160,0.5137931034482759,111,297,1024,0.45263671875,0.5882352941176471
18,2020-01-18-20-san-diego-state,62.5,10,6.1,2,98.6,71.0,22,0.368,57,0.281,16,0.263,15,0.733,11,8,200,79.7,25.6,10,14,53,,7.2,5,0.491,28,0.35700000000000004,10,45.7,32,0.429,18.0,14,29,0.207,6,0.579,11,"January 18, 2020",60.9,14,17.2,5,79.7,74.4,29,0.467,60,0.38299999999999995,23,0.25,15,0.8,12,0,200,98.6,29.0,9,15,68,7.0,7.2,5,0.45,27,0.37,10,54.3,38,0.507,15.3,12,33,0.39399999999999996,13,1.0,19,"Viejas Arena, San Diego, California",NEVADA,Nevada,69.1,Home,SAN-DIEGO-STATE,San Diego State,Nevada,mwc,18,False,False,False,Away,False,10,6,57,32,70,10,13,60,0,1,173,300,1076,0.5199814126394052,632,1224,0.5163398692810458,119,312,1078,0.4550092764378479,0.6111111111111112
19,2020-01-22-23-nevada,43.5,10,3.1,1,121.1,75.8,25,0.414,64,0.359,23,0.391,25,0.76,19,10,200,101.4,40.0,14,23,72,,2.8,2,0.391,25,0.28,7,57.4,39,0.474,13.8,12,39,0.41,16,0.524,11,"January 22, 2020",64.0,16,15.4,6,101.4,60.0,21,0.526,58,0.431,25,0.5,29,0.862,25,8,200,121.1,24.2,8,19,86,,11.3,8,0.44799999999999995,26,0.423,11,42.6,29,0.599,6.6,5,32,0.43799999999999994,14,0.6,12,"Lawlor Events Center, Reno, Nevada",NEVADA-LAS-VEGAS,UNLV,71.3,Home,NEVADA,Nevada,Nevada,mwc,19,True,False,True,Home,True,11,14,58,29,68,7,16,64,1,0,183,306,1133,0.5123565754633715,664,1294,0.5131375579598145,129,325,1138,0.4556239015817223,0.5789473684210527
20,2020-01-25-20-nevada,46.2,12,5.6,2,129.7,60.6,20,0.508,61,0.426,26,0.311,19,0.632,12,6,200,100.0,8.1,3,10,74,,5.4,4,0.39299999999999996,24,0.41700000000000004,10,32.9,23,0.528,9.2,7,37,0.4320000000000001,16,0.727,16,"January 25, 2020",65.7,23,10.8,4,100.0,91.9,34,0.613,71,0.493,35,0.155,11,0.818,9,8,200,129.7,39.4,13,17,96,,2.7,2,0.493,35,0.486,17,67.1,47,0.63,12.7,11,36,0.5,18,0.619,13,"Lawlor Events Center, Reno, Nevada",NEW-MEXICO,New Mexico,74.1,Home,NEVADA,Nevada,Nevada,mwc,20,True,False,True,Home,True,17,18,71,47,70,10,16,61,1,0,194,320,1191,0.5130142737195634,693,1362,0.5088105726872246,136,341,1202,0.4534109816971714,0.6
21,2020-01-29-21-colorado-state,48.6,17,11.8,4,127.8,73.3,22,0.627,67,0.522,35,0.134,9,0.778,7,9,200,126.4,26.5,9,22,91,,5.6,4,0.433,29,0.483,14,48.4,31,0.638,12.4,10,38,0.5529999999999999,21,0.591,13,"January 29, 2020",60.0,18,7.9,3,126.4,73.5,25,0.616,56,0.536,30,0.536,30,0.767,23,8,200,127.8,26.7,8,11,92,,5.6,4,0.39299999999999996,22,0.409,9,51.6,33,0.655,12.6,10,34,0.618,21,0.652,15,"Moby Arena, Fort Collins, Colorado",NEVADA,Nevada,72.3,Home,COLORADO-STATE,Colorado State,Nevada,mwc,21,False,False,False,Away,False,14,21,67,31,64,9,21,56,0,1,211,338,1262,0.5186212361331219,740,1432,0.5167597765363129,146,357,1263,0.4560570071258908,0.6190476190476191
22,2020-02-01-22-boise-state,23.1,6,4.3,1,102.8,87.1,27,0.536,55,0.473,26,0.127,7,0.7140000000000001,5,10,200,90.1,7.4,2,23,64,,4.2,3,0.491,27,0.259,7,50.0,29,0.5489999999999999,20.5,15,28,0.679,19,0.565,13,"February 1, 2020",50.0,11,0.0,0,90.1,92.6,25,0.519,52,0.423,22,0.5,26,0.731,19,8,200,102.8,12.9,4,14,73,,9.9,7,0.5579999999999999,29,0.345,10,50.0,29,0.5670000000000001,14.8,11,23,0.522,12,0.652,15,"ExtraMile Arena, Boise, Idaho",NEVADA,Nevada,71.3,Home,BOISE-STATE,Boise State,Nevada,mwc,22,False,False,False,Away,False,7,19,55,29,58,10,12,52,0,1,225,359,1329,0.5240782543265613,771,1496,0.5153743315508021,155,378,1319,0.4628506444275967,0.5909090909090909
23,2020-02-04-23-nevada,63.2,12,0.0,0,120.5,67.7,21,0.38799999999999996,58,0.32799999999999996,19,0.31,18,0.5,9,14,200,74.0,14.0,6,14,54,,8.2,6,0.483,28,0.25,7,36.5,27,0.406,15.4,12,30,0.4,12,0.391,9,"February 4, 2020",51.6,16,16.7,5,74.0,86.0,37,0.59,61,0.508,31,0.32799999999999996,20,0.8,16,10,200,120.5,32.3,10,17,88,,9.6,7,0.41,25,0.4,10,63.5,47,0.624,14.7,12,36,0.583,21,0.583,14,"Lawlor Events Center, Reno, Nevada",AIR-FORCE,Air Force,72.5,Home,NEVADA,Nevada,Nevada,mwc,23,True,False,True,Home,True,10,21,61,47,74,7,12,58,1,0,232,378,1384,0.5245664739884393,800,1554,0.5148005148005148,165,390,1371,0.4649890590809628,0.5652173913043478
24,2020-02-08-19-nevada,56.0,14,13.3,6,118.8,69.4,25,0.475,61,0.41,25,0.361,22,0.8640000000000001,19,17,200,96.3,11.1,4,17,77,,5.0,4,0.525,32,0.25,8,40.3,29,0.539,13.5,11,29,0.586,17,0.292,7,"February 8, 2020",60.0,21,6.9,2,96.3,88.9,32,0.5479999999999999,73,0.479,35,0.247,18,0.833,15,10,200,118.8,30.6,11,18,95,,10.0,8,0.384,28,0.35700000000000004,10,59.7,43,0.5820000000000001,11.0,10,45,0.556,25,0.6,15,"Lawlor Events Center, Reno, Nevada",SAN-JOSE-STATE,San Jose State,79.5,Home,NEVADA,Nevada,Nevada,mwc,24,True,False,True,Home,True,10,25,73,43,72,8,17,61,1,0,242,399,1445,0.5273356401384083,847,1628,0.5202702702702703,172,402,1429,0.4618614415675297,0.5833333333333334
25,2020-02-12-22-nevada-las-vegas,58.6,17,14.3,6,96.3,69.2,36,0.4920000000000001,65,0.446,29,0.431,28,0.643,18,10,225,100.0,29.7,11,26,82,,2.4,2,0.385,25,0.24,6,52.8,47,0.524,14.4,13,40,0.575,23,0.615,16,"February 12, 2020",41.4,12,12.5,5,100.0,70.3,26,0.414,81,0.358,29,0.309,25,0.48,12,14,225,96.3,30.8,16,22,79,,7.3,6,0.48100000000000004,39,0.231,9,47.2,42,0.425,7.1,7,42,0.47600000000000003,20,0.462,12,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,73.0,Away,NEVADA,Nevada,Nevada,mwc,25,False,False,False,Away,True,6,23,65,47,89,9,20,81,1,0,252,424,1518,0.52832674571805,890,1700,0.5235294117647059,180,419,1490,0.4624161073825504,0.6
26,2020-02-18-21-new-mexico,51.6,16,21.2,7,102.8,75.6,31,0.605,62,0.5,31,0.32299999999999995,20,0.65,13,10,200,122.2,33.3,11,17,88,,6.9,5,0.5479999999999999,34,0.382,13,56.8,42,0.615,12.4,10,28,0.643,18,0.63,17,"February 18, 2020",53.8,14,10.7,3,122.2,66.7,22,0.47,67,0.38799999999999996,26,0.19399999999999998,13,0.846,11,11,200,102.8,24.4,10,17,74,,9.7,7,0.507,34,0.324,11,43.2,32,0.506,13.1,11,33,0.455,15,0.607,17,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,72.3,Away,NEVADA,Nevada,Nevada,mwc,26,False,False,False,Away,True,13,18,62,42,74,11,15,67,1,0,258,447,1583,0.5268477574226152,937,1789,0.5237562884292901,189,439,1571,0.4598981540420114,0.6153846153846154
27,2020-02-22-22-nevada,60.0,15,12.1,4,116.4,76.0,19,0.5710000000000001,56,0.446,25,0.375,21,0.5710000000000001,12,18,200,113.4,32.4,11,16,76,,10.4,7,0.625,35,0.4,14,50.8,30,0.5760000000000001,13.3,10,21,0.524,11,0.35700000000000004,10,"February 22, 2020",46.4,13,0.0,0,113.4,67.6,23,0.568,59,0.475,28,0.22,13,0.846,11,10,200,116.4,24.0,6,16,78,,10.4,7,0.441,26,0.423,11,49.2,29,0.598,13.4,10,33,0.515,17,0.643,18,"Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,67.1,Home,NEVADA,Nevada,Nevada,mwc,27,True,False,True,Home,True,11,17,59,29,59,14,11,56,1,0,271,465,1645,0.5297872340425532,979,1863,0.5254965110037574,200,454,1638,0.4603174603174603,0.6296296296296297
