,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IONA_homegame,IONA_homegame2,IONA_home,IONA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
18,2020-02-09-14-fairfield,48.1,13,0.0,0,88.5,73.3,22,0.6809999999999999,47,0.574,27,0.447,21,0.667,14,12,200,127.9,38.9,7,18,78,,9.8,6,0.40399999999999997,19,0.526,10,60.4,29,0.685,17.6,12,28,0.607,17,0.368,7,"February 9, 2020",50.0,9,3.6,1,127.9,61.1,11,0.4,50,0.36,18,0.32,16,0.875,14,14,200,88.5,26.7,8,16,54,,4.9,3,0.32,16,0.25,4,39.6,19,0.469,16.2,11,34,0.41200000000000003,14,0.391,9,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,61.3,Away,IONA,Iona,Iona,maac,18,False,False,False,Away,True,10,17,47,29,48,4,14,50,1,0,150,274,1010,0.4940594059405941,545,1153,0.4726799653078925,169,286,1029,0.5242954324586978,0.3333333333333333
19,2020-02-14-19-iona,57.1,12,14.3,5,123.1,80.0,16,0.387,62,0.33899999999999997,21,0.33899999999999997,21,0.429,9,11,200,87.7,27.9,12,21,57,,3.1,2,0.435,27,0.222,6,44.4,28,0.396,6.6,5,35,0.429,15,0.5,11,"February 14, 2020",76.9,20,17.1,6,87.7,72.1,31,0.583,48,0.542,26,0.583,28,0.857,24,12,200,123.1,20.0,4,21,80,,1.5,1,0.271,13,0.308,4,55.6,35,0.653,11.7,8,35,0.629,22,0.4,8,"Hynes Athletics Center, New Rochelle, New York",MANHATTAN,Manhattan,65.1,Home,IONA,Iona,Iona,maac,19,True,False,True,Home,True,4,22,48,35,63,6,15,62,1,0,160,291,1057,0.5023651844843898,574,1201,0.4779350541215653,173,300,1079,0.5185356811862836,0.3684210526315789
20,2020-02-16-13-iona,45.5,10,16.1,5,111.4,70.8,17,0.5,54,0.40700000000000003,22,0.444,24,0.667,16,17,200,100.0,33.3,10,28,70,,14.3,10,0.40700000000000003,22,0.455,10,50.0,27,0.535,16.8,13,32,0.375,12,0.261,6,"February 16, 2020",57.1,12,15.6,5,100.0,66.7,20,0.5,48,0.43799999999999994,21,0.7290000000000001,35,0.857,30,12,200,111.4,29.2,7,22,78,,7.1,5,0.354,17,0.353,6,50.0,27,0.603,18.1,14,31,0.484,15,0.429,9,"Hynes Athletics Center, New Rochelle, New York",MARIST,Marist,70.0,Home,IONA,Iona,Iona,maac,20,True,False,True,Home,True,6,15,48,27,54,10,12,54,1,0,164,313,1105,0.5058823529411764,609,1264,0.4818037974683544,179,315,1141,0.5113935144609991,0.4
21,2020-02-19-19-siena,44.0,11,9.8,4,101.6,54.1,20,0.473,56,0.446,25,0.196,11,1.0,11,13,200,100.0,18.5,5,19,64,,10.9,7,0.23199999999999998,13,0.231,3,39.1,25,0.523,12.9,9,43,0.512,22,0.409,9,"February 19, 2020",40.9,9,2.3,1,100.0,81.5,22,0.426,54,0.40700000000000003,22,0.5,27,0.7040000000000001,19,10,200,101.6,45.9,17,12,65,,4.7,3,0.24100000000000002,13,0.154,2,60.9,39,0.486,16.5,13,41,0.488,20,0.583,14,"Times Union Center , Albany, New York",IONA,Iona,64.0,Home,SIENA,Siena,Iona,maac,21,False,False,False,Away,False,3,22,56,25,64,2,20,54,0,1,170,328,1153,0.5056374674761491,636,1318,0.4825493171471928,189,327,1195,0.5108786610878661,0.42857142857142855
22,2020-02-21-19-iona,53.6,15,3.6,1,92.1,85.7,30,0.455,66,0.424,28,0.318,21,0.429,9,11,200,90.8,26.3,10,17,69,,9.2,7,0.22699999999999998,15,0.267,4,54.8,40,0.45399999999999996,12.8,11,51,0.47100000000000003,24,0.5770000000000001,15,"February 21, 2020",68.0,17,15.7,8,90.8,73.7,28,0.517,59,0.424,25,0.254,15,0.6,9,13,200,92.1,14.3,5,18,70,,9.2,7,0.525,31,0.355,11,45.2,33,0.529,16.5,13,28,0.5,14,0.435,10,"Hynes Athletics Center, New Rochelle, New York",RIDER,Rider,75.6,Home,IONA,Iona,Iona,maac,22,True,False,True,Home,True,11,14,59,33,73,4,24,66,1,0,173,350,1209,0.5041356492969397,661,1382,0.4782923299565847,191,347,1249,0.5072057646116893,0.4090909090909091
23,2020-02-27-19-canisius,55.6,20,2.8,1,94.2,80.6,29,0.7140000000000001,56,0.643,36,0.14300000000000002,8,0.75,6,13,200,124.6,16.7,3,15,86,,8.7,6,0.304,17,0.47100000000000003,8,59.3,32,0.7190000000000001,15.6,11,39,0.718,28,0.45799999999999996,11,"February 27, 2020",70.8,17,5.1,2,124.6,83.3,15,0.452,62,0.387,24,0.19399999999999998,12,0.75,9,18,200,94.2,19.4,7,11,65,,2.9,2,0.419,26,0.308,8,40.7,22,0.48,12.9,10,36,0.444,16,0.35700000000000004,10,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,69.3,Away,IONA,Iona,Iona,maac,23,False,False,False,Away,True,8,28,56,32,54,8,16,62,1,0,184,364,1268,0.5047318611987381,694,1455,0.4769759450171822,195,371,1315,0.5045627376425855,0.43478260869565216
24,2020-02-29-13-niagara,66.7,20,5.3,2,126.6,81.5,22,0.59,61,0.4920000000000001,30,0.44299999999999995,27,0.7040000000000001,19,14,226,115.2,35.3,12,19,91,,10.1,8,0.39299999999999996,24,0.5,12,55.7,34,0.616,18.0,16,37,0.486,18,0.44,11,"February 29, 2020",48.6,18,8.1,3,115.2,64.7,22,0.706,63,0.5870000000000001,37,0.23800000000000002,15,0.733,11,18,226,126.6,18.5,5,22,100,,10.1,8,0.397,25,0.6,15,44.3,27,0.713,17.7,15,38,0.579,22,0.379,11,"Gallagher Center, Niagara University, New York",IONA,Iona,69.9,Home,NIAGARA,Niagara,Iona,maac,24,False,False,False,Away,False,12,18,61,34,61,15,22,63,0,1,192,392,1324,0.513595166163142,726,1509,0.4811133200795229,203,387,1377,0.5021786492374728,0.4583333333333333
25,2020-03-04-19-iona,53.8,14,5.9,2,94.4,85.0,34,0.431,72,0.361,26,0.125,9,0.778,7,15,200,95.8,28.9,13,17,69,,9.7,7,0.486,35,0.28600000000000003,10,55.3,47,0.452,9.5,8,37,0.4320000000000001,16,0.5,15,"March 4, 2020",48.0,12,16.2,6,95.8,71.1,32,0.46,62,0.40299999999999997,25,0.29,18,0.611,11,15,200,94.4,15.0,6,10,68,,8.3,6,0.452,28,0.25,7,44.7,38,0.48200000000000004,11.4,9,34,0.529,18,0.423,11,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,72.4,Away,QUINNIPIAC,Quinnipiac,Iona,maac,25,False,True,True,Home,False,7,18,62,38,85,10,16,72,0,1,204,410,1385,0.5169675090252708,760,1570,0.4840764331210191,218,409,1440,0.5111111111111111,0.44
26,2020-03-06-19-saint-peters,61.9,13,13.7,7,97.1,60.0,21,0.5,48,0.43799999999999994,21,0.396,19,0.895,17,16,200,92.9,27.3,6,16,65,,5.7,4,0.33299999999999996,16,0.375,6,47.4,27,0.57,27.1,21,32,0.469,15,0.40700000000000003,11,"March 6, 2020",50.0,14,15.6,5,92.9,72.7,16,0.455,66,0.424,28,0.19699999999999998,13,0.615,8,12,200,97.1,40.0,14,20,68,,17.1,12,0.22699999999999998,15,0.267,4,52.6,30,0.47100000000000003,11.1,9,51,0.47100000000000003,24,0.586,17,"Yanitelli Center, Jersey City, New Jersey",IONA,Iona,69.6,Home,SAINT-PETERS,St. Peter's,Iona,maac,26,False,False,False,Away,False,6,15,48,27,57,4,24,66,0,1,211,428,1447,0.5145127850725639,798,1655,0.4821752265861027,228,425,1512,0.5072751322751323,0.4230769230769231
27,2020-03-10-19-iona,63.6,14,6.9,2,102.9,82.6,19,0.395,62,0.355,22,0.355,22,0.5,11,20,200,88.2,28.9,11,23,60,,10.3,7,0.306,19,0.263,5,49.2,30,0.414,11.2,9,43,0.395,17,0.375,12,"March 10, 2020",35.0,7,4.7,2,88.2,71.1,27,0.5,45,0.444,20,0.6,27,0.9259999999999999,25,16,200,102.9,17.4,4,23,70,,2.9,2,0.35600000000000004,16,0.313,5,50.8,31,0.605,17.4,12,29,0.517,15,0.429,12,"Boardwalk Hall, Atlantic City, New Jersey",CANISIUS,Canisius,68.1,Home,IONA,Iona,Iona,maac,27,True,False,True,Home,True,5,15,45,31,61,5,17,62,1,0,217,443,1495,0.5140468227424749,825,1712,0.481892523364486,232,449,1578,0.5050697084917617,0.4074074074074074
