,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-DAVIS_homegame,CALIFORNIA-DAVIS_homegame2,CALIFORNIA-DAVIS_home,CALIFORNIA-DAVIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-20-california-davis,26.3,5,11.1,3,101.5,87.0,20,0.4,55,0.345,19,0.23600000000000002,13,1.0,13,4,200,87.7,26.5,9,20,57,,4.6,3,0.491,27,0.222,6,50.9,29,0.466,17.6,13,28,0.46399999999999997,13,0.6,6,"December 7, 2019",34.8,8,3.6,1,87.7,73.5,25,0.542,48,0.479,23,0.354,17,0.8240000000000001,14,7,200,101.5,13.0,3,17,66,,4.6,3,0.43799999999999994,21,0.28600000000000003,6,49.1,28,0.588,16.5,11,27,0.63,17,0.364,4,"The Pavilion, Davis, California",NORTHERN-ILLINOIS,Northern Illinois,64.6,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,10,True,False,True,Home,True,6,17,48,28,57,6,13,55,1,0,71,187,556,0.5278776978417267,285,590,0.4830508474576271,72,185,560,0.5232142857142857,0.3
11,2019-12-14-22-san-diego,44.4,8,9.4,3,84.1,80.0,24,0.345,58,0.31,18,0.31,18,0.778,14,8,200,78.3,14.3,5,17,54,,11.6,8,0.32799999999999996,19,0.21100000000000002,4,44.6,29,0.406,10.8,8,39,0.359,14,0.33299999999999996,4,"December 14, 2019",45.5,10,23.1,9,78.3,85.7,30,0.444,54,0.40700000000000003,22,0.315,17,0.588,10,7,200,84.1,20.0,6,18,58,,5.8,4,0.40700000000000003,22,0.182,4,55.4,36,0.467,17.5,13,32,0.563,18,0.462,6,"Jenny Craig Pavillion, San Diego, California",CALIFORNIA-DAVIS,UC-Davis,69.3,Home,SAN-DIEGO,San Diego,UC Davis,big-west,11,False,False,False,Away,False,4,14,58,29,65,4,18,54,0,1,77,204,604,0.5289735099337748,313,647,0.4837712519319938,78,198,615,0.5121951219512195,0.3636363636363637
12,2019-12-16-22-california-davis,62.5,15,0.0,0,104.7,84.6,22,0.679,42,0.5710000000000001,24,0.33299999999999996,14,0.5710000000000001,8,6,200,101.6,14.3,3,16,65,,10.9,7,0.429,18,0.5,9,53.2,25,0.6679999999999999,26.1,17,24,0.625,15,0.455,5,"December 16, 2019",68.2,15,8.3,2,101.6,85.7,18,0.563,48,0.45799999999999996,22,0.354,17,0.765,13,8,200,104.7,15.4,4,16,67,,18.8,12,0.5,24,0.41700000000000004,10,46.8,22,0.597,20.1,14,24,0.5,12,0.385,5,"The Pavilion, Davis, California",LOYOLA-MARYMOUNT,Loyola Marymount,64.4,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,12,True,False,True,Home,True,10,12,48,22,47,9,15,42,1,0,81,218,662,0.5128398791540786,342,712,0.4803370786516854,82,216,669,0.5067264573991032,0.3333333333333333
13,2019-12-21-17-san-francisco,32.1,9,8.3,3,124.0,65.6,21,0.564,55,0.509,28,0.436,24,0.917,22,9,200,112.0,23.1,6,23,84,,8.0,6,0.345,19,0.316,6,46.6,27,0.633,16.5,13,36,0.611,22,0.35700000000000004,5,"December 21, 2019",77.4,24,13.9,5,112.0,76.9,20,0.573,62,0.5,31,0.46799999999999997,29,0.759,22,3,200,124.0,34.4,11,17,93,,10.7,8,0.419,26,0.34600000000000003,9,53.4,31,0.614,12.8,11,36,0.611,22,0.769,10,"War Memorial Gymnasium, San Francisco, California",CALIFORNIA-DAVIS,UC-Davis,74.6,Home,SAN-FRANCISCO,San Francisco,UC Davis,big-west,13,False,False,False,Away,False,6,22,55,27,58,9,22,62,0,1,91,230,710,0.5161971830985915,364,759,0.4795783926218709,91,231,711,0.5168776371308017,0.38461538461538464
14,2019-12-29-16-new-mexico,70.8,17,2.6,1,100.0,51.4,19,0.509,58,0.414,24,0.293,17,0.588,10,10,200,93.2,35.3,12,26,69,,12.2,9,0.44799999999999995,26,0.423,11,43.7,31,0.522,23.4,20,32,0.406,13,0.33299999999999996,5,"December 29, 2019",50.0,12,6.3,2,93.2,64.7,22,0.46399999999999997,55,0.436,24,0.636,35,0.657,23,2,200,100.0,48.6,18,17,74,,14.9,11,0.29100000000000004,16,0.188,3,56.3,40,0.517,23.0,21,39,0.5379999999999999,21,0.867,13,"The Pit, Albuquerque, New Mexico",CALIFORNIA-DAVIS,UC-Davis,74.4,Home,NEW-MEXICO,New Mexico,UC Davis,big-west,14,False,False,False,Away,False,11,13,58,31,71,3,21,55,0,1,97,252,765,0.5196078431372549,391,817,0.4785801713586291,100,253,773,0.5213454075032341,0.35714285714285715
15,2020-01-03-22-california-davis,35.7,5,0.0,0,138.4,70.0,21,0.259,58,0.24100000000000002,14,0.24100000000000002,14,0.7859999999999999,11,0,199,56.2,30.0,12,16,41,,1.4,1,0.32799999999999996,19,0.105,2,47.1,33,0.317,23.8,20,39,0.308,12,0.0,0,"January 3, 2020",57.5,23,10.3,4,56.2,70.0,28,0.645,69,0.58,40,0.23199999999999998,16,0.75,12,10,199,138.4,30.0,9,14,101,,15.1,11,0.33299999999999996,23,0.391,9,52.9,37,0.659,7.3,6,46,0.674,31,0.375,6,"The Pavilion, Davis, California","Holy Names
			","Holy Names
			",73.5,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,15,True,False,True,Home,True,9,31,69,37,70,2,12,58,1,0,108,265,823,0.5188335358444714,422,888,0.4752252252252252,103,274,828,0.5175120772946861,0.3333333333333333
16,2020-01-09-22-california-davis,50.0,12,9.1,3,86.8,81.3,26,0.611,45,0.5329999999999999,24,0.35600000000000004,16,0.625,10,6,200,95.6,19.0,4,14,65,,11.8,8,0.33299999999999996,15,0.467,7,56.6,30,0.618,24.6,17,30,0.5670000000000001,17,0.647,11,"January 9, 2020",41.7,10,3.3,1,95.6,81.0,17,0.475,59,0.40700000000000003,24,0.085,5,0.6,3,11,200,86.8,18.8,6,16,59,,17.6,12,0.441,26,0.308,8,43.4,23,0.48100000000000004,20.7,16,33,0.485,16,0.353,6,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,68.5,Away,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Davis,big-west,16,False,True,True,Home,False,8,16,59,23,53,7,17,45,0,1,117,296,892,0.5285874439461884,459,958,0.4791231732776618,105,286,886,0.5005643340857788,0.375
17,2020-01-16-22-long-beach-state,45.8,11,3.1,1,110.8,72.4,21,0.547,53,0.45299999999999996,24,0.679,36,0.75,27,11,200,114.9,20.7,6,25,85,,5.4,4,0.47200000000000003,25,0.4,10,46.6,27,0.606,13.8,11,28,0.5,14,0.389,7,"January 16, 2020",51.9,14,14.3,4,114.9,79.3,23,0.627,51,0.529,27,0.51,26,0.6920000000000001,18,13,200,110.8,27.6,8,26,82,,4.1,3,0.373,19,0.526,10,53.4,31,0.647,22.4,18,32,0.531,17,0.316,6,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,74.2,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,17,False,False,False,Away,True,10,14,53,27,58,10,17,51,1,0,125,312,951,0.5252365930599369,482,1011,0.47675568743818,112,303,931,0.505907626208378,0.35294117647058826
18,2020-01-18-18-cal-state-northridge,55.0,11,16.7,6,93.9,75.6,31,0.46399999999999997,55,0.364,20,0.345,19,0.789,15,11,200,100.0,22.2,8,14,66,,4.5,3,0.545,30,0.3670000000000001,11,50.6,39,0.515,13.6,10,25,0.36,9,0.42100000000000004,8,"January 18, 2020",47.8,11,16.0,4,100.0,77.8,28,0.444,63,0.365,23,0.159,10,0.6,6,13,200,93.9,24.4,10,17,62,,9.1,6,0.429,27,0.37,10,49.4,38,0.45799999999999996,11.8,9,36,0.361,13,0.35,7,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,66.4,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,18,False,False,False,Away,True,11,9,55,39,77,10,13,63,1,0,135,326,1004,0.5263944223107571,509,1069,0.4761459307764266,122,320,982,0.5122199592668024,0.3888888888888889
19,2020-01-22-22-california-davis,53.8,14,7.7,3,102.8,67.6,25,0.536,55,0.473,26,0.473,26,0.731,19,13,200,108.3,23.5,8,15,78,,11.1,8,0.382,21,0.33299999999999996,7,46.5,33,0.579,16.4,13,34,0.5589999999999999,19,0.35,7,"January 22, 2020",46.7,14,0.0,0,108.3,76.5,26,0.531,65,0.462,30,0.12300000000000001,8,0.625,5,12,200,102.8,32.4,12,23,74,,8.3,6,0.4,26,0.34600000000000003,9,53.5,38,0.5379999999999999,18.0,15,39,0.5379999999999999,21,0.4,8,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,72.1,Away,CAL-STATE-FULLERTON,Cal State Fullerton,UC Davis,big-west,19,False,True,True,Home,False,9,21,65,38,71,7,19,55,0,1,146,335,1059,0.5231350330500472,548,1146,0.4781849912739965,132,333,1045,0.508133971291866,0.42105263157894735
20,2020-01-25-23-hawaii,29.6,8,7.4,2,111.8,66.7,18,0.573,55,0.491,27,0.309,17,0.706,12,13,200,110.3,13.0,3,23,75,,7.4,5,0.327,18,0.5,9,42.0,21,0.595,11.4,8,37,0.486,18,0.381,8,"January 25, 2020",76.9,20,8.1,3,110.3,87.0,20,0.574,54,0.48100000000000004,26,0.426,23,0.609,14,6,200,111.8,33.3,9,17,76,,10.3,7,0.5,27,0.37,10,58.0,29,0.585,15.8,12,27,0.593,16,0.684,13,"Stan Sheriff Center, Honolulu, Hawaii",CALIFORNIA-DAVIS,UC-Davis,68.0,Home,HAWAII,Hawaii,UC Davis,big-west,20,False,False,False,Away,False,9,18,55,21,50,10,16,54,0,1,155,356,1124,0.5235765124555161,586,1217,0.4815119145439606,139,352,1100,0.5095454545454545,0.4
21,2020-01-30-22-california-davis,44.1,15,5.7,2,95.6,88.6,31,0.602,59,0.5760000000000001,34,0.22,13,0.6920000000000001,9,9,200,117.6,25.9,7,15,80,,8.8,6,0.254,15,0.2,3,61.3,38,0.614,12.2,9,44,0.705,31,0.591,13,"January 30, 2020",40.9,9,0.0,0,117.6,74.1,20,0.465,57,0.386,22,0.24600000000000002,14,0.857,12,14,200,95.6,11.4,4,12,65,,5.9,4,0.386,22,0.409,9,38.7,24,0.511,12.5,9,35,0.371,13,0.364,8,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,67.9,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Davis,big-west,21,False,True,True,Home,False,9,13,57,24,62,3,31,59,0,1,164,374,1179,0.5258693808312129,607,1267,0.4790844514601421,149,368,1154,0.5125649913344887,0.3809523809523809
22,2020-02-01-20-california-davis,27.8,5,11.1,4,93.0,82.8,24,0.39,50,0.36,18,0.4,20,0.6,12,16,200,71.8,14.7,5,21,51,,9.9,7,0.4,20,0.15,3,46.0,29,0.429,23.4,18,30,0.5,15,0.23800000000000002,5,"February 1, 2020",47.6,10,3.3,1,71.8,85.3,29,0.48,50,0.42,21,0.42,21,0.857,18,14,200,93.0,17.2,5,20,66,,12.7,9,0.28,14,0.429,6,54.0,34,0.55,20.2,15,36,0.41700000000000004,15,0.391,9,"The Pavilion, Davis, California",CAL-POLY,Cal Poly,71.2,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,22,True,False,True,Home,True,6,15,50,34,63,3,15,50,1,0,173,387,1236,0.5230582524271845,631,1329,0.4747930775018811,152,399,1213,0.5169002473206925,0.3636363636363637
23,2020-02-06-22-california-irvine,48.0,12,4.9,2,120.3,51.5,17,0.509,55,0.455,25,0.345,19,0.8420000000000001,16,15,200,104.3,28.6,8,17,72,,10.1,7,0.364,20,0.3,6,41.0,25,0.562,18.1,14,35,0.5429999999999999,19,0.375,9,"February 6, 2020",75.0,24,2.9,1,104.3,71.4,20,0.597,62,0.516,32,0.258,16,0.563,9,9,200,120.3,48.5,16,16,83,,11.6,8,0.33899999999999997,21,0.47600000000000003,10,59.0,36,0.596,16.9,14,41,0.537,22,0.625,15,"Bren Events Center, Irvine, California",CALIFORNIA-DAVIS,UC-Davis,68.8,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Davis,big-west,23,False,False,False,Away,False,6,19,55,25,61,10,22,62,0,1,179,402,1286,0.5213841368584758,665,1392,0.4777298850574713,155,414,1263,0.5118764845605701,0.39130434782608703
24,2020-02-08-22-cal-state-fullerton,45.2,14,5.6,2,119.1,54.8,17,0.619,59,0.525,31,0.373,22,0.636,14,15,200,127.9,29.0,9,23,87,,5.9,4,0.271,16,0.688,11,41.9,26,0.626,9.2,7,43,0.465,20,0.4,10,"February 8, 2020",40.0,10,2.3,1,127.9,71.0,22,0.5,55,0.455,25,0.618,34,0.765,26,16,200,119.1,45.2,14,20,81,,2.9,2,0.345,19,0.263,5,58.1,36,0.569,14.6,12,36,0.556,20,0.36,9,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,68.3,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,24,False,False,False,Away,True,11,20,59,26,62,5,20,55,1,0,185,421,1341,0.5208799403430275,690,1453,0.4748795595320027,165,436,1325,0.5158490566037736,0.375
25,2020-02-13-22-california-davis,53.6,15,5.7,2,121.7,77.3,17,0.557,61,0.45899999999999996,28,0.262,16,0.43799999999999994,7,9,200,108.7,25.0,9,23,75,,10.1,7,0.525,32,0.375,12,44.8,26,0.547,11.7,9,29,0.552,16,0.64,16,"February 13, 2020",21.4,6,3.4,1,108.7,75.0,27,0.63,50,0.56,28,0.48,24,0.875,21,15,200,121.7,22.7,5,19,84,,8.7,6,0.3,15,0.467,7,55.2,32,0.684,16.5,12,35,0.6,21,0.423,11,"The Pavilion, Davis, California",CALIFORNIA-SANTA-BARBARA,UCSB,68.5,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,25,True,False,True,Home,True,7,21,50,32,58,12,16,61,1,0,196,441,1400,0.525,716,1515,0.4726072607260726,170,456,1380,0.5152173913043478,0.4
26,2020-02-15-20-california-davis,54.5,18,5.9,2,142.9,69.6,16,0.679,56,0.589,33,0.536,30,0.733,22,16,200,127.3,8.3,2,21,98,,9.1,7,0.33899999999999997,19,0.526,10,38.3,18,0.698,12.6,10,37,0.622,23,0.40700000000000003,11,"February 15, 2020",51.4,18,8.1,3,127.3,91.7,22,0.72,59,0.593,35,0.441,26,0.9620000000000001,25,15,200,142.9,30.4,7,23,110,,5.2,4,0.424,25,0.6,15,61.7,29,0.7709999999999999,14.6,12,34,0.588,20,0.444,12,"The Pavilion, Davis, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,77.3,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,26,True,False,True,Home,True,15,20,59,29,47,10,23,56,1,0,203,462,1450,0.5286206896551724,748,1573,0.4755244755244755,182,472,1441,0.5170020818875781,0.4230769230769231
