,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MARSHALL_homegame,MARSHALL_homegame2,MARSHALL_home,MARSHALL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-19-19-marshall,30.4,7,11.6,5,103.4,58.5,24,0.406,64,0.359,23,0.5,32,0.625,20,8,200,82.8,28.9,13,22,72,,13.8,12,0.32799999999999996,21,0.28600000000000003,6,43.0,37,0.455,22.0,22,43,0.395,17,0.273,3,"December 19, 2019",50.0,16,7.0,3,82.8,71.1,32,0.529,69,0.46399999999999997,32,0.348,24,0.708,17,6,200,103.4,41.5,17,19,90,,12.6,11,0.377,26,0.34600000000000003,9,57.0,49,0.56,21.7,22,43,0.535,23,0.455,5,"Henderson Center, Huntington, West Virginia",EASTERN-KENTUCKY,Eastern Kentucky,86.8,Home,MARSHALL,Marshall,Marshall,cusa,10,True,False,True,Home,True,9,23,69,49,86,6,17,64,1,0,64,219,634,0.4968454258675079,360,735,0.4897959183673469,72,175,623,0.4542536115569824,0.4
11,2019-12-22-14-northern-iowa,24.1,7,8.8,3,114.3,73.1,19,0.508,64,0.45299999999999996,29,0.32799999999999996,21,0.7140000000000001,15,7,200,103.9,20.0,7,21,80,,15.6,12,0.375,24,0.292,7,42.6,26,0.541,12.0,10,40,0.55,22,0.41700000000000004,5,"December 22, 2019",42.3,11,7.5,3,103.9,80.0,28,0.5870000000000001,52,0.5,26,0.635,33,0.818,27,1,200,114.3,26.9,7,17,88,,7.8,6,0.34600000000000003,18,0.5,9,57.4,35,0.65,19.4,16,34,0.5,17,0.917,11,"McLeod Center, Cedar Falls, Iowa",MARSHALL,Marshall,76.8,Home,NORTHERN-IOWA,Northern Iowa,Marshall,cusa,11,False,False,False,Away,False,7,22,64,26,61,9,17,52,0,1,73,242,703,0.5,409,821,0.4981729598051157,78,192,687,0.4497816593886463,0.4545454545454545
12,2019-12-29-14-marshall,30.4,7,12.0,6,110.7,65.6,21,0.36,68,0.33799999999999997,23,0.235,16,0.75,12,2,200,81.3,34.1,15,7,61,,10.7,8,0.235,16,0.188,3,47.4,36,0.40299999999999997,15.7,14,52,0.385,20,0.833,10,"December 29, 2019",51.4,18,15.4,8,81.3,65.9,29,0.574,68,0.515,35,0.11800000000000001,8,0.625,5,7,200,110.7,34.4,11,14,83,,13.3,10,0.265,18,0.444,8,52.6,40,0.578,17.3,15,50,0.54,27,0.462,6,"Quicken Loans Arena, Cleveland, Ohio",DUQUESNE,Duquesne,75.2,Home,MARSHALL,Marshall,Marshall,cusa,12,True,False,True,Home,True,8,27,68,40,76,3,20,68,1,0,80,264,767,0.500651890482399,435,882,0.4931972789115646,87,209,739,0.4594046008119079,0.4166666666666667
13,2020-01-02-19-marshall,27.3,6,0.0,0,109.9,67.9,19,0.424,59,0.373,22,0.424,25,0.76,19,6,200,85.2,8.8,3,15,69,,12.3,10,0.35600000000000004,21,0.28600000000000003,6,35.5,22,0.48700000000000004,18.6,16,38,0.42100000000000004,16,0.5710000000000001,8,"January 2, 2020",62.9,22,26.3,10,85.2,91.2,31,0.65,60,0.583,35,0.35,21,0.524,11,7,200,109.9,32.1,9,19,89,,11.1,9,0.38299999999999995,23,0.348,8,64.5,40,0.636,19.7,17,37,0.73,27,0.5,7,"Henderson Center, Huntington, West Virginia",RICE,Rice,80.9,Home,MARSHALL,Marshall,Marshall,cusa,13,True,False,True,Home,True,8,27,60,40,62,6,16,59,1,0,88,291,835,0.5065868263473053,475,958,0.4958246346555323,90,229,807,0.4510532837670384,0.4615384615384616
14,2020-01-04-14-marshall,33.3,8,9.1,3,94.1,60.0,18,0.541,49,0.49,24,0.408,20,0.7,14,8,200,98.5,30.8,8,15,67,,16.2,11,0.265,13,0.385,5,46.4,26,0.573,23.7,18,36,0.528,19,0.467,7,"January 4, 2020",47.6,10,19.4,7,98.5,69.2,18,0.45299999999999996,53,0.396,21,0.415,22,0.727,16,8,200,94.1,40.0,12,19,64,,16.2,11,0.377,20,0.3,6,53.6,30,0.504,21.3,17,33,0.455,15,0.467,7,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,68.5,Away,NORTH-TEXAS,North Texas,Marshall,cusa,14,False,True,True,Home,False,6,15,53,30,56,5,19,49,0,1,96,318,895,0.5162011173184358,515,1020,0.5049019607843137,96,245,866,0.4491916859122402,0.5
15,2020-01-09-19-middle-tennessee,51.6,16,11.6,5,101.4,62.8,27,0.547,64,0.484,31,0.266,17,0.529,9,8,200,106.8,31.4,11,13,79,,8.1,6,0.281,18,0.444,8,48.7,38,0.5479999999999999,16.4,14,46,0.5,23,0.5,8,"January 9, 2020",44.8,13,13.0,6,106.8,68.6,24,0.473,73,0.397,29,0.16399999999999998,12,0.5,6,12,200,101.4,37.2,16,13,75,,13.5,10,0.41100000000000003,30,0.3670000000000001,11,51.3,40,0.47600000000000003,11.3,10,43,0.419,18,0.25,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,73.9,Away,MARSHALL,Marshall,Marshall,cusa,15,False,False,False,Away,True,8,23,64,38,78,11,18,73,1,0,102,333,948,0.5126582278481012,545,1076,0.5065055762081785,101,264,915,0.4540983606557377,0.4666666666666667
16,2020-01-11-20-alabama-birmingham,35.0,7,4.9,2,85.9,60.0,21,0.3670000000000001,60,0.33299999999999996,20,0.11699999999999999,7,0.857,6,9,200,70.4,13.2,5,26,50,,15.5,11,0.433,26,0.154,4,35.6,26,0.395,18.2,14,34,0.47100000000000003,16,0.47100000000000003,8,"January 11, 2020",5.0,1,14.7,5,70.4,86.8,33,0.4270000000000001,48,0.41700000000000004,20,0.6459999999999999,31,0.645,20,6,200,85.9,40.0,14,12,61,,11.3,8,0.146,7,0.14300000000000002,1,64.4,47,0.486,24.5,20,41,0.46299999999999997,19,0.647,11,"Bartow Arena, Birmingham, Alabama",MARSHALL,Marshall,70.5,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Marshall,cusa,16,False,False,False,Away,False,4,16,60,26,73,1,19,48,0,1,110,356,1012,0.5148221343873518,583,1154,0.5051993067590987,112,282,988,0.4554655870445344,0.5
17,2020-01-16-19-marshall,28.0,7,5.1,2,100.0,69.4,25,0.598,46,0.5429999999999999,25,0.7390000000000001,34,0.647,22,5,200,102.7,19.2,5,19,77,,13.3,10,0.261,12,0.41700000000000004,5,48.4,30,0.619,20.8,16,34,0.588,20,0.667,10,"January 16, 2020",42.3,11,5.9,2,102.7,80.8,21,0.475,61,0.426,26,0.44299999999999995,27,0.63,17,10,200,100.0,30.6,11,23,75,,12.0,9,0.361,22,0.273,6,51.6,32,0.508,16.1,14,39,0.513,20,0.444,8,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,75.0,Away,CHARLOTTE,Charlotte,Marshall,cusa,17,False,True,True,Home,False,6,20,61,32,62,5,20,46,0,1,114,372,1072,0.5065298507462687,609,1227,0.4963325183374083,113,301,1036,0.4541505791505792,0.4705882352941176
18,2020-01-18-19-marshall,31.8,7,8.6,3,103.0,70.3,26,0.377,65,0.33799999999999997,22,0.308,20,0.9,18,12,200,101.5,52.4,22,16,67,,7.6,5,0.308,20,0.25,5,60.8,48,0.45,15.9,14,45,0.37799999999999995,17,0.33299999999999996,6,"January 18, 2020",34.8,8,13.3,6,101.5,47.6,20,0.447,57,0.40399999999999997,23,0.42100000000000004,24,0.708,17,10,200,103.0,29.7,11,15,68,,7.6,5,0.386,22,0.22699999999999998,5,39.2,31,0.4970000000000001,10.6,8,35,0.514,18,0.474,9,"Henderson Center, Huntington, West Virginia",OLD-DOMINION,Old Dominion,66.0,Home,MARSHALL,Marshall,Marshall,cusa,18,True,False,True,Home,True,5,18,57,31,79,5,17,65,1,0,120,392,1133,0.5048543689320388,641,1289,0.4972847168347556,118,321,1082,0.4602587800369686,0.4444444444444444
19,2020-01-22-19-marshall,40.9,9,11.8,4,89.6,64.3,18,0.473,55,0.4,22,0.273,15,0.8,12,6,200,95.5,23.3,7,9,64,,17.9,12,0.382,21,0.381,8,43.1,25,0.515,18.5,14,34,0.41200000000000003,14,0.684,13,"January 22, 2020",45.8,11,20.6,7,95.5,76.7,23,0.509,53,0.45299999999999996,24,0.151,8,0.75,6,11,200,89.6,35.7,10,14,60,,10.4,7,0.358,19,0.316,6,56.9,33,0.528,25.2,19,34,0.529,18,0.45,9,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,67.5,Away,WESTERN-KENTUCKY,Western Kentucky,Marshall,cusa,19,False,True,True,Home,False,6,18,53,33,58,8,14,55,0,1,125,410,1190,0.5021008403361344,672,1368,0.4912280701754386,123,338,1147,0.455536181342633,0.4736842105263158
20,2020-01-25-19-western-kentucky,61.3,19,2.5,1,123.0,66.7,20,0.545,66,0.47,31,0.242,16,0.75,12,12,200,113.5,39.4,13,23,84,,5.4,4,0.424,28,0.35700000000000004,10,52.4,33,0.5710000000000001,18.0,16,38,0.5529999999999999,21,0.429,9,"January 25, 2020",37.5,12,5.3,2,113.5,60.6,20,0.5870000000000001,63,0.508,32,0.349,22,0.773,17,6,200,123.0,33.3,10,15,91,,8.1,6,0.365,23,0.435,10,47.6,30,0.619,9.9,8,40,0.55,22,0.7,14,"E.A. Diddle Arena, Bowling Green, Kentucky",MARSHALL,Marshall,74.0,Home,WESTERN-KENTUCKY,Western Kentucky,Marshall,cusa,20,False,False,False,Away,False,10,21,66,33,63,10,22,63,0,1,131,428,1243,0.5024135156878521,705,1426,0.4943899018232819,131,352,1202,0.4563227953410982,0.45
21,2020-01-30-19-florida-international,47.1,16,11.6,5,93.7,61.5,24,0.545,67,0.507,34,0.239,16,0.688,11,12,200,106.3,22.2,8,15,84,,12.7,10,0.34299999999999997,23,0.217,5,42.7,32,0.563,13.9,12,44,0.659,29,0.455,10,"January 30, 2020",38.5,10,9.1,4,106.3,77.8,28,0.441,68,0.382,26,0.294,20,0.7,14,8,200,93.7,38.5,15,14,74,,12.7,10,0.368,25,0.32,8,57.3,43,0.47700000000000004,18.1,17,43,0.419,18,0.636,14,"FIU Arena, Miami, Florida",FLORIDA-INTERNATIONAL,Florida International,79.1,Away,MARSHALL,Marshall,Marshall,cusa,21,False,False,False,Away,True,5,29,67,32,75,8,18,68,1,0,141,449,1309,0.5045836516424752,738,1489,0.4956346541302888,141,374,1265,0.4628458498023715,0.42857142857142855
22,2020-02-01-16-florida-atlantic,40.0,10,4.3,2,105.8,81.6,31,0.435,69,0.36200000000000004,25,0.261,18,0.722,13,13,200,84.9,18.2,8,19,73,,8.1,7,0.449,31,0.32299999999999995,10,47.6,39,0.47100000000000003,17.2,16,38,0.395,15,0.435,10,"February 1, 2020",37.1,13,2.6,1,84.9,81.8,36,0.565,69,0.507,35,0.29,20,0.65,13,9,200,105.8,18.4,7,16,91,,9.3,8,0.319,22,0.364,8,52.4,43,0.58,16.2,15,47,0.574,27,0.609,14,"FAU Arena, Boca Raton, Florida",MARSHALL,Marshall,86.0,Home,FLORIDA-ATLANTIC,Florida Atlantic,Marshall,cusa,22,False,False,False,Away,False,10,15,69,39,82,8,27,69,0,1,146,478,1376,0.5065406976744186,770,1564,0.4923273657289002,149,392,1333,0.4617404351087772,0.4545454545454545
23,2020-02-06-19-marshall,50.0,12,14.3,5,102.9,66.7,28,0.456,57,0.42100000000000004,24,0.12300000000000001,7,0.857,6,17,200,82.9,18.2,6,10,58,,4.3,3,0.193,11,0.364,4,45.3,34,0.48100000000000004,20.0,15,46,0.435,20,0.292,7,"February 6, 2020",46.4,13,8.7,4,82.9,81.8,27,0.47100000000000003,70,0.4,28,0.14300000000000002,10,0.6,6,13,200,102.9,33.3,14,11,72,,12.9,9,0.5,35,0.28600000000000003,10,54.7,41,0.48200000000000004,10.8,9,35,0.514,18,0.45799999999999996,11,"Henderson Center, Huntington, West Virginia",SOUTHERN-MISSISSIPPI,Southern Miss,69.5,Home,MARSHALL,Marshall,Marshall,cusa,23,True,False,True,Home,True,10,18,70,41,75,4,20,57,1,0,156,493,1445,0.5031141868512111,809,1646,0.49149453219927103,157,419,1402,0.4668330955777461,0.43478260869565216
24,2020-02-08-19-marshall,37.0,10,3.0,1,103.8,78.9,30,0.508,59,0.45799999999999996,27,0.4920000000000001,29,0.655,19,7,225,98.8,28.1,9,16,79,,15.0,12,0.373,22,0.273,6,55.7,39,0.5429999999999999,19.2,17,37,0.568,21,0.708,17,"February 8, 2020",45.2,14,13.5,5,98.8,71.9,23,0.5770000000000001,65,0.47700000000000004,31,0.27699999999999997,18,0.444,8,13,225,103.8,21.1,8,22,83,,7.5,6,0.4920000000000001,32,0.406,13,44.3,31,0.564,16.1,14,33,0.545,18,0.48,12,"Henderson Center, Huntington, West Virginia",LOUISIANA-TECH,Louisiana Tech,71.3,Home,MARSHALL,Marshall,Marshall,cusa,24,True,False,True,Home,True,13,18,65,31,70,6,21,59,1,0,166,511,1515,0.5016501650165016,850,1721,0.4938988959907031,161,439,1459,0.4664153529814942,0.4583333333333333
25,2020-02-13-21-texas-san-antonio,43.5,10,20.4,11,90.0,56.6,30,0.377,69,0.33299999999999996,23,0.275,19,0.579,11,14,200,78.8,23.4,11,23,63,,6.3,5,0.406,28,0.214,6,41.0,41,0.40399999999999997,12.4,11,41,0.415,17,0.462,12,"February 13, 2020",41.7,10,4.9,2,78.8,76.6,36,0.319,80,0.3,24,0.325,26,0.8079999999999999,21,14,200,90.0,43.4,23,17,72,,7.5,6,0.325,26,0.115,3,59.0,59,0.39,11.6,12,54,0.389,21,0.462,12,"Convocation Center, San Antonio, Texas",MARSHALL,Marshall,79.7,Home,TEXAS-SAN-ANTONIO,UTSA,Marshall,cusa,25,False,False,False,Away,False,6,17,69,41,100,3,21,80,0,1,179,529,1580,0.504746835443038,881,1791,0.4919039642657733,167,460,1518,0.4680500658761528,0.48
26,2020-02-15-16-texas-el-paso,68.0,17,10.0,4,81.3,73.2,30,0.525,59,0.424,25,0.203,12,0.75,9,14,200,94.7,26.5,9,22,71,,4.0,3,0.525,31,0.387,12,52.0,39,0.5489999999999999,21.9,18,28,0.46399999999999997,13,0.48100000000000004,13,"February 15, 2020",42.9,9,3.6,1,94.7,73.5,25,0.392,60,0.35,21,0.35,21,0.667,14,14,200,81.3,26.8,11,14,61,,10.7,8,0.33299999999999996,20,0.25,5,48.0,36,0.436,19.7,17,40,0.4,16,0.48100000000000004,13,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,74.8,Away,MARSHALL,Marshall,Marshall,cusa,26,False,False,False,Away,True,12,13,59,39,75,5,16,60,1,0,185,546,1649,0.4993935718617344,922,1891,0.4875727128503438,170,481,1598,0.460575719649562,0.4615384615384616
