,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS-PINE-BLUFF_homegame,ARKANSAS-PINE-BLUFF_homegame2,ARKANSAS-PINE-BLUFF_home,ARKANSAS-PINE-BLUFF_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-18-north-texas,37.5,6,5.9,2,117.8,68.0,17,0.425,40,0.4,16,0.625,25,0.76,19,10,200,72.6,26.1,6,21,53,,9.6,7,0.2,8,0.25,2,47.9,23,0.511,34.6,27,32,0.43799999999999994,14,0.091,1,"December 21, 2019",56.7,17,3.1,1,72.6,73.9,17,0.625,56,0.536,30,0.41100000000000003,23,0.696,16,7,200,117.8,32.0,8,20,86,,20.5,15,0.39299999999999996,22,0.455,10,52.1,25,0.643,17.5,14,34,0.588,20,0.41700000000000004,5,"UNT Coliseum, Denton, Texas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,72.9,Home,NORTH-TEXAS,North Texas,Arkansas-Pine Bluff,swac,10,False,False,False,Away,False,2,14,40,23,48,10,20,56,0,1,39,149,489,0.4243353783231084,269,577,0.4662045060658579,70,165,507,0.5325443786982249,0.1
11,2019-12-29-20-washington-state,25.0,5,18.9,7,100.0,72.2,26,0.431,51,0.392,20,0.157,8,0.75,6,11,200,76.9,17.9,5,17,50,,6.2,4,0.17600000000000002,9,0.444,4,48.4,31,0.456,20.4,14,42,0.381,16,0.083,1,"December 29, 2019",58.3,14,11.9,5,76.9,82.1,23,0.435,62,0.387,24,0.242,15,0.733,11,4,200,100.0,27.8,10,10,65,,10.8,7,0.40299999999999997,25,0.24,6,51.6,33,0.47,10.4,8,37,0.486,18,0.6920000000000001,9,"Beasley Coliseum, Pullman, Washington",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,65.5,Home,WASHINGTON-STATE,Washington State,Arkansas-Pine Bluff,swac,11,False,False,False,Away,False,4,16,51,31,64,6,18,62,0,1,41,163,529,0.42438563327032136,292,625,0.4672,80,185,563,0.5417406749555951,0.09090909090909093
12,2020-01-04-17-mississippi-valley-state,29.6,8,21.1,4,89.4,82.1,32,0.43,64,0.42200000000000004,27,0.563,36,0.6940000000000001,25,11,200,94.1,44.7,17,20,80,,12.9,11,0.23399999999999999,15,0.067,1,63.6,49,0.493,19.2,19,49,0.531,26,0.154,2,"January 4, 2020",58.3,14,4.1,2,94.1,55.3,21,0.47,66,0.364,24,0.28800000000000003,19,0.737,14,13,200,89.4,17.9,7,26,76,,8.2,7,0.7120000000000001,47,0.298,14,36.4,28,0.506,20.4,19,19,0.526,10,0.0,0,"Harrison HPER Complex, Itta Bena, Mississippi",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,85.1,Away,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Arkansas-Pine Bluff,swac,12,False,False,False,Away,True,1,26,64,49,77,14,10,66,1,0,45,179,580,0.425,323,689,0.4687953555878085,86,203,625,0.5312,0.08333333333333333
13,2020-01-11-18-alabama-am,40.0,8,11.1,5,90.8,64.3,27,0.43799999999999994,48,0.41700000000000004,20,0.41700000000000004,20,0.35,7,12,200,75.4,23.1,6,20,49,,12.3,8,0.375,18,0.111,2,48.5,33,0.426,18.6,13,30,0.6,18,0.14300000000000002,2,"January 11, 2020",50.0,10,3.3,1,75.4,76.9,20,0.375,60,0.33299999999999996,20,0.3670000000000001,22,0.636,14,9,200,90.8,35.7,15,17,59,,15.4,10,0.25,15,0.33299999999999996,5,51.5,35,0.419,12.6,10,45,0.33299999999999996,15,0.35700000000000004,5,"Elmore Health Science Building , Normal, Alabama",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,65.0,Home,ALABAMA-AM,Alabama A&M,Arkansas-Pine Bluff,swac,13,False,False,False,Away,False,2,18,48,33,68,5,15,60,0,1,46,205,644,0.4254658385093168,372,766,0.4856396866840731,100,213,691,0.5253256150506512,0.15384615384615385
14,2020-01-13-20-alabama-state,52.4,11,12.9,4,86.2,62.5,20,0.547,43,0.488,21,0.5579999999999999,24,0.583,14,12,200,93.8,14.8,4,23,61,,13.8,9,0.27899999999999997,12,0.41700000000000004,5,40.7,24,0.561,20.7,14,31,0.516,16,0.2,3,"January 13, 2020",50.0,10,0.0,0,93.8,85.2,23,0.39799999999999996,54,0.37,20,0.389,21,0.619,13,15,200,86.2,37.5,12,20,56,,12.3,8,0.426,23,0.13,3,59.3,35,0.43799999999999994,17.1,13,31,0.5479999999999999,17,0.11800000000000001,2,,ALABAMA-STATE,Alabama State,64.7,Away,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Arkansas-Pine Bluff,swac,14,False,False,False,Away,True,5,16,43,24,59,3,17,54,1,0,48,223,692,0.4263005780346821,405,834,0.4856115107913669,105,228,751,0.5133155792276964,0.14285714285714285
15,2020-01-18-20-arkansas-pine-bluff,57.7,15,6.3,2,83.6,77.4,24,0.5379999999999999,52,0.5,26,0.635,33,0.5760000000000001,19,13,200,111.9,29.4,10,21,75,,19.4,13,0.192,10,0.4,4,52.3,34,0.5539999999999999,14.2,11,42,0.524,22,0.278,5,"January 18, 2020",76.2,16,7.1,3,111.9,70.6,24,0.523,44,0.47700000000000004,21,0.545,24,0.41700000000000004,10,13,200,83.6,22.6,7,20,56,,6.0,4,0.273,12,0.33299999999999996,4,47.7,31,0.505,22.7,16,32,0.531,17,0.188,3,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,66.5,Away,SOUTHERN,Southern,Arkansas-Pine Bluff,swac,15,False,True,True,Home,False,4,17,44,31,65,4,22,52,0,1,53,239,735,0.43333333333333335,429,893,0.4804031354983202,108,245,805,0.5055900621118012,0.2
16,2020-01-20-20-arkansas-pine-bluff,44.0,11,2.5,1,71.1,86.8,33,0.612,49,0.51,25,0.551,27,0.815,22,9,200,107.9,11.5,3,20,82,,15.8,12,0.306,15,0.667,10,56.3,36,0.6629999999999999,23.8,19,34,0.441,15,0.47100000000000003,8,"January 20, 2020",44.4,8,11.8,4,107.9,88.5,23,0.392,51,0.353,18,0.451,23,0.609,14,14,200,71.1,13.2,5,23,54,,10.5,8,0.21600000000000005,11,0.364,4,43.8,28,0.436,22.8,18,40,0.35,14,0.17600000000000002,3,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,76.4,Away,ALCORN-STATE,Alcorn State,Arkansas-Pine Bluff,swac,16,False,True,True,Home,False,4,14,51,28,64,10,15,49,0,1,57,256,779,0.4383825417201541,460,958,0.4801670146137787,112,267,857,0.5075845974329055,0.1875
17,2020-01-25-18-prairie-view,58.8,10,16.7,6,101.5,60.7,17,0.5,39,0.436,17,0.59,23,0.652,15,15,200,81.8,29.6,8,22,54,,12.1,8,0.41,16,0.313,5,45.5,25,0.541,28.9,20,23,0.522,12,0.16699999999999998,3,"January 25, 2020",60.9,14,0.0,0,81.8,70.4,19,0.48100000000000004,54,0.426,23,0.40700000000000003,22,0.682,15,10,200,101.5,39.3,11,22,67,,10.6,7,0.33299999999999996,18,0.33299999999999996,6,54.5,30,0.52,20.1,16,36,0.47200000000000003,17,0.474,9,"William J. Nicks Building, Prairie View, Texas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,65.7,Home,PRAIRIE-VIEW,Prairie View,Arkansas-Pine Bluff,swac,17,False,False,False,Away,False,5,12,39,25,55,6,17,54,0,1,61,270,830,0.4355421686746988,488,1022,0.4774951076320939,122,282,906,0.5132450331125827,0.17647058823529413
18,2020-01-27-20-texas-southern,63.6,14,4.5,2,106.3,37.9,11,0.455,56,0.39299999999999996,22,0.23199999999999998,13,0.462,6,16,200,89.1,34.3,12,18,57,,10.9,7,0.35700000000000004,20,0.35,7,35.9,23,0.45799999999999996,16.3,12,36,0.41700000000000004,15,0.158,3,"January 27, 2020",39.3,11,11.1,4,89.1,65.7,23,0.5,58,0.483,28,0.31,18,0.556,10,11,200,106.3,62.1,18,18,68,,9.4,6,0.24100000000000002,14,0.14300000000000002,2,64.1,41,0.511,20.5,17,44,0.591,26,0.45,9,"Health & Physical Education Arena, Houston, Texas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,63.9,Home,TEXAS-SOUTHERN,Texas Southern,Arkansas-Pine Bluff,swac,18,False,False,False,Away,False,7,15,56,23,64,2,26,58,0,1,66,282,869,0.4384349827387802,513,1077,0.4763231197771588,128,299,960,0.5114583333333333,0.16666666666666666
19,2020-02-01-20-arkansas-pine-bluff,66.7,10,10.3,3,78.3,69.6,16,0.4270000000000001,41,0.366,15,0.585,24,0.583,14,11,200,81.7,29.0,9,9,49,,13.3,8,0.268,11,0.455,5,46.3,25,0.46799999999999997,21.4,14,30,0.33299999999999996,10,0.47600000000000003,10,"February 1, 2020",35.3,6,10.0,3,81.7,71.0,22,0.418,49,0.34700000000000003,17,0.204,10,0.6,6,17,200,78.3,30.4,7,18,47,,11.7,7,0.408,20,0.35,7,53.7,29,0.4370000000000001,21.9,15,29,0.345,10,0.15,3,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,59.6,Away,GRAMBLING,Grambling,Arkansas-Pine Bluff,swac,19,False,True,True,Home,False,7,10,49,29,54,5,10,41,0,1,73,297,925,0.43945945945945947,536,1141,0.4697633654688869,130,325,1018,0.5108055009823183,0.15789473684210525
20,2020-02-03-20-arkansas-pine-bluff,25.0,4,10.5,4,72.6,70.0,21,0.337,49,0.327,16,0.49,24,0.667,16,14,200,79.0,27.3,9,17,49,,11.3,7,0.163,8,0.125,1,47.6,30,0.406,17.9,13,41,0.366,15,0.364,8,"February 3, 2020",42.1,8,14.6,6,79.0,72.7,24,0.41700000000000004,48,0.396,19,0.271,13,0.385,5,18,200,72.6,30.0,9,20,45,,8.1,5,0.20800000000000002,10,0.2,2,52.4,33,0.415,21.8,15,38,0.447,17,0.14300000000000002,3,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,62.3,Away,JACKSON-STATE,Jackson State,Arkansas-Pine Bluff,swac,20,False,True,True,Home,False,2,17,48,33,63,1,15,49,0,1,80,307,974,0.4383983572895277,565,1195,0.4728033472803347,135,335,1059,0.5075542965061378,0.15
21,2020-02-08-20-arkansas-pine-bluff,41.2,7,9.1,3,88.5,75.0,21,0.475,40,0.425,17,0.775,31,0.645,20,15,200,95.1,17.9,5,21,58,,9.8,6,0.3,12,0.33299999999999996,4,46.4,26,0.53,19.5,13,28,0.46399999999999997,13,0.28600000000000003,6,"February 8, 2020",44.4,8,14.3,4,95.1,82.1,23,0.435,46,0.391,18,0.522,24,0.583,14,19,200,88.5,25.0,7,27,54,,9.8,6,0.28300000000000003,13,0.308,4,53.6,30,0.47,12.4,8,33,0.424,14,0.136,3,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,60.6,Away,ALABAMA-AM,Alabama A&M,Arkansas-Pine Bluff,swac,21,False,True,True,Home,False,4,14,46,30,56,4,13,40,0,1,82,324,1022,0.4373776908023483,598,1258,0.4753577106518283,136,350,1108,0.5,0.14285714285714285
22,2020-02-10-20-arkansas-pine-bluff,35.3,6,7.9,3,72.1,63.9,23,0.46299999999999997,40,0.425,17,0.875,35,0.5710000000000001,20,17,200,83.8,32.1,9,19,57,,11.8,8,0.375,15,0.2,3,50.0,32,0.503,28.4,22,25,0.56,14,0.292,7,"February 10, 2020",44.4,8,12.0,3,83.8,67.9,19,0.363,51,0.353,18,0.529,27,0.444,12,20,200,72.1,36.1,13,27,49,,11.8,8,0.255,13,0.077,1,50.0,32,0.384,20.3,16,38,0.447,17,0.13,3,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,68.2,Away,ALABAMA-STATE,Alabama State,Arkansas-Pine Bluff,swac,22,False,True,True,Home,False,1,17,51,32,64,3,14,40,0,1,86,338,1068,0.43726591760299627,628,1314,0.4779299847792998,140,363,1148,0.4991289198606272,0.13636363636363635
23,2020-02-15-18-southern,25.0,4,4.9,2,105.8,60.6,20,0.4,45,0.35600000000000004,16,0.556,25,0.52,13,21,200,71.0,18.2,6,24,49,,7.2,5,0.244,11,0.364,4,39.4,26,0.431,23.3,17,34,0.353,12,0.125,3,"February 15, 2020",71.4,20,5.9,2,71.0,81.8,27,0.4920000000000001,62,0.452,28,0.33899999999999997,21,0.5710000000000001,12,15,200,105.8,39.4,13,27,73,,11.6,8,0.33899999999999997,21,0.23800000000000002,5,60.6,40,0.507,14.4,12,41,0.561,23,0.4,10,"F. G. Clark Activity Center, Baton Rouge, Louisiana",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.4,Home,SOUTHERN,Southern,Arkansas-Pine Bluff,swac,23,False,False,False,Away,False,4,12,45,26,66,5,23,62,0,1,87,355,1119,0.433869526362824,660,1378,0.4789550072568941,143,377,1188,0.4978956228956229,0.13043478260869565
24,2020-02-17-20-alcorn-state,52.4,11,19.2,5,88.2,82.8,24,0.402,56,0.375,21,0.268,15,0.467,7,22,200,76.5,35.9,14,17,52,,14.7,10,0.33899999999999997,19,0.158,3,55.9,38,0.41200000000000003,21.4,17,37,0.486,18,0.12,3,"February 17, 2020",73.7,14,8.1,3,76.5,64.1,25,0.442,52,0.365,19,0.385,20,0.7,14,12,200,88.2,17.2,5,14,60,,20.6,14,0.5,26,0.308,8,44.1,30,0.488,17.6,13,26,0.423,11,0.5,12,"Davey L. Whitney Complex, Alcorn State, Mississippi",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,67.8,Home,ALCORN-STATE,Alcorn State,Arkansas-Pine Bluff,swac,24,False,False,False,Away,False,3,18,56,38,68,8,11,52,0,1,91,367,1164,0.4325601374570447,686,1444,0.4750692520775624,148,400,1250,0.4976,0.125
