,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FAIRFIELD_homegame,FAIRFIELD_homegame2,FAIRFIELD_home,FAIRFIELD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-28-16-wagner,47.6,10,7.1,3,81.8,72.2,26,0.511,45,0.467,21,0.622,28,0.7140000000000001,20,7,200,100.0,33.3,8,15,66,,6.1,4,0.2,9,0.444,4,56.7,34,0.5660000000000001,19.6,14,36,0.47200000000000003,17,0.364,4,"December 28, 2019",58.3,14,5.6,2,100.0,66.7,16,0.429,63,0.381,24,0.048,3,0.0,0,8,200,81.8,27.8,10,25,54,,3.0,2,0.33299999999999996,21,0.28600000000000003,6,43.3,26,0.419,16.8,13,42,0.429,18,0.273,3,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,65.9,Away,FAIRFIELD,Fairfield,Fairfield,maac,10,False,False,False,Away,True,4,17,45,34,60,6,18,63,1,0,62,165,552,0.4673913043478261,302,601,0.502495840266223,73,156,530,0.5009433962264151,0.3
11,2020-01-03-19-niagara,48.1,13,6.3,2,117.2,79.2,19,0.483,60,0.45,27,0.28300000000000003,17,0.47100000000000003,8,8,200,103.1,51.4,19,16,66,,3.1,2,0.233,14,0.28600000000000003,4,62.3,38,0.485,19.2,16,46,0.5,23,0.33299999999999996,4,"January 3, 2020",57.1,16,0.0,0,103.1,48.6,18,0.625,52,0.5379999999999999,28,0.25,13,0.769,10,9,200,117.2,20.8,5,15,75,,12.5,8,0.385,20,0.45,9,37.7,23,0.645,14.8,10,32,0.594,19,0.25,3,"Gallagher Center, Niagara University, New York",FAIRFIELD,Fairfield,64.1,Home,NIAGARA,Niagara,Fairfield,maac,11,False,False,False,Away,False,4,23,60,38,61,9,19,52,0,1,66,182,597,0.4706867671691792,336,661,0.5083207261724659,79,174,593,0.4932546374367622,0.3636363636363637
12,2020-01-05-14-canisius,47.4,9,13.9,5,63.6,82.1,32,0.402,51,0.373,19,0.196,10,0.5,5,8,200,69.7,24.1,7,13,46,,3.0,2,0.294,15,0.2,3,57.4,39,0.413,21.3,15,36,0.444,16,0.385,5,"January 5, 2020",68.8,11,8.3,3,69.7,75.9,22,0.316,57,0.281,16,0.158,9,0.667,6,9,200,63.6,17.9,7,15,42,,7.6,5,0.368,21,0.19,4,42.6,29,0.34299999999999997,17.6,13,36,0.33299999999999996,12,0.35700000000000004,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,65.5,Away,FAIRFIELD,Fairfield,Fairfield,maac,12,False,False,False,Away,True,3,16,51,39,68,4,12,57,1,0,70,205,657,0.4718417047184171,374,722,0.518005540166205,88,193,645,0.5038759689922481,0.3333333333333333
13,2020-01-08-19-fairfield,50.0,11,11.1,4,86.6,89.7,26,0.529,51,0.431,22,0.569,29,0.552,16,11,200,104.5,32.3,10,21,70,,7.5,5,0.41200000000000003,21,0.47600000000000003,10,60.0,36,0.54,13.6,10,30,0.4,12,0.154,2,"January 8, 2020",47.4,9,10.0,3,104.5,67.7,21,0.436,47,0.40399999999999997,19,0.511,24,0.708,17,9,200,86.6,10.3,3,22,58,,7.5,5,0.23399999999999999,11,0.273,3,40.0,24,0.4970000000000001,18.4,13,36,0.444,16,0.35700000000000004,5,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,66.6,Away,MARIST,Marist,Fairfield,maac,13,False,True,True,Home,False,3,16,47,24,60,10,12,51,0,1,73,221,708,0.4668079096045198,413,790,0.5227848101265823,92,205,702,0.4886039886039886,0.38461538461538464
14,2020-01-10-19-fairfield,39.1,9,6.5,2,111.5,76.2,16,0.51,51,0.451,23,0.21600000000000005,11,0.727,8,6,200,98.4,7.1,2,21,60,,9.8,6,0.392,20,0.3,6,36.7,18,0.534,9.7,6,31,0.5479999999999999,17,0.5,6,"January 10, 2020",52.6,10,3.2,1,98.4,92.9,26,0.564,39,0.48700000000000004,19,0.821,32,0.75,24,9,200,111.5,23.8,5,17,68,,6.6,4,0.205,8,0.75,6,63.3,31,0.627,19.7,13,31,0.419,13,0.4,6,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",MANHATTAN,Manhattan,61.2,Home,FAIRFIELD,Fairfield,Fairfield,maac,14,True,False,True,Home,True,6,13,39,31,49,6,17,51,1,0,76,237,755,0.4649006622516556,437,850,0.5141176470588236,102,217,753,0.4913678618857902,0.35714285714285715
15,2020-01-15-19-fairfield,52.6,10,14.7,5,88.4,64.3,18,0.40700000000000003,54,0.35200000000000004,19,0.222,12,0.583,7,9,200,73.9,26.7,8,23,51,,20.3,14,0.35200000000000004,19,0.316,6,44.8,26,0.4270000000000001,22.3,17,35,0.371,13,0.35700000000000004,5,"January 15, 2020",65.0,13,25.7,9,73.9,73.3,22,0.49,48,0.41700000000000004,20,0.41700000000000004,20,0.7,14,9,200,88.4,35.7,10,12,61,,7.2,5,0.292,14,0.5,7,55.2,32,0.53,27.0,21,34,0.382,13,0.43799999999999994,7,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",SAINT-PETERS,St. Peter's,68.6,Home,FAIRFIELD,Fairfield,Fairfield,maac,15,True,False,True,Home,True,7,13,48,32,58,6,13,54,1,0,82,250,794,0.4697732997481108,468,899,0.5205784204671857,108,234,804,0.4925373134328358,0.4
16,2020-01-17-19-iona,47.6,10,11.1,4,100.0,71.4,20,0.426,54,0.389,21,0.33299999999999996,18,0.611,11,10,200,89.1,32.3,10,13,57,,1.6,1,0.278,15,0.267,4,50.8,30,0.456,16.2,12,39,0.436,17,0.41200000000000003,7,"January 17, 2020",32.0,8,10.3,4,89.1,67.7,21,0.5,56,0.446,25,0.196,11,0.727,8,8,200,100.0,28.6,8,16,64,,6.3,4,0.35700000000000004,20,0.3,6,49.2,29,0.523,14.1,10,36,0.528,19,0.33299999999999996,4,"Hynes Athletics Center, New Rochelle, New York",FAIRFIELD,Fairfield,63.9,Home,IONA,Iona,Fairfield,maac,16,False,False,False,Away,False,4,17,54,30,59,6,19,56,0,1,89,263,842,0.4709026128266034,500,957,0.522466039707419,114,247,858,0.4871794871794872,0.4375
17,2020-01-24-19-quinnipiac,23.1,6,11.5,3,120.9,66.7,22,0.418,67,0.38799999999999996,26,0.209,14,0.7859999999999999,11,11,200,100.0,31.6,12,21,67,,6.0,4,0.22399999999999998,15,0.267,4,47.9,34,0.455,7.6,6,52,0.423,22,0.389,7,"January 24, 2020",61.5,16,11.5,6,100.0,68.4,26,0.552,58,0.44799999999999995,26,0.36200000000000004,21,0.81,17,7,200,120.9,33.3,11,18,81,,3.0,2,0.552,32,0.375,12,52.1,37,0.596,12.9,10,26,0.5379999999999999,14,0.588,10,"TD Bank Sports Center, Hamden, Connecticut",FAIRFIELD,Fairfield,67.3,Home,QUINNIPIAC,Quinnipiac,Fairfield,maac,17,False,False,False,Away,False,4,22,67,34,71,12,14,58,0,1,93,280,896,0.4681919642857143,530,1016,0.5216535433070866,120,266,914,0.487964989059081,0.4117647058823529
18,2020-01-26-14-fairfield,34.8,8,14.3,6,96.9,51.7,15,0.439,57,0.40399999999999997,23,0.105,6,0.833,5,12,200,84.6,15.4,4,19,55,,10.8,7,0.281,16,0.25,4,34.5,19,0.45899999999999996,16.8,12,41,0.46299999999999997,19,0.4,8,"January 26, 2020",28.6,6,7.3,3,84.6,84.6,22,0.40700000000000003,54,0.389,21,0.389,21,0.905,19,11,200,96.9,48.3,14,12,63,,13.8,9,0.222,12,0.16699999999999998,2,65.5,36,0.4920000000000001,15.9,12,42,0.452,19,0.42100000000000004,8,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",CANISIUS,Canisius,64.9,Home,FAIRFIELD,Fairfield,Fairfield,maac,18,True,False,True,Home,True,2,19,54,36,55,4,19,57,1,0,97,302,963,0.464693665628245,564,1087,0.5188592456301748,132,280,972,0.4917695473251029,0.3888888888888889
19,2020-01-31-19-rider,41.2,7,0.0,0,111.5,77.3,17,0.396,48,0.354,17,0.45799999999999996,22,0.636,14,12,200,85.2,28.6,10,15,52,,6.6,4,0.271,13,0.308,4,47.4,27,0.445,17.2,12,35,0.371,13,0.4,8,"January 31, 2020",32.0,8,2.9,1,85.2,71.4,25,0.574,47,0.532,25,0.40399999999999997,19,0.737,14,8,200,111.5,22.7,5,20,68,,9.8,6,0.298,14,0.28600000000000003,4,52.6,30,0.607,16.6,11,33,0.636,21,0.6,12,"Alumni Gymnasium, Lawrenceville, New Jersey",FAIRFIELD,Fairfield,61.2,Home,RIDER,Rider,Fairfield,maac,19,False,False,False,Away,False,4,13,48,27,57,4,21,47,0,1,99,321,1017,0.4616519174041298,600,1142,0.5253940455341506,136,299,1029,0.488824101068999,0.42105263157894735
20,2020-02-04-19-fairfield,47.6,10,3.2,1,83.3,69.0,20,0.336,67,0.313,21,0.11900000000000001,8,1.0,8,9,200,80.3,23.3,10,20,53,,16.7,11,0.32799999999999996,22,0.136,3,41.7,30,0.374,10.2,8,45,0.4,18,0.591,13,"February 4, 2020",50.0,9,13.3,6,80.3,76.7,33,0.456,45,0.4,18,0.467,21,0.667,14,12,200,83.3,31.0,9,16,55,,6.1,4,0.311,14,0.35700000000000004,5,58.3,42,0.5,23.9,17,31,0.419,13,0.429,9,"Webster Bank Arena, Bridgeport, Connecticut",MONMOUTH,Monmouth,65.9,Home,FAIRFIELD,Fairfield,Fairfield,maac,20,True,False,True,Home,True,5,13,45,42,72,3,18,67,1,0,103,334,1065,0.4586854460093897,627,1199,0.5229357798165137,140,320,1076,0.4925650557620818,0.4
21,2020-02-07-19-siena,25.0,4,8.6,3,101.6,67.9,19,0.311,53,0.302,16,0.377,20,0.8,16,13,200,76.6,39.4,13,18,49,,12.5,8,0.17,9,0.111,1,52.5,32,0.392,18.5,14,44,0.341,15,0.409,9,"February 7, 2020",52.2,12,6.8,3,76.6,60.6,20,0.51,50,0.46,23,0.4,20,0.7,14,10,200,101.6,32.1,9,17,65,,7.8,5,0.3,15,0.33299999999999996,5,47.5,29,0.546,19.2,14,35,0.514,18,0.524,11,"Times Union Center , Albany, New York",FAIRFIELD,Fairfield,64.0,Home,SIENA,Siena,Fairfield,maac,21,False,False,False,Away,False,1,15,53,32,61,5,18,50,0,1,108,347,1110,0.4585585585585586,669,1271,0.5263571990558615,143,338,1143,0.4833770778652669,0.42857142857142855
22,2020-02-09-14-fairfield,48.1,13,0.0,0,88.5,73.3,22,0.6809999999999999,47,0.574,27,0.447,21,0.667,14,12,200,127.9,38.9,7,18,78,,9.8,6,0.40399999999999997,19,0.526,10,60.4,29,0.685,17.6,12,28,0.607,17,0.368,7,"February 9, 2020",50.0,9,3.6,1,127.9,61.1,11,0.4,50,0.36,18,0.32,16,0.875,14,14,200,88.5,26.7,8,16,54,,4.9,3,0.32,16,0.25,4,39.6,19,0.469,16.2,11,34,0.41200000000000003,14,0.391,9,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,61.3,Away,IONA,Iona,Fairfield,maac,22,False,True,True,Home,False,4,14,50,19,48,10,17,47,0,1,109,362,1163,0.4518486672398968,701,1332,0.5262762762762763,148,356,1193,0.4844928751047779,0.4090909090909091
23,2020-02-14-19-marist,44.4,8,2.5,1,75.7,80.0,28,0.361,54,0.33299999999999996,18,0.46299999999999997,25,0.72,18,14,225,81.4,28.6,10,16,57,,8.6,6,0.37,20,0.15,3,54.3,38,0.433,17.7,14,34,0.441,15,0.41700000000000004,10,"February 14, 2020",58.8,10,8.8,3,81.4,71.4,25,0.353,58,0.293,17,0.207,12,1.0,12,16,225,75.7,20.0,7,23,53,,4.3,3,0.31,18,0.389,7,45.7,32,0.41600000000000004,18.1,14,40,0.25,10,0.273,6,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,62.5,Away,FAIRFIELD,Fairfield,Fairfield,maac,23,False,False,False,Away,True,3,15,54,38,70,7,10,58,1,0,113,376,1213,0.4497114591920857,720,1380,0.5217391304347826,158,373,1240,0.4919354838709678,0.39130434782608703
24,2020-02-16-14-saint-peters,26.7,4,11.6,5,89.7,69.0,20,0.292,53,0.28300000000000003,15,0.358,19,0.684,13,15,200,64.7,8.8,3,13,44,,8.8,6,0.18899999999999997,10,0.1,1,36.5,23,0.355,12.8,9,43,0.326,14,0.4,10,"February 16, 2020",32.0,8,20.9,9,64.7,91.2,31,0.491,54,0.46299999999999997,25,0.24100000000000002,13,0.615,8,11,200,89.7,31.0,9,20,61,,7.4,5,0.204,11,0.273,3,63.5,40,0.507,21.1,16,43,0.512,22,0.542,13,"Yanitelli Center, Jersey City, New Jersey",FAIRFIELD,Fairfield,67.6,Home,SAINT-PETERS,St. Peter's,Fairfield,maac,24,False,False,False,Away,False,1,14,53,23,63,3,22,54,0,1,116,391,1267,0.4459352801894239,758,1450,0.5227586206896552,165,383,1298,0.4857473035439137,0.4166666666666667
25,2020-02-21-19-fairfield,55.0,11,0.0,0,100.0,57.6,19,0.511,46,0.435,20,0.37,17,0.765,13,17,200,98.4,7.4,2,17,60,,11.5,7,0.37,17,0.41200000000000003,7,35.0,21,0.555,14.4,9,29,0.44799999999999995,13,0.34600000000000003,9,"February 21, 2020",33.3,8,6.9,2,98.4,92.6,25,0.48200000000000004,55,0.436,24,0.273,15,0.5329999999999999,8,15,200,100.0,42.4,14,17,61,,4.9,3,0.309,17,0.294,5,65.0,39,0.491,16.3,12,38,0.5,19,0.423,11,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",NIAGARA,Niagara,60.6,Home,FAIRFIELD,Fairfield,Fairfield,maac,25,True,False,True,Home,True,5,19,55,39,60,7,13,46,1,0,117,405,1320,0.4397727272727273,781,1513,0.5161929940515532,168,405,1352,0.4859467455621302,0.4
26,2020-02-23-14-fairfield,61.1,11,9.3,4,96.7,68.8,22,0.512,41,0.439,18,0.561,23,0.87,20,10,200,101.6,19.0,4,16,62,,1.6,1,0.293,12,0.5,6,49.1,26,0.597,19.0,12,29,0.414,12,0.6,15,"February 23, 2020",33.3,7,13.8,4,101.6,81.0,17,0.379,58,0.36200000000000004,21,0.345,20,0.75,15,16,200,96.7,31.3,10,20,59,,6.6,4,0.259,15,0.133,2,50.9,27,0.4370000000000001,5.6,4,43,0.442,19,0.40700000000000003,11,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,60.7,Away,SIENA,Siena,Fairfield,maac,26,False,True,True,Home,False,2,19,58,27,53,6,12,41,0,1,122,424,1375,0.44145454545454543,820,1573,0.5212968849332485,175,418,1398,0.4867668097281831,0.4230769230769231
