,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOYOLA-MD_homegame,LOYOLA-MD_homegame2,LOYOLA-MD_home,LOYOLA-MD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-14-loyola-md,52.9,9,10.5,4,97.3,64.9,24,0.33899999999999997,56,0.304,17,0.214,12,0.583,7,0,199,60.8,10.8,4,16,45,,9.5,7,0.268,15,0.267,4,37.8,28,0.365,19.7,15,41,0.317,13,0.0,0,"December 21, 2019",70.4,19,12.2,5,60.8,89.2,33,0.455,67,0.40299999999999997,27,0.26899999999999996,18,0.611,11,4,199,97.3,35.1,13,14,72,,13.5,10,0.433,29,0.24100000000000002,7,62.2,46,0.47700000000000004,14.8,13,38,0.526,20,0.636,7,"Reitz Arena, Baltimore, Maryland","Elizabethtown
			","Elizabethtown
			",74.5,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,10,True,False,True,Home,True,7,20,67,46,74,4,13,56,1,0,74,182,555,0.527927927927928,285,641,0.4446177847113885,70,177,586,0.4812286689419795,0.6
11,2019-12-27-19-loyola-md,62.1,18,5.1,2,117.7,63.6,14,0.598,56,0.518,29,0.446,25,0.56,14,8,200,102.5,17.9,5,17,81,,13.9,11,0.35700000000000004,20,0.45,9,38.0,19,0.597,18.3,15,36,0.556,20,0.429,6,"December 27, 2019",56.8,21,22.2,8,102.5,82.1,23,0.703,59,0.627,37,0.305,18,0.556,10,4,200,117.7,36.4,8,25,93,,10.1,8,0.33899999999999997,20,0.45,9,62.0,31,0.688,23.0,20,39,0.718,28,0.667,8,"Reitz Arena, Baltimore, Maryland",MASSACHUSETTS-LOWELL,UMass-Lowell,78.7,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,11,True,False,True,Home,True,9,28,59,31,50,9,20,56,1,0,81,202,622,0.520096463022508,331,715,0.4629370629370629,74,190,642,0.4688473520249221,0.6363636363636364
12,2019-12-29-17-virginia-commonwealth,85.0,17,3.6,1,121.4,73.3,22,0.433,52,0.385,20,0.28800000000000003,15,0.4,6,5,200,72.9,16.7,6,15,51,,4.3,3,0.327,17,0.294,5,42.4,28,0.431,22.5,17,35,0.429,15,0.615,8,"December 29, 2019",77.4,24,8.6,3,72.9,83.3,30,0.613,62,0.5,31,0.242,15,0.6,9,3,200,121.4,26.7,8,17,85,,12.9,9,0.5479999999999999,34,0.41200000000000003,14,57.6,38,0.615,11.6,9,28,0.607,17,0.769,10,"Stuart Siegel Center, Richmond, Virginia",LOYOLA-MD,Loyola (MD),70.1,Home,VIRGINIA-COMMONWEALTH,VCU,Loyola (MD),patriot,12,False,False,False,Away,False,5,15,52,28,66,14,17,62,0,1,90,230,681,0.5359765051395007,362,765,0.473202614379085,83,210,698,0.4792263610315186,0.6666666666666666
13,2020-01-02-19-loyola-md,45.8,11,5.0,2,114.3,80.8,21,0.491,58,0.414,24,0.24100000000000002,14,0.929,13,13,200,100.0,24.1,7,22,70,,8.6,6,0.44799999999999995,26,0.34600000000000003,9,50.9,28,0.541,15.8,12,32,0.469,15,0.071,1,"January 2, 2020",44.8,13,6.3,2,100.0,75.9,22,0.594,53,0.547,29,0.47200000000000003,25,0.68,17,5,200,114.3,19.2,5,14,80,,8.6,6,0.245,13,0.385,5,49.1,27,0.617,13.5,10,40,0.6,24,0.643,9,"Reitz Arena, Baltimore, Maryland",HOLY-CROSS,Holy Cross,69.8,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,13,True,False,True,Home,True,5,24,53,27,55,9,15,58,1,0,95,245,733,0.5286493860845839,390,831,0.4693140794223827,97,227,760,0.4901315789473684,0.6153846153846154
14,2020-01-05-14-lehigh,56.0,14,9.8,4,111.4,74.2,23,0.5,54,0.46299999999999997,25,0.426,23,0.7390000000000001,17,6,200,101.4,36.0,9,13,71,,7.1,5,0.37,20,0.2,4,57.1,32,0.547,19.0,15,34,0.618,21,0.6,9,"January 5, 2020",66.7,20,5.9,2,101.4,64.0,16,0.557,61,0.4920000000000001,30,0.19699999999999998,12,0.833,10,10,200,111.4,25.8,8,20,78,,11.4,8,0.32799999999999996,20,0.4,8,42.9,24,0.585,14.2,11,41,0.537,22,0.28600000000000003,4,"Stabler Arena, Bethlehem, Pennsylvania",LOYOLA-MD,Loyola (MD),70.3,Home,LEHIGH,Lehigh,Loyola (MD),patriot,14,False,False,False,Away,False,4,21,54,32,56,8,22,61,0,1,100,269,786,0.5330788804071247,417,886,0.4706546275395034,106,242,818,0.4902200488997555,0.6428571428571429
15,2020-01-08-19-colgate,60.9,14,12.5,3,124.3,78.8,26,0.52,50,0.46,23,0.76,38,0.474,18,7,200,94.6,17.1,6,20,70,,6.8,5,0.48,24,0.25,6,47.1,32,0.514,14.2,11,26,0.654,17,0.562,9,"January 8, 2020",62.1,18,3.8,1,94.6,82.9,29,0.5870000000000001,63,0.46,29,0.365,23,0.7829999999999999,18,4,200,124.3,21.2,7,26,92,,9.5,7,0.619,39,0.41,16,52.9,36,0.622,11.0,9,24,0.542,13,0.75,12,"Cotterell Court, Hamilton, New York",LOYOLA-MD,Loyola (MD),74.5,Home,COLGATE,Colgate,Loyola (MD),patriot,15,False,False,False,Away,False,6,17,50,32,68,16,13,63,0,1,104,290,840,0.5309523809523811,449,942,0.4766454352441614,114,264,879,0.4948805460750853,0.6
16,2020-01-11-13-loyola-md,65.4,17,15.8,6,89.9,77.5,31,0.45299999999999996,64,0.406,26,0.156,10,0.7,7,5,200,94.2,18.4,7,15,65,,4.3,3,0.5,32,0.188,6,48.7,38,0.473,8.1,6,32,0.625,20,0.667,10,"January 11, 2020",61.9,13,3.1,1,94.2,81.6,31,0.433,60,0.35,21,0.267,16,0.625,10,8,200,89.9,22.5,9,11,62,,4.3,3,0.3670000000000001,22,0.455,10,51.3,40,0.45899999999999996,14.1,11,38,0.289,11,0.529,9,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),68.7,Away,LAFAYETTE,Lafayette,Loyola (MD),patriot,16,False,True,True,Home,False,10,11,60,40,78,6,20,64,0,1,110,307,890,0.5303370786516854,481,1010,0.4762376237623762,130,277,942,0.5010615711252654,0.5625
17,2020-01-13-19-loyola-md,54.5,18,2.8,1,71.6,83.3,30,0.581,62,0.532,33,0.29,18,0.722,13,8,200,114.9,28.6,8,18,85,,10.8,8,0.33899999999999997,21,0.28600000000000003,6,59.4,38,0.602,15.7,13,41,0.659,27,0.556,10,"January 13, 2020",42.9,9,7.3,3,114.9,71.4,20,0.40399999999999997,57,0.368,21,0.298,17,0.41200000000000003,7,9,200,71.6,16.7,6,18,53,,12.2,9,0.368,21,0.19,4,40.6,26,0.40700000000000003,17.8,14,36,0.47200000000000003,17,0.5,9,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),74.3,Away,BOSTON-UNIVERSITY,Boston University,Loyola (MD),patriot,17,False,True,True,Home,False,4,17,57,26,64,6,27,62,0,1,120,318,950,0.5242105263157895,521,1088,0.4788602941176471,136,297,1006,0.4980119284294234,0.5294117647058824
18,2020-01-18-13-army,59.3,16,5.7,2,117.4,75.9,22,0.596,52,0.519,27,0.5579999999999999,29,0.621,18,10,200,115.9,34.5,10,10,80,,8.7,6,0.40399999999999997,21,0.381,8,55.2,32,0.608,16.7,13,31,0.613,19,0.474,9,"January 18, 2020",69.7,23,9.7,3,115.9,65.5,19,0.613,62,0.532,33,0.145,9,0.556,5,10,200,117.4,24.1,7,23,81,,5.8,4,0.435,27,0.37,10,44.8,26,0.611,13.2,10,35,0.657,23,0.41200000000000003,7,"Christl Arena, West Point, New York",LOYOLA-MD,Loyola (MD),69.0,Home,ARMY,Army,Loyola (MD),patriot,18,False,False,False,Away,False,8,19,52,32,58,10,23,62,0,1,124,335,1007,0.5173783515392254,547,1152,0.4748263888888889,142,324,1068,0.5028089887640449,0.5
19,2020-01-22-19-loyola-md,54.5,18,11.1,5,108.3,70.6,24,0.536,70,0.47100000000000003,33,0.271,19,0.9470000000000001,18,9,225,110.7,31.3,10,20,93,,6.0,5,0.32899999999999996,23,0.391,9,51.5,34,0.588,16.1,15,47,0.511,24,0.5,9,"January 22, 2020",68.8,22,10.6,5,110.7,68.8,22,0.537,68,0.47100000000000003,32,0.324,22,0.818,18,11,225,108.3,29.4,10,18,91,,11.9,10,0.33799999999999997,23,0.391,9,48.5,32,0.58,16.2,15,45,0.511,23,0.45,9,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),74.4,Away,AMERICAN,American,Loyola (MD),patriot,19,False,True,True,Home,False,9,23,68,32,66,9,24,70,0,1,132,354,1059,0.5212464589235127,579,1210,0.4785123966942149,152,347,1130,0.5088495575221239,0.4736842105263158
20,2020-01-25-19-bucknell,45.8,11,0.0,0,124.1,76.7,23,0.52,50,0.48,24,0.92,46,0.674,31,12,200,105.1,29.0,9,27,83,,11.4,9,0.26,13,0.308,4,52.5,32,0.578,18.6,16,37,0.541,20,0.429,9,"January 25, 2020",48.5,16,16.2,6,105.1,71.0,22,0.631,61,0.541,33,0.525,32,0.6559999999999999,21,12,200,124.1,23.3,7,30,98,,8.9,7,0.508,31,0.355,11,47.5,29,0.643,11.8,10,30,0.733,22,0.429,9,"Sojka Pavilion, Lewisburg, Pennsylvania",LOYOLA-MD,Loyola (MD),79.0,Home,BUCKNELL,Bucknell,Loyola (MD),patriot,20,False,False,False,Away,False,4,20,50,32,61,11,22,61,0,1,141,377,1127,0.5221827861579414,611,1276,0.4788401253918495,161,371,1200,0.5104166666666666,0.45
21,2020-01-29-19-boston-university,63.0,17,10.0,4,129.6,62.1,18,0.5660000000000001,53,0.509,27,0.434,23,0.7390000000000001,17,13,200,108.5,29.6,8,23,77,,9.9,7,0.377,20,0.3,6,46.4,26,0.602,18.2,14,33,0.636,21,0.409,9,"January 29, 2020",48.4,15,6.1,2,108.5,70.4,19,0.595,58,0.534,31,0.534,31,0.742,23,10,200,129.6,37.9,11,16,92,,11.3,8,0.31,18,0.389,7,53.6,30,0.633,12.2,10,40,0.6,24,0.545,12,"Case Gym, Boston, Massachusetts",LOYOLA-MD,Loyola (MD),70.8,Home,BOSTON-UNIVERSITY,Boston University,Loyola (MD),patriot,21,False,False,False,Away,False,6,21,53,26,56,7,24,58,0,1,145,397,1177,0.5220900594732371,643,1337,0.4809274495138369,172,393,1261,0.5162569389373514,0.42857142857142855
22,2020-02-01-17-loyola-md,39.3,11,8.0,2,119.7,73.7,14,0.4920000000000001,62,0.452,28,0.242,15,0.8,12,9,200,110.6,25.9,7,25,73,,9.1,6,0.435,27,0.185,5,45.7,21,0.528,8.0,6,35,0.657,23,0.5710000000000001,12,"February 1, 2020",66.7,14,5.7,2,110.6,74.1,20,0.607,42,0.5,21,0.833,35,0.8,28,13,200,119.7,26.3,5,17,79,,6.1,4,0.405,17,0.529,9,54.3,25,0.674,16.1,11,25,0.48,12,0.435,10,"Reitz Arena, Baltimore, Maryland",NAVY,Navy,66.4,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,22,True,False,True,Home,True,9,12,42,25,46,5,23,62,1,0,151,418,1230,0.5239837398373983,669,1393,0.4802584350323044,179,417,1319,0.5197119029567855,0.4090909090909091
23,2020-02-05-19-holy-cross,44.8,13,7.7,2,83.3,78.8,26,0.574,54,0.537,29,0.29600000000000004,16,0.75,12,13,200,102.8,20.0,5,20,74,,19.4,14,0.29600000000000004,16,0.25,4,53.4,31,0.601,19.7,15,38,0.6579999999999999,25,0.45799999999999996,11,"February 5, 2020",42.1,8,13.2,5,102.8,80.0,20,0.429,49,0.38799999999999996,19,0.51,25,0.72,18,21,200,83.3,21.2,7,18,60,,8.3,6,0.469,23,0.174,4,46.6,27,0.493,23.1,18,26,0.5770000000000001,15,0.125,3,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,71.7,Away,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,23,False,False,False,Away,True,4,25,54,31,58,4,15,49,1,0,160,430,1272,0.5267295597484277,694,1439,0.48227936066713,184,440,1381,0.5184648805213613,0.43478260869565216
24,2020-02-08-17-loyola-md,60.0,12,0.0,0,104.0,90.5,19,0.375,64,0.313,20,0.32799999999999996,21,0.81,17,16,200,86.7,25.6,11,31,65,,12.0,9,0.547,35,0.22899999999999998,8,46.9,30,0.439,14.1,12,29,0.414,12,0.36,9,"February 8, 2020",52.4,11,6.9,2,86.7,74.4,32,0.55,40,0.525,21,1.15,46,0.7390000000000001,34,13,200,104.0,9.5,2,20,78,,4.0,3,0.35,14,0.14300000000000002,2,53.1,34,0.631,19.9,15,26,0.731,19,0.48,12,"Reitz Arena, Baltimore, Maryland",BUCKNELL,Bucknell,74.9,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,24,True,False,True,Home,True,2,19,40,34,64,8,12,64,1,0,164,455,1326,0.528657616892911,725,1497,0.4843019372077488,188,455,1430,0.5153846153846153,0.4583333333333333
25,2020-02-12-19-american,37.9,11,5.1,2,114.1,80.8,21,0.5,61,0.475,29,0.295,18,0.833,15,14,200,107.0,50.0,15,18,76,,12.7,9,0.24600000000000002,15,0.2,3,64.3,36,0.546,17.9,15,46,0.565,26,0.462,12,"February 12, 2020",39.3,11,8.7,4,107.0,50.0,15,0.573,55,0.509,28,0.418,23,0.7829999999999999,18,11,200,114.1,19.2,5,19,81,,15.5,11,0.29100000000000004,16,0.43799999999999994,7,35.7,20,0.614,15.6,12,39,0.5379999999999999,21,0.542,13,"Bender Arena, Washington, District of Columbia",LOYOLA-MD,Loyola (MD),71.2,Home,AMERICAN,American,Loyola (MD),patriot,25,False,False,False,Away,False,3,26,61,36,56,7,21,55,0,1,166,474,1366,0.5292825768667643,759,1561,0.4862267777065983,196,467,1494,0.5093708165997323,0.48
26,2020-02-16-14-loyola-md,52.0,13,4.0,1,112.0,76.7,23,0.47700000000000004,65,0.385,25,0.431,28,0.643,18,7,200,106.7,43.9,18,24,80,,10.7,8,0.569,37,0.324,12,57.7,41,0.511,15.3,14,28,0.46399999999999997,13,0.741,20,"February 16, 2020",67.9,19,17.9,5,106.7,56.1,23,0.609,55,0.509,28,0.527,29,0.586,17,14,200,112.0,23.3,7,23,84,,5.3,4,0.545,30,0.3670000000000001,11,42.3,30,0.611,16.1,13,25,0.68,17,0.48100000000000004,13,"Reitz Arena, Baltimore, Maryland",COLGATE,Colgate,74.5,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot,26,True,False,True,Home,True,11,17,55,30,71,12,13,65,1,0,169,500,1427,0.5280308339173091,795,1617,0.4916512059369202,203,488,1549,0.5116204002582311,0.4615384615384616
