,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MARYLAND-EASTERN-SHORE_homegame,MARYLAND-EASTERN-SHORE_homegame2,MARYLAND-EASTERN-SHORE_home,MARYLAND-EASTERN-SHORE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-08-16-maryland-eastern-shore,46.7,7,0.0,0,106.3,75.0,21,0.47100000000000003,35,0.429,15,0.429,15,0.4,6,0,200,48.8,12.0,3,13,39,,7.5,6,0.22899999999999998,8,0.375,3,45.3,24,0.46299999999999997,49.6,41,27,0.444,12,0.0,0,"December 8, 2019",47.1,16,18.5,5,48.8,88.0,22,0.613,62,0.5479999999999999,34,0.226,14,0.643,9,10,200,106.3,25.0,7,13,85,,32.5,26,0.452,28,0.28600000000000003,8,54.7,29,0.619,21.8,19,34,0.765,26,0.091,1,"Hytche Athletic Center, Princess Anne, Maryland","Clarks Summit
			","Clarks Summit
			",80.4,Home,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,Maryland-Eastern Shore,meac,10,True,False,True,Home,True,8,26,62,29,53,3,12,35,1,0,64,132,557,0.4093357271095153,268,642,0.4174454828660436,89,184,561,0.5659536541889483,0.0
11,2019-12-17-19-east-carolina,36.4,8,12.1,4,93.4,80.6,25,0.379,62,0.355,22,0.29,18,0.556,10,11,200,75.0,27.0,10,21,57,,7.9,6,0.33899999999999997,21,0.14300000000000002,3,51.5,35,0.40399999999999997,18.6,16,41,0.46299999999999997,19,0.083,1,"December 17, 2019",78.3,18,4.9,2,75.0,73.0,27,0.49,52,0.442,23,0.48100000000000004,25,0.8,20,7,200,93.4,19.4,6,23,71,,9.2,7,0.365,19,0.263,5,48.5,33,0.556,22.2,18,33,0.545,18,0.364,4,"Williams Arena at Minges Coliseum, Greenville, North Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,76.2,Home,EAST-CAROLINA,East Carolina,Maryland-Eastern Shore,meac,11,False,False,False,Away,False,3,19,62,35,68,5,18,52,0,1,72,158,619,0.4297253634894992,297,695,0.4273381294964029,92,196,596,0.5604026845637584,0.09090909090909093
12,2019-12-19-19-charlotte,57.1,8,10.7,3,95.7,72.4,21,0.34,50,0.28,14,0.3,15,0.667,10,12,200,63.8,21.1,8,21,44,,14.5,10,0.56,28,0.214,6,43.3,29,0.385,27.1,21,22,0.364,8,0.077,1,"December 19, 2019",63.2,12,9.1,2,63.8,78.9,30,0.46799999999999997,47,0.40399999999999997,19,0.638,30,0.733,22,4,200,95.7,27.6,8,11,66,,20.3,14,0.40399999999999997,19,0.316,6,56.7,38,0.539,19.9,15,28,0.46399999999999997,13,0.6,6,"Dale F. Halton Arena, Charlotte, North Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,69.2,Home,CHARLOTTE,Charlotte,Maryland-Eastern Shore,meac,12,False,False,False,Away,False,6,8,50,29,67,6,13,47,0,1,75,177,681,0.4251101321585903,332,763,0.4351245085190039,97,214,648,0.5547839506172839,0.08333333333333333
13,2019-12-22-14-old-dominion,50.0,10,12.8,6,116.9,62.9,22,0.381,59,0.33899999999999997,20,0.153,9,0.778,7,13,200,80.0,15.8,6,16,52,,4.6,3,0.35600000000000004,21,0.23800000000000002,5,38.4,28,0.41100000000000003,11.3,8,38,0.395,15,0.071,1,"December 22, 2019",67.9,19,5.3,2,80.0,84.2,32,0.5,63,0.444,28,0.254,16,0.813,13,9,200,116.9,37.1,13,10,76,,6.2,4,0.254,16,0.43799999999999994,7,61.6,45,0.5379999999999999,10.3,8,47,0.447,21,0.308,4,"Ted Constant Convocation Ctr., Norfolk, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,65.4,Home,OLD-DOMINION,Old Dominion,Maryland-Eastern Shore,meac,13,False,False,False,Away,False,5,15,59,28,73,7,21,63,0,1,81,185,731,0.4192886456908345,361,830,0.43493975903614457,103,227,695,0.5489208633093525,0.07692307692307693
14,2019-12-29-18-virginia-tech,71.4,10,17.1,7,137.3,55.9,19,0.297,59,0.237,14,0.085,5,0.4,2,14,200,55.2,24.4,10,13,37,,1.5,1,0.441,26,0.26899999999999996,7,38.7,29,0.301,18.6,14,33,0.212,7,0.067,1,"December 29, 2019",62.5,20,12.1,4,55.2,75.6,31,0.528,72,0.444,32,0.264,19,0.8420000000000001,16,3,200,137.3,44.1,15,9,92,,10.4,7,0.431,31,0.387,12,61.3,46,0.568,2.4,2,41,0.488,20,0.769,10,"Cassell Coliseum, Blacksburg, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,66.7,Home,VIRGINIA-TECH,Virginia Tech,Maryland-Eastern Shore,meac,14,False,False,False,Away,False,7,7,59,29,75,12,20,72,0,1,86,200,790,0.4164556962025317,389,903,0.4307862679955704,110,248,758,0.5448548812664907,0.07142857142857142
15,2020-01-04-16-maryland-eastern-shore,45.8,11,6.3,2,101.3,70.6,24,0.465,57,0.42100000000000004,24,0.368,21,0.619,13,13,200,85.7,24.2,8,28,66,,13.0,10,0.35100000000000003,20,0.25,5,47.8,32,0.493,18.5,15,37,0.514,19,0.133,2,"January 4, 2020",70.8,17,8.1,3,85.7,75.8,25,0.48200000000000004,55,0.436,24,0.6729999999999999,37,0.6759999999999999,25,14,200,101.3,29.4,10,22,78,,9.1,7,0.418,23,0.217,5,52.2,35,0.537,19.3,17,32,0.594,19,0.125,2,"Hytche Athletic Center, Princess Anne, Maryland",HOWARD,Howard,76.8,Home,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,Maryland-Eastern Shore,meac,15,True,False,True,Home,True,5,19,55,35,67,5,19,57,1,0,93,207,849,0.4081272084805654,418,978,0.4274028629856851,122,268,830,0.5433734939759036,0.06666666666666668
16,2020-01-11-16-maryland-eastern-shore,46.9,15,4.3,2,68.8,66.0,33,0.569,65,0.4920000000000001,32,0.33799999999999997,22,0.773,17,11,200,118.2,21.9,7,20,91,,6.5,5,0.415,27,0.37,10,48.8,40,0.603,10.8,9,38,0.579,22,0.353,6,"January 11, 2020",66.7,12,5.3,2,118.2,78.1,25,0.264,70,0.257,18,0.314,22,0.727,16,15,200,68.8,34.0,17,18,53,,5.2,4,0.34299999999999997,24,0.042,1,51.2,42,0.32899999999999996,14.9,14,46,0.37,17,0.11800000000000001,2,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,77.5,Away,NORTH-CAROLINA-AT,North Carolina A&T,Maryland-Eastern Shore,meac,16,False,True,True,Home,False,1,17,70,42,82,10,22,65,0,1,98,226,904,0.41261061946902655,453,1045,0.4334928229665072,127,287,887,0.5383314543404735,0.125
17,2020-01-13-19-maryland-eastern-shore,56.0,14,12.5,4,91.4,54.5,18,0.51,52,0.48100000000000004,25,0.615,32,0.5,16,11,225,98.6,27.8,10,26,69,,14.3,10,0.385,20,0.15,3,40.6,28,0.513,15.4,12,32,0.688,22,0.353,6,"January 13, 2020",52.4,11,9.4,3,98.6,72.2,26,0.4270000000000001,55,0.382,21,0.545,30,0.5670000000000001,17,16,225,91.4,45.5,15,25,64,,7.1,5,0.418,23,0.217,5,59.4,41,0.462,20.0,17,32,0.5,16,0.111,2,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,62.4,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Maryland-Eastern Shore,meac,17,False,True,True,Home,False,5,16,55,41,69,3,22,52,0,1,99,243,974,0.4019507186858316,495,1127,0.4392191659272405,137,309,952,0.5404411764705882,0.1176470588235294
18,2020-01-18-18-norfolk-state,60.0,12,0.0,0,101.6,61.1,22,0.42,50,0.4,20,0.24,12,0.833,10,17,200,85.2,28.6,8,20,52,,9.8,6,0.36,18,0.111,2,46.9,30,0.467,17.8,12,32,0.563,18,0.105,2,"January 18, 2020",82.4,14,3.1,1,85.2,71.4,20,0.429,49,0.34700000000000003,17,0.531,26,0.769,20,11,200,101.6,38.9,14,12,62,,9.8,6,0.51,25,0.32,8,53.1,34,0.505,18.8,14,24,0.375,9,0.42100000000000004,8,"Echols Memorial Hall, Norfolk, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,60.5,Home,NORFOLK-STATE,Norfolk State,Maryland-Eastern Shore,meac,18,False,False,False,Away,False,2,18,50,30,64,8,9,49,0,1,104,259,1029,0.4033041788143829,536,1196,0.4481605351170568,140,331,1004,0.5388446215139442,0.1111111111111111
19,2020-01-20-19-south-carolina-state,40.9,9,7.9,3,103.0,76.9,20,0.45299999999999996,53,0.415,22,0.20800000000000002,11,0.455,5,18,200,80.3,16.1,5,21,53,,7.6,5,0.34,18,0.222,4,43.9,25,0.455,18.4,13,35,0.514,18,0.1,2,"January 20, 2020",43.5,10,5.7,2,80.3,83.9,26,0.521,47,0.489,23,0.574,27,0.7040000000000001,19,8,200,103.0,23.1,6,16,68,,1.5,1,0.191,9,0.33299999999999996,3,56.1,32,0.568,16.9,12,38,0.526,20,0.529,9,"SHM Memorial Center, Orangeburg, South Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,66.0,Home,SOUTH-CAROLINA-STATE,South Carolina State,Maryland-Eastern Shore,meac,19,False,False,False,Away,False,4,18,53,25,57,3,20,47,0,1,106,277,1079,0.4040778498609824,566,1260,0.4492063492063492,148,340,1053,0.533713200379867,0.10526315789473684
20,2020-01-27-19-maryland-eastern-shore,35.3,6,20.6,7,66.7,91.2,31,0.366,56,0.304,17,0.375,21,0.7140000000000001,15,12,200,74.7,34.4,11,17,56,,4.0,3,0.46399999999999997,26,0.26899999999999996,7,63.6,42,0.424,21.6,18,30,0.33299999999999996,10,0.478,11,"January 27, 2020",58.8,10,13.3,4,74.7,65.6,21,0.33299999999999996,57,0.298,17,0.33299999999999996,19,0.632,12,19,200,66.7,8.8,3,21,50,,13.3,10,0.40399999999999997,23,0.174,4,36.4,24,0.379,16.6,13,34,0.382,13,0.095,2,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,74.5,Away,MORGAN-STATE,Morgan State,Maryland-Eastern Shore,meac,20,False,True,True,Home,False,4,13,57,24,66,7,10,56,0,1,110,295,1132,0.40636042402826855,591,1317,0.44874715261959003,151,360,1100,0.5331818181818182,0.1
21,2020-02-03-19-delaware-state,42.3,11,10.0,3,93.0,78.1,25,0.483,60,0.433,26,0.25,15,0.667,10,19,200,95.8,29.4,10,20,68,,7.0,5,0.38299999999999995,23,0.261,6,53.0,35,0.507,14.2,11,37,0.541,20,0.136,3,"February 3, 2020",50.0,11,2.7,1,95.8,70.6,24,0.47200000000000003,54,0.40700000000000003,22,0.5,27,0.556,15,18,200,93.0,21.9,7,17,66,,4.2,3,0.444,24,0.292,7,47.0,31,0.494,17.5,14,30,0.5,15,0.14300000000000002,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,71.0,Away,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,Maryland-Eastern Shore,meac,21,False,False,False,Away,True,6,20,60,35,66,7,15,54,1,0,114,308,1189,0.4028595458368377,615,1383,0.4446854663774403,158,370,1156,0.5250865051903114,0.09523809523809523
22,2020-02-08-16-morgan-state,36.8,7,2.9,1,88.4,73.1,19,0.381,59,0.322,19,0.22,13,0.615,8,20,200,76.8,25.0,10,17,53,,5.8,4,0.40700000000000003,24,0.292,7,43.9,29,0.40700000000000003,17.8,14,35,0.34299999999999997,12,0.13,3,"February 8, 2020",57.1,12,14.3,5,76.8,75.0,30,0.489,47,0.447,21,0.447,21,0.7140000000000001,15,12,200,88.4,26.9,7,12,61,,8.7,6,0.255,12,0.33299999999999996,4,56.1,37,0.535,24.2,18,35,0.486,17,0.52,13,"Hill Field House, Baltimore, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,68.6,Home,MORGAN-STATE,Morgan State,Maryland-Eastern Shore,meac,22,False,False,False,Away,False,7,12,59,29,66,4,17,47,0,1,120,328,1249,0.4067253803042434,650,1449,0.4485852311939269,165,385,1210,0.5227272727272727,0.13636363636363635
23,2020-02-10-19-coppin-state,65.4,17,12.5,4,89.5,72.4,21,0.46299999999999997,67,0.38799999999999996,26,0.16399999999999998,11,0.455,5,21,225,88.2,11.6,5,18,67,,11.8,9,0.44799999999999995,30,0.33299999999999996,10,36.1,26,0.46399999999999997,11.1,9,37,0.4320000000000001,16,0.125,3,"February 10, 2020",52.2,12,10.8,4,88.2,88.4,38,0.457,58,0.397,23,0.293,17,0.882,15,18,225,89.5,27.6,8,14,68,,5.3,4,0.44799999999999995,26,0.26899999999999996,7,63.9,46,0.515,20.6,17,32,0.5,16,0.308,8,"Physical Education Complex, Baltimore, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,67.2,Home,COPPIN-STATE,Coppin State,Maryland-Eastern Shore,meac,23,False,False,False,Away,False,10,16,67,26,72,7,16,58,0,1,127,340,1308,0.4055810397553517,679,1515,0.44818481848184816,169,402,1257,0.5214797136038186,0.13043478260869565
24,2020-02-15-16-maryland-eastern-shore,45.5,10,5.0,2,89.2,81.6,31,0.38799999999999996,67,0.32799999999999996,22,0.16399999999999998,11,0.545,6,13,200,78.4,29.5,13,19,58,,8.1,6,0.358,24,0.33299999999999996,8,53.7,44,0.402,19.1,17,43,0.326,14,0.48,12,"February 15, 2020",75.0,18,14.0,6,78.4,70.5,31,0.44299999999999995,61,0.39299999999999996,24,0.27899999999999997,17,0.706,12,21,200,89.2,18.4,7,16,66,,13.5,10,0.344,21,0.28600000000000003,6,46.3,38,0.478,11.6,9,40,0.45,18,0.16,4,"Hytche Athletic Center, Princess Anne, Maryland",BETHUNE-COOKMAN,Bethune-Cookman,73.7,Home,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,Maryland-Eastern Shore,meac,24,True,False,True,Home,True,6,18,61,38,82,8,14,67,1,0,137,356,1375,0.4083636363636364,705,1587,0.4442344045368621,176,418,1315,0.5186311787072243,0.125
25,2020-02-17-19-maryland-eastern-shore,27.6,8,5.3,2,115.7,44.8,13,0.574,54,0.537,29,0.29600000000000004,16,0.563,9,14,200,101.4,24.0,6,18,71,,14.3,10,0.315,17,0.235,4,35.2,19,0.5760000000000001,20.8,16,37,0.6759999999999999,25,0.41700000000000004,10,"February 17, 2020",66.7,20,5.4,2,101.4,76.0,19,0.575,60,0.5,30,0.3,18,0.667,12,21,200,115.7,55.2,16,13,81,,12.9,9,0.3670000000000001,22,0.409,9,64.8,35,0.591,18.1,15,38,0.5529999999999999,21,0.192,5,"Hytche Athletic Center, Princess Anne, Maryland",FLORIDA-AM,Florida A&M,69.6,Home,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,Maryland-Eastern Shore,meac,25,True,False,True,Home,True,9,21,60,35,54,4,25,54,1,0,143,374,1436,0.4098189415041783,743,1669,0.445176752546435,184,432,1382,0.5123010130246021,0.16
