,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WEBER-STATE_homegame,WEBER-STATE_homegame2,WEBER-STATE_home,WEBER-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-21-brigham-young,58.3,14,0.0,0,123.0,88.0,22,0.48200000000000004,56,0.429,24,0.268,15,0.467,7,7,200,82.4,11.8,4,16,61,,6.8,5,0.39299999999999996,22,0.273,6,44.1,26,0.483,17.2,13,34,0.529,18,0.364,4,"December 21, 2019",77.1,27,11.8,4,82.4,88.2,30,0.705,56,0.625,35,0.375,21,0.5710000000000001,12,4,200,123.0,12.0,3,16,91,,6.8,5,0.33899999999999997,19,0.474,9,55.9,33,0.69,15.5,12,37,0.703,26,0.7140000000000001,10,"Marriott Center, Provo, Utah",WEBER-STATE,Weber State,73.6,Home,BRIGHAM-YOUNG,BYU,Weber State,big-sky,10,False,False,False,Away,False,6,18,56,26,59,9,26,56,0,1,82,184,573,0.5357766143106457,322,619,0.5201938610662359,74,178,580,0.4982758620689655,0.4
11,2019-12-28-16-weber-state,57.1,16,4.7,2,105.5,68.8,22,0.516,64,0.43799999999999994,28,0.25,16,0.813,13,4,200,108.2,31.6,12,18,79,,11.0,8,0.406,26,0.385,10,48.6,34,0.552,16.5,14,38,0.474,18,0.667,8,"December 28, 2019",38.7,12,7.9,3,108.2,68.4,26,0.54,62,0.5,31,0.19399999999999998,12,0.833,10,8,200,105.5,31.3,10,17,77,,8.2,6,0.306,19,0.263,5,51.4,36,0.569,17.2,14,43,0.605,26,0.33299999999999996,4,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,72.7,Away,EASTERN-WASHINGTON,Eastern Washington,Weber State,big-sky,11,False,True,True,Home,False,5,26,62,36,70,10,18,64,0,1,88,202,629,0.5310015898251192,348,678,0.5132743362831859,83,204,636,0.5165094339622641,0.3636363636363637
12,2019-12-30-21-weber-state,39.3,11,6.8,3,95.8,82.6,38,0.508,59,0.475,28,0.22,13,0.615,8,9,200,94.4,23.1,6,19,68,,0.0,0,0.203,12,0.33299999999999996,4,61.1,44,0.522,18.8,15,47,0.511,24,0.308,4,"December 30, 2019",68.0,17,10.6,5,94.4,76.9,20,0.447,66,0.379,25,0.242,16,0.625,10,8,200,95.8,17.4,8,13,69,,11.1,8,0.33299999999999996,22,0.409,9,38.9,28,0.469,5.2,4,44,0.364,16,0.385,5,"Dee Events Center, Ogden, Utah",IDAHO,Idaho,71.9,Home,WEBER-STATE,Weber State,Weber State,big-sky,12,True,False,True,Home,True,9,16,66,28,72,4,24,59,1,0,93,228,691,0.5318379160636758,384,748,0.5133689839572193,93,222,700,0.5164285714285715,0.3333333333333333
13,2020-01-04-18-northern-arizona,70.8,17,3.0,1,116.1,72.7,16,0.5379999999999999,52,0.462,24,0.17300000000000001,9,0.889,8,9,200,103.2,14.8,4,12,64,,11.3,7,0.5,26,0.308,8,40.8,20,0.569,15.2,10,26,0.615,16,0.35700000000000004,5,"January 4, 2020",60.7,17,7.7,2,103.2,85.2,23,0.6629999999999999,49,0.5710000000000001,28,0.184,9,0.778,7,5,200,116.1,27.3,6,13,72,,8.1,5,0.327,16,0.563,9,59.2,29,0.6759999999999999,20.9,14,33,0.5760000000000001,19,0.583,7,"Walkup Skydome, Flagstaff, Arizona",WEBER-STATE,Weber State,61.8,Home,NORTHERN-ARIZONA,Northern Arizona,Weber State,big-sky,13,False,False,False,Away,False,8,16,52,20,49,9,19,49,0,1,102,244,757,0.52443857331572,412,820,0.5024390243902439,97,246,759,0.5158102766798419,0.38461538461538464
14,2020-01-09-21-weber-state,44.0,11,6.7,2,94.1,87.9,29,0.42,69,0.36200000000000004,25,0.13,9,0.778,7,5,200,95.6,33.3,14,12,65,,8.8,6,0.36200000000000004,25,0.32,8,57.3,43,0.444,12.1,10,44,0.386,17,0.667,10,"January 9, 2020",41.7,10,20.5,9,95.6,66.7,28,0.509,55,0.436,24,0.23600000000000002,13,0.615,8,10,200,94.1,12.1,4,11,64,,8.8,6,0.455,25,0.32,8,42.7,32,0.523,14.1,10,30,0.5329999999999999,16,0.33299999999999996,5,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,68.2,Away,NORTHERN-COLORADO,Northern Colorado,Weber State,big-sky,14,False,True,True,Home,False,8,16,55,32,75,8,17,69,0,1,110,260,809,0.5253399258343634,432,869,0.4971231300345225,106,265,808,0.5247524752475248,0.35714285714285715
15,2020-01-11-22-sacramento-state,40.0,8,5.6,2,120.3,59.3,16,0.41200000000000003,51,0.392,20,0.353,18,0.833,15,11,200,96.6,34.4,11,17,57,,6.8,4,0.21600000000000005,11,0.182,2,45.8,27,0.479,14.5,10,40,0.45,18,0.312,5,"January 11, 2020",80.8,21,12.5,5,96.6,65.6,21,0.556,54,0.48100000000000004,26,0.29600000000000004,16,0.688,11,4,200,120.3,40.7,11,19,71,,6.8,4,0.33299999999999996,18,0.444,8,54.2,32,0.5760000000000001,11.6,8,36,0.5,18,0.7140000000000001,10,"The Nest, Sacramento, California",WEBER-STATE,Weber State,58.6,Home,SACRAMENTO-STATE,Sacramento State,Weber State,big-sky,15,False,False,False,Away,False,2,18,51,27,59,8,18,54,0,1,118,276,864,0.5243055555555556,464,944,0.4915254237288136,114,282,877,0.5165336374002281,0.3333333333333333
16,2020-01-16-21-idaho-state,14.8,4,4.2,2,88.3,66.7,26,0.483,59,0.45799999999999996,27,0.424,25,0.76,19,11,225,98.7,12.1,4,18,76,,9.1,7,0.254,15,0.2,3,41.7,30,0.536,11.4,9,44,0.545,24,0.353,6,"January 16, 2020",37.0,10,9.1,4,98.7,87.9,29,0.4320000000000001,66,0.409,27,0.318,21,0.524,11,9,225,88.3,33.3,13,18,68,,3.9,3,0.273,18,0.16699999999999998,3,58.3,42,0.44799999999999995,17.5,16,48,0.5,24,0.4,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,68.8,Away,WEBER-STATE,Weber State,Weber State,big-sky,16,False,False,False,Away,True,3,24,59,30,72,3,24,66,1,0,120,294,915,0.5180327868852459,491,1003,0.489531405782652,122,300,931,0.5187969924812029,0.3125
17,2020-01-20-22-portland-state,40.0,12,3.1,2,119.5,51.2,21,0.5579999999999999,60,0.5,30,0.267,16,0.563,9,12,200,98.7,18.8,6,16,76,,10.4,8,0.35,21,0.33299999999999996,7,37.0,27,0.562,17.3,14,39,0.59,23,0.33299999999999996,6,"January 20, 2020",51.4,19,10.3,4,98.7,81.3,26,0.52,76,0.48700000000000004,37,0.21100000000000002,16,0.813,13,10,200,119.5,48.8,20,14,92,,11.7,9,0.145,11,0.455,5,63.0,46,0.55,14.4,14,65,0.4920000000000001,32,0.5,10,"Peter W. Stott Center, Portland, Oregon",WEBER-STATE,Weber State,76.6,Home,PORTLAND-STATE,Portland State,Weber State,big-sky,17,False,False,False,Away,False,7,23,60,27,73,5,32,76,0,1,123,318,974,0.5159137577002053,521,1075,0.4846511627906977,125,324,997,0.5130391173520562,0.35294117647058826
18,2020-01-23-21-weber-state,45.0,9,9.4,3,82.4,87.5,35,0.375,60,0.33299999999999996,20,0.38299999999999995,23,0.7390000000000001,17,9,200,83.8,17.9,7,18,62,,12.2,9,0.25,15,0.33299999999999996,5,53.2,42,0.4370000000000001,13.6,11,45,0.33299999999999996,15,0.526,10,"January 23, 2020",33.3,8,13.3,6,83.8,82.1,32,0.451,61,0.39299999999999996,24,0.19699999999999998,12,0.5,6,13,200,82.4,12.5,5,20,61,,8.1,6,0.475,29,0.24100000000000002,7,46.8,37,0.457,14.2,11,32,0.531,17,0.316,6,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,73.8,Away,MONTANA-STATE,Montana State,Weber State,big-sky,18,False,True,True,Home,False,7,17,61,37,79,5,15,60,0,1,130,341,1034,0.5183752417794971,548,1148,0.4773519163763066,130,356,1073,0.5135135135135135,0.3333333333333333
19,2020-01-25-21-weber-state,37.1,13,7.7,3,116.0,78.1,25,0.557,70,0.5,35,0.157,11,0.636,7,9,225,113.3,13.5,5,22,85,,6.7,5,0.22899999999999998,16,0.5,8,43.5,30,0.565,6.3,5,54,0.5,27,0.55,11,"January 25, 2020",22.2,6,5.6,3,113.3,86.5,32,0.5529999999999999,57,0.474,27,0.491,28,0.857,24,13,225,116.0,21.9,7,11,87,,1.3,1,0.316,18,0.5,9,56.5,39,0.619,13.7,11,39,0.462,18,0.35,7,"Dee Events Center, Ogden, Utah",MONTANA,Montana,66.5,Home,WEBER-STATE,Weber State,Weber State,big-sky,19,True,False,True,Home,True,9,18,57,39,69,8,27,70,1,0,137,358,1095,0.5146118721461187,585,1227,0.4767726161369193,135,371,1133,0.5061782877316858,0.3157894736842105
20,2020-01-30-21-southern-utah,35.7,10,15.6,7,91.5,63.6,28,0.61,50,0.56,28,0.38,19,0.737,14,13,200,105.6,12.0,3,20,75,,4.2,3,0.28,14,0.35700000000000004,5,44.9,31,0.635,18.2,13,36,0.639,23,0.381,8,"January 30, 2020",48.0,12,11.1,4,105.6,88.0,22,0.4,70,0.35700000000000004,25,0.257,18,0.5,9,8,200,91.5,36.4,16,17,65,,11.3,8,0.35700000000000004,25,0.24,6,55.1,38,0.414,11.4,10,45,0.42200000000000004,19,0.6,12,"Centrum, Cedar City, Utah",SOUTHERN-UTAH,Southern Utah,70.8,Away,WEBER-STATE,Weber State,Weber State,big-sky,20,False,False,False,Away,True,5,23,50,31,69,6,19,70,1,0,146,376,1152,0.5164930555555556,624,1296,0.4814814814814815,143,398,1203,0.5091438071487947,0.35
21,2020-02-01-21-northern-colorado,33.3,7,2.9,1,111.1,76.9,20,0.452,52,0.40399999999999997,21,0.135,7,0.7140000000000001,5,14,200,82.5,20.0,6,6,52,,7.9,5,0.365,19,0.263,5,46.4,26,0.47,19.1,13,33,0.485,16,0.364,8,"February 1, 2020",41.9,13,6.1,2,82.5,80.0,24,0.585,59,0.525,31,0.017,1,1.0,1,7,200,111.1,23.1,6,13,70,,11.1,7,0.40700000000000003,24,0.292,7,53.6,30,0.588,15.6,11,35,0.6859999999999999,24,0.667,14,"Bank of Colorado Arena, Greeley, Colorado",WEBER-STATE,Weber State,63.4,Home,NORTHERN-COLORADO,Northern Colorado,Weber State,big-sky,21,False,False,False,Away,False,5,16,52,26,56,7,24,59,0,1,151,399,1202,0.5203826955074875,655,1365,0.4798534798534799,149,417,1273,0.5031421838177533,0.3809523809523809
22,2020-02-06-21-weber-state,47.8,11,3.7,1,109.4,81.8,18,0.491,55,0.418,23,0.382,21,0.5710000000000001,12,10,200,103.1,40.6,13,22,66,,9.4,6,0.364,20,0.4,8,57.4,31,0.508,16.8,13,35,0.429,15,0.524,11,"February 6, 2020",13.0,3,22.9,8,103.1,59.4,19,0.616,43,0.535,23,0.442,19,0.895,17,14,200,109.4,18.2,4,20,70,,7.8,5,0.3720000000000001,16,0.43799999999999994,7,42.6,23,0.6729999999999999,21.4,14,27,0.593,16,0.391,9,"Dee Events Center, Ogden, Utah",SACRAMENTO-STATE,Sacramento State,63.5,Home,WEBER-STATE,Weber State,Weber State,big-sky,22,True,False,True,Home,True,7,16,43,23,54,8,15,55,1,0,156,415,1254,0.5175438596491229,681,1421,0.4792399718508093,156,441,1332,0.5067567567567568,0.3636363636363637
23,2020-02-08-21-weber-state,52.0,13,13.5,5,115.2,75.8,25,0.5,60,0.41700000000000004,25,0.183,11,0.909,10,9,200,106.1,23.5,8,13,70,,6.1,4,0.45,27,0.37,10,49.3,33,0.537,12.2,9,33,0.455,15,0.591,13,"February 8, 2020",37.9,11,6.1,2,106.1,76.5,26,0.55,60,0.483,29,0.233,14,0.7140000000000001,10,14,200,115.2,24.2,8,12,76,,12.1,8,0.38299999999999995,23,0.348,8,50.7,34,0.57,9.6,7,37,0.568,21,0.41700000000000004,10,"Dee Events Center, Ogden, Utah",NORTHERN-ARIZONA,Northern Arizona,65.9,Home,WEBER-STATE,Weber State,Weber State,big-sky,23,True,False,True,Home,True,8,21,60,34,67,10,15,60,1,0,163,431,1297,0.5208172706245181,704,1475,0.4772881355932204,164,456,1387,0.5061283345349675,0.39130434782608703
24,2020-02-13-21-montana,53.8,7,0.0,0,116.1,92.3,24,0.363,40,0.325,13,0.3,12,0.667,8,15,200,59.7,3.8,1,11,37,,1.6,1,0.35,14,0.214,3,48.1,25,0.405,29.6,19,26,0.385,10,0.4,10,"February 13, 2020",37.9,11,11.5,3,59.7,96.2,25,0.593,54,0.537,29,0.16699999999999998,9,0.889,8,10,200,116.1,7.7,2,16,72,,16.1,10,0.278,15,0.4,6,51.9,27,0.618,7.9,5,39,0.59,23,0.6,15,"Adams Center/Dahlberg Arena, Missoula, Montana",WEBER-STATE,Weber State,62.5,Home,MONTANA,Montana,Weber State,big-sky,24,False,False,False,Away,False,3,10,40,25,52,6,23,54,0,1,171,452,1357,0.5221075902726603,738,1542,0.4785992217898833,174,471,1447,0.5058742225293711,0.4166666666666667
25,2020-02-15-20-montana-state,33.3,8,11.9,5,122.2,66.7,18,0.45799999999999996,60,0.4,24,0.15,9,0.889,8,16,200,100.0,25.7,9,14,63,,6.3,4,0.517,31,0.226,7,43.5,27,0.49,9.9,7,29,0.586,17,0.385,10,"February 15, 2020",50.0,14,0.0,0,100.0,74.3,26,0.563,56,0.5,28,0.304,17,0.8240000000000001,14,11,200,122.2,33.3,9,13,77,,4.8,3,0.25,14,0.5,7,56.5,35,0.601,11.2,8,42,0.5,21,0.56,14,"Max Worthington Arena, Bozeman, Montana",WEBER-STATE,Weber State,62.7,Home,MONTANA-STATE,Montana State,Weber State,big-sky,25,False,False,False,Away,False,7,17,60,27,62,7,21,56,0,1,174,462,1397,0.5175375805297066,763,1594,0.4786700125470514,180,494,1501,0.5089940039973351,0.4
26,2020-02-22-21-weber-state,40.0,10,5.7,2,112.3,82.1,23,0.429,63,0.397,25,0.365,23,0.7390000000000001,17,13,200,97.3,22.5,9,21,71,,9.6,7,0.19,12,0.33299999999999996,4,47.1,32,0.48,12.0,10,51,0.41200000000000003,21,0.519,14,"February 22, 2020",50.0,13,9.8,5,97.3,77.5,31,0.546,54,0.48100000000000004,26,0.46299999999999997,25,0.92,23,16,200,112.3,17.9,5,21,82,,4.1,3,0.35200000000000004,19,0.368,7,52.9,36,0.622,14.5,11,35,0.5429999999999999,19,0.40700000000000003,11,"Dee Events Center, Ogden, Utah",SOUTHERN-UTAH,Southern Utah,73.4,Home,WEBER-STATE,Weber State,Weber State,big-sky,26,True,False,True,Home,True,7,19,54,36,68,4,21,63,1,0,181,479,1457,0.5150995195607413,790,1656,0.4770531400966184,187,515,1557,0.5109184328837508,0.38461538461538464
