,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-IRVINE_homegame,CALIFORNIA-IRVINE_homegame2,CALIFORNIA-IRVINE_home,CALIFORNIA-IRVINE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-22-california-irvine,38.1,8,0.0,0,141.2,43.5,10,0.446,56,0.375,21,0.46399999999999997,26,0.5,13,0,200,74.1,10.5,4,23,63,,11.8,10,0.429,24,0.33299999999999996,8,23.0,14,0.461,22.9,20,32,0.406,13,0.0,0,"December 14, 2019",62.2,28,12.5,4,74.1,89.5,34,0.6990000000000001,68,0.662,45,0.441,30,0.833,25,5,200,141.2,56.5,13,19,120,,11.8,10,0.221,15,0.33299999999999996,5,77.0,47,0.7290000000000001,16.5,16,53,0.755,40,0.545,6,"Bren Events Center, Irvine, California","Pacific Union
			","Pacific Union
			",84.8,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,10,True,False,True,Home,True,5,40,68,47,61,8,13,56,1,0,58,216,593,0.5109612141652614,387,666,0.581081081081081,85,128,587,0.4352640545144804,0.5
11,2019-12-16-19-california-irvine,59.1,13,12.8,6,100.0,75.8,25,0.529,52,0.423,22,0.28800000000000003,15,0.867,13,2,200,91.9,17.2,5,19,68,,8.1,6,0.519,27,0.40700000000000003,11,48.4,30,0.575,24.5,19,25,0.44,11,0.8,8,"December 16, 2019",53.6,15,8.0,2,91.9,82.8,24,0.4920000000000001,61,0.45899999999999996,28,0.295,18,0.778,14,5,200,100.0,24.2,8,15,74,,8.1,6,0.23,14,0.28600000000000003,4,51.6,32,0.532,15.9,13,47,0.511,24,0.583,7,"Don Haskins Center, El Paso, Texas",KENT-STATE,Kent State,73.8,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,11,True,False,True,Home,True,4,24,61,32,62,11,11,52,1,0,63,256,661,0.5302571860816944,434,727,0.5969738651994498,93,141,643,0.43623639191290825,0.5454545454545454
12,2019-12-17-21-texas-el-paso,43.5,10,8.3,3,98.5,73.7,28,0.48100000000000004,54,0.426,23,0.204,11,0.818,9,6,200,89.7,41.4,12,25,61,,2.9,2,0.389,21,0.28600000000000003,6,59.7,40,0.515,27.2,22,33,0.515,17,0.5379999999999999,7,"December 17, 2019",58.8,10,6.1,2,89.7,58.6,17,0.382,51,0.33299999999999996,17,0.706,36,0.778,28,1,200,98.5,26.3,10,16,67,,7.4,5,0.294,15,0.33299999999999996,5,40.3,27,0.4920000000000001,11.9,9,36,0.33299999999999996,12,0.889,8,"Don Haskins Center, El Paso, Texas",CALIFORNIA-IRVINE,UC-Irvine,68.2,Home,TEXAS-EL-PASO,UTEP,UC Irvine,big-west,12,False,False,False,Away,False,6,17,54,40,67,5,12,51,0,1,67,280,722,0.5270083102493075,466,789,0.5906210392902408,104,152,695,0.4431654676258993,0.5833333333333334
13,2019-12-20-20-illinois-chicago,66.7,16,8.6,3,101.3,85.7,24,0.45799999999999996,59,0.40700000000000003,24,0.39,23,0.565,13,7,200,89.3,29.4,10,20,67,,10.7,8,0.28800000000000003,17,0.353,6,54.8,34,0.479,16.8,14,42,0.429,18,0.5,7,"December 20, 2019",66.7,18,9.5,4,89.3,70.6,24,0.573,55,0.491,27,0.436,24,0.542,13,8,200,101.3,14.3,4,18,76,,10.7,8,0.364,20,0.45,9,45.2,28,0.5720000000000001,17.6,14,35,0.514,18,0.385,5,"UIC Pavilion, Chicago, Illinois",CALIFORNIA-IRVINE,UC-Irvine,75.2,Home,ILLINOIS-CHICAGO,UIC,UC Irvine,big-west,13,False,False,False,Away,False,6,18,59,34,62,9,18,55,0,1,73,297,776,0.523840206185567,506,856,0.5911214953271028,109,164,746,0.4390080428954424,0.5384615384615384
14,2019-12-28-22-california-irvine,50.0,11,4.9,2,101.5,69.7,23,0.348,66,0.33299999999999996,22,0.273,18,0.556,10,4,200,82.4,37.2,16,24,56,,5.9,4,0.19699999999999998,13,0.154,2,51.3,39,0.376,13.0,11,53,0.377,20,0.75,12,"December 28, 2019",52.4,11,11.3,6,82.4,62.8,27,0.45399999999999996,54,0.389,21,0.46299999999999997,25,0.8,20,7,200,101.5,30.3,10,19,69,,8.8,6,0.24100000000000002,13,0.5379999999999999,7,48.7,37,0.524,14.5,11,41,0.341,14,0.5329999999999999,8,"Bren Events Center, Irvine, California",PACIFIC,Pacific,68.2,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,14,True,False,True,Home,True,7,14,54,37,76,2,20,66,1,0,79,315,835,0.5191616766467065,540,918,0.5882352941176471,118,182,801,0.4481897627965044,0.5
15,2020-01-04-14-harvard,41.7,10,0.0,0,113.2,73.3,22,0.475,60,0.4,24,0.267,16,1.0,16,8,200,107.4,36.1,13,19,73,,13.2,9,0.28300000000000003,17,0.529,9,53.0,35,0.54,15.2,12,43,0.349,15,0.5,8,"January 4, 2020",52.0,13,7.0,3,107.4,63.9,23,0.557,53,0.47200000000000003,25,0.434,23,0.7829999999999999,18,4,200,113.2,26.7,8,17,77,,5.9,4,0.415,22,0.409,9,47.0,31,0.602,17.1,13,31,0.516,16,0.733,11,"Lavietes Pavilion, Boston, Massachusetts",CALIFORNIA-IRVINE,UC-Irvine,67.8,Home,HARVARD,Harvard,UC Irvine,big-west,15,False,False,False,Away,False,9,15,60,35,66,9,16,53,0,1,86,329,889,0.515185601799775,577,994,0.5804828973843058,120,202,867,0.4405997693194925,0.5333333333333333
16,2020-01-11-22-california-irvine,55.0,11,7.8,4,110.4,61.5,24,0.43,57,0.35100000000000003,20,0.35100000000000003,20,0.55,11,6,200,89.6,15.2,5,23,60,,3.0,2,0.456,26,0.34600000000000003,9,40.3,29,0.451,9.6,7,31,0.355,11,0.625,10,"January 11, 2020",30.8,8,9.7,3,89.6,84.8,28,0.445,64,0.406,26,0.344,22,0.773,17,8,200,110.4,38.5,15,23,74,,6.0,4,0.203,13,0.385,5,59.7,43,0.4970000000000001,7.5,6,51,0.41200000000000003,21,0.529,9,"Bren Events Center, Irvine, California",HAWAII,Hawaii,67.0,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,16,True,False,True,Home,True,5,21,64,43,72,9,11,57,1,0,95,344,949,0.5126448893572181,612,1060,0.5773584905660377,129,218,920,0.4472826086956522,0.5
17,2020-01-15-22-cal-state-fullerton,48.0,12,7.9,3,84.7,80.0,28,0.5,59,0.424,25,0.424,25,0.6,15,8,200,102.8,33.3,11,21,74,,12.5,9,0.40700000000000003,24,0.375,9,57.4,39,0.522,14.6,12,35,0.457,16,0.556,10,"January 15, 2020",20.0,4,5.7,2,102.8,66.7,22,0.423,52,0.385,20,0.5770000000000001,30,0.5670000000000001,17,13,200,84.7,20.0,7,19,61,,6.9,5,0.26899999999999996,14,0.28600000000000003,4,42.6,29,0.46,16.6,13,38,0.42100000000000004,16,0.278,5,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,72.1,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,17,False,False,False,Away,True,9,16,59,39,68,4,16,52,1,0,100,365,1013,0.508390918065153,655,1132,0.5786219081272085,138,229,977,0.4462640736949847,0.5294117647058824
18,2020-01-18-22-california-irvine,23.5,4,2.6,1,103.0,86.4,19,0.317,60,0.28300000000000003,17,0.3670000000000001,22,0.682,15,8,200,79.1,27.0,10,18,53,,6.0,4,0.3,18,0.222,4,49.2,29,0.376,10.3,8,42,0.31,13,0.6,12,"January 18, 2020",46.4,13,19.0,8,79.1,73.0,27,0.612,49,0.5710000000000001,28,0.28600000000000003,14,0.643,9,8,200,103.0,13.6,3,20,69,,9.0,6,0.22399999999999998,11,0.364,4,50.8,30,0.62,19.1,13,38,0.632,24,0.579,11,"Bren Events Center, Irvine, California",CALIFORNIA-RIVERSIDE,UC-Riverside,67.1,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,18,True,False,True,Home,True,4,24,49,30,59,4,13,60,1,0,109,381,1072,0.5079291044776121,694,1200,0.5783333333333334,142,245,1029,0.44509232264334303,0.5555555555555556
19,2020-01-22-22-long-beach-state,45.5,10,7.1,3,88.7,84.6,22,0.377,65,0.33799999999999997,22,0.16899999999999998,11,0.636,7,9,200,78.9,33.3,14,18,56,,11.3,8,0.4,26,0.192,5,52.9,36,0.39899999999999997,18.6,16,39,0.436,17,0.55,11,"January 22, 2020",20.8,5,17.9,7,78.9,66.7,28,0.48100000000000004,52,0.462,24,0.385,20,0.65,13,14,200,88.7,15.4,4,14,63,,7.0,5,0.192,10,0.2,2,47.1,32,0.512,17.6,13,42,0.524,22,0.33299999999999996,7,"The Walter Pyramid, Long Beach, California",CALIFORNIA-IRVINE,UC-Irvine,71.4,Home,LONG-BEACH-STATE,Long Beach State,UC Irvine,big-west,19,False,False,False,Away,False,5,17,65,36,68,2,22,52,0,1,113,405,1121,0.5124888492417484,724,1259,0.5750595710881652,146,258,1089,0.4380165289256198,0.5789473684210527
20,2020-01-25-22-california-irvine,38.1,8,7.7,3,105.7,56.7,17,0.381,67,0.313,21,0.299,20,0.8,16,15,200,95.7,28.2,11,20,67,,11.4,8,0.299,20,0.45,9,40.6,28,0.43799999999999994,7.3,6,47,0.255,12,0.21100000000000002,4,"January 25, 2020",71.4,20,14.9,7,95.7,71.8,28,0.508,59,0.475,28,0.33899999999999997,20,0.7,14,9,200,105.7,43.3,13,14,74,,5.7,4,0.33899999999999997,20,0.2,4,59.4,41,0.54,15.0,12,39,0.615,24,0.5710000000000001,12,"Bren Events Center, Irvine, California",CAL-POLY,Cal Poly,69.5,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,20,True,False,True,Home,True,4,24,59,41,69,9,12,67,1,0,118,422,1186,0.5050590219224284,760,1327,0.5727204220045214,148,280,1141,0.4399649430324277,0.55
21,2020-01-30-22-california-davis,44.1,15,5.7,2,95.6,88.6,31,0.602,59,0.5760000000000001,34,0.22,13,0.6920000000000001,9,9,200,117.6,25.9,7,15,80,,8.8,6,0.254,15,0.2,3,61.3,38,0.614,12.2,9,44,0.705,31,0.591,13,"January 30, 2020",40.9,9,0.0,0,117.6,74.1,20,0.465,57,0.386,22,0.24600000000000002,14,0.857,12,14,200,95.6,11.4,4,12,65,,5.9,4,0.386,22,0.409,9,38.7,24,0.511,12.5,9,35,0.371,13,0.364,8,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,67.9,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,21,False,False,False,Away,True,3,31,59,38,62,9,13,57,1,0,122,446,1245,0.5052208835341365,801,1396,0.5737822349570201,157,292,1208,0.4366721854304636,0.5714285714285714
22,2020-02-01-22-california-irvine,52.6,10,6.7,3,124.7,63.6,14,0.42200000000000004,51,0.373,19,0.569,29,0.621,18,15,200,83.6,9.1,3,20,61,,2.7,2,0.294,15,0.33299999999999996,5,30.9,17,0.47100000000000003,15.8,12,36,0.389,14,0.348,8,"February 1, 2020",65.6,21,16.7,6,83.6,90.9,30,0.634,56,0.5710000000000001,32,0.375,21,0.9520000000000001,20,9,200,124.7,36.4,8,30,91,,8.2,6,0.196,11,0.636,7,69.1,38,0.69,17.7,14,45,0.556,25,0.609,14,"Bren Events Center, Irvine, California",CAL-STATE-FULLERTON,Cal State Fullerton,72.9,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,22,True,False,True,Home,True,7,25,56,38,55,5,14,51,1,0,125,477,1304,0.5095858895705522,839,1458,0.5754458161865569,166,305,1265,0.4379446640316206,0.5909090909090909
23,2020-02-06-22-california-irvine,48.0,12,4.9,2,120.3,51.5,17,0.509,55,0.455,25,0.345,19,0.8420000000000001,16,15,200,104.3,28.6,8,17,72,,10.1,7,0.364,20,0.3,6,41.0,25,0.562,18.1,14,35,0.5429999999999999,19,0.375,9,"February 6, 2020",75.0,24,2.9,1,104.3,71.4,20,0.597,62,0.516,32,0.258,16,0.563,9,9,200,120.3,48.5,16,16,83,,11.6,8,0.33899999999999997,21,0.47600000000000003,10,59.0,36,0.596,16.9,14,41,0.537,22,0.625,15,"Bren Events Center, Irvine, California",CALIFORNIA-DAVIS,UC-Davis,68.8,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,23,True,False,True,Home,True,10,22,62,36,61,6,19,55,1,0,132,502,1360,0.5147058823529411,877,1513,0.5796430931923331,171,319,1316,0.4373100303951368,0.6086956521739131
24,2020-02-08-22-california-santa-barbara,36.0,9,0.0,0,106.7,73.1,19,0.45799999999999996,59,0.424,25,0.136,8,0.875,7,10,200,101.7,45.5,15,20,61,,6.7,4,0.237,14,0.28600000000000003,4,57.6,34,0.486,16.1,12,45,0.467,21,0.6,15,"February 8, 2020",55.0,11,4.4,2,101.7,54.5,18,0.467,46,0.435,20,0.5429999999999999,25,0.84,21,8,200,106.7,26.9,7,12,64,,5.0,3,0.239,11,0.273,3,42.4,25,0.5529999999999999,14.9,10,35,0.486,17,0.667,16,"The Thunderdome, Santa Barbara, California",CALIFORNIA-IRVINE,UC-Irvine,60.3,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Irvine,big-west,24,False,False,False,Away,False,4,21,59,34,59,3,17,46,0,1,142,524,1422,0.5182841068917018,913,1574,0.5800508259212198,177,338,1371,0.4401896425966448,0.625
25,2020-02-12-22-california-riverside,38.1,8,5.6,2,100.0,75.0,21,0.556,45,0.467,21,0.33299999999999996,15,0.867,13,10,200,106.8,21.7,5,12,63,,10.2,6,0.33299999999999996,15,0.5329999999999999,8,51.0,26,0.604,17.6,11,30,0.433,13,0.615,16,"February 12, 2020",56.0,14,6.7,2,106.8,78.3,18,0.509,55,0.455,25,0.055,3,1.0,3,12,200,100.0,25.0,7,14,59,,11.9,7,0.345,19,0.316,6,49.0,25,0.523,15.1,10,36,0.528,19,0.5379999999999999,14,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,58.8,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,25,False,False,False,Away,True,8,13,45,26,51,6,19,55,1,0,146,545,1481,0.5158676569885212,947,1633,0.5799142682180036,180,355,1417,0.4410726887791108,0.6
26,2020-02-15-23-hawaii,18.5,5,11.1,5,94.0,75.8,25,0.518,56,0.48200000000000004,27,0.304,17,0.706,12,10,200,104.5,39.3,11,14,70,,9.0,6,0.179,10,0.4,4,59.0,36,0.546,18.1,14,46,0.5,23,0.63,17,"February 15, 2020",53.8,14,2.2,1,104.5,60.7,17,0.475,60,0.433,26,0.217,13,0.462,6,10,200,94.0,24.2,8,16,63,,10.4,7,0.25,15,0.33299999999999996,5,41.0,25,0.47600000000000003,12.0,9,45,0.467,21,0.583,14,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,67.1,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west,26,False,False,False,Away,True,4,23,56,36,61,5,21,60,1,0,154,558,1526,0.5170380078636959,973,1684,0.577790973871734,186,374,1472,0.4436141304347826,0.6153846153846154
