,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-TECH_homegame,LOUISIANA-TECH_homegame2,LOUISIANA-TECH_home,LOUISIANA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-19-louisiana-tech,52.2,12,12.5,3,115.0,57.1,16,0.643,42,0.5479999999999999,23,0.214,9,0.667,6,10,200,100.0,27.8,5,19,60,,6.7,4,0.381,16,0.5,8,45.7,21,0.648,29.2,19,26,0.5770000000000001,15,0.231,3,"December 17, 2019",59.1,13,0.0,0,100.0,72.2,13,0.52,50,0.44,22,0.42,21,0.81,17,3,200,115.0,42.9,12,9,69,,15.0,9,0.52,26,0.308,8,54.3,25,0.575,16.8,12,24,0.583,14,0.727,8,"Thomas Assembly Center, Ruston, Louisiana",NORTH-CAROLINA-CENTRAL,North Carolina Central,60.1,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,10,True,False,True,Home,True,8,14,50,25,46,8,15,42,1,0,86,206,631,0.5309033280507132,379,716,0.5293296089385475,66,152,578,0.4342560553633218,0.7
11,2019-12-21-17-louisiana-tech,55.6,10,12.9,4,120.8,74.2,23,0.326,66,0.273,18,0.136,9,0.444,4,0,200,65.3,23.8,10,15,47,,2.8,2,0.348,23,0.304,7,45.2,33,0.33399999999999996,16.7,14,43,0.256,11,0.0,0,"December 21, 2019",67.7,21,9.3,4,65.3,76.2,32,0.595,63,0.4920000000000001,31,0.28600000000000003,18,0.667,12,3,200,120.8,25.8,8,12,87,,11.1,8,0.508,32,0.406,13,54.8,40,0.608,7.8,6,31,0.581,18,0.75,9,"Thomas Assembly Center, Ruston, Louisiana","Southern-New Orleans
			","Southern-New Orleans
			",71.9,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,11,True,False,True,Home,True,13,18,63,40,73,7,11,66,1,0,94,220,681,0.5301027900146843,404,762,0.5301837270341208,74,167,620,0.4483870967741935,0.7272727272727273
12,2019-12-30-20-southern-mississippi,43.3,13,2.4,1,71.0,69.4,25,0.565,62,0.484,30,0.242,15,0.667,10,3,200,115.9,41.9,13,15,80,,17.4,12,0.355,22,0.455,10,56.7,38,0.579,15.9,13,40,0.5,20,0.769,10,"December 30, 2019",55.0,11,5.0,2,115.9,58.1,18,0.345,58,0.345,20,0.19,11,0.818,9,10,200,71.0,30.6,11,15,49,,5.8,4,0.276,16,0.0,0,43.3,29,0.38799999999999996,21.3,17,42,0.47600000000000003,20,0.28600000000000003,4,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-MISSISSIPPI,Southern Miss,69.2,Away,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,12,False,False,False,Away,True,10,20,62,38,67,0,20,58,1,0,107,238,744,0.5356182795698925,444,835,0.5317365269461077,81,178,686,0.4365889212827989,0.75
13,2020-01-04-17-louisiana-tech,36.8,7,0.0,0,111.4,70.3,26,0.385,52,0.365,19,0.231,12,0.833,10,11,200,71.4,24.2,8,18,50,,5.7,4,0.26899999999999996,14,0.14300000000000002,2,48.6,34,0.433,25.9,20,38,0.447,17,0.267,4,"January 4, 2020",65.5,19,5.3,2,71.4,75.8,25,0.547,64,0.45299999999999996,29,0.25,16,0.5,8,3,200,111.4,29.7,11,14,78,,17.1,12,0.5,32,0.375,12,51.4,36,0.545,12.3,10,32,0.531,17,0.7859999999999999,11,"Thomas Assembly Center, Ruston, Louisiana",SOUTHERN-MISSISSIPPI,Southern Miss,70.2,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,13,True,False,True,Home,True,12,17,64,36,70,2,17,52,1,0,117,258,806,0.5378411910669976,482,902,0.5343680709534369,81,198,744,0.42943548387096775,0.7692307692307693
14,2020-01-09-19-texas-san-antonio,42.3,11,3.2,1,123.6,66.7,20,0.537,54,0.48100000000000004,26,0.537,29,0.517,15,4,200,101.4,24.3,9,16,73,,11.1,8,0.315,17,0.353,6,43.3,29,0.539,15.2,12,37,0.541,20,0.733,11,"January 9, 2020",64.5,20,13.5,5,101.4,75.7,28,0.635,63,0.4920000000000001,31,0.19,12,0.75,9,9,200,123.6,33.3,10,21,89,,8.3,6,0.508,32,0.563,18,56.7,38,0.648,17.0,14,31,0.419,13,0.43799999999999994,7,"Convocation Center, San Antonio, Texas",LOUISIANA-TECH,Louisiana Tech,71.7,Home,TEXAS-SAN-ANTONIO,UTSA,Louisiana Tech,cusa,14,False,False,False,Away,False,6,20,54,29,67,18,13,63,0,1,129,275,870,0.5385057471264367,518,972,0.5329218106995884,83,215,796,0.4265075376884422,0.7857142857142857
15,2020-01-11-21-texas-el-paso,36.4,8,10.0,2,89.7,85.2,23,0.462,52,0.423,22,0.423,22,0.727,16,4,200,94.1,18.8,6,17,64,,11.8,8,0.34600000000000003,18,0.222,4,49.2,29,0.512,14.0,10,34,0.529,18,0.75,12,"January 11, 2020",64.7,11,11.8,4,94.1,81.3,26,0.456,45,0.37799999999999995,17,0.511,23,0.87,20,7,200,89.7,14.8,4,15,61,,5.9,4,0.556,25,0.28,7,50.8,30,0.545,23.6,17,20,0.5,10,0.588,10,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,67.7,Away,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,15,False,False,False,Away,True,4,18,52,29,59,7,10,45,1,0,135,295,924,0.5384199134199135,547,1039,0.5264677574590952,101,228,859,0.4417927823050058,0.7333333333333333
16,2020-01-16-19-louisiana-tech,65.0,13,4.9,2,107.5,70.6,24,0.48,51,0.392,20,0.235,12,0.583,7,9,200,83.6,10.3,3,11,56,,1.5,1,0.608,31,0.29,9,42.9,27,0.494,21.0,15,20,0.55,11,0.5,9,"January 16, 2020",53.3,16,15.0,3,83.6,89.7,26,0.5,65,0.462,30,0.154,10,0.7,7,4,200,107.5,29.4,10,11,72,,14.9,10,0.369,24,0.20800000000000002,5,57.1,36,0.516,8.0,6,41,0.61,25,0.765,13,"Thomas Assembly Center, Ruston, Louisiana",RICE,Rice,67.2,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,16,True,False,True,Home,True,5,25,65,36,63,9,11,51,1,0,139,313,976,0.5343237704918032,576,1098,0.5245901639344263,108,238,904,0.4424778761061947,0.75
17,2020-01-18-17-louisiana-tech,55.6,10,6.5,2,83.3,61.5,16,0.436,47,0.38299999999999995,18,0.23399999999999999,11,0.909,10,8,200,85.0,21.4,6,17,51,,13.3,8,0.38299999999999995,18,0.278,5,40.7,22,0.488,20.0,13,29,0.44799999999999995,13,0.579,11,"January 18, 2020",55.6,10,10.3,3,85.0,78.6,22,0.439,49,0.3670000000000001,18,0.22399999999999998,11,0.636,7,5,200,83.3,38.5,10,16,50,,8.3,5,0.3670000000000001,18,0.389,7,59.3,32,0.461,22.9,16,31,0.355,11,0.722,13,"Thomas Assembly Center, Ruston, Louisiana",LOUISIANA-TECH,Louisiana Tech,59.7,Away,NORTH-TEXAS,North Texas,Louisiana Tech,cusa,17,False,True,True,Home,False,7,11,49,32,54,5,13,47,0,1,144,338,1041,0.5321805955811719,612,1161,0.5271317829457365,117,249,955,0.4445026178010471,0.7647058823529411
18,2020-01-23-19-middle-tennessee,37.9,11,6.5,2,104.3,77.8,28,0.6629999999999999,49,0.5920000000000001,29,0.51,25,0.6,15,5,200,114.3,26.9,7,17,80,,2.9,2,0.265,13,0.5379999999999999,7,56.5,35,0.657,20.0,15,36,0.611,22,0.737,14,"January 23, 2020",43.5,10,5.6,2,114.3,73.1,19,0.442,60,0.38299999999999995,23,0.38299999999999995,23,0.87,20,16,200,104.3,22.2,8,20,73,,10.0,7,0.483,29,0.24100000000000002,7,43.5,27,0.515,11.4,9,31,0.516,16,0.2,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,70.4,Away,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,18,False,False,False,Away,True,7,22,49,35,62,7,16,60,1,0,151,349,1090,0.5279816513761468,644,1215,0.5300411522633744,122,262,1002,0.4441117764471058,0.7222222222222222
19,2020-01-25-15-alabama-birmingham,38.5,10,6.3,2,84.1,90.3,28,0.544,57,0.456,26,0.21100000000000002,12,0.833,10,5,200,104.3,33.3,8,18,72,,2.9,2,0.456,26,0.385,10,65.5,36,0.574,20.4,16,31,0.516,16,0.75,15,"January 25, 2020",60.0,12,3.2,1,104.3,66.7,16,0.442,52,0.385,20,0.25,13,0.9229999999999999,12,9,200,84.1,9.7,3,16,58,,10.1,7,0.385,20,0.3,6,34.5,19,0.498,17.2,12,32,0.43799999999999994,14,0.5710000000000001,12,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,68.9,Away,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,19,False,False,False,Away,True,10,16,57,36,55,6,14,52,1,0,158,371,1139,0.533801580333626,679,1277,0.5317149569303053,129,278,1062,0.4439736346516008,0.7368421052631579
20,2020-01-30-19-louisiana-tech,52.4,11,11.5,3,126.3,72.7,16,0.5760000000000001,46,0.457,21,0.174,8,0.75,6,8,200,103.5,13.6,3,15,59,,8.8,5,0.565,26,0.423,11,43.2,19,0.5920000000000001,18.2,11,20,0.5,10,0.6,12,"January 30, 2020",66.7,18,20.0,4,103.5,86.4,19,0.698,48,0.563,27,0.16699999999999998,8,0.625,5,5,200,126.3,27.3,6,12,72,,7.0,4,0.45799999999999996,22,0.591,13,56.8,25,0.695,17.6,11,26,0.5379999999999999,14,0.762,16,"Thomas Assembly Center, Ruston, Louisiana",CHARLOTTE,Charlotte,57.3,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,20,True,False,True,Home,True,13,14,48,25,44,11,10,46,1,0,168,387,1196,0.5342809364548495,715,1332,0.5367867867867868,135,292,1114,0.44389587073608616,0.75
21,2020-02-01-17-louisiana-tech,38.5,10,4.8,1,115.2,92.6,25,0.475,60,0.433,26,0.41700000000000004,25,0.64,16,14,200,110.6,33.3,12,17,73,,4.5,3,0.3,18,0.278,5,58.7,37,0.508,7.8,6,42,0.5,21,0.391,9,"February 1, 2020",60.9,14,7.1,3,110.6,66.7,24,0.57,50,0.46,23,0.46,23,0.826,19,5,200,115.2,7.4,2,21,76,,4.5,3,0.58,29,0.379,11,41.3,26,0.624,10.4,7,21,0.5710000000000001,12,0.773,17,"Thomas Assembly Center, Ruston, Louisiana",OLD-DOMINION,Old Dominion,65.9,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,21,True,False,True,Home,True,11,12,50,26,63,5,21,60,1,0,181,401,1244,0.5405948553054662,740,1376,0.5377906976744186,146,302,1160,0.4491379310344827,0.7619047619047619
22,2020-02-06-21-western-kentucky,39.1,9,7.7,2,103.2,84.0,21,0.473,55,0.418,23,0.073,4,0.5,2,6,200,85.7,23.3,7,16,54,,11.1,7,0.345,19,0.316,6,50.9,28,0.475,19.8,14,36,0.47200000000000003,17,0.7390000000000001,17,"February 6, 2020",50.0,10,16.7,6,85.7,76.7,23,0.511,45,0.444,20,0.511,23,0.826,19,8,200,103.2,16.0,4,11,65,,6.3,4,0.42200000000000004,19,0.316,6,49.1,27,0.581,16.6,11,26,0.5379999999999999,14,0.652,15,"E.A. Diddle Arena, Bowling Green, Kentucky",LOUISIANA-TECH,Louisiana Tech,63.4,Home,WESTERN-KENTUCKY,Western Kentucky,Louisiana Tech,cusa,22,False,False,False,Away,False,6,17,55,28,55,6,14,45,0,1,192,413,1294,0.5417310664605873,766,1439,0.532314107018763,151,323,1220,0.4504098360655738,0.7727272727272727
23,2020-02-08-19-marshall,37.0,10,3.0,1,103.8,78.9,30,0.508,59,0.45799999999999996,27,0.4920000000000001,29,0.655,19,7,225,98.8,28.1,9,16,79,,15.0,12,0.373,22,0.273,6,55.7,39,0.5429999999999999,19.2,17,37,0.568,21,0.708,17,"February 8, 2020",45.2,14,13.5,5,98.8,71.9,23,0.5770000000000001,65,0.47700000000000004,31,0.27699999999999997,18,0.444,8,13,225,103.8,21.1,8,22,83,,7.5,6,0.4920000000000001,32,0.406,13,44.3,31,0.564,16.1,14,33,0.545,18,0.48,12,"Henderson Center, Huntington, West Virginia",LOUISIANA-TECH,Louisiana Tech,71.3,Home,MARSHALL,Marshall,Louisiana Tech,cusa,23,False,False,False,Away,False,6,21,59,39,70,13,18,65,0,1,198,430,1349,0.5389177168272795,794,1494,0.5314591700133868,157,337,1265,0.4525691699604743,0.7391304347826086
24,2020-02-13-19-louisiana-tech,43.5,10,23.7,9,88.2,64.7,22,0.44799999999999995,58,0.397,23,0.155,9,0.556,5,9,200,83.8,31.3,10,13,57,,8.8,6,0.431,25,0.24,6,48.5,32,0.45799999999999996,20.5,16,33,0.515,17,0.654,17,"February 13, 2020",33.3,8,12.1,4,83.8,68.8,22,0.413,63,0.381,24,0.20600000000000002,13,0.615,8,7,200,88.2,35.3,12,15,60,,11.8,8,0.397,25,0.16,4,51.5,34,0.434,13.8,11,38,0.526,20,0.72,18,"Thomas Assembly Center, Ruston, Louisiana",FLORIDA-INTERNATIONAL,Florida International,68.2,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,24,True,False,True,Home,True,4,20,63,34,66,6,17,58,1,0,204,451,1408,0.5376420454545454,833,1564,0.532608695652174,170,355,1330,0.4586466165413534,0.7083333333333334
25,2020-02-15-15-louisiana-tech,42.9,9,5.0,2,111.0,81.8,27,0.395,62,0.33899999999999997,21,0.371,23,0.826,19,13,200,93.2,30.8,12,13,68,,5.5,4,0.435,27,0.259,7,54.2,39,0.466,14.3,12,35,0.4,14,0.519,14,"February 15, 2020",32.3,10,11.4,4,93.2,69.2,27,0.546,65,0.47700000000000004,31,0.185,12,0.833,10,7,200,111.0,18.2,6,16,81,,12.3,9,0.385,25,0.36,9,45.8,33,0.573,10.2,8,40,0.55,22,0.731,19,"Thomas Assembly Center, Ruston, Louisiana",FLORIDA-ATLANTIC,Florida Atlantic,72.8,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,25,True,False,True,Home,True,9,22,65,33,72,7,14,62,1,0,208,471,1471,0.5322909585316111,867,1630,0.5319018404907976,176,372,1388,0.4582132564841498,0.72
