,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MANHATTAN_homegame,MANHATTAN_homegame2,MANHATTAN_home,MANHATTAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2020-01-05-13-niagara,78.3,18,8.1,3,96.9,75.8,25,0.48200000000000004,57,0.40399999999999997,23,0.316,18,0.667,12,5,200,104.7,32.4,11,13,67,,6.3,4,0.40399999999999997,23,0.391,9,53.7,36,0.511,13.3,10,34,0.41200000000000003,14,0.545,6,"January 5, 2020",43.5,10,5.9,2,104.7,67.6,23,0.466,59,0.39,23,0.16899999999999998,10,0.7,7,10,200,96.9,24.2,8,16,62,,6.3,4,0.373,22,0.409,9,46.3,31,0.486,11.2,8,37,0.37799999999999995,14,0.231,3,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,64.2,Away,MANHATTAN,Manhattan,Manhattan,maac,10,False,False,False,Away,True,9,14,57,36,67,9,14,59,1,0,72,140,550,0.4509090909090909,317,659,0.4810318664643399,59,148,522,0.4530651340996169,0.5
11,2020-01-10-19-fairfield,39.1,9,6.5,2,111.5,76.2,16,0.51,51,0.451,23,0.21600000000000005,11,0.727,8,6,200,98.4,7.1,2,21,60,,9.8,6,0.392,20,0.3,6,36.7,18,0.534,9.7,6,31,0.5479999999999999,17,0.5,6,"January 10, 2020",52.6,10,3.2,1,98.4,92.9,26,0.564,39,0.48700000000000004,19,0.821,32,0.75,24,9,200,111.5,23.8,5,17,68,,6.6,4,0.205,8,0.75,6,63.3,31,0.627,19.7,13,31,0.419,13,0.4,6,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",MANHATTAN,Manhattan,61.2,Home,FAIRFIELD,Fairfield,Manhattan,maac,11,False,False,False,Away,False,6,17,51,18,49,6,13,39,0,1,81,154,607,0.4538714991762768,353,726,0.4862258953168045,68,162,581,0.4543889845094665,0.5454545454545454
12,2020-01-12-14-manhattan,68.2,15,5.9,2,115.7,76.7,23,0.509,53,0.415,22,0.45299999999999996,24,0.625,15,7,200,98.6,36.4,12,18,69,,11.4,8,0.415,22,0.455,10,55.6,35,0.536,22.1,18,31,0.387,12,0.5,7,"January 12, 2020",63.3,19,6.5,2,98.6,63.6,21,0.61,59,0.508,30,0.254,15,0.6,9,6,200,115.7,23.3,7,18,81,,10.0,7,0.424,25,0.48,12,44.4,28,0.612,14.4,11,34,0.529,18,0.5379999999999999,7,"Draddy Gymnasium, Riverdale, New York",SIENA,Siena,70.3,Home,MANHATTAN,Manhattan,Manhattan,maac,12,True,False,True,Home,True,12,18,59,28,63,10,12,53,1,0,87,171,658,0.4582066869300912,371,775,0.4787096774193548,74,175,620,0.4612903225806452,0.5
13,2020-01-16-19-manhattan,68.4,13,7.1,3,98.6,73.3,33,0.45299999999999996,53,0.358,19,0.245,13,0.6920000000000001,9,6,200,81.4,14.3,5,16,57,,2.9,2,0.509,27,0.37,10,47.5,38,0.48200000000000004,19.3,14,26,0.34600000000000003,9,0.6,9,"January 16, 2020",80.8,21,3.8,1,81.4,85.7,30,0.436,70,0.371,26,0.271,19,0.42100000000000004,8,6,200,98.6,26.7,12,14,69,,12.9,9,0.4,28,0.321,9,52.5,42,0.4370000000000001,6.0,5,42,0.405,17,0.5710000000000001,8,"Draddy Gymnasium, Riverdale, New York",QUINNIPIAC,Quinnipiac,70.1,Home,MANHATTAN,Manhattan,Manhattan,maac,13,True,False,True,Home,True,9,17,70,42,80,10,9,53,1,0,99,189,717,0.4707112970711297,399,838,0.4761336515513127,84,187,673,0.4650817236255572,0.5384615384615384
14,2020-01-18-19-manhattan,72.0,18,9.1,3,81.7,82.9,34,0.537,54,0.46299999999999997,25,0.222,12,0.583,7,7,200,91.5,0.0,0,18,65,,5.6,4,0.24100000000000002,13,0.615,8,50.7,34,0.544,16.8,12,41,0.415,17,0.588,10,"January 18, 2020",70.0,14,12.2,5,91.5,100.0,26,0.40399999999999997,57,0.35100000000000003,20,0.40399999999999997,23,0.522,12,7,200,81.7,17.1,7,19,58,,2.8,2,0.42100000000000004,24,0.25,6,49.3,33,0.4270000000000001,13.0,10,33,0.424,14,0.5329999999999999,8,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,71.3,Away,MONMOUTH,Monmouth,Manhattan,maac,14,False,True,True,Home,False,6,14,57,33,67,8,17,54,0,1,108,206,787,0.4675984752223634,441,918,0.4803921568627451,94,196,726,0.4641873278236915,0.5714285714285714
15,2020-01-22-19-marist,68.2,15,8.8,3,94.9,80.0,28,0.5379999999999999,52,0.423,22,0.5,26,0.654,17,8,225,92.4,20.7,6,32,73,,7.6,6,0.615,32,0.375,12,53.1,34,0.5670000000000001,24.9,21,20,0.5,10,0.5,8,"January 22, 2020",42.1,8,5.0,1,92.4,79.3,23,0.45,50,0.38,19,0.9,45,0.667,30,13,225,94.9,20.0,7,26,75,,6.3,5,0.32,16,0.43799999999999994,7,46.9,30,0.525,17.7,15,34,0.353,12,0.235,4,"McCann Recreation Center, Poughkeepsie, New York",MANHATTAN,Manhattan,70.5,Home,MARIST,Marist,Manhattan,maac,15,False,False,False,Away,False,12,10,52,34,64,7,12,50,0,1,114,220,844,0.4632701421800948,474,985,0.4812182741116751,102,213,780,0.4692307692307692,0.5333333333333333
16,2020-01-26-14-manhattan,72.7,16,14.7,5,88.7,63.9,23,0.408,60,0.3670000000000001,22,0.467,28,0.643,18,8,200,94.4,37.1,13,21,67,,8.5,6,0.3,18,0.278,5,50.7,36,0.457,15.2,13,42,0.405,17,0.579,11,"January 26, 2020",72.7,16,23.8,10,94.4,62.9,22,0.42200000000000004,58,0.379,22,0.379,22,0.636,14,9,200,88.7,36.1,13,24,63,,11.3,8,0.414,24,0.20800000000000002,5,49.3,35,0.46,16.1,13,34,0.5,17,0.47100000000000003,8,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,70.9,Away,RIDER,Rider,Manhattan,maac,16,False,True,True,Home,False,5,17,58,35,71,5,17,60,0,1,126,230,896,0.4676339285714286,508,1049,0.4842707340324118,109,225,830,0.4680722891566265,0.5
17,2020-01-31-19-saint-peters,25.0,5,15.0,6,94.6,81.8,27,0.386,57,0.35100000000000003,20,0.33299999999999996,19,0.474,9,10,200,71.6,36.8,14,23,53,,8.1,6,0.33299999999999996,19,0.21100000000000002,4,57.7,41,0.401,26.0,23,38,0.42100000000000004,16,0.444,8,"January 31, 2020",38.1,8,15.8,6,71.6,63.2,24,0.434,53,0.396,21,0.528,28,0.857,24,10,200,94.6,18.2,6,20,70,,16.2,12,0.245,13,0.308,4,42.3,30,0.528,16.6,13,40,0.425,17,0.474,9,"Yanitelli Center, Jersey City, New Jersey",MANHATTAN,Manhattan,74.2,Home,SAINT-PETERS,St. Peter's,Manhattan,maac,17,False,False,False,Away,False,4,16,57,41,71,4,17,53,0,1,131,247,954,0.4648846960167715,543,1120,0.4848214285714286,114,242,890,0.4640449438202247,0.4705882352941176
18,2020-02-02-12-manhattan,66.7,10,3.8,1,112.5,51.5,17,0.391,46,0.326,15,0.391,18,0.722,13,12,200,76.6,26.7,8,19,49,,6.3,4,0.435,20,0.3,6,39.7,25,0.449,21.8,15,26,0.34600000000000003,9,0.294,5,"February 2, 2020",68.0,17,19.2,5,76.6,73.3,22,0.517,60,0.41700000000000004,25,0.267,16,0.625,10,10,200,112.5,48.5,16,18,72,,12.5,8,0.5670000000000001,34,0.353,12,60.3,38,0.5329999999999999,17.3,14,26,0.5,13,0.474,9,"Draddy Gymnasium, Riverdale, New York",IONA,Iona,63.6,Home,MANHATTAN,Manhattan,Manhattan,maac,18,True,False,True,Home,True,12,13,60,38,63,6,9,46,1,0,135,263,1011,0.460435212660732,584,1191,0.4903442485306465,118,259,943,0.4623541887592789,0.4444444444444444
19,2020-02-07-19-manhattan,38.1,8,12.1,4,114.9,53.1,17,0.425,53,0.396,21,0.358,19,0.737,14,15,200,88.1,32.4,11,22,59,,13.4,9,0.264,14,0.214,3,42.4,28,0.47600000000000003,19.6,15,39,0.462,18,0.318,7,"February 7, 2020",83.3,20,15.4,6,88.1,67.6,23,0.5,56,0.429,24,0.5,28,0.75,21,10,200,114.9,46.9,15,22,77,,7.5,5,0.41100000000000003,23,0.348,8,57.6,38,0.556,17.0,14,33,0.485,16,0.5,10,"Draddy Gymnasium, Riverdale, New York",NIAGARA,Niagara,67.2,Home,MANHATTAN,Manhattan,Manhattan,maac,19,True,False,True,Home,True,8,16,56,38,66,3,18,53,1,0,147,276,1071,0.4635854341736695,622,1254,0.4960127591706539,124,268,989,0.4590495449949444,0.4736842105263158
20,2020-02-09-14-quinnipiac,37.5,9,28.6,6,88.7,69.2,18,0.473,56,0.429,24,0.39299999999999996,22,0.545,12,10,200,91.5,10.0,3,19,65,,21.1,15,0.33899999999999997,19,0.263,5,37.5,21,0.489,10.9,8,37,0.514,19,0.524,11,"February 9, 2020",63.2,12,10.8,4,91.5,90.0,27,0.544,45,0.42200000000000004,19,0.42200000000000004,19,0.737,14,11,200,88.7,30.8,8,19,63,,2.8,2,0.5329999999999999,24,0.45799999999999996,11,62.5,35,0.583,31.9,25,21,0.381,8,0.5,11,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,71.2,Away,MANHATTAN,Manhattan,Manhattan,maac,20,False,False,False,Away,True,5,19,56,21,56,11,8,45,1,0,155,292,1127,0.4653948535936114,660,1320,0.5,127,286,1042,0.4572936660268714,0.5
21,2020-02-14-19-iona,57.1,12,14.3,5,123.1,80.0,16,0.387,62,0.33899999999999997,21,0.33899999999999997,21,0.429,9,11,200,87.7,27.9,12,21,57,,3.1,2,0.435,27,0.222,6,44.4,28,0.396,6.6,5,35,0.429,15,0.5,11,"February 14, 2020",76.9,20,17.1,6,87.7,72.1,31,0.583,48,0.542,26,0.583,28,0.857,24,12,200,123.1,20.0,4,21,80,,1.5,1,0.271,13,0.308,4,55.6,35,0.653,11.7,8,35,0.629,22,0.4,8,"Hynes Athletics Center, New Rochelle, New York",MANHATTAN,Manhattan,65.1,Home,IONA,Iona,Manhattan,maac,21,False,False,False,Away,False,6,15,62,28,63,4,22,48,0,1,160,311,1183,0.4657650042265427,681,1376,0.4949127906976744,138,294,1087,0.4609015639374425,0.5238095238095238
22,2020-02-16-14-siena,36.4,8,8.5,4,101.6,73.5,25,0.42,56,0.39299999999999996,22,0.161,9,0.556,5,12,200,81.3,22.9,8,17,52,,6.3,4,0.23199999999999998,13,0.231,3,47.8,33,0.431,17.8,13,43,0.442,19,0.478,11,"February 16, 2020",50.0,14,11.6,5,81.3,77.1,27,0.509,57,0.491,28,0.263,15,0.467,7,10,200,101.6,26.5,9,14,65,,7.8,5,0.175,10,0.2,2,52.2,36,0.507,11.2,8,47,0.5529999999999999,26,0.565,13,"Times Union Center , Albany, New York",MANHATTAN,Manhattan,64.2,Home,SIENA,Siena,Manhattan,maac,22,False,False,False,Away,False,3,19,56,33,69,2,26,57,0,1,166,326,1245,0.461847389558233,709,1439,0.4927032661570535,142,316,1135,0.466079295154185,0.5
23,2020-02-21-19-manhattan,59.1,13,18.2,6,95.5,75.0,18,0.461,51,0.431,22,0.569,29,0.69,20,11,200,100.0,43.3,13,23,67,,9.0,6,0.196,10,0.3,3,57.4,31,0.517,20.1,16,41,0.46299999999999997,19,0.56,14,"February 21, 2020",63.6,14,17.1,7,100.0,56.7,17,0.544,45,0.489,22,0.467,21,0.7140000000000001,15,13,200,95.5,25.0,6,25,64,,9.0,6,0.267,12,0.41700000000000004,5,42.6,23,0.5820000000000001,24.9,18,33,0.515,17,0.45799999999999996,11,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,67.4,Away,SAINT-PETERS,St. Peter's,Manhattan,maac,23,False,True,True,Home,False,5,17,45,23,54,3,19,51,0,1,169,345,1301,0.4600307455803228,742,1508,0.4920424403183024,144,342,1192,0.4681208053691275,0.4782608695652174
24,2020-02-23-14-manhattan,66.7,12,5.4,2,90.3,66.7,18,0.418,49,0.3670000000000001,18,0.408,20,0.8,16,17,200,91.9,25.8,8,19,57,,11.3,7,0.28600000000000003,14,0.35700000000000004,5,44.8,26,0.48700000000000004,14.7,10,35,0.371,13,0.37,10,"February 23, 2020",66.7,14,14.3,5,91.9,74.2,23,0.449,49,0.429,21,0.38799999999999996,19,0.632,12,14,200,90.3,33.3,9,19,56,,9.7,6,0.245,12,0.16699999999999998,2,55.2,32,0.483,19.6,14,37,0.514,19,0.44,11,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,61.8,Away,CANISIUS,Canisius,Manhattan,maac,24,False,True,True,Home,False,2,19,49,32,58,5,13,49,0,1,174,362,1346,0.462852897473997,765,1562,0.4897567221510883,147,361,1243,0.4678197908286404,0.4583333333333333
25,2020-02-26-19-manhattan,70.0,14,0.0,0,103.2,63.0,17,0.535,43,0.465,20,0.395,17,0.588,10,19,200,88.9,21.7,5,22,56,,17.5,11,0.3720000000000001,16,0.375,6,44.0,22,0.5479999999999999,26.3,18,27,0.519,14,0.26899999999999996,7,"February 26, 2020",65.2,15,11.1,3,88.9,78.3,18,0.556,45,0.511,23,0.556,25,0.6,15,14,200,103.2,37.0,10,15,65,,15.9,10,0.35600000000000004,16,0.25,4,56.0,28,0.5710000000000001,22.2,16,29,0.655,19,0.462,12,"Draddy Gymnasium, Riverdale, New York",MARIST,Marist,63.5,Home,MANHATTAN,Manhattan,Manhattan,maac,25,True,False,True,Home,True,4,19,45,28,50,6,14,43,1,0,176,381,1395,0.4623655913978494,797,1620,0.4919753086419753,152,374,1292,0.4659442724458204,0.44
26,2020-03-01-14-monmouth,36.4,8,18.2,6,114.3,64.3,18,0.45299999999999996,53,0.415,22,0.415,22,0.545,12,15,200,85.7,28.6,10,24,60,,15.7,11,0.415,22,0.182,4,44.4,28,0.473,20.3,16,31,0.581,18,0.444,12,"March 1, 2020",48.0,12,6.5,2,85.7,71.4,25,0.5710000000000001,49,0.51,25,0.6940000000000001,34,0.706,24,12,200,114.3,35.7,10,22,80,,14.3,10,0.327,16,0.375,6,55.6,35,0.614,20.0,16,33,0.5760000000000001,19,0.586,17,"Multipurpose Activity Center, West Long Branch, New Jersey",MANHATTAN,Manhattan,70.3,Home,MONMOUTH,Monmouth,Manhattan,maac,26,False,False,False,Away,False,4,18,53,28,63,6,19,49,0,1,180,400,1440,0.4652777777777778,825,1670,0.4940119760479042,158,388,1335,0.4681647940074906,0.4615384615384616
27,2020-03-04-19-rider,35.0,7,15.2,5,98.6,71.9,23,0.39799999999999996,59,0.33899999999999997,20,0.305,18,0.667,12,16,200,81.9,28.2,11,27,59,,11.1,8,0.322,19,0.368,7,47.9,34,0.4370000000000001,19.3,16,40,0.325,13,0.429,12,"March 4, 2020",54.2,13,10.0,4,81.9,71.8,28,0.551,49,0.49,24,0.735,36,0.47200000000000003,17,12,200,98.6,28.1,9,20,71,,11.1,8,0.327,16,0.375,6,52.1,37,0.537,17.8,14,33,0.545,18,0.6,18,"Alumni Gymnasium, Lawrenceville, New Jersey",MANHATTAN,Manhattan,71.8,Home,RIDER,Rider,Manhattan,maac,27,False,False,False,Away,False,7,13,59,34,71,6,18,49,0,1,184,418,1493,0.4648359008707301,853,1733,0.4922100403923832,164,407,1384,0.4718208092485549,0.4444444444444444
