,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LIPSCOMB_homegame,LIPSCOMB_homegame2,LIPSCOMB_home,LIPSCOMB_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-19-lipscomb,30.4,7,0.0,0,108.3,77.8,21,0.5,54,0.426,23,0.315,17,0.353,6,8,200,83.3,24.2,8,17,60,,12.5,9,0.444,24,0.33299999999999996,8,48.3,29,0.483,20.7,16,30,0.5,15,0.273,3,"December 17, 2019",64.3,18,13.3,4,83.3,75.8,25,0.609,55,0.509,28,0.309,17,0.647,11,6,200,108.3,22.2,6,15,78,,8.3,6,0.455,25,0.44,11,51.7,31,0.618,21.4,17,30,0.5670000000000001,17,0.455,5,"Allen Arena, Nashville, Tennessee",TENNESSEE-TECH,Tennessee Tech,72.1,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,10,True,False,True,Home,True,11,17,55,31,60,8,15,54,1,0,66,212,609,0.5106732348111659,346,695,0.497841726618705,86,177,633,0.4834123222748815,0.4
11,2019-12-20-19-vermont,76.2,16,2.7,1,114.7,68.8,22,0.4,65,0.32299999999999995,21,0.24600000000000002,16,0.688,11,7,200,84.0,20.0,9,23,63,,8.0,6,0.415,27,0.37,10,40.3,31,0.434,13.2,11,38,0.289,11,0.41700000000000004,5,"December 20, 2019",53.6,15,23.7,9,84.0,80.0,36,0.55,60,0.467,28,0.41700000000000004,25,0.8,20,5,200,114.7,31.3,10,15,86,,8.0,6,0.38299999999999995,23,0.435,10,59.7,46,0.598,15.5,13,37,0.486,18,0.615,8,"Roy L. Patrick Gymnasium, Burlington, Vermont",LIPSCOMB,Lipscomb,74.7,Home,VERMONT,Vermont,Lipscomb,atlantic-sun,11,False,False,False,Away,False,10,11,65,31,77,10,18,60,0,1,77,229,664,0.5188253012048193,377,755,0.4993377483443709,94,192,687,0.4847161572052402,0.4545454545454545
12,2019-12-29-16-auburn,45.5,10,0.0,0,128.4,48.4,15,0.43,57,0.386,22,0.263,15,0.667,10,8,200,88.1,28.1,9,20,59,,9.0,6,0.368,21,0.23800000000000002,5,38.1,24,0.46,17.0,13,36,0.47200000000000003,17,0.385,5,"December 29, 2019",67.7,21,25.0,9,88.1,71.9,23,0.617,60,0.517,31,0.28300000000000003,17,0.706,12,0,200,128.4,51.6,16,16,86,8.0,9.0,6,0.5329999999999999,32,0.375,12,61.9,39,0.632,16.2,13,28,0.679,19,1.0,12,"Auburn Arena, Auburn, Alabama",LIPSCOMB,Lipscomb,66.6,Home,AUBURN,Auburn,Lipscomb,atlantic-sun,12,False,False,False,Away,False,5,17,57,24,63,12,19,60,0,1,87,240,729,0.5082304526748971,408,832,0.4903846153846154,104,210,747,0.4899598393574297,0.4166666666666667
13,2020-01-02-19-stetson,90.0,18,7.7,3,98.4,69.6,16,0.5429999999999999,47,0.426,20,0.46799999999999997,22,0.682,15,8,200,103.1,25.0,6,15,66,,7.8,5,0.638,30,0.3670000000000001,11,46.8,22,0.574,16.3,11,17,0.529,9,0.429,6,"January 2, 2020",52.0,13,17.6,3,103.1,75.0,18,0.5,55,0.455,25,0.255,14,0.5710000000000001,8,10,200,98.4,30.4,7,17,63,,12.5,8,0.29100000000000004,16,0.313,5,53.2,25,0.511,14.1,10,39,0.513,20,0.375,6,"Edmunds Center, DeLand, Florida",STETSON,Stetson,63.6,Away,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,13,False,False,False,Away,True,11,9,47,22,47,5,20,55,1,0,92,257,786,0.5025445292620865,432,895,0.4826815642458101,116,229,807,0.4993804213135068,0.38461538461538464
14,2020-01-04-19-florida-gulf-coast,54.2,13,10.7,3,100.0,72.0,18,0.444,63,0.381,24,0.159,10,0.5,5,9,200,89.7,28.9,11,13,61,,11.8,8,0.429,27,0.29600000000000004,8,46.0,29,0.45,16.2,13,36,0.444,16,0.4,6,"January 4, 2020",53.8,14,8.3,3,89.7,71.1,27,0.635,48,0.542,26,0.271,13,0.5379999999999999,7,13,200,100.0,28.0,7,13,68,,7.4,5,0.41700000000000004,20,0.45,9,54.0,34,0.628,26.1,19,28,0.607,17,0.235,4,"Alico Arena, Fort Myers, Florida",LIPSCOMB,Lipscomb,68.0,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Lipscomb,atlantic-sun,14,False,False,False,Away,False,8,16,63,29,63,9,17,48,0,1,103,266,833,0.5048019207683073,454,942,0.4819532908704883,121,249,862,0.4994199535962877,0.42857142857142855
15,2020-01-09-19-lipscomb,33.3,9,12.8,5,118.1,64.7,22,0.555,55,0.491,27,0.29100000000000004,16,0.75,12,15,200,101.4,7.4,2,13,73,,8.3,6,0.345,19,0.368,7,39.3,24,0.583,15.1,11,36,0.556,20,0.062,1,"January 9, 2020",62.5,20,5.6,2,101.4,92.6,25,0.5920000000000001,65,0.4920000000000001,32,0.215,14,0.5710000000000001,8,9,200,118.1,35.3,12,13,85,,5.6,4,0.4,26,0.5,13,60.7,37,0.593,15.4,13,39,0.48700000000000004,19,0.43799999999999994,7,"Allen Arena, Nashville, Tennessee",KENNESAW-STATE,Kennesaw State,72.1,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,15,True,False,True,Home,True,13,19,65,37,61,7,20,55,1,0,111,282,896,0.5005580357142857,483,1005,0.4805970149253732,130,266,910,0.5065934065934066,0.4
16,2020-01-11-17-lipscomb,36.0,9,11.4,4,97.2,73.7,28,0.508,59,0.424,25,0.45799999999999996,27,0.815,22,10,200,115.5,27.3,9,19,82,,7.0,5,0.373,22,0.455,10,52.1,37,0.5710000000000001,11.3,9,37,0.405,15,0.41200000000000003,7,"January 11, 2020",61.9,13,10.8,4,115.5,72.7,24,0.455,55,0.382,21,0.564,31,0.613,19,10,200,97.2,26.3,10,19,69,,5.6,4,0.364,20,0.4,8,47.9,34,0.495,12.7,10,35,0.371,13,0.41200000000000003,7,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,70.8,Away,NORTH-ALABAMA,North Alabama,Lipscomb,atlantic-sun,16,False,True,True,Home,False,8,13,55,34,71,10,15,59,0,1,124,301,961,0.5067637877211238,520,1066,0.4878048780487805,137,286,965,0.5093264248704663,0.4375
17,2020-01-16-12-njit,45.0,9,0.0,0,119.0,75.0,18,0.396,53,0.377,20,0.321,17,0.882,15,11,200,90.5,14.7,5,13,57,,9.5,6,0.28300000000000003,15,0.133,2,39.7,23,0.467,11.7,8,38,0.474,18,0.389,7,"January 16, 2020",68.8,22,2.6,1,90.5,85.3,29,0.636,55,0.5820000000000001,32,0.218,12,0.41700000000000004,5,12,200,119.0,25.0,6,11,75,,11.1,7,0.255,14,0.429,6,60.3,35,0.618,11.7,8,41,0.634,26,0.294,5,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",LIPSCOMB,Lipscomb,63.4,Home,NJIT,NJIT,Lipscomb,atlantic-sun,17,False,False,False,Away,False,2,18,53,23,58,6,26,55,0,1,132,314,1016,0.5039370078740157,554,1137,0.4872471416007036,147,301,1024,0.50927734375,0.4117647058823529
18,2020-01-18-19-liberty,60.0,12,0.0,0,108.1,71.4,25,0.5429999999999999,46,0.435,20,0.304,14,0.7140000000000001,10,12,200,96.8,16.7,4,19,60,,4.8,3,0.565,26,0.385,10,49.2,29,0.57,22.3,15,20,0.5,10,0.368,7,"January 18, 2020",43.5,10,0.0,0,96.8,83.3,20,0.5,53,0.434,23,0.415,22,0.636,14,1,200,108.1,28.6,10,11,67,,11.3,7,0.415,22,0.318,7,50.8,30,0.528,10.0,7,31,0.516,16,0.95,19,"Vines Center, Lynchburg, Virginia",LIPSCOMB,Lipscomb,62.1,Home,LIBERTY,Liberty,Lipscomb,atlantic-sun,18,False,False,False,Away,False,10,10,46,29,59,7,16,53,0,1,134,332,1069,0.4985968194574368,577,1195,0.4828451882845188,153,327,1079,0.5157553290083411,0.3888888888888889
19,2020-01-23-19-lipscomb,32.3,10,8.0,4,107.6,78.9,30,0.59,61,0.508,31,0.39299999999999996,24,0.708,17,12,225,112.7,25.8,8,19,89,,6.3,5,0.377,23,0.435,10,55.1,38,0.615,15.4,13,38,0.5529999999999999,21,0.429,9,"January 23, 2020",43.3,13,7.9,3,112.7,74.2,23,0.486,70,0.429,30,0.35700000000000004,25,0.68,17,13,225,107.6,21.1,8,23,85,,10.1,8,0.28600000000000003,20,0.4,8,44.9,31,0.519,8.0,7,50,0.44,22,0.35,7,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,70.3,Away,JACKSONVILLE,Jacksonville,Lipscomb,atlantic-sun,19,False,True,True,Home,False,8,22,70,31,69,10,21,61,0,1,144,342,1115,0.5004484304932736,606,1254,0.4832535885167464,160,343,1132,0.515017667844523,0.3684210526315789
20,2020-01-25-17-lipscomb,41.7,10,16.4,9,118.1,71.9,23,0.4920000000000001,62,0.387,24,0.27399999999999997,17,0.706,12,10,200,101.4,17.1,7,17,73,,6.9,5,0.565,35,0.371,13,41.1,30,0.521,10.3,8,27,0.40700000000000003,11,0.545,12,"January 25, 2020",51.6,16,7.4,2,101.4,82.9,34,0.531,64,0.484,31,0.344,22,0.773,17,13,200,118.1,28.1,9,14,85,,5.6,4,0.141,9,0.667,6,58.9,43,0.5710000000000001,9.8,8,55,0.455,25,0.381,8,"Allen Arena, Nashville, Tennessee",NORTH-FLORIDA,North Florida,72.3,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,20,True,False,True,Home,True,6,25,64,43,73,13,11,62,1,0,152,364,1185,0.49957805907173003,637,1323,0.4814814814814815,170,364,1193,0.5188600167644594,0.35
21,2020-02-01-17-lipscomb,27.3,6,4.2,1,96.4,60.7,17,0.51,48,0.45799999999999996,22,0.20800000000000002,10,0.6,6,12,200,100.0,16.0,4,11,55,,16.4,9,0.313,15,0.33299999999999996,5,39.6,21,0.521,8.7,5,33,0.515,17,0.5,12,"February 1, 2020",50.0,9,6.1,2,100.0,84.0,21,0.457,47,0.38299999999999995,18,0.255,12,0.833,10,14,200,96.4,39.3,11,13,53,,7.3,4,0.489,23,0.304,7,60.4,32,0.503,22.3,15,24,0.45799999999999996,11,0.364,8,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,55.2,Away,STETSON,Stetson,Lipscomb,atlantic-sun,21,False,True,True,Home,False,7,11,47,32,53,5,17,48,0,1,158,389,1249,0.5012009607686149,680,1396,0.4871060171919771,183,375,1255,0.5175298804780877,0.3809523809523809
22,2020-02-06-19-north-alabama,50.0,15,4.5,2,94.7,69.0,29,0.522,67,0.44799999999999995,30,0.16399999999999998,11,0.273,3,14,200,97.3,25.0,9,18,73,,5.3,4,0.358,24,0.41700000000000004,10,48.7,38,0.505,16.3,14,43,0.465,20,0.391,9,"February 6, 2020",50.0,14,7.0,3,97.3,75.0,27,0.47,66,0.424,28,0.258,17,0.529,9,13,200,94.7,31.0,13,15,71,,10.7,8,0.33299999999999996,22,0.273,6,51.3,40,0.479,14.0,12,44,0.5,22,0.435,10,"Flowers Hall, Florence, Alabama",NORTH-ALABAMA,North Alabama,75.2,Away,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,22,False,False,False,Away,True,10,20,67,38,78,6,22,66,1,0,165,400,1296,0.4996141975308642,712,1449,0.4913733609385783,188,392,1303,0.5172678434382195,0.3636363636363637
23,2020-02-08-16-kennesaw-state,29.6,8,6.7,3,95.7,74.3,26,0.519,54,0.5,27,0.40700000000000003,22,0.727,16,14,200,104.3,23.3,7,15,72,,4.3,3,0.278,15,0.133,2,50.8,33,0.5589999999999999,15.9,12,39,0.6409999999999999,25,0.41700000000000004,10,"February 8, 2020",33.3,8,0.0,0,104.3,76.7,23,0.418,61,0.39299999999999996,24,0.32799999999999996,20,0.75,15,22,200,95.7,25.7,9,20,66,,7.2,5,0.262,16,0.188,3,49.2,32,0.46799999999999997,10.3,8,45,0.467,21,0.043,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,69.5,Away,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,23,False,False,False,Away,True,2,25,54,33,65,3,21,61,1,0,175,420,1363,0.5007336757153338,750,1527,0.4911591355599214,194,414,1369,0.5149744338933528,0.39130434782608703
24,2020-02-13-19-lipscomb,40.9,9,7.7,3,111.6,81.8,18,0.387,62,0.355,22,0.29,18,0.833,15,17,200,91.3,25.6,10,14,63,,8.7,6,0.355,22,0.182,4,45.9,28,0.446,11.4,9,40,0.45,18,0.292,7,"February 13, 2020",54.8,17,5.0,2,91.3,74.4,29,0.609,55,0.564,31,0.23600000000000002,13,0.769,10,14,200,111.6,18.2,4,16,77,,7.2,5,0.29100000000000004,16,0.313,5,54.1,33,0.629,16.5,12,39,0.667,26,0.44,11,"Allen Arena, Nashville, Tennessee",NJIT,NJIT,69.4,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,24,True,False,True,Home,True,5,26,55,33,61,4,18,62,1,0,177,445,1417,0.5014114326040932,783,1592,0.4918341708542714,197,435,1430,0.5108391608391608,0.4166666666666667
25,2020-02-15-17-lipscomb,50.0,10,12.9,4,95.5,81.3,26,0.462,53,0.377,20,0.132,7,0.7140000000000001,5,20,200,80.6,23.5,8,15,54,,3.0,2,0.491,26,0.34600000000000003,9,51.5,34,0.479,25.3,19,27,0.40700000000000003,11,0.28600000000000003,8,"February 15, 2020",60.0,12,3.7,1,80.6,76.5,26,0.452,52,0.385,20,0.40399999999999997,21,0.81,17,14,200,95.5,18.8,6,11,64,,14.9,10,0.40399999999999997,21,0.33299999999999996,7,48.5,32,0.516,14.0,10,31,0.419,13,0.462,12,"Allen Arena, Nashville, Tennessee",FLORIDA-GULF-COAST,Florida Gulf Coast,66.7,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,25,True,False,True,Home,True,7,13,52,32,66,9,11,53,1,0,182,471,1472,0.5054347826086957,816,1653,0.4936479128856625,201,453,1492,0.5056970509383378,0.44
26,2020-02-20-19-jacksonville,28.0,7,8.6,3,103.1,87.0,20,0.491,55,0.455,25,0.364,20,0.7,14,14,200,104.6,30.8,8,12,68,,7.7,5,0.255,14,0.28600000000000003,4,57.1,28,0.527,14.7,11,41,0.512,21,0.48100000000000004,13,"February 20, 2020",28.0,7,14.6,6,104.6,69.2,18,0.56,50,0.5,25,0.3,15,0.733,11,16,200,103.1,13.0,3,17,67,,9.2,6,0.3,15,0.4,6,42.9,21,0.586,13.7,9,35,0.5429999999999999,19,0.429,12,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,65.3,Away,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,26,False,False,False,Away,True,4,21,55,28,49,6,19,50,1,0,189,484,1524,0.5036089238845144,848,1719,0.4933100639906922,210,464,1545,0.5042071197411003,0.4615384615384616
