,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-MONROE_homegame,LOUISIANA-MONROE_homegame2,LOUISIANA-MONROE_home,LOUISIANA-MONROE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-28-16-butler,35.7,5,8.8,3,95.7,89.3,25,0.258,60,0.233,14,0.233,14,0.35700000000000004,5,7,200,51.4,19.0,8,8,36,,5.7,4,0.267,16,0.188,3,47.1,33,0.27,14.3,11,44,0.25,11,0.364,4,"December 28, 2019",63.0,17,6.8,3,51.4,81.0,34,0.517,59,0.45799999999999996,27,0.136,8,0.75,6,1,200,95.7,10.7,3,15,67,12.0,7.1,5,0.424,25,0.28,7,52.9,37,0.5329999999999999,13.8,10,34,0.588,20,0.9229999999999999,12,"Hinkle Fieldhouse, Indianapolis, Indiana",LOUISIANA-MONROE,Louisiana-Monroe,69.7,Home,BUTLER,Butler,Louisiana-Monroe,sun-belt,10,False,False,False,Away,False,3,11,60,33,70,7,20,59,0,1,63,169,523,0.5038240917782026,322,622,0.5176848874598071,62,167,563,0.4618117229129662,0.4
11,2020-01-02-20-louisiana-monroe,52.2,12,11.4,4,111.3,58.3,14,0.457,58,0.397,23,0.31,18,0.556,10,9,200,88.7,28.6,10,26,63,,5.6,4,0.397,23,0.304,7,40.7,24,0.473,19.5,16,35,0.457,16,0.35700000000000004,5,"January 2, 2020",54.2,13,20.0,7,88.7,71.4,25,0.5760000000000001,46,0.522,24,0.7390000000000001,34,0.765,26,7,200,111.3,41.7,10,18,79,,5.6,4,0.239,11,0.455,5,59.3,35,0.636,21.8,17,35,0.5429999999999999,19,0.41700000000000004,5,"Fant-Ewing Coliseum, Monroe, Louisiana",TROY,Troy,70.9,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,11,True,False,True,Home,True,5,19,46,35,59,7,16,58,1,0,66,180,583,0.4785591766723842,355,692,0.5130057803468208,69,187,622,0.4670418006430868,0.3636363636363637
12,2020-01-04-15-louisiana-monroe,50.0,9,0.0,0,115.0,56.0,14,0.40399999999999997,47,0.38299999999999995,18,0.36200000000000004,17,0.647,11,7,200,81.7,18.5,5,7,49,,11.7,7,0.298,14,0.14300000000000002,2,36.5,19,0.445,18.1,12,33,0.485,16,0.5329999999999999,8,"January 4, 2020",74.1,20,12.1,4,81.7,81.5,22,0.605,57,0.474,27,0.0,0,,0,7,200,115.0,44.0,11,13,69,,6.7,4,0.561,32,0.469,15,63.5,33,0.605,17.4,12,25,0.48,12,0.462,6,"Fant-Ewing Coliseum, Monroe, Louisiana",SOUTH-ALABAMA,South Alabama,60.0,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,12,True,False,True,Home,True,15,12,57,33,52,2,16,47,1,0,71,199,629,0.4856915739268681,390,751,0.5193075898801598,76,203,680,0.4661764705882353,0.4166666666666667
13,2020-01-06-19-coastal-carolina,63.2,12,9.4,3,125.7,58.6,17,0.461,51,0.373,19,0.431,22,0.773,17,8,200,86.5,14.3,5,14,64,,8.1,6,0.451,23,0.391,9,34.4,22,0.521,19.8,15,28,0.35700000000000004,10,0.429,6,"January 6, 2020",50.0,17,10.7,3,86.5,85.7,30,0.637,62,0.5479999999999999,34,0.306,19,0.737,14,6,200,125.7,41.4,12,18,93,,12.2,9,0.484,30,0.3670000000000001,11,65.6,42,0.655,19.5,17,32,0.7190000000000001,23,0.625,10,"The HTC Center, Conway, South Carolina",LOUISIANA-MONROE,Louisiana-Monroe,73.7,Home,COASTAL-CAROLINA,Coastal Carolina,Louisiana-Monroe,sun-belt,13,False,False,False,Away,False,9,10,51,22,64,11,23,62,0,1,86,211,686,0.4956268221574344,423,803,0.526774595267746,78,219,727,0.4621733149931224,0.4615384615384616
14,2020-01-09-19-georgia-southern,40.9,9,6.9,2,108.1,61.3,19,0.435,54,0.40700000000000003,22,0.222,12,0.75,9,9,200,90.3,22.6,7,17,56,,8.1,5,0.278,15,0.2,3,41.9,26,0.469,11.9,8,39,0.48700000000000004,19,0.4,6,"January 9, 2020",60.9,14,10.3,4,90.3,77.4,24,0.466,58,0.397,23,0.31,18,0.722,13,7,200,108.1,38.7,12,12,67,,8.1,5,0.5,29,0.276,8,58.1,36,0.503,12.0,9,29,0.517,15,0.588,10,"Hanner Fieldhouse, Statesboro, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,62.1,Home,GEORGIA-SOUTHERN,Georgia Southern,Louisiana-Monroe,sun-belt,14,False,False,False,Away,False,3,19,54,26,62,8,15,58,0,1,95,221,737,0.4932157394843962,445,867,0.5132641291810842,89,242,789,0.4759188846641318,0.42857142857142855
15,2020-01-11-14-georgia-state,25.0,5,13.8,4,123.5,71.4,15,0.441,51,0.392,20,0.51,26,0.654,17,10,200,91.2,26.7,8,16,62,,5.9,4,0.294,15,0.33299999999999996,5,45.1,23,0.489,18.3,14,36,0.41700000000000004,15,0.375,6,"January 11, 2020",60.0,18,16.7,6,91.2,73.3,22,0.7020000000000001,52,0.5770000000000001,30,0.28800000000000003,15,0.733,11,6,200,123.5,28.6,6,20,84,,8.8,6,0.442,23,0.565,13,54.9,28,0.71,18.2,13,29,0.586,17,0.667,12,"GSU Sports Arena, Atlanta, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,67.7,Home,GEORGIA-STATE,Georgia State,Louisiana-Monroe,sun-belt,15,False,False,False,Away,False,5,15,51,23,51,13,17,52,0,1,98,240,791,0.4892541087231353,471,929,0.5069967707212056,97,257,847,0.475206611570248,0.4
16,2020-01-16-20-louisiana-monroe,42.9,9,9.7,3,101.6,77.3,17,0.402,56,0.375,21,0.41100000000000003,23,0.826,19,8,200,103.2,31.3,10,14,64,,9.7,6,0.268,15,0.2,3,50.0,27,0.478,8.3,6,41,0.439,18,0.579,11,"January 16, 2020",70.8,17,7.3,3,103.2,68.8,22,0.561,49,0.49,24,0.22399999999999998,11,0.727,8,11,200,101.6,22.7,5,18,63,,0.0,0,0.3670000000000001,18,0.389,7,50.0,27,0.581,18.2,12,31,0.5479999999999999,17,0.353,6,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,62.1,Away,TEXAS-STATE,Texas State,Louisiana-Monroe,sun-belt,16,False,True,True,Home,False,7,17,49,27,54,3,18,56,0,1,103,255,842,0.4863420427553444,494,980,0.5040816326530613,110,274,899,0.4883203559510567,0.375
17,2020-01-18-15-louisiana-monroe,60.9,14,5.1,2,87.9,83.3,30,0.455,56,0.41100000000000003,23,0.5710000000000001,32,0.8440000000000001,27,12,200,118.2,51.5,17,22,78,,3.0,2,0.39299999999999996,22,0.22699999999999998,5,68.1,47,0.5479999999999999,13.6,11,34,0.529,18,0.4,8,"January 18, 2020",57.1,12,5.9,2,118.2,48.5,16,0.409,55,0.382,21,0.382,21,0.619,13,12,200,87.9,16.7,6,22,58,,4.5,3,0.29100000000000004,16,0.188,3,31.9,22,0.446,9.8,7,39,0.462,18,0.33299999999999996,6,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,65.6,Away,TEXAS-ARLINGTON,Texas-Arlington,Louisiana-Monroe,sun-belt,17,False,True,True,Home,False,3,18,55,22,69,5,18,56,0,1,110,272,891,0.4904601571268238,521,1034,0.5038684719535783,113,292,955,0.4832460732984293,0.35294117647058826
18,2020-01-25-20-louisiana-lafayette,30.4,7,3.6,1,109.5,77.4,24,0.408,60,0.38299999999999995,23,0.35,21,0.524,11,13,200,81.1,27.8,10,20,60,,10.8,8,0.267,16,0.188,3,50.7,34,0.429,15.8,13,44,0.455,20,0.316,6,"January 25, 2020",56.5,13,13.6,6,81.1,72.2,26,0.519,53,0.434,23,0.604,32,0.813,26,13,200,109.5,22.6,7,22,81,,9.5,7,0.47200000000000003,25,0.36,9,49.3,33,0.594,17.3,14,28,0.5,14,0.381,8,"Cajundome, Lafayette, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,74.1,Home,LOUISIANA-LAFAYETTE,Louisiana,Louisiana-Monroe,sun-belt,18,False,False,False,Away,False,3,20,60,34,67,9,14,53,0,1,113,290,946,0.4857293868921776,543,1103,0.4922937443336355,118,310,1011,0.4817012858555885,0.3333333333333333
19,2020-01-30-20-texas-state,38.9,7,7.3,3,110.9,66.7,24,0.40399999999999997,47,0.38299999999999995,18,0.34,16,0.813,13,14,200,79.7,17.2,5,20,51,,3.1,2,0.27699999999999997,13,0.154,2,44.6,29,0.467,16.9,11,34,0.47100000000000003,16,0.3,6,"January 30, 2020",68.2,15,2.9,1,79.7,82.8,24,0.41,61,0.361,22,0.45899999999999996,28,0.75,21,9,200,110.9,33.3,12,17,71,,6.3,4,0.32799999999999996,20,0.3,6,55.4,36,0.478,6.4,5,41,0.39,16,0.591,13,"Strahan Coliseum, San Marcos, Texas",LOUISIANA-MONROE,Louisiana-Monroe,64.0,Home,TEXAS-STATE,Texas State,Louisiana-Monroe,sun-belt,19,False,False,False,Away,False,2,16,47,29,65,6,16,61,0,1,116,310,1006,0.4811133200795229,577,1170,0.4931623931623932,127,324,1064,0.4835526315789474,0.3157894736842105
20,2020-02-01-15-texas-arlington,60.9,14,7.4,2,117.2,82.8,24,0.439,57,0.40399999999999997,23,0.105,6,0.667,4,15,200,93.1,34.4,11,12,54,,3.4,2,0.24600000000000002,14,0.28600000000000003,4,57.4,35,0.451,14.4,10,43,0.442,19,0.28600000000000003,6,"February 1, 2020",76.9,20,7.0,3,93.1,65.6,21,0.591,55,0.473,26,0.109,6,0.5,3,13,200,117.2,17.2,5,11,68,,5.2,3,0.509,28,0.46399999999999997,13,42.6,26,0.588,8.0,5,27,0.48100000000000004,13,0.435,10,"College Park Center, Arlington, Texas",LOUISIANA-MONROE,Louisiana-Monroe,58.4,Home,TEXAS-ARLINGTON,Texas-Arlington,Louisiana-Monroe,sun-belt,20,False,False,False,Away,False,4,19,57,35,61,13,13,55,0,1,118,326,1053,0.4776828110161444,606,1235,0.4906882591093117,133,340,1125,0.4795555555555556,0.3
21,2020-02-06-20-louisiana-monroe,39.3,11,0.0,0,98.5,72.7,16,0.484,63,0.444,28,0.159,10,0.6,6,10,200,101.5,28.6,10,10,67,,12.1,8,0.317,20,0.25,5,45.6,26,0.494,11.8,9,43,0.535,23,0.583,14,"February 6, 2020",68.0,17,9.3,4,101.5,71.4,25,0.604,48,0.521,25,0.188,9,0.778,7,16,200,98.5,27.3,6,14,65,,3.0,2,0.479,23,0.348,8,54.4,31,0.622,25.7,18,25,0.68,17,0.273,6,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,65.5,Away,GEORGIA-SOUTHERN,Georgia Southern,Louisiana-Monroe,sun-belt,21,False,True,True,Home,False,8,17,48,31,57,5,23,63,0,1,122,345,1110,0.4756756756756757,641,1296,0.4945987654320987,146,353,1180,0.4847457627118644,0.2857142857142857
22,2020-02-08-15-louisiana-monroe,66.7,16,2.6,1,95.8,69.4,25,0.48200000000000004,57,0.42100000000000004,24,0.439,25,0.88,22,9,200,106.9,21.4,6,21,77,,9.7,7,0.456,26,0.26899999999999996,7,48.4,31,0.5589999999999999,13.9,11,31,0.5479999999999999,17,0.64,16,"February 8, 2020",34.8,8,0.0,0,106.9,78.6,22,0.46399999999999997,56,0.41100000000000003,23,0.46399999999999997,26,0.654,17,17,200,95.8,30.6,11,18,69,,6.9,5,0.304,17,0.353,6,51.6,33,0.505,16.2,13,39,0.436,17,0.261,6,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,72.1,Away,GEORGIA-STATE,Georgia State,Louisiana-Monroe,sun-belt,22,False,True,True,Home,False,6,17,56,33,64,7,17,57,0,1,130,362,1158,0.4810017271157168,672,1353,0.4966740576496674,151,376,1243,0.4847144006436042,0.2727272727272727
23,2020-02-13-19-troy,52.0,13,12.0,3,98.6,75.0,27,0.5589999999999999,51,0.49,25,0.49,25,0.68,17,17,200,102.8,6.5,2,28,74,,4.2,3,0.314,16,0.43799999999999994,7,43.3,29,0.588,13.9,10,35,0.514,18,0.292,7,"February 13, 2020",55.0,11,2.9,1,102.8,93.5,29,0.462,53,0.377,20,0.66,35,0.629,22,17,200,98.6,25.0,9,23,71,,9.7,7,0.528,28,0.321,9,56.7,38,0.51,14.9,12,25,0.44,11,0.34600000000000003,9,"Trojan Arena, Troy, Alabama",TROY,Troy,71.8,Away,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,23,False,False,False,Away,True,7,18,51,29,67,9,11,53,1,0,136,379,1214,0.4802306425041186,705,1417,0.497529992942837,158,393,1300,0.4846153846153846,0.2608695652173913
24,2020-02-15-16-south-alabama,70.6,12,14.6,6,79.4,72.1,31,0.389,54,0.315,17,0.222,12,0.583,7,18,200,77.8,29.4,10,19,49,,6.3,4,0.574,31,0.258,8,53.2,41,0.41,16.8,12,23,0.391,9,0.28,7,"February 15, 2020",55.6,10,21.7,5,77.8,70.6,24,0.35100000000000003,57,0.316,18,0.35100000000000003,20,0.5,10,11,200,79.4,27.9,12,16,50,,15.9,10,0.281,16,0.25,4,46.8,36,0.376,12.0,9,41,0.341,14,0.593,16,"Mitchell Center, Mobile, Alabama",LOUISIANA-MONROE,Louisiana-Monroe,62.6,Home,SOUTH-ALABAMA,South Alabama,Louisiana-Monroe,sun-belt,24,False,False,False,Away,False,8,9,54,41,77,4,14,57,0,1,143,397,1265,0.483399209486166,734,1484,0.4946091644204852,167,404,1353,0.48373983739837395,0.2916666666666667
25,2020-02-19-20-arkansas-state,46.2,12,4.8,2,82.5,63.9,23,0.556,54,0.48100000000000004,26,0.185,10,0.6,6,18,200,104.8,24.1,7,15,66,,9.5,6,0.426,23,0.348,8,46.2,30,0.562,15.9,11,31,0.581,18,0.308,8,"February 19, 2020",60.0,12,3.2,1,104.8,75.9,22,0.389,54,0.37,20,0.278,15,0.667,10,13,200,82.5,36.1,13,13,52,,6.3,4,0.222,12,0.16699999999999998,2,53.8,35,0.425,20.9,16,42,0.429,18,0.536,15,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,63.4,Away,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,25,False,False,False,Away,True,8,18,54,30,65,2,18,54,1,0,151,406,1319,0.47952994692949197,775,1561,0.4964766175528507,171,418,1410,0.4783687943262411,0.28
