,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA-STATE_homegame,SOUTH-CAROLINA-STATE_homegame2,SOUTH-CAROLINA-STATE_home,SOUTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-16-college-of-charleston,50.0,11,18.9,7,105.8,96.8,30,0.47100000000000003,51,0.431,22,0.392,20,0.65,13,7,200,88.4,29.0,9,17,61,,0.0,0,0.33299999999999996,17,0.235,4,62.9,39,0.504,21.1,16,34,0.529,18,0.364,4,"December 21, 2019",50.0,14,14.7,5,88.4,71.0,22,0.5429999999999999,58,0.483,28,0.276,16,0.625,10,6,200,105.8,3.2,1,19,73,,10.1,7,0.36200000000000004,21,0.33299999999999996,7,37.1,23,0.556,8.4,6,37,0.568,21,0.5,6,"TD Arena, Charleston, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,69.1,Home,COLLEGE-OF-CHARLESTON,College of Charleston,South Carolina State,meac,10,False,False,False,Away,False,4,18,51,39,62,7,21,58,0,1,54,184,543,0.4880294659300184,284,606,0.4686468646864687,90,202,610,0.5524590163934426,0.4
11,2019-12-30-19-jacksonville,57.1,12,12.9,4,77.6,81.1,30,0.369,65,0.32299999999999995,21,0.24600000000000002,16,0.625,10,7,200,86.6,25.0,11,16,58,,9.0,6,0.385,25,0.24,6,50.6,41,0.39899999999999997,5.3,4,40,0.375,15,0.41700000000000004,5,"December 30, 2019",66.7,12,15.0,6,86.6,75.0,33,0.38,54,0.33299999999999996,18,0.35200000000000004,19,0.579,11,8,200,77.6,18.9,7,18,52,,3.0,2,0.426,23,0.217,5,49.4,40,0.413,16.1,12,31,0.419,13,0.467,7,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,66.8,Away,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,11,False,False,False,Away,True,6,15,65,41,81,5,13,54,1,0,58,202,594,0.4865319865319866,323,668,0.4835329341317365,97,223,668,0.5516467065868264,0.3636363636363637
12,2020-01-04-16-coppin-state,42.9,12,0.0,0,107.1,78.6,22,0.551,59,0.475,28,0.28800000000000003,17,0.8240000000000001,14,7,200,112.9,37.5,12,14,79,,11.4,8,0.33899999999999997,20,0.45,9,56.7,34,0.589,19.4,16,39,0.48700000000000004,19,0.462,6,"January 4, 2020",44.8,13,2.6,1,112.9,62.5,20,0.588,57,0.509,29,0.193,11,0.727,8,12,200,107.1,21.4,6,16,75,,15.7,11,0.579,33,0.273,9,43.3,26,0.603,16.3,12,24,0.833,20,0.25,4,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,69.7,Away,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,12,False,False,False,Away,True,9,19,59,34,60,9,20,57,1,0,64,217,659,0.4749620637329287,364,749,0.485981308411215,102,236,722,0.5387811634349029,0.4166666666666667
13,2020-01-06-19-morgan-state,72.2,13,2.5,1,104.1,68.8,22,0.408,49,0.3670000000000001,18,0.633,31,0.742,23,8,200,85.1,24.1,7,21,63,,6.8,5,0.3670000000000001,18,0.222,4,47.5,29,0.494,22.3,18,31,0.452,14,0.429,6,"January 6, 2020",74.1,20,3.2,1,85.1,75.9,22,0.5,59,0.45799999999999996,27,0.40700000000000003,24,0.75,18,9,200,104.1,31.3,10,25,77,,9.5,7,0.322,19,0.263,5,52.5,32,0.547,15.7,13,40,0.55,22,0.47100000000000003,8,"Hill Field House, Baltimore, Maryland",SOUTH-CAROLINA-STATE,South Carolina State,74.1,Home,MORGAN-STATE,Morgan State,South Carolina State,meac,13,False,False,False,Away,False,4,14,49,29,61,5,22,59,0,1,73,236,718,0.4811977715877437,398,809,0.4919653893695921,111,256,779,0.5423620025673941,0.4615384615384616
14,2020-01-13-19-howard,65.8,25,2.4,1,114.5,73.2,30,0.5720000000000001,76,0.5,38,0.237,18,0.778,14,8,225,121.7,38.7,12,23,101,,4.8,4,0.316,24,0.45799999999999996,11,58.3,42,0.597,13.4,13,52,0.519,27,0.467,7,"January 13, 2020",59.4,19,11.5,6,121.7,61.3,19,0.53,67,0.478,32,0.478,32,0.75,24,16,225,114.5,26.8,11,20,95,,6.0,5,0.38799999999999996,26,0.26899999999999996,7,41.7,30,0.578,10.0,9,41,0.61,25,0.111,2,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,73.7,Away,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,14,False,False,False,Away,True,11,27,76,42,72,7,25,67,1,0,77,250,767,0.4765319426336376,427,870,0.4908045977011494,116,278,838,0.5393794749403341,0.42857142857142855
15,2020-01-18-16-south-carolina-state,57.1,12,5.7,2,115.7,60.9,14,0.436,55,0.382,21,0.455,25,0.68,17,12,200,92.9,24.3,9,22,65,,5.7,4,0.255,14,0.429,6,38.3,23,0.486,13.2,10,41,0.366,15,0.25,4,"January 18, 2020",55.6,15,0.0,0,92.9,75.7,28,0.5920000000000001,49,0.551,27,0.551,27,0.852,23,8,200,115.7,39.1,9,24,81,,7.1,5,0.28600000000000003,14,0.28600000000000003,4,61.7,37,0.655,23.8,19,35,0.657,23,0.5,8,"SHM Memorial Center, Orangeburg, South Carolina",FLORIDA-AM,Florida A&M,69.9,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,15,True,False,True,Home,True,4,23,49,37,60,6,15,55,1,0,88,277,843,0.4851720047449585,469,942,0.4978768577494692,123,303,905,0.5386740331491713,0.4666666666666667
16,2020-01-20-19-south-carolina-state,40.9,9,7.9,3,103.0,76.9,20,0.45299999999999996,53,0.415,22,0.20800000000000002,11,0.455,5,18,200,80.3,16.1,5,21,53,,7.6,5,0.34,18,0.222,4,43.9,25,0.455,18.4,13,35,0.514,18,0.1,2,"January 20, 2020",43.5,10,5.7,2,80.3,83.9,26,0.521,47,0.489,23,0.574,27,0.7040000000000001,19,8,200,103.0,23.1,6,16,68,,1.5,1,0.191,9,0.33299999999999996,3,56.1,32,0.568,16.9,12,38,0.526,20,0.529,9,"SHM Memorial Center, Orangeburg, South Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,66.0,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,16,True,False,True,Home,True,3,20,47,32,57,4,18,53,1,0,92,300,892,0.4910313901345291,506,1002,0.5049900199600799,129,318,960,0.5328125,0.5
17,2020-01-25-18-norfolk-state,55.0,11,9.8,4,105.8,60.6,20,0.41200000000000003,57,0.35100000000000003,20,0.35100000000000003,20,0.75,15,9,200,89.9,27.8,10,20,62,,7.2,5,0.298,17,0.41200000000000003,7,43.5,30,0.466,15.4,12,40,0.325,13,0.5,9,"January 25, 2020",50.0,14,12.5,5,89.9,72.2,26,0.508,62,0.452,28,0.27399999999999997,17,0.588,10,11,200,105.8,39.4,13,12,73,,4.3,3,0.33899999999999997,21,0.33299999999999996,7,56.5,39,0.521,14.7,12,41,0.512,21,0.45,9,"Echols Memorial Hall, Norfolk, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,68.8,Home,NORFOLK-STATE,Norfolk State,South Carolina State,meac,17,False,False,False,Away,False,7,13,57,30,69,7,21,62,0,1,95,320,939,0.4925452609158679,538,1059,0.5080264400377715,133,336,1013,0.5286278381046396,0.5294117647058824
18,2020-01-27-19-south-carolina-state,40.7,11,2.0,1,105.7,55.6,20,0.7879999999999999,40,0.675,27,0.575,23,0.652,15,11,200,111.4,5.9,1,17,78,,4.3,3,0.325,13,0.6920000000000001,9,39.6,21,0.7659999999999999,27.5,19,27,0.667,18,0.47600000000000003,10,"January 27, 2020",27.6,8,3.7,1,111.4,94.1,16,0.462,66,0.439,29,0.28800000000000003,19,0.684,13,10,200,105.7,44.4,16,19,74,,7.1,5,0.258,17,0.17600000000000002,3,60.4,32,0.493,13.9,12,49,0.531,26,0.474,9,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,Away,BETHUNE-COOKMAN,Bethune-Cookman,South Carolina State,meac,18,False,True,True,Home,False,3,26,66,32,53,9,18,40,0,1,102,333,996,0.4879518072289157,568,1128,0.5035460992907801,140,357,1075,0.5274418604651163,0.5
19,2020-02-01-16-north-carolina-central,61.1,11,2.9,1,121.7,70.0,21,0.426,47,0.38299999999999995,18,0.46799999999999997,22,0.727,16,11,200,93.3,30.0,9,15,56,,5.0,3,0.298,14,0.28600000000000003,4,50.0,30,0.48700000000000004,16.3,11,33,0.424,14,0.45,9,"February 1, 2020",58.6,17,6.1,2,93.3,70.0,21,0.589,56,0.518,29,0.28600000000000003,16,0.43799999999999994,7,12,200,121.7,30.0,9,19,73,,10.0,6,0.39299999999999996,22,0.364,8,50.0,30,0.574,8.7,6,34,0.618,21,0.429,9,"McLendon-McDougald Gym, Durham, North Carolina",SOUTH-CAROLINA-STATE,South Carolina State,60.0,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,South Carolina State,meac,19,False,False,False,Away,False,4,14,47,30,60,8,21,56,0,1,105,359,1062,0.4863465160075329,600,1181,0.5080440304826418,149,375,1115,0.5367713004484305,0.4736842105263158
20,2020-02-03-19-north-carolina-at,38.5,10,4.5,2,98.7,73.7,28,0.46,62,0.419,26,0.19399999999999998,12,0.5,6,12,200,79.7,26.5,9,22,63,,3.8,3,0.33899999999999997,21,0.23800000000000002,5,51.4,37,0.465,23.8,21,41,0.512,21,0.429,9,"February 3, 2020",46.2,12,9.8,4,79.7,73.5,25,0.4370000000000001,63,0.413,26,0.54,34,0.6759999999999999,23,12,200,98.7,26.3,10,15,78,,13.9,11,0.302,19,0.158,3,48.6,35,0.493,11.4,10,44,0.523,23,0.5,12,"Ellis Corbett Sports Center, Greensboro, North Carolina",SOUTH-CAROLINA-STATE,South Carolina State,79.4,Home,NORTH-CAROLINA-AT,North Carolina A&T,South Carolina State,meac,20,False,False,False,Away,False,5,21,62,37,72,3,23,63,0,1,109,373,1109,0.4837691614066727,630,1241,0.5076551168412571,157,396,1171,0.5392826643894107,0.45
21,2020-02-10-19-south-carolina-state,18.8,6,9.3,4,123.5,70.4,19,0.562,65,0.4920000000000001,32,0.292,19,0.684,13,20,200,106.2,14.8,4,27,86,,2.5,2,0.354,23,0.391,9,42.6,23,0.581,14.1,12,42,0.5479999999999999,23,0.13,3,"February 10, 2020",45.5,15,9.5,4,106.2,85.2,23,0.632,57,0.579,33,0.684,39,0.718,28,12,200,123.5,29.6,8,22,100,,4.9,4,0.24600000000000002,14,0.429,6,57.4,31,0.662,13.9,12,43,0.628,27,0.455,10,"SHM Memorial Center, Orangeburg, South Carolina",DELAWARE-STATE,Delaware State,80.8,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,21,True,False,True,Home,True,6,27,57,31,54,9,23,65,1,0,114,394,1171,0.4824935952177626,667,1313,0.507996953541508,160,419,1234,0.534035656401945,0.42857142857142855
22,2020-02-15-16-south-carolina-state,41.7,10,8.5,4,98.6,76.5,26,0.452,62,0.387,24,0.226,14,0.7140000000000001,10,19,200,93.0,7.3,3,19,66,,4.2,3,0.29,18,0.444,8,38.7,29,0.48100000000000004,11.7,9,44,0.364,16,0.29600000000000004,8,"February 15, 2020",66.7,16,9.1,4,93.0,92.7,38,0.491,55,0.436,24,0.418,23,0.696,16,12,200,98.6,23.5,8,16,70,,5.6,4,0.145,8,0.75,6,61.3,46,0.531,12.1,9,47,0.38299999999999995,18,0.478,11,"SHM Memorial Center, Orangeburg, South Carolina",COPPIN-STATE,Coppin State,70.8,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,22,True,False,True,Home,True,6,18,55,46,75,8,16,62,1,0,120,421,1228,0.489413680781759,698,1367,0.5106071689831748,169,442,1299,0.5354118552732872,0.4545454545454545
23,2020-02-17-19-south-carolina-state,51.7,15,16.2,6,102.9,73.5,25,0.525,59,0.4920000000000001,29,0.475,28,0.5710000000000001,16,14,200,111.4,28.1,9,22,78,,5.7,4,0.237,14,0.28600000000000003,4,51.5,34,0.539,8.9,7,45,0.556,25,0.5,14,"February 17, 2020",54.5,12,8.9,4,111.4,71.9,23,0.431,58,0.379,22,0.5,29,0.759,22,13,200,102.9,26.5,9,23,72,,5.7,4,0.36200000000000004,21,0.28600000000000003,6,48.5,32,0.502,9.0,7,37,0.4320000000000001,16,0.45799999999999996,11,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,Away,MORGAN-STATE,Morgan State,South Carolina State,meac,23,False,True,True,Home,False,6,16,58,32,66,4,25,59,0,1,126,439,1283,0.4894777864380359,744,1442,0.5159500693481276,177,458,1361,0.5315944158706833,0.4782608695652174
24,2020-02-22-16-bethune-cookman,30.8,8,6.3,3,94.5,60.5,23,0.441,59,0.441,26,0.35600000000000004,21,0.619,13,14,225,89.0,33.3,11,22,65,,5.5,4,0.18600000000000005,11,0.0,0,47.9,34,0.47100000000000003,13.9,11,48,0.542,26,0.44,11,"February 22, 2020",25.0,5,8.3,4,89.0,66.7,22,0.32799999999999996,64,0.313,20,0.531,34,0.794,27,13,225,94.5,39.5,15,13,69,,6.8,5,0.25,16,0.125,2,52.1,37,0.43,13.2,12,48,0.375,18,0.519,14,"Moore Gymnasium, Daytona Beach, Florida",SOUTH-CAROLINA-STATE,South Carolina State,64.9,Home,BETHUNE-COOKMAN,Bethune-Cookman,South Carolina State,meac,24,False,False,False,Away,False,0,26,59,34,71,2,18,64,0,1,132,455,1341,0.4869500372856078,776,1508,0.5145888594164456,181,483,1420,0.5313380281690141,0.4583333333333333
25,2020-02-24-20-florida-am,40.0,8,4.9,2,91.2,61.8,21,0.47700000000000004,43,0.465,20,0.395,17,0.882,15,15,200,82.4,31.8,7,26,56,,8.8,6,0.256,11,0.091,1,50.0,28,0.5479999999999999,29.4,21,32,0.594,19,0.423,11,"February 24, 2020",31.6,6,6.3,2,82.4,68.2,15,0.368,53,0.358,19,0.604,32,0.7190000000000001,23,14,200,91.2,38.2,13,17,62,,10.3,7,0.226,12,0.083,1,50.0,28,0.455,19.3,16,41,0.439,18,0.462,12,"Al Lawson Center, Tallahassee, Florida",SOUTH-CAROLINA-STATE,South Carolina State,68.1,Home,FLORIDA-AM,Florida A&M,South Carolina State,meac,25,False,False,False,Away,False,1,19,43,28,56,1,18,53,0,1,132,481,1400,0.485,810,1579,0.5129829005699811,183,501,1484,0.5225741239892183,0.44
