,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA-UPSTATE_homegame,SOUTH-CAROLINA-UPSTATE_homegame2,SOUTH-CAROLINA-UPSTATE_home,SOUTH-CAROLINA-UPSTATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-south-carolina-state,40.0,10,3.3,1,106.1,72.0,18,0.537,54,0.46299999999999997,25,0.389,21,0.7140000000000001,15,8,200,110.6,20.7,6,22,73,,4.5,3,0.37,20,0.4,8,44.4,24,0.5710000000000001,12.5,9,34,0.5,17,0.273,3,"December 18, 2019",42.9,9,5.9,2,110.6,79.3,23,0.479,48,0.43799999999999994,21,0.583,28,0.857,24,6,200,106.1,28.0,7,18,70,,3.0,2,0.375,18,0.222,4,55.6,30,0.5710000000000001,15.4,11,30,0.5670000000000001,17,0.4,4,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,66.1,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,10,False,False,False,Away,True,8,17,54,24,54,4,17,48,1,0,68,158,579,0.44905008635578586,290,626,0.463258785942492,77,175,543,0.5349907918968693,0.2
11,2019-12-21-13-south-carolina-upstate,58.3,14,2.0,1,122.7,60.6,20,0.5479999999999999,52,0.462,24,0.423,22,0.773,17,0,200,98.7,22.2,6,17,74,,5.3,4,0.365,19,0.474,9,43.3,26,0.5920000000000001,23.5,19,33,0.455,15,0.0,0,"December 21, 2019",50.0,18,12.1,4,98.7,77.8,21,0.564,70,0.514,36,0.28600000000000003,20,0.65,13,8,200,122.7,39.4,13,20,92,,14.7,11,0.3,21,0.33299999999999996,7,56.7,34,0.579,9.2,8,49,0.5920000000000001,29,0.33299999999999996,4,"G.B. Hodge Center, Spartanburg, South Carolina","Bob Jones University
			","Bob Jones University
			",75.0,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,11,True,False,True,Home,True,7,29,70,34,60,9,15,52,1,0,76,175,633,0.4565560821484992,314,680,0.461764705882353,81,192,591,0.5304568527918782,0.2727272727272727
12,2019-12-29-14-south-carolina-upstate,53.6,15,12.2,5,126.4,65.7,23,0.66,53,0.528,28,0.396,21,0.5710000000000001,12,9,200,113.9,33.3,9,15,82,,8.3,6,0.547,29,0.483,14,51.6,32,0.6509999999999999,22.4,18,24,0.583,14,0.35700000000000004,5,"December 29, 2019",57.6,19,12.5,3,113.9,66.7,18,0.5760000000000001,66,0.5,33,0.273,18,0.833,15,8,200,126.4,34.3,12,19,91,,11.1,8,0.379,25,0.4,10,48.4,30,0.61,10.9,9,41,0.561,23,0.385,5,"G.B. Hodge Center, Spartanburg, South Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,71.8,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,12,True,False,True,Home,True,10,23,66,30,62,14,14,53,1,0,83,204,703,0.4672830725462304,348,740,0.4702702702702703,90,207,643,0.5318818040435459,0.3333333333333333
13,2020-01-02-19-charleston-southern,42.9,12,13.3,4,120.3,76.0,19,0.5529999999999999,57,0.491,28,0.263,15,0.8,12,9,200,101.4,33.3,10,18,75,,9.5,7,0.24600000000000002,14,0.5,7,52.7,29,0.585,21.1,17,43,0.488,21,0.35700000000000004,5,"January 2, 2020",53.3,16,4.7,2,101.4,66.7,20,0.634,56,0.536,30,0.41100000000000003,23,0.7829999999999999,18,6,200,120.3,24.0,6,14,89,,13.5,10,0.46399999999999997,26,0.423,11,47.3,26,0.665,18.5,15,30,0.633,19,0.5379999999999999,7,"CSU Fieldhouse, Charleston, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,73.5,Home,CHARLESTON-SOUTHERN,Charleston Southern,South Carolina Upstate,big-south,13,False,False,False,Away,False,7,21,57,29,55,11,19,56,0,1,93,227,769,0.476592977893368,378,802,0.4713216957605985,104,221,696,0.5416666666666666,0.38461538461538464
14,2020-01-04-15-longwood,47.8,11,15.4,4,77.8,90.6,29,0.509,53,0.434,23,0.415,22,0.8640000000000001,19,9,200,101.4,23.1,6,18,73,,8.3,6,0.47200000000000003,25,0.32,8,60.3,35,0.575,21.3,17,28,0.536,15,0.4,6,"January 4, 2020",50.0,9,7.1,2,101.4,76.9,20,0.44,50,0.36,18,0.36,18,0.667,12,10,200,77.8,9.4,3,21,56,,16.7,12,0.48,24,0.33299999999999996,8,39.7,23,0.478,18.3,13,26,0.385,10,0.33299999999999996,5,"Willett Hall, Farmville, Virginia",LONGWOOD,Longwood,71.5,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,14,False,False,False,Away,True,8,15,53,35,58,8,10,50,1,0,100,248,826,0.4818401937046005,407,857,0.4749124854142357,115,240,752,0.5485372340425532,0.35714285714285715
15,2020-01-08-18-south-carolina-upstate,39.1,9,7.5,4,100.0,68.9,31,0.43799999999999994,56,0.41100000000000003,23,0.625,35,0.6859999999999999,24,9,200,88.0,23.5,8,24,73,,6.0,5,0.304,17,0.17600000000000002,3,49.4,39,0.503,20.1,18,39,0.513,20,0.4,6,"January 8, 2020",41.4,12,5.1,2,88.0,76.5,26,0.43,71,0.408,29,0.507,36,0.611,22,9,200,100.0,31.1,14,24,83,,10.8,9,0.254,18,0.16699999999999998,3,50.6,40,0.47100000000000003,10.3,10,53,0.491,26,0.43799999999999994,7,"G.B. Hodge Center, Spartanburg, South Carolina",HAMPTON,Hampton,83.4,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,15,True,False,True,Home,True,3,26,71,40,79,3,20,56,1,0,108,263,879,0.4835039817974972,442,915,0.4830601092896175,123,250,802,0.5417705735660848,0.4
16,2020-01-16-18-south-carolina-upstate,31.8,7,25.0,8,90.8,77.4,24,0.446,56,0.39299999999999996,22,0.304,17,0.765,13,7,200,96.9,21.9,7,15,63,,4.6,3,0.41100000000000003,23,0.261,6,49.2,31,0.4920000000000001,11.2,8,33,0.485,16,0.562,9,"January 16, 2020",55.6,10,6.1,2,96.9,78.1,25,0.39399999999999996,52,0.34600000000000003,18,0.40399999999999997,21,0.857,18,10,200,90.8,22.6,7,20,59,,6.2,4,0.385,20,0.25,5,50.8,32,0.47600000000000003,14.0,10,32,0.406,13,0.41200000000000003,7,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,65.0,Away,RADFORD,Radford,South Carolina Upstate,big-south,16,False,True,True,Home,False,5,13,52,32,63,6,16,56,0,1,111,289,950,0.4794736842105263,482,994,0.4849094567404426,126,270,858,0.534965034965035,0.4375
17,2020-01-18-16-gardner-webb,29.6,8,10.5,4,120.3,72.7,24,0.509,58,0.466,27,0.276,16,0.5,8,11,200,97.1,17.6,6,20,67,,8.7,6,0.379,22,0.22699999999999998,5,44.8,30,0.511,12.2,9,36,0.611,22,0.389,7,"January 18, 2020",46.4,13,11.1,4,97.1,82.4,28,0.583,54,0.519,28,0.537,29,0.69,20,11,200,120.3,27.3,9,16,83,,7.2,5,0.29600000000000004,16,0.43799999999999994,7,55.2,37,0.612,14.1,11,38,0.5529999999999999,21,0.353,6,"Paul Porter Arena, Boiling Springs, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,69.2,Home,GARDNER-WEBB,Gardner-Webb,South Carolina Upstate,big-south,17,False,False,False,Away,False,5,22,58,30,67,7,21,54,0,1,116,302,1002,0.4750499001996008,514,1057,0.4862819299905393,132,286,914,0.5295404814004376,0.4117647058823529
18,2020-01-20-18-south-carolina-upstate,52.4,11,9.7,3,105.1,72.4,21,0.578,45,0.467,21,0.556,25,0.72,18,14,200,118.6,33.3,9,18,70,,6.8,4,0.467,21,0.47600000000000003,10,53.6,30,0.615,15.2,10,24,0.45799999999999996,11,0.263,5,"January 20, 2020",43.5,10,8.3,2,118.6,66.7,18,0.529,51,0.451,23,0.275,14,0.5710000000000001,8,12,200,105.1,27.6,8,20,62,,6.8,4,0.392,20,0.4,8,46.4,26,0.5379999999999999,16.1,11,31,0.484,15,0.368,7,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,59.3,Away,HIGH-POINT,High Point,South Carolina Upstate,big-south,18,False,True,True,Home,False,8,15,51,26,56,10,11,45,0,1,121,324,1060,0.4768867924528302,544,1124,0.4839857651245552,139,307,968,0.5325413223140496,0.3888888888888889
19,2020-01-23-19-winthrop,41.2,7,3.1,1,119.7,55.9,19,0.44299999999999995,44,0.386,17,0.545,24,0.583,14,13,200,80.3,20.7,6,19,53,,7.6,5,0.295,13,0.385,5,39.7,25,0.478,24.8,18,31,0.387,12,0.35,7,"January 23, 2020",64.3,18,12.9,4,80.3,79.3,23,0.542,60,0.467,28,0.3,18,0.778,14,7,200,119.7,44.1,15,21,79,,12.1,8,0.467,28,0.321,9,60.3,38,0.5760000000000001,15.0,12,32,0.594,19,0.65,13,"Winthrop Coliseum, Rock Hill, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,66.5,Home,WINTHROP,Winthrop,South Carolina Upstate,big-south,19,False,False,False,Away,False,5,12,44,25,63,9,19,60,0,1,129,339,1111,0.4792979297929793,570,1180,0.4830508474576271,149,318,1013,0.5345508390918066,0.3684210526315789
20,2020-01-25-16-south-carolina-upstate,22.7,5,5.3,2,115.9,79.2,19,0.40700000000000003,59,0.373,22,0.28800000000000003,17,0.882,15,10,200,91.3,22.9,8,18,63,,5.8,4,0.237,14,0.28600000000000003,4,45.8,27,0.47,13.1,10,45,0.4,18,0.474,9,"January 25, 2020",74.1,20,6.7,3,91.3,77.1,27,0.565,54,0.5,27,0.444,24,0.792,19,13,200,115.9,20.8,5,17,80,,7.2,5,0.29600000000000004,16,0.43799999999999994,7,54.2,32,0.612,12.2,9,38,0.526,20,0.381,8,"G.B. Hodge Center, Spartanburg, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,69.2,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,20,True,False,True,Home,True,7,20,54,32,59,4,18,59,1,0,134,351,1155,0.4779220779220779,595,1243,0.4786806114239743,158,337,1073,0.5349487418452936,0.35
21,2020-01-30-19-presbyterian,37.9,11,3.0,1,117.5,50.0,14,0.684,49,0.5920000000000001,29,0.34700000000000003,17,0.588,10,13,200,122.2,9.5,2,21,77,,11.1,7,0.3670000000000001,18,0.5,9,32.7,16,0.675,12.4,8,31,0.645,20,0.409,9,"January 30, 2020",30.8,8,9.7,3,122.2,90.5,19,0.5579999999999999,52,0.5,26,0.423,22,0.727,16,14,200,117.5,50.0,14,16,74,,6.3,4,0.365,19,0.316,6,67.3,33,0.5920000000000001,19.6,15,33,0.606,20,0.364,8,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,63.3,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,21,False,False,False,Away,True,9,20,49,16,49,6,20,52,1,0,141,371,1209,0.4818031430934657,627,1302,0.4815668202764977,162,355,1132,0.5282685512367491,0.3809523809523809
22,2020-02-01-16-south-carolina-upstate,52.2,12,6.4,3,123.0,64.5,20,0.539,51,0.451,23,0.49,25,0.76,19,11,200,100.0,16.7,5,18,74,,8.1,6,0.41200000000000003,21,0.429,9,41.0,25,0.588,21.5,17,30,0.467,14,0.5,11,"February 1, 2020",52.9,18,10.0,3,100.0,83.3,25,0.568,66,0.515,34,0.303,20,0.8,16,13,200,123.0,35.5,11,17,91,,13.5,10,0.28800000000000003,19,0.368,7,59.0,36,0.603,10.7,9,47,0.574,27,0.435,10,"G.B. Hodge Center, Spartanburg, South Carolina",CAMPBELL,Campbell,74.2,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,22,True,False,True,Home,True,7,27,66,36,61,9,14,51,1,0,150,391,1258,0.4896661367249602,643,1351,0.4759437453737972,168,375,1184,0.5295608108108109,0.4090909090909091
23,2020-02-06-18-north-carolina-asheville,37.5,9,6.1,2,113.5,74.2,23,0.48100000000000004,53,0.45299999999999996,24,0.547,29,0.69,20,14,200,95.9,17.2,5,24,71,,5.4,4,0.302,16,0.188,3,46.7,28,0.532,15.4,12,37,0.568,21,0.41700000000000004,10,"February 6, 2020",31.0,9,8.1,3,95.9,82.8,24,0.56,58,0.5,29,0.483,28,0.679,19,12,200,113.5,25.8,8,22,84,,9.5,7,0.431,25,0.28,7,53.3,32,0.589,12.5,10,33,0.667,22,0.455,10,"Kimmel Arena, Asheville, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,73.5,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,South Carolina Upstate,big-south,23,False,False,False,Away,False,3,21,53,28,60,7,22,58,0,1,157,418,1324,0.4935800604229607,679,1412,0.4808781869688386,177,389,1235,0.5299595141700405,0.43478260869565216
24,2020-02-08-16-south-carolina-upstate,34.3,12,6.8,3,80.3,63.4,26,0.629,62,0.565,35,0.21,13,0.769,10,14,200,123.9,35.7,10,16,88,,12.7,9,0.32299999999999995,20,0.4,8,52.2,36,0.645,15.1,12,42,0.643,27,0.41700000000000004,10,"February 8, 2020",44.4,8,7.1,3,123.9,64.3,18,0.32,61,0.295,18,0.361,22,0.818,18,15,200,80.3,36.6,15,16,57,,5.6,4,0.27899999999999997,17,0.17600000000000002,3,47.8,33,0.39899999999999997,17.5,15,44,0.341,15,0.4,10,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,70.8,Away,GARDNER-WEBB,Gardner-Webb,South Carolina Upstate,big-south,24,False,True,True,Home,False,3,15,61,33,69,8,27,62,0,1,160,439,1377,0.4931009440813362,707,1472,0.4802989130434783,184,411,1293,0.531322505800464,0.4166666666666667
