,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VERMONT_homegame,VERMONT_homegame2,VERMONT_home,VERMONT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-19-vermont,38.5,5,8.0,2,90.2,63.6,21,0.292,53,0.245,13,0.264,14,0.5,7,5,200,62.3,33.3,13,24,38,,13.1,8,0.47200000000000003,25,0.2,5,47.2,34,0.319,20.2,15,28,0.28600000000000003,8,0.444,4,"December 7, 2019",58.8,10,10.7,3,62.3,66.7,26,0.41700000000000004,48,0.354,17,0.43799999999999994,21,0.7140000000000001,15,4,200,90.2,36.4,12,17,55,,3.3,2,0.479,23,0.261,6,52.8,38,0.474,20.8,15,25,0.44,11,0.636,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",TOWSON,Towson,61.3,Home,VERMONT,Vermont,Vermont,america-east,10,True,False,True,Home,True,6,11,48,38,72,5,8,53,1,0,78,170,600,0.4783333333333333,339,686,0.4941690962099126,65,138,548,0.4297445255474453,0.6
11,2019-12-18-19-vermont,40.0,8,6.7,2,94.6,74.1,20,0.461,51,0.392,20,0.235,12,0.583,7,3,200,96.4,25.0,8,19,54,,5.4,3,0.431,22,0.318,7,47.5,28,0.47600000000000003,11.1,7,29,0.44799999999999995,13,0.75,9,"December 18, 2019",27.8,5,13.8,4,96.4,75.0,24,0.44299999999999995,44,0.409,18,0.47700000000000004,21,0.667,14,5,200,94.6,25.9,7,16,53,,3.6,2,0.318,14,0.214,3,52.5,31,0.491,15.8,10,30,0.5,15,0.583,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,56.3,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Vermont,america-east,11,False,True,True,Home,False,3,15,44,31,59,7,13,51,0,1,84,181,648,0.4737654320987654,377,758,0.4973614775725594,70,146,601,0.4176372712146423,0.6363636363636364
12,2019-12-20-19-vermont,76.2,16,2.7,1,114.7,68.8,22,0.4,65,0.32299999999999995,21,0.24600000000000002,16,0.688,11,7,200,84.0,20.0,9,23,63,,8.0,6,0.415,27,0.37,10,40.3,31,0.434,13.2,11,38,0.289,11,0.41700000000000004,5,"December 20, 2019",53.6,15,23.7,9,84.0,80.0,36,0.55,60,0.467,28,0.41700000000000004,25,0.8,20,5,200,114.7,31.3,10,15,86,,8.0,6,0.38299999999999995,23,0.435,10,59.7,46,0.598,15.5,13,37,0.486,18,0.615,8,"Roy L. Patrick Gymnasium, Burlington, Vermont",LIPSCOMB,Lipscomb,74.7,Home,VERMONT,Vermont,Vermont,america-east,12,True,False,True,Home,True,10,18,60,46,77,10,11,65,1,0,87,196,692,0.4718208092485549,408,817,0.4993880048959609,77,159,652,0.4210122699386503,0.5833333333333334
13,2019-12-31-14-vermont,40.9,9,14.6,6,115.2,71.4,20,0.38299999999999995,64,0.344,22,0.078,5,0.4,2,7,200,77.3,23.7,9,12,51,,7.6,5,0.313,20,0.25,5,43.9,29,0.384,12.0,9,44,0.386,17,0.462,6,"December 31, 2019",50.0,15,15.9,7,77.3,76.3,29,0.575,60,0.5,30,0.183,11,0.636,7,5,200,115.2,28.6,8,11,76,,7.6,5,0.317,19,0.474,9,56.1,37,0.583,12.2,9,41,0.512,21,0.643,9,"Roy L. Patrick Gymnasium, Burlington, Vermont",GEORGE-WASHINGTON,George Washington,66.3,Home,VERMONT,Vermont,Vermont,america-east,13,True,False,True,Home,True,9,21,60,37,66,5,17,64,1,0,97,214,752,0.4780585106382978,454,894,0.5078299776286354,87,170,717,0.4191073919107392,0.6153846153846154
14,2020-01-02-19-dartmouth,40.7,11,3.2,1,93.2,100.0,20,0.527,56,0.48200000000000004,27,0.46399999999999997,26,0.6920000000000001,18,5,200,105.5,13.3,4,19,77,,15.1,11,0.39299999999999996,22,0.22699999999999998,5,48.0,24,0.563,10.6,8,34,0.647,22,0.667,10,"January 2, 2020",50.0,12,5.9,2,105.5,86.7,26,0.5870000000000001,46,0.522,24,0.478,22,0.636,14,8,200,93.2,0.0,0,24,68,,4.1,3,0.326,15,0.4,6,52.0,26,0.602,24.4,18,31,0.581,18,0.467,7,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,73.4,Away,VERMONT,Vermont,Vermont,america-east,14,False,False,False,Away,True,5,22,56,24,50,6,18,46,1,0,106,235,812,0.4852216748768473,491,960,0.5114583333333333,92,187,781,0.4161331626120359,0.6428571428571429
15,2020-01-08-19-vermont,44.0,11,8.0,2,101.3,78.8,26,0.5529999999999999,57,0.439,25,0.439,25,0.72,18,6,200,106.6,17.2,5,21,81,,10.5,8,0.474,27,0.48100000000000004,13,50.0,31,0.588,16.0,13,30,0.4,12,0.647,11,"January 8, 2020",56.5,13,13.3,4,106.6,82.8,24,0.518,56,0.41100000000000003,23,0.41100000000000003,23,0.826,19,6,200,101.3,21.2,7,16,77,,6.6,5,0.5539999999999999,31,0.387,12,50.0,31,0.575,18.5,15,25,0.44,11,0.625,10,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,75.9,Away,STONY-BROOK,Stony Brook,Vermont,america-east,15,False,True,True,Home,False,12,11,56,31,62,13,12,57,0,1,111,257,868,0.4879032258064516,515,1010,0.5099009900990099,98,205,827,0.4256348246674728,0.6666666666666666
16,2020-01-11-13-maryland-baltimore-county,46.2,12,3.1,1,74.6,82.4,28,0.555,55,0.473,26,0.309,17,0.765,13,6,200,110.4,31.3,10,16,74,,9.0,6,0.509,28,0.321,9,57.6,38,0.5870000000000001,19.4,15,27,0.63,17,0.647,11,"January 11, 2020",58.8,10,0.0,0,110.4,68.8,22,0.396,48,0.354,17,0.354,17,0.706,12,11,200,74.6,17.6,6,16,50,,10.4,7,0.33299999999999996,16,0.25,4,42.4,28,0.446,22.4,16,32,0.406,13,0.389,7,"UMBC Event Center, Baltimore, Maryland",MARYLAND-BALTIMORE-COUNTY,UMBC,67.1,Away,VERMONT,Vermont,Vermont,america-east,16,False,False,False,Away,True,9,17,55,38,66,4,13,48,1,0,123,268,924,0.4897186147186147,546,1072,0.5093283582089553,111,217,884,0.4338235294117647,0.625
17,2020-01-15-19-binghamton,51.9,14,3.1,1,84.1,86.1,31,0.5820000000000001,55,0.491,27,0.2,11,0.727,8,6,200,114.3,27.6,8,14,72,,9.5,6,0.4,22,0.455,10,60.0,39,0.598,14.3,10,33,0.515,17,0.667,12,"January 15, 2020",42.9,9,9.1,3,114.3,72.4,21,0.431,58,0.36200000000000004,21,0.086,5,0.6,3,10,200,84.1,13.9,5,12,53,,3.2,2,0.44799999999999995,26,0.308,8,40.0,26,0.439,13.0,9,32,0.406,13,0.41200000000000003,7,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,63.3,Away,VERMONT,Vermont,Vermont,america-east,17,False,False,False,Away,True,10,17,55,39,65,8,13,58,1,0,132,285,979,0.4933605720122574,584,1138,0.5131810193321616,115,230,932,0.4318669527896996,0.6470588235294118
18,2020-01-18-14-vermont,27.3,6,6.1,2,113.8,69.2,18,0.444,54,0.40700000000000003,22,0.16699999999999998,9,1.0,9,9,200,87.7,13.3,4,13,57,,10.8,7,0.37,20,0.2,4,39.3,22,0.489,16.0,11,34,0.529,18,0.526,10,"January 18, 2020",60.0,18,8.8,3,87.7,86.7,26,0.5760000000000001,59,0.508,30,0.11900000000000001,7,0.857,6,6,200,113.8,30.8,8,12,74,,6.2,4,0.441,26,0.308,8,60.7,34,0.594,15.1,11,33,0.667,22,0.684,13,"Roy L. Patrick Gymnasium, Burlington, Vermont",HARTFORD,Hartford,65.3,Home,VERMONT,Vermont,Vermont,america-east,18,True,False,True,Home,True,8,22,59,34,56,4,18,54,1,0,142,302,1034,0.4980657640232109,623,1203,0.5178719866999169,123,243,990,0.4318181818181818,0.6666666666666666
19,2020-01-22-19-maine,68.4,13,8.7,2,89.1,70.8,17,0.447,47,0.40399999999999997,19,0.511,24,0.708,17,6,200,92.2,40.0,12,19,59,,10.9,7,0.426,20,0.2,4,53.7,29,0.505,24.8,19,27,0.556,15,0.7,14,"January 22, 2020",61.1,11,3.7,1,92.2,60.0,18,0.457,46,0.391,18,0.348,16,0.938,15,14,200,89.1,29.2,7,18,57,,14.1,9,0.5,23,0.261,6,46.3,25,0.532,22.0,15,23,0.522,12,0.3,6,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,63.5,Away,VERMONT,Vermont,Vermont,america-east,19,False,False,False,Away,True,4,15,47,29,54,6,12,46,1,0,150,324,1093,0.5022872827081427,657,1259,0.5218427323272439,127,261,1044,0.4324712643678161,0.6842105263157895
20,2020-01-25-19-vermont,47.4,9,11.1,4,133.3,55.6,15,0.469,48,0.396,19,0.41700000000000004,20,0.85,17,13,200,89.9,18.5,5,16,62,,13.0,9,0.479,23,0.304,7,37.0,20,0.539,20.9,15,25,0.48,12,0.381,8,"January 25, 2020",45.5,15,16.0,4,89.9,81.5,22,0.642,60,0.55,33,0.317,19,0.789,15,6,200,133.3,44.4,12,19,92,,11.6,8,0.4,24,0.45799999999999996,11,63.0,34,0.6659999999999999,16.0,13,36,0.611,22,0.7140000000000001,15,"Roy L. Patrick Gymnasium, Burlington, Vermont",MASSACHUSETTS-LOWELL,UMass-Lowell,68.8,Home,VERMONT,Vermont,Vermont,america-east,20,True,False,True,Home,True,11,22,60,34,54,7,12,48,1,0,154,339,1140,0.5,686,1313,0.5224676313785225,133,273,1090,0.4334862385321101,0.7
21,2020-01-29-19-new-hampshire,61.9,13,2.6,1,64.2,75.6,31,0.442,52,0.40399999999999997,21,0.25,13,0.769,10,6,200,83.6,9.7,3,17,56,,10.4,7,0.231,12,0.33299999999999996,4,47.2,34,0.48100000000000004,17.2,12,40,0.425,17,0.727,16,"January 29, 2020",60.0,9,5.0,2,83.6,90.3,28,0.325,57,0.263,15,0.158,9,0.667,6,10,200,64.2,24.4,10,17,43,,3.0,2,0.33299999999999996,19,0.368,7,52.8,38,0.35100000000000003,19.7,15,38,0.21100000000000002,8,0.5,10,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,66.7,Away,VERMONT,Vermont,Vermont,america-east,21,False,False,False,Away,True,4,17,52,34,72,7,8,57,1,0,165,361,1200,0.5070833333333333,720,1367,0.5267008046817849,140,285,1138,0.4349736379613357,0.7142857142857143
22,2020-02-01-19-albany-ny,64.5,20,16.0,4,110.3,74.2,23,0.59,61,0.508,31,0.311,19,0.737,14,6,200,126.5,40.0,12,18,86,,8.8,6,0.311,19,0.526,10,57.4,35,0.614,13.7,11,42,0.5,21,0.7390000000000001,17,"February 1, 2020",69.6,16,7.1,3,126.5,60.0,18,0.569,51,0.451,23,0.51,26,0.654,17,11,200,110.3,25.8,8,17,75,,10.3,7,0.51,26,0.462,12,42.6,26,0.5920000000000001,16.1,12,25,0.44,11,0.522,12,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),68.2,Away,VERMONT,Vermont,Vermont,america-east,22,False,False,False,Away,True,10,21,61,35,61,12,11,51,1,0,169,378,1252,0.5043929712460063,754,1439,0.5239749826268242,147,293,1195,0.4297071129707113,0.7272727272727273
23,2020-02-05-19-vermont,52.9,9,6.7,2,116.7,67.6,25,0.424,46,0.37,17,0.326,15,0.867,13,17,200,78.8,3.7,1,21,52,,4.5,3,0.413,19,0.263,5,40.6,26,0.489,22.2,15,27,0.444,12,0.261,6,"February 5, 2020",68.0,17,11.1,3,78.8,96.3,26,0.4920000000000001,61,0.41,25,0.32799999999999996,20,0.85,17,6,200,116.7,32.4,12,19,77,,9.1,6,0.508,31,0.32299999999999995,10,59.4,38,0.546,9.1,7,30,0.5,15,0.75,18,"Roy L. Patrick Gymnasium, Burlington, Vermont",MAINE,Maine,66.3,Home,VERMONT,Vermont,Vermont,america-east,23,True,False,True,Home,True,10,15,61,38,64,5,12,46,1,0,179,399,1313,0.5083777608530083,789,1500,0.526,159,304,1246,0.4353932584269663,0.7391304347826086
24,2020-02-08-19-hartford,62.5,15,2.8,1,106.3,78.1,25,0.5589999999999999,51,0.47100000000000003,24,0.353,18,0.667,12,6,200,107.8,28.6,8,16,69,,3.1,2,0.47100000000000003,24,0.375,9,55.0,33,0.579,15.7,11,27,0.556,15,0.76,19,"February 8, 2020",62.5,15,11.1,3,107.8,71.4,20,0.519,53,0.45299999999999996,24,0.396,21,0.619,13,12,200,106.3,21.9,7,17,68,,14.1,9,0.321,17,0.41200000000000003,7,45.0,27,0.54,13.8,10,36,0.47200000000000003,17,0.52,13,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,64.3,Away,VERMONT,Vermont,Vermont,america-east,24,False,False,False,Away,True,9,15,51,33,60,7,17,53,1,0,189,414,1374,0.50764192139738,827,1564,0.5287723785166241,164,316,1292,0.43498452012383904,0.75
25,2020-02-12-19-vermont,33.3,6,0.0,0,113.8,80.8,21,0.366,56,0.321,18,0.214,12,0.75,9,12,200,76.9,22.2,8,16,50,,6.2,4,0.321,18,0.278,5,46.8,29,0.405,15.2,11,38,0.342,13,0.478,11,"February 12, 2020",44.4,12,15.8,6,76.9,77.8,28,0.5660000000000001,53,0.509,27,0.302,16,0.875,14,6,200,113.8,19.2,5,13,74,,4.6,3,0.434,23,0.261,6,53.2,33,0.611,13.0,9,30,0.7,21,0.769,20,"Roy L. Patrick Gymnasium, Burlington, Vermont",NEW-HAMPSHIRE,New Hampshire,64.7,Home,VERMONT,Vermont,Vermont,america-east,25,True,False,True,Home,True,6,21,53,33,62,5,13,56,1,0,198,429,1425,0.5094736842105263,860,1624,0.5295566502463054,171,333,1345,0.4382899628252788,0.76
26,2020-02-15-14-vermont,36.8,7,5.4,2,115.2,70.3,26,0.368,57,0.33299999999999996,19,0.193,11,0.545,6,17,200,72.7,15.8,6,13,48,,6.1,4,0.368,21,0.19,4,42.7,32,0.386,12.7,9,36,0.41700000000000004,15,0.32,8,"February 15, 2020",51.7,15,11.1,4,72.7,84.2,32,0.516,64,0.45299999999999996,29,0.297,19,0.526,10,6,200,115.2,29.7,11,11,76,,7.6,5,0.42200000000000004,27,0.29600000000000004,8,57.3,43,0.52,5.2,4,37,0.568,21,0.778,21,"Roy L. Patrick Gymnasium, Burlington, Vermont",BINGHAMTON,Binghamton,65.6,Home,VERMONT,Vermont,Vermont,america-east,26,True,False,True,Home,True,8,21,64,43,75,4,15,57,1,0,204,450,1478,0.5115020297699594,893,1686,0.5296559905100829,176,346,1401,0.4354032833690221,0.7692307692307693
27,2020-02-20-19-stony-brook,80.0,20,12.5,4,77.1,84.2,32,0.509,58,0.431,25,0.19,11,0.364,4,6,200,90.0,29.4,10,16,63,,7.1,5,0.534,31,0.29,9,58.3,42,0.498,20.3,16,27,0.593,16,0.7859999999999999,22,"February 20, 2020",55.6,10,7.4,2,90.0,70.6,24,0.386,57,0.316,18,0.21100000000000002,12,0.833,10,10,200,77.1,15.8,6,17,54,,8.6,6,0.439,25,0.32,8,41.7,30,0.431,18.4,14,32,0.313,10,0.63,17,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,70.0,Away,VERMONT,Vermont,Vermont,america-east,27,False,False,False,Away,True,9,16,58,42,72,8,10,57,1,0,212,471,1542,0.5116731517509727,936,1761,0.5315161839863713,180,361,1458,0.4327846364883402,0.7777777777777778
