,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA_homegame,NORTH-CAROLINA_homegame2,NORTH-CAROLINA_home,NORTH-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-21-gonzaga,41.9,13,9.8,4,119.0,95.8,23,0.507,68,0.456,31,0.25,17,0.706,12,5,200,102.5,25.7,9,16,81,,13.9,11,0.27899999999999997,19,0.368,7,54.2,32,0.532,12.7,11,49,0.49,24,0.545,6,"December 18, 2019",51.4,18,8.2,4,102.5,74.3,26,0.669,59,0.593,35,0.373,22,0.682,15,1,200,119.0,4.2,1,15,94,2.0,10.1,8,0.305,18,0.5,9,45.8,27,0.677,13.8,11,41,0.634,26,0.9229999999999999,12,"McCarthey Athletic Center, Spokane, Washington",NORTH-CAROLINA,UNC,78.8,Home,GONZAGA,Gonzaga,North Carolina,acc,10,False,False,False,Away,False,7,24,68,32,59,9,26,59,0,1,54,193,621,0.4412238325281804,414,723,0.5726141078838174,95,141,625,0.4536,0.6
11,2019-12-21-15-north-carolina,44.0,11,10.8,4,94.9,73.2,30,0.45799999999999996,59,0.424,25,0.305,18,0.556,10,5,200,82.1,33.3,11,25,64,,7.7,6,0.35600000000000004,21,0.19,4,55.4,41,0.474,24.7,22,38,0.5529999999999999,21,0.583,7,"December 21, 2019",52.2,12,5.3,2,82.1,66.7,22,0.473,55,0.418,23,0.636,35,0.629,22,5,200,94.9,26.8,11,20,74,,10.3,8,0.327,18,0.33299999999999996,6,44.6,33,0.517,19.5,17,37,0.45899999999999996,17,0.583,7,"T-Mobile Arena, Las Vegas, Nevada",UCLA,UCLA,78.1,Home,NORTH-CAROLINA,UNC,North Carolina,acc,11,True,False,True,Home,True,6,17,55,33,74,4,21,59,1,0,61,217,689,0.4477503628447025,446,782,0.5703324808184144,104,167,684,0.4722222222222222,0.5454545454545454
12,2019-12-30-19-north-carolina,60.0,12,13.5,7,95.9,68.8,33,0.444,54,0.37,20,0.40700000000000003,22,0.8640000000000001,19,4,200,91.8,3.2,1,17,67,,6.8,5,0.5,27,0.29600000000000004,8,43.0,34,0.52,13.6,10,27,0.444,12,0.7140000000000001,10,"December 30, 2019",53.8,14,14.8,4,91.8,96.8,30,0.408,71,0.366,26,0.239,17,0.706,12,5,200,95.9,31.3,15,19,70,,5.5,4,0.268,19,0.316,6,57.0,45,0.44299999999999995,9.3,8,52,0.385,20,0.615,8,"Dean Smith Center, Chapel Hill, North Carolina",YALE,Yale,72.8,Home,NORTH-CAROLINA,UNC,North Carolina,acc,12,True,False,True,Home,True,6,20,71,45,79,8,12,54,1,0,67,234,744,0.4495967741935484,479,856,0.5595794392523364,108,188,743,0.4710632570659489,0.5833333333333334
13,2020-01-04-18-north-carolina,52.8,19,8.2,4,109.2,56.3,18,0.639,61,0.59,36,0.39299999999999996,24,0.75,18,7,200,126.3,50.0,11,21,96,,14.5,11,0.23,14,0.429,6,53.7,29,0.6629999999999999,15.4,13,47,0.638,30,0.5,7,"January 4, 2020",63.0,17,4.3,2,126.3,50.0,11,0.47600000000000003,63,0.429,27,0.429,27,0.852,23,6,200,109.2,43.8,14,20,83,,11.8,9,0.222,14,0.429,6,46.3,25,0.547,16.7,15,49,0.429,21,0.5710000000000001,8,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,75.6,Away,GEORGIA-TECH,Georgia Tech,North Carolina,acc,13,False,True,True,Home,False,6,21,63,25,54,6,30,61,0,1,73,254,815,0.4460122699386503,524,935,0.560427807486631,116,200,797,0.4692597239648682,0.6153846153846154
14,2020-01-08-19-north-carolina,56.5,13,10.0,4,89.0,64.5,20,0.529,52,0.442,23,0.423,22,0.818,18,4,200,100.0,12.5,4,18,73,,12.3,9,0.423,22,0.409,9,38.1,24,0.584,17.4,13,30,0.467,14,0.733,11,"January 8, 2020",68.0,17,10.0,3,100.0,87.5,28,0.451,61,0.41,25,0.27899999999999997,17,0.588,10,7,200,89.0,35.5,11,19,65,,9.6,7,0.344,21,0.23800000000000002,5,61.9,39,0.47100000000000003,18.9,16,40,0.5,20,0.5329999999999999,8,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,72.8,Away,PITTSBURGH,Pitt,North Carolina,acc,14,False,True,True,Home,False,5,20,61,39,63,9,14,52,0,1,79,275,878,0.4481776765375855,549,989,0.5551061678463094,122,230,858,0.4813519813519814,0.5714285714285714
15,2020-01-11-16-north-carolina,55.2,16,10.0,4,98.7,76.3,29,0.522,67,0.433,29,0.19399999999999998,13,0.6920000000000001,9,7,225,102.6,19.4,7,17,79,,9.1,7,0.46299999999999997,31,0.387,12,48.6,36,0.54,13.1,11,36,0.47200000000000003,17,0.5329999999999999,8,"January 11, 2020",64.3,18,8.3,3,102.6,80.6,29,0.47,66,0.424,28,0.303,20,0.7,14,8,225,98.7,23.7,9,14,76,,10.4,8,0.39399999999999996,26,0.231,6,51.4,38,0.503,11.8,10,40,0.55,22,0.5,8,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,68.3,Away,CLEMSON,Clemson,North Carolina,acc,15,False,True,True,Home,False,6,22,66,38,74,12,17,67,0,1,84,295,939,0.4483493077742279,588,1052,0.5589353612167299,131,244,910,0.4840659340659341,0.5333333333333333
16,2020-01-18-12-pittsburgh,57.9,11,7.1,2,100.0,72.7,24,0.35,60,0.317,19,0.35,21,0.47600000000000003,10,9,200,78.8,43.9,18,16,52,,10.6,7,0.3,18,0.222,4,56.8,42,0.3720000000000001,17.8,15,42,0.35700000000000004,15,0.47100000000000003,8,"January 18, 2020",60.0,12,14.3,6,78.8,56.1,23,0.44299999999999995,53,0.377,20,0.509,27,0.7040000000000001,19,6,200,100.0,27.3,9,20,66,,16.7,11,0.47200000000000003,25,0.28,7,43.2,32,0.501,12.2,9,28,0.46399999999999997,13,0.667,12,"Petersen Events Center, Pittsburgh, Pennsylvania",NORTH-CAROLINA,UNC,66.4,Home,PITTSBURGH,Pitt,North Carolina,acc,16,False,False,False,Away,False,4,15,60,42,74,7,13,53,0,1,90,317,1005,0.44975124378109455,626,1126,0.5559502664298401,143,261,977,0.4866939611054248,0.5
17,2020-01-22-20-virginia-tech,60.7,17,7.1,2,98.8,87.8,36,0.4920000000000001,64,0.43799999999999994,28,0.313,20,0.7,14,10,250,96.3,17.1,6,15,77,,1.3,1,0.344,22,0.318,7,55.3,42,0.524,15.2,13,42,0.5,21,0.444,8,"January 22, 2020",66.7,16,7.1,3,96.3,82.9,29,0.47700000000000004,65,0.369,24,0.32299999999999995,21,0.81,17,5,250,98.8,12.2,5,17,79,,5.0,4,0.569,37,0.37799999999999995,14,44.7,34,0.527,10.8,9,28,0.35700000000000004,10,0.737,14,"Cassell Coliseum, Blacksburg, Virginia",NORTH-CAROLINA,UNC,63.8,Home,VIRGINIA-TECH,Virginia Tech,North Carolina,acc,17,False,False,False,Away,False,7,21,64,42,76,14,10,65,0,1,94,332,1065,0.44413145539906107,668,1200,0.5566666666666666,150,274,1030,0.4844660194174758,0.4705882352941176
18,2020-01-25-12-north-carolina,33.3,8,8.7,4,127.0,63.0,17,0.466,58,0.414,24,0.31,18,0.9440000000000001,17,9,200,95.9,3.3,1,10,71,,5.4,4,0.414,24,0.25,6,31.6,18,0.5329999999999999,12.0,9,34,0.529,18,0.526,10,"January 25, 2020",80.0,32,11.8,4,95.9,96.7,29,0.652,69,0.58,40,0.087,6,0.667,4,10,200,127.0,37.0,10,18,94,,8.1,6,0.33299999999999996,23,0.435,10,68.4,39,0.654,14.3,12,46,0.652,30,0.474,9,"Dean Smith Center, Chapel Hill, North Carolina",MIAMI-FL,Miami (FL),74.2,Home,NORTH-CAROLINA,UNC,North Carolina,acc,18,True,False,True,Home,True,10,30,69,39,57,6,18,58,1,0,101,353,1129,0.4468556244464128,710,1276,0.5564263322884012,164,284,1095,0.4840182648401826,0.4444444444444444
19,2020-01-27-19-north-carolina-state,39.3,11,4.3,2,94.2,75.0,27,0.509,57,0.491,28,0.439,25,0.68,17,10,200,108.7,46.7,14,13,75,,5.8,4,0.158,9,0.222,2,62.1,41,0.544,15.0,12,48,0.542,26,0.5,10,"January 27, 2020",39.3,11,14.6,7,108.7,53.3,16,0.455,66,0.424,28,0.106,7,0.7140000000000001,5,7,200,94.2,25.0,9,21,65,,10.1,7,0.303,20,0.2,4,37.9,25,0.469,12.6,10,46,0.522,24,0.667,14,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,68.6,Away,NORTH-CAROLINA,UNC,North Carolina,acc,19,False,False,False,Away,True,2,26,57,41,66,4,24,66,1,0,111,383,1198,0.4586811352253756,749,1333,0.5618904726181545,170,302,1153,0.4830875975715525,0.4736842105263158
20,2020-02-01-18-north-carolina,46.2,12,4.8,2,95.9,65.9,27,0.527,56,0.46399999999999997,26,0.304,17,0.706,12,11,200,97.3,21.2,7,23,71,,11.0,8,0.321,18,0.389,7,45.9,34,0.5539999999999999,19.1,15,38,0.5,19,0.5,11,"February 1, 2020",40.9,9,7.9,3,97.3,78.8,26,0.39299999999999996,61,0.361,22,0.508,31,0.71,22,11,200,95.9,34.1,14,20,70,,11.0,8,0.311,19,0.21100000000000002,4,54.1,40,0.462,13.9,12,42,0.429,18,0.47600000000000003,10,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,72.9,Away,BOSTON-COLLEGE,Boston College,North Carolina,acc,20,False,True,True,Home,False,4,18,61,40,74,7,19,56,0,1,113,409,1255,0.4609561752988048,790,1399,0.5646890636168692,174,326,1219,0.4815422477440525,0.5
21,2020-02-03-19-florida-state,47.6,10,5.0,2,90.3,69.0,20,0.353,68,0.309,21,0.25,17,0.647,11,12,200,81.9,26.1,12,18,59,,9.7,7,0.27899999999999997,19,0.316,6,42.7,32,0.38799999999999996,10.7,9,49,0.306,15,0.455,10,"February 3, 2020",39.1,9,20.4,10,81.9,73.9,34,0.455,55,0.418,23,0.309,17,0.882,15,3,200,90.3,31.0,9,19,65,8.0,4.2,3,0.273,15,0.267,4,57.3,43,0.515,20.4,16,40,0.475,19,0.8640000000000001,19,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-CAROLINA,UNC,71.6,Home,FLORIDA-STATE,Florida State,North Carolina,acc,21,False,False,False,Away,False,6,15,68,32,75,4,19,55,0,1,117,427,1316,0.4578267477203648,830,1473,0.5634758995247794,181,345,1275,0.4835294117647059,0.4761904761904762
22,2020-02-08-18-north-carolina,44.1,15,3.5,2,102.1,71.1,27,0.45,80,0.425,34,0.425,34,0.765,26,3,225,104.3,27.7,13,27,98,7.0,12.8,12,0.225,18,0.222,4,47.1,40,0.51,10.4,11,62,0.484,30,0.87,20,"February 8, 2020",63.9,23,8.1,5,104.3,72.3,34,0.5429999999999999,69,0.522,36,0.551,38,0.5529999999999999,21,13,225,102.1,28.9,11,27,96,,8.5,8,0.174,12,0.25,3,52.9,45,0.551,17.4,18,57,0.579,33,0.435,10,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,83.6,Away,DUKE,Duke,North Carolina,acc,22,False,True,True,Home,False,3,33,69,45,85,4,30,80,0,1,123,442,1384,0.4526734104046243,862,1548,0.5568475452196382,185,364,1330,0.4823308270676692,0.4545454545454545
23,2020-02-11-20-wake-forest,42.9,9,9.7,3,105.7,74.2,23,0.341,63,0.33299999999999996,21,0.254,16,0.875,14,14,200,81.4,34.2,13,23,57,,11.4,8,0.254,16,0.063,1,52.2,36,0.40399999999999997,16.7,14,47,0.426,20,0.41700000000000004,10,"February 11, 2020",60.9,14,10.6,5,81.4,65.8,25,0.509,54,0.426,23,0.40700000000000003,22,0.8640000000000001,19,13,200,105.7,25.8,8,16,74,,8.6,6,0.426,23,0.391,9,47.8,33,0.574,15.9,12,31,0.452,14,0.45799999999999996,11,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA,UNC,70.0,Home,WAKE-FOREST,Wake Forest,North Carolina,acc,23,False,False,False,Away,False,1,20,63,36,69,9,14,54,0,1,126,475,1453,0.4569855471438403,907,1633,0.5554194733619106,189,394,1410,0.4804964539007092,0.43478260869565216
24,2020-02-15-20-north-carolina,58.3,14,10.0,4,96.9,75.0,18,0.528,54,0.444,24,0.14800000000000002,8,0.875,7,7,200,100.0,17.9,5,15,64,,12.5,8,0.389,21,0.429,9,44.2,23,0.5539999999999999,16.1,11,33,0.455,15,0.708,17,"February 15, 2020",56.0,14,12.1,4,100.0,82.1,23,0.53,50,0.5,25,0.28,14,0.643,9,15,200,96.9,25.0,6,11,62,,9.4,6,0.2,10,0.3,3,55.8,29,0.547,18.8,13,40,0.55,22,0.4,10,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,63.7,Away,VIRGINIA,Virginia,North Carolina,acc,24,False,True,True,Home,False,3,22,50,29,52,9,15,54,0,1,127,495,1516,0.4521767810026385,943,1702,0.5540540540540541,198,408,1464,0.4815573770491803,0.4166666666666667
25,2020-02-17-19-notre-dame,64.3,18,6.9,2,111.6,73.7,28,0.485,66,0.424,28,0.212,14,0.857,12,16,200,110.1,42.4,14,17,76,,5.8,4,0.303,20,0.4,8,59.2,42,0.523,14.3,12,46,0.435,20,0.385,10,"February 17, 2020",53.6,15,10.9,5,110.1,57.6,19,0.532,63,0.444,28,0.27,17,0.588,10,10,200,111.6,26.3,10,15,77,,5.8,4,0.54,34,0.324,11,40.8,29,0.542,7.8,6,29,0.586,17,0.615,16,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NORTH-CAROLINA,UNC,68.9,Home,NOTRE-DAME,Notre Dame,North Carolina,acc,25,False,False,False,Away,False,8,20,66,42,71,11,17,63,0,1,130,517,1566,0.454661558109834,972,1754,0.5541619156214367,207,423,1518,0.483201581027668,0.4
26,2020-02-22-16-louisville,47.6,10,8.6,3,112.5,60.6,20,0.45299999999999996,53,0.396,21,0.151,8,0.875,7,17,200,85.9,28.1,9,11,55,,6.3,4,0.415,22,0.273,6,44.6,29,0.484,23.1,17,31,0.484,15,0.37,10,"February 22, 2020",42.9,12,6.5,2,85.9,71.9,23,0.542,60,0.467,28,0.183,11,0.636,7,5,200,112.5,39.4,13,14,72,11.0,9.4,6,0.41700000000000004,25,0.36,9,55.4,36,0.552,14.5,11,35,0.5429999999999999,19,0.821,23,"KFC Yum! Center, Louisville, Kentucky",NORTH-CAROLINA,UNC,64.0,Home,LOUISVILLE,Louisville,North Carolina,acc,26,False,False,False,Away,False,6,15,53,29,65,9,19,60,0,1,138,537,1632,0.4558823529411765,1014,1825,0.5556164383561644,218,440,1581,0.4851359898798229,0.38461538461538464
