,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLLEGE-OF-CHARLESTON_homegame,COLLEGE-OF-CHARLESTON_homegame2,COLLEGE-OF-CHARLESTON_home,COLLEGE-OF-CHARLESTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-college-of-charleston,48.3,14,16.0,4,104.4,86.7,26,0.516,63,0.46,29,0.222,14,0.7859999999999999,11,2,200,111.8,32.4,11,18,76,,11.8,8,0.317,20,0.35,7,57.8,37,0.546,11.5,9,43,0.512,22,0.818,9,"December 18, 2019",41.7,10,4.7,2,111.8,67.6,23,0.598,51,0.47100000000000003,24,0.275,14,0.7140000000000001,10,6,200,104.4,13.3,4,17,71,,8.8,6,0.51,26,0.5,13,42.2,27,0.616,20.8,15,25,0.44,11,0.455,5,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,68.2,Away,VIRGINIA-COMMONWEALTH,VCU,College of Charleston,colonial,10,False,True,True,Home,False,13,11,51,27,64,7,22,63,0,1,57,183,558,0.4811827956989248,311,645,0.4821705426356589,63,175,575,0.468695652173913,0.5
11,2019-12-21-16-college-of-charleston,50.0,11,18.9,7,105.8,96.8,30,0.47100000000000003,51,0.431,22,0.392,20,0.65,13,7,200,88.4,29.0,9,17,61,,0.0,0,0.33299999999999996,17,0.235,4,62.9,39,0.504,21.1,16,34,0.529,18,0.364,4,"December 21, 2019",50.0,14,14.7,5,88.4,71.0,22,0.5429999999999999,58,0.483,28,0.276,16,0.625,10,6,200,105.8,3.2,1,19,73,,10.1,7,0.36200000000000004,21,0.33299999999999996,7,37.1,23,0.556,8.4,6,37,0.568,21,0.5,6,"TD Arena, Charleston, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,69.1,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,11,True,False,True,Home,True,7,21,58,23,62,4,18,51,1,0,70,194,609,0.4909688013136289,338,709,0.4767277856135402,70,197,638,0.4733542319749217,0.4545454545454545
12,2019-12-28-14-drexel,55.2,16,11.8,4,95.6,60.0,18,0.639,54,0.537,29,0.14800000000000002,8,0.875,7,6,200,111.8,25.0,6,16,76,,13.2,9,0.37,20,0.55,11,44.4,24,0.657,20.7,15,34,0.529,18,0.5379999999999999,7,"December 28, 2019",60.9,14,5.9,2,111.8,75.0,18,0.466,58,0.397,23,0.293,17,0.647,11,7,200,95.6,40.0,12,12,65,,11.8,8,0.414,24,0.33299999999999996,8,55.6,30,0.4920000000000001,18.6,15,34,0.441,15,0.5,7,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,67.9,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,12,False,False,False,Away,True,11,18,54,24,54,8,15,58,1,0,77,215,667,0.4955022488755622,361,771,0.4682230869001297,74,215,689,0.4731494920174166,0.5
13,2019-12-30-19-delaware,42.3,11,3.4,1,90.0,81.8,27,0.4920000000000001,60,0.433,26,0.35,21,0.762,16,6,200,107.1,22.9,8,17,75,,8.6,6,0.38299999999999995,23,0.304,7,51.5,35,0.536,10.4,8,37,0.514,19,0.5710000000000001,8,"December 30, 2019",36.4,8,10.8,4,107.1,77.1,27,0.435,54,0.40700000000000003,22,0.389,21,0.762,16,4,200,90.0,18.2,6,18,63,,1.4,1,0.46299999999999997,25,0.12,3,48.5,33,0.4920000000000001,17.1,13,29,0.655,19,0.733,11,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,70.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,13,False,False,False,Away,True,7,19,60,35,68,3,19,54,1,0,88,233,721,0.5062413314840499,385,825,0.4666666666666667,82,230,747,0.4725568942436412,0.5384615384615384
14,2020-01-02-19-college-of-charleston,23.8,5,5.6,2,122.7,73.0,27,0.415,59,0.35600000000000004,21,0.39,23,0.87,20,9,200,104.5,29.7,11,20,69,,1.5,1,0.475,28,0.25,7,51.4,38,0.493,10.4,8,31,0.452,14,0.4,6,"January 2, 2020",40.0,10,6.5,2,104.5,70.3,26,0.483,60,0.41700000000000004,25,0.467,28,0.821,23,6,200,122.7,27.0,10,18,81,,0.0,0,0.4,24,0.33299999999999996,8,48.6,36,0.5529999999999999,2.7,2,36,0.47200000000000003,17,0.6,9,"TD Arena, Charleston, South Carolina",TOWSON,Towson,66.1,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,14,True,False,True,Home,True,8,17,60,36,74,7,14,59,1,0,95,252,781,0.5051216389244558,420,893,0.4703247480403136,85,249,801,0.4700374531835206,0.5714285714285714
15,2020-01-04-16-college-of-charleston,38.5,10,7.1,2,116.4,72.0,18,0.46,62,0.419,26,0.40299999999999997,25,0.48,12,7,200,94.5,36.6,15,20,69,,9.6,7,0.258,16,0.313,5,50.0,33,0.467,17.0,15,46,0.457,21,0.5329999999999999,8,"January 4, 2020",51.9,14,8.7,4,94.5,63.4,26,0.657,51,0.529,27,0.451,23,0.7829999999999999,18,6,200,116.4,28.0,7,21,85,,11.0,8,0.451,23,0.565,13,50.0,33,0.6859999999999999,21.8,17,28,0.5,14,0.625,10,"TD Arena, Charleston, South Carolina",JAMES-MADISON,James Madison,72.9,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,15,True,False,True,Home,True,13,14,51,33,66,5,21,62,1,0,103,269,841,0.5035671819262783,456,967,0.4715615305067218,92,263,860,0.4662790697674419,0.6
16,2020-01-09-19-elon,55.0,11,8.7,2,97.0,83.3,25,0.523,44,0.455,20,0.75,33,0.818,27,6,200,109.0,20.8,5,18,73,,7.5,5,0.4320000000000001,19,0.316,6,55.6,30,0.612,17.0,12,25,0.56,14,0.647,11,"January 9, 2020",65.2,15,12.0,3,109.0,79.2,19,0.519,53,0.434,23,0.302,16,0.625,10,13,200,97.0,16.7,5,25,65,,9.0,6,0.5660000000000001,30,0.3,9,44.4,24,0.536,15.5,11,23,0.609,14,0.235,4,"Schar Center, Elon, North Carolina",ELON,Elon,66.6,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,16,False,False,False,Away,True,6,14,44,30,54,9,14,53,1,0,116,283,892,0.5123318385650224,489,1033,0.473378509196515,97,284,922,0.4658351409978308,0.625
17,2020-01-11-14-william-mary,36.8,7,14.7,5,108.1,77.4,24,0.391,55,0.345,19,0.309,17,0.765,13,7,200,90.3,25.0,9,18,56,,4.8,3,0.364,20,0.25,5,49.3,33,0.444,11.4,8,35,0.4,14,0.611,11,"January 11, 2020",65.2,15,8.6,3,90.3,75.0,27,0.509,54,0.426,23,0.33299999999999996,18,0.667,12,5,200,108.1,22.6,7,18,67,,6.5,4,0.37,20,0.45,9,50.7,34,0.536,8.8,6,34,0.41200000000000003,14,0.722,13,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",COLLEGE-OF-CHARLESTON,College of Charleston,61.8,Home,WILLIAM-MARY,William & Mary,College of Charleston,colonial,17,False,False,False,Away,False,5,14,55,33,67,9,14,54,0,1,122,297,936,0.5128205128205128,519,1087,0.4774609015639375,106,298,975,0.4687179487179487,0.6470588235294118
18,2020-01-16-19-college-of-charleston,50.0,14,5.7,2,107.0,82.8,24,0.586,58,0.483,28,0.207,12,0.917,11,8,200,111.3,16.7,5,15,79,,12.7,9,0.44799999999999995,26,0.462,12,49.2,29,0.62,15.9,12,32,0.5,16,0.556,10,"January 16, 2020",55.6,15,9.4,3,111.3,83.3,25,0.561,57,0.474,27,0.263,15,0.8,12,8,200,107.0,17.2,5,14,76,,12.7,9,0.386,22,0.455,10,50.8,30,0.593,17.0,13,35,0.486,17,0.579,11,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,71.4,Away,NORTHEASTERN,Northeastern,College of Charleston,colonial,18,False,True,True,Home,False,10,17,57,30,59,12,16,58,0,1,127,311,991,0.5060544904137235,552,1154,0.4783362218370884,115,312,1029,0.4708454810495627,0.6111111111111112
19,2020-01-18-16-college-of-charleston,48.0,12,9.1,3,109.5,68.8,22,0.5770000000000001,52,0.48100000000000004,25,0.135,7,1.0,7,6,200,106.3,13.0,3,13,67,,6.3,4,0.365,19,0.526,10,45.5,25,0.606,15.4,10,33,0.455,15,0.7,14,"January 18, 2020",48.0,12,9.1,3,106.3,87.0,20,0.4920000000000001,59,0.424,25,0.22,13,0.846,11,8,200,109.5,31.3,10,12,69,,9.5,6,0.441,26,0.308,8,54.5,30,0.529,12.2,9,33,0.515,17,0.6,12,"TD Arena, Charleston, South Carolina",HOFSTRA,Hofstra,63.3,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,19,True,False,True,Home,True,8,17,59,30,55,10,15,52,1,0,137,328,1048,0.5090648854961832,582,1213,0.4798021434460016,127,328,1087,0.4770009199632015,0.5789473684210527
20,2020-01-25-16-college-of-charleston,40.9,9,10.3,4,97.2,72.1,31,0.455,55,0.4,22,0.6,33,0.667,22,15,200,100.0,15.4,6,16,72,,0.0,0,0.345,19,0.316,6,45.1,37,0.509,9.1,7,36,0.444,16,0.318,7,"January 25, 2020",32.0,8,2.8,1,100.0,84.6,33,0.389,72,0.34700000000000003,25,0.222,16,0.875,14,9,200,97.2,27.9,12,25,70,,4.2,3,0.45799999999999996,33,0.182,6,54.9,45,0.44,5.9,5,39,0.48700000000000004,19,0.5710000000000001,12,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,72.1,Away,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,College of Charleston,colonial,20,False,True,True,Home,False,6,19,72,45,82,6,16,55,0,1,145,345,1107,0.5081300813008129,612,1268,0.4826498422712934,137,343,1139,0.4815627743634767,0.6
21,2020-01-30-18-james-madison,41.9,13,8.1,3,97.1,68.6,24,0.615,61,0.508,31,0.262,16,0.75,12,9,200,124.3,21.9,7,14,87,,14.3,10,0.39299999999999996,24,0.542,13,46.3,31,0.634,10.5,8,37,0.486,18,0.591,13,"January 30, 2020",60.0,15,10.8,4,124.3,78.1,25,0.46,63,0.397,25,0.19,12,0.833,10,13,200,97.1,31.4,11,15,68,,7.1,5,0.413,26,0.308,8,53.7,36,0.495,14.9,12,37,0.45899999999999996,17,0.381,8,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,69.7,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,21,False,False,False,Away,True,13,18,61,31,67,8,17,63,1,0,151,364,1179,0.5008481764206955,657,1350,0.4866666666666667,143,359,1194,0.4803182579564489,0.5714285714285714
22,2020-02-01-14-towson,65.2,15,8.3,3,107.7,73.3,22,0.659,44,0.523,23,0.568,25,0.84,21,9,200,121.5,15.0,3,15,79,,7.7,5,0.568,25,0.48,12,50.0,25,0.7070000000000001,16.7,11,19,0.579,11,0.609,14,"February 1, 2020",47.8,11,5.3,1,121.5,85.0,17,0.474,57,0.40399999999999997,23,0.298,17,0.941,16,10,200,107.7,26.7,8,20,70,,10.8,7,0.368,21,0.381,8,50.0,25,0.5379999999999999,12.2,9,36,0.41700000000000004,15,0.565,13,"SECU Arena, Towson, Maryland",TOWSON,Towson,65.0,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,22,False,False,False,Away,True,12,11,44,25,50,8,15,57,1,0,164,382,1240,0.5064516129032258,688,1417,0.4855328158080452,151,376,1257,0.479315831344471,0.5909090909090909
23,2020-02-06-19-college-of-charleston,50.0,10,5.7,2,111.5,86.2,25,0.3670000000000001,60,0.33299999999999996,20,0.133,8,0.75,6,9,200,82.0,44.4,16,12,50,,1.6,1,0.38299999999999995,23,0.174,4,63.1,41,0.392,17.0,13,37,0.4320000000000001,16,0.64,16,"February 6, 2020",37.0,10,8.1,3,82.0,55.6,20,0.5529999999999999,57,0.474,27,0.12300000000000001,7,0.7140000000000001,5,9,200,111.5,13.8,4,10,68,,16.4,10,0.386,22,0.409,9,36.9,24,0.564,6.2,4,35,0.514,18,0.625,15,"TD Arena, Charleston, South Carolina",WILLIAM-MARY,William & Mary,60.6,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,23,True,False,True,Home,True,9,18,57,24,65,4,16,60,1,0,176,393,1284,0.5116822429906542,713,1467,0.4860259032038173,159,391,1314,0.4790715372907154,0.6086956521739131
24,2020-02-08-16-college-of-charleston,57.9,11,6.7,2,101.6,76.5,26,0.462,53,0.358,19,0.547,29,0.7929999999999999,23,17,200,112.5,25.0,8,19,72,,0.0,0,0.528,28,0.39299999999999996,11,51.5,34,0.539,7.1,5,25,0.32,8,0.34600000000000003,9,"February 8, 2020",40.0,8,8.0,2,112.5,75.0,24,0.44299999999999995,53,0.377,20,0.415,22,0.818,18,10,200,101.6,23.5,8,21,65,,3.1,2,0.434,23,0.304,7,48.5,32,0.512,11.3,8,30,0.433,13,0.6,15,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,63.6,Away,ELON,Elon,College of Charleston,colonial,24,False,True,True,Home,False,7,13,53,32,66,11,8,53,0,1,185,411,1341,0.5134228187919463,737,1532,0.4810704960835509,163,407,1374,0.4741630276564774,0.625
25,2020-02-13-19-hofstra,61.5,16,2.9,1,110.1,75.0,18,0.518,55,0.473,26,0.182,10,0.6,6,11,200,91.3,12.9,4,14,63,,15.9,11,0.364,20,0.25,5,40.0,22,0.527,18.0,13,35,0.6,21,0.5770000000000001,15,"February 13, 2020",48.3,14,5.7,2,91.3,87.1,27,0.613,53,0.547,29,0.226,12,0.917,11,7,200,110.1,25.0,6,14,76,,11.6,8,0.34,18,0.389,7,60.0,33,0.647,22.6,17,35,0.629,22,0.731,19,"Mack Sports Complex, Hempstead, New York",COLLEGE-OF-CHARLESTON,College of Charleston,69.2,Home,HOFSTRA,Hofstra,College of Charleston,colonial,25,False,False,False,Away,False,5,21,55,22,55,7,22,53,0,1,192,424,1394,0.5107604017216643,769,1598,0.4812265331664581,174,415,1427,0.4737210932025228,0.6
26,2020-02-15-12-northeastern,42.1,8,3.0,1,98.5,76.0,19,0.479,47,0.40399999999999997,19,0.17,8,0.75,6,12,200,77.3,3.4,1,14,51,,9.1,6,0.40399999999999997,19,0.368,7,37.0,20,0.502,25.2,17,28,0.429,12,0.556,15,"February 15, 2020",38.5,10,0.0,0,77.3,96.6,28,0.519,54,0.48100000000000004,26,0.204,11,0.818,9,13,200,98.5,24.0,6,10,65,,13.6,9,0.389,21,0.19,4,63.0,34,0.5489999999999999,15.8,11,33,0.667,22,0.5,13,"Matthews Arena, Boston, Massachusetts",COLLEGE-OF-CHARLESTON,College of Charleston,65.5,Home,NORTHEASTERN,Northeastern,College of Charleston,colonial,26,False,False,False,Away,False,7,12,47,20,54,4,22,54,0,1,197,445,1449,0.5110420979986198,791,1653,0.4785238959467635,181,437,1480,0.4787162162162162,0.5769230769230769
