,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-ALABAMA_homegame,SOUTH-ALABAMA_homegame2,SOUTH-ALABAMA_home,SOUTH-ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-19-20-south-alabama,35.5,11,10.3,3,106.0,72.4,21,0.588,57,0.544,31,0.316,18,0.778,14,4,200,120.9,32.0,8,13,81,,10.4,7,0.33299999999999996,19,0.263,5,53.7,29,0.618,13.3,10,38,0.684,26,0.636,7,"December 19, 2019",56.0,14,2.6,1,120.9,68.0,17,0.544,57,0.439,25,0.175,10,0.9,9,5,200,106.0,27.6,8,21,71,,9.0,6,0.491,28,0.429,12,46.3,25,0.575,16.3,12,29,0.44799999999999995,13,0.545,6,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,66.7,Away,APPALACHIAN-STATE,Appalachian State,South Alabama,sun-belt,10,False,True,True,Home,False,12,13,57,25,54,5,26,57,0,1,61,213,566,0.5379858657243817,317,618,0.5129449838187702,74,192,591,0.5126903553299492,0.6
11,2019-12-21-16-south-alabama,53.3,16,18.2,6,92.0,85.4,35,0.523,64,0.469,30,0.406,26,0.5379999999999999,14,5,200,108.0,39.5,15,22,81,,9.3,7,0.21899999999999997,14,0.5,7,63.3,50,0.53,15.7,14,50,0.46,23,0.615,8,"December 21, 2019",47.6,10,16.0,8,108.0,60.5,23,0.424,59,0.35600000000000004,21,0.424,25,0.76,19,6,200,92.0,14.6,6,23,69,,8.0,6,0.441,26,0.308,8,36.7,29,0.48700000000000004,12.5,10,33,0.39399999999999996,13,0.5,6,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,75.1,Away,COASTAL-CAROLINA,Coastal Carolina,South Alabama,sun-belt,11,False,True,True,Home,False,8,13,59,29,79,7,23,64,0,1,73,226,623,0.5385232744783307,342,672,0.5089285714285714,79,218,648,0.5192901234567902,0.5454545454545454
12,2019-12-28-16-south-alabama,66.7,12,7.9,3,110.1,76.0,19,0.35700000000000004,63,0.28600000000000003,18,0.063,4,0.5,2,0,200,68.1,30.0,12,18,47,,2.9,2,0.508,32,0.281,9,47.7,31,0.36200000000000004,21.7,18,31,0.29,9,0.0,0,"December 28, 2019",65.5,19,6.5,2,68.1,70.0,28,0.564,55,0.527,29,0.345,19,0.737,14,6,200,110.1,24.0,6,9,76,,11.6,8,0.309,17,0.235,4,52.3,34,0.594,12.4,9,38,0.6579999999999999,25,0.5379999999999999,7,"Mitchell Center, Mobile, Alabama","Mobile
			","Mobile
			",69.0,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,12,True,False,True,Home,True,4,25,55,34,65,9,9,63,1,0,81,239,682,0.5285923753665689,371,751,0.4940079893475366,86,241,712,0.5196629213483146,0.5
13,2020-01-02-20-louisiana-lafayette,35.0,7,17.6,3,96.6,67.6,25,0.45,50,0.4,20,0.34,17,0.882,15,6,200,101.7,23.3,7,14,60,,11.9,7,0.34,17,0.294,5,47.8,32,0.517,13.5,9,33,0.455,15,0.5710000000000001,8,"January 2, 2020",84.2,16,18.2,6,101.7,76.7,23,0.431,58,0.32799999999999996,19,0.138,8,0.875,7,9,200,96.6,32.4,12,13,57,,5.1,3,0.7070000000000001,41,0.293,12,52.2,35,0.461,12.8,9,17,0.41200000000000003,7,0.35700000000000004,5,"Cajundome, Lafayette, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,59.4,Away,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,13,False,False,False,Away,True,5,15,50,32,67,12,7,58,1,0,85,264,737,0.5312075983717774,405,816,0.4963235294117647,95,250,775,0.5064516129032258,0.5384615384615384
14,2020-01-04-15-louisiana-monroe,50.0,9,0.0,0,115.0,56.0,14,0.40399999999999997,47,0.38299999999999995,18,0.36200000000000004,17,0.647,11,7,200,81.7,18.5,5,7,49,,11.7,7,0.298,14,0.14300000000000002,2,36.5,19,0.445,18.1,12,33,0.485,16,0.5329999999999999,8,"January 4, 2020",74.1,20,12.1,4,81.7,81.5,22,0.605,57,0.474,27,0.0,0,,0,7,200,115.0,44.0,11,13,69,,6.7,4,0.561,32,0.469,15,63.5,33,0.605,17.4,12,25,0.48,12,0.462,6,"Fant-Ewing Coliseum, Monroe, Louisiana",SOUTH-ALABAMA,South Alabama,60.0,Home,LOUISIANA-MONROE,Louisiana-Monroe,South Alabama,sun-belt,14,False,False,False,Away,False,2,16,47,19,52,15,12,57,0,1,90,279,787,0.5260482846251588,437,883,0.4949037372593432,107,257,833,0.5012004801920769,0.5714285714285714
15,2020-01-06-20-texas-arlington,46.2,12,11.5,3,80.6,84.2,32,0.551,49,0.531,26,0.34700000000000003,17,0.706,12,7,200,98.5,13.0,3,16,66,,9.0,6,0.28600000000000003,14,0.14300000000000002,2,57.4,35,0.578,19.9,14,35,0.6859999999999999,24,0.562,9,"January 6, 2020",55.0,11,8.6,3,98.5,87.0,20,0.39,59,0.33899999999999997,20,0.203,12,0.667,8,11,200,80.6,15.8,6,17,54,,14.9,10,0.5589999999999999,33,0.182,6,42.6,26,0.41700000000000004,11.1,8,26,0.5379999999999999,14,0.312,5,"College Park Center, Arlington, Texas",TEXAS-ARLINGTON,Texas-Arlington,67.4,Away,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,15,False,False,False,Away,True,2,24,49,35,61,6,14,59,1,0,92,295,834,0.5191846522781774,456,935,0.4877005347593583,122,269,890,0.5078651685393258,0.5333333333333333
16,2020-01-09-20-south-alabama,47.6,10,7.3,3,125.0,57.1,16,0.5329999999999999,46,0.457,21,0.28300000000000003,13,0.769,10,6,200,98.3,37.0,10,25,59,,8.3,5,0.413,19,0.368,7,47.3,26,0.565,25.8,18,27,0.519,14,0.647,11,"January 9, 2020",47.8,11,3.7,1,98.3,63.0,17,0.521,48,0.479,23,0.7290000000000001,35,0.7140000000000001,25,7,200,125.0,42.9,12,17,75,,20.0,12,0.146,7,0.5710000000000001,4,52.7,29,0.58,11.2,8,41,0.46299999999999997,19,0.588,10,"Mitchell Center, Mobile, Alabama",ARKANSAS-STATE,Arkansas State,60.4,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,16,True,False,True,Home,True,4,19,48,29,55,7,14,46,1,0,94,319,883,0.5209513023782559,491,996,0.4929718875502008,128,283,949,0.5005268703898841,0.5625
17,2020-01-11-17-arkansas-little-rock,31.6,6,12.9,4,67.2,67.7,21,0.433,45,0.42200000000000004,19,0.4,18,0.722,13,7,200,81.3,11.5,3,16,52,,14.1,9,0.2,9,0.111,1,42.1,24,0.486,22.1,15,36,0.5,18,0.611,11,"January 11, 2020",87.5,14,5.6,2,81.3,88.5,23,0.39399999999999996,47,0.34,16,0.23399999999999999,11,0.545,6,7,200,67.2,32.3,10,16,43,,7.8,5,0.34,16,0.313,5,57.9,33,0.41200000000000003,28.8,21,31,0.355,11,0.611,11,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,64.4,Away,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,17,False,False,False,Away,True,1,18,45,24,57,5,11,47,1,0,98,338,931,0.5209452201933404,520,1051,0.4947668886774501,135,297,995,0.5020100502512563,0.5882352941176471
18,2020-01-16-20-south-alabama,56.5,13,15.9,7,90.0,71.9,23,0.535,57,0.40399999999999997,23,0.298,17,0.647,11,6,200,102.9,25.7,9,20,72,,7.1,5,0.614,35,0.429,15,47.8,32,0.5529999999999999,16.8,13,22,0.364,8,0.684,13,"January 16, 2020",34.8,8,9.1,2,102.9,74.3,26,0.48,50,0.46,23,0.48,24,0.625,15,8,200,90.0,28.1,9,20,63,,8.6,6,0.12,6,0.33299999999999996,2,52.2,35,0.513,22.9,18,44,0.47700000000000004,21,0.579,11,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,69.7,Away,GEORGIA-STATE,Georgia State,South Alabama,sun-belt,18,False,True,True,Home,False,2,21,50,35,67,15,8,57,0,1,99,356,976,0.516905737704918,544,1108,0.4909747292418773,140,308,1042,0.4971209213051823,0.6111111111111112
19,2020-01-18-16-south-alabama,52.2,12,7.1,3,113.8,66.7,22,0.536,55,0.418,23,0.29100000000000004,16,0.563,9,8,200,104.6,28.6,10,19,68,,6.2,4,0.655,36,0.361,13,47.1,32,0.5429999999999999,17.3,13,19,0.526,10,0.6,12,"January 18, 2020",43.5,10,5.3,1,104.6,71.4,25,0.43799999999999994,56,0.41100000000000003,23,0.5,28,0.893,25,8,200,113.8,33.3,11,16,74,,15.4,10,0.25,14,0.214,3,52.9,36,0.534,9.3,7,42,0.47600000000000003,20,0.6,12,"Mitchell Center, Mobile, Alabama",GEORGIA-SOUTHERN,Georgia Southern,65.5,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,19,True,False,True,Home,True,3,20,56,36,68,13,10,55,1,0,101,377,1026,0.5151072124756335,579,1175,0.4927659574468085,155,316,1099,0.4990900818926297,0.5789473684210527
20,2020-01-23-20-arkansas-state,22.7,5,10.5,2,115.4,79.2,19,0.534,44,0.5,22,0.8640000000000001,38,0.632,24,9,200,109.2,22.6,7,18,71,,12.3,8,0.182,8,0.375,3,47.3,26,0.5720000000000001,11.6,8,36,0.528,19,0.5710000000000001,12,"January 23, 2020",95.5,21,11.1,4,109.2,77.4,24,0.614,44,0.5,22,0.591,26,0.8079999999999999,21,7,200,115.4,20.8,5,26,75,,3.1,2,0.568,25,0.4,10,52.7,29,0.665,21.3,15,19,0.632,12,0.667,14,"Convocation Center, Jonesboro, Arkansas",SOUTH-ALABAMA,South Alabama,64.7,Home,ARKANSAS-STATE,Arkansas State,South Alabama,sun-belt,20,False,False,False,Away,False,3,19,44,26,55,10,12,44,0,1,104,397,1082,0.5110905730129389,615,1243,0.4947707160096541,168,326,1154,0.5008665511265165,0.6
21,2020-01-25-20-south-alabama,56.0,14,20.0,6,112.7,90.9,20,0.585,53,0.47200000000000003,25,0.264,14,0.7859999999999999,11,7,200,115.9,30.8,8,18,73,,11.1,7,0.528,28,0.429,12,58.3,28,0.612,14.5,10,25,0.52,13,0.682,15,"January 25, 2020",47.8,11,8.0,2,115.9,69.2,18,0.598,46,0.5,23,0.391,18,0.889,16,10,200,112.7,9.1,2,15,71,,11.1,7,0.348,16,0.563,9,41.7,20,0.6509999999999999,18.2,12,30,0.467,14,0.545,12,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,63.1,Away,ARKANSAS-LITTLE-ROCK,Little Rock,South Alabama,sun-belt,21,False,True,True,Home,False,9,14,46,20,48,12,13,53,0,1,107,416,1126,0.5119893428063943,641,1298,0.4938366718027735,178,338,1198,0.505008347245409,0.5714285714285714
22,2020-01-30-19-georgia-state,37.5,9,4.2,1,107.0,67.9,19,0.491,56,0.429,24,0.518,29,0.621,18,11,200,102.8,31.4,11,22,73,,4.2,3,0.33899999999999997,19,0.368,7,47.6,30,0.523,14.9,12,37,0.45899999999999996,17,0.522,12,"January 30, 2020",54.5,12,8.1,3,102.8,68.6,24,0.49,52,0.423,22,0.635,33,0.758,25,7,200,107.0,32.1,9,19,76,,7.0,5,0.5379999999999999,28,0.25,7,52.4,33,0.562,16.3,13,24,0.625,15,0.682,15,"GSU Sports Arena, Atlanta, Georgia",SOUTH-ALABAMA,South Alabama,71.2,Home,GEORGIA-STATE,Georgia State,South Alabama,sun-belt,22,False,False,False,Away,False,7,17,56,30,63,7,15,52,0,1,116,430,1172,0.5153583617747439,661,1346,0.4910846953937593,190,351,1251,0.5083932853717026,0.5454545454545454
23,2020-02-01-16-georgia-southern,41.9,13,4.2,1,93.2,65.9,27,0.5670000000000001,60,0.517,31,0.25,15,0.733,11,11,200,106.8,25.0,7,17,79,,12.2,9,0.3,18,0.33299999999999996,6,49.3,34,0.588,17.4,14,42,0.595,25,0.542,13,"February 1, 2020",66.7,14,11.9,5,106.8,75.0,21,0.45799999999999996,59,0.35600000000000004,21,0.373,22,0.682,15,10,200,93.2,34.1,14,18,69,,8.1,6,0.593,35,0.34299999999999997,12,50.7,35,0.4970000000000001,20.8,18,24,0.375,9,0.565,13,"Hanner Fieldhouse, Statesboro, Georgia",GEORGIA-SOUTHERN,Georgia Southern,73.8,Away,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,23,False,False,False,Away,True,6,25,60,34,69,12,9,59,1,0,123,447,1228,0.5142508143322475,691,1409,0.4904187366926898,197,366,1303,0.5076745970836531,0.5217391304347826
24,2020-02-07-21-troy,55.6,15,8.3,2,97.1,81.8,27,0.5,59,0.45799999999999996,27,0.271,16,0.688,11,11,200,102.9,25.0,8,11,70,,7.4,5,0.254,15,0.33299999999999996,5,53.8,35,0.526,13.2,10,44,0.5,22,0.56,14,"February 7, 2020",84.0,21,11.4,5,102.9,75.0,24,0.508,60,0.41700000000000004,25,0.15,9,0.556,5,16,200,97.1,18.2,6,15,66,,2.9,2,0.6,36,0.306,11,46.2,30,0.513,12.3,9,24,0.583,14,0.36,9,"Trojan Arena, Troy, Alabama",TROY,Troy,67.9,Away,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,24,False,False,False,Away,True,5,22,59,35,65,11,14,60,1,0,129,472,1288,0.5166925465838509,725,1478,0.4905277401894452,209,375,1362,0.5055066079295154,0.5416666666666666
25,2020-02-13-20-south-alabama,57.7,15,14.0,7,109.9,69.4,25,0.5,62,0.419,26,0.258,16,0.813,13,16,200,105.6,28.6,10,20,75,,7.0,5,0.484,30,0.33299999999999996,10,49.3,35,0.539,12.7,10,32,0.5,16,0.385,10,"February 13, 2020",37.9,11,15.6,5,105.6,71.4,25,0.485,66,0.439,29,0.258,17,0.8240000000000001,14,11,200,109.9,30.6,11,13,78,,4.2,3,0.242,16,0.375,6,50.7,36,0.526,12.0,10,50,0.46,23,0.5770000000000001,15,"Mitchell Center, Mobile, Alabama",LOUISIANA-LAFAYETTE,Louisiana,71.3,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,25,True,False,True,Home,True,6,23,66,36,71,10,16,62,1,0,134,494,1347,0.5159613956941351,760,1543,0.492546986390149,220,389,1422,0.5056258790436006,0.56
26,2020-02-15-16-south-alabama,70.6,12,14.6,6,79.4,72.1,31,0.389,54,0.315,17,0.222,12,0.583,7,18,200,77.8,29.4,10,19,49,,6.3,4,0.574,31,0.258,8,53.2,41,0.41,16.8,12,23,0.391,9,0.28,7,"February 15, 2020",55.6,10,21.7,5,77.8,70.6,24,0.35100000000000003,57,0.316,18,0.35100000000000003,20,0.5,10,11,200,79.4,27.9,12,16,50,,15.9,10,0.281,16,0.25,4,46.8,36,0.376,12.0,9,41,0.341,14,0.593,16,"Mitchell Center, Mobile, Alabama",LOUISIANA-MONROE,Louisiana-Monroe,62.6,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,26,True,False,True,Home,True,4,14,57,36,77,8,9,54,1,0,140,517,1413,0.5145081387119603,796,1614,0.493184634448575,230,405,1484,0.5053908355795148,0.5769230769230769
