,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARMY_homegame,ARMY_homegame2,ARMY_home,ARMY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-14-wagner,68.2,15,2.8,1,118.8,68.4,26,0.544,45,0.489,22,0.578,26,0.5,13,6,200,89.9,31.0,9,17,62,,4.3,3,0.444,20,0.25,5,52.2,35,0.541,25.2,19,25,0.68,17,0.455,5,"December 21, 2019",62.1,18,16.0,4,89.9,69.0,20,0.507,68,0.426,29,0.221,15,0.867,13,7,200,118.8,31.6,12,22,82,,10.1,7,0.47100000000000003,32,0.344,11,47.8,32,0.546,9.7,8,36,0.5,18,0.3,3,"Spiro Sports Center, Staten Island, New York",ARMY,Army,69.2,Home,WAGNER,Wagner,Army,patriot,10,False,False,False,Away,False,5,17,45,35,67,11,18,68,0,1,81,189,581,0.5344234079173839,330,669,0.4932735426008968,94,170,614,0.506514657980456,0.5
11,2020-01-02-19-bucknell,62.5,15,2.8,1,95.7,80.6,25,0.491,54,0.444,24,0.29600000000000004,16,0.75,12,7,200,92.9,17.9,5,11,65,,7.1,5,0.315,17,0.294,5,50.8,30,0.528,18.7,14,37,0.514,19,0.41700000000000004,5,"January 2, 2020",42.3,11,21.6,8,92.9,82.1,23,0.544,57,0.456,26,0.105,6,0.833,5,9,200,95.7,19.4,6,15,67,,11.4,8,0.368,21,0.47600000000000003,10,49.2,29,0.56,20.1,15,36,0.444,16,0.35700000000000004,5,"Sojka Pavilion, Lewisburg, Pennsylvania",ARMY,Army,69.7,Home,BUCKNELL,Bucknell,Army,patriot,11,False,False,False,Away,False,5,19,54,30,59,10,16,57,0,1,86,206,626,0.5351437699680511,365,736,0.4959239130434783,105,188,682,0.5065982404692082,0.4545454545454545
12,2020-01-06-19-army,60.9,14,12.5,4,91.5,80.6,29,0.48200000000000004,57,0.40399999999999997,23,0.33299999999999996,19,0.789,15,4,200,98.6,12.1,4,10,70,,8.5,6,0.456,26,0.34600000000000003,9,47.8,33,0.53,10.9,8,31,0.452,14,0.733,11,"January 6, 2020",60.0,15,3.2,1,98.6,87.9,29,0.46,62,0.40299999999999997,25,0.177,11,0.727,8,8,200,91.5,19.4,7,17,65,,4.2,3,0.484,30,0.233,7,52.2,36,0.483,14.1,11,32,0.563,18,0.385,5,"Christl Arena, West Point, New York",ARMY,Army,70.6,Away,COLGATE,Colgate,Army,patriot,12,False,True,True,Home,False,7,18,62,36,69,9,14,57,0,1,91,225,680,0.5316176470588235,395,795,0.4968553459119497,115,204,739,0.5094722598105548,0.4166666666666667
13,2020-01-08-19-army,62.5,15,6.7,2,89.6,85.0,17,0.509,54,0.444,24,0.29600000000000004,16,0.813,13,8,200,101.5,17.9,5,7,68,,11.9,8,0.389,21,0.33299999999999996,7,45.8,22,0.552,14.1,10,33,0.515,17,0.429,6,"January 8, 2020",57.7,15,3.0,1,101.5,82.1,23,0.604,48,0.542,26,0.16699999999999998,8,0.25,2,9,200,89.6,15.0,3,14,60,,4.5,3,0.375,18,0.33299999999999996,6,54.2,26,0.579,25.9,18,30,0.667,20,0.35700000000000004,5,"Christl Arena, West Point, New York",ARMY,Army,66.7,Away,AMERICAN,American,Army,patriot,13,False,True,True,Home,False,6,20,48,26,48,7,17,54,0,1,98,243,742,0.5256064690026954,431,864,0.4988425925925926,124,218,796,0.507537688442211,0.38461538461538464
14,2020-01-11-13-boston-university,45.5,10,2.4,1,124.6,64.0,16,0.455,56,0.39299999999999996,22,0.25,14,0.5710000000000001,8,10,200,90.8,15.2,5,11,59,,10.8,7,0.39299999999999996,22,0.318,7,36.2,21,0.47100000000000003,11.4,8,34,0.441,15,0.33299999999999996,5,"January 11, 2020",52.9,18,5.9,2,90.8,84.8,28,0.679,56,0.607,34,0.161,9,0.556,5,8,200,124.6,36.0,9,15,81,,6.2,4,0.268,15,0.5329999999999999,8,63.8,37,0.672,18.9,14,41,0.634,26,0.529,9,"Case Gym, Boston, Massachusetts",ARMY,Army,65.5,Home,BOSTON-UNIVERSITY,Boston University,Army,patriot,14,False,False,False,Away,False,7,15,56,21,58,8,26,56,0,1,104,263,790,0.5303797468354431,457,912,0.5010964912280702,131,235,850,0.5076470588235295,0.35714285714285715
15,2020-01-16-14-holy-cross,45.5,15,2.9,1,98.5,83.3,25,0.565,62,0.532,33,0.19399999999999998,12,0.75,9,10,200,116.2,14.8,4,11,79,,2.9,2,0.242,15,0.267,4,50.9,29,0.583,5.6,4,47,0.617,29,0.375,6,"January 16, 2020",46.2,12,8.5,4,116.2,85.2,23,0.508,59,0.441,26,0.203,12,0.583,7,16,200,98.5,16.7,5,11,67,,4.4,3,0.424,25,0.32,8,49.1,28,0.518,12.3,9,34,0.529,18,0.111,2,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.2,Away,ARMY,Army,Army,patriot,15,False,False,False,Away,True,4,29,62,29,57,8,18,59,1,0,111,278,846,0.5254137115839244,478,970,0.4927835051546392,139,261,906,0.5182119205298014,0.3333333333333333
16,2020-01-18-13-army,59.3,16,5.7,2,117.4,75.9,22,0.596,52,0.519,27,0.5579999999999999,29,0.621,18,10,200,115.9,34.5,10,10,80,,8.7,6,0.40399999999999997,21,0.381,8,55.2,32,0.608,16.7,13,31,0.613,19,0.474,9,"January 18, 2020",69.7,23,9.7,3,115.9,65.5,19,0.613,62,0.532,33,0.145,9,0.556,5,10,200,117.4,24.1,7,23,81,,5.8,4,0.435,27,0.37,10,44.8,26,0.611,13.2,10,35,0.657,23,0.41200000000000003,7,"Christl Arena, West Point, New York",LOYOLA-MD,Loyola (MD),69.0,Home,ARMY,Army,Army,patriot,16,True,False,True,Home,True,10,23,62,26,58,8,19,52,1,0,115,307,908,0.5280837004405287,507,1027,0.4936708860759494,147,279,965,0.5176165803108809,0.375
17,2020-01-22-19-lafayette,62.5,25,5.6,2,108.8,71.8,28,0.7190000000000001,64,0.625,40,0.063,4,0.5,2,10,200,138.2,4.5,1,14,94,,4.4,3,0.32799999999999996,21,0.5710000000000001,12,47.5,29,0.713,5.7,4,43,0.6509999999999999,28,0.444,8,"January 22, 2020",50.0,13,2.3,1,138.2,95.5,21,0.4920000000000001,65,0.4,26,0.215,14,0.7140000000000001,10,7,200,108.8,28.2,11,7,74,,4.4,3,0.446,29,0.414,12,52.5,32,0.516,7.8,6,36,0.389,14,0.611,11,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,67.8,Away,ARMY,Army,Army,patriot,17,False,False,False,Away,True,12,28,64,29,61,12,14,65,1,0,125,330,970,0.5335051546391752,533,1085,0.4912442396313364,155,298,1017,0.5216322517207473,0.4117647058823529
18,2020-01-25-13-navy,58.6,17,18.4,7,95.7,72.2,26,0.606,52,0.5579999999999999,29,0.308,16,0.625,10,10,200,105.8,11.5,3,16,73,,8.7,6,0.365,19,0.263,5,46.8,29,0.612,14.5,10,33,0.727,24,0.474,9,"January 25, 2020",57.7,15,6.1,2,105.8,88.5,23,0.47700000000000004,64,0.406,26,0.188,12,0.41700000000000004,5,8,200,95.7,27.8,10,18,66,,5.8,4,0.406,26,0.34600000000000003,9,53.2,33,0.473,14.8,12,38,0.447,17,0.579,11,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,69.2,Away,ARMY,Army,Army,patriot,18,False,False,False,Away,True,5,24,52,29,62,9,17,64,1,0,137,358,1034,0.5449709864603481,562,1146,0.4904013961605584,167,312,1082,0.5198706099815157,0.4444444444444444
19,2020-01-29-11-army,45.5,10,12.2,5,91.9,89.3,25,0.431,58,0.379,22,0.172,10,0.9,9,13,200,79.7,14.7,5,17,59,,9.5,7,0.36200000000000004,21,0.28600000000000003,6,48.4,30,0.47,20.4,16,37,0.4320000000000001,16,0.409,9,"January 29, 2020",57.7,15,2.7,1,79.7,85.3,29,0.466,59,0.441,26,0.237,14,0.929,13,10,200,91.9,10.7,3,13,68,,9.5,7,0.305,18,0.16699999999999998,3,51.6,32,0.518,15.6,12,41,0.561,23,0.5,10,"Christl Arena, West Point, New York",BUCKNELL,Bucknell,74.2,Home,ARMY,Army,Army,patriot,19,True,False,True,Home,True,3,23,59,32,62,6,16,58,1,0,142,382,1086,0.5478821362799263,591,1208,0.4892384105960265,176,329,1146,0.5174520069808028,0.4736842105263158
20,2020-02-01-19-lehigh,50.0,15,0.0,0,114.5,85.7,18,0.603,58,0.517,30,0.259,15,0.667,10,10,200,115.9,26.7,8,13,80,,10.1,7,0.32799999999999996,19,0.526,10,51.0,26,0.614,14.6,11,39,0.513,20,0.524,11,"February 1, 2020",63.3,19,7.7,3,115.9,73.3,22,0.625,56,0.536,30,0.196,11,0.818,9,17,200,114.5,14.3,3,16,79,,4.3,3,0.41100000000000003,23,0.435,10,49.0,25,0.645,15.3,11,33,0.606,20,0.22699999999999998,5,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,68.7,Away,ARMY,Army,Army,patriot,20,False,False,False,Away,True,10,20,58,26,51,10,20,56,1,0,145,405,1145,0.5436681222707423,623,1270,0.4905511811023622,182,345,1204,0.5132890365448505,0.5
21,2020-02-05-19-army,57.1,16,2.4,1,100.0,73.3,22,0.6,55,0.509,28,0.364,20,0.7,14,10,200,121.2,18.5,5,15,80,,9.1,6,0.473,26,0.385,10,47.4,27,0.62,9.9,7,29,0.621,18,0.583,14,"February 5, 2020",42.9,12,3.4,1,121.2,81.5,22,0.5,59,0.475,28,0.153,9,0.778,7,11,200,100.0,26.7,8,17,66,,6.1,4,0.28800000000000003,17,0.17600000000000002,3,52.6,30,0.522,14.9,11,42,0.595,25,0.5,11,"Christl Arena, West Point, New York",ARMY,Army,66.4,Away,BOSTON-UNIVERSITY,Boston University,Army,patriot,21,False,True,True,Home,False,3,25,59,30,57,10,18,55,0,1,155,425,1203,0.5465502909393184,649,1321,0.4912944738834216,192,365,1260,0.5182539682539683,0.5238095238095238
22,2020-02-08-14-american,43.5,10,5.6,2,100.0,73.5,25,0.418,61,0.377,23,0.295,18,0.611,11,12,200,86.1,20.5,8,17,62,,9.7,7,0.311,19,0.263,5,45.2,33,0.446,13.8,11,42,0.429,18,0.478,11,"February 8, 2020",45.8,11,16.7,7,86.1,79.5,31,0.475,61,0.39299999999999996,24,0.295,18,0.778,14,11,200,100.0,26.5,9,15,72,,9.7,7,0.41,25,0.4,10,54.8,40,0.518,13.8,11,36,0.389,14,0.522,12,"Bender Arena, Washington, District of Columbia",ARMY,Army,72.1,Home,AMERICAN,American,Army,patriot,22,False,False,False,Away,False,5,18,61,33,73,10,14,61,0,1,158,450,1262,0.5443740095087163,679,1378,0.4927431059506531,202,383,1315,0.5216730038022813,0.5
23,2020-02-12-19-army,36.8,7,7.5,3,97.0,69.7,23,0.355,62,0.306,19,0.113,7,0.5710000000000001,4,9,200,71.6,17.1,7,11,48,,7.5,5,0.484,30,0.2,6,40.5,30,0.3670000000000001,12.1,9,32,0.406,13,0.625,15,"February 12, 2020",74.1,20,3.1,1,71.6,82.9,34,0.508,61,0.44299999999999995,27,0.08199999999999999,5,0.6,3,12,200,97.0,30.3,10,14,65,,10.4,7,0.344,21,0.381,8,59.5,44,0.513,18.1,14,40,0.475,19,0.5,12,"Christl Arena, West Point, New York",LAFAYETTE,Lafayette,67.4,Home,ARMY,Army,Army,patriot,23,True,False,True,Home,True,8,19,61,44,74,6,13,62,1,0,163,468,1323,0.5385487528344671,712,1451,0.4906960716747071,212,397,1376,0.5196220930232558,0.4782608695652174
24,2020-02-15-13-army,44.4,12,3.0,1,117.9,88.5,23,0.536,55,0.491,27,0.23600000000000002,13,0.5379999999999999,7,19,200,98.5,19.4,6,21,66,,9.0,6,0.29100000000000004,16,0.313,5,50.9,29,0.539,16.5,12,39,0.564,22,0.26899999999999996,7,"February 15, 2020",60.7,17,2.6,1,98.5,80.6,25,0.633,49,0.5710000000000001,28,0.49,24,0.708,17,12,200,117.9,11.5,3,20,79,,10.4,7,0.327,16,0.375,6,49.1,28,0.654,14.4,10,33,0.667,22,0.52,13,"Christl Arena, West Point, New York",LEHIGH,Lehigh,67.3,Home,ARMY,Army,Army,patriot,24,True,False,True,Home,True,6,22,49,28,57,5,22,55,1,0,171,487,1384,0.5372109826589595,756,1525,0.4957377049180328,218,410,1438,0.5125173852573018,0.5
25,2020-02-19-19-loyola-md,51.7,15,2.7,1,114.1,75.8,25,0.508,65,0.446,29,0.231,15,0.733,11,13,200,108.5,15.4,6,15,77,,5.6,4,0.354,23,0.348,8,43.1,31,0.534,5.3,4,42,0.5,21,0.5,13,"February 19, 2020",45.2,14,7.1,3,108.5,84.6,33,0.573,62,0.5,31,0.29,18,0.556,10,14,200,114.1,24.2,8,15,81,,2.8,2,0.40299999999999997,25,0.36,9,56.9,41,0.574,12.5,10,37,0.595,22,0.5,14,"Reitz Arena, Baltimore, Maryland",ARMY,Army,71.3,Home,LOYOLA-MD,Loyola (MD),Army,patriot,25,False,False,False,Away,False,8,21,65,31,72,9,22,62,0,1,177,509,1433,0.5404745289602233,784,1582,0.4955752212389381,223,432,1493,0.5133958472873409,0.52
26,2020-02-22-13-army,14.3,4,6.7,2,108.9,90.6,29,0.419,74,0.37799999999999995,28,0.23,17,0.765,13,14,225,94.9,32.6,15,25,75,,5.1,4,0.324,24,0.25,6,56.4,44,0.457,10.9,10,50,0.44,22,0.48100000000000004,13,"February 22, 2020",58.3,14,8.0,4,94.9,67.4,31,0.527,56,0.429,24,0.768,43,0.628,27,13,225,108.9,9.4,3,16,86,,10.1,8,0.46399999999999997,26,0.423,11,43.6,34,0.563,8.5,7,30,0.433,13,0.519,14,"Christl Arena, West Point, New York",NAVY,Navy,70.0,Home,ARMY,Army,Army,patriot,26,True,False,True,Home,True,11,13,56,34,78,6,22,74,1,0,185,530,1498,0.5390520694259012,815,1654,0.4927448609431681,232,454,1555,0.5157556270096463,0.5
27,2020-02-26-19-army,42.3,11,10.6,5,95.7,86.5,32,0.45399999999999996,65,0.4,26,0.046,3,0.667,2,27,200,87.1,13.9,5,14,61,,4.3,3,0.354,23,0.304,7,50.7,37,0.45899999999999996,11.9,9,42,0.452,19,0.1,3,"February 26, 2020",53.6,15,7.1,3,87.1,86.1,31,0.46799999999999997,62,0.452,28,0.242,15,0.6,9,13,200,95.7,13.5,5,7,67,,5.7,4,0.242,15,0.133,2,49.3,36,0.485,8.0,6,47,0.5529999999999999,26,0.536,15,"Christl Arena, West Point, New York",HOLY-CROSS,Holy Cross,70.3,Home,ARMY,Army,Army,patriot,27,True,False,True,Home,True,2,26,62,36,73,7,19,65,1,0,196,543,1554,0.5386100386100386,849,1732,0.4901847575057737,238,476,1629,0.5113566605279313,0.5185185185185185
28,2020-02-29-12-colgate,65.4,17,5.4,2,130.0,63.9,23,0.517,58,0.44799999999999995,26,0.10300000000000001,6,0.833,5,14,200,92.9,16.7,5,10,65,,5.7,4,0.32799999999999996,19,0.42100000000000004,8,42.4,28,0.534,17.7,13,39,0.462,18,0.517,15,"February 29, 2020",69.7,23,7.7,3,92.9,83.3,25,0.594,69,0.478,33,0.145,10,0.9,9,8,200,130.0,36.1,13,11,91,,11.4,8,0.46399999999999997,32,0.5,16,57.6,38,0.617,12.0,10,37,0.45899999999999996,17,0.742,23,"Cotterell Court, Hamilton, New York",ARMY,Army,69.8,Home,COLGATE,Colgate,Army,patriot,28,False,False,False,Away,False,8,18,58,28,66,16,17,69,0,1,198,569,1616,0.5358910891089109,885,1805,0.4903047091412742,245,495,1694,0.5091499409681228,0.5357142857142857
