,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IUPUI_homegame,IUPUI_homegame2,IUPUI_home,IUPUI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-iupui,38.5,10,14.9,7,98.8,59.5,25,0.446,65,0.4,26,0.046,3,0.667,2,0,200,74.1,31.4,11,18,60,,17.3,14,0.385,25,0.24,6,46.8,36,0.452,26.6,24,40,0.5,20,0.0,0,"December 10, 2019",46.4,13,20.0,8,74.1,68.6,24,0.446,74,0.37799999999999995,28,0.257,19,0.737,14,8,200,98.8,40.5,17,10,80,,16.0,13,0.365,27,0.37,10,53.2,41,0.48200000000000004,17.1,17,47,0.38299999999999995,18,0.273,3,"Indiana Farmers Coliseum, Indianapolis, Indiana","Indiana-South Bend
			","Indiana-South Bend
			",81.2,Home,IUPUI,IUPUI,IUPUI,horizon,10,True,False,True,Home,True,10,18,74,41,77,6,20,65,1,0,70,166,581,0.4664371772805508,327,666,0.490990990990991,77,200,588,0.5365646258503401,0.2
11,2019-12-14-12-iupui,53.8,14,12.5,4,101.4,85.2,23,0.46299999999999997,67,0.38799999999999996,26,0.10400000000000001,7,0.429,3,7,200,89.0,21.2,7,17,65,,8.2,6,0.522,35,0.28600000000000003,10,50.0,30,0.462,14.6,12,32,0.5,16,0.5,7,"December 14, 2019",61.5,16,12.5,4,89.0,78.8,26,0.517,58,0.44799999999999995,26,0.276,16,0.875,14,8,200,101.4,14.8,4,14,74,,13.7,10,0.44799999999999995,26,0.308,8,50.0,30,0.564,13.3,10,32,0.563,18,0.33299999999999996,4,"Indiana Farmers Coliseum, Indianapolis, Indiana",IPFW,Purdue-Fort Wayne,73.5,Home,IUPUI,IUPUI,IUPUI,horizon,11,True,False,True,Home,True,8,18,58,30,60,10,16,67,1,0,80,184,655,0.4641221374045802,368,743,0.4952893674293405,83,220,653,0.5275650842266463,0.2727272727272727
12,2019-12-20-22-fresno-state,38.1,8,6.3,2,133.8,51.3,20,0.51,50,0.42,21,0.44,22,0.591,13,9,200,90.1,15.6,5,19,64,,9.9,7,0.4,20,0.45,9,35.2,25,0.529,22.2,17,30,0.4,12,0.308,4,"December 20, 2019",65.6,21,3.3,1,90.1,84.4,27,0.556,71,0.451,32,0.239,17,0.941,16,7,200,133.8,48.7,19,20,95,,15.5,11,0.5489999999999999,39,0.385,15,64.8,46,0.601,11.3,10,32,0.531,17,0.364,4,"Save Mart Center, Fresno, California",IUPUI,IUPUI,71.3,Home,FRESNO-STATE,Fresno State,IUPUI,horizon,12,False,False,False,Away,False,9,12,50,25,71,15,17,71,0,1,88,202,713,0.4684431977559607,398,803,0.4956413449564134,93,236,720,0.5215277777777778,0.3333333333333333
13,2019-12-28-12-iupui,48.4,15,9.1,3,100.0,62.2,23,0.602,59,0.525,31,0.237,14,0.857,12,6,200,113.7,38.5,10,25,83,,12.3,9,0.373,22,0.409,9,52.4,33,0.632,22.6,19,37,0.595,22,0.5710000000000001,8,"December 28, 2019",69.2,18,8.1,3,113.7,61.5,16,0.526,58,0.44799999999999995,26,0.483,28,0.429,12,10,200,100.0,37.8,14,16,73,,12.3,9,0.431,25,0.36,9,47.6,30,0.512,16.6,14,33,0.515,17,0.28600000000000003,4,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,73.0,Away,YOUNGSTOWN-STATE,Youngstown State,IUPUI,horizon,13,False,True,True,Home,False,9,17,58,30,63,9,22,59,0,1,97,214,763,0.4711664482306684,423,874,0.4839816933638444,108,253,791,0.5246523388116309,0.3076923076923077
14,2019-12-30-19-iupui,48.4,15,3.2,1,112.7,60.0,15,0.595,58,0.534,31,0.276,16,0.813,13,10,200,115.5,30.4,7,20,82,,11.3,8,0.22399999999999998,13,0.5379999999999999,7,45.8,22,0.625,17.7,14,45,0.5329999999999999,24,0.33299999999999996,5,"December 30, 2019",75.0,21,6.7,3,115.5,69.6,16,0.602,54,0.519,28,0.33299999999999996,18,0.833,15,11,200,112.7,40.0,10,17,80,,12.7,9,0.426,23,0.391,9,54.2,26,0.639,20.5,16,31,0.613,19,0.267,4,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,70.6,Away,CLEVELAND-STATE,Cleveland State,IUPUI,horizon,14,False,True,True,Home,False,9,19,54,26,48,7,24,58,0,1,106,231,821,0.4750304506699147,453,937,0.4834578441835646,117,275,850,0.53,0.2857142857142857
15,2020-01-03-20-milwaukee,41.4,12,15.4,6,102.6,71.4,30,0.484,62,0.46799999999999997,29,0.306,19,0.737,14,12,200,97.4,26.5,9,17,74,,9.2,7,0.21,13,0.154,2,51.3,39,0.521,16.6,14,49,0.551,27,0.25,4,"January 3, 2020",58.6,17,4.1,2,97.4,73.5,25,0.515,68,0.426,29,0.20600000000000002,14,0.5710000000000001,8,9,200,102.6,28.6,12,21,78,,10.5,8,0.426,29,0.414,12,48.7,37,0.522,14.9,13,39,0.436,17,0.4,6,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",IUPUI,IUPUI,75.8,Home,MILWAUKEE,Milwaukee,IUPUI,horizon,15,False,False,False,Away,False,2,27,62,39,76,12,17,68,0,1,115,250,875,0.4828571428571429,479,985,0.4862944162436548,124,299,908,0.5341409691629956,0.26666666666666666
16,2020-01-05-14-green-bay,71.0,22,2.4,1,100.0,77.3,34,0.594,64,0.484,31,0.313,20,0.85,17,12,200,119.2,27.6,8,19,93,,7.7,6,0.43799999999999994,28,0.5,14,57.5,42,0.633,14.2,12,36,0.47200000000000003,17,0.294,5,"January 5, 2020",77.8,21,5.6,2,119.2,72.4,21,0.46399999999999997,69,0.391,27,0.275,19,0.737,14,10,200,100.0,22.7,10,16,78,,2.6,2,0.391,27,0.37,10,42.5,31,0.5,12.4,11,42,0.405,17,0.41200000000000003,7,"Resch Center, Green Bay, Wisconsin",GREEN-BAY,Green Bay,78.3,Away,IUPUI,IUPUI,IUPUI,horizon,16,False,False,False,Away,True,14,17,64,42,73,10,17,69,1,0,117,277,937,0.4829242262540021,518,1061,0.4882186616399623,136,316,976,0.5327868852459017,0.25
17,2020-01-10-19-iupui,62.1,18,23.5,8,89.7,74.4,32,0.486,69,0.42,29,0.46399999999999997,32,0.531,17,3,200,107.7,35.9,14,25,84,,7.7,6,0.33299999999999996,23,0.391,9,56.1,46,0.499,9.8,9,46,0.435,20,0.833,15,"January 10, 2020",47.4,9,4.3,2,107.7,64.1,25,0.377,57,0.33299999999999996,19,0.7020000000000001,40,0.675,27,13,200,89.7,25.6,11,24,70,,6.4,5,0.40399999999999997,23,0.217,5,43.9,36,0.461,13.9,12,34,0.41200000000000003,14,0.278,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,78.1,Away,WRIGHT-STATE,Wright State,IUPUI,horizon,17,False,True,True,Home,False,5,14,57,36,82,9,20,69,0,1,131,294,1001,0.49000999000998996,560,1134,0.4938271604938271,146,333,1045,0.5282296650717704,0.29411764705882354
18,2020-01-12-14-iupui,59.5,22,2.4,1,98.6,64.1,25,0.659,66,0.561,37,0.19699999999999998,13,0.6920000000000001,9,6,200,133.3,30.0,9,21,96,,11.1,8,0.53,35,0.371,13,49.3,34,0.665,12.2,10,31,0.774,24,0.667,12,"January 12, 2020",58.3,14,0.0,0,133.3,70.0,21,0.413,63,0.381,24,0.413,26,0.731,19,14,200,98.6,35.9,14,16,71,,6.9,5,0.33299999999999996,21,0.19,4,50.7,35,0.47100000000000003,11.8,10,42,0.47600000000000003,20,0.263,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,72.3,Away,NORTHERN-KENTUCKY,Northern Kentucky,IUPUI,horizon,18,False,True,True,Home,False,4,20,63,35,69,13,24,66,0,1,136,308,1058,0.4839319470699433,596,1216,0.4901315789473684,155,353,1114,0.5255834829443446,0.2777777777777778
19,2020-01-18-12-iupui,69.0,20,20.6,7,86.8,82.5,33,0.515,65,0.446,29,0.185,12,0.667,8,12,200,98.7,17.1,6,24,75,,5.3,4,0.354,23,0.391,9,52.0,39,0.53,13.5,11,42,0.47600000000000003,20,0.4,8,"January 18, 2020",55.0,11,14.3,6,98.7,82.9,29,0.38299999999999995,60,0.33299999999999996,20,0.467,28,0.7140000000000001,20,15,200,86.8,17.5,7,16,66,,5.3,4,0.433,26,0.231,6,48.0,36,0.45,11.1,9,34,0.41200000000000003,14,0.25,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,75.5,Away,ILLINOIS-CHICAGO,UIC,IUPUI,horizon,19,False,True,True,Home,False,6,14,60,36,75,9,20,65,0,1,140,328,1121,0.47992863514719,631,1285,0.4910505836575875,168,377,1180,0.5330508474576271,0.2631578947368421
20,2020-01-23-19-detroit-mercy,59.3,16,5.4,2,105.6,69.4,25,0.47,66,0.409,27,0.106,7,0.28600000000000003,2,16,200,88.9,25.0,10,13,64,,6.9,5,0.439,29,0.276,8,46.1,35,0.462,15.8,13,37,0.514,19,0.23800000000000002,5,"January 23, 2020",67.9,19,24.3,9,88.9,75.0,30,0.4920000000000001,66,0.424,28,0.182,12,0.917,11,16,200,105.6,30.6,11,11,76,,9.7,7,0.439,29,0.31,9,53.9,41,0.53,13.4,11,37,0.514,19,0.23800000000000002,5,"Calihan Hall, Detroit, Michigan",IUPUI,IUPUI,72.0,Home,DETROIT-MERCY,Detroit,IUPUI,horizon,20,False,False,False,Away,False,8,19,66,35,76,9,19,66,0,1,146,342,1181,0.4750211685012701,667,1360,0.4904411764705882,177,397,1245,0.5321285140562249,0.25
21,2020-01-25-15-oakland,66.7,20,11.9,5,103.7,74.0,37,0.536,70,0.429,30,0.271,19,0.737,14,16,225,108.5,36.1,13,23,89,,2.4,2,0.486,34,0.441,15,58.1,50,0.563,17.8,17,36,0.41700000000000004,15,0.273,6,"January 25, 2020",64.0,16,27.8,10,108.5,63.9,23,0.424,72,0.34700000000000003,25,0.431,31,0.774,24,15,225,103.7,26.0,13,18,85,,4.9,4,0.41700000000000004,30,0.3670000000000001,11,41.9,36,0.49,7.6,7,42,0.33299999999999996,14,0.318,7,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,72.8,Away,IUPUI,IUPUI,IUPUI,horizon,21,False,False,False,Away,True,15,15,70,50,86,11,14,72,1,0,154,361,1247,0.4747393744987971,702,1436,0.488857938718663,186,416,1311,0.5301296720061022,0.2380952380952381
22,2020-01-30-19-cleveland-state,75.0,15,7.8,4,98.6,51.4,18,0.4270000000000001,55,0.364,20,0.436,24,0.625,15,17,200,84.9,31.6,12,20,62,,9.6,7,0.436,24,0.292,7,41.1,30,0.467,21.5,18,31,0.419,13,0.261,6,"January 30, 2020",56.5,13,12.9,4,84.9,68.4,26,0.418,61,0.377,23,0.41,25,0.84,21,14,200,98.6,48.6,17,19,72,,17.8,13,0.16399999999999998,10,0.5,5,58.9,43,0.494,19.1,17,51,0.353,18,0.391,9,"Wolstein Center, Cleveland, Ohio",IUPUI,IUPUI,72.6,Home,CLEVELAND-STATE,Cleveland State,IUPUI,horizon,22,False,False,False,Away,False,7,13,55,30,73,5,18,61,0,1,169,376,1317,0.4779802581624905,752,1522,0.4940867279894875,197,430,1383,0.5245842371655821,0.2727272727272727
23,2020-02-01-18-youngstown-state,39.3,11,5.1,2,133.8,60.0,15,0.5529999999999999,57,0.491,28,0.368,21,0.619,13,18,200,111.8,19.4,6,12,76,,7.4,5,0.35100000000000003,20,0.35,7,37.5,21,0.5670000000000001,9.6,7,37,0.568,21,0.25,6,"February 1, 2020",52.8,19,2.7,1,111.8,80.6,25,0.636,66,0.545,36,0.152,10,0.7,7,11,200,133.8,40.0,10,16,91,,2.9,2,0.409,27,0.444,12,62.5,35,0.643,9.0,7,39,0.615,24,0.542,13,"Beeghly Center, Youngstown, Ohio",IUPUI,IUPUI,67.9,Home,YOUNGSTOWN-STATE,Youngstown State,IUPUI,horizon,23,False,False,False,Away,False,7,21,57,21,56,12,24,66,0,1,176,389,1372,0.4759475218658892,782,1595,0.490282131661442,202,448,1444,0.5200831024930748,0.2608695652173913
24,2020-02-06-11-iupui,50.0,15,7.1,3,107.6,70.7,29,0.5,69,0.435,30,0.348,24,0.917,22,13,200,115.2,37.1,13,17,91,,8.9,7,0.29,20,0.45,9,55.3,42,0.5660000000000001,13.1,12,49,0.429,21,0.48,12,"February 6, 2020",58.1,18,6.1,3,115.2,62.9,22,0.5,74,0.419,31,0.18899999999999997,14,0.7859999999999999,11,19,200,107.6,29.3,12,20,85,,1.3,1,0.4320000000000001,32,0.375,12,44.7,34,0.527,10.1,9,42,0.452,19,0.24,6,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,78.5,Away,GREEN-BAY,Green Bay,IUPUI,horizon,24,False,True,True,Home,False,12,19,74,34,76,9,21,69,0,1,183,410,1429,0.4790062981105668,803,1651,0.4863718958207147,214,472,1510,0.5251655629139073,0.25
25,2020-02-08-12-iupui,40.7,11,6.3,2,90.8,76.1,35,0.508,62,0.435,27,0.355,22,0.773,17,13,225,92.0,27.3,9,26,80,,5.7,5,0.40299999999999997,25,0.36,9,55.7,44,0.552,23.5,22,37,0.486,18,0.48,12,"February 8, 2020",52.2,12,5.4,2,92.0,72.7,24,0.414,70,0.32899999999999996,23,0.47100000000000003,33,0.636,21,20,225,90.8,23.9,11,21,79,,13.8,12,0.5429999999999999,38,0.316,12,44.3,35,0.461,13.3,13,32,0.344,11,0.231,6,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,76.9,Away,MILWAUKEE,Milwaukee,IUPUI,horizon,25,False,True,True,Home,False,12,11,70,35,79,9,18,62,0,1,195,429,1503,0.4800399201596807,837,1727,0.4846554719166184,223,493,1579,0.5240658644711843,0.24
26,2020-02-14-19-northern-kentucky,52.0,13,3.1,1,116.7,71.4,20,0.475,59,0.424,25,0.305,18,0.778,14,21,200,97.2,25.8,8,23,70,,9.7,7,0.322,19,0.316,6,47.5,28,0.518,17.3,14,40,0.475,19,0.222,6,"February 14, 2020",55.6,15,5.0,2,97.2,74.2,23,0.618,51,0.529,27,0.627,32,0.6559999999999999,21,7,200,116.7,28.6,8,17,84,,13.9,10,0.373,19,0.474,9,52.5,31,0.634,15.6,12,32,0.563,18,0.731,19,"Bank of Kentucky Center, Highland Heights, Kentucky",IUPUI,IUPUI,71.9,Home,NORTHERN-KENTUCKY,Northern Kentucky,IUPUI,horizon,26,False,False,False,Away,False,6,19,59,28,59,9,18,51,0,1,207,440,1573,0.4771137952956135,872,1806,0.4828349944629015,232,511,1641,0.5234613040828763,0.2307692307692308
