,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TOLEDO_homegame,TOLEDO_homegame2,TOLEDO_home,TOLEDO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-20-missouri-kansas-city,46.7,7,8.1,3,105.9,72.2,26,0.3670000000000001,45,0.33299999999999996,15,0.778,35,0.6859999999999999,24,3,200,83.8,29.4,10,19,57,,7.4,5,0.37799999999999995,17,0.17600000000000002,3,51.4,36,0.462,20.9,16,28,0.429,12,0.727,8,"December 17, 2019",63.0,17,17.9,5,83.8,70.6,24,0.525,60,0.45,27,0.28300000000000003,17,0.529,9,7,200,105.9,27.8,10,28,72,,7.4,5,0.38299999999999995,23,0.391,9,48.6,34,0.529,12.9,10,37,0.486,18,0.462,6,"Swinney Recreation Center, Kansas City, Missouri",TOLEDO,Toledo,67.9,Home,MISSOURI-KANSAS-CITY,UMKC,Toledo,mac,10,False,False,False,Away,False,3,12,45,36,70,9,18,60,0,1,103,169,597,0.5418760469011725,391,724,0.5400552486187845,77,165,642,0.4369158878504673,0.8
11,2019-12-21-14-toledo,26.9,7,10.5,4,93.5,75.0,33,0.46,62,0.419,26,0.452,28,0.7859999999999999,22,3,200,102.6,22.9,8,17,79,,10.4,8,0.29,18,0.278,5,51.9,41,0.525,12.9,11,44,0.47700000000000004,21,0.769,10,"December 21, 2019",57.7,15,6.8,3,102.6,77.1,27,0.44799999999999995,67,0.38799999999999996,26,0.26899999999999996,18,0.667,12,4,200,93.5,25.0,11,22,72,,10.4,8,0.433,29,0.276,8,48.1,38,0.47700000000000004,12.8,11,38,0.474,18,0.667,8,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,76.9,Away,WRIGHT-STATE,Wright State,Toledo,mac,11,False,True,True,Home,False,8,18,67,38,79,5,21,62,0,1,106,181,642,0.5295950155763239,427,794,0.5377833753148614,86,183,702,0.4444444444444444,0.7272727272727273
12,2019-12-28-14-bradley,50.0,12,9.8,4,109.9,66.7,24,0.4370000000000001,63,0.381,24,0.302,19,0.579,11,5,200,93.0,26.8,11,24,66,,8.5,6,0.46,29,0.24100000000000002,7,45.5,35,0.45799999999999996,13.4,11,34,0.5,17,0.615,8,"December 28, 2019",43.5,10,8.8,3,93.0,73.2,30,0.455,56,0.41100000000000003,23,0.5710000000000001,32,0.8440000000000001,27,4,200,109.9,33.3,12,19,78,,8.5,6,0.268,15,0.33299999999999996,5,54.5,42,0.5479999999999999,13.6,11,41,0.439,18,0.6920000000000001,9,"Carver Arena, Peoria, Illinois",TOLEDO,Toledo,71.1,Home,BRADLEY,Bradley,Toledo,mac,12,False,False,False,Away,False,7,17,63,35,77,5,18,56,0,1,114,199,709,0.5218617771509168,465,873,0.5326460481099656,91,204,764,0.4456806282722513,0.6666666666666666
13,2020-01-03-19-ball-state,57.1,12,15.4,4,89.7,86.2,25,0.48100000000000004,52,0.40399999999999997,21,0.28800000000000003,15,0.467,7,6,200,83.8,19.4,6,16,57,,13.2,9,0.365,19,0.42100000000000004,8,51.7,31,0.48200000000000004,21.4,16,33,0.39399999999999996,13,0.5710000000000001,8,"January 3, 2020",50.0,11,9.1,3,83.8,80.6,25,0.51,52,0.423,22,0.17300000000000001,9,0.889,8,6,200,89.7,13.8,4,14,61,,13.2,9,0.5,26,0.34600000000000003,9,48.3,29,0.542,20.0,14,26,0.5,13,0.5710000000000001,8,"Worthen Arena, Muncie, Indiana",TOLEDO,Toledo,67.7,Home,BALL-STATE,Ball State,Toledo,mac,13,False,False,False,Away,False,8,13,52,31,60,9,13,52,0,1,121,216,772,0.5148963730569949,500,950,0.5263157894736842,96,222,820,0.44634146341463415,0.6153846153846154
14,2020-01-07-19-kent-state,70.8,17,0.0,0,120.0,57.7,15,0.5,60,0.4,24,0.35,21,0.81,17,7,200,110.0,37.5,12,14,77,,7.1,5,0.45,27,0.444,12,46.6,27,0.55,15.8,13,33,0.364,12,0.5329999999999999,8,"January 7, 2020",45.5,15,9.1,3,110.0,62.5,20,0.595,63,0.524,33,0.159,10,0.9,9,3,200,120.0,42.3,11,17,84,,10.0,7,0.302,19,0.474,9,53.4,31,0.62,15.1,12,44,0.545,24,0.8,12,"Memorial Athletic & Convocation Center, Kent, Ohio",TOLEDO,Toledo,69.9,Home,KENT-STATE,Kent State,Toledo,mac,14,False,False,False,Away,False,12,12,60,27,58,9,24,63,0,1,129,229,824,0.5127427184466019,531,1010,0.5257425742574258,105,235,872,0.4501146788990826,0.5714285714285714
15,2020-01-11-19-toledo,52.2,12,7.9,3,98.5,65.5,19,0.397,63,0.365,23,0.175,11,0.818,9,8,200,86.8,20.5,8,18,59,,11.8,8,0.349,22,0.182,4,39.7,27,0.4320000000000001,9.4,7,41,0.46299999999999997,19,0.5,8,"January 11, 2020",66.7,18,9.8,4,86.8,79.5,31,0.527,56,0.48200000000000004,27,0.268,15,0.5329999999999999,8,7,200,98.5,34.5,10,17,67,,2.9,2,0.321,18,0.278,5,60.3,41,0.531,19.3,15,38,0.579,22,0.562,9,"John F. Savage Hall, Toledo, Ohio",WESTERN-MICHIGAN,Western Michigan,67.7,Home,TOLEDO,Toledo,Toledo,mac,15,True,False,True,Home,True,5,22,56,41,68,4,19,63,1,0,141,241,884,0.5118778280542986,558,1068,0.5224719101123596,114,259,935,0.4598930481283423,0.5333333333333333
16,2020-01-14-19-toledo,23.1,6,6.7,2,98.5,77.8,28,0.5,59,0.441,26,0.33899999999999997,20,0.75,15,7,200,108.8,31.4,11,11,74,,5.9,4,0.39,23,0.304,7,54.9,39,0.54,12.9,10,36,0.528,19,0.588,10,"January 14, 2020",73.9,17,19.4,7,108.8,68.6,24,0.467,61,0.377,23,0.16399999999999998,10,1.0,10,8,200,98.5,22.2,8,18,67,,4.4,3,0.508,31,0.355,11,45.1,32,0.51,13.3,10,30,0.4,12,0.529,9,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,67.6,Away,CENTRAL-MICHIGAN,Central Michigan,Toledo,mac,16,False,True,True,Home,False,11,12,61,32,71,7,19,59,0,1,146,263,940,0.5127659574468085,599,1136,0.5272887323943662,118,278,998,0.4559118236472946,0.5625
17,2020-01-18-14-akron,47.1,16,5.4,2,123.6,75.9,22,0.6920000000000001,60,0.5670000000000001,34,0.3,18,0.889,16,8,200,137.5,29.6,8,15,99,,8.3,6,0.433,26,0.5770000000000001,15,53.6,30,0.722,12.8,10,34,0.5589999999999999,19,0.556,10,"January 18, 2020",37.5,12,2.9,1,137.5,70.4,19,0.611,63,0.508,32,0.23800000000000002,15,0.8,12,4,200,123.6,24.1,7,16,89,,4.2,3,0.413,26,0.5,13,46.4,26,0.635,13.6,11,37,0.514,19,0.778,14,"James A. Rhodes Arena, Akron, Ohio",AKRON,Akron,72.3,Away,TOLEDO,Toledo,Toledo,mac,17,False,False,False,Away,True,15,19,60,30,56,13,19,63,1,0,157,275,1001,0.50999000999001,631,1207,0.5227837613918807,125,297,1057,0.4583727530747399,0.5294117647058824
18,2020-01-21-19-ohio,44.8,13,6.5,3,100.0,69.2,27,0.55,60,0.483,29,0.33299999999999996,20,0.85,17,8,200,112.2,28.1,9,16,83,,6.8,5,0.33299999999999996,20,0.4,8,50.7,36,0.597,13.8,11,40,0.525,21,0.579,11,"January 21, 2020",50.0,14,2.5,1,112.2,71.9,23,0.444,72,0.389,28,0.19399999999999998,14,0.7140000000000001,10,9,200,100.0,30.8,12,16,74,,6.8,5,0.361,26,0.308,8,49.3,35,0.47,10.3,9,46,0.435,20,0.526,10,"Convocation Center, Athens, Ohio",OHIO,Ohio,73.6,Away,TOLEDO,Toledo,Toledo,mac,18,False,False,False,Away,True,8,21,60,36,71,8,20,72,1,0,172,294,1061,0.5202639019792649,661,1263,0.5233570863024545,138,316,1120,0.4669642857142857,0.5555555555555556
19,2020-01-25-19-toledo,50.0,14,3.0,1,111.3,81.8,27,0.568,59,0.475,28,0.441,26,0.6920000000000001,18,5,200,119.7,24.2,8,19,85,,2.8,2,0.35600000000000004,21,0.524,11,53.0,35,0.596,10.2,8,38,0.447,17,0.75,15,"January 25, 2020",52.0,13,7.9,3,119.7,75.8,25,0.4920000000000001,61,0.41,25,0.377,23,0.826,19,9,200,111.3,18.2,6,17,79,,2.8,2,0.45899999999999996,28,0.35700000000000004,10,47.0,31,0.5489999999999999,5.3,4,33,0.455,15,0.55,11,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,70.6,Away,BOWLING-GREEN-STATE,Bowling Green State,Toledo,mac,19,False,True,True,Home,False,10,15,61,31,66,11,17,59,0,1,180,315,1121,0.5218554861730598,697,1334,0.5224887556221889,146,336,1192,0.4656040268456376,0.5789473684210527
20,2020-01-28-19-toledo,36.0,9,17.1,6,101.4,71.9,23,0.536,55,0.455,25,0.545,30,0.8,24,6,200,120.3,25.8,8,13,83,,14.5,10,0.4,22,0.409,9,49.2,31,0.599,9.3,7,33,0.485,16,0.7140000000000001,15,"January 28, 2020",57.1,16,3.0,1,120.3,74.2,23,0.525,61,0.45899999999999996,28,0.131,8,0.75,6,10,200,101.4,28.1,9,21,70,,2.9,2,0.426,26,0.308,8,50.8,32,0.54,17.8,14,35,0.5710000000000001,20,0.524,11,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,69.0,Away,KENT-STATE,Kent State,Toledo,mac,20,False,True,True,Home,False,8,20,61,32,63,9,16,55,0,1,190,330,1182,0.5203045685279187,728,1400,0.52,157,353,1251,0.4704236610711431,0.55
21,2020-02-01-14-eastern-michigan,55.6,10,0.0,0,101.7,67.7,21,0.469,48,0.375,18,0.313,15,0.8,12,11,200,95.0,29.6,8,14,57,,5.0,3,0.563,27,0.33299999999999996,9,50.0,29,0.517,20.4,14,21,0.429,9,0.5,11,"February 1, 2020",34.8,8,14.3,3,95.0,70.4,19,0.53,50,0.46,23,0.34,17,0.47100000000000003,8,10,200,101.7,32.3,10,13,61,,16.7,10,0.32,16,0.43799999999999994,7,50.0,29,0.525,16.1,11,34,0.47100000000000003,16,0.524,11,"Convocation Center, Ypsilanti, Michigan",TOLEDO,Toledo,60.1,Home,EASTERN-MICHIGAN,Eastern Michigan,Toledo,mac,21,False,False,False,Away,False,9,9,48,29,58,7,16,50,0,1,198,350,1243,0.5205148833467418,760,1463,0.5194805194805194,166,369,1306,0.4732006125574272,0.5238095238095238
22,2020-02-04-19-toledo,33.3,8,0.0,0,98.4,75.9,22,0.529,51,0.47100000000000003,24,0.314,16,0.75,12,9,200,106.5,19.2,5,16,66,,11.3,7,0.255,13,0.462,6,49.1,27,0.563,14.7,10,38,0.474,18,0.609,14,"February 4, 2020",65.0,13,10.5,4,106.5,80.8,21,0.5,48,0.41700000000000004,20,0.33299999999999996,16,0.813,13,12,200,98.4,24.1,7,14,61,,3.2,2,0.479,23,0.348,8,50.9,28,0.5489999999999999,16.7,11,25,0.48,12,0.478,11,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,61.6,Away,NORTHERN-ILLINOIS,Northern Illinois,Toledo,mac,22,False,True,True,Home,False,8,12,48,28,55,6,18,51,0,1,207,359,1291,0.518590240123935,789,1521,0.5187376725838264,173,385,1356,0.4752949852507375,0.5
23,2020-02-08-16-bowling-green-state,34.6,9,0.0,0,118.1,78.8,26,0.594,53,0.491,26,0.547,29,0.69,20,13,200,115.3,21.4,6,18,83,,2.8,2,0.415,22,0.5,11,52.5,32,0.621,13.2,10,31,0.484,15,0.45799999999999996,11,"February 8, 2020",43.3,13,3.2,1,115.3,78.6,22,0.556,62,0.484,30,0.387,24,0.667,16,6,200,118.1,21.2,7,20,85,,6.9,5,0.355,22,0.409,9,47.5,29,0.579,7.6,6,40,0.525,21,0.75,18,"Stroh Center, Bowling Green, Ohio",TOLEDO,Toledo,71.6,Home,BOWLING-GREEN-STATE,Bowling Green State,Toledo,mac,23,False,False,False,Away,False,11,15,53,32,61,9,21,62,0,1,215,371,1339,0.5179238237490664,817,1576,0.5184010152284264,179,403,1407,0.4772565742714997,0.4782608695652174
24,2020-02-11-19-toledo,38.1,8,0.0,0,103.2,65.6,21,0.44,58,0.36200000000000004,21,0.276,16,0.375,6,15,200,90.5,20.9,9,25,57,,9.5,6,0.534,31,0.29,9,40.0,30,0.434,9.7,7,27,0.444,12,0.375,9,"February 11, 2020",59.1,13,7.4,2,90.5,79.1,34,0.5,50,0.44,22,0.5,25,0.6,15,13,200,103.2,34.4,11,18,65,,4.8,3,0.42,21,0.28600000000000003,6,60.0,45,0.525,16.4,12,29,0.552,16,0.48,12,"John F. Savage Hall, Toledo, Ohio",MIAMI-OH,Miami (OH),63.2,Home,TOLEDO,Toledo,Toledo,mac,24,True,False,True,Home,True,6,16,50,45,75,9,12,58,1,0,226,386,1392,0.5208333333333334,849,1637,0.5186316432498472,188,424,1469,0.4805990469707284,0.4583333333333333
25,2020-02-14-18-toledo,41.2,14,12.9,4,85.9,78.8,26,0.5429999999999999,70,0.486,34,0.14300000000000002,10,0.7,7,9,200,106.4,27.3,9,23,83,,11.5,9,0.314,22,0.364,8,53.0,35,0.555,13.9,12,48,0.542,26,0.64,16,"February 14, 2020",42.9,9,2.1,1,106.4,72.7,24,0.409,55,0.382,21,0.509,28,0.7859999999999999,22,14,200,85.9,21.2,7,15,67,,6.4,5,0.436,24,0.125,3,47.0,31,0.49,19.2,16,31,0.581,18,0.462,12,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,77.5,Away,BUFFALO,Buffalo,Toledo,mac,25,False,True,True,Home,False,3,18,55,31,66,8,26,70,0,1,232,402,1442,0.5201109570041609,894,1712,0.522196261682243,197,436,1527,0.4790438768827767,0.48
26,2020-02-22-14-western-michigan,54.2,13,23.5,8,88.1,80.6,29,0.491,55,0.436,24,0.327,18,0.778,14,14,200,101.5,15.6,5,15,68,,11.9,8,0.327,18,0.33299999999999996,6,50.0,34,0.535,10.0,7,37,0.486,18,0.48100000000000004,13,"February 22, 2020",42.1,8,0.0,0,101.5,84.4,27,0.38799999999999996,58,0.32799999999999996,19,0.24100000000000002,14,1.0,14,16,200,88.1,19.4,7,17,59,,4.5,3,0.414,24,0.292,7,50.0,34,0.456,13.5,10,34,0.353,12,0.40700000000000003,11,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,66.6,Away,TOLEDO,Toledo,Toledo,mac,26,False,False,False,Away,True,6,18,55,34,68,7,12,58,1,0,235,420,1497,0.5160320641282565,925,1778,0.5202474690663667,205,462,1597,0.4818409517845961,0.4615384615384616
