,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORFOLK-STATE_homegame,NORFOLK-STATE_homegame2,NORFOLK-STATE_home,NORFOLK-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-18-hampton,31.3,5,3.7,1,98.5,67.9,19,0.324,54,0.29600000000000004,16,0.389,21,0.857,18,8,200,81.5,24.3,9,22,53,,12.3,8,0.40700000000000003,22,0.136,3,43.1,28,0.414,14.8,11,32,0.406,13,0.273,3,"December 7, 2019",60.0,12,18.8,6,81.5,75.7,28,0.523,43,0.465,20,0.628,27,0.7040000000000001,19,6,200,98.5,32.1,9,13,64,,7.7,5,0.3720000000000001,16,0.313,5,56.9,37,0.573,24.7,18,27,0.556,15,0.4,4,"Hampton Convocation Center, Hampton, Virginia",NORFOLK-STATE,Norfolk State,65.4,Home,HAMPTON,Hampton,Norfolk State,meac,10,False,False,False,Away,False,3,13,54,28,65,5,15,43,0,1,77,181,598,0.495819397993311,348,663,0.5248868778280543,68,149,545,0.4605504587155964,0.3
11,2019-12-15-14-loyola-il,70.6,12,9.7,3,97.0,81.3,26,0.444,45,0.37799999999999995,17,0.2,9,0.556,5,9,200,68.2,19.2,5,19,45,,7.6,5,0.511,23,0.261,6,53.4,31,0.457,30.0,21,22,0.5,11,0.25,3,"December 15, 2019",76.2,16,9.1,2,68.2,80.8,21,0.5,50,0.42,21,0.46,23,0.609,14,4,200,97.0,18.8,6,10,64,,19.7,13,0.38,19,0.42100000000000004,8,46.6,27,0.525,16.6,12,31,0.419,13,0.636,7,"Joseph J. Gentile Center, Chicago, Illinois",NORFOLK-STATE,Norfolk State,66.1,Home,LOYOLA-IL,Loyola (IL),Norfolk State,meac,11,False,False,False,Away,False,6,11,45,31,58,8,13,50,0,1,80,194,652,0.4815950920245399,376,728,0.5164835164835165,73,164,588,0.4651360544217687,0.2727272727272727
12,2019-12-20-19-bowling-green-state,60.0,15,2.9,1,94.4,65.7,23,0.484,63,0.397,25,0.20600000000000002,13,0.846,11,9,225,101.4,28.6,10,14,72,,9.9,7,0.444,28,0.39299999999999996,11,47.1,33,0.52,14.9,12,35,0.4,14,0.308,4,"December 20, 2019",61.5,16,8.6,3,101.4,71.4,25,0.469,64,0.406,26,0.141,9,0.778,7,3,225,94.4,34.3,12,18,67,,4.2,3,0.45299999999999996,29,0.276,8,52.9,37,0.491,17.1,14,35,0.514,18,0.727,8,"Boardwalk Hall, Atlantic City, New Jersey",BOWLING-GREEN-STATE,Bowling Green State,62.9,Away,NORFOLK-STATE,Norfolk State,Norfolk State,meac,12,False,False,False,Away,True,11,14,63,33,70,8,18,64,1,0,86,205,697,0.479196556671449,407,786,0.5178117048346056,81,177,638,0.4678683385579938,0.25
13,2019-12-21-16-norfolk-state,66.7,12,2.6,1,76.6,74.1,20,0.366,56,0.321,18,0.268,15,0.8,12,6,200,82.8,37.1,13,14,53,,6.3,4,0.41100000000000003,23,0.217,5,53.2,33,0.42,18.3,14,33,0.39399999999999996,13,0.5379999999999999,7,"December 21, 2019",40.0,8,9.1,3,82.8,62.9,22,0.402,51,0.392,20,0.196,10,0.8,8,10,200,76.6,25.9,7,21,49,,12.5,8,0.255,13,0.077,1,46.8,29,0.439,22.4,16,38,0.5,19,0.28600000000000003,4,"Boardwalk Hall, Atlantic City, New Jersey",NORFOLK-STATE,Norfolk State,64.4,Away,DREXEL,Drexel,Norfolk State,meac,13,False,True,True,Home,False,1,19,51,29,62,5,13,56,0,1,97,219,760,0.4796052631578948,440,856,0.514018691588785,89,195,702,0.467948717948718,0.3076923076923077
14,2019-12-29-12-stony-brook,52.2,12,4.0,1,114.1,75.0,21,0.457,58,0.397,23,0.379,22,0.545,12,11,200,91.5,17.9,7,20,65,,12.7,9,0.397,23,0.304,7,41.8,28,0.475,11.7,9,35,0.457,16,0.267,4,"December 29, 2019",58.3,14,11.4,4,91.5,82.1,32,0.5770000000000001,52,0.462,24,0.462,24,0.875,21,6,200,114.1,25.0,7,18,81,,7.0,5,0.519,27,0.444,12,58.2,39,0.639,20.4,16,25,0.48,12,0.6,9,"Island Federal Credit Union, Stony Brook, New York",NORFOLK-STATE,Norfolk State,71.4,Home,STONY-BROOK,Stony Brook,Norfolk State,meac,14,False,False,False,Away,False,7,16,58,28,67,12,12,52,0,1,98,238,811,0.4747225647348952,469,918,0.5108932461873639,94,208,758,0.4604221635883905,0.2857142857142857
15,2020-01-04-18-norfolk-state,39.1,9,5.3,2,114.9,66.7,20,0.455,55,0.418,23,0.491,27,0.815,22,9,200,97.3,30.0,9,19,72,,2.7,2,0.327,18,0.222,4,48.3,29,0.531,19.3,16,37,0.514,19,0.4,6,"January 4, 2020",50.0,14,2.7,1,97.3,70.0,21,0.508,63,0.444,28,0.397,25,0.84,21,11,200,114.9,33.3,10,19,85,,5.4,4,0.397,25,0.32,8,51.7,31,0.568,10.8,9,38,0.526,20,0.312,5,"Echols Memorial Hall, Norfolk, Virginia",BETHUNE-COOKMAN,Bethune-Cookman,74.4,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,15,True,False,True,Home,True,8,20,63,31,60,4,19,55,1,0,105,254,869,0.4735327963176064,497,985,0.5045685279187817,106,220,810,0.4679012345679012,0.26666666666666666
16,2020-01-06-19-coppin-state,55.2,16,5.6,1,81.9,88.2,30,0.5820000000000001,61,0.475,29,0.24600000000000002,15,0.733,11,11,200,113.9,30.0,9,21,82,,4.2,3,0.426,26,0.5,13,60.9,39,0.602,19.1,16,35,0.457,16,0.353,6,"January 6, 2020",61.1,11,8.6,3,113.9,70.0,21,0.46799999999999997,47,0.38299999999999995,18,0.638,30,0.5,15,13,200,81.9,11.8,4,18,59,,2.8,2,0.617,29,0.276,8,39.1,25,0.48200000000000004,16.6,12,18,0.556,10,0.235,4,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,72.2,Away,NORFOLK-STATE,Norfolk State,Norfolk State,meac,16,False,False,False,Away,True,13,16,61,39,64,8,10,47,1,0,113,274,932,0.4758583690987124,528,1045,0.5052631578947369,110,239,865,0.4670520231213873,0.3125
17,2020-01-11-16-howard,54.5,12,2.8,1,86.3,73.0,27,0.46399999999999997,55,0.4,22,0.491,27,0.741,20,11,200,97.3,29.0,9,16,71,,11.0,8,0.418,23,0.304,7,52.9,36,0.523,18.3,15,32,0.469,15,0.389,7,"January 11, 2020",60.9,14,9.4,3,97.3,71.0,22,0.442,60,0.38299999999999995,23,0.233,14,0.7140000000000001,10,15,200,86.3,27.0,10,19,63,,8.2,6,0.4,24,0.292,7,47.1,32,0.473,19.5,16,36,0.444,16,0.11800000000000001,2,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,73.2,Away,NORFOLK-STATE,Norfolk State,Norfolk State,meac,17,False,False,False,Away,True,7,15,55,36,68,7,16,60,1,0,126,290,993,0.4823766364551863,567,1109,0.5112714156898106,118,249,912,0.4671052631578948,0.35294117647058826
18,2020-01-18-18-norfolk-state,60.0,12,0.0,0,101.6,61.1,22,0.42,50,0.4,20,0.24,12,0.833,10,17,200,85.2,28.6,8,20,52,,9.8,6,0.36,18,0.111,2,46.9,30,0.467,17.8,12,32,0.563,18,0.105,2,"January 18, 2020",82.4,14,3.1,1,85.2,71.4,20,0.429,49,0.34700000000000003,17,0.531,26,0.769,20,11,200,101.6,38.9,14,12,62,,9.8,6,0.51,25,0.32,8,53.1,34,0.505,18.8,14,24,0.375,9,0.42100000000000004,8,"Echols Memorial Hall, Norfolk, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,60.5,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,18,True,False,True,Home,True,8,9,49,34,64,2,18,50,1,0,133,305,1048,0.4813931297709924,603,1177,0.5123194562446899,125,265,972,0.4655349794238683,0.3888888888888889
19,2020-01-25-18-norfolk-state,55.0,11,9.8,4,105.8,60.6,20,0.41200000000000003,57,0.35100000000000003,20,0.35100000000000003,20,0.75,15,9,200,89.9,27.8,10,20,62,,7.2,5,0.298,17,0.41200000000000003,7,43.5,30,0.466,15.4,12,40,0.325,13,0.5,9,"January 25, 2020",50.0,14,12.5,5,89.9,72.2,26,0.508,62,0.452,28,0.27399999999999997,17,0.588,10,11,200,105.8,39.4,13,12,73,,4.3,3,0.33899999999999997,21,0.33299999999999996,7,56.5,39,0.521,14.7,12,41,0.512,21,0.45,9,"Echols Memorial Hall, Norfolk, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,68.8,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,19,True,False,True,Home,True,7,21,62,39,69,7,13,57,1,0,141,314,1097,0.4790337283500456,637,1241,0.5132957292506044,127,283,1022,0.463307240704501,0.42105263157894735
20,2020-01-27-19-norfolk-state,44.0,11,7.1,3,125.0,70.8,17,0.474,57,0.439,25,0.386,22,0.591,13,13,200,88.2,27.8,10,21,67,,13.2,10,0.263,15,0.267,4,45.0,27,0.4970000000000001,21.3,18,42,0.5,21,0.316,6,"January 27, 2020",48.6,17,2.4,1,88.2,72.2,26,0.672,58,0.603,35,0.397,23,0.7390000000000001,17,11,200,125.0,29.2,7,22,95,,17.1,13,0.276,16,0.5,8,55.0,33,0.6890000000000001,17.0,14,42,0.643,27,0.47600000000000003,10,"Echols Memorial Hall, Norfolk, Virginia",FLORIDA-AM,Florida A&M,75.7,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,20,True,False,True,Home,True,8,27,58,33,60,4,21,57,1,0,148,335,1159,0.4805867126833477,676,1310,0.516030534351145,134,296,1079,0.4606116774791474,0.45
21,2020-02-01-16-north-carolina-at,47.8,11,11.1,4,97.4,61.1,22,0.491,55,0.418,23,0.418,23,0.609,14,12,200,89.5,31.0,9,22,68,,9.2,7,0.4,22,0.364,8,47.7,31,0.516,23.5,20,33,0.455,15,0.455,10,"February 1, 2020",64.0,16,12.1,4,89.5,69.0,20,0.475,60,0.41700000000000004,25,0.5,30,0.5670000000000001,17,12,200,97.4,38.9,14,19,74,,10.5,8,0.4,24,0.292,7,52.3,34,0.498,17.0,15,36,0.5,18,0.478,11,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORFOLK-STATE,Norfolk State,76.1,Home,NORTH-CAROLINA-AT,North Carolina A&T,Norfolk State,meac,21,False,False,False,Away,False,8,15,55,31,65,7,18,60,0,1,156,362,1217,0.4897288414133114,709,1370,0.5175182481751824,138,317,1136,0.4612676056338028,0.4761904761904762
22,2020-02-03-19-north-carolina-central,62.5,15,10.7,3,101.5,85.2,23,0.5379999999999999,52,0.462,24,0.231,12,0.583,7,13,200,92.6,17.9,5,20,63,,4.4,3,0.423,22,0.364,8,50.9,28,0.546,20.8,15,30,0.5329999999999999,16,0.435,10,"February 3, 2020",48.0,12,6.7,2,92.6,82.1,23,0.57,50,0.5,25,0.32,16,0.75,12,12,200,101.5,14.8,4,18,69,,7.4,5,0.44,22,0.318,7,49.1,27,0.599,20.8,15,28,0.643,18,0.455,10,"McLendon-McDougald Gym, Durham, North Carolina",NORFOLK-STATE,Norfolk State,68.2,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,Norfolk State,meac,22,False,False,False,Away,False,8,16,52,28,55,7,18,50,0,1,164,377,1272,0.4897798742138365,740,1435,0.5156794425087108,145,335,1196,0.4619565217391304,0.4545454545454545
23,2020-02-08-18-norfolk-state,52.9,9,12.0,3,111.8,72.2,26,0.402,51,0.33299999999999996,17,0.47100000000000003,24,0.667,16,19,200,75.0,14.7,5,18,57,,2.6,2,0.41200000000000003,21,0.33299999999999996,7,44.3,31,0.457,24.5,20,30,0.33299999999999996,10,0.136,3,"February 8, 2020",55.6,15,6.7,2,75.0,85.3,29,0.5489999999999999,61,0.44299999999999995,27,0.426,26,0.6920000000000001,18,13,200,111.8,27.8,10,19,85,,11.8,9,0.59,36,0.361,13,55.7,39,0.579,14.2,12,25,0.56,14,0.45799999999999996,11,"Echols Memorial Hall, Norfolk, Virginia",DELAWARE-STATE,Delaware State,76.4,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,23,True,False,True,Home,True,13,14,61,39,70,7,10,51,1,0,172,393,1324,0.4916918429003021,768,1490,0.5154362416107383,152,353,1246,0.4662921348314607,0.43478260869565216
24,2020-02-15-18-norfolk-state,62.5,10,13.3,4,84.9,78.0,32,0.389,45,0.35600000000000004,16,0.711,32,0.688,22,14,200,78.1,21.9,7,24,57,,11.0,8,0.33299999999999996,15,0.2,3,53.4,39,0.473,26.2,21,30,0.433,13,0.48100000000000004,13,"February 15, 2020",47.4,9,16.7,5,78.1,78.1,25,0.395,57,0.33299999999999996,19,0.474,27,0.63,17,13,200,84.9,22.0,9,23,62,,11.0,8,0.474,27,0.259,7,46.6,34,0.444,13.8,11,30,0.4,12,0.48,12,"Echols Memorial Hall, Norfolk, Virginia",MORGAN-STATE,Morgan State,73.0,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,24,True,False,True,Home,True,7,12,57,34,73,3,13,45,1,0,185,407,1385,0.4942238267148014,807,1560,0.5173076923076924,159,363,1297,0.4637625289128759,0.4583333333333333
25,2020-02-17-20-norfolk-state,42.1,8,0.0,0,111.1,56.4,22,0.433,52,0.365,19,0.5,26,0.5770000000000001,15,20,200,83.3,19.4,7,17,60,,9.7,7,0.519,27,0.259,7,38.7,29,0.466,17.0,13,25,0.48,12,0.28600000000000003,8,"February 17, 2020",61.5,16,0.0,0,83.3,80.6,29,0.47,67,0.38799999999999996,26,0.284,19,0.895,17,13,200,111.1,43.6,17,22,80,,13.9,10,0.522,35,0.314,11,61.3,46,0.526,15.7,14,32,0.469,15,0.5,13,"Echols Memorial Hall, Norfolk, Virginia",COPPIN-STATE,Coppin State,71.7,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac,25,True,False,True,Home,True,11,15,67,46,75,7,12,52,1,0,192,419,1442,0.4902912621359223,841,1633,0.5150030618493571,162,376,1342,0.4612518628912072,0.48
26,2020-02-22-16-florida-am,28.6,6,7.1,2,104.8,67.6,23,0.461,51,0.41200000000000003,21,0.49,25,0.64,16,14,200,100.0,31.3,10,31,63,,12.7,8,0.451,23,0.217,5,50.0,33,0.501,15.1,11,28,0.5710000000000001,16,0.48100000000000004,13,"February 22, 2020",68.4,13,10.7,3,100.0,68.8,22,0.523,43,0.442,19,0.977,42,0.5,21,14,200,104.8,32.4,11,21,66,,9.5,6,0.349,15,0.467,7,50.0,33,0.524,15.2,11,28,0.429,12,0.44,11,"Al Lawson Center, Tallahassee, Florida",NORFOLK-STATE,Norfolk State,63.4,Home,FLORIDA-AM,Florida A&M,Norfolk State,meac,26,False,False,False,Away,False,5,16,51,33,66,7,12,43,0,1,203,434,1509,0.4893969516235918,887,1708,0.5193208430913349,169,388,1394,0.4601865136298422,0.5
