,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGETOWN_homegame,GEORGETOWN_homegame2,GEORGETOWN_home,GEORGETOWN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-18-georgetown,61.9,13,1.9,1,111.0,70.6,24,0.4,60,0.35,21,0.183,11,0.636,7,7,200,75.3,17.5,7,10,55,,8.2,6,0.41700000000000004,25,0.24,6,41.9,31,0.42200000000000004,17.8,14,35,0.429,15,0.462,6,"December 17, 2019",52.9,18,20.0,7,75.3,82.5,33,0.529,69,0.493,34,0.145,10,0.8,8,3,200,111.0,29.4,10,13,81,,6.8,5,0.23199999999999998,16,0.313,5,58.1,43,0.5489999999999999,12.0,10,53,0.547,29,0.727,8,"Capital One Arena, Washington, District of Columbia",MARYLAND-BALTIMORE-COUNTY,UMBC,73.0,Home,GEORGETOWN,Georgetown,Georgetown,big-east,10,True,False,True,Home,True,5,29,69,43,74,6,15,60,1,0,73,202,599,0.5200333889816361,361,668,0.5404191616766467,96,164,622,0.4951768488745981,0.7
11,2019-12-21-12-georgetown,50.0,12,6.5,4,122.2,56.1,23,0.483,59,0.40700000000000003,24,0.424,25,0.56,14,8,200,87.7,16.2,6,19,71,,6.2,5,0.45799999999999996,27,0.33299999999999996,9,37.2,29,0.501,17.6,15,32,0.469,15,0.429,6,"December 21, 2019",52.6,20,15.6,5,87.7,83.8,31,0.513,78,0.48700000000000004,38,0.34600000000000003,27,0.7040000000000001,19,3,200,122.2,43.9,18,18,99,,8.6,7,0.205,16,0.25,4,62.8,49,0.545,10.0,10,62,0.5479999999999999,34,0.75,9,"Capital One Arena, Washington, District of Columbia",SAMFORD,Samford,81.4,Home,GEORGETOWN,Georgetown,Georgetown,big-east,11,True,False,True,Home,True,4,34,78,49,78,9,15,59,1,0,78,231,668,0.5209580838323353,404,742,0.5444743935309974,102,179,682,0.4868035190615836,0.7272727272727273
12,2019-12-28-12-georgetown,37.5,9,2.2,1,108.1,61.5,16,0.44,58,0.414,24,0.22399999999999998,13,0.6920000000000001,9,7,200,81.1,20.0,7,22,60,,12.2,9,0.397,23,0.13,3,37.7,23,0.467,20.1,16,35,0.6,21,0.364,4,"December 28, 2019",41.4,12,8.6,3,81.1,80.0,28,0.556,54,0.537,29,0.519,28,0.7140000000000001,20,3,200,108.1,38.5,10,15,80,,9.5,7,0.16699999999999998,9,0.222,2,62.3,38,0.594,20.4,17,45,0.6,27,0.769,10,"Capital One Arena, Washington, District of Columbia",AMERICAN,American,73.7,Home,GEORGETOWN,Georgetown,Georgetown,big-east,12,True,False,True,Home,True,2,27,54,38,61,3,21,58,1,0,82,265,746,0.5201072386058981,453,820,0.5524390243902441,111,194,741,0.4865047233468286,0.75
13,2019-12-31-17-providence,57.1,12,3.7,1,108.6,80.0,20,0.43,57,0.368,21,0.21100000000000002,12,0.917,11,4,200,85.7,21.9,7,15,60,,12.9,9,0.33299999999999996,19,0.368,7,47.4,27,0.478,19.4,15,38,0.368,14,0.7140000000000001,10,"December 31, 2019",64.3,18,2.6,1,85.7,78.1,25,0.635,52,0.5379999999999999,28,0.25,13,0.769,10,6,200,108.6,20.0,5,18,76,,14.3,10,0.48100000000000004,25,0.4,10,52.6,30,0.653,21.7,16,27,0.667,18,0.5710000000000001,8,"Dunkin' Donuts Center, Providence, Rhode Island",GEORGETOWN,Georgetown,69.9,Home,PROVIDENCE,Providence,Georgetown,big-east,13,False,False,False,Away,False,7,14,57,27,57,10,18,52,0,1,84,292,800,0.5225,491,881,0.5573212258796821,114,215,799,0.4831038798498123,0.7692307692307693
14,2020-01-03-21-seton-hall,36.0,9,6.1,2,102.6,77.4,24,0.379,70,0.35700000000000004,25,0.22899999999999998,16,0.563,9,5,200,81.6,24.4,11,19,62,,9.2,7,0.243,17,0.17600000000000002,3,46.1,35,0.39899999999999997,12.5,11,53,0.415,22,0.667,10,"January 3, 2020",72.0,18,13.2,7,81.6,75.6,34,0.546,54,0.46299999999999997,25,0.444,24,0.792,19,4,200,102.6,22.6,7,17,78,,10.5,8,0.389,21,0.429,9,53.9,41,0.596,18.9,15,33,0.485,16,0.7140000000000001,10,"Prudential Center, Newark, New Jersey",GEORGETOWN,Georgetown,75.5,Home,SETON-HALL,Seton Hall,Georgetown,big-east,14,False,False,False,Away,False,3,22,70,35,76,9,16,54,0,1,91,306,857,0.5163360560093349,518,938,0.5522388059701493,124,233,851,0.4923619271445359,0.7142857142857143
15,2020-01-08-18-georgetown,45.8,11,0.0,0,110.1,68.6,24,0.397,68,0.353,24,0.221,15,0.8,12,5,200,83.5,27.9,12,23,66,,15.2,12,0.368,25,0.24,6,46.2,36,0.439,16.7,15,43,0.419,18,0.688,11,"January 8, 2020",80.8,21,16.3,7,83.5,72.1,31,0.508,60,0.433,26,0.55,33,0.7879999999999999,26,5,200,110.1,31.4,11,12,87,,12.7,10,0.38299999999999995,23,0.391,9,53.8,42,0.575,16.8,15,37,0.45899999999999996,17,0.688,11,"Capital One Arena, Washington, District of Columbia",ST-JOHNS-NY,St. John's (NY),78.9,Home,GEORGETOWN,Georgetown,Georgetown,big-east,15,True,False,True,Home,True,9,17,60,42,78,6,18,68,1,0,94,328,927,0.5059331175836029,553,1014,0.5453648915187377,133,249,905,0.4955801104972376,0.6666666666666666
16,2020-01-11-12-villanova,57.7,15,10.7,3,117.6,77.8,21,0.483,59,0.441,26,0.22,13,0.6920000000000001,9,6,200,97.1,20.0,6,13,66,,5.9,4,0.271,16,0.313,5,47.4,27,0.506,11.0,8,43,0.488,21,0.647,11,"January 11, 2020",74.1,20,4.7,2,97.1,80.0,24,0.605,57,0.474,27,0.228,13,0.846,11,3,200,117.6,22.2,6,15,80,16.0,7.4,5,0.509,29,0.517,15,52.6,30,0.633,14.9,11,28,0.429,12,0.8,12,"Wells Fargo Center, Philadelphia, Pennsylvania",GEORGETOWN,Georgetown,67.7,Home,VILLANOVA,Villanova,Georgetown,big-east,16,False,False,False,Away,False,5,21,59,27,57,15,12,57,0,1,103,345,987,0.506079027355623,595,1092,0.5448717948717948,139,267,973,0.4886947584789311,0.6875
17,2020-01-15-19-georgetown,64.3,18,6.7,3,110.7,69.2,18,0.531,65,0.431,28,0.231,15,0.733,11,5,200,106.7,21.2,7,17,80,25.0,12.0,9,0.4920000000000001,32,0.406,13,42.4,25,0.555,12.3,10,33,0.455,15,0.722,13,"January 15, 2020",58.1,18,12.1,4,106.7,78.8,26,0.5579999999999999,60,0.517,31,0.33299999999999996,20,0.8,16,6,200,110.7,30.8,8,14,83,,4.0,3,0.25,15,0.33299999999999996,5,57.6,34,0.597,16.9,14,45,0.578,26,0.667,12,"Capital One Arena, Washington, District of Columbia",CREIGHTON,Creighton,75.3,Home,GEORGETOWN,Georgetown,Georgetown,big-east,17,True,False,True,Home,True,5,26,60,34,59,13,15,65,1,0,108,366,1046,0.5047801147227533,622,1149,0.5413402959094865,154,279,1030,0.4951456310679612,0.6470588235294118
18,2020-01-18-14-georgetown,43.3,13,4.9,2,119.4,72.4,21,0.547,64,0.469,30,0.313,20,0.7,14,5,200,125.4,31.4,11,19,84,,6.0,4,0.42200000000000004,27,0.37,10,50.0,32,0.5710000000000001,6.4,5,37,0.541,20,0.722,13,"January 18, 2020",53.3,16,8.1,3,125.4,68.6,24,0.585,59,0.508,30,0.271,16,0.688,11,7,200,119.4,27.6,8,19,80,,3.0,2,0.305,18,0.5,9,50.0,32,0.601,9.6,7,41,0.512,21,0.632,12,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,66.6,Away,MARQUETTE,Marquette,Georgetown,big-east,18,False,True,True,Home,False,9,21,59,32,64,10,20,64,0,1,113,392,1106,0.5076853526220615,656,1208,0.543046357615894,167,294,1095,0.4972602739726028,0.6666666666666666
19,2020-01-22-18-xavier,42.9,9,16.7,7,93.0,71.4,30,0.40399999999999997,57,0.368,21,0.263,15,0.733,11,8,200,80.3,13.9,5,15,57,,7.0,5,0.316,18,0.222,4,44.9,35,0.444,14.7,11,39,0.436,17,0.6,12,"January 22, 2020",60.0,15,10.3,4,80.3,86.1,31,0.433,67,0.373,25,0.22399999999999998,15,0.5329999999999999,8,6,200,93.0,28.6,12,14,66,,11.3,8,0.373,25,0.32,8,55.1,43,0.445,12.0,10,42,0.405,17,0.684,13,"Cintas Center, Cincinnati, Ohio",GEORGETOWN,Georgetown,71.1,Home,XAVIER,Xavier,Georgetown,big-east,19,False,False,False,Away,False,4,17,57,35,78,8,17,67,0,1,122,413,1165,0.511587982832618,688,1272,0.5408805031446541,177,314,1159,0.5,0.631578947368421
20,2020-01-28-21-georgetown,57.7,15,8.2,4,92.8,73.0,27,0.555,55,0.473,26,0.2,11,0.727,8,4,200,100.0,25.8,8,18,69,16.0,7.2,5,0.418,23,0.391,9,51.5,35,0.573,20.0,15,32,0.531,17,0.81,17,"January 28, 2020",66.7,14,3.1,1,100.0,74.2,23,0.373,63,0.33299999999999996,21,0.317,20,0.85,17,9,200,92.8,27.0,10,16,64,,13.0,9,0.222,14,0.35700000000000004,5,48.5,33,0.441,10.0,8,49,0.327,16,0.5710000000000001,12,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,68.9,Away,BUTLER,Butler,Georgetown,big-east,20,False,True,True,Home,False,5,16,63,33,68,9,17,55,0,1,126,430,1222,0.5065466448445172,723,1350,0.5355555555555556,185,331,1226,0.4963295269168026,0.6
21,2020-02-02-13-st-johns-ny,76.9,20,6.8,3,94.7,83.8,31,0.47600000000000003,63,0.413,26,0.28600000000000003,18,0.722,13,9,200,96.1,27.0,10,13,73,,9.2,7,0.413,26,0.308,8,55.4,41,0.51,16.5,14,37,0.486,18,0.591,13,"February 2, 2020",55.6,15,2.7,1,96.1,73.0,27,0.455,66,0.409,27,0.19699999999999998,13,0.9229999999999999,12,10,200,94.7,16.2,6,18,72,,10.5,8,0.33299999999999996,22,0.273,6,44.6,33,0.499,12.2,10,44,0.47700000000000004,21,0.565,13,"Madison Square Garden (IV), New York, New York",ST-JOHNS-NY,St. John's (NY),75.9,Away,GEORGETOWN,Georgetown,Georgetown,big-east,21,False,False,False,Away,True,8,18,63,41,74,6,21,66,1,0,131,446,1285,0.5,756,1418,0.5331452750352609,194,348,1281,0.4988290398126464,0.5714285714285714
22,2020-02-05-20-georgetown,58.6,17,23.4,11,97.3,69.0,29,0.54,62,0.46799999999999997,29,0.27399999999999997,17,0.647,11,5,200,106.8,38.2,13,21,78,12.0,6.8,5,0.435,27,0.33299999999999996,9,55.3,42,0.557,14.7,12,35,0.5710000000000001,20,0.773,17,"February 5, 2020",56.5,13,0.0,0,106.8,61.8,21,0.368,68,0.33799999999999997,23,0.353,24,0.875,21,10,200,97.3,31.0,13,16,71,,4.1,3,0.309,21,0.19,4,44.7,34,0.447,11.3,10,47,0.40399999999999997,19,0.565,13,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,72.7,Away,SETON-HALL,Seton Hall,Georgetown,big-east,22,False,True,True,Home,False,4,19,68,34,76,9,20,62,0,1,139,464,1348,0.4988872403560831,797,1492,0.5341823056300268,200,369,1347,0.4966592427616927,0.5909090909090909
23,2020-02-08-12-georgetown,60.7,17,7.9,3,105.6,70.0,21,0.484,63,0.444,28,0.23800000000000002,15,0.733,11,11,200,100.0,37.1,13,18,72,,6.9,5,0.254,16,0.313,5,52.3,34,0.513,17.7,15,47,0.489,23,0.542,13,"February 8, 2020",61.5,16,17.0,8,100.0,62.9,22,0.5,58,0.44799999999999995,26,0.32799999999999996,19,0.9470000000000001,18,10,200,105.6,30.0,9,16,76,,11.1,8,0.345,20,0.3,6,47.7,31,0.5670000000000001,17.4,14,38,0.526,20,0.583,14,"Capital One Arena, Washington, District of Columbia",DEPAUL,DePaul,72.1,Home,GEORGETOWN,Georgetown,Georgetown,big-east,23,True,False,True,Home,True,6,20,58,31,65,5,23,63,1,0,143,483,1416,0.4925847457627119,831,1568,0.5299744897959183,209,389,1409,0.4985805535841022,0.5652173913043478
24,2020-02-15-14-butler,52.0,13,6.9,2,111.9,63.6,21,0.625,48,0.521,25,0.375,18,0.722,13,10,200,123.7,23.1,6,14,73,,5.1,3,0.313,15,0.667,10,45.8,27,0.645,11.1,7,33,0.455,15,0.6,15,"February 15, 2020",44.0,11,3.0,1,123.7,76.9,20,0.484,61,0.41,25,0.131,8,0.875,7,7,200,111.9,36.4,12,17,66,19.0,8.5,5,0.525,32,0.281,9,54.2,32,0.509,9.8,7,29,0.552,16,0.731,19,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,58.7,Away,GEORGETOWN,Georgetown,Georgetown,big-east,24,False,False,False,Away,True,10,15,48,27,59,9,16,61,1,0,149,503,1474,0.492876526458616,862,1633,0.5278628291488059,214,412,1472,0.4979619565217392,0.5833333333333334
25,2020-02-19-20-georgetown,84.0,21,12.5,4,94.0,79.2,19,0.526,57,0.439,25,0.316,18,0.722,13,12,200,109.0,29.7,11,22,73,,14.9,10,0.439,25,0.4,10,49.2,30,0.557,14.5,11,32,0.469,15,0.556,15,"February 19, 2020",47.1,8,9.4,3,109.0,70.3,26,0.4320000000000001,44,0.386,17,0.727,32,0.7809999999999999,25,11,200,94.0,20.8,5,18,63,,10.4,7,0.273,12,0.33299999999999996,4,50.8,31,0.532,19.4,14,32,0.406,13,0.5770000000000001,15,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,66.9,Away,PROVIDENCE,Providence,Georgetown,big-east,25,False,True,True,Home,False,4,13,44,31,61,10,15,57,0,1,159,518,1522,0.4970433639947438,889,1692,0.5254137115839244,223,428,1533,0.4973907371167645,0.6
26,2020-02-22-21-depaul,42.9,9,8.9,4,108.8,66.7,24,0.40399999999999997,57,0.368,21,0.439,25,0.88,22,12,200,100.0,36.4,12,21,68,,5.9,4,0.316,18,0.222,4,52.2,36,0.494,15.0,12,39,0.436,17,0.556,15,"February 22, 2020",59.3,16,12.8,5,100.0,63.6,21,0.5,60,0.45,27,0.38299999999999995,23,0.609,14,13,200,108.8,33.3,12,21,74,,10.3,7,0.25,15,0.4,6,47.8,33,0.522,11.4,9,45,0.467,21,0.519,14,"Wintrust Arena, Chicago, Illinois",GEORGETOWN,Georgetown,68.4,Home,DEPAUL,DePaul,Georgetown,big-east,26,False,False,False,Away,False,4,17,57,36,69,6,21,60,0,1,163,531,1566,0.4952107279693487,920,1753,0.5248146035367941,233,443,1590,0.4984276729559749,0.5769230769230769
