,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA_homegame,FLORIDA_homegame2,FLORIDA_home,FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-14-florida,79.2,19,6.7,3,91.2,59.5,25,0.5379999999999999,53,0.45299999999999996,24,0.20800000000000002,11,0.727,8,2,200,95.6,22.2,6,17,65,,7.4,5,0.47200000000000003,25,0.36,9,44.9,31,0.5579999999999999,20.6,15,28,0.536,15,0.857,12,"December 21, 2019",40.0,8,10.7,3,95.6,77.8,21,0.355,62,0.32299999999999995,20,0.355,22,0.818,18,4,200,91.2,40.5,17,17,62,,11.8,8,0.27399999999999997,17,0.235,4,55.1,38,0.428,15.4,13,45,0.35600000000000004,16,0.636,7,"BB&T Center, Sunrise, Florida",FLORIDA,Florida,67.8,Away,UTAH-STATE,Utah State,Florida,sec,10,False,True,True,Home,False,4,16,62,38,69,9,15,53,0,1,61,183,551,0.4981851179673321,331,641,0.516380655226209,58,160,562,0.4395017793594306,0.7
11,2019-12-28-12-florida,27.3,6,0.0,0,129.1,60.5,23,0.424,59,0.373,22,0.322,19,0.684,13,11,200,79.7,16.7,6,23,63,,5.1,4,0.28800000000000003,17,0.353,6,39.2,29,0.46299999999999997,20.2,17,42,0.381,16,0.267,4,"December 28, 2019",51.4,19,4.8,2,79.7,83.3,30,0.614,70,0.529,37,0.414,29,0.552,16,4,200,129.1,39.5,15,20,102,,12.7,10,0.429,30,0.4,12,60.8,45,0.609,10.8,10,40,0.625,25,0.667,8,"Stephen C. O'Connell Center, Gainesville, Florida",LONG-BEACH-STATE,Long Beach State,78.9,Home,FLORIDA,Florida,Florida,sec,11,True,False,True,Home,True,12,25,70,45,74,6,16,59,1,0,65,199,613,0.4836867862969005,369,710,0.5197183098591549,67,175,615,0.4479674796747967,0.6363636363636364
12,2020-01-04-18-florida,35.5,11,3.8,2,110.6,72.1,31,0.493,76,0.408,31,0.447,34,0.6759999999999999,23,6,250,104.3,21.7,10,29,98,,7.4,7,0.447,34,0.382,13,46.1,41,0.532,11.7,12,42,0.429,18,0.5379999999999999,7,"January 4, 2020",33.3,11,14.3,6,104.3,78.3,36,0.48700000000000004,76,0.434,33,0.474,36,0.833,30,4,250,110.6,27.9,12,19,104,,7.4,7,0.303,23,0.348,8,53.9,48,0.5589999999999999,12.4,13,53,0.47200000000000003,25,0.6920000000000001,9,"Stephen C. O'Connell Center, Gainesville, Florida",ALABAMA,Alabama,75.3,Home,FLORIDA,Florida,Florida,sec,12,True,False,True,Home,True,8,25,76,48,89,13,18,76,1,0,77,224,683,0.4970717423133236,414,784,0.5280612244897959,73,191,674,0.4458456973293768,0.6666666666666666
13,2020-01-07-19-south-carolina,46.4,13,6.7,3,89.5,78.9,30,0.517,60,0.467,28,0.41700000000000004,25,0.76,19,4,200,106.6,31.0,9,19,81,,9.2,7,0.267,16,0.375,6,58.2,39,0.563,13.4,11,44,0.5,22,0.7140000000000001,10,"January 7, 2020",47.8,11,6.8,3,106.6,69.0,20,0.41700000000000004,60,0.38299999999999995,23,0.4,24,0.75,18,6,200,89.5,21.1,8,21,68,,6.6,5,0.25,15,0.267,4,41.8,28,0.47600000000000003,16.6,14,45,0.42200000000000004,19,0.5710000000000001,8,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,75.6,Away,FLORIDA,Florida,Florida,sec,13,False,False,False,Away,True,6,22,60,39,67,4,19,60,1,0,85,249,759,0.4960474308300396,462,873,0.5292096219931272,86,209,750,0.4506666666666666,0.6923076923076923
14,2020-01-11-20-missouri,65.0,13,21.2,7,133.8,73.9,17,0.48100000000000004,52,0.385,20,0.615,32,0.7809999999999999,25,5,200,110.3,35.5,11,18,75,,5.9,4,0.442,23,0.435,10,51.9,28,0.5579999999999999,17.5,14,29,0.345,10,0.667,10,"January 11, 2020",56.3,18,6.9,2,110.3,64.5,20,0.731,52,0.615,32,0.385,20,0.75,15,6,200,133.8,26.1,6,26,91,,16.2,11,0.365,19,0.632,12,48.1,26,0.74,14.1,10,33,0.606,20,0.6,9,"Mizzou Arena, Columbia, Missouri",FLORIDA,Florida,67.9,Home,MISSOURI,Missouri,Florida,sec,14,False,False,False,Away,False,10,10,52,28,54,12,20,52,0,1,91,271,819,0.4975579975579976,501,940,0.5329787234042553,90,228,810,0.4481481481481481,0.7142857142857143
15,2020-01-14-19-florida,16.7,3,5.4,2,110.9,68.0,17,0.433,45,0.4,18,0.444,20,0.8,16,7,200,85.9,25.0,6,20,55,,10.9,7,0.35600000000000004,16,0.188,3,46.9,23,0.505,21.8,15,29,0.517,15,0.562,9,"January 14, 2020",44.4,12,17.2,5,85.9,75.0,18,0.57,50,0.54,27,0.46,23,0.609,14,5,200,110.9,32.0,8,18,71,,14.1,9,0.26,13,0.231,3,53.1,26,0.583,15.5,11,37,0.649,24,0.688,11,"Stephen C. O'Connell Center, Gainesville, Florida",MISSISSIPPI,Ole Miss,63.7,Home,FLORIDA,Florida,Florida,sec,15,True,False,True,Home,True,3,24,50,26,49,3,15,45,1,0,101,281,871,0.4965556831228473,529,994,0.5321931589537223,102,248,862,0.4651972157772622,0.6666666666666666
16,2020-01-18-13-florida,50.0,7,10.8,4,109.5,64.0,16,0.29100000000000004,55,0.255,14,0.382,21,0.7140000000000001,15,2,200,74.6,21.4,9,13,47,4.0,6.3,4,0.418,23,0.174,4,37.3,25,0.36200000000000004,11.1,8,32,0.313,10,0.882,15,"January 18, 2020",44.4,12,12.5,4,74.6,78.6,33,0.574,54,0.5,27,0.16699999999999998,9,0.778,7,5,200,109.5,36.0,9,18,69,,4.8,3,0.315,17,0.47100000000000003,8,62.7,42,0.5920000000000001,18.3,13,37,0.514,19,0.706,12,"Stephen C. O'Connell Center, Gainesville, Florida",AUBURN,Auburn,63.1,Home,FLORIDA,Florida,Florida,sec,16,True,False,True,Home,True,8,19,54,42,67,4,10,55,1,0,104,305,921,0.5005428881650379,555,1043,0.5321188878235859,105,263,907,0.4636163175303197,0.6875
17,2020-01-21-19-louisiana-state,41.9,13,6.4,3,116.7,60.6,20,0.598,61,0.508,31,0.18,11,0.818,9,6,200,113.9,26.7,8,21,82,,6.9,5,0.4920000000000001,30,0.3670000000000001,11,44.4,28,0.619,15.4,12,31,0.645,20,0.667,12,"January 21, 2020",58.6,17,3.2,1,113.9,73.3,22,0.4920000000000001,61,0.475,29,0.508,31,0.774,24,4,200,116.7,39.4,13,16,84,,9.7,7,0.23,14,0.14300000000000002,2,55.6,35,0.555,12.8,11,47,0.574,27,0.778,14,"Maravich Assembly Center, Baton Rouge, Louisiana",FLORIDA,Florida,72.0,Home,LOUISIANA-STATE,LSU,Florida,sec,17,False,False,False,Away,False,11,20,61,28,63,2,27,61,0,1,112,324,975,0.5046153846153846,597,1110,0.5378378378378378,109,273,962,0.4537422037422038,0.7058823529411765
18,2020-01-25-20-florida,54.2,13,8.6,3,95.3,82.1,23,0.518,55,0.436,24,0.29100000000000004,16,0.938,15,1,200,112.5,33.3,8,19,72,1.0,4.7,3,0.345,19,0.474,9,59.6,31,0.575,16.2,12,36,0.41700000000000004,15,0.9440000000000001,17,"January 25, 2020",47.8,11,16.7,6,112.5,66.7,16,0.48100000000000004,52,0.442,23,0.308,16,0.688,11,7,200,95.3,17.9,5,17,61,,7.8,5,0.327,17,0.235,4,40.4,21,0.512,10.6,7,35,0.5429999999999999,19,0.632,12,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,64.1,Away,BAYLOR,Baylor,Florida,sec,18,False,True,True,Home,False,4,19,52,21,52,9,15,55,0,1,123,344,1036,0.5101351351351351,625,1173,0.5328218243819267,111,300,1023,0.4560117302052786,0.6666666666666666
19,2020-01-28-19-florida,46.4,13,8.1,3,104.4,78.6,22,0.606,52,0.5379999999999999,28,0.327,17,0.882,15,7,200,114.7,34.8,8,14,78,,4.4,3,0.231,12,0.583,7,58.8,30,0.649,20.1,15,40,0.525,21,0.65,13,"January 28, 2020",46.2,12,10.0,4,114.7,65.2,15,0.517,58,0.44799999999999995,26,0.24100000000000002,14,0.7859999999999999,11,8,200,104.4,21.4,6,14,71,,10.3,7,0.36200000000000004,21,0.381,8,41.2,21,0.5489999999999999,14.6,11,37,0.486,18,0.6,12,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,68.4,Away,MISSISSIPPI-STATE,Mississippi State,Florida,sec,19,False,True,True,Home,False,8,18,58,21,51,7,21,52,0,1,127,363,1088,0.5087316176470589,646,1225,0.5273469387755102,120,315,1078,0.4591836734693878,0.631578947368421
20,2020-02-01-20-vanderbilt,59.1,13,13.0,3,85.9,79.3,23,0.491,54,0.40700000000000003,22,0.24100000000000002,13,0.615,8,8,200,95.3,12.1,4,17,61,,7.8,5,0.426,23,0.391,9,43.5,27,0.507,10.5,7,31,0.419,13,0.619,13,"February 1, 2020",35.3,6,3.2,1,95.3,87.9,29,0.444,45,0.37799999999999995,17,0.444,20,0.75,15,13,200,85.9,20.7,6,16,55,,6.3,4,0.489,22,0.273,6,56.5,35,0.505,24.0,17,23,0.478,11,0.381,8,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,64.3,Away,FLORIDA,Florida,Florida,sec,20,False,False,False,Away,True,9,13,54,27,62,6,11,45,1,0,135,381,1146,0.5091623036649214,667,1276,0.5227272727272727,127,336,1130,0.465929203539823,0.6
21,2020-02-05-19-florida,26.9,7,7.9,3,112.5,74.2,23,0.564,55,0.473,26,0.327,18,0.722,13,10,200,104.2,14.3,4,16,75,,11.1,8,0.436,24,0.41700000000000004,10,45.8,27,0.59,14.9,11,31,0.516,16,0.545,12,"February 5, 2020",27.6,8,3.2,1,104.2,85.7,24,0.5489999999999999,61,0.475,29,0.295,18,0.778,14,8,200,112.5,25.8,8,15,81,,6.9,5,0.377,23,0.391,9,54.2,32,0.5820000000000001,13.8,11,38,0.526,20,0.636,14,"Stephen C. O'Connell Center, Gainesville, Florida",GEORGIA,Georgia,71.6,Home,FLORIDA,Florida,Florida,sec,21,True,False,True,Home,True,9,20,61,32,59,10,16,55,1,0,144,394,1200,0.5083333333333333,694,1338,0.5186846038863976,133,347,1175,0.4651063829787234,0.6190476190476191
22,2020-02-08-14-mississippi,50.0,9,10.3,4,104.6,88.5,23,0.38,54,0.33299999999999996,18,0.204,11,0.909,10,9,200,78.5,21.2,7,10,51,,7.7,5,0.426,23,0.217,5,50.8,30,0.431,16.9,12,31,0.419,13,0.609,14,"February 8, 2020",61.5,16,6.5,2,78.5,78.8,26,0.536,55,0.473,26,0.182,10,0.9,9,11,200,104.6,11.5,3,13,68,,12.3,8,0.29100000000000004,16,0.43799999999999994,7,49.2,29,0.569,13.2,9,39,0.48700000000000004,19,0.522,12,"The Pavilion at Ole Miss, Oxford, Mississippi",FLORIDA,Florida,65.0,Home,MISSISSIPPI,Ole Miss,Florida,sec,22,False,False,False,Away,False,5,13,54,30,59,7,19,55,0,1,153,414,1261,0.5103092783505154,726,1397,0.5196850393700787,143,363,1230,0.4695121951219512,0.6363636363636364
23,2020-02-12-20-texas-am,55.6,15,8.3,2,98.4,80.0,20,0.635,52,0.519,27,0.26899999999999996,14,0.857,12,9,200,125.8,52.2,12,18,78,,4.8,3,0.519,27,0.444,12,66.7,32,0.665,19.4,14,25,0.6,15,0.625,15,"February 12, 2020",35.0,7,4.0,1,125.8,47.8,11,0.489,47,0.426,20,0.489,23,0.652,15,12,200,98.4,20.0,5,17,61,,8.1,5,0.489,23,0.261,6,33.3,16,0.527,16.1,11,24,0.583,14,0.478,11,"Reed Arena, College Station, Texas",TEXAS-AM,Texas A&M,62.3,Away,FLORIDA,Florida,Florida,sec,23,False,False,False,Away,True,12,15,52,32,48,6,14,47,1,0,158,427,1315,0.5049429657794677,756,1456,0.5192307692307693,150,382,1285,0.4723735408560311,0.6086956521739131
24,2020-02-15-20-florida,57.9,11,3.1,1,118.3,71.4,20,0.469,49,0.38799999999999996,19,0.469,23,0.87,20,16,200,93.0,25.0,7,23,66,,8.5,6,0.34700000000000003,17,0.47100000000000003,8,48.2,27,0.551,22.3,17,32,0.344,11,0.36,9,"February 15, 2020",59.3,16,25.0,8,93.0,75.0,21,0.615,52,0.519,27,0.5770000000000001,30,0.667,20,9,200,118.3,28.6,8,23,84,,9.9,7,0.385,20,0.5,10,51.8,29,0.634,17.7,14,32,0.531,17,0.64,16,"Stephen C. O'Connell Center, Gainesville, Florida",VANDERBILT,Vanderbilt,71.1,Home,FLORIDA,Florida,Florida,sec,24,True,False,True,Home,True,10,17,52,29,56,8,11,49,1,0,170,442,1367,0.5098756400877835,788,1504,0.5239361702127661,156,396,1332,0.472972972972973,0.625
25,2020-02-18-19-florida,40.9,9,3.3,1,112.3,68.2,15,0.4270000000000001,55,0.4,22,0.345,19,0.632,12,10,200,90.8,26.3,10,22,59,,9.2,6,0.29100000000000004,16,0.188,3,41.7,25,0.461,13.6,10,39,0.48700000000000004,19,0.615,16,"February 18, 2020",30.4,7,12.8,5,90.8,73.7,28,0.565,46,0.5,23,0.5429999999999999,25,0.84,21,9,200,112.3,31.8,7,18,73,,7.7,5,0.348,16,0.375,6,58.3,35,0.631,20.8,15,30,0.5670000000000001,17,0.654,17,"Stephen C. O'Connell Center, Gainesville, Florida",ARKANSAS,Arkansas,65.0,Home,FLORIDA,Florida,Florida,sec,25,True,False,True,Home,True,6,17,46,35,60,3,19,55,1,0,180,459,1419,0.5137420718816068,817,1560,0.5237179487179487,164,407,1381,0.4728457639391745,0.64
26,2020-02-22-18-kentucky,45.5,10,5.3,2,100.0,79.2,19,0.49,51,0.431,22,0.275,14,0.643,9,10,200,90.8,27.6,8,15,59,,12.3,8,0.451,23,0.261,6,50.9,27,0.512,20.8,15,28,0.5710000000000001,16,0.63,17,"February 22, 2020",44.0,11,7.1,2,90.8,72.4,21,0.519,53,0.47200000000000003,25,0.18899999999999997,10,1.0,10,5,200,100.0,20.8,5,15,65,10.0,12.3,8,0.28300000000000003,15,0.33299999999999996,5,49.1,26,0.563,18.5,13,38,0.526,20,0.815,22,"Rupp Arena, Lexington, Kentucky",FLORIDA,Florida,65.2,Home,KENTUCKY,Kentucky,Florida,sec,26,False,False,False,Away,False,6,16,51,27,53,5,20,53,0,1,186,476,1465,0.5153583617747439,852,1620,0.5259259259259259,167,426,1436,0.471100278551532,0.6538461538461539
27,2020-02-26-21-florida,34.6,9,4.9,2,122.7,80.0,20,0.4920000000000001,59,0.441,26,0.203,12,0.667,8,9,200,100.0,21.9,7,12,66,,4.5,3,0.39,23,0.261,6,47.4,27,0.51,11.1,8,36,0.556,20,0.679,19,"February 26, 2020",50.0,17,16.7,6,100.0,78.1,25,0.621,62,0.5479999999999999,34,0.113,7,0.5710000000000001,4,10,200,122.7,20.0,5,14,81,,4.5,3,0.33899999999999997,21,0.429,9,52.6,30,0.62,7.1,5,41,0.61,25,0.643,18,"Stephen C. O'Connell Center, Gainesville, Florida",LOUISIANA-STATE,LSU,65.5,Home,FLORIDA,Florida,Florida,sec,27,True,False,True,Home,True,9,25,62,30,57,6,20,59,1,0,192,492,1516,0.5145118733509235,879,1673,0.525403466826061,172,446,1489,0.4728005372733378,0.6296296296296297
