,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BINGHAMTON_homegame,BINGHAMTON_homegame2,BINGHAMTON_home,BINGHAMTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-youngstown-state,33.3,7,4.5,2,105.8,60.0,21,0.41200000000000003,57,0.368,21,0.175,10,0.8,8,6,200,79.7,6.1,2,14,55,,7.2,5,0.491,28,0.179,5,33.8,23,0.445,15.2,11,29,0.552,16,0.455,5,"December 18, 2019",56.7,17,6.9,2,79.7,93.9,31,0.478,69,0.435,30,0.217,15,0.467,7,5,200,105.8,40.0,14,13,73,,10.1,7,0.36200000000000004,25,0.24,6,66.2,45,0.479,7.4,6,44,0.545,24,0.583,7,"Beeghly Center, Youngstown, Ohio",BINGHAMTON,Binghamton,69.4,Home,YOUNGSTOWN-STATE,Youngstown State,Binghamton,america-east,10,False,False,False,Away,False,5,16,57,23,68,6,24,69,0,1,102,165,633,0.5023696682464455,347,698,0.497134670487106,75,221,648,0.5146604938271605,0.5
11,2019-12-20-19-pittsburgh,54.5,12,10.2,5,109.7,60.0,21,0.46399999999999997,56,0.39299999999999996,22,0.08900000000000001,5,0.2,1,7,200,73.6,39.4,13,14,53,,6.9,5,0.536,30,0.267,8,50.0,34,0.45399999999999996,30.0,25,26,0.5379999999999999,14,0.41700000000000004,5,"December 20, 2019",56.7,17,34.6,9,73.6,60.6,20,0.493,68,0.441,30,0.27899999999999997,19,0.632,12,3,200,109.7,40.0,14,11,79,,20.8,15,0.27899999999999997,19,0.368,7,50.0,34,0.513,11.6,10,49,0.469,23,0.75,9,"Petersen Events Center, Pittsburgh, Pennsylvania",BINGHAMTON,Binghamton,71.7,Home,PITTSBURGH,Pitt,Binghamton,america-east,11,False,False,False,Away,False,8,14,56,34,68,7,23,68,0,1,107,181,690,0.4949275362318841,370,766,0.4830287206266319,81,245,717,0.5111576011157601,0.4545454545454545
12,2019-12-29-14-binghamton,41.2,7,3.3,1,122.5,76.9,20,0.267,73,0.233,17,0.17800000000000002,13,0.462,6,0,200,56.3,27.3,15,23,45,,6.3,5,0.425,31,0.161,5,43.2,35,0.284,14.2,13,42,0.28600000000000003,12,0.0,0,"December 29, 2019",67.7,21,16.7,7,56.3,72.7,40,0.633,60,0.517,31,0.483,29,0.759,22,7,200,122.5,23.1,6,16,98,,15.0,12,0.5,30,0.467,14,56.8,46,0.664,18.0,16,30,0.5670000000000001,17,0.462,6,"Binghamton University Events Center, Vestal, New York","Hartwick
			","Hartwick
			",80.5,Home,BINGHAMTON,Binghamton,Binghamton,america-east,12,True,False,True,Home,True,14,17,60,46,81,5,12,73,1,0,115,195,746,0.49262734584450396,404,834,0.4844124700239808,88,268,785,0.5095541401273885,0.4166666666666667
13,2020-01-04-16-binghamton,46.2,12,6.5,2,83.8,83.3,30,0.545,56,0.46399999999999997,26,0.321,18,0.722,13,8,200,100.0,17.9,5,17,74,,8.1,6,0.35700000000000004,20,0.45,9,54.7,35,0.573,18.0,14,36,0.47200000000000003,17,0.5,8,"January 4, 2020",19.0,4,8.3,3,100.0,82.1,23,0.40299999999999997,62,0.33899999999999997,21,0.242,15,0.8,12,8,200,83.8,16.7,6,16,62,,9.5,7,0.5,31,0.258,8,45.3,29,0.44799999999999995,14.9,12,31,0.419,13,0.429,6,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,74.3,Away,ALBANY-NY,Albany (NY),Binghamton,america-east,13,False,True,True,Home,False,8,13,62,29,64,9,17,56,0,1,129,212,806,0.5031017369727047,450,915,0.4918032786885246,93,280,858,0.4889277389277389,0.4615384615384616
14,2020-01-08-19-binghamton,46.7,14,8.0,2,116.2,72.4,21,0.541,61,0.4920000000000001,30,0.27899999999999997,17,0.529,9,10,200,110.3,10.0,3,19,75,,4.4,3,0.27899999999999997,17,0.353,6,40.7,24,0.5429999999999999,4.2,3,44,0.545,24,0.41200000000000003,7,"January 8, 2020",36.0,9,9.1,4,110.3,90.0,27,0.565,54,0.46299999999999997,25,0.389,21,0.857,18,8,200,116.2,27.6,8,16,79,,2.9,2,0.537,29,0.379,11,59.3,35,0.617,14.8,11,25,0.56,14,0.467,7,"Binghamton University Events Center, Vestal, New York",MARYLAND-BALTIMORE-COUNTY,UMBC,68.0,Home,BINGHAMTON,Binghamton,Binghamton,america-east,14,True,False,True,Home,True,11,14,54,35,59,6,24,61,1,0,137,225,868,0.4959677419354839,479,979,0.4892747701736466,102,297,914,0.4923413566739606,0.42857142857142855
15,2020-01-11-17-massachusetts-lowell,46.2,12,5.9,2,118.1,95.7,22,0.46,63,0.413,26,0.127,8,1.0,8,9,200,91.7,30.3,10,16,66,,6.9,5,0.397,25,0.24,6,57.1,32,0.494,19.4,16,38,0.526,20,0.43799999999999994,7,"January 11, 2020",61.3,19,7.9,3,91.7,69.7,23,0.655,55,0.564,31,0.29100000000000004,16,0.813,13,10,200,118.1,4.3,1,12,85,,12.5,9,0.382,21,0.47600000000000003,10,42.9,24,0.679,13.9,10,34,0.618,21,0.444,8,"Tsongas Center, Lowell, Massachusetts",BINGHAMTON,Binghamton,72.2,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Binghamton,america-east,15,False,False,False,Away,False,6,20,63,32,56,10,21,55,0,1,148,239,922,0.5,514,1038,0.4951830443159923,108,321,975,0.4953846153846154,0.4666666666666667
16,2020-01-15-19-binghamton,51.9,14,3.1,1,84.1,86.1,31,0.5820000000000001,55,0.491,27,0.2,11,0.727,8,6,200,114.3,27.6,8,14,72,,9.5,6,0.4,22,0.455,10,60.0,39,0.598,14.3,10,33,0.515,17,0.667,12,"January 15, 2020",42.9,9,9.1,3,114.3,72.4,21,0.431,58,0.36200000000000004,21,0.086,5,0.6,3,10,200,84.1,13.9,5,12,53,,3.2,2,0.44799999999999995,26,0.308,8,40.0,26,0.439,13.0,9,32,0.406,13,0.41200000000000003,7,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,63.3,Away,VERMONT,Vermont,Binghamton,america-east,16,False,True,True,Home,False,8,13,58,26,65,10,17,55,0,1,154,259,985,0.4974619289340101,546,1094,0.4990859232175503,118,342,1030,0.503883495145631,0.4375
17,2020-01-19-14-maine,41.7,10,7.7,3,132.3,48.3,14,0.527,56,0.429,24,0.125,7,0.5710000000000001,4,11,200,96.9,16.1,5,14,63,,6.2,4,0.46399999999999997,26,0.423,11,31.7,19,0.531,16.9,12,30,0.433,13,0.389,7,"January 19, 2020",70.6,24,10.0,3,96.9,83.9,26,0.609,64,0.531,34,0.156,10,0.8,8,13,200,132.3,51.7,15,15,86,,12.3,8,0.391,25,0.4,10,68.3,41,0.625,12.8,10,39,0.615,24,0.316,6,"Cross Insurance Center, Bangor, Maine",BINGHAMTON,Binghamton,65.0,Home,MAINE,Maine,Binghamton,america-east,17,False,False,False,Away,False,11,13,56,19,60,10,24,64,0,1,162,272,1043,0.4937679769894535,572,1159,0.4935289042277826,128,359,1085,0.5078341013824885,0.4117647058823529
18,2020-01-22-19-stony-brook,46.9,15,7.7,3,111.3,57.9,22,0.5770000000000001,65,0.4920000000000001,32,0.16899999999999998,11,0.727,8,11,200,116.9,41.4,12,17,83,,5.6,4,0.508,33,0.33299999999999996,11,50.7,34,0.591,15.7,13,32,0.6559999999999999,21,0.42100000000000004,8,"January 22, 2020",51.7,15,15.6,5,116.9,58.6,17,0.493,68,0.426,29,0.27899999999999997,19,0.632,12,8,200,111.3,42.1,16,16,79,,8.5,6,0.426,29,0.31,9,49.3,33,0.513,11.6,10,39,0.513,20,0.619,13,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,71.1,Away,BINGHAMTON,Binghamton,Binghamton,america-east,18,False,False,False,Away,True,11,21,65,34,67,9,20,68,1,0,173,285,1099,0.4954504094631483,591,1219,0.4848236259228877,138,383,1149,0.5134899912967799,0.3888888888888889
19,2020-01-25-16-binghamton,33.3,10,3.1,1,104.5,65.8,25,0.588,57,0.526,30,0.281,16,0.625,10,9,200,116.7,27.6,8,15,77,,9.1,6,0.281,16,0.43799999999999994,7,49.3,33,0.596,12.3,9,41,0.561,23,0.526,10,"January 25, 2020",47.8,11,0.0,0,116.7,72.4,21,0.445,64,0.359,23,0.266,17,0.706,12,12,200,104.5,34.2,13,16,69,,7.6,5,0.5,32,0.344,11,50.7,34,0.479,10.1,8,32,0.375,12,0.4,8,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,66.3,Away,NEW-HAMPSHIRE,New Hampshire,Binghamton,america-east,19,False,True,True,Home,False,11,12,64,34,67,7,23,57,0,1,184,306,1164,0.5,625,1286,0.4860031104199067,147,403,1217,0.5123253903040262,0.42105263157894735
20,2020-01-29-19-hartford,70.0,14,15.8,6,107.4,68.8,22,0.49,49,0.408,20,0.265,13,0.6920000000000001,9,13,200,83.8,23.1,6,21,57,,8.8,6,0.531,26,0.308,8,48.3,28,0.517,24.8,18,23,0.522,12,0.381,8,"January 29, 2020",40.0,10,4.3,1,83.8,76.9,20,0.466,59,0.424,25,0.40700000000000003,24,0.75,18,10,200,107.4,31.3,10,11,73,,14.7,10,0.35600000000000004,21,0.23800000000000002,5,51.7,30,0.518,11.5,9,38,0.526,20,0.545,12,"Chase Family Arena, Hartford, Connecticut",BINGHAMTON,Binghamton,68.3,Home,HARTFORD,Hartford,Binghamton,america-east,20,False,False,False,Away,False,8,12,49,28,58,5,20,59,0,1,195,318,1228,0.4971498371335505,659,1353,0.4870657797487066,154,426,1274,0.5156985871271585,0.4
21,2020-02-05-19-albany-ny,58.8,10,21.7,5,92.5,77.8,28,0.36,57,0.298,17,0.298,17,0.47100000000000003,8,14,200,73.1,13.2,5,18,49,,10.4,7,0.509,29,0.24100000000000002,7,44.6,33,0.376,11.0,8,28,0.35700000000000004,10,0.364,8,"February 5, 2020",75.0,15,14.3,4,73.1,86.8,33,0.46399999999999997,55,0.364,20,0.4,22,0.5,11,11,200,92.5,22.2,8,12,62,,4.5,3,0.5820000000000001,32,0.344,11,55.4,41,0.474,12.2,9,23,0.391,9,0.542,13,"SEFCU Arena, Albany, New York",BINGHAMTON,Binghamton,67.3,Home,ALBANY-NY,Albany (NY),Binghamton,america-east,21,False,False,False,Away,False,7,10,57,33,74,11,9,55,0,1,203,330,1277,0.4968676585747847,687,1411,0.486888731396173,159,446,1333,0.513503375843961,0.3809523809523809
22,2020-02-08-14-binghamton,63.3,19,34.8,8,104.2,69.2,27,0.6759999999999999,51,0.588,30,0.41200000000000003,21,0.619,13,17,200,113.9,25.0,6,16,82,,13.9,10,0.431,22,0.409,9,52.4,33,0.672,21.0,16,29,0.7240000000000001,21,0.292,7,"February 8, 2020",62.5,15,3.4,1,113.9,75.0,18,0.47,67,0.358,24,0.179,12,1.0,12,15,200,104.2,30.8,12,17,75,,11.1,8,0.657,44,0.341,15,47.6,30,0.516,15.2,13,23,0.391,9,0.348,8,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,72.3,Away,MAINE,Maine,Binghamton,america-east,22,False,True,True,Home,False,15,9,67,30,63,9,21,51,0,1,210,340,1334,0.4910044977511244,720,1485,0.4848484848484849,170,455,1388,0.5115273775216138,0.3636363636363637
23,2020-02-12-19-binghamton,36.0,9,0.0,0,97.2,79.1,34,0.46799999999999997,62,0.40299999999999997,25,0.40299999999999997,25,0.68,17,9,200,104.2,19.4,7,16,75,,5.6,4,0.40299999999999997,25,0.32,8,51.9,41,0.508,11.0,9,37,0.45899999999999996,17,0.654,17,"February 12, 2020",77.3,17,8.1,3,104.2,80.6,29,0.434,61,0.361,22,0.361,22,0.773,17,16,200,97.2,20.9,9,21,70,,4.2,3,0.623,38,0.237,9,48.1,38,0.49,6.6,5,23,0.565,13,0.33299999999999996,8,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,71.7,Away,STONY-BROOK,Stony Brook,Binghamton,america-east,23,False,True,True,Home,False,9,13,61,38,79,8,17,62,0,1,225,349,1401,0.4900071377587438,750,1548,0.4844961240310077,179,476,1439,0.5173731758165393,0.3478260869565217
24,2020-02-15-14-vermont,36.8,7,5.4,2,115.2,70.3,26,0.368,57,0.33299999999999996,19,0.193,11,0.545,6,17,200,72.7,15.8,6,13,48,,6.1,4,0.368,21,0.19,4,42.7,32,0.386,12.7,9,36,0.41700000000000004,15,0.32,8,"February 15, 2020",51.7,15,11.1,4,72.7,84.2,32,0.516,64,0.45299999999999996,29,0.297,19,0.526,10,6,200,115.2,29.7,11,11,76,,7.6,5,0.42200000000000004,27,0.29600000000000004,8,57.3,43,0.52,5.2,4,37,0.568,21,0.778,21,"Roy L. Patrick Gymnasium, Burlington, Vermont",BINGHAMTON,Binghamton,65.6,Home,VERMONT,Vermont,Binghamton,america-east,24,False,False,False,Away,False,4,15,57,32,75,8,21,64,0,1,234,362,1462,0.4876880984952121,788,1627,0.4843269821757836,187,493,1501,0.5153231179213857,0.3333333333333333
25,2020-02-20-19-binghamton,60.0,18,3.1,1,111.7,90.9,20,0.541,61,0.4920000000000001,30,0.39299999999999996,24,0.75,18,17,200,109.1,29.0,9,20,84,,9.1,7,0.32799999999999996,20,0.3,6,54.7,29,0.58,18.3,16,41,0.585,24,0.39299999999999996,11,"February 20, 2020",46.4,13,2.4,1,109.1,71.0,22,0.657,51,0.5489999999999999,28,0.51,26,0.731,19,17,200,111.7,9.1,2,24,86,,13.0,10,0.373,19,0.579,11,45.3,24,0.679,17.2,13,32,0.531,17,0.34600000000000003,9,"Binghamton University Events Center, Vestal, New York",MASSACHUSETTS-LOWELL,UMass-Lowell,76.9,Home,BINGHAMTON,Binghamton,Binghamton,america-east,25,True,False,True,Home,True,11,17,51,24,53,6,24,61,1,0,238,377,1519,0.4832126398946676,820,1702,0.48178613396004705,195,514,1565,0.515335463258786,0.32
26,2020-02-22-16-binghamton,52.0,13,8.1,3,108.8,77.1,27,0.508,61,0.41,25,0.344,21,0.619,13,14,200,110.3,41.7,15,16,75,,1.5,1,0.508,31,0.387,12,59.2,42,0.528,15.6,13,30,0.433,13,0.517,15,"February 22, 2020",50.0,13,16.7,5,110.3,58.3,21,0.484,61,0.426,26,0.311,19,0.789,15,18,200,108.8,22.9,8,16,74,,16.2,11,0.39299999999999996,24,0.292,7,40.8,29,0.528,6.7,5,37,0.514,19,0.33299999999999996,9,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,68.0,Away,HARTFORD,Hartford,Binghamton,america-east,26,False,True,True,Home,False,7,19,61,29,71,12,13,61,0,1,249,394,1570,0.4888535031847134,844,1755,0.4809116809116809,201,538,1626,0.5162976629766297,0.3461538461538461
