,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MEMPHIS_homegame,MEMPHIS_homegame2,MEMPHIS_home,MEMPHIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
18,2020-01-25-16-memphis,52.0,13,6.1,2,107.7,80.0,20,0.555,55,0.455,25,0.345,19,0.684,13,4,200,113.8,37.5,12,14,74,,6.2,4,0.618,34,0.324,11,56.1,32,0.578,17.0,13,21,0.667,14,0.789,15,"January 25, 2020",69.2,18,19.0,4,113.8,62.5,20,0.575,53,0.491,26,0.245,13,0.6920000000000001,9,5,200,107.7,20.0,5,18,70,20.0,12.3,8,0.377,20,0.45,9,43.9,25,0.591,15.8,11,33,0.515,17,0.737,14,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,65.1,Away,SOUTHERN-METHODIST,SMU,Memphis,aac,18,False,True,True,Home,False,9,17,53,25,57,11,14,55,0,1,113,364,1052,0.5071292775665399,686,1249,0.5492393915132106,117,269,1081,0.41119333950046255,0.7777777777777778
19,2020-01-29-19-central-florida,50.0,12,9.5,4,82.6,86.1,31,0.491,55,0.436,24,0.16399999999999998,9,0.556,5,5,200,85.5,24.1,7,14,59,,4.3,3,0.273,15,0.4,6,58.5,38,0.498,22.4,17,40,0.45,18,0.75,15,"January 29, 2020",31.8,7,2.5,1,85.5,75.9,22,0.42100000000000004,57,0.386,22,0.228,13,0.6920000000000001,9,9,200,82.6,13.9,5,15,57,,5.8,4,0.263,15,0.267,4,41.5,27,0.451,14.9,11,42,0.429,18,0.55,11,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,69.2,Away,MEMPHIS,Memphis,Memphis,aac,19,False,False,False,Away,True,6,18,55,38,65,4,18,57,1,0,122,381,1105,0.5104072398190045,711,1306,0.5444104134762634,128,283,1136,0.41813380281690143,0.7368421052631579
20,2020-02-01-13-memphis,54.5,12,9.7,3,89.7,75.0,18,0.392,65,0.33799999999999997,22,0.24600000000000002,16,0.75,12,10,200,80.8,29.7,11,22,63,,19.2,15,0.369,24,0.292,7,47.5,29,0.434,21.7,20,41,0.366,15,0.524,11,"February 1, 2020",57.1,12,24.4,10,80.8,70.3,26,0.544,45,0.467,21,0.6,27,0.778,21,5,200,89.7,25.0,6,15,70,,12.8,10,0.311,14,0.5,7,52.5,32,0.605,28.8,23,31,0.452,14,0.762,16,"FedExForum, Memphis, Tennessee",CONNECTICUT,UConn,78.2,Home,MEMPHIS,Memphis,Memphis,aac,20,True,False,True,Home,True,7,14,45,32,61,7,15,65,1,0,128,399,1160,0.5094827586206897,749,1371,0.5463165572574763,132,301,1193,0.4182732606873428,0.75
21,2020-02-05-20-memphis,59.1,13,8.3,2,105.3,76.9,20,0.397,63,0.349,22,0.349,22,0.682,15,11,200,86.7,23.1,9,21,65,,16.0,12,0.33299999999999996,21,0.28600000000000003,6,44.6,29,0.442,14.2,12,42,0.381,16,0.5,11,"February 5, 2020",65.2,15,14.3,6,86.7,76.9,30,0.57,50,0.46,23,0.56,28,0.7859999999999999,22,5,200,105.3,23.1,6,16,79,,9.3,7,0.52,26,0.423,11,55.4,36,0.624,20.4,16,24,0.5,12,0.773,17,"FedExForum, Memphis, Tennessee",TEMPLE,Temple,74.9,Home,MEMPHIS,Memphis,Memphis,aac,21,True,False,True,Home,True,11,12,50,36,65,6,16,63,1,0,135,413,1205,0.5107883817427386,781,1432,0.5453910614525139,139,316,1258,0.4169316375198728,0.7619047619047619
22,2020-02-08-16-memphis,36.0,9,13.3,4,105.8,86.7,26,0.5,58,0.431,25,0.414,24,0.708,17,12,200,108.7,41.7,15,23,75,,5.8,4,0.36200000000000004,21,0.381,8,62.1,41,0.54,15.9,13,37,0.45899999999999996,17,0.478,11,"February 8, 2020",42.3,11,10.8,4,108.7,58.3,21,0.556,54,0.48100000000000004,26,0.40700000000000003,22,0.591,13,6,200,105.8,13.3,4,23,73,,7.2,5,0.444,24,0.33299999999999996,8,37.9,25,0.5660000000000001,14.7,11,30,0.6,18,0.7390000000000001,17,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,69.4,Away,SOUTH-FLORIDA,South Florida,Memphis,aac,22,False,True,True,Home,False,8,18,54,25,66,8,17,58,0,1,146,425,1255,0.5131474103585657,817,1497,0.5457581830327322,145,332,1321,0.4159727479182437,0.7727272727272727
23,2020-02-13-19-cincinnati,43.3,13,12.5,4,110.8,66.7,28,0.532,62,0.484,30,0.516,32,0.625,20,7,225,103.6,17.6,6,33,86,,7.2,6,0.29,18,0.33299999999999996,6,44.7,34,0.557,13.6,12,44,0.545,24,0.708,17,"February 13, 2020",70.4,19,4.5,2,103.6,82.4,28,0.485,65,0.415,27,0.723,47,0.617,29,8,225,110.8,33.3,14,23,92,,8.4,7,0.508,33,0.273,9,55.3,42,0.527,10.5,10,32,0.563,18,0.667,16,"Fifth Third Arena, Cincinnati, Ohio",MEMPHIS,Memphis,74.0,Home,CINCINNATI,Cincinnati,Memphis,aac,23,False,False,False,Away,False,6,24,62,34,76,9,18,65,0,1,154,443,1309,0.5148968678380443,842,1563,0.5387076135636596,153,349,1379,0.41950688905003625,0.7391304347826086
24,2020-02-16-15-connecticut,57.1,12,11.6,5,87.7,61.9,26,0.41700000000000004,60,0.35,21,0.3,18,0.611,11,8,200,83.6,25.7,9,23,61,,9.6,7,0.35,21,0.381,8,45.5,35,0.445,19.1,16,39,0.33299999999999996,13,0.68,17,"February 16, 2020",52.4,11,20.5,8,83.6,74.3,26,0.348,66,0.318,21,0.303,20,0.9,18,11,200,87.7,38.1,16,15,64,,8.2,6,0.348,23,0.174,4,54.5,42,0.424,11.8,10,43,0.395,17,0.56,14,"XL Center, Hartford, Connecticut",MEMPHIS,Memphis,72.5,Home,CONNECTICUT,UConn,Memphis,aac,24,False,False,False,Away,False,8,13,60,35,77,4,17,66,0,1,160,467,1371,0.5156819839533188,876,1639,0.5344722391702258,162,367,1444,0.4224376731301939,0.7083333333333334
25,2020-02-19-19-memphis,73.1,19,11.4,4,97.5,78.4,29,0.483,58,0.44799999999999995,26,0.379,22,0.773,17,17,200,92.4,14.7,5,24,73,,6.3,5,0.345,20,0.2,4,47.9,34,0.5329999999999999,18.1,15,38,0.579,22,0.37,10,"February 19, 2020",57.7,15,5.3,2,92.4,85.3,29,0.5,59,0.441,26,0.525,31,0.581,18,8,200,97.5,21.6,8,19,77,,10.1,8,0.40700000000000003,24,0.292,7,52.1,37,0.522,15.2,13,35,0.5429999999999999,19,0.6920000000000001,18,"FedExForum, Memphis, Tennessee",EAST-CAROLINA,East Carolina,78.6,Home,MEMPHIS,Memphis,Memphis,aac,25,True,False,True,Home,True,7,19,59,37,71,4,22,58,1,0,168,480,1431,0.5115303983228512,911,1716,0.5308857808857809,166,384,1510,0.419205298013245,0.68
26,2020-02-22-14-memphis,42.9,9,2.9,1,88.2,82.4,28,0.41,61,0.344,21,0.19699999999999998,12,0.75,9,7,200,86.8,34.2,13,21,59,22.0,5.9,4,0.344,21,0.381,8,56.9,41,0.442,17.4,14,40,0.325,13,0.75,21,"February 22, 2020",55.6,10,12.5,5,86.8,65.8,25,0.368,53,0.34,18,0.5660000000000001,30,0.7,21,8,200,88.2,17.6,6,15,60,,14.7,10,0.34,18,0.16699999999999998,3,43.1,31,0.446,10.8,8,35,0.429,15,0.7040000000000001,19,"FedExForum, Memphis, Tennessee",HOUSTON,Houston,68.5,Home,MEMPHIS,Memphis,Memphis,aac,26,True,False,True,Home,True,3,15,53,31,72,8,13,61,1,0,175,499,1490,0.5110738255033557,948,1787,0.5304980414101846,170,406,1568,0.4215561224489796,0.6923076923076923
27,2020-02-25-21-southern-methodist,72.2,13,5.7,2,85.3,68.6,24,0.387,53,0.34,18,0.264,14,0.857,12,9,200,77.9,34.3,12,19,53,,8.8,6,0.396,21,0.23800000000000002,5,51.4,36,0.444,25.3,20,32,0.406,13,0.679,19,"February 25, 2020",63.2,12,9.4,3,77.9,65.7,23,0.35700000000000004,56,0.33899999999999997,19,0.39299999999999996,22,0.818,18,8,200,85.3,31.4,11,16,58,,14.7,10,0.375,21,0.095,2,48.6,34,0.436,15.4,12,35,0.486,17,0.7040000000000001,19,"Moody Coliseum, Dallas, Texas",MEMPHIS,Memphis,67.6,Home,SOUTHERN-METHODIST,SMU,Memphis,aac,27,False,False,False,Away,False,5,13,53,36,70,2,17,56,0,1,178,514,1543,0.5061568373298768,979,1859,0.5266272189349113,178,419,1629,0.4211172498465316,0.7037037037037037
