,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IDAHO-STATE_homegame,IDAHO-STATE_homegame2,IDAHO-STATE_home,IDAHO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2020-01-04-22-sacramento-state,31.6,6,0.0,0,113.3,64.0,16,0.4270000000000001,48,0.396,19,0.25,12,0.667,8,7,200,81.7,16.0,4,11,49,,5.0,3,0.25,12,0.25,3,40.0,20,0.456,15.8,10,36,0.444,16,0.41700000000000004,5,"January 4, 2020",65.5,19,19.4,7,81.7,84.0,21,0.534,59,0.4920000000000001,29,0.085,5,1.0,5,4,200,113.3,36.0,9,15,68,,10.0,6,0.28800000000000003,17,0.294,5,60.0,30,0.5539999999999999,10.3,7,42,0.5710000000000001,24,0.667,8,"The Nest, Sacramento, California",IDAHO-STATE,Idaho State,59.5,Home,SACRAMENTO-STATE,Sacramento State,Idaho State,big-sky,11,False,False,False,Away,False,3,16,48,20,50,5,24,59,0,1,83,196,580,0.5525862068965517,333,642,0.5186915887850467,42,236,615,0.4861788617886179,0.4545454545454545
12,2020-01-09-21-idaho-state,38.5,10,16.2,6,85.9,67.6,23,0.5379999999999999,53,0.491,26,0.358,19,0.737,14,5,200,110.9,20.7,6,18,71,,12.5,8,0.20800000000000002,11,0.455,5,46.0,29,0.5720000000000001,8.9,6,42,0.5,21,0.667,10,"January 9, 2020",38.9,7,4.8,2,110.9,79.3,23,0.364,55,0.327,18,0.382,21,0.7140000000000001,15,8,200,85.9,32.4,11,17,55,,3.1,2,0.327,18,0.222,4,54.0,34,0.423,15.7,12,37,0.37799999999999995,14,0.385,5,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,64.0,Away,SOUTHERN-UTAH,Southern Utah,Idaho State,big-sky,12,False,True,True,Home,False,4,14,55,34,63,5,21,53,0,1,86,212,628,0.5429936305732485,353,692,0.5101156069364162,47,260,674,0.4903560830860534,0.4166666666666667
13,2020-01-11-18-northern-arizona,69.2,18,4.8,2,93.1,78.8,26,0.546,54,0.48100000000000004,26,0.33299999999999996,18,0.667,12,8,200,98.6,20.0,6,10,71,,5.6,4,0.33299999999999996,18,0.389,7,50.8,32,0.568,18.4,14,36,0.528,19,0.429,6,"January 11, 2020",57.1,16,5.6,2,98.6,80.0,24,0.508,63,0.444,28,0.127,8,0.375,3,7,200,93.1,21.2,7,18,67,,12.5,9,0.33299999999999996,21,0.381,8,49.2,31,0.501,16.3,13,42,0.47600000000000003,20,0.5,7,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,71.7,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky,13,False,False,False,Away,True,7,19,54,32,63,8,20,63,1,0,90,226,683,0.5285505124450952,387,755,0.5125827814569537,52,281,727,0.4938101788170564,0.38461538461538464
14,2020-01-16-21-idaho-state,14.8,4,4.2,2,88.3,66.7,26,0.483,59,0.45799999999999996,27,0.424,25,0.76,19,11,225,98.7,12.1,4,18,76,,9.1,7,0.254,15,0.2,3,41.7,30,0.536,11.4,9,44,0.545,24,0.353,6,"January 16, 2020",37.0,10,9.1,4,98.7,87.9,29,0.4320000000000001,66,0.409,27,0.318,21,0.524,11,9,225,88.3,33.3,13,18,68,,3.9,3,0.273,18,0.16699999999999998,3,58.3,42,0.44799999999999995,17.5,16,48,0.5,24,0.4,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,68.8,Away,WEBER-STATE,Weber State,Idaho State,big-sky,14,False,True,True,Home,False,3,24,66,42,72,3,24,59,0,1,97,245,737,0.5298507462686567,419,818,0.5122249388753056,60,301,790,0.4949367088607594,0.42857142857142855
15,2020-01-18-22-portland-state,71.4,20,3.8,2,117.1,48.5,16,0.54,62,0.452,28,0.27399999999999997,17,0.529,9,10,200,108.6,51.6,16,15,76,,7.1,5,0.355,22,0.5,11,50.0,32,0.542,18.7,16,40,0.425,17,0.375,6,"January 18, 2020",45.5,15,12.5,5,108.6,48.4,15,0.522,68,0.485,33,0.265,18,0.611,11,10,200,117.1,51.5,17,20,82,,11.4,8,0.235,16,0.313,5,50.0,32,0.536,11.6,10,52,0.5379999999999999,28,0.474,9,"Peter W. Stott Center, Portland, Oregon",IDAHO-STATE,Idaho State,69.8,Home,PORTLAND-STATE,Portland State,Idaho State,big-sky,15,False,False,False,Away,False,11,17,62,32,64,5,28,68,0,1,100,269,803,0.5217932752179327,461,890,0.5179775280898876,63,325,849,0.494110718492344,0.4
16,2020-01-23-21-idaho-state,35.7,10,11.1,5,102.8,70.0,21,0.526,58,0.483,28,0.32799999999999996,19,0.8420000000000001,16,8,200,106.9,19.4,6,26,77,,6.9,5,0.276,16,0.313,5,44.3,27,0.574,15.3,12,42,0.5479999999999999,23,0.579,11,"January 23, 2020",52.2,12,11.9,5,106.9,80.6,25,0.47100000000000003,52,0.442,23,0.654,34,0.735,25,11,200,102.8,30.0,9,17,74,,4.2,3,0.135,7,0.429,3,55.7,34,0.5429999999999999,15.2,12,45,0.444,20,0.353,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,72.1,Away,MONTANA,Montana,Idaho State,big-sky,16,False,True,True,Home,False,3,20,52,34,61,5,23,58,0,1,111,286,865,0.5231213872832371,493,954,0.5167714884696016,68,353,917,0.4961832061068702,0.375
17,2020-01-25-21-idaho-state,21.4,6,0.0,0,92.8,69.4,25,0.5,57,0.491,28,0.40399999999999997,23,0.7829999999999999,18,9,200,108.7,38.7,12,16,75,,8.7,6,0.193,11,0.091,1,55.2,37,0.552,15.2,12,46,0.5870000000000001,27,0.55,11,"January 25, 2020",57.1,12,4.3,2,108.7,61.3,19,0.447,57,0.368,21,0.316,18,0.722,13,12,200,92.8,30.6,11,21,64,,2.9,2,0.474,27,0.33299999999999996,9,44.8,30,0.488,18.8,15,30,0.4,12,0.33299999999999996,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,68.7,Away,MONTANA-STATE,Montana State,Idaho State,big-sky,17,False,True,True,Home,False,9,12,57,30,67,1,27,57,0,1,114,306,917,0.5201744820065429,527,1015,0.5192118226600986,73,376,975,0.4979487179487179,0.35294117647058826
18,2020-01-30-21-northern-colorado,33.3,9,16.7,4,127.7,80.8,21,0.509,57,0.474,27,0.228,13,0.6920000000000001,9,13,200,103.1,11.1,3,12,67,,4.6,3,0.193,11,0.364,4,45.3,24,0.53,7.4,5,46,0.5,23,0.316,6,"January 30, 2020",55.2,16,10.9,5,103.1,88.9,24,0.667,54,0.537,29,0.24100000000000002,13,0.846,11,7,200,127.7,19.2,5,15,83,,3.1,2,0.556,30,0.467,14,54.7,29,0.69,13.1,9,24,0.625,15,0.65,13,"Bank of Colorado Arena, Greeley, Colorado",IDAHO-STATE,Idaho State,64.7,Home,NORTHERN-COLORADO,Northern Colorado,Idaho State,big-sky,18,False,False,False,Away,False,4,23,57,24,53,14,15,54,0,1,123,318,974,0.5159137577002053,557,1082,0.5147874306839186,74,403,1032,0.498062015503876,0.3333333333333333
19,2020-02-01-21-southern-utah,37.0,10,6.5,3,112.7,65.4,17,0.517,59,0.45799999999999996,27,0.35600000000000004,21,0.667,14,14,200,105.6,28.1,9,18,75,,5.6,4,0.39,23,0.304,7,44.8,26,0.544,15.0,12,36,0.556,20,0.3,6,"February 1, 2020",51.7,15,2.8,1,105.6,71.9,23,0.5429999999999999,58,0.5,29,0.32799999999999996,19,0.895,17,8,200,112.7,34.6,9,20,80,,8.5,6,0.207,12,0.41700000000000004,5,55.2,32,0.597,15.3,12,46,0.522,24,0.619,13,"Centrum, Cedar City, Utah",IDAHO-STATE,Idaho State,71.0,Home,SOUTHERN-UTAH,Southern Utah,Idaho State,big-sky,19,False,False,False,Away,False,7,20,59,26,58,5,24,58,0,1,127,341,1031,0.5155189136760426,581,1135,0.5118942731277533,88,418,1086,0.5064456721915286,0.3157894736842105
20,2020-02-06-21-idaho-state,25.0,9,13.5,5,111.5,83.9,26,0.591,66,0.545,36,0.22699999999999998,15,0.667,10,8,225,112.8,16.7,5,20,88,,6.4,5,0.182,12,0.5,6,50.8,31,0.602,11.0,9,54,0.556,30,0.619,13,"February 6, 2020",51.7,15,3.7,2,112.8,83.3,25,0.5589999999999999,59,0.4920000000000001,29,0.45799999999999996,27,0.778,21,15,225,111.5,16.1,5,15,87,,5.1,4,0.373,22,0.364,8,49.2,30,0.606,15.5,13,37,0.568,21,0.28600000000000003,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,69.8,Away,NORTHERN-ARIZONA,Northern Arizona,Idaho State,big-sky,20,False,True,True,Home,False,8,21,59,30,61,6,30,66,0,1,134,361,1090,0.5155963302752293,607,1193,0.5088013411567477,93,442,1144,0.5083041958041958,0.3
21,2020-02-08-21-idaho-state,22.2,6,2.4,1,101.7,67.7,21,0.467,61,0.44299999999999995,27,0.098,6,1.0,6,10,200,108.6,41.9,13,19,63,,5.2,3,0.311,19,0.158,3,54.8,34,0.493,8.6,6,42,0.5710000000000001,24,0.545,12,"February 8, 2020",33.3,8,2.4,1,108.6,58.1,18,0.47200000000000003,54,0.444,24,0.24100000000000002,13,0.615,8,16,200,101.7,32.3,10,11,59,,5.2,3,0.24100000000000002,13,0.231,3,45.2,28,0.49,13.1,9,41,0.512,21,0.273,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,58.0,Away,SACRAMENTO-STATE,Sacramento State,Idaho State,big-sky,21,False,True,True,Home,False,3,21,54,28,62,3,24,61,0,1,142,382,1149,0.5178416013925152,637,1254,0.5079744816586922,99,472,1210,0.5128099173553718,0.2857142857142857
22,2020-02-13-21-montana-state,24.0,6,8.1,3,98.6,87.0,20,0.46799999999999997,62,0.40299999999999997,25,0.306,19,0.579,11,17,200,93.2,21.1,8,17,69,,12.2,9,0.355,22,0.364,8,45.9,28,0.486,13.5,11,40,0.425,17,0.261,6,"February 13, 2020",53.6,15,15.0,6,93.2,78.9,30,0.61,50,0.56,28,0.36,18,0.667,12,11,200,98.6,13.0,3,22,73,,9.5,7,0.26,13,0.385,5,54.1,33,0.623,24.7,19,37,0.622,23,0.542,13,"Max Worthington Arena, Bozeman, Montana",IDAHO-STATE,Idaho State,74.3,Home,MONTANA-STATE,Montana State,Idaho State,big-sky,22,False,False,False,Away,False,8,17,62,28,61,5,23,50,0,1,145,403,1203,0.5157938487115544,665,1316,0.5053191489361702,102,496,1271,0.5106215578284815,0.2727272727272727
23,2020-02-15-21-montana,18.2,4,7.0,3,111.4,91.3,21,0.43799999999999994,56,0.39299999999999996,22,0.33899999999999997,19,0.737,14,18,200,90.0,25.7,9,9,63,,4.3,3,0.304,17,0.294,5,51.7,30,0.484,17.9,14,39,0.436,17,0.25,6,"February 15, 2020",48.5,16,12.8,5,90.0,74.3,26,0.61,59,0.5589999999999999,33,0.102,6,1.0,6,10,200,111.4,8.7,2,17,78,,10.0,7,0.271,16,0.375,6,48.3,28,0.631,15.1,11,43,0.628,27,0.615,16,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO-STATE,Idaho State,70.4,Home,MONTANA,Montana,Idaho State,big-sky,23,False,False,False,Away,False,5,17,56,30,58,6,27,59,0,1,153,420,1265,0.5134387351778656,693,1377,0.5032679738562091,107,519,1321,0.5143830431491294,0.2608695652173913
24,2020-02-22-21-idaho-state,51.4,18,2.4,1,107.5,76.9,20,0.705,56,0.625,35,0.179,10,0.6,6,8,200,126.9,18.2,4,19,85,,4.5,3,0.304,17,0.529,9,50.0,24,0.7,13.0,9,39,0.667,26,0.7040000000000001,19,"February 22, 2020",29.2,7,5.1,2,126.9,81.8,18,0.51,52,0.462,24,0.462,24,0.792,19,19,200,107.5,23.1,6,13,72,,0.0,0,0.212,11,0.455,5,50.0,24,0.568,13.8,10,41,0.46299999999999997,19,0.24,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,66.6,Away,NORTHERN-COLORADO,Northern Colorado,Idaho State,big-sky,24,False,True,True,Home,False,5,19,52,24,48,9,26,56,0,1,158,437,1321,0.5102195306585919,723,1435,0.5038327526132405,113,546,1380,0.5184782608695652,0.25
25,2020-02-27-21-idaho-state,25.0,9,7.3,3,93.8,66.7,20,0.52,75,0.48,36,0.16,12,0.917,11,14,200,109.9,32.4,11,17,89,,8.6,7,0.28,21,0.28600000000000003,6,48.4,31,0.551,13.9,13,54,0.556,30,0.517,15,"February 27, 2020",44.8,13,7.4,4,109.9,67.6,23,0.56,58,0.5,29,0.276,16,0.688,11,20,200,93.8,33.3,10,14,76,,11.1,9,0.293,17,0.41200000000000003,7,51.6,33,0.579,27.0,24,41,0.537,22,0.231,6,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,81.2,Away,PORTLAND-STATE,Portland State,Idaho State,big-sky,25,False,True,True,Home,False,7,22,58,33,64,6,30,75,0,1,163,456,1373,0.5101966496722505,747,1483,0.5037086985839514,122,572,1436,0.525766016713092,0.24
26,2020-03-02-21-weber-state,34.5,10,7.1,3,109.4,66.7,22,0.5429999999999999,58,0.5,29,0.293,17,0.882,15,20,200,121.9,40.7,11,14,78,,9.4,6,0.22399999999999998,13,0.385,5,55.0,33,0.59,10.9,8,45,0.5329999999999999,24,0.259,7,"March 2, 2020",29.6,8,20.0,9,121.9,59.3,16,0.484,63,0.429,27,0.159,10,0.9,9,18,200,109.4,33.3,11,14,70,,9.4,6,0.33299999999999996,21,0.33299999999999996,7,45.0,27,0.517,10.6,8,42,0.47600000000000003,20,0.379,11,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,63.9,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky,26,False,False,False,Away,True,5,24,58,33,60,7,20,63,1,0,170,478,1431,0.5122292103424179,780,1547,0.5042016806722689,128,602,1511,0.5254798146922568,0.2307692307692308
