,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LAMAR_homegame,LAMAR_homegame2,LAMAR_home,LAMAR_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-15-texas-christian,68.4,13,12.5,5,108.2,69.7,23,0.377,57,0.33299999999999996,19,0.228,13,0.5379999999999999,7,5,200,68.5,20.5,8,10,50,,8.2,6,0.281,16,0.313,5,43.1,31,0.396,23.3,19,41,0.341,14,0.545,6,"December 14, 2019",68.8,22,14.6,6,68.5,79.5,31,0.5579999999999999,69,0.46399999999999997,32,0.028999999999999998,2,1.0,2,2,200,108.2,30.3,10,13,79,,13.7,10,0.42,29,0.44799999999999995,13,56.9,41,0.565,14.7,12,40,0.475,19,0.8,8,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",LAMAR,Lamar,73.1,Home,TEXAS-CHRISTIAN,TCU,Lamar,southland,10,False,False,False,Away,False,5,14,57,31,72,13,19,69,0,1,49,228,632,0.4770569620253165,368,700,0.5257142857142857,70,148,577,0.43847487001733104,0.6
11,2019-12-18-20-lamar,50.0,14,3.8,2,108.2,53.1,26,0.516,63,0.444,28,0.222,14,0.5710000000000001,8,7,225,100.0,29.7,11,18,73,,6.8,5,0.413,26,0.34600000000000003,9,43.0,37,0.524,17.8,15,37,0.514,19,0.3,3,"December 18, 2019",66.7,20,5.4,2,100.0,70.3,26,0.441,76,0.395,30,0.263,20,0.6,12,5,225,108.2,46.9,23,12,79,,12.3,9,0.303,23,0.304,7,57.0,49,0.462,9.6,9,53,0.434,23,0.583,7,"Montagne Center, Beaumont, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,64.5,Home,LAMAR,Lamar,Lamar,southland,11,True,False,True,Home,True,7,23,76,49,86,9,19,63,1,0,54,242,689,0.4687953555878085,399,772,0.5168393782383419,83,167,646,0.4512383900928793,0.5454545454545454
12,2019-12-21-16-northwestern-state,47.6,10,10.7,3,97.1,69.2,18,0.426,54,0.389,21,0.426,23,0.652,15,6,200,88.4,26.7,8,17,61,,20.3,14,0.278,15,0.267,4,46.4,26,0.47,17.9,14,39,0.436,17,0.5379999999999999,7,"December 21, 2019",60.9,14,20.5,8,88.4,73.3,22,0.539,51,0.451,23,0.373,19,0.632,12,7,200,97.1,30.8,8,19,67,,13.0,9,0.451,23,0.391,9,53.6,30,0.5579999999999999,20.2,15,28,0.5,14,0.3,3,"Prather Coliseum, Natchitoches, Louisiana",LAMAR,Lamar,69.0,Home,NORTHWESTERN-STATE,Northwestern State,Lamar,southland,12,False,False,False,Away,False,4,17,54,26,56,9,14,51,0,1,61,265,765,0.4660130718954249,448,858,0.5221445221445221,92,186,709,0.456981664315938,0.5833333333333334
13,2020-01-02-20-new-orleans,42.3,11,6.3,2,91.8,81.8,18,0.536,55,0.473,26,0.382,21,0.7140000000000001,15,6,200,101.4,28.1,9,23,74,,12.3,9,0.327,18,0.389,7,50.0,27,0.569,18.9,15,37,0.514,19,0.5710000000000001,8,"January 2, 2020",50.0,11,5.4,2,101.4,71.9,23,0.521,48,0.45799999999999996,22,0.521,25,0.68,17,9,200,91.8,18.2,4,20,67,,4.1,3,0.33299999999999996,16,0.375,6,50.0,27,0.5589999999999999,24.4,19,32,0.5,16,0.308,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,72.9,Away,LAMAR,Lamar,Lamar,southland,13,False,False,False,Away,True,7,19,55,27,54,6,16,48,1,0,65,282,819,0.4633699633699634,474,914,0.5185995623632386,101,200,760,0.4625,0.5384615384615384
14,2020-01-04-15-lamar,46.4,13,5.7,2,87.3,70.4,19,0.4920000000000001,64,0.43799999999999994,28,0.25,16,0.688,11,6,200,104.2,34.3,12,17,74,,12.7,9,0.344,22,0.318,7,50.0,31,0.517,14.5,12,42,0.5,21,0.5710000000000001,8,"January 4, 2020",59.1,13,19.0,8,104.2,65.7,23,0.49,49,0.449,22,0.3670000000000001,18,0.778,14,7,200,87.3,29.6,8,14,62,,9.9,7,0.28600000000000003,14,0.28600000000000003,4,50.0,31,0.539,27.0,21,35,0.514,18,0.5329999999999999,8,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,71.1,Away,ABILENE-CHRISTIAN,Abilene Christian,Lamar,southland,14,False,True,True,Home,False,4,18,49,31,62,7,21,64,0,1,72,301,874,0.4679633867276888,501,968,0.5175619834710744,107,216,808,0.4659653465346535,0.5714285714285714
15,2020-01-08-20-lamar,52.2,12,10.7,3,71.2,84.4,27,0.449,59,0.39,23,0.22,13,0.615,8,6,200,83.6,21.2,7,17,61,,19.2,14,0.35600000000000004,21,0.33299999999999996,7,52.3,34,0.46799999999999997,20.8,17,38,0.42100000000000004,16,0.625,10,"January 8, 2020",61.1,11,15.8,6,83.6,78.8,26,0.449,49,0.3670000000000001,18,0.22399999999999998,11,0.727,8,8,200,71.2,15.6,5,14,52,,8.2,6,0.429,21,0.381,8,47.7,31,0.479,29.0,22,28,0.35700000000000004,10,0.5,8,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,73.2,Away,NICHOLLS-STATE,Nicholls State,Lamar,southland,15,False,True,True,Home,False,8,10,49,31,65,7,16,59,0,1,76,319,923,0.4691224268689058,532,1030,0.516504854368932,114,237,872,0.4678899082568808,0.5333333333333333
16,2020-01-11-20-houston-baptist,63.6,21,6.1,3,116.5,57.1,20,0.682,55,0.6,33,0.6,33,0.818,27,8,200,129.1,17.4,4,16,102,,7.6,6,0.273,15,0.6,9,41.4,24,0.722,16.8,14,40,0.6,24,0.529,9,"January 11, 2020",34.3,12,5.0,2,129.1,82.6,19,0.55,70,0.5,35,0.243,17,0.882,15,12,200,116.5,42.9,15,22,92,,6.3,5,0.3,21,0.33299999999999996,7,58.6,34,0.589,16.2,15,49,0.5710000000000001,28,0.077,1,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,79.4,Away,LAMAR,Lamar,Lamar,southland,16,False,False,False,Away,True,9,24,55,24,58,7,28,70,1,0,84,329,972,0.4681069958847737,563,1095,0.5141552511415525,121,253,931,0.466702470461869,0.5
17,2020-01-15-20-lamar,63.3,19,7.7,3,87.2,75.0,30,0.583,60,0.5,30,0.28300000000000003,17,0.588,10,6,225,93.0,20.0,6,24,80,,11.6,10,0.41700000000000004,25,0.4,10,51.4,36,0.588,27.0,25,35,0.5710000000000001,20,0.667,12,"January 15, 2020",60.0,15,8.6,3,93.0,80.0,24,0.431,65,0.385,25,0.462,30,0.633,19,9,225,87.2,25.0,10,18,75,,17.4,15,0.4,26,0.231,6,48.6,34,0.473,17.0,16,39,0.48700000000000004,19,0.5,9,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,76.6,Away,SAM-HOUSTON-STATE,Sam Houston State,Lamar,southland,17,False,True,True,Home,False,6,19,65,34,70,10,20,60,0,1,93,353,1027,0.4795520934761442,587,1153,0.5091066782307025,128,281,1001,0.4725274725274725,0.5294117647058824
18,2020-01-18-16-texas-am-corpus-christi,40.9,9,6.1,2,90.1,60.7,17,0.41200000000000003,57,0.386,22,0.24600000000000002,14,0.7859999999999999,11,10,200,81.7,17.6,6,26,58,,14.1,10,0.281,16,0.188,3,37.1,23,0.456,18.1,14,41,0.46299999999999997,19,0.474,9,"January 18, 2020",63.2,12,9.8,4,81.7,82.4,28,0.4270000000000001,48,0.396,19,0.667,32,0.7190000000000001,23,12,200,90.1,39.3,11,18,64,,14.1,10,0.313,15,0.2,3,62.9,39,0.506,22.5,18,33,0.485,16,0.368,7,"American Bank Center, Corpus Christi, Texas",LAMAR,Lamar,70.9,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Lamar,southland,18,False,False,False,Away,False,3,19,57,23,62,3,16,48,0,1,99,372,1092,0.4766483516483517,621,1223,0.5077677841373671,138,301,1061,0.4787935909519322,0.5
19,2020-01-22-20-incarnate-word,51.5,17,14.8,4,105.5,63.3,19,0.619,59,0.5589999999999999,33,0.305,18,0.889,16,10,200,121.9,41.7,10,19,89,,15.1,11,0.271,16,0.43799999999999994,7,53.7,29,0.659,19.3,16,43,0.605,26,0.5,10,"January 22, 2020",53.8,14,9.3,4,121.9,58.3,14,0.593,54,0.48100000000000004,26,0.35200000000000004,19,0.684,13,14,200,105.5,36.7,11,17,77,,15.1,11,0.5,27,0.444,12,46.3,25,0.611,25.2,21,27,0.519,14,0.222,4,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,73.3,Away,LAMAR,Lamar,Lamar,southland,19,False,False,False,Away,True,7,26,59,29,54,12,14,54,1,0,102,391,1149,0.4734551784160139,644,1285,0.5011673151750973,141,317,1109,0.4765554553651939,0.4736842105263158
20,2020-01-25-17-lamar,58.3,14,7.1,2,87.3,81.8,18,0.5,54,0.444,24,0.444,24,0.667,16,3,200,98.6,36.7,11,19,70,,18.3,13,0.222,12,0.5,6,55.8,29,0.535,19.9,16,42,0.429,18,0.85,17,"January 25, 2020",63.2,12,11.9,5,98.6,63.3,19,0.5379999999999999,40,0.475,19,0.575,23,0.826,19,11,200,87.3,18.2,4,19,62,,9.9,7,0.3,12,0.41700000000000004,5,44.2,23,0.609,32.4,24,28,0.5,14,0.47600000000000003,10,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,70.7,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Lamar,southland,20,False,True,True,Home,False,5,14,40,23,52,6,18,54,0,1,109,417,1208,0.4805463576158941,673,1339,0.5026138909634055,153,331,1163,0.4819432502149613,0.5
21,2020-02-01-16-mcneese-state,51.5,17,2.1,1,113.8,58.3,21,0.615,65,0.508,33,0.308,20,0.8,16,11,200,120.0,21.9,7,21,96,,10.0,8,0.4920000000000001,32,0.43799999999999994,14,41.2,28,0.644,15.0,13,33,0.5760000000000001,19,0.5,11,"February 1, 2020",39.4,13,9.1,3,120.0,78.1,25,0.536,70,0.47100000000000003,33,0.28600000000000003,20,0.8,16,10,200,113.8,41.7,15,21,91,,10.0,8,0.32899999999999996,23,0.391,9,58.8,40,0.5720000000000001,16.0,15,47,0.511,24,0.545,12,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,80.0,Away,LAMAR,Lamar,Lamar,southland,21,False,False,False,Away,True,14,19,65,28,68,9,24,70,1,0,114,431,1248,0.4823717948717949,696,1391,0.5003594536304816,159,349,1217,0.4827444535743632,0.4761904761904762
22,2020-02-05-20-lamar,59.3,16,4.7,2,102.8,76.3,29,0.4920000000000001,62,0.435,27,0.129,8,0.75,6,16,200,93.1,14.7,5,19,67,,6.9,5,0.419,26,0.26899999999999996,7,47.2,34,0.509,15.5,12,36,0.556,20,0.304,7,"February 5, 2020",64.0,16,5.6,2,93.1,85.3,29,0.475,60,0.41700000000000004,25,0.41700000000000004,25,0.68,17,11,200,102.8,23.7,9,15,74,,9.7,7,0.28300000000000003,17,0.41200000000000003,7,52.8,38,0.515,11.3,9,43,0.419,18,0.522,12,"Montagne Center, Beaumont, Texas",CENTRAL-ARKANSAS,Central Arkansas,72.3,Home,LAMAR,Lamar,Lamar,southland,22,True,False,True,Home,True,7,18,60,38,72,7,20,62,1,0,128,450,1313,0.488956587966489,724,1459,0.4962302947224126,168,373,1287,0.4856254856254856,0.5
23,2020-02-08-20-abilene-christian,33.3,5,17.9,5,113.5,69.0,20,0.298,57,0.263,15,0.456,26,0.5770000000000001,15,12,200,66.2,20.9,9,17,49,,9.5,7,0.298,17,0.235,4,40.3,29,0.353,18.0,15,40,0.275,11,0.5,12,"February 8, 2020",48.4,15,12.5,5,66.2,79.1,34,0.642,60,0.517,31,0.217,13,0.5379999999999999,7,10,200,113.5,31.0,9,24,84,,9.5,7,0.5329999999999999,32,0.469,15,59.7,43,0.635,18.6,15,28,0.5710000000000001,16,0.565,13,"Moody Coliseum , Abilene, Texas",LAMAR,Lamar,73.8,Home,ABILENE-CHRISTIAN,Abilene Christian,Lamar,southland,23,False,False,False,Away,False,4,11,57,29,72,15,16,60,0,1,135,468,1373,0.4883466860888565,762,1531,0.4977139124755062,175,393,1349,0.4859154929577465,0.5217391304347826
24,2020-02-12-20-nicholls-state,52.4,11,18.6,8,98.6,78.1,25,0.478,46,0.457,21,0.5429999999999999,25,0.84,21,13,200,92.9,20.8,5,13,65,,5.7,4,0.239,11,0.182,2,53.6,30,0.562,23.0,17,35,0.5429999999999999,19,0.48,12,"February 12, 2020",60.0,18,8.6,3,92.9,79.2,19,0.523,65,0.462,30,0.062,4,0.25,1,9,200,98.6,21.9,7,18,69,,11.4,8,0.33799999999999997,22,0.364,8,46.4,26,0.516,13.0,10,43,0.512,22,0.64,16,"David Stopher Gymnasium, Thibodaux, Louisiana",LAMAR,Lamar,69.9,Home,NICHOLLS-STATE,Nicholls State,Lamar,southland,24,False,False,False,Away,False,2,19,46,30,56,8,22,65,0,1,139,479,1430,0.4807692307692308,791,1603,0.4934497816593886,190,409,1409,0.4925479063165366,0.5
25,2020-02-15-15-lamar,63.0,17,2.5,1,105.3,68.8,22,0.484,64,0.42200000000000004,27,0.172,11,0.636,7,20,200,92.0,22.6,7,18,69,,8.0,6,0.359,23,0.348,8,46.0,29,0.498,17.9,15,41,0.46299999999999997,19,0.13,3,"February 15, 2020",55.2,16,14.6,6,92.0,77.4,24,0.525,61,0.475,29,0.344,21,0.7140000000000001,15,13,200,105.3,31.3,10,10,79,,9.3,7,0.344,21,0.28600000000000003,6,54.0,34,0.557,14.6,12,40,0.575,23,0.5,13,"Montagne Center, Beaumont, Texas",HOUSTON-BAPTIST,Houston Baptist,75.1,Home,LAMAR,Lamar,Lamar,southland,25,True,False,True,Home,True,6,23,61,34,63,8,19,64,1,0,141,498,1476,0.4806910569105691,821,1659,0.4948764315852923,198,431,1474,0.4938941655359566,0.48
26,2020-02-19-19-sam-houston-state,53.6,15,10.3,4,85.5,77.8,28,0.534,59,0.475,28,0.322,19,0.737,14,13,200,101.3,25.8,8,16,77,,11.8,9,0.373,22,0.318,7,53.7,36,0.5660000000000001,18.2,15,37,0.568,21,0.519,14,"February 19, 2020",53.8,14,5.4,2,101.3,74.2,23,0.462,65,0.4,26,0.12300000000000001,8,0.625,5,10,200,85.5,22.2,8,21,65,,10.5,8,0.4,26,0.308,8,46.3,31,0.47200000000000003,19.9,17,39,0.462,18,0.63,17,"Johnson Coliseum, Huntsville, Texas",SAM-HOUSTON-STATE,Sam Houston State,76.4,Away,LAMAR,Lamar,Lamar,southland,26,False,False,False,Away,True,7,21,59,36,67,8,18,65,1,0,147,521,1537,0.4824333116460637,855,1722,0.4965156794425087,206,450,1538,0.4934980494148245,0.5
