,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,YALE_homegame,YALE_homegame2,YALE_home,YALE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
19,2020-02-01-19-yale,72.7,16,2.8,1,128.4,60.0,15,0.5820000000000001,49,0.449,22,0.408,20,0.7,14,13,200,106.0,10.7,3,23,71,,9.0,6,0.551,27,0.48100000000000004,13,34.0,18,0.607,17.2,12,22,0.409,9,0.235,4,"February 1, 2020",70.0,21,9.1,2,106.0,89.3,25,0.648,54,0.556,30,0.426,23,0.696,16,4,200,128.4,40.0,10,19,86,,7.5,5,0.33299999999999996,18,0.556,10,66.0,35,0.662,14.6,11,36,0.556,20,0.8,16,"John J. Lee Ampitheater, New Haven, Connecticut",CORNELL,Cornell,66.7,Home,YALE,Yale,Yale,ivy,19,True,False,True,Home,True,10,20,54,35,53,13,9,49,1,0,174,339,1093,0.5489478499542544,714,1315,0.5429657794676807,129,298,1167,0.4211653813196229,0.7894736842105263
20,2020-02-07-17-yale,74.2,23,15.2,5,111.6,77.1,27,0.614,57,0.544,31,0.21100000000000002,12,0.667,8,6,200,113.0,24.1,7,26,78,,8.7,6,0.33299999999999996,19,0.42100000000000004,8,53.1,34,0.622,15.0,11,38,0.605,23,0.7,14,"February 7, 2020",68.0,17,7.9,3,113.0,75.9,22,0.518,55,0.455,25,0.527,29,0.69,20,5,200,111.6,22.9,8,15,77,,10.1,7,0.4,22,0.318,7,46.9,30,0.56,12.9,10,33,0.545,18,0.762,16,"John J. Lee Ampitheater, New Haven, Connecticut",YALE,Yale,68.7,Away,HARVARD,Harvard,Yale,ivy,20,False,True,True,Home,False,7,18,55,30,64,8,23,57,0,1,184,359,1147,0.5536181342632955,749,1368,0.547514619883041,142,307,1216,0.4276315789473684,0.8
21,2020-02-08-19-yale,54.5,12,3.6,1,111.9,76.7,23,0.48,51,0.431,22,0.21600000000000005,11,0.727,8,14,200,85.1,6.7,2,25,57,,9.0,6,0.392,20,0.25,5,41.7,25,0.507,20.0,14,31,0.5479999999999999,17,0.33299999999999996,7,"February 8, 2020",57.7,15,0.0,0,85.1,93.3,28,0.596,52,0.5,26,0.442,23,0.565,13,5,200,111.9,23.3,7,15,75,,7.5,5,0.462,24,0.41700000000000004,10,58.3,35,0.596,13.9,10,28,0.5710000000000001,16,0.773,17,"John J. Lee Ampitheater, New Haven, Connecticut",DARTMOUTH,Dartmouth,67.1,Home,YALE,Yale,Yale,ivy,21,True,False,True,Home,True,10,16,52,35,60,5,17,51,1,0,191,377,1202,0.5519966722129783,779,1432,0.5439944134078212,150,330,1273,0.43597800471327575,0.7619047619047619
22,2020-02-14-19-princeton,39.4,13,13.3,4,91.4,84.4,27,0.649,57,0.579,33,0.281,16,0.875,14,5,200,125.7,35.0,7,19,88,,8.6,6,0.33299999999999996,19,0.42100000000000004,8,65.4,34,0.6809999999999999,17.9,14,38,0.6579999999999999,25,0.7829999999999999,18,"February 14, 2020",42.1,8,2.6,1,125.7,65.0,13,0.449,49,0.38799999999999996,19,0.469,23,0.87,20,10,200,91.4,15.6,5,18,64,,11.4,8,0.38799999999999996,19,0.316,6,34.6,18,0.534,18.0,13,30,0.433,13,0.5,10,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,69.8,Away,YALE,Yale,Yale,ivy,22,False,False,False,Away,True,8,25,57,34,52,6,13,49,1,0,201,393,1254,0.5538277511961722,814,1492,0.5455764075067024,155,347,1324,0.43768882175226587,0.7727272727272727
23,2020-02-15-18-pennsylvania,31.8,7,0.0,0,101.5,85.7,30,0.418,61,0.361,22,0.24600000000000002,15,0.667,10,6,200,89.7,31.4,11,14,61,,4.4,3,0.44299999999999995,27,0.259,7,58.6,41,0.44799999999999995,15.1,12,34,0.441,15,0.75,18,"February 15, 2020",56.0,14,8.8,3,89.7,68.6,24,0.508,59,0.424,25,0.254,15,0.6,9,8,200,101.5,14.3,5,13,69,,10.3,7,0.45799999999999996,27,0.37,10,41.4,29,0.522,8.4,6,32,0.469,15,0.619,13,"The Palestra, Philadelphia, Pennsylvania",YALE,Yale,68.1,Home,PENNSYLVANIA,Penn,Yale,ivy,23,False,False,False,Away,False,7,15,61,41,70,10,15,59,0,1,209,418,1311,0.5579710144927537,848,1544,0.5492227979274611,161,360,1373,0.4380917698470502,0.7826086956521741
24,2020-02-21-19-cornell,70.0,21,11.6,5,106.7,80.6,25,0.5379999999999999,65,0.462,30,0.262,17,0.647,11,6,250,108.0,33.3,11,16,81,,8.0,6,0.462,30,0.33299999999999996,10,56.3,36,0.5539999999999999,18.1,16,35,0.5710000000000001,20,0.76,19,"February 21, 2020",54.8,17,8.6,3,108.0,66.7,22,0.5660000000000001,61,0.508,31,0.262,16,0.688,11,17,250,106.7,19.4,6,19,80,,13.3,10,0.295,18,0.389,7,43.8,28,0.583,12.8,10,43,0.5579999999999999,24,0.22699999999999998,5,"Newman Arena, Ithaca, New York",CORNELL,Cornell,60.3,Away,YALE,Yale,Yale,ivy,24,False,False,False,Away,True,10,20,65,36,64,7,24,61,1,0,216,433,1372,0.5517492711370262,889,1614,0.5508054522924412,171,375,1432,0.4409916201117318,0.75
25,2020-02-22-19-columbia,38.7,12,6.9,2,92.9,93.5,29,0.547,64,0.484,31,0.25,16,0.813,13,6,200,118.6,41.9,13,23,83,,8.6,6,0.406,26,0.308,8,67.7,42,0.58,11.2,9,38,0.605,23,0.769,20,"February 22, 2020",22.7,5,5.3,2,118.6,58.1,18,0.47200000000000003,54,0.40700000000000003,22,0.35200000000000004,19,0.737,14,20,200,92.9,6.5,2,17,65,,4.3,3,0.46299999999999997,25,0.28,7,32.3,20,0.516,15.0,11,29,0.517,15,0.231,6,"Levien Gym, New York, New York",COLUMBIA,Columbia,69.8,Away,YALE,Yale,Yale,ivy,25,False,False,False,Away,True,8,23,64,42,62,7,15,54,1,0,226,453,1437,0.5511482254697286,925,1678,0.5512514898688915,178,399,1493,0.4460817146684528,0.76
26,2020-02-28-19-yale,57.1,16,11.6,5,101.3,81.8,27,0.586,58,0.483,28,0.10300000000000001,6,0.833,5,11,200,97.3,14.8,4,12,73,,6.7,5,0.5,29,0.414,12,51.7,31,0.6,22.9,18,29,0.552,16,0.542,13,"February 28, 2020",48.1,13,13.8,4,97.3,85.2,23,0.5,62,0.435,27,0.258,16,0.875,14,6,200,101.3,18.2,6,9,76,,20.0,15,0.306,19,0.42100000000000004,8,48.3,29,0.546,14.8,12,43,0.442,19,0.778,21,"John J. Lee Ampitheater, New Haven, Connecticut",PENNSYLVANIA,Penn,75.2,Home,YALE,Yale,Yale,ivy,26,True,False,True,Home,True,8,19,62,29,60,12,16,58,1,0,234,476,1501,0.5509660226515656,967,1740,0.5557471264367816,185,414,1547,0.4469941822883,0.7692307692307693
27,2020-02-29-19-yale,54.2,13,3.1,1,98.5,81.5,22,0.509,58,0.414,24,0.086,5,0.8,4,12,200,94.0,13.3,4,11,63,,14.9,10,0.517,30,0.3670000000000001,11,45.6,26,0.522,15.4,11,28,0.46399999999999997,13,0.52,13,"February 29, 2020",60.9,14,21.4,6,94.0,86.7,26,0.53,50,0.46,23,0.32,16,0.813,13,6,200,98.5,18.5,5,12,66,,7.5,5,0.36,18,0.389,7,54.4,31,0.573,19.7,14,32,0.5,16,0.7859999999999999,22,"John J. Lee Ampitheater, New Haven, Connecticut",PRINCETON,Princeton,67.0,Home,YALE,Yale,Yale,ivy,27,True,False,True,Home,True,7,16,50,31,57,11,13,58,1,0,242,495,1563,0.5489443378119002,996,1800,0.5533333333333333,197,430,1605,0.4520249221183801,0.7777777777777778
28,2020-03-06-19-dartmouth,38.5,10,6.5,2,93.8,87.1,27,0.525,59,0.441,26,0.254,15,0.667,10,6,200,110.8,24.1,7,12,72,,10.8,7,0.441,26,0.385,10,56.7,34,0.544,8.4,6,33,0.485,16,0.7929999999999999,23,"March 6, 2020",43.5,10,6.1,2,110.8,75.9,22,0.5,52,0.442,23,0.308,16,0.563,9,16,200,93.8,12.9,4,16,61,,6.2,4,0.40399999999999997,21,0.28600000000000003,6,43.3,26,0.512,14.5,10,31,0.5479999999999999,17,0.429,12,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,65.4,Away,YALE,Yale,Yale,ivy,28,False,False,False,Away,True,10,16,59,34,60,6,17,52,1,0,249,511,1613,0.5483570985740855,1027,1857,0.5530425417339795,208,443,1663,0.4539987973541792,0.7857142857142857
29,2020-03-07-19-harvard,17.4,4,0.0,0,120.3,75.8,25,0.48100000000000004,54,0.426,23,0.46299999999999997,25,0.68,17,7,200,100.0,29.4,10,18,69,,7.2,5,0.35200000000000004,19,0.316,6,52.2,35,0.524,17.7,14,35,0.486,17,0.767,23,"March 7, 2020",40.0,12,17.1,6,100.0,70.6,24,0.5760000000000001,59,0.508,30,0.33899999999999997,20,0.75,15,8,200,120.3,24.2,8,21,83,,10.1,7,0.39,23,0.348,8,47.8,32,0.606,10.6,8,36,0.611,22,0.7240000000000001,21,"Lavietes Pavilion, Boston, Massachusetts",YALE,Yale,69.2,Home,HARVARD,Harvard,Yale,ivy,29,False,False,False,Away,False,6,17,54,35,67,8,22,59,0,1,259,527,1672,0.5475478468899522,1061,1917,0.5534689619196661,214,460,1715,0.4553935860058309,0.7931034482758621
