,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MERRIMACK_homegame,MERRIMACK_homegame2,MERRIMACK_home,MERRIMACK_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,55.6,10,2.6,1,103.0,69.2,18,0.404,52,0.34600000000000003,18,0.212,11,0.727,8,6,200,75.8,23.3,7,17,50,,12.1,8,0.481,25,0.24,6,44.6,25,0.4370000000000001,20.9,15,27,0.444,12,0.5,6,"December 22, 2019",84.0,21,11.1,3,75.8,76.7,23,0.54,50,0.5,25,0.38,19,0.737,14,4,200,103.0,30.8,8,15,68,,9.1,6,0.22,11,0.364,4,55.4,31,0.5760000000000001,21.5,16,39,0.5379999999999999,21,0.6920000000000001,9,"The Thunderdome, Santa Barbara, California",MERRIMACK,Merrimack,66.1,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Merrimack,northeast,11,False,False,False,Away,False,6,12,52,25,56,4,21,50,0,1,88,166,628,0.4745222929936306,283,679,0.4167893961708395,55,183,556,0.4775179856115108,0.5454545454545454
12,53.6,15,10.5,4,109.8,81.5,22,0.653,49,0.5710000000000001,28,0.265,13,0.385,5,7,200,113.1,26.9,7,15,69,,6.6,4,0.34700000000000003,17,0.471,8,54.7,29,0.625,18.0,12,32,0.625,20,0.462,6,"December 29, 2019",44.0,11,0.0,0,113.1,73.1,19,0.537,54,0.463,25,0.204,11,0.818,9,7,200,109.8,18.5,5,16,67,,11.5,7,0.29600000000000004,16,0.5,8,45.3,24,0.5660000000000001,10.6,7,38,0.447,17,0.462,6,"Hammel Court, North Andover, Massachusetts",MERRIMACK,Merrimack,60.7,Away,BOSTON-UNIVERSITY,Boston University,Merrimack,northeast,12,False,True,True,Home,False,8,17,54,24,53,8,20,49,0,1,94,178,680,0.4691176470588235,308,735,0.4190476190476191,59,204,606,0.4826732673267327,0.5
13,56.0,14,2.6,1,89.1,54.5,18,0.474,58,0.431,25,0.276,16,0.625,10,7,200,101.6,24.2,8,20,65,,20.3,13,0.362,21,0.238,5,39.4,26,0.495,9.7,7,37,0.541,20,0.5,7,"January 2, 2020",36.8,7,5.4,2,101.6,75.8,25,0.4270000000000001,48,0.396,19,0.521,25,0.64,16,7,200,89.1,45.5,15,15,57,,4.7,3,0.208,10,0.3,3,60.6,40,0.476,23.4,18,38,0.421,16,0.5,7,"William H. Pitt Center, Fairfield, Connecticut",SACRED-HEART,Sacred Heart,63.7,Away,MERRIMACK,Merrimack,Merrimack,northeast,13,False,False,False,Away,True,5,20,58,26,66,3,16,48,1,0,102,195,734,0.4741144414168938,332,788,0.4213197969543147,67,224,655,0.4954198473282443,0.4615384615384616
14,69.2,18,3.1,1,85.3,81.5,22,0.526,57,0.456,26,0.228,13,0.6920000000000001,9,9,200,101.5,25.8,8,15,69,,11.8,8,0.281,16,0.5,8,51.7,30,0.546,17.2,13,41,0.439,18,0.4,6,"January 4, 2020",59.1,13,7.3,3,101.5,74.2,23,0.51,48,0.458,22,0.292,14,0.643,9,8,200,85.3,18.5,5,16,58,,10.3,7,0.333,16,0.313,5,48.3,28,0.531,26.0,19,32,0.531,17,0.467,7,"Hammel Court, North Andover, Massachusetts",MERRIMACK,Merrimack,68.4,Away,ROBERT-MORRIS,Robert Morris,Merrimack,northeast,14,False,True,True,Home,False,5,17,48,28,58,8,18,57,0,1,107,215,792,0.4741161616161616,358,854,0.4192037470725996,70,240,703,0.4907539118065434,0.5
15,25.0,6,10.5,4,100.0,80.8,21,0.455,55,0.436,24,0.309,17,0.647,11,11,200,95.3,50.0,16,12,61,,12.5,8,0.2,11,0.182,2,63.8,37,0.484,20.4,16,44,0.5,22,0.312,5,"January 9, 2020",42.3,11,11.4,5,95.3,50.0,16,0.528,54,0.481,26,0.185,10,0.7,7,8,200,100.0,19.2,5,19,64,,18.8,12,0.29600000000000004,16,0.313,5,36.2,21,0.545,15.9,11,38,0.5529999999999999,21,0.5,8,"Hammel Court, North Andover, Massachusetts",MOUNT-ST-MARYS,Mount St. Mary's,63.9,Home,MERRIMACK,Merrimack,Merrimack,northeast,15,True,False,True,Home,True,5,21,54,21,58,2,22,55,1,0,112,232,840,0.4761904761904762,386,912,0.4232456140350877,78,258,760,0.4934210526315789,0.4666666666666667
16,64.7,11,7.7,2,76.7,57.7,15,0.438,48,0.354,17,0.521,25,0.64,16,8,200,96.7,32.3,10,18,58,,30.0,18,0.479,23,0.348,8,43.9,25,0.484,14.5,10,25,0.36,9,0.529,9,"January 11, 2020",50.0,8,24.0,6,96.7,67.7,21,0.44,42,0.381,16,0.333,14,0.643,9,16,200,76.7,42.3,11,21,46,,5.0,3,0.381,16,0.313,5,56.1,32,0.473,31.4,22,26,0.423,11,0.059,1,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,59.8,Away,MERRIMACK,Merrimack,Merrimack,northeast,16,False,False,False,Away,True,8,9,48,25,57,5,11,42,1,0,117,253,894,0.4793064876957495,407,970,0.4195876288659794,80,280,815,0.4907975460122699,0.5
17,71.4,15,6.1,2,107.6,79.3,23,0.5429999999999999,47,0.447,21,0.426,20,0.8,16,8,200,101.5,16.7,4,19,67,,6.1,4,0.404,19,0.474,9,50.9,27,0.593,20.1,14,28,0.429,12,0.529,9,"January 15, 2020",42.3,11,10.7,3,101.5,83.3,20,0.527,56,0.464,26,0.339,19,0.632,12,8,200,107.6,20.7,6,13,71,,13.6,9,0.411,23,0.304,7,49.1,26,0.546,8.5,6,33,0.5760000000000001,19,0.556,10,"Hammel Court, North Andover, Massachusetts",BRYANT,Bryant,65.8,Home,MERRIMACK,Merrimack,Merrimack,northeast,17,True,False,True,Home,True,7,19,56,26,53,9,12,47,1,0,125,262,942,0.4771762208067941,432,1027,0.4206426484907498,85,291,857,0.4883313885647608,0.5294117647058824
18,38.9,7,6.5,2,81.7,82.1,23,0.5,40,0.45,18,0.45,18,0.722,13,8,200,88.3,12.0,3,17,53,,11.7,7,0.375,15,0.267,4,49.1,26,0.546,21.3,13,25,0.56,14,0.579,11,"January 18, 2020",78.9,15,0.0,0,88.3,88.0,22,0.435,46,0.413,19,0.261,12,0.75,9,10,200,81.7,17.9,5,18,49,,1.7,1,0.326,15,0.133,2,50.9,27,0.474,22.6,15,31,0.5479999999999999,17,0.444,8,"UPMC Events Center, Moon, Pennsylvania",ROBERT-MORRIS,Robert Morris,60.1,Away,MERRIMACK,Merrimack,Merrimack,northeast,18,False,False,False,Away,True,4,14,40,26,53,2,17,46,1,0,132,281,998,0.4799599198396794,458,1080,0.4240740740740741,94,303,904,0.4911504424778761,0.5555555555555556
19,65.4,17,8.1,3,83.3,78.3,18,0.6629999999999999,46,0.565,26,0.261,12,0.917,11,8,200,109.1,20.0,4,14,72,,22.7,15,0.413,19,0.474,9,51.2,22,0.696,23.8,16,27,0.63,17,0.6,12,"January 20, 2020",52.2,12,11.1,3,109.1,80.0,16,0.49,49,0.469,23,0.184,9,0.778,7,6,200,83.3,21.7,5,12,55,,7.6,5,0.245,12,0.16699999999999998,2,48.8,21,0.516,27.4,20,37,0.568,21,0.667,12,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),66.0,Away,MERRIMACK,Merrimack,Merrimack,northeast,19,False,False,False,Away,True,9,17,46,22,43,2,21,49,1,0,136,295,1038,0.4807321772639692,484,1133,0.4271844660194175,96,320,950,0.4884210526315789,0.5789473684210527
20,36.0,9,10.3,4,97.4,70.0,28,0.4270000000000001,62,0.403,25,0.306,19,0.947,18,14,250,93.4,27.8,10,20,71,,9.2,7,0.226,14,0.214,3,50.0,38,0.5,18.5,16,48,0.458,22,0.222,4,"January 23, 2020",66.7,16,4.2,2,93.4,72.2,26,0.453,64,0.375,24,0.375,24,0.667,16,8,250,97.4,30.0,12,15,74,,10.5,8,0.391,25,0.4,10,50.0,38,0.491,13.9,12,39,0.359,14,0.619,13,"Hammel Court, North Andover, Massachusetts",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,61.0,Home,MERRIMACK,Merrimack,Merrimack,northeast,20,True,False,True,Home,True,10,14,64,38,76,3,22,62,1,0,145,312,1084,0.4884686346863469,506,1176,0.4302721088435374,98,341,999,0.4884884884884885,0.6
21,60.0,9,9.1,3,85.9,74.2,23,0.353,51,0.294,15,0.333,17,0.706,12,11,200,70.4,18.9,7,15,48,,14.1,10,0.373,19,0.316,6,44.1,30,0.423,26.4,21,32,0.281,9,0.476,10,"January 30, 2020",47.6,10,3.1,1,70.4,81.1,30,0.462,52,0.404,21,0.308,16,0.813,13,8,200,85.9,25.8,8,16,61,,15.5,11,0.365,19,0.316,6,55.9,38,0.512,22.4,17,33,0.455,15,0.636,14,"Hammel Court, North Andover, Massachusetts",ST-FRANCIS-NY,St. Francis (NY),70.8,Home,MERRIMACK,Merrimack,Merrimack,northeast,21,True,False,True,Home,True,6,15,52,38,68,6,9,51,1,0,155,326,1148,0.4864982578397213,544,1252,0.4345047923322684,101,363,1061,0.4849198868991517,0.6190476190476191
22,57.1,12,14.8,4,109.4,75.0,21,0.479,47,0.447,21,0.404,19,0.737,14,12,200,92.2,33.3,8,18,59,,9.4,6,0.277,13,0.231,3,55.8,29,0.527,24.5,18,34,0.529,18,0.455,10,"February 1, 2020",56.0,14,23.5,8,92.2,66.7,16,0.602,49,0.51,25,0.429,21,0.524,11,8,200,109.4,25.0,7,17,70,,14.1,9,0.449,22,0.409,9,44.2,23,0.593,14.7,10,27,0.593,16,0.652,15,"Hammel Court, North Andover, Massachusetts",LONG-ISLAND-UNIVERSITY,LIU,64.0,Home,MERRIMACK,Merrimack,Merrimack,northeast,22,True,False,True,Home,True,9,16,49,23,52,3,18,47,1,0,161,341,1200,0.4854166666666666,582,1320,0.4409090909090909,107,372,1112,0.4788669064748202,0.6363636363636364
23,81.0,17,16.7,4,82.8,85.7,24,0.5,51,0.412,21,0.17600000000000002,9,0.667,6,8,200,89.1,20.7,6,17,57,,9.4,6,0.49,25,0.36,9,52.6,30,0.516,21.4,15,26,0.462,12,0.667,16,"February 6, 2020",80.0,12,15.4,4,89.1,79.3,23,0.464,42,0.35700000000000004,15,0.476,20,0.7,14,16,200,82.8,14.3,4,14,53,,10.9,7,0.429,18,0.5,9,47.4,27,0.515,25.1,17,24,0.25,6,0.273,6,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,64.4,Away,MERRIMACK,Merrimack,Merrimack,northeast,23,False,False,False,Away,True,9,12,51,30,57,9,6,42,1,0,170,357,1249,0.4899919935948759,605,1372,0.4409620991253645,110,390,1159,0.4788610871440898,0.6521739130434783
24,46.2,12,8.6,3,94.4,59.4,19,0.455,66,0.394,26,0.121,8,0.5,4,9,225,90.1,21.1,8,22,64,,14.1,10,0.273,18,0.444,8,38.6,27,0.458,12.6,10,48,0.375,18,0.64,16,"February 8, 2020",61.9,13,16.7,8,90.1,78.9,30,0.444,54,0.389,21,0.5,27,0.7040000000000001,19,13,225,94.4,40.6,13,12,67,,5.6,4,0.35200000000000004,19,0.316,6,61.4,43,0.501,20.5,17,35,0.429,15,0.458,11,"Steinberg Wellness Center, Brooklyn, New York",MERRIMACK,Merrimack,63.4,Home,LONG-ISLAND-UNIVERSITY,LIU,Merrimack,northeast,24,False,False,False,Away,False,8,18,66,27,70,6,15,54,0,1,179,369,1300,0.4903846153846154,635,1429,0.4443666899930021,119,396,1201,0.4783513738551207,0.6666666666666666
25,54.5,12,2.3,1,75.8,74.3,26,0.531,48,0.458,22,0.313,15,0.6,9,9,200,90.9,18.5,5,11,60,,12.1,8,0.396,19,0.368,7,50.0,31,0.544,21.6,15,29,0.517,15,0.654,17,"February 13, 2020",59.1,13,13.8,4,90.9,81.5,22,0.379,58,0.379,22,0.155,9,0.667,6,14,200,75.8,25.7,9,15,50,,12.1,8,0.259,15,0.0,0,50.0,31,0.401,17.3,13,43,0.512,22,0.44,11,"Pope Physical Education Center, Brooklyn Heights, New York",ST-FRANCIS-NY,St. Francis (NY),65.7,Away,MERRIMACK,Merrimack,Merrimack,northeast,25,False,False,False,Away,True,7,15,48,31,62,0,22,58,1,0,187,387,1366,0.4886530014641288,662,1499,0.4416277518345564,125,411,1255,0.4768924302788845,0.64
26,30.4,7,4.2,1,121.4,84.0,21,0.52,50,0.46,23,0.14,7,1.0,7,19,200,105.4,34.8,8,12,59,,7.1,4,0.32,16,0.375,6,60.4,29,0.5529999999999999,18.4,12,34,0.5,17,0.208,5,"February 15, 2020",91.7,22,11.8,4,105.4,65.2,15,0.6459999999999999,48,0.5,24,0.229,11,0.545,6,9,200,121.4,16.0,4,11,68,,8.9,5,0.5,24,0.583,14,39.6,19,0.639,10.2,6,24,0.417,10,0.667,18,"Hammel Court, North Andover, Massachusetts",WAGNER,Wagner,56.3,Home,MERRIMACK,Merrimack,Merrimack,northeast,26,True,False,True,Home,True,14,10,48,19,48,6,17,50,1,0,194,402,1414,0.4900990099009901,693,1561,0.4439461883408072,125,433,1313,0.4725818735719726,0.6538461538461539
27,65.0,13,7.7,2,96.8,55.0,11,0.41,61,0.328,20,0.066,4,0.5,2,10,200,82.5,22.0,9,20,52,,17.5,11,0.4920000000000001,30,0.333,10,32.8,20,0.413,13.7,10,31,0.32299999999999995,10,0.643,18,"February 18, 2020",42.1,8,19.4,6,82.5,78.0,32,0.5379999999999999,40,0.475,19,0.675,27,0.667,18,14,200,96.8,45.0,9,12,61,,7.9,5,0.35,14,0.35700000000000004,5,67.2,41,0.5770000000000001,25.8,18,26,0.5379999999999999,14,0.481,13,"Chace Athletic Center , Smithfield, Rhode Island",MERRIMACK,Merrimack,62.9,Home,BRYANT,Bryant,Merrimack,northeast,27,False,False,False,Away,False,10,10,61,20,61,5,14,40,0,1,208,412,1462,0.4952120383036936,712,1609,0.4425108763206961,131,450,1363,0.4743213499633162,0.6666666666666666
28,31.3,5,15.4,4,94.1,90.0,27,0.38,50,0.32,16,0.5,25,0.76,19,12,200,83.8,40.0,14,14,57,,5.9,4,0.44,22,0.273,6,63.1,41,0.461,25.6,21,28,0.35700000000000004,10,0.5710000000000001,16,"February 21, 2020",72.7,16,17.9,5,83.8,60.0,21,0.5379999999999999,52,0.423,22,0.231,12,0.667,8,10,200,94.1,10.0,3,20,64,,19.1,13,0.5,26,0.462,12,36.9,24,0.555,17.3,12,26,0.385,10,0.655,19,"Hammel Court, North Andover, Massachusetts",SACRED-HEART,Sacred Heart,67.8,Home,MERRIMACK,Merrimack,Merrimack,northeast,28,True,False,True,Home,True,12,10,52,24,65,6,10,50,1,0,218,422,1523,0.4917925147734734,732,1670,0.4383233532934132,136,464,1403,0.4761225944404847,0.6428571428571429
