,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOSTON-COLLEGE_homegame,BOSTON-COLLEGE_homegame2,BOSTON-COLLEGE_home,BOSTON-COLLEGE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-boston-college,52.9,9,6.3,2,102.9,70.7,29,0.408,49,0.34700000000000003,17,0.429,21,0.524,11,6,200,72.9,25.0,9,21,51,,5.7,4,0.51,25,0.24,6,49.4,38,0.4320000000000001,22.6,17,24,0.45799999999999996,11,0.455,5,"December 10, 2019",77.3,17,0.0,0,72.9,75.0,27,0.42200000000000004,64,0.344,22,0.469,30,0.6,18,5,200,102.9,29.3,12,19,72,,20.0,14,0.5,32,0.313,10,50.6,39,0.46,7.2,6,32,0.375,12,0.545,6,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",ALBANY-NY,Albany (NY),69.6,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,10,True,False,True,Home,True,10,12,64,39,77,6,11,49,1,0,74,169,577,0.4852686308492201,309,670,0.4611940298507463,80,168,600,0.48,0.5
11,2019-12-15-13-boston-college,38.9,7,2.5,1,98.7,60.5,23,0.435,46,0.391,18,0.478,22,0.682,15,10,200,73.3,17.9,5,16,55,,10.7,8,0.326,15,0.267,4,42.4,28,0.48700000000000004,29.2,23,31,0.452,14,0.0,0,"December 15, 2019",55.6,15,12.9,4,73.3,82.1,23,0.44799999999999995,67,0.40299999999999997,27,0.254,17,0.8240000000000001,14,5,200,98.7,39.5,15,17,74,,18.7,14,0.40299999999999997,27,0.222,6,57.6,38,0.493,17.7,16,40,0.525,21,0.583,7,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",CENTRAL-CONNECTICUT-STATE,Central Connecticut,75.3,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,11,True,False,True,Home,True,6,21,67,38,66,4,14,46,1,0,84,181,641,0.4789391575663027,348,747,0.465863453815261,86,179,649,0.4745762711864407,0.5454545454545454
12,2019-12-21-17-boston-college,43.5,10,3.4,1,94.1,79.3,23,0.462,53,0.434,23,0.358,19,0.579,11,6,200,88.2,35.3,12,21,60,,7.4,5,0.28300000000000003,15,0.2,3,55.6,35,0.484,20.7,16,38,0.526,20,0.5,6,"December 21, 2019",63.2,12,2.6,1,88.2,64.7,22,0.467,46,0.413,19,0.609,28,0.75,21,5,200,94.1,20.7,6,18,64,,11.8,8,0.37,17,0.294,5,44.4,28,0.54,21.5,16,29,0.483,14,0.615,8,"Chase Center, San Francisco, California",CALIFORNIA,California,67.7,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,12,True,False,True,Home,True,5,14,46,28,63,3,20,53,1,0,90,202,708,0.4759887005649718,386,813,0.4747847478474785,90,193,695,0.4719424460431655,0.5833333333333334
13,2019-12-31-18-duke,38.1,8,10.0,4,117.3,58.6,17,0.363,62,0.33899999999999997,21,0.177,11,0.364,4,6,200,65.3,25.0,10,12,49,,13.3,10,0.29,18,0.16699999999999998,3,39.1,27,0.364,22.1,19,44,0.409,18,0.5710000000000001,8,"December 31, 2019",57.1,20,15.9,7,65.3,75.0,30,0.603,68,0.515,35,0.132,9,0.667,6,1,200,117.3,41.4,12,14,88,2.0,12.0,9,0.41200000000000003,28,0.429,12,60.9,42,0.609,16.3,14,40,0.575,23,0.9229999999999999,12,"Cameron Indoor Stadium, Durham, North Carolina",BOSTON-COLLEGE,Boston College,75.3,Home,DUKE,Duke,Boston College,acc,13,False,False,False,Away,False,3,18,62,27,69,12,23,68,0,1,95,216,754,0.4754641909814323,414,876,0.4726027397260274,93,213,748,0.4712566844919786,0.6153846153846154
14,2020-01-07-19-boston-college,58.8,10,10.0,3,93.8,84.6,22,0.35600000000000004,52,0.327,17,0.385,20,0.8,16,3,200,82.8,27.6,8,18,53,18.0,10.9,7,0.308,16,0.188,3,54.5,30,0.431,14.1,10,36,0.389,14,0.7859999999999999,11,"January 7, 2020",33.3,7,8.3,3,82.8,72.4,21,0.489,47,0.447,21,0.489,23,0.609,14,6,200,93.8,15.4,4,17,60,,12.5,8,0.36200000000000004,17,0.235,4,45.5,25,0.518,14.9,10,30,0.5670000000000001,17,0.6,9,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",VIRGINIA,Virginia,63.7,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,14,True,False,True,Home,True,4,17,47,25,55,3,14,52,1,0,98,234,816,0.4669117647058824,441,945,0.4666666666666667,105,236,816,0.4822303921568628,0.5714285714285714
15,2020-01-11-18-boston-college,66.7,18,12.8,5,77.6,71.4,30,0.547,53,0.509,27,0.34,18,0.722,13,8,200,106.0,27.6,8,18,71,,6.0,4,0.226,12,0.33299999999999996,4,53.5,38,0.5770000000000001,18.7,14,41,0.561,23,0.5,8,"January 11, 2020",47.1,8,7.3,3,106.0,72.4,21,0.325,57,0.298,17,0.386,22,0.682,15,7,200,77.6,28.6,12,14,52,,13.4,9,0.316,18,0.16699999999999998,3,46.5,33,0.385,13.0,10,39,0.359,14,0.562,9,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,66.5,Away,GEORGIA-TECH,Georgia Tech,Boston College,acc,15,False,True,True,Home,False,3,14,57,33,71,4,23,53,0,1,102,251,863,0.4681344148319815,466,1000,0.466,108,250,868,0.4746543778801843,0.6
16,2020-01-15-18-syracuse,75.0,15,11.1,4,113.4,68.2,15,0.377,61,0.32799999999999996,20,0.131,8,0.5,4,8,200,74.6,21.6,8,14,50,,10.4,7,0.4920000000000001,30,0.2,6,39.0,23,0.386,13.4,10,31,0.452,14,0.529,9,"January 15, 2020",50.0,14,19.4,6,74.6,78.4,29,0.593,54,0.519,28,0.222,12,1.0,12,7,200,113.4,31.8,7,11,76,,10.4,7,0.33299999999999996,18,0.444,8,61.0,36,0.637,19.1,14,36,0.556,20,0.588,10,"Carrier Dome, Syracuse, New York",BOSTON-COLLEGE,Boston College,66.8,Home,SYRACUSE,Syracuse,Boston College,acc,16,False,False,False,Away,False,6,14,61,23,59,8,20,54,0,1,105,265,920,0.4592391304347826,499,1071,0.4659197012138189,112,273,921,0.4788273615635179,0.5625
17,2020-01-19-18-wake-forest,41.7,10,6.5,2,111.1,66.7,18,0.429,63,0.381,24,0.23800000000000002,15,0.5329999999999999,8,9,200,86.1,18.4,7,22,62,,9.7,7,0.46,29,0.207,6,38.5,25,0.442,10.3,8,34,0.529,18,0.5,9,"January 19, 2020",61.5,16,5.9,2,86.1,81.6,31,0.574,54,0.48100000000000004,26,0.5,27,0.667,18,8,200,111.1,33.3,9,17,80,,0.0,0,0.426,23,0.435,10,61.5,40,0.599,19.5,16,31,0.516,16,0.529,9,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",BOSTON-COLLEGE,Boston College,72.5,Home,WAKE-FOREST,Wake Forest,Boston College,acc,17,False,False,False,Away,False,6,18,63,25,65,10,16,54,0,1,111,279,981,0.4541284403669725,522,1130,0.4619469026548673,120,293,975,0.4851282051282052,0.5294117647058824
18,2020-01-22-21-pittsburgh,60.0,15,6.7,3,113.8,60.7,17,0.5770000000000001,52,0.48100000000000004,25,0.25,13,0.9229999999999999,12,10,200,110.8,28.0,7,16,72,,10.8,7,0.462,24,0.41700000000000004,10,45.3,24,0.619,19.5,14,28,0.536,15,0.474,9,"January 22, 2020",53.3,16,14.3,4,110.8,72.0,18,0.579,57,0.526,30,0.21100000000000002,12,0.667,8,6,200,113.8,39.3,11,18,74,,6.2,4,0.21100000000000002,12,0.5,6,54.7,29,0.59,17.3,13,45,0.5329999999999999,24,0.684,13,"Petersen Events Center, Pittsburgh, Pennsylvania",BOSTON-COLLEGE,Boston College,64.9,Home,PITTSBURGH,Pitt,Boston College,acc,18,False,False,False,Away,False,10,15,52,24,53,6,24,57,0,1,117,297,1044,0.4525862068965517,547,1195,0.4577405857740586,130,309,1029,0.4897959183673469,0.5
19,2020-01-25-14-boston-college,50.0,11,7.1,2,92.4,80.6,25,0.46399999999999997,55,0.4,22,0.182,10,0.5,5,6,200,84.8,20.6,7,19,56,,12.1,8,0.382,21,0.33299999999999996,7,49.2,32,0.469,19.1,14,34,0.441,15,0.7,14,"January 25, 2020",52.4,11,11.8,4,84.8,79.4,27,0.521,48,0.43799999999999994,21,0.563,27,0.40700000000000003,11,10,200,92.4,19.4,6,11,61,,12.1,8,0.41700000000000004,20,0.4,8,50.8,33,0.501,14.3,10,28,0.46399999999999997,13,0.5,10,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",VIRGINIA-TECH,Virginia Tech,65.8,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,19,True,False,True,Home,True,8,13,48,33,65,7,15,55,1,0,127,312,1096,0.458485401459854,571,1248,0.4575320512820513,136,333,1086,0.49447513812154703,0.4736842105263158
20,2020-01-29-21-boston-college,51.9,14,13.2,5,98.6,74.4,29,0.589,56,0.48200000000000004,27,0.48200000000000004,27,0.741,20,3,200,122.9,44.4,12,18,86,6.0,11.4,8,0.48200000000000004,27,0.444,12,62.1,41,0.625,16.1,13,29,0.517,15,0.857,18,"January 29, 2020",33.3,8,3.4,1,122.9,55.6,15,0.45799999999999996,60,0.4,24,0.3670000000000001,22,0.636,14,11,200,98.6,25.6,10,22,69,,10.0,7,0.3670000000000001,22,0.318,7,37.9,25,0.49,12.6,10,38,0.447,17,0.47600000000000003,10,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,70.1,Away,LOUISVILLE,Louisville,Boston College,acc,20,False,True,True,Home,False,7,17,60,25,66,12,15,56,0,1,135,325,1144,0.4611013986013986,604,1313,0.46001523229246005,143,348,1141,0.492988606485539,0.5
21,2020-02-01-18-north-carolina,46.2,12,4.8,2,95.9,65.9,27,0.527,56,0.46399999999999997,26,0.304,17,0.706,12,11,200,97.3,21.2,7,23,71,,11.0,8,0.321,18,0.389,7,45.9,34,0.5539999999999999,19.1,15,38,0.5,19,0.5,11,"February 1, 2020",40.9,9,7.9,3,97.3,78.8,26,0.39299999999999996,61,0.361,22,0.508,31,0.71,22,11,200,95.9,34.1,14,20,70,,11.0,8,0.311,19,0.21100000000000002,4,54.1,40,0.462,13.9,12,42,0.429,18,0.47600000000000003,10,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,72.9,Away,BOSTON-COLLEGE,Boston College,Boston College,acc,21,False,False,False,Away,True,7,19,56,34,74,4,18,61,1,0,142,342,1204,0.4609634551495017,629,1379,0.4561276287164612,155,363,1197,0.4974937343358396,0.4761904761904762
22,2020-02-04-19-boston-college,43.5,10,4.9,2,78.6,71.1,27,0.385,61,0.377,23,0.32799999999999996,20,0.8,16,3,200,90.0,27.5,11,15,63,7.0,8.6,6,0.24600000000000002,15,0.067,1,48.7,38,0.447,12.5,10,46,0.478,22,0.8640000000000001,19,"February 4, 2020",31.8,7,6.5,3,90.0,72.5,29,0.39,59,0.373,22,0.203,12,0.75,9,12,200,78.6,28.9,11,17,55,,7.1,5,0.305,18,0.111,2,51.3,40,0.425,20.9,17,41,0.488,20,0.478,11,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,70.1,Away,DUKE,Duke,Boston College,acc,22,False,True,True,Home,False,2,20,59,40,78,1,22,61,0,1,149,361,1260,0.4638888888888889,663,1453,0.4562973158981418,159,381,1258,0.4924483306836248,0.5
23,2020-02-08-12-virginia-tech,73.9,17,15.0,6,100.0,75.8,25,0.5379999999999999,53,0.434,23,0.491,26,0.769,20,12,225,105.5,18.5,5,14,77,,4.1,3,0.547,29,0.379,11,50.0,30,0.589,16.8,13,24,0.5,12,0.5,12,"February 8, 2020",37.9,11,8.3,2,105.5,81.5,22,0.5,66,0.439,29,0.16699999999999998,11,0.636,7,10,225,100.0,24.2,8,21,73,,6.8,5,0.39399999999999996,26,0.308,8,50.0,30,0.512,11.3,9,40,0.525,21,0.583,14,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,64.7,Away,BOSTON-COLLEGE,Boston College,Boston College,acc,23,False,False,False,Away,True,11,12,53,30,60,8,21,66,1,0,151,381,1319,0.4605761940864291,703,1531,0.4591770084911823,160,403,1319,0.4874905231235785,0.4782608695652174
24,2020-02-12-19-miami-fl,69.6,16,3.1,1,125.0,66.7,14,0.40299999999999997,62,0.371,23,0.226,14,0.5710000000000001,8,13,200,85.3,27.8,10,16,58,,7.4,5,0.306,19,0.21100000000000002,4,42.1,24,0.42200000000000004,15.0,12,43,0.442,19,0.48,12,"February 12, 2020",56.7,17,11.6,5,85.3,72.2,26,0.654,52,0.5770000000000001,30,0.40399999999999997,21,0.81,17,12,200,125.0,33.3,7,19,85,,5.9,4,0.385,20,0.4,8,57.9,33,0.6859999999999999,15.2,11,32,0.688,22,0.5,12,"BankUnited Center, Coral Gables, Florida",BOSTON-COLLEGE,Boston College,68.3,Home,MIAMI-FL,Miami (FL),Boston College,acc,24,False,False,False,Away,False,4,19,62,24,57,8,22,52,0,1,162,393,1372,0.4635568513119533,733,1591,0.4607165304839723,168,424,1385,0.4880866425992779,0.5
25,2020-02-16-18-boston-college,40.7,11,10.0,4,95.9,85.2,23,0.452,62,0.435,27,0.258,16,0.75,12,9,200,91.9,35.5,11,17,68,,10.8,8,0.306,19,0.105,2,58.6,34,0.489,18.8,16,43,0.581,25,0.64,16,"February 16, 2020",56.0,14,0.0,0,91.9,64.5,20,0.509,55,0.455,25,0.327,18,0.833,15,13,200,95.9,14.8,4,17,71,,13.5,10,0.273,15,0.4,6,41.4,24,0.5589999999999999,18.2,14,40,0.475,19,0.5,13,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",NORTH-CAROLINA-STATE,NC State,74.1,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,25,True,False,True,Home,True,6,19,55,24,58,2,25,62,1,0,166,412,1434,0.4609483960948396,757,1648,0.4593446601941748,176,446,1437,0.4940848990953375,0.48
26,2020-02-19-20-virginia,35.7,10,3.6,1,130.0,80.0,16,0.525,61,0.45899999999999996,28,0.033,2,0.5,1,14,200,108.3,31.3,10,14,65,,5.0,3,0.361,22,0.364,8,50.0,26,0.525,11.4,8,39,0.513,20,0.48100000000000004,13,"February 19, 2020",65.4,17,23.1,9,108.3,68.8,22,0.6890000000000001,45,0.578,26,0.489,22,0.727,16,7,200,130.0,20.0,4,11,78,,6.7,4,0.37799999999999995,17,0.588,10,50.0,26,0.703,12.8,8,28,0.5710000000000001,16,0.72,18,"John Paul Jones Arena, Charlottesville, Virginia",BOSTON-COLLEGE,Boston College,59.7,Home,VIRGINIA,Virginia,Boston College,acc,26,False,False,False,Away,False,8,20,61,26,52,10,16,45,0,1,172,431,1489,0.4627266621893889,781,1706,0.4577960140679953,178,471,1499,0.4923282188125417,0.5
