,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-KENTUCKY_homegame,EASTERN-KENTUCKY_homegame2,EASTERN-KENTUCKY_home,EASTERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-19-19-marshall,30.4,7,11.6,5,103.4,58.5,24,0.406,64,0.359,23,0.5,32,0.625,20,8,200,82.8,28.9,13,22,72,,13.8,12,0.32799999999999996,21,0.28600000000000003,6,43.0,37,0.455,22.0,22,43,0.395,17,0.273,3,"December 19, 2019",50.0,16,7.0,3,82.8,71.1,32,0.529,69,0.46399999999999997,32,0.348,24,0.708,17,6,200,103.4,41.5,17,19,90,,12.6,11,0.377,26,0.34600000000000003,9,57.0,49,0.56,21.7,22,43,0.535,23,0.455,5,"Henderson Center, Huntington, West Virginia",EASTERN-KENTUCKY,Eastern Kentucky,86.8,Home,MARSHALL,Marshall,Eastern Kentucky,ovc,10,False,False,False,Away,False,6,17,64,37,86,9,23,69,0,1,89,162,638,0.463166144200627,318,695,0.4575539568345324,61,195,568,0.5044014084507042,0.3
11,2019-12-21-19-eastern-kentucky,48.1,13,4.3,2,93.2,67.4,31,0.6459999999999999,48,0.563,27,0.41700000000000004,20,0.7,14,6,200,102.7,21.7,5,20,76,,2.7,2,0.43799999999999994,21,0.381,8,52.2,36,0.6609999999999999,26.0,20,27,0.7040000000000001,19,0.455,5,"December 21, 2019",32.0,8,7.4,2,102.7,78.3,18,0.389,72,0.34700000000000003,25,0.264,19,0.684,13,9,200,93.2,32.6,15,18,69,,12.2,9,0.34700000000000003,25,0.24,6,47.8,33,0.426,10.1,9,47,0.40399999999999997,19,0.25,3,"McBrayer Arena, Richmond, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,73.8,Away,CHARLESTON-SOUTHERN,Charleston Southern,Eastern Kentucky,ovc,11,False,True,True,Home,False,6,19,72,33,69,8,19,48,0,1,95,179,702,0.457977207977208,355,781,0.4545454545454545,70,218,637,0.5070643642072213,0.2727272727272727
12,2019-12-28-16-east-carolina,46.2,12,0.0,0,96.5,67.6,25,0.41100000000000003,73,0.35600000000000004,26,0.26,19,0.737,14,10,200,87.1,30.4,14,23,74,,11.8,10,0.37,27,0.29600000000000004,8,47.0,39,0.451,18.1,18,46,0.391,18,0.231,3,"December 28, 2019",67.9,19,17.4,8,87.1,69.6,32,0.5329999999999999,60,0.467,28,0.483,29,0.621,18,7,200,96.5,32.4,12,18,82,,12.9,11,0.35,21,0.381,8,53.0,44,0.556,23.2,22,39,0.513,20,0.462,6,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EASTERN-KENTUCKY,Eastern Kentucky,84.9,Home,EAST-CAROLINA,East Carolina,Eastern Kentucky,ovc,12,False,False,False,Away,False,8,18,73,39,83,8,20,60,0,1,101,198,774,0.4515503875968993,388,850,0.4564705882352941,78,237,685,0.5167883211678832,0.25
13,2020-01-02-19-eastern-kentucky,52.2,12,3.4,1,104.2,79.3,23,0.43,64,0.359,23,0.188,12,0.33299999999999996,4,11,200,83.1,37.1,13,8,59,,4.2,3,0.32799999999999996,21,0.429,9,56.3,36,0.423,18.8,16,43,0.326,14,0.214,3,"January 2, 2020",57.1,16,7.0,3,83.1,62.9,22,0.607,56,0.5,28,0.196,11,0.545,6,10,200,104.2,20.7,6,12,74,,7.0,5,0.48200000000000004,27,0.444,12,43.8,28,0.604,18.7,14,29,0.552,16,0.28600000000000003,4,"McBrayer Arena, Richmond, Kentucky",TENNESSEE-TECH,Tennessee Tech,71.0,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,13,True,False,True,Home,True,12,16,56,28,64,9,14,64,1,0,109,216,847,0.448051948051948,427,933,0.4576634512325831,86,257,745,0.5181208053691275,0.2307692307692308
14,2020-01-04-16-eastern-kentucky,60.7,17,2.5,1,95.9,70.7,29,0.551,59,0.475,28,0.305,18,0.833,15,8,200,108.1,32.1,9,16,80,,4.1,3,0.33899999999999997,20,0.45,9,55.1,38,0.5920000000000001,19.3,16,39,0.48700000000000004,19,0.467,7,"January 4, 2020",44.8,13,10.3,4,108.1,67.9,19,0.45799999999999996,72,0.40299999999999997,29,0.125,9,0.556,5,11,200,95.9,29.3,12,17,71,,10.8,8,0.444,32,0.25,8,44.9,31,0.465,10.6,9,40,0.525,21,0.267,4,"McBrayer Arena, Richmond, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,73.9,Away,JACKSONVILLE-STATE,Jacksonville State,Eastern Kentucky,ovc,14,False,True,True,Home,False,8,21,72,31,69,9,19,59,0,1,121,232,903,0.4579180509413068,455,997,0.4563691073219659,95,271,809,0.5111248454882571,0.2857142857142857
15,2020-01-09-19-eastern-kentucky,50.0,14,15.2,7,105.5,64.9,24,0.461,64,0.43799999999999994,28,0.297,19,0.789,15,8,200,101.4,35.3,12,20,74,,9.6,7,0.25,16,0.188,3,50.7,36,0.507,13.2,11,48,0.521,25,0.467,7,"January 9, 2020",18.5,5,8.3,4,101.4,64.7,22,0.483,60,0.45,27,0.467,28,0.679,19,11,200,105.5,35.1,13,15,77,,12.3,9,0.233,14,0.28600000000000003,4,49.3,35,0.525,16.2,14,46,0.5,23,0.312,5,"McBrayer Arena, Richmond, Kentucky",EASTERN-ILLINOIS,Eastern Illinois,73.2,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,15,True,False,True,Home,True,4,23,60,35,71,3,25,64,1,0,129,253,975,0.4579487179487179,486,1066,0.4559099437148218,104,290,868,0.5138248847926268,0.26666666666666666
16,2020-01-11-16-eastern-kentucky,56.0,14,5.9,2,111.4,63.9,23,0.56,50,0.5,25,0.5,25,0.64,16,13,200,102.9,32.0,8,26,72,,5.7,4,0.32,16,0.375,6,50.8,31,0.5820000000000001,19.7,15,34,0.5589999999999999,19,0.235,4,"January 11, 2020",54.5,12,8.8,3,102.9,68.0,17,0.447,57,0.386,22,0.614,35,0.7709999999999999,27,11,200,111.4,36.1,13,21,78,,11.4,8,0.40399999999999997,23,0.304,7,49.2,30,0.53,12.1,10,34,0.441,15,0.353,6,"McBrayer Arena, Richmond, Kentucky",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,69.8,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,16,True,False,True,Home,True,7,15,57,30,61,6,19,50,1,0,133,276,1035,0.4594202898550725,521,1137,0.4582233948988567,107,315,932,0.5101931330472103,0.3125
17,2020-01-16-21-belmont,55.0,11,4.9,2,119.2,56.4,22,0.38299999999999995,64,0.313,20,0.23399999999999999,15,0.467,7,12,200,76.7,16.3,7,11,56,,6.8,5,0.516,33,0.273,9,35.4,29,0.39399999999999996,11.3,9,31,0.355,11,0.33299999999999996,6,"January 16, 2020",66.7,22,3.2,1,76.7,83.7,36,0.529,70,0.47100000000000003,33,0.257,18,0.722,13,5,200,119.2,43.6,17,12,87,,6.8,5,0.414,29,0.276,8,64.6,53,0.5539999999999999,12.4,11,41,0.61,25,0.722,13,"Curb Event Center, Nashville, Tennessee",EASTERN-KENTUCKY,Eastern Kentucky,72.8,Home,BELMONT,Belmont,Eastern Kentucky,ovc,17,False,False,False,Away,False,9,11,64,29,82,8,25,70,0,1,140,291,1092,0.4587912087912088,551,1198,0.4599332220367279,113,334,982,0.5127291242362525,0.35294117647058826
18,2020-01-18-17-tennessee-state,53.3,16,2.0,1,115.8,63.4,26,0.563,63,0.47600000000000003,30,0.381,24,0.875,21,12,200,121.1,21.9,7,15,92,,3.9,3,0.47600000000000003,30,0.3670000000000001,11,45.2,33,0.618,12.0,10,33,0.5760000000000001,19,0.368,7,"January 18, 2020",45.5,15,9.1,3,121.1,78.1,25,0.521,70,0.47100000000000003,33,0.32899999999999996,23,0.652,15,7,200,115.8,36.6,15,17,88,,3.9,3,0.271,19,0.368,7,54.8,40,0.544,9.1,8,51,0.51,26,0.632,12,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,75.7,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,18,False,False,False,Away,True,11,19,63,33,73,7,26,70,1,0,149,302,1156,0.4545847750865052,580,1280,0.453125,121,359,1052,0.5137832699619772,0.3333333333333333
19,2020-01-23-20-jacksonville-state,35.5,11,5.6,2,110.0,68.0,17,0.589,62,0.5,31,0.21,13,0.615,8,12,200,115.7,16.7,5,16,81,,12.9,9,0.33899999999999997,21,0.524,11,40.0,22,0.594,9.4,7,41,0.488,20,0.4,8,"January 23, 2020",70.0,21,7.3,3,115.7,83.3,25,0.609,55,0.545,30,0.255,14,0.7140000000000001,10,12,200,110.0,32.0,8,12,77,,7.1,5,0.345,19,0.368,7,60.0,33,0.624,21.8,17,36,0.639,23,0.4,8,"Pete Mathews Coliseum, Jacksonville, Alabama",JACKSONVILLE-STATE,Jacksonville State,70.4,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,19,False,False,False,Away,True,11,20,62,22,55,7,23,55,1,0,160,321,1219,0.4602132895816243,613,1353,0.4530672579453067,128,385,1122,0.5142602495543672,0.3684210526315789
20,2020-01-25-20-tennessee-tech,56.7,17,3.2,1,101.4,70.8,17,0.53,66,0.455,30,0.19699999999999998,13,0.769,10,12,200,109.6,18.8,6,13,80,,11.0,8,0.348,23,0.435,10,41.1,23,0.5539999999999999,8.9,7,43,0.465,20,0.429,9,"January 25, 2020",51.7,15,7.0,3,109.6,81.3,26,0.58,56,0.518,29,0.196,11,0.818,9,16,200,101.4,29.2,7,13,74,,5.5,4,0.446,25,0.28,7,58.9,33,0.604,23.8,19,31,0.71,22,0.23800000000000002,5,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,73.2,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,20,False,False,False,Away,True,10,20,66,23,56,7,22,56,1,0,171,341,1281,0.466432474629196,635,1408,0.4509943181818182,135,408,1177,0.5186915887850467,0.4
21,2020-01-30-19-eastern-kentucky,44.8,13,2.4,1,119.3,75.0,21,0.525,61,0.475,29,0.41,25,0.88,22,14,200,103.6,37.5,12,19,86,,7.2,6,0.344,21,0.28600000000000003,6,55.0,33,0.59,21.7,20,40,0.575,23,0.3,6,"January 30, 2020",60.0,21,2.5,1,103.6,62.5,20,0.588,68,0.515,35,0.294,20,0.95,19,12,200,119.3,25.0,7,19,99,,18.1,15,0.397,27,0.37,10,45.0,27,0.639,15.4,14,41,0.61,25,0.455,10,"McBrayer Arena, Richmond, Kentucky",TENNESSEE-MARTIN,UT-Martin,82.7,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,21,True,False,True,Home,True,10,25,68,27,60,6,23,61,1,0,181,361,1347,0.469561989606533,658,1464,0.4494535519125683,142,430,1233,0.5214922952149229,0.42857142857142855
22,2020-02-01-16-eastern-kentucky,68.4,13,3.3,1,95.9,78.4,29,0.413,52,0.365,19,0.40399999999999997,21,0.667,14,19,200,78.1,19.4,7,17,57,,8.2,6,0.34600000000000003,18,0.278,5,49.3,36,0.46,22.7,18,34,0.41200000000000003,14,0.174,4,"February 1, 2020",54.2,13,8.8,3,78.1,80.6,29,0.46799999999999997,62,0.387,24,0.27399999999999997,17,0.706,12,12,200,95.9,21.6,8,16,70,,17.8,13,0.516,32,0.313,10,50.7,37,0.499,13.7,11,30,0.467,14,0.478,11,"McBrayer Arena, Richmond, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,73.0,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,22,True,False,True,Home,True,10,14,62,37,73,5,14,52,1,0,191,386,1415,0.4752650176678445,685,1524,0.4494750656167979,148,453,1294,0.5216383307573416,0.4545454545454545
23,2020-02-06-20-eastern-illinois,56.7,17,5.0,2,102.4,70.6,24,0.5670000000000001,60,0.5,30,0.55,33,0.6970000000000001,23,12,200,111.0,21.2,7,16,91,,11.0,9,0.28300000000000003,17,0.47100000000000003,8,46.3,31,0.601,15.8,14,43,0.512,22,0.5,12,"February 6, 2020",61.3,19,16.3,7,111.0,78.8,26,0.529,68,0.456,31,0.235,16,0.75,12,12,200,102.4,29.4,10,23,84,,9.8,8,0.41200000000000003,28,0.35700000000000004,10,53.7,36,0.556,16.7,15,40,0.525,21,0.478,11,"Lantz Arena, Charleston, Illinois",EASTERN-ILLINOIS,Eastern Illinois,81.6,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,23,False,False,False,Away,True,8,22,60,31,67,10,21,68,1,0,201,400,1477,0.47494922139471896,722,1597,0.4520976831559174,153,467,1346,0.5174591381872214,0.4782608695652174
24,2020-02-08-16-southern-illinois-edwardsville,57.1,12,2.4,1,97.6,65.5,19,0.36,68,0.309,21,0.529,36,0.722,26,13,200,88.2,26.1,12,22,75,,15.3,13,0.544,37,0.18899999999999997,7,41.3,31,0.441,12.5,12,31,0.452,14,0.48,12,"February 8, 2020",50.0,13,9.7,3,88.2,73.9,34,0.527,55,0.473,26,0.5820000000000001,32,0.7809999999999999,25,19,200,97.6,34.5,10,23,83,,8.2,7,0.255,14,0.429,6,58.7,44,0.591,26.6,25,41,0.488,20,0.24,6,"Sam Vadalabene Center , Edwardsville, Illinois",EASTERN-KENTUCKY,Eastern Kentucky,85.2,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,Eastern Kentucky,ovc,24,False,False,False,Away,False,7,14,68,31,75,6,20,55,0,1,209,422,1537,0.4785296031229668,753,1664,0.4525240384615384,163,488,1414,0.5180339462517679,0.5
25,2020-02-13-19-morehead-state,46.9,15,2.4,1,101.4,63.4,26,0.612,58,0.552,32,0.155,9,0.778,7,13,200,111.4,23.1,6,16,78,,4.3,3,0.345,20,0.35,7,47.8,32,0.626,18.4,14,38,0.6579999999999999,25,0.5,13,"February 13, 2020",42.9,12,10.5,4,111.4,76.9,20,0.44,67,0.418,28,0.299,20,0.6,12,14,200,101.4,36.6,15,17,71,,10.0,7,0.373,25,0.12,3,52.2,35,0.46399999999999997,10.6,9,42,0.595,25,0.462,12,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,70.4,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,25,False,False,False,Away,True,7,25,58,32,67,3,25,67,1,0,216,436,1605,0.4735202492211838,784,1739,0.4508338125359402,169,508,1469,0.5183798502382573,0.48
