,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OKLAHOMA-STATE_homegame,OKLAHOMA-STATE_homegame2,OKLAHOMA-STATE_home,OKLAHOMA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-17-oklahoma-state,53.1,17,6.8,3,93.0,69.7,23,0.6729999999999999,55,0.5820000000000001,32,0.23600000000000002,13,0.9229999999999999,12,5,200,121.1,31.8,7,16,86,,5.6,4,0.382,21,0.47600000000000003,10,54.5,30,0.703,20.9,16,34,0.647,22,0.545,6,"December 21, 2019",40.0,10,5.9,2,121.1,68.2,15,0.467,60,0.41700000000000004,25,0.25,15,0.667,10,3,200,93.0,30.3,10,16,66,,11.3,8,0.267,16,0.375,6,45.5,25,0.4920000000000001,17.4,14,44,0.4320000000000001,19,0.727,8,"BOK Center, Tulsa, Oklahoma",OKLAHOMA-STATE,Oklahoma State,70.7,Away,MINNESOTA,Minnesota,Oklahoma State,big-12,10,False,True,True,Home,False,6,19,60,25,55,10,22,55,0,1,66,184,584,0.4845890410958904,355,696,0.5100574712643678,72,140,585,0.4239316239316239,0.8
11,2019-12-29-14-oklahoma-state,38.5,5,0.0,0,117.1,64.7,22,0.233,58,0.22399999999999998,13,0.172,10,0.4,4,9,200,44.3,21.3,10,19,31,,5.7,4,0.345,20,0.05,1,39.5,32,0.247,21.4,17,38,0.316,12,0.25,3,"December 29, 2019",59.3,16,7.9,3,44.3,78.7,37,0.517,60,0.45,27,0.41700000000000004,25,0.8,20,3,200,117.1,35.3,12,11,82,,11.4,8,0.45,27,0.29600000000000004,8,60.5,49,0.57,12.3,10,33,0.5760000000000001,19,0.75,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,69.8,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,11,True,False,True,Home,True,8,19,60,49,81,1,12,58,1,0,72,203,644,0.4829192546583851,380,751,0.5059920106524634,82,162,640,0.4453125,0.7272727272727273
12,2020-01-04-12-texas-tech,40.0,6,9.7,3,126.9,73.1,19,0.375,52,0.28800000000000003,15,0.34600000000000003,18,0.611,11,4,200,74.6,20.0,7,19,50,,6.0,4,0.519,27,0.33299999999999996,9,42.6,26,0.413,18.9,14,25,0.24,6,0.6920000000000001,9,"January 4, 2020",66.7,20,20.0,5,74.6,80.0,28,0.627,55,0.545,30,0.382,21,0.762,16,3,200,126.9,26.9,7,16,85,22.0,13.4,9,0.436,24,0.375,9,57.4,35,0.654,12.3,9,31,0.677,21,0.769,10,"United Supermarkets Arena, Lubbock, Texas",OKLAHOMA-STATE,Oklahoma State,67.3,Home,TEXAS-TECH,Texas Tech,Oklahoma State,big-12,12,False,False,False,Away,False,9,6,52,26,61,9,21,55,0,1,80,222,704,0.4857954545454545,429,832,0.515625,83,174,698,0.4276504297994269,0.75
13,2020-01-06-21-oklahoma-state,42.1,8,3.6,1,60.3,74.4,29,0.449,49,0.38799999999999996,19,0.408,20,0.55,11,2,200,80.9,27.6,8,20,55,17.0,13.2,9,0.49,24,0.25,6,54.4,37,0.47,24.7,19,25,0.52,13,0.857,12,"January 6, 2020",21.4,3,12.0,3,80.9,72.4,21,0.302,48,0.292,14,0.41700000000000004,20,0.6,12,5,200,60.3,25.6,10,18,41,,14.7,10,0.41700000000000004,20,0.05,1,45.6,31,0.35700000000000004,24.1,18,28,0.46399999999999997,13,0.643,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,67.5,Away,WEST-VIRGINIA,West Virginia,Oklahoma State,big-12,13,False,True,True,Home,False,1,13,48,31,68,6,13,49,0,1,89,228,756,0.4781746031746032,455,893,0.5095184770436729,92,195,753,0.4422310756972112,0.6923076923076923
14,2020-01-11-14-texas-christian,62.5,10,13.0,3,83.9,74.2,23,0.321,53,0.302,16,0.151,8,0.75,6,6,200,64.5,19.4,7,15,40,,8.1,5,0.358,19,0.105,2,44.8,30,0.35200000000000004,18.7,13,34,0.41200000000000003,14,0.6,9,"January 11, 2020",75.0,12,11.8,4,64.5,80.6,29,0.41700000000000004,48,0.33299999999999996,16,0.33299999999999996,16,0.75,12,3,200,83.9,25.8,8,14,52,,11.3,7,0.521,25,0.32,8,55.2,37,0.46799999999999997,19.1,13,23,0.348,8,0.8,12,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",OKLAHOMA-STATE,Oklahoma State,61.7,Home,TEXAS-CHRISTIAN,TCU,Oklahoma State,big-12,14,False,False,False,Away,False,2,14,53,30,67,8,8,48,0,1,90,241,804,0.4676616915422885,486,961,0.5057232049947971,98,208,802,0.442643391521197,0.6428571428571429
15,2020-01-15-20-oklahoma-state,70.4,19,23.4,11,94.1,74.4,29,0.616,56,0.48200000000000004,27,0.161,9,0.778,7,4,200,111.8,25.0,7,19,76,,5.9,4,0.5710000000000001,32,0.469,15,53.7,36,0.63,16.7,12,24,0.5,12,0.75,12,"January 15, 2020",44.0,11,8.3,2,111.8,75.0,21,0.452,62,0.40299999999999997,25,0.242,15,0.5329999999999999,8,7,200,94.1,25.6,10,17,64,,7.4,5,0.242,15,0.4,6,46.3,31,0.46299999999999997,13.8,11,47,0.40399999999999997,19,0.562,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,67.7,Away,TEXAS,Texas,Oklahoma State,big-12,15,False,True,True,Home,False,6,19,62,31,67,15,12,56,0,1,92,255,857,0.4585764294049008,516,1028,0.5019455252918288,106,216,850,0.4411764705882353,0.6
16,2020-01-18-12-oklahoma-state,58.3,14,12.5,4,98.6,66.7,18,0.509,55,0.436,24,0.418,23,0.826,19,1,200,108.7,24.1,7,15,75,2.0,10.1,7,0.418,23,0.348,8,44.6,25,0.569,12.1,9,32,0.5,16,0.938,15,"January 18, 2020",56.5,13,6.3,2,108.7,75.9,22,0.5,56,0.41100000000000003,23,0.268,15,0.8,12,8,200,98.6,33.3,9,19,68,,8.7,6,0.429,24,0.41700000000000004,10,55.4,31,0.539,19.3,15,32,0.406,13,0.529,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,68.5,Away,BAYLOR,Baylor,Oklahoma State,big-12,16,False,True,True,Home,False,10,13,56,31,56,8,16,55,0,1,98,274,919,0.4581066376496192,547,1095,0.4995433789954338,121,228,906,0.4519867549668874,0.5625
17,2020-01-21-20-iowa-state,44.8,13,8.0,2,115.6,74.1,20,0.493,69,0.42,29,0.304,21,0.667,14,9,200,106.5,22.5,9,25,82,,15.6,12,0.36200000000000004,25,0.4,10,43.3,29,0.519,9.3,8,44,0.4320000000000001,19,0.5,9,"January 21, 2020",80.0,20,9.1,4,106.5,77.5,31,0.622,49,0.51,25,0.6729999999999999,33,0.848,28,9,200,115.6,25.9,7,22,89,,6.5,5,0.49,24,0.45799999999999996,11,56.7,38,0.688,23.0,19,25,0.56,14,0.5,9,"James H. Hilton Coliseum , Ames, Iowa",OKLAHOMA-STATE,Oklahoma State,77.3,Home,IOWA-STATE,Iowa State,Oklahoma State,big-12,17,False,False,False,Away,False,10,19,69,29,67,11,14,49,0,1,108,287,975,0.4605128205128205,578,1151,0.5021720243266724,129,244,961,0.45525494276795,0.5294117647058824
18,2020-01-25-16-texas-am,81.5,22,20.6,7,98.4,71.9,23,0.633,49,0.551,27,0.306,15,0.733,11,9,200,115.9,28.0,7,16,73,,6.3,4,0.38799999999999996,19,0.42100000000000004,8,52.6,30,0.65,17.8,12,30,0.633,19,0.526,10,"January 25, 2020",65.2,15,3.3,1,115.9,72.0,18,0.449,59,0.39,23,0.237,14,0.643,9,9,200,98.4,28.1,9,15,62,,9.5,6,0.424,25,0.28,7,47.4,27,0.47200000000000003,12.1,9,34,0.47100000000000003,16,0.5,9,"Reed Arena, College Station, Texas",TEXAS-AM,Texas A&M,63.4,Away,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,18,False,False,False,Away,True,8,19,49,30,57,7,16,59,1,0,118,306,1044,0.4626436781609196,607,1218,0.4983579638752053,140,258,1010,0.4633663366336634,0.5
19,2020-01-27-21-oklahoma-state,71.4,15,17.4,8,79.4,66.7,28,0.491,54,0.389,21,0.278,15,0.8,12,3,200,103.2,25.8,8,15,65,3.0,4.8,3,0.611,33,0.33299999999999996,11,49.3,36,0.532,14.2,10,21,0.47600000000000003,10,0.85,17,"January 27, 2020",50.0,9,14.3,3,103.2,74.2,23,0.297,64,0.281,18,0.25,16,0.75,12,10,200,79.4,33.3,14,14,50,,9.5,6,0.281,18,0.111,2,50.7,37,0.349,7.8,6,46,0.348,16,0.5,10,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,63.4,Away,KANSAS,Kansas,Oklahoma State,big-12,19,False,True,True,Home,False,2,16,64,37,73,11,10,54,0,1,126,325,1093,0.4702653247941446,637,1275,0.4996078431372549,147,274,1069,0.4625818521983162,0.5263157894736842
20,2020-02-01-15-oklahoma,48.1,13,7.4,2,115.5,75.9,22,0.469,64,0.42200000000000004,27,0.172,11,0.818,9,11,200,97.2,21.9,7,16,69,,7.0,5,0.297,19,0.316,6,47.5,29,0.498,12.7,10,45,0.467,21,0.47600000000000003,10,"February 1, 2020",65.5,19,6.7,3,97.2,78.1,25,0.603,58,0.5,29,0.259,15,0.8,12,7,200,115.5,24.1,7,9,82,,4.2,3,0.534,31,0.387,12,52.5,32,0.63,15.7,12,27,0.63,17,0.667,14,"Lloyd Noble Center, Norman, Oklahoma",OKLAHOMA-STATE,Oklahoma State,71.2,Home,OKLAHOMA,Oklahoma,Oklahoma State,big-12,20,False,False,False,Away,False,6,21,64,29,61,12,17,58,0,1,128,341,1157,0.4606741573033708,674,1348,0.5,158,284,1123,0.4639358860195904,0.5
21,2020-02-05-20-oklahoma-state,50.0,10,7.9,3,110.8,63.6,21,0.40700000000000003,54,0.37,20,0.37,20,0.65,13,9,200,87.7,41.2,14,21,57,,6.2,4,0.35200000000000004,19,0.21100000000000002,4,52.2,35,0.449,20.3,16,35,0.457,16,0.591,13,"February 5, 2020",66.7,16,17.1,6,87.7,58.8,20,0.48200000000000004,56,0.429,24,0.46399999999999997,26,0.6920000000000001,18,11,200,110.8,36.4,12,19,72,,10.8,7,0.321,18,0.33299999999999996,6,47.8,32,0.527,10.6,8,38,0.474,18,0.5,11,"Gallagher-Iba Arena, Stillwater, Oklahoma",TEXAS-CHRISTIAN,TCU,64.9,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,21,True,False,True,Home,True,6,18,56,32,67,4,16,54,1,0,134,362,1221,0.4610974610974611,703,1409,0.4989354151880767,170,301,1181,0.4707874682472481,0.4761904761904762
22,2020-02-08-18-baylor,45.8,11,9.1,3,114.7,60.5,23,0.52,51,0.47100000000000003,24,0.431,22,0.773,17,12,200,102.9,39.1,9,29,70,,5.9,4,0.33299999999999996,17,0.294,5,52.5,32,0.57,19.8,15,34,0.5589999999999999,19,0.478,11,"February 8, 2020",60.0,15,8.8,3,102.9,60.9,14,0.4920000000000001,59,0.424,25,0.5589999999999999,33,0.606,20,1,200,114.7,39.5,15,20,78,1.0,7.4,5,0.441,26,0.308,8,47.5,29,0.522,10.9,9,33,0.515,17,0.955,21,"Ferrell Center, Waco, Texas",OKLAHOMA-STATE,Oklahoma State,68.1,Home,BAYLOR,Baylor,Oklahoma State,big-12,22,False,False,False,Away,False,5,19,51,32,61,8,17,59,0,1,140,380,1277,0.4620203602192639,735,1476,0.4979674796747968,174,317,1235,0.4680161943319838,0.5
23,2020-02-11-21-kansas-state,45.5,10,5.9,2,88.1,78.0,32,0.535,43,0.512,22,0.628,27,0.667,18,12,200,95.5,23.8,5,18,64,,4.5,3,0.18600000000000005,8,0.25,2,59.7,37,0.573,21.5,15,35,0.5710000000000001,20,0.5,12,"February 11, 2020",60.0,12,2.9,1,95.5,76.2,16,0.42,56,0.35700000000000004,20,0.39299999999999996,22,0.545,12,15,200,88.1,22.0,9,22,59,,13.4,9,0.39299999999999996,22,0.318,7,40.3,25,0.444,14.3,11,34,0.382,13,0.375,9,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,67.1,Away,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,23,False,False,False,Away,True,2,20,43,37,62,7,13,56,1,0,145,399,1328,0.4642319277108434,767,1537,0.4990240728692258,182,334,1294,0.4690880989180834,0.4782608695652174
24,2020-02-15-13-oklahoma-state,66.7,16,8.3,3,110.6,50.0,14,0.569,51,0.47100000000000003,24,0.392,20,0.6,12,9,200,106.1,19.2,5,22,70,24.0,12.1,8,0.451,23,0.435,10,35.2,19,0.579,16.7,12,28,0.5,14,0.64,16,"February 15, 2020",68.4,13,21.4,6,106.1,80.8,21,0.457,46,0.413,19,0.826,38,0.816,31,12,200,110.6,50.0,14,18,73,,12.1,8,0.217,10,0.4,4,64.8,35,0.57,19.3,15,36,0.41700000000000004,15,0.52,13,"Gallagher-Iba Arena, Stillwater, Oklahoma",TEXAS-TECH,Texas Tech,66.3,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,24,True,False,True,Home,True,4,15,46,35,54,10,14,51,1,0,147,419,1371,0.4664478482859227,804,1599,0.5028142589118199,189,347,1350,0.467037037037037,0.5
25,2020-02-18-19-west-virginia,33.3,6,10.5,4,103.2,61.8,21,0.382,51,0.353,18,0.235,12,0.667,8,13,200,74.6,18.8,6,21,47,,6.3,4,0.275,14,0.214,3,40.9,27,0.414,17.6,12,37,0.405,15,0.5,13,"February 18, 2020",43.5,10,16.2,6,74.6,81.3,26,0.444,54,0.426,23,0.48100000000000004,26,0.654,17,7,200,103.2,38.2,13,12,65,17.0,12.7,8,0.29600000000000004,16,0.125,2,59.1,39,0.49,12.1,9,38,0.5529999999999999,21,0.731,19,"WVU Coliseum, Morgantown, West Virginia",OKLAHOMA-STATE,Oklahoma State,62.5,Home,WEST-VIRGINIA,West Virginia,Oklahoma State,big-12,25,False,False,False,Away,False,3,15,51,27,66,2,21,54,0,1,151,434,1417,0.4661256175017643,839,1653,0.5075620084694494,199,361,1401,0.4707351891506067,0.52
