,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PITTSBURGH_homegame,PITTSBURGH_homegame2,PITTSBURGH_home,PITTSBURGH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-16-19-pittsburgh,38.1,8,7.9,3,95.2,73.5,25,0.415,59,0.35600000000000004,21,0.034,2,0.5,1,5,200,80.6,33.3,11,20,50,,3.2,2,0.475,28,0.25,7,53.7,36,0.41700000000000004,18.9,14,31,0.452,14,0.545,6,"December 16, 2019",52.4,11,6.5,2,80.6,66.7,22,0.418,55,0.382,21,0.309,17,0.765,13,3,200,95.2,26.5,9,7,59,,11.3,7,0.309,17,0.235,4,46.3,31,0.46799999999999997,10.1,7,38,0.447,17,0.727,8,"Petersen Events Center, Pittsburgh, Pennsylvania",NORTHERN-ILLINOIS,Northern Illinois,62.0,Home,PITTSBURGH,Pitt,Pittsburgh,acc,10,True,False,True,Home,True,4,17,55,31,67,7,14,59,1,0,45,180,544,0.4549632352941176,322,639,0.5039123630672926,73,144,552,0.4592391304347826,0.7
11,2019-12-20-19-pittsburgh,54.5,12,10.2,5,109.7,60.0,21,0.46399999999999997,56,0.39299999999999996,22,0.08900000000000001,5,0.2,1,7,200,73.6,39.4,13,14,53,,6.9,5,0.536,30,0.267,8,50.0,34,0.45399999999999996,30.0,25,26,0.5379999999999999,14,0.41700000000000004,5,"December 20, 2019",56.7,17,34.6,9,73.6,60.6,20,0.493,68,0.441,30,0.27899999999999997,19,0.632,12,3,200,109.7,40.0,14,11,79,,20.8,15,0.27899999999999997,19,0.368,7,50.0,34,0.513,11.6,10,49,0.469,23,0.75,9,"Petersen Events Center, Pittsburgh, Pennsylvania",BINGHAMTON,Binghamton,71.7,Home,PITTSBURGH,Pitt,Pittsburgh,acc,11,True,False,True,Home,True,7,23,68,34,68,8,14,56,1,0,49,197,599,0.4515859766277129,353,706,0.5,80,158,611,0.4549918166939443,0.7272727272727273
12,2019-12-30-12-pittsburgh,51.7,15,8.3,3,117.6,57.7,15,0.55,60,0.483,29,0.3,18,0.722,13,7,200,106.8,48.4,15,23,79,,10.8,8,0.3670000000000001,22,0.364,8,52.6,30,0.5760000000000001,23.6,21,38,0.5529999999999999,21,0.41700000000000004,5,"December 30, 2019",46.2,12,10.5,4,106.8,51.6,16,0.5870000000000001,52,0.5,26,0.635,33,0.7879999999999999,26,3,200,117.6,42.3,11,18,87,,18.9,14,0.308,16,0.563,9,47.4,27,0.643,20.4,17,36,0.47200000000000003,17,0.769,10,"Petersen Events Center, Pittsburgh, Pennsylvania",CANISIUS,Canisius,74.1,Home,PITTSBURGH,Pitt,Pittsburgh,acc,12,True,False,True,Home,True,9,17,52,27,57,8,21,60,1,0,56,220,667,0.4557721139430285,387,774,0.5,88,172,667,0.4557721139430285,0.75
13,2020-01-04-12-pittsburgh,71.4,15,7.9,3,100.0,75.0,27,0.5670000000000001,45,0.467,21,0.556,25,0.72,18,5,200,106.2,18.5,5,15,69,,4.6,3,0.511,23,0.391,9,50.8,32,0.607,20.0,14,22,0.545,12,0.615,8,"January 4, 2020",60.9,14,9.1,2,106.2,81.5,22,0.449,59,0.39,23,0.271,16,0.75,12,4,200,100.0,25.0,9,19,65,,9.2,6,0.35600000000000004,21,0.33299999999999996,7,49.2,31,0.488,9.6,7,38,0.42100000000000004,16,0.7140000000000001,10,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,65.2,Away,WAKE-FOREST,Wake Forest,Pittsburgh,acc,13,False,True,True,Home,False,7,16,59,31,63,9,12,45,0,1,65,237,719,0.4652294853963839,414,831,0.4981949458483754,96,193,727,0.4635488308115544,0.7692307692307693
14,2020-01-08-19-north-carolina,56.5,13,10.0,4,89.0,64.5,20,0.529,52,0.442,23,0.423,22,0.818,18,4,200,100.0,12.5,4,18,73,,12.3,9,0.423,22,0.409,9,38.1,24,0.584,17.4,13,30,0.467,14,0.733,11,"January 8, 2020",68.0,17,10.0,3,100.0,87.5,28,0.451,61,0.41,25,0.27899999999999997,17,0.588,10,7,200,89.0,35.5,11,19,65,,9.6,7,0.344,21,0.23800000000000002,5,61.9,39,0.47100000000000003,18.9,16,40,0.5,20,0.5329999999999999,8,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,72.8,Away,PITTSBURGH,Pitt,Pittsburgh,acc,14,False,False,False,Away,True,9,14,52,24,63,5,20,61,1,0,72,253,778,0.4640102827763496,445,894,0.4977628635346757,105,205,772,0.469559585492228,0.7142857142857143
15,2020-01-12-18-miami-fl,47.8,11,7.4,2,103.1,78.3,18,0.38299999999999995,64,0.359,23,0.172,11,0.818,9,5,200,90.6,38.9,14,13,58,,7.8,5,0.25,16,0.188,3,54.2,32,0.419,11.6,9,48,0.41700000000000004,20,0.688,11,"January 12, 2020",51.9,14,14.6,7,90.6,61.1,22,0.588,51,0.529,27,0.196,10,0.6,6,5,200,103.1,21.7,5,12,66,,4.7,3,0.47100000000000003,24,0.25,6,45.8,27,0.5920000000000001,20.2,14,27,0.778,21,0.667,10,"BankUnited Center, Coral Gables, Florida",PITTSBURGH,Pitt,64.5,Home,MIAMI-FL,Miami (FL),Pittsburgh,acc,15,False,False,False,Away,False,3,20,64,32,59,6,21,51,0,1,81,267,830,0.4680722891566265,469,957,0.4900731452455591,110,225,833,0.468187274909964,0.7333333333333333
16,2020-01-14-19-pittsburgh,60.9,14,13.5,5,93.2,68.8,22,0.483,60,0.38299999999999995,23,0.3670000000000001,22,0.682,15,3,225,100.0,32.4,11,22,73,11.0,2.7,2,0.41700000000000004,25,0.48,12,50.0,33,0.518,16.7,14,35,0.314,11,0.8240000000000001,14,"January 14, 2020",52.4,11,22.9,8,100.0,67.6,23,0.43799999999999994,56,0.375,21,0.46399999999999997,26,0.731,19,6,225,93.2,31.3,10,22,68,,11.0,8,0.33899999999999997,19,0.368,7,50.0,33,0.4970000000000001,17.2,14,37,0.37799999999999995,14,0.647,11,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,64.8,Away,LOUISVILLE,Louisville,Pittsburgh,acc,16,False,True,True,Home,False,7,14,56,33,66,12,11,60,0,1,84,287,894,0.4619686800894854,501,1016,0.4931102362204725,116,246,884,0.4751131221719457,0.6875
17,2020-01-18-12-pittsburgh,57.9,11,7.1,2,100.0,72.7,24,0.35,60,0.317,19,0.35,21,0.47600000000000003,10,9,200,78.8,43.9,18,16,52,,10.6,7,0.3,18,0.222,4,56.8,42,0.3720000000000001,17.8,15,42,0.35700000000000004,15,0.47100000000000003,8,"January 18, 2020",60.0,12,14.3,6,78.8,56.1,23,0.44299999999999995,53,0.377,20,0.509,27,0.7040000000000001,19,6,200,100.0,27.3,9,20,66,,16.7,11,0.47200000000000003,25,0.28,7,43.2,32,0.501,12.2,9,28,0.46399999999999997,13,0.667,12,"Petersen Events Center, Pittsburgh, Pennsylvania",NORTH-CAROLINA,UNC,66.4,Home,PITTSBURGH,Pitt,Pittsburgh,acc,17,True,False,True,Home,True,7,13,53,32,74,4,15,60,1,0,91,301,950,0.4605263157894737,534,1082,0.4935304990757856,128,257,944,0.475635593220339,0.6470588235294118
18,2020-01-22-21-pittsburgh,60.0,15,6.7,3,113.8,60.7,17,0.5770000000000001,52,0.48100000000000004,25,0.25,13,0.9229999999999999,12,10,200,110.8,28.0,7,16,72,,10.8,7,0.462,24,0.41700000000000004,10,45.3,24,0.619,19.5,14,28,0.536,15,0.474,9,"January 22, 2020",53.3,16,14.3,4,110.8,72.0,18,0.579,57,0.526,30,0.21100000000000002,12,0.667,8,6,200,113.8,39.3,11,18,74,,6.2,4,0.21100000000000002,12,0.5,6,54.7,29,0.59,17.3,13,45,0.5329999999999999,24,0.684,13,"Petersen Events Center, Pittsburgh, Pennsylvania",BOSTON-COLLEGE,Boston College,64.9,Home,PITTSBURGH,Pitt,Pittsburgh,acc,18,True,False,True,Home,True,6,24,57,29,53,10,15,52,1,0,98,314,1003,0.4596211365902293,566,1156,0.4896193771626298,132,272,1004,0.4681274900398406,0.6666666666666666
19,2020-01-25-12-syracuse,66.7,14,11.8,4,103.0,72.7,24,0.435,54,0.389,21,0.37,20,0.7,14,7,200,91.0,22.9,8,20,61,,11.9,8,0.389,21,0.23800000000000002,5,47.1,32,0.48,12.5,9,33,0.485,16,0.65,13,"January 25, 2020",54.2,13,18.2,6,91.0,77.1,27,0.48200000000000004,55,0.436,24,0.418,23,0.696,16,7,200,103.0,27.3,9,15,69,,9.0,6,0.382,21,0.23800000000000002,5,52.9,36,0.523,16.6,13,34,0.5589999999999999,19,0.65,13,"Carrier Dome, Syracuse, New York",PITTSBURGH,Pitt,67.2,Home,SYRACUSE,Syracuse,Pittsburgh,acc,19,False,False,False,Away,False,5,16,54,32,68,5,19,55,0,1,104,338,1060,0.4660377358490566,595,1209,0.4921422663358147,142,287,1056,0.4734848484848485,0.6842105263157895
20,2020-01-28-21-duke,48.0,12,2.8,1,121.5,61.8,21,0.474,57,0.439,25,0.281,16,0.813,13,8,200,103.1,26.7,8,15,67,,6.2,4,0.21100000000000002,12,0.33299999999999996,4,45.3,29,0.519,12.3,9,45,0.467,21,0.619,13,"January 28, 2020",63.3,19,11.1,5,103.1,73.3,22,0.556,62,0.484,30,0.242,15,0.667,10,3,200,121.5,38.2,13,16,79,9.0,4.6,3,0.419,26,0.34600000000000003,9,54.7,35,0.5710000000000001,10.4,8,36,0.583,21,0.85,17,"Cameron Indoor Stadium, Durham, North Carolina",PITTSBURGH,Pitt,64.9,Home,DUKE,Duke,Pittsburgh,acc,20,False,False,False,Away,False,4,21,57,29,64,9,21,62,0,1,109,354,1114,0.4645421903052064,627,1277,0.4909945184025058,147,306,1111,0.4738973897389739,0.65
21,2020-02-02-12-pittsburgh,36.8,7,9.3,4,95.4,60.5,23,0.418,49,0.38799999999999996,19,0.38799999999999996,19,0.8420000000000001,16,10,200,87.7,25.0,7,15,57,,6.2,4,0.449,22,0.136,3,45.5,30,0.491,18.5,13,27,0.593,16,0.524,11,"February 2, 2020",62.5,15,3.7,1,87.7,75.0,21,0.402,66,0.364,24,0.16699999999999998,11,0.818,9,8,200,95.4,39.5,15,13,62,,9.2,6,0.348,23,0.217,5,54.5,36,0.435,11.3,9,43,0.442,19,0.636,14,"Petersen Events Center, Pittsburgh, Pennsylvania",MIAMI-FL,Miami (FL),64.6,Home,PITTSBURGH,Pitt,Pittsburgh,acc,21,True,False,True,Home,True,5,19,66,36,66,3,16,49,1,0,113,375,1171,0.4649871904355252,656,1341,0.4891871737509321,156,327,1173,0.4782608695652174,0.6190476190476191
22,2020-02-05-18-notre-dame,50.0,13,13.2,5,115.9,62.9,22,0.484,62,0.419,26,0.258,16,0.75,12,9,200,104.3,32.3,10,12,72,,11.6,8,0.306,19,0.42100000000000004,8,48.5,32,0.517,11.5,9,43,0.419,18,0.609,14,"February 5, 2020",63.3,19,11.6,5,104.3,67.7,21,0.5379999999999999,65,0.462,30,0.185,12,0.833,10,8,200,115.9,37.1,13,13,80,,7.2,5,0.415,27,0.37,10,51.5,34,0.5660000000000001,13.5,11,38,0.526,20,0.636,14,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",PITTSBURGH,Pitt,68.7,Home,NOTRE-DAME,Notre Dame,Pittsburgh,acc,22,False,False,False,Away,False,8,18,62,32,66,10,20,65,0,1,118,394,1237,0.4616006467259498,692,1407,0.4918265813788202,159,343,1222,0.4758592471358429,0.6363636363636364
23,2020-02-08-14-pittsburgh,75.0,18,12.2,5,107.4,65.7,23,0.54,50,0.48,24,0.3,15,0.667,10,13,200,94.1,32.0,8,25,64,,1.5,1,0.32,16,0.375,6,51.7,31,0.56,28.0,22,34,0.529,18,0.45799999999999996,11,"February 8, 2020",66.7,16,11.8,4,94.1,68.0,17,0.465,57,0.42100000000000004,24,0.474,27,0.741,20,9,200,107.4,34.3,12,16,73,,17.6,12,0.281,16,0.313,5,48.3,29,0.523,10.4,8,41,0.46299999999999997,19,0.625,15,"Petersen Events Center, Pittsburgh, Pennsylvania",GEORGIA-TECH,Georgia Tech,68.5,Home,PITTSBURGH,Pitt,Pittsburgh,acc,23,True,False,True,Home,True,5,19,57,29,60,6,18,50,1,0,126,412,1299,0.4626635873749038,724,1473,0.4915139171758317,169,363,1287,0.479020979020979,0.6086956521739131
24,2020-02-12-21-pittsburgh,81.8,18,5.9,2,85.2,72.2,26,0.648,44,0.5,22,0.455,20,0.75,15,12,200,118.0,30.4,7,20,72,,8.2,5,0.5,22,0.591,13,55.9,33,0.6729999999999999,21.0,14,22,0.409,9,0.5,12,"February 12, 2020",80.0,12,4.5,1,118.0,69.6,16,0.354,48,0.313,15,0.583,28,0.643,18,10,200,85.2,27.8,10,17,52,,9.8,6,0.292,14,0.28600000000000003,4,44.1,26,0.424,14.2,10,34,0.324,11,0.6,15,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,60.9,Away,CLEMSON,Clemson,Pittsburgh,acc,24,False,True,True,Home,False,4,11,48,26,59,13,9,44,0,1,131,431,1356,0.4627581120943953,753,1533,0.4911937377690802,175,381,1337,0.481301421091997,0.625
25,2020-02-15-18-virginia-tech,52.4,11,16.0,4,101.5,81.5,22,0.392,60,0.35,21,0.3,18,0.556,10,11,200,86.4,26.3,10,12,57,,7.6,5,0.35,21,0.23800000000000002,5,49.2,32,0.41600000000000004,11.7,9,39,0.41,16,0.5770000000000001,15,"February 15, 2020",84.0,21,10.3,4,86.4,73.7,28,0.544,57,0.439,25,0.105,6,0.833,5,10,200,101.5,18.5,5,13,67,,9.1,6,0.561,32,0.375,12,50.8,33,0.56,13.1,9,25,0.52,13,0.6,15,"Cassell Coliseum, Blacksburg, Virginia",PITTSBURGH,Pitt,65.7,Home,VIRGINIA-TECH,Virginia Tech,Pittsburgh,acc,25,False,False,False,Away,False,5,16,60,32,65,12,13,57,0,1,135,442,1404,0.459045584045584,779,1592,0.489321608040201,188,390,1381,0.4866039102099928,0.6
26,2020-02-18-20-florida-state,61.9,13,2.4,1,113.9,50.0,14,0.41100000000000003,56,0.375,21,0.46399999999999997,26,0.8079999999999999,21,12,200,93.1,30.3,10,13,67,,18.1,13,0.39299999999999996,22,0.182,4,39.3,24,0.49,17.2,14,34,0.5,17,0.556,15,"February 18, 2020",62.5,20,17.6,6,93.1,69.7,23,0.57,64,0.5,32,0.188,12,0.75,9,4,200,113.9,50.0,14,21,82,8.0,8.3,6,0.344,22,0.409,9,60.7,37,0.588,18.8,16,42,0.5479999999999999,23,0.846,22,"Donald L. Tucker Center, Tallahassee, Florida",PITTSBURGH,Pitt,72.0,Home,FLORIDA-STATE,Florida State,Pittsburgh,acc,26,False,False,False,Away,False,4,17,56,24,61,9,23,64,0,1,140,458,1464,0.4562841530054645,811,1657,0.4894387447193724,200,403,1438,0.4888734353268429,0.5769230769230769
